source_headword	SK	example_SK
educator	pedagóg	Pedagóg navrhol nový kurz.
effectiveness	účinnosť	Štúdia merala účinnosť vakcíny.
efficiency	efektívnosť	Lepší softvér zlepšil efektívnosť.
ego	ego	Jeho ego spôsobovalo problémy v práci.
elaborate	prepracovaný	Prepracovaný kostým trval týždne.
electoral	volebný	Volebný systém sa minulý rok zmenil.
elevate	pozdvihnúť	Cena pozdvihne jej profil.
eligible	spôsobilý	Iba obyvatelia majú nárok na zľavy.
elite	elita	Elita trénovala na súkromnej akadémii.
embark	vydať sa	Vydajú sa na dlhú cestu.
embarrassment	rozpaky	Zasmial sa, aby skryl svoje rozpaky.
embassy	veľvyslanectvo	Veľvyslanectvo vydalo nové cestovné odporúčania.
embed	začleniť	Novinár sa začlení k jednotke.
embody	stelesňovať	Socha zrejme stelesňuje odvahu.
emergence	vznik	Vznik telefónov zmenil každodenný život.
empirical	empirický	Práca sa spolieha na empirické dôkazy.
empower	posilniť	Vzdelávanie môže posilniť miestne komunity.
enact	uzákoniť	Parlament hlasoval za uzákonenie reformy.
encompass	zahŕňať	Kurz bude zahŕňať modernú históriu.
encouragement	povzbudenie	Jej povzbudenie mu pomohlo pokračovať.
encouraging	povzbudzujúci	Prvé výsledky vyzerajú povzbudzujúco.
endeavour	úsilie	Záchrana bola ťažkým úsilím.
endless	nekonečný	Púšť sa zdala nekonečná.
endorse	podporiť	Únia odmietla podporiť kandidáta.
endorsement	podpora	Jeho podpora pomohla jej kampani.
endure	vydržať	Rastliny dokážu vydržať kruté zimy.
enforce	vynútiť	Polícia vynucuje povolenú rýchlosť.
enforcement	presadzovanie	Prísnejšie presadzovanie znížilo nelegálne skládkovanie.
engagement	zapojenie	Zapojenie študentov sa tento semester zlepšilo.
engaging	pútavý	Rečník mal pútavú prednášku.
enquire	informovať sa	Informujte sa prosím na recepcii.
enrich	obohatiť	Cestovanie môže obohatiť vaše porozumenie.
enrol	zapísať sa	Študenti sa musia zapísať do septembra.
ensue	nasledovať	Po oznámení môže nasledovať chaos.
enterprise	podnik	Podnik zamestnáva miestnych umelcov.
enthusiast	nadšenec	Každý cyklistický nadšenec pozná túto trasu.
entitle	oprávňovať	Lístok vás oprávňuje na vstup.
entity	subjekt	Spoločnosť je samostatný právny subjekt.
epidemic	epidémia	Epidémia sa rozšírila do viacerých regiónov.
equality	rovnosť	Hnutie bojovalo za rovnosť.
equation	rovnica	Rovnica obsahuje dve neznáme.
erect	postaviť	Robotníci postavia nový plot.
escalate	vyhrotiť sa	Konflikt by sa mohol rýchlo vyhrotiť.
essence	podstata	Báseň zachytáva podstatu detstva.
establishment	establišment	Establišment sa postavil proti reforme.
eternal	večný	Sľúbili si večné priateľstvo.
evacuate	evakuovať	Hasiči pomohli obyvateľom bezpečne sa evakuovať.
evoke	vyvolať	Pieseň môže vyvolať silné spomienky.
evolutionary	evolučný	Fosília ukazuje evolučnú zmenu.
exaggerate	preháňať	Nepreháňajte svoje skúsenosti.
excellence	dokonalosť	Škola oceňuje akademickú dokonalosť.
exceptional	výnimočný	Ukázala výnimočnú zručnosť.
excess	prebytok	Prebytočná voda zaplavila suterén.
exclusion	vylúčenie	Sociálne vylúčenie poškodzuje mladých ľudí.
exclusive	exkluzívny	Klub ponúka exkluzívny prístup.
exclusively	výlučne	Táto miestnosť je využívaná výlučne zamestnancami.
execute	vykonať	Tím plán starostlivo vykoná.
execution	realizácia	Realizácia stratégie trvala mesiace.
exert	vyvinúť	Musíte vyvinúť väčší tlak.
exile	exil	Spisovateľ žil v exile.
expenditure	výdavky	Verejné výdavky sa minulý rok zvýšili.
experimental	experimentálny	Liečba je stále experimentálna.
expire	vypršať	Môj pas čoskoro vyprší.
explicit	jasný	Pokyny boli jasné.
explicitly	výslovne	Pravidlá výslovne zakazujú fajčenie.
exploitation	vykorisťovanie	Správa odhalila vykorisťovanie zamestnancov.
explosive	výbušný	Výbušné zariadenie bolo bezpečne odstránené.
extremist	extrémista	Extrémistická skupina stratila podporu.
facilitate	uľahčiť	Aplikácia uľahčí učenie na diaľku.
faction	frakcia	Jedna frakcia sa postavila proti lídrovi.
faculty	fakulta	Fakulta schválila návrh.
fade	vyblednúť	Farba na slnku vybledne.
fairness	spravodlivosť	Na spravodlivosti záleží v každej súťaži.
fatal	smrteľný	Nehoda spôsobila smrteľné zranenia.
fate	osud	Nikto nepoznal jeho osud.
favourable	priaznivý	Recenzia bola priaznivá.
feat	výkon	Vyliezť na ten vrchol bol výkon.
feminist	feministický	Feministické hnutie zmenilo verejnú debatu.
fibre	vláknina	Tento chlieb obsahuje viac vlákniny.
fierce	prudký	Prudká búrka poškodila strechy.
film-maker	filmár	Filmár potom odpovedal na otázky.
filter	filter	Filter odstraňuje prach zo vzduchu.
fine	pokuta	Spoločnosť zaplatila pokutu.
firearm	strelná zbraň	Policajt našiel ukradnutú strelnú zbraň.
fit	strih	Nové topánky majú perfektný strih.
fixture	zariadenie	Lampa je trvalou súčasťou zariadenia.
flaw	nedostatok	Dizajn má jeden vážny nedostatok.
flawed	chybný	Chybná štúdia priniesla falošné výsledky.
flee	utiecť	Rodiny museli utiecť pred bojmi.
fleet	flotila	Letecká spoločnosť obnovila svoju flotilu.
flesh	mäso	Tŕň sa mu zapichol do mäsa.
flexibility	flexibilita	Práca na diaľku ponúka väčšiu flexibilitu.
flourish	prekvitať	Malým podnikom sa tu môže dariť.
fluid	tekutina	Po cvičení pite veľa tekutín.
footage	zábery	Zábery ukázali haváriu.
foreigner	cudzinec	Formulár sa pýta, či ste cudzinec.
forge	nadviazať	Snažili sa nadviazať nové spojenectvo.
formula	vzorec	Vzorec vyriešil problém.
formulate	formulovať	Vedci formulujú novú teóriu.
forth	vpred	Rieka niesla loď vpred.
forthcoming	nadchádzajúci	Nadchádzajúca správa všetko vysvetlí.
foster	podporovať	Program pomáha podporovať nezávislosť.
fragile	krehký	Krehká váza si vyžaduje opatrné zaobchádzanie.
franchise	franšíza	Reštaurácia sa stala globálnou franšízou.
frankly	úprimne	Úprimne povedané, potrebujeme viac času.
frustrated	frustrovaný	Pracovníci sa cítili frustrovaní pre meškanie.
frustrating	frustrujúci	Pomalé pripojenie bolo frustrujúce.
frustration	frustrácia	Počas stretnutia rástla frustrácia.
functional	funkčný	Stará kuchyňa je stále funkčná.
fundraising	zbierka	Získavanie finančných prostriedkov začína budúci týždeň.
funeral	pohreb	Pohreb sa konal v piatok.
gallon	galón	Nádrž pojme jeden galón.
gambling	hazardné hry	Hazardné hry sú obmedzené zákonom.
gathering	zhromaždenie	Zhromaždenie sa skončilo pokojne.
gaze	pohľad	Krátko opätovala jeho pohľad.
gear	výstroj	Pred lezním si zbaľte bezpečnostný výstroj.
generic	generický	Generická verzia stojí menej.
genocide	genocída	Genocída zanechala hlbokú národnú traumu.
glance	pohľad	Venoval tomu rýchly pohľad.
glimpse	letmý pohľad	Zazrel som more.
glorious	slávny	Tím sa tešil zo slávneho víťazstva.
glory	sláva	Snívala o olympijskej sláve.
governance	správa	Dobrá správa vecí verejných si vyžaduje transparentnosť.
grace	grácia	Prijala porážku s gráciou.
grasp	pochopiť	Nepodarilo sa mu pochopiť tento koncept.
grave (for dead person)	hrob	Hrob bol pokrytý kvetmi.
grave (serious)	vážny	Situácia zostáva vážna.
gravity	gravitácia	Gravitácia priťahuje objekty k Zemi.
grid	mriežka	Mapa využíva jednoduchú mriežku.
grief	smútok	Smútok zmenil celú jeho rodinu.
grin	úsmev	Chlapec sa široko usmial.
grind	mlet'	Pracovníci melú zrná každé ráno.
grip	úchop	Udržujte pevný úchop lana.
gross	hrubý	Hrubý príjem prudko vzrástol.
guerrilla	partizán	Partizánski bojovníci sa skrývali v kopcoch.
guidance	usmernenie	Sprievodca poskytuje praktické usmernenie.
guilt	vina	Po klamstve cítila vinu.
gut	inštinkt	Pri ťažkých rozhodnutiach dôveruj svojmu inštinktu.
hail	oslavovať	Dedinčania oslavujú lekára ako hrdinu.
halfway	v polovici	Zastavili sme sa v polovici kopca.
halt	zastavenie	Vlak náhle zastal.
handful	hrsť	Hrsť dobrovoľníkov zostala do neskorej noci.
handling	zaobchádzanie	Správne zaobchádzanie zabraňuje poškodeniu.
handy	užitočný	Tento nástroj je užitočný na opravy.
harassment	obťažovanie	Spoločnosť vyšetrovala sťažnosti na obťažovanie.
hardware	hardvér	Obchod predáva počítačový hardvér.
harmony	harmónia	Zbor spieval v dokonalej harmónii.
harsh	prísny	Sudca vyniesol prísny rozsudok.
harvest	žatva	Žatva sa začína v septembri.
haunt	prenasledovať	Spomienka ho naďalej prenasledovala.
hazard	nebezpečenstvo	Ľad predstavuje vážne nebezpečenstvo na cestách.
heighten	zvýšiť	Prejav môže zvýšiť napätie.
heritage	dedičstvo	Hrad je súčasťou miestneho dedičstva.
hierarchy	hierarchia	Hierarchia v kancelárii je jasne definovaná.
high-profile	ostro sledovaný	Ostro sledovaný súdny proces pritiahol reportérov.
hint	nápoveda	Dala mi užitočnú nápovedu.
homeland	vlasť	Vrátil sa do svojej vlasti.
hopeful	plný nádeje	Lekári sú plní nádeje na uzdravenie.
horizon	horizont	Slnko zmizlo za horizontom.
horn	klaksón	Klaksón auta všetkých zobudil.
hostage	rukojemník	Rukojemník sa vrátil domov.
hostile	nepriateľský	Dav sa stal nepriateľským.
hostility	nepriateľstvo	Otvorené nepriateľstvo ukončilo rozhovory.
humanitarian	humanitárny	Humanitárna misia dodala jedlo.
humanity	ľudstvo	Ľudstvo čelí spoločným výzvam.
humble	skromný	Po úspechu zostala skromná.
hydrogen	vodík	Vodík veľmi ľahko horí.
identification	identifikácia	Pri vstupe sa vyžaduje identifikácia.
ideological	ideologický	Spor mal ideologické korene.
ideology	ideológia	Jeho ideológia formovala každý prejav.
idiot	idiot	Nikoho nenazývaj idiotom.
ignorance	nevedomosť	Nevedomosť môže šíriť strach.
imagery	obraznosť	Báseň využíva živú obraznosť.
immense	obrovský	Projekt si vyžadoval obrovské úsilie.
imminent	bezprostredný	Búrka sa zdala bezprostredná.
implementation	implementácia	Implementácia zákona bola pomalá.
imprison	uväzniť	Režim sa snažil uväzniť kritikov.
imprisonment	uväznenie	Jeho uväznenie trvalo päť rokov.
inability	neschopnosť	Jej neschopnosť sústrediť sa znepokojovala učiteľov.
inadequate	nedostatočný	Úkryt mal nedostatočné vykurovanie.
inappropriate	nevhodný	Jeho vtip bol nevhodný.
incidence	výskyt	Výskyt chrípky sa zvýšil.
inclined	naklonený	Je naklonená súhlasiť.
inclusion	inklúzia	Škola podporuje inklúziu.
