simplified	HI	example_HI
鞭炮	पटाखा	वसंत त्योहार पर कुछ लोग पटाखे चलाते हैं।
便	तब; फिर	खाना खाने के बाद वह कक्षा में चला गया।
辩论	बहस करना	वे इस सवाल पर बहस कर रहे हैं।
标点	विराम-चिह्न	कृपया विराम-चिह्नों पर ध्यान दें।
标志	चिह्न; संकेत	लाल बत्ती रुकने का संकेत है।
表达	व्यक्त करना	उसने अपनी राय व्यक्त की।
表面	सतह	मेज़ की सतह बहुत साफ़ है।
表明	दिखाना; सिद्ध करना	नतीजे से सिद्ध हुआ कि वह सही था।
表情	चेहरे का भाव	उसके चेहरे का भाव बहुत गंभीर है।
表现	प्रदर्शन	आज उसका प्रदर्शन बहुत अच्छा रहा।
冰激凌	आइसक्रीम	बच्चों को आइसक्रीम खाना पसंद है।
病毒	वायरस	यह वायरस बहुत तेज़ी से फैलता है।
播放	चलाना	कृपया यह गाना चलाइए।
玻璃	काँच	काँच का गिलास टूट गया।
博物馆	संग्रहालय	हम सप्ताहांत में संग्रहालय जाएँगे।
脖子	गर्दन	मेरी गर्दन में थोड़ा दर्द है।
不断	लगातार	क़ीमतें लगातार बढ़ रही हैं।
不见得	ज़रूरी नहीं	यह ज़रूरी नहीं कि यह बुरी बात हो।
不耐烦	अधीर	बहुत देर इंतज़ार करने के बाद वह थोड़ा अधीर हो गया।
不要紧	कोई बात नहीं	कोई बात नहीं, इससे फ़र्क नहीं पड़ता।
补充	जोड़ना	मैं एक राय और जोड़ना चाहता हूँ।
不安	बेचैन	यह ख़बर सुनकर वह बेचैन हो गई।
不得了	बहुत गंभीर	यह मामला सचमुच बहुत गंभीर है।
不然	नहीं तो	जल्दी चलो, नहीं तो देर हो जाएगी।
不如	बेहतर होगा	गाड़ी लेने के बजाय पैदल चलना बेहतर होगा।
不足	अपर्याप्त	यहाँ पानी पर्याप्त नहीं है।
布	कपड़ा	यह कपड़े का टुकड़ा बहुत मुलायम है।
步骤	कदम; चरण	कृपया चरणों के अनुसार काम करें।
部门	विभाग	मैं बिक्री विभाग में काम करता हूँ।
财产	संपत्ति	यह घर उसकी संपत्ति है।
彩虹	इंद्रधनुष	बारिश के बाद इंद्रधनुष निकला।
踩	पैर रखना	घास पर पैर मत रखो।
采访	साक्षात्कार लेना	पत्रकार डॉक्टर का साक्षात्कार ले रहा है।
采取	अपनाना	हमने एक नया तरीका अपनाया।
参考	संदर्भ लेना	कृपया इस किताब को संदर्भ के रूप में देखें।
参与	भाग लेना	वह गतिविधियों में सक्रिय रूप से भाग लेता है।
惭愧	शर्मिंदा	मुझे अपनी ग़लती पर शर्म आई।
操场	मैदान	छात्र मैदान में दौड़ रहे हैं।
操心	चिंता करना	मेरी चिंता मत करो।
册	प्रति; खंड	मैंने किताब की एक प्रति खरीदी।
测验	छोटी परीक्षा	कल एक छोटी परीक्षा है।
曾经	कभी	मैं कभी बीजिंग में रहता था।
叉子	काँटा	मैं सलाद काँटे से खाता हूँ।
差距	अंतर	शहर और गाँव के बीच अंतर है।
插	लगाना	कृपया फूलों को फूलदान में लगा दें।
拆	तोड़ना; गिराना	मज़दूर पुराना घर गिरा रहे हैं।
产品	उत्पाद	इस उत्पाद की गुणवत्ता बहुत अच्छी है।
产生	पैदा करना	इस मुद्दे ने नया प्रभाव पैदा किया।
常识	सामान्य ज्ञान	यह बुनियादी सामान्य ज्ञान है।
长途	लंबी दूरी	लंबी यात्रा थका देती है।
抄	नकल करना	कृपया दूसरों का होमवर्क नकल करके मत लिखिए।
超级	सुपर; बहुत बड़ा	यह एक सुपरमार्केट है।
朝	राजवंश	तांग राजवंश बहुत प्रसिद्ध है।
潮湿	नम	दक्षिण में गर्मियाँ बहुत नम होती हैं।
吵	शोरगुल वाला	बाहर बहुत शोर है।
吵架	झगड़ा करना	वे फिर झगड़ पड़े।
炒	भूनना; तलना	माँ सब्ज़ी भून रही हैं।
车库	गैरेज	गाड़ी गैरेज में खड़ी है।
车厢	डिब्बा	यह रेल डिब्बा बहुत शांत है।
彻底	पूरी तरह	वह पूरी तरह समझ गया।
沉默	चुप्पी	वह पूरे समय चुप रहा।
趁	जब तक	अँधेरा होने से पहले चलें।
称	तौलना	कृपया इस पार्सल को तौल दीजिए।
称呼	संबोधित करना	मुझे नहीं पता कि उसे कैसे संबोधित करूँ।
称赞	प्रशंसा करना	शिक्षक ने उसकी प्रगति की प्रशंसा की।
成分	घटक	इस दवा के घटक सरल हैं।
成果	परिणाम; उपलब्धि	इस परियोजना के अच्छे परिणाम मिले।
成就	उपलब्धि	उसने अपने करियर में कई उपलब्धियाँ हासिल की हैं।
成立	स्थापित होना	कंपनी पिछले साल स्थापित हुई।
成人	वयस्क	वयस्क टिकट बच्चों के टिकट से महँगा है।
成熟	पका हुआ; परिपक्व	सेब पहले ही पक चुके हैं।
成语	मुहावरा	यह मुहावरा बहुत आम है।
成长	बड़ा होना	बच्चा धीरे-धीरे बड़ा हो रहा है।
承担	ज़िम्मेदारी लेना	वह ज़िम्मेदारी लेने को तैयार है।
承认	स्वीकार करना	उसने स्वीकार किया कि वह ग़लत था।
承受	सहना	मैं इतना बड़ा दबाव नहीं सह सकता।
程度	स्तर	उसकी चीनी भाषा का स्तर बहुत ऊँचा है।
程序	प्रक्रिया; कार्यविधि	कृपया प्रक्रिया के अनुसार काम पूरा करें।
诚恳	ईमानदार; सच्चा	उसका रवैया बहुत ईमानदार है।
吃亏	नुकसान उठाना; ठगा जाना	कुछ खरीदने से पहले ध्यान से देखो, ताकि नुकसान न उठाना पड़े।
持续	जारी रहना	बारिश तीन दिन तक जारी रही।
池塘	तालाब	तालाब में बहुत सारी मछलियाँ हैं।
迟早	देर-सवेर	देर-सवेर तुम समझ जाओगे।
尺子	रूलर; पैमाना	कृपया रूलर से नाप लें।
翅膀	पंख	पक्षी का पंख घायल हो गया।
充电器	चार्जर	मेरा चार्जर खराब हो गया है।
充分	पर्याप्त; पूरा	हमने पूरी तैयारी की।
充满	भरा होना	कमरा हँसी से भर गया।
冲	पानी से खंगालना; धोना	कृपया कप को पानी से खंगाल दें।
重复	दोहराना	कृपया वही गलती दोबारा न दोहराएँ।
宠物	पालतू जानवर	उसने एक पालतू कुत्ता रखा है।
抽屉	दराज़	चाबी दराज़ में है।
抽象	अमूर्त	यह अवधारणा बहुत अमूर्त है।
丑	बदसूरत	यह तस्वीर थोड़ी बदसूरत है।
臭	बदबूदार	कूड़े से बहुत बदबू आ रही है।
出版	प्रकाशित करना	यह किताब पिछले साल प्रकाशित हुई।
出口	निकास	निकास आगे है।
出色	उत्कृष्ट	उसका प्रदर्शन बहुत उत्कृष्ट है।
出示	दिखाना; प्रस्तुत करना	कृपया अपना पासपोर्ट दिखाइए।
出席	उपस्थित होना	वह बैठक में उपस्थित होगा।
初级	प्रारंभिक स्तर	मैं प्रारंभिक कक्षा में चीनी पढ़ता हूँ।
除非	जब तक नहीं; सिवाय इसके कि	अगर बारिश नहीं हुई, तो हम कल पहाड़ पर चढ़ने जाएँगे।
除夕	चीनी नववर्ष की पूर्व संध्या	चीनी नववर्ष की पूर्व संध्या पर हमारा पूरा परिवार साथ खाना खाता है।
处理	निपटाना; संभालना	मैं यह समस्या संभाल लूँगा।
传播	फैलना; प्रसारित होना	यह ख़बर बहुत तेज़ी से फैल गई।
传染	संक्रमित होना; फैलना	ज़ुकाम आसानी से फैलता है।
传说	किंवदंती; लोककथा	यह एक प्राचीन किंवदंती है।
传统	परंपरा; पारंपरिक	वसंत त्योहार चीन का पारंपरिक त्योहार है।
窗帘	पर्दा	कृपया पर्दे खोल दें।
闯	घुस जाना; नियम तोड़ना	उसने गलती से लाल बत्ती पार कर ली।
创造	बनाना; सृजन करना	लोगों ने नए औज़ार बनाए।
吹	बहना; फूँकना	हवा बहुत तेज़ चल रही है।
词汇	शब्दावली	यह शब्दावली बहुत आम है।
辞职	इस्तीफ़ा देना	उसने इस्तीफ़ा देने का फैसला किया।
此外	इसके अलावा	इसके अलावा, मेरा एक और सवाल है।
刺激	रोमांचक; उत्तेजक	यह खेल बहुत रोमांचक है।
次要	गौण; कम महत्वपूर्ण	यह समस्या गौण है।
匆忙	जल्दबाज़ी में	वह जल्दबाज़ी में घर से निकल गया।
从此	तब से	तब से वह रोज़ व्यायाम करता है।
从而	जिससे; इस तरह	उसने मेहनत से पढ़ाई की, जिससे वह परीक्षा पास कर गया।
从前	पहले; पुराने समय में	पहले यहाँ मेट्रो नहीं थी।
从事	काम करना; संलग्न होना	वह शिक्षा के क्षेत्र में काम करती है।
粗糙	खुरदरा	यह कागज़ बहुत खुरदरा है।
促进	बढ़ावा देना	व्यायाम स्वास्थ्य को बढ़ावा देता है।
促使	प्रेरित करना; मजबूर करना	इस घटना ने उसे योजना बदलने के लिए प्रेरित किया।
醋	सिरका	सब्ज़ी में सिरका डाला गया है।
催	जल्दी करने को कहना	माँ ने मुझे जल्दी बाहर निकलने को कहा।
存在	मौजूद होना	यह समस्या अब भी मौजूद है।
措施	उपाय	स्कूल ने सुरक्षा उपाय किए।
答应	मान जाना; वादा करना	वह मेरी मदद करने के लिए मान गया।
达到	पहुँचना; हासिल करना	उसके अंक मानक तक पहुँच गए।
打工	अंशकालिक काम करना	वह गर्मियों की छुट्टियों में रेस्तराँ में अंशकालिक काम करता है।
打交道	संपर्क रखना; व्यवहार करना	मैं अक्सर ग्राहकों से व्यवहार करता हूँ।
打喷嚏	छींकना	उसे ज़ुकाम है और वह लगातार छींक रहा है।
打听	पूछताछ करना	मैं ट्रेन टिकटों के बारे में पूछताछ करना चाहता हूँ।
大方	दरियादिल; उदार	वह पैसे खर्च करने में बहुत उदार है।
大厦	ऊँची इमारत	वह ऊँची इमारत बहुत लंबी है।
大象	हाथी	बच्चे चिड़ियाघर में हाथी देख रहे हैं।
大型	बड़े पैमाने का; बड़ा	यहाँ एक बड़ा शॉपिंग मॉल बनाया जाएगा।
呆	रुकना; ठहरना	वह घर पर रहकर किताब पढ़ता है।
代表	प्रतिनिधित्व करना	यह फूल दोस्ती का प्रतिनिधित्व करता है।
代替	की जगह लेना	आज मैं उसकी जगह बैठक में जाऊँगा।
待遇	सुविधाएँ; व्यवहार	इस कंपनी की सुविधाएँ अच्छी हैं।
贷款	कर्ज़; ऋण	उन्होंने घर के लिए ऋण का आवेदन किया।
单纯	सरल; भोला	उसका विचार बहुत सरल है।
单调	एकरस	यह काम थोड़ा एकरस है।
单独	अकेले; अलग से	मैं तुमसे अलग से बात करना चाहता हूँ।
单位	इकाई; संस्था	वह एक सार्वजनिक संस्था में काम करता है।
单元	इकाई; पाठ	आज हम तीसरी इकाई पढ़ रहे हैं।
担任	का पद संभालना	वह इस कार्यक्रम की प्रभारी है।
耽误	देरी कराना; समय लेना	सबका समय बर्बाद मत करो।
胆小鬼	डरपोक	उसे डरपोक मत कहो।
淡	फीका	यह सूप थोड़ा फीका है।
当地	स्थानीय	स्थानीय लोग इस बाज़ार को पसंद करते हैं।
当心	सावधान रहना	सड़क फिसलन भरी है, ज़रा सावधान रहो।
挡	रोकना; रास्ता बंद करना	इस गाड़ी ने दरवाज़े का रास्ता रोक दिया है।
倒霉	बदकिस्मत	आज सचमुच बदकिस्मती रही, मेरा फ़ोन खो गया।
导演	निर्देशक	यह निर्देशक बहुत प्रसिद्ध है।
导致	कारण बनना	भारी बारिश से यातायात जाम हो गया।
岛屿	द्वीप	इस देश में बहुत सारे द्वीप हैं।
到达	पहुँचना	ट्रेन समय पर शंघाई पहुँची।
道德	नैतिकता	इंसान को नैतिक सिद्धांतों का पालन करना चाहिए।
道理	तर्क; बात	उसकी बात में बहुत तर्क है।
登记	पंजीकरण करना	कृपया पहले रिसेप्शन पर पंजीकरण कराइए।
等待	इंतज़ार करना	हम नतीजे का इंतज़ार कर रहे हैं।
等于	बराबर होना	पाँच और पाँच दस के बराबर होते हैं।
滴	बूँद	पानी की एक बूँद मेज़ पर गिरी।
敌人	दुश्मन	वे दुश्मन नहीं हैं।
的确	वास्तव में; सचमुच	यह मामला सचमुच बहुत महत्वपूर्ण है।
地道	खरा; असली	वह खाँटी बीजिंग बोली बोलता है।
地理	भूगोल	मुझे चीन के भूगोल में बहुत रुचि है।
地区	क्षेत्र	इस क्षेत्र में सर्दियों में बहुत ठंड होती है।
地毯	कालीन	बैठक में एक कालीन बिछा है।
地位	स्थान; दर्जा	समाज में शिक्षा का महत्वपूर्ण स्थान है।
地震	भूकंप	कल रात यहाँ भूकंप आया।
递	देना; पास करना	कृपया यह पत्र शिक्षक को दे दीजिए।
点心	नाश्ता; हल्का अल्पाहार	दोपहर में हमने हल्का नाश्ता किया।
电池	बैटरी	इस खिलौने को दो बैटरियों की ज़रूरत है।
电台	रेडियो स्टेशन	वह रेडियो स्टेशन में कार्यक्रम करता है।
钓	मछली पकड़ना	दादाजी नदी किनारे मछली पकड़ना पसंद करते हैं।
顶	टोपी के लिए वर्गसूचक; चोटी	उसने एक काली टोपी पहनी है।
冻	जमना	बाहर इतनी ठंड है कि पानी जम गया।
动画片	कार्टून	बच्चे कार्टून देख रहे हैं।
洞	छेद	दीवार में एक छोटा छेद है।
豆腐	टोफू	यह टोफू वाला व्यंजन स्वादिष्ट है।
逗	हँसाना; छेड़ना	उसकी बातों ने सबको हँसा दिया।
独立	स्वतंत्र	वह स्वतंत्र रूप से जीना चाहती है।
独特	अनोखा; विशिष्ट	इस शहर की संस्कृति अनोखी है।
度过	बिताना	हमने छुट्टियाँ समुद्र किनारे बिताईं।
断	टूटना	यह रस्सी टूट गई।
堆	ढेर	मेज़ पर बहुत सारे दस्तावेज़ों का ढेर लगा है।
兑换	मुद्रा बदलना	मैं कुछ रेनमिन्बी बदलना चाहता हूँ।
对比	तुलना करना	कृपया इन दोनों योजनाओं की तुलना करें।
对待	व्यवहार करना	हमें हर व्यक्ति के साथ न्यायपूर्ण व्यवहार करना चाहिए।
对方	दूसरा पक्ष	कृपया पहले दूसरे पक्ष की राय सुनिए।
对手	प्रतिद्वंद्वी	उसका प्रतिद्वंद्वी बहुत मज़बूत है।
对象	विषय; लक्ष्य	अध्ययन के विषय विश्वविद्यालय के छात्र हैं।
吨	टन	यह ट्रक तीन टन माल ढो सकता है।
蹲	उकड़ूँ बैठना	वह ज़मीन पर उकड़ूँ बैठकर चाबी ढूँढ़ रहा है।
顿	भोजन के लिए वर्गसूचक	हमने साथ में रात का खाना खाया।
多亏	की बदौलत	तुम्हारी मदद की बदौलत मैंने काम पूरा किया।
多余	अनावश्यक	यह वाक्य अनावश्यक है।
朵	फूल के लिए वर्गसूचक	मेज़ पर एक फूल रखा है।
躲藏	छिपना	छोटी बिल्ली बिस्तर के नीचे छिपी है।
恶劣	बहुत खराब; कठोर	आज मौसम बहुत खराब है।
耳环	कान की बाली	उसने कानों में बालियों की एक जोड़ी पहनी है।
发表	व्यक्त करना; प्रकाशित करना	उसने बैठक में अपनी राय व्यक्त की।
发愁	चिंता करना	इस छोटी-सी बात की चिंता मत करो।
发达	विकसित	इस शहर की यातायात व्यवस्था बहुत विकसित है।
发抖	काँपना	वह ठंड से लगातार काँप रहा है।
发挥	उपयोग में लाना; दिखाना	कृपया अपनी कल्पना-शक्ति का उपयोग करें।
发明	आविष्कार	बिजली का बल्ब एक महत्वपूर्ण आविष्कार है।
发票	रसीद; चालान	कृपया मुझे रसीद दे दीजिए।
发言	बोलना; वक्तव्य देना	उसने बैठक में वक्तव्य दिया।
罚款	जुर्माना	गलत जगह गाड़ी खड़ी करने पर जुर्माना लगेगा।
法院	अदालत	यह मामला अदालत को सौंपा गया।
翻	पलटना	कृपया किताब का दसवाँ पन्ना खोलिए।
繁荣	समृद्ध होना	अर्थव्यवस्था धीरे-धीरे समृद्ध हो रही है।
反而	इसके बजाय; उल्टा	वह नाराज़ नहीं हुआ, उल्टा हँस पड़ा।
反复	बार-बार	इस वाक्य का बार-बार अभ्यास करना होगा।
反应	प्रतिक्रिया	उसकी प्रतिक्रिया बहुत तेज़ है।
反映	दिखाना; प्रतिबिंबित करना	यह रिपोर्ट वास्तविक स्थिति दिखाती है।
反正	वैसे भी	वैसे भी मेरे पास कल समय है।
范围	दायरा; सीमा	कृपया इस दायरे से बाहर न जाएँ।
方	चौकोर; वर्ग	कृपया कागज़ पर एक वर्ग बनाइए।
方案	योजना; प्रस्ताव	यह योजना काफ़ी उचित है।
方式	तरीका	पढ़ाई का यह तरीका बहुत प्रभावी है।
妨碍	बाधा डालना	कृपया दूसरों के काम में बाधा न डालें।
仿佛	मानो; जैसे	वह मानो सब कुछ जानता है।
非	के बिना नहीं; अवश्य	यह काम तुम्हारे बिना नहीं हो सकता।
肥皂	साबुन	हाथ धोते समय साबुन का उपयोग करें।
废话	बकवास	बकवास कम करो, जल्दी शुरू करो।
分别	अलग होना; विदा लेना	वे स्टेशन पर अलग हुए।
分布	फैला होना; वितरित होना	ये दुकानें शहर भर में फैली हैं।
分配	बाँटना; सौंपना	शिक्षक ने नया काम सौंपा।
分手	अलग होना	वे पिछले साल अलग हो गए।
分析	विश्लेषण करना	हमें कारणों का विश्लेषण करना होगा।
纷纷	एक-एक करके; लगातार	सबने एक-एक करके सहमति जताई।
奋斗	संघर्ष करना; प्रयास करना	युवाओं को अपने सपनों के लिए संघर्ष करना चाहिए।
疯狂	पागलपन भरा	प्रशंसक पागलों की तरह जयकार कर रहे थे।
风格	शैली	इस रेस्तराँ की शैली बहुत खास है।
风景	दृश्य; नज़ारा	पहाड़ पर दृश्य बहुत सुंदर है।
风俗	रीति-रिवाज	हर जगह के अपने रीति-रिवाज होते हैं।
风险	जोखिम	निवेश में कुछ जोखिम होता है।
讽刺	व्यंग्य करना	इस लेख ने सामाजिक समस्याओं पर व्यंग्य किया।
否定	नकारना	उसने इस बात को नकार दिया।
否认	इन्कार करना	उसने अपनी गलती से इन्कार किया।
幅	चित्र के लिए वर्गसूचक	दीवार पर एक चित्र टँगा है।
扶	सहारा देना	कृपया बुज़ुर्ग को सड़क पार कराने में सहारा दें।
服装	कपड़े; पोशाक	यह दुकान बच्चों के कपड़े बेचती है।
辅导	ट्यूशन देना; मार्गदर्शन करना	शिक्षक कक्षा के बाद छात्रों को मार्गदर्शन देते हैं।
复制	प्रतिलिपि बनाना	कृपया इस दस्तावेज़ की प्रतिलिपि बना दें।
妇女	महिलाएँ	यह अस्पताल महिलाओं को सेवाएँ देता है।
改革	सुधार	स्कूल शिक्षण-सुधार कर रहा है।
改进	सुधारना	हमें सेवा की गुणवत्ता सुधारनी होगी।
改善	बेहतर बनाना	व्यायाम नींद को बेहतर बना सकता है।
改正	सुधारना	कृपया गलती समय पर सुधारें।
概括	सारांश देना	कृपया लेख की सामग्री का सारांश दीजिए।
概念	अवधारणा	यह अवधारणा समझना बहुत आसान नहीं है।
盖	ढकना	कृपया कप को ठीक से ढक दें।
干脆	सीधे; बेहतर होगा	बेहतर होगा कि तुम आज मत जाओ।
干燥	सूखा	उत्तर की सर्दियाँ बहुत सूखी होती हैं।
感激	आभारी होना	मैं तुम्हारी मदद के लिए बहुत आभारी हूँ।
感受	भावना; अनुभव	मैं तुम्हारी भावनाएँ समझ सकता हूँ।
感想	विचार; अनुभव	कृपया अपने विचार बताइए।
赶紧	जल्दी करना	देर हो रही है, जल्दी चलो।
赶快	जल्दी	जल्दी दरवाज़ा बंद करो।
干活儿	काम करना	वह आँगन में काम कर रहा है।
钢铁	इस्पात; स्टील	यह पुल इस्पात से बना है।
高档	उच्च श्रेणी का	यह एक उच्च श्रेणी का होटल है।
高级	उन्नत स्तर	वह उन्नत चीनी कक्षा में शामिल हुई।
搞	करना; आयोजित करना	तुम कौन-सा कार्यक्रम आयोजित कर रहे हो?
告别	विदा लेना	हमने हवाई अड्डे पर दोस्त से विदा ली।
格外	खास तौर पर; बहुत	आज आसमान खास तौर पर नीला है।
隔壁	बगल वाला; पड़ोस	बगल में एक शिक्षक रहते हैं।
个别	कुछ; अलग-अलग	कुछ छात्रों ने अभी तक होमवर्क जमा नहीं किया है।
个人	व्यक्तिगत	यह मेरी व्यक्तिगत राय है।
个性	व्यक्तित्व	उसका व्यक्तित्व बहुत अलग है।
各自	अपना-अपना	सब अपना-अपना काम पूरा करते हैं।
根	लंबी पतली चीज़ के लिए वर्गसूचक	मेज़ के नीचे एक तार है।
根本	बिलकुल; मूल रूप से	यह समस्या बिलकुल मुश्किल नहीं है।
公布	घोषित करना	स्कूल ने परीक्षा के परिणाम घोषित किए।
公开	सार्वजनिक; खुला	यह बैठक सार्वजनिक है।
公平	न्यायपूर्ण; निष्पक्ष	प्रतियोगिता निष्पक्ष होनी चाहिए।
公寓	अपार्टमेंट	उसने एक छोटा अपार्टमेंट किराए पर लिया।
公元	ईस्वी सन	यह वर्ष ईस्वी सन दो हज़ार छब्बीस है।
公主	राजकुमारी	छोटी लड़की को राजकुमारी की कहानियाँ पसंद हैं।
功能	कार्य; फ़ंक्शन	इस सॉफ़्टवेयर में बहुत सारे कार्य हैं।
工厂	कारखाना	यह कारखाना कारें बनाता है।
工程师	इंजीनियर	मेरा बड़ा भाई इंजीनियर है।
工具	औज़ार	साइकिल ठीक करने के लिए औज़ार चाहिए।
工人	मज़दूर	मज़दूर सड़क की मरम्मत कर रहे हैं।
工业	उद्योग	यह शहर मुख्य रूप से उद्योग पर आधारित है।
恭喜	बधाई	परीक्षा पास करने पर तुम्हें बधाई।
贡献	योगदान	उसने कंपनी के लिए योगदान दिया।
沟通	संचार	अच्छा संचार बहुत महत्वपूर्ण है।
构成	बनना; गठित करना	ये हिस्से मिलकर एक पूरा रूप बनाते हैं।
姑姑	बुआ	मैं सप्ताहांत में बुआ से मिलने जा रहा हूँ।
姑娘	युवती; लड़की	वह युवती बहुत मददगार है।
古代	प्राचीन काल	प्राचीन काल में मोबाइल फ़ोन नहीं थे।
古典	शास्त्रीय	मुझे शास्त्रीय संगीत पसंद है।
股票	शेयर	उसने कुछ शेयर खरीदे।
骨头	हड्डी	यह हड्डी बहुत सख्त है।
鼓舞	उत्साहित करना; प्रेरित करना	यह ख़बर बहुत प्रेरक है।
鼓掌	ताली बजाना	दर्शकों ने अभिनेताओं के लिए ताली बजाई।
固定	निश्चित	मेरे काम के घंटे निश्चित हैं।
挂号	डॉक्टर के लिए पंजीकरण कराना	डॉक्टर को दिखाने से पहले पंजीकरण कराना होता है।
乖	आज्ञाकारी; अच्छा बच्चा	यह बच्चा बहुत आज्ञाकारी है।
拐弯	मुड़ना	आगे चौराहे पर दाईं ओर मुड़िए।
怪不得	तभी तो; कोई आश्चर्य नहीं	तभी तो तुम इतने थके हुए हो।
关闭	बंद करना	जाने से पहले कंप्यूटर बंद कर दें।
官	अधिकारी	वह एक युवा अधिकारी है।
观察	निरीक्षण करना	डॉक्टर मरीज़ की स्थिति का निरीक्षण कर रहे हैं।
观点	दृष्टिकोण	मैं तुम्हारे दृष्टिकोण से सहमत हूँ।
观念	विचारधारा; धारणा	युवाओं की धारणाएँ बदल रही हैं।
管子	पाइप	यह पाइप पानी छोड़ रहा है।
冠军	चैंपियन; विजेता	उसने प्रतियोगिता में चैंपियनशिप जीती।
光滑	चिकना	इस मेज़ की सतह बहुत चिकनी है।
光临	पधारना	आपका अगली बार फिर पधारना स्वागत योग्य है।
光明	उज्ज्वल	भविष्य उज्ज्वल है।
光盘	डिस्क	कृपया सामग्री को डिस्क में सहेज दें।
广场	चौक; मैदान	चौक में बहुत लोग हैं।
广大	विशाल; बड़ी संख्या में	इस ख़बर का बहुत से छात्रों ने स्वागत किया।
广泛	व्यापक	इस किताब का प्रभाव व्यापक है।
归纳	सार निकालना; संक्षेप करना	शिक्षक ने हमें मुख्य बिंदुओं का सार निकालने में मदद की।
规矩	नियम; तहज़ीब	बच्चों को नियम-कायदे समझने चाहिए।
规律	नियमितता; नियम	जीवन में नियमितता होनी चाहिए।
规模	पैमाना	इस कंपनी का पैमाना बहुत बड़ा है।
规则	नियम	प्रतियोगिता के नियम बहुत स्पष्ट हैं।
柜台	काउंटर	कृपया काउंटर पर भुगतान करें।
滚	उबलना; लुढ़कना	पानी पहले ही उबल चुका है।
锅	बर्तन; कड़ाही	बर्तन में गरम सूप है।
国庆节	राष्ट्रीय दिवस	राष्ट्रीय दिवस पर हमारी छुट्टी होती है।
国王	राजा	राजा महल में रहता है।
果然	जैसा अपेक्षित था	वह सचमुच समय पर पहुँच गया।
果实	फल	पेड़ फलों से भर गया है।
过分	हद से ज़्यादा	उसकी माँग थोड़ी हद से ज़्यादा है।
过敏	एलर्जी होना	मुझे पराग से एलर्जी है।
过期	समाप्त हो जाना; तारीख निकल जाना	दूध की यह बोतल पहले ही खराब होने की तारीख पार कर चुकी है।
