source_headword	KO	example_KO
assurance	확언	관리자는 지원에 대한 확언을 해주었습니다.
asylum	망명	그 가족은 국경에서 망명을 요청했습니다.
atrocity	잔혹 행위	그 영화는 전시의 잔혹 행위를 묘사했습니다.
attain	도달하다	그 속도에 도달하는 러너는 거의 없습니다.
attendance	참석	발표 이후 참석률이 향상되었습니다.
attorney	변호사	변호사가 증인을 심문했습니다.
attribute	~의 결과로 보다	과학자들은 그 증가를 오염의 결과로 봅니다.
audit	감사	감사에서 몇 가지 오류가 발견되었습니다.
authentic	정통의	그 식당은 정통 지역 음식을 제공합니다.
authorize	권한을 부여하다	관리자만이 환불을 승인할 수 있습니다.
auto	자동차	자동차 산업은 빠르게 변화했다.
autonomy	자치	그 지역은 더 큰 자치권을 원한다.
availability	이용 가능성	좌석 이용 가능성이 제한되어 있다.
await	기다리다	여러 메시지가 당신의 답장을 기다리고 있다.
backdrop	배경	산들이 극적인 배경을 형성했다.
backing	지원	그 제안은 유권자들의 지지를 얻었다.
backup	백업	시스템은 매일 백업을 생성한다.
bail	보석금	판사는 정오에 보석금을 책정했다.
ballot	투표용지	각 유권자는 투표용지를 받았다.
banner	현수막	현수막이 입구 위에 걸려 있었다.
bare	벌거벗은	그 방에는 빈 벽만 있었다.
barrel	통	통은 물로 가득 차 있었다.
bass1	베이스	베이스 소리가 깊고 따뜻하게 들렸다.
battlefield	전장	옛 전장은 기념관이 되었다.
bay	만	그 마을은 조용한 만 옆에 있다.
beam	보	강철 보가 지붕을 지탱하고 있다.
beast	야수	그 이야기는 사나운 야수를 묘사한다.
behalf	대신	그녀는 팀을 대표하여 말했다.
beloved	사랑받는	그 사랑받는 선생님은 오늘 은퇴했다.
bench	벤치	그들은 나무 벤치에 앉았다.
benchmark	기준	그 테스트는 업계 기준이 되었다.
beneath	~의 아래에	서류는 폴더 아래에 있었다.
beneficiary	수혜자	그녀의 아들이 주요 수혜자였다.
betray	배신하다	친구의 신뢰를 배신하지 마라.
bind	구속하다	그 합의는 두 회사 모두를 구속할 것이다.
biography	전기	그의 전기는 많은 부수가 팔렸다.
bishop	주교	주교는 마을 교회를 방문했다.
bizarre	기괴한	그 영화는 기괴한 결말을 가졌다.
blade	칼날	칼날이 밧줄을 잘랐다.
blast	폭발	폭발로 근처 창문들이 깨졌다.
bleed	피를 흘리다	베인 상처에서 피가 많이 나기 시작했다.
blend	섞다	부드러워질 때까지 소스를 섞으세요.
bless	축복하다	신부가 그 집을 축복할 것이다.
blessing	축복	지원을 받은 것은 축복이었다.
boast	자랑하다	그는 돈에 대해 자랑하는 것을 좋아한다.
bonus	보너스	직원들은 명절 보너스를 받았다.
boom	호황	그 도시는 건설 호황을 겪었다.
bounce	튀다	그 공은 아주 높이 튈 수 있다.
boundary	경계	강이 경계를 표시한다.
bow1	절	배우가 깊이 절을 했다.
breach	유출	유출로 인해 개인 데이터가 노출되었다.
breakdown	내역	보고서에는 비용 내역이 포함되어 있다.
breakthrough	돌파구	그 발견은 주요한 돌파구였다.
breed	번식하다	이 새들은 봄에 번식한다.
broadband	브로드밴드	사무실에는 더 빠른 브로드밴드가 필요하다.
browser	브라우저	로그인하기 전에 브라우저를 업데이트하세요.
brutal	잔혹한	그 공격은 잔혹하고 갑작스러웠다.
buck	달러	표는 10달러이다.
buddy	친구	그의 친구는 밖에서 기다렸다.
buffer	완충제	나무들이 소음 완충 역할을 한다.
bulk	대량	그들은 쌀을 대량으로 샀다.
burden	부담	빚은 무거운 부담이 되었다.
bureaucracy	관료주의	관료주의로 인해 허가가 지연되었다.
burial	매장	매장은 새벽에 이루어졌다.
burst	터지다	파이프가 압력을 받아 터질 수 있다.
cabinet	내각	내각은 그 계획을 승인했다.
calculation	계산	계산하는 데 몇 분이 걸렸다.
canvas	캔버스	그 화가는 큰 캔버스에 그림을 그렸다.
capability	기능	그 기기는 무선 기능이 있다.
capitalism	자본주의	자본주의가 현대 경제를 형성했다.
capitalist	자본주의의	자본주의 체제는 민간 투자에 보상한다.
cargo	화물	그 배는 의료 화물을 운반했다.
carriage	객차	기차 객차는 거의 비어 있었다.
carve	조각하다	그는 나무를 조심스럽게 조각할 것이다.
casino	카지노	카지노가 호텔 근처에 문을 열었다.
casualty	사상자	충돌 사고로 한 명의 사상자가 발생했다.
catalogue	카탈로그	카탈로그에는 모든 제품이 나열되어 있다.
cater	음식을 공급하다	그 식당은 큰 행사에 음식을 공급할 수 있다.
cattle	소	소들이 강 근처에서 풀을 뜯었다.
caution	주의	빙판길에서는 주의하세요.
cautious	신중한	투자자들은 이번 주에도 신중한 태도를 유지하고 있다.
cease	중단하다	그 공장은 곧 생산을 중단할 것이다.
cemetery	묘지	그 묘지는 바다를 내려다보고 있다.
chamber	회의실	투표하는 동안 회의실은 조용했다.
chaos	혼란	지연으로 인해 공항에 혼란이 발생했다.
characterize	특징짓다	전문가들은 그 계획을 위험한 것으로 특징짓는다.
charm	매력	그 마을은 옛날의 매력을 가지고 있다.
charter	헌장	그 헌장은 기본권을 보호한다.
chronic	만성적인	그는 만성 요통을 앓고 있다.
chunk	덩어리	치즈를 덩어리로 자르세요.
circulate	회람하다	오늘 안건을 회람해 주세요.
circulation	발행 부수	그 신문의 발행 부수가 급격히 떨어졌다.
citizenship	시민권	그녀는 프랑스 시민권을 신청했다.
civic	시민의	시민 지도자들이 회의에 참석했다.
civilian	민간인	여러 민간인 주택이 피해를 입었다.
clarity	명확성	다이어그램이 보고서에 명확성을 더했다.
clash	충돌	충돌은 행진 후에 시작되었다.
classification	분류	분류는 크기에 따라 다르다.
cling	달라붙다	젖은 옷은 피부에 달라붙는다.
clinical	임상의	임상 시험은 다음 달에 시작된다.
closure	종결	그 가족은 사건 이후 종결을 원했다.
cluster	무리	근처에 집들이 모여 있었다.
coalition	연합	연합은 과반수를 잃었다.
coastal	해안의	해안 마을들은 홍수에 대비했다.
cocktail	칵테일	그녀는 과일 칵테일을 주문했다.
cognitive	인지적인	인지 능력은 연습과 함께 향상된다.
coincide	겹치다	그 축제는 졸업식과 겹칠 것이다.
collaborate	협력하다	팀들은 소프트웨어에 대해 협력한다.
collaboration	협업	그들의 협업은 강력한 결과를 만들어냈다.
collective	집단적인	그 결정은 집단적인 노력의 결과였다.
collision	충돌	충돌 사고로 고속도로가 막혔다.
colonial	식민지의	그 건물은 식민지 시대의 건축 양식을 가지고 있다.
columnist	칼럼니스트	그 칼럼니스트는 정책을 비판했다.
combat	전투	군인들은 전투 훈련을 받았다.
commence	시작되다	행사는 정오에 시작될 것이다.
commentary	해설	경기 해설이 생동감 넘쳤다.
commentator	해설자	해설자가 그 결정을 설명했다.
commerce	상업	온라인 상업이 빠르게 성장했다.
commissioner	위원	위원이 새로운 규칙을 발표했다.
commodity	상품	밀은 중요한 상품이다.
communist	공산주의의	공산당이 회의를 열었다.
companion	동반자	그녀의 개는 충실한 동반자이다.
comparable	필적하는	그 두 도시는 크기가 비슷하다.
compassion	동정심	그 간호사는 큰 동정심을 보였다.
compel	강요하다	증거는 답변을 강제할 수 있다.
compelling	설득력 있는	그 다큐멘터리는 설득력 있는 주장을 펼쳤다.
compensate	보상하다	회사는 피해를 입은 고객들에게 보상할 것이다.
compensation	보상	노동자들은 공정한 보상을 요구했다.
competence	능력	그 시험은 전문적인 능력을 측정한다.
competent	유능한	그녀는 유능한 엔지니어이다.
compile	엮다	연구원들은 병원들의 데이터를 수집하여 엮는다.
complement	보완하다	그 와인은 식사를 돋보이게 할 것이다.
complexity	복잡성	그 프로젝트는 예상치 못한 복잡성을 지니고 있다.
compliance	준수	감사는 법적 준수 여부를 확인했다.
complication	합병증	수술에는 합병증이 하나 있었다.
comply	준수하다	기업들은 규정을 준수해야 한다.
composition	작곡	그 곡에는 바이올린과 피아노가 포함되어 있다.
compromise	타협	그 타협안은 양측 모두를 만족시켰다.
compute	계산하다	그 프로그램은 총액을 계산할 수 있다.
conceal	숨기다	그는 피해를 숨기려 했다.
concede	인정하다	장관은 패배를 인정하기를 거부했다.
conceive	생각하다	그들은 더 나은 계획을 생각해내지 못했다.
conception	개념	그 영화는 역사에 대한 내 개념을 바꾸었다.
concession	양보	회사는 한 가지 양보를 제안했다.
condemn	규탄하다	지도자들은 그 공격을 공개적으로 규탄한다.
confer	수여하다	그 상은 명성을 부여할 것이다.
confession	자백	그의 자백은 법정을 놀라게 했다.
configuration	구성	그 구성은 네트워크 접근을 제어한다.
confine	제한하다	규칙은 개를 이 구역으로 제한한다.
confirmation	확인	우리는 이메일로 확인을 받았다.
confront	맞서다	그녀는 그 문제에 맞서기로 결정했다.
confrontation	대립	대립은 폭력 없이 끝났다.
congratulate	축하하다	나는 여동생을 축하하기 위해 전화했다.
congregation	신도	신도들이 함께 노래를 불렀다.
congressional	의회의	의회 청문회는 몇 시간 동안 계속되었다.
conquer	정복하다	그 팀은 시장을 정복하기를 희망한다.
conscience	양심	그의 양심은 거짓말을 허락하지 않았다.
consciousness	의식	사고는 그의 의식에 영향을 미쳤다.
consecutive	연속적인	그녀는 3경기 연속으로 이겼다.
consensus	합의	위원회는 빨리 합의에 도달했다.
consent	동의	서면 동의가 필요하다.
conserve	절약하다	우리는 가뭄 동안 물을 절약한다.
consistency	일관성	언어 학습에서는 일관성이 중요하다.
consolidate	통합하다	회사는 두 사무실을 통합할 것이다.
constituency	선거구	후보자는 모든 선거구를 방문했다.
constitute	구성하다	여성이 위원회의 절반을 구성한다.
constitution	헌법	헌법은 언론의 자유를 보장한다.
constitutional	헌법의	법원은 헌법상의 권리를 검토했다.
constraint	제약	예산 제약이 프로젝트를 제한했다.
consultation	상담	상담은 2주 동안 지속되었다.
contemplate	고려하다	그녀는 잠시 멈춰서 그 제안을 숙고했다.
contempt	경멸	그는 규칙에 대한 경멸을 보였다.
contend	다투다	여러 회사가 그 계약을 두고 경쟁한다.
contender	경쟁자	그녀는 강력한 경쟁자이다.
content2	만족하는	그는 결과에 만족했다.
contention	논쟁	주요 논쟁은 자금 지원에 관한 것이다.
continually	계속해서	시스템은 계속해서 오류를 검사한다.
contractor	계약자	계약자가 지붕을 수리했다.
contradiction	모순	그의 진술에는 모순이 포함되어 있었다.
contrary	반대의	반대되는 증거가 사건을 바꾸었다.
contributor	기고자	그녀는 정기적인 기고자이다.
conversion	변환	환전을 통해 달러가 유로로 바뀌었다.
convict	유죄를 선고하다	배심원단은 용의자에게 유죄를 선고할 수 있다.
conviction	유죄 판결	그의 유죄 판결은 대중을 충격에 빠뜨렸다.
cooperate	협조하다	수사에 협조해 주세요.
cooperative	협조적인	직원들은 협조적이고 차분했다.
coordinate	조정하다	그들은 매일 아침 배달을 조정한다.
coordination	조정	원활한 조정이 시간을 절약했다.
coordinator	조정자	조정자가 각 업무를 할당했다.
cop	경찰관	경찰관 한 명이 경찰서 밖에 서 있었다.
copper	구리	그 파이프는 구리로 만들어졌다.
copyright	저작권	그 이미지는 저작권으로 보호된다.
correction	정정	선생님은 한 가지를 정정했다.
correlate	연관되다	높은 스트레스는 질병과 연관될 수 있다.
correlation	상관관계	그 연구는 강한 상관관계를 발견했다.
correspond	일치하다	이 숫자들은 라벨과 일치한다.
correspondence	서신	그들의 서신 교환은 수년간 계속되었다.
correspondent	특파원	특파원이 카이로에서 보도했다.
corresponding	상응하는	각 버튼에는 상응하는 불빛이 있다.
corrupt	부패한	그 부패한 관리는 돈을 받았다.
corruption	부패	부패는 대중의 신뢰를 약화시켰다.
costly	대가가 큰	그 실수는 팀에게 큰 대가를 치르게 했다.
councillor	의원	의원은 주민들의 질문에 답했다.
counselling	상담	그녀는 사고 후 상담을 받았다.
counsellor	상담사	상담사는 신입생들을 도왔다.
counter (argue against)	반박하다	그녀는 그의 주장에 반박하려 했다.
counterpart	상대역	그는 일본 측 상대방을 만났다.
countless	셀 수 없이 많은	셀 수 없이 많은 자원봉사자들이 수색에 참여했다.
coup	쿠데타	쿠데타로 대통령이 물러났다.
courtesy	예의	그녀는 그들의 호의에 감사했다.
