source_headword	SV	example_SV
cast	en rollbesättning	Rollbesättningen är redo.
cell	en cell	Varje cell innehåller data.
chairman	en ordförande	Ordföranden öppnade mötet.
characteristic	ett kännetecken	Tålamod är ett viktigt kännetecken.
chief	huvudsaklig	Den huvudsakliga orsaken var säkerhet.
circumstance	en omständighet	Varje omständighet räknas.
cite	citera	Studenten citerade tre källor.
citizen	en medborgare	Varje medborgare får rösta.
civil	civil	Ärendet gällde civila rättigheter.
classic	klassisk	Det är ett klassiskt exempel.
closely	nära	De arbetade nära tillsammans.
collapse	kollapsa	Det gamla taket kollapsade.
combination	en kombination	Denna kombination fungerar bra.
comfort	en komfort	Stolen ger liten komfort.
command	en order	Soldaterna följde ordern.
commission	en kommission	Kommissionen undersökte klagomålet.
commitment	ett engagemang	Hennes engagemang förblev starkt.
committee	en kommitté	Kommittén röstar imorgon.
commonly	vanligen	Detta ord används vanligen.
complicated	komplicerad	Reglerna är komplicerade.
component	en komponent	Varje komponent testades.
concentration	en koncentration	Full koncentration krävs.
concept	ett koncept	Konceptet är enkelt.
concern	en oro	Det finns oro kring säkerheten.
concerned	oroad	Vi är oroade över kostnaderna.
conduct	genomföra	De genomför lokal forskning.
confidence	ett förtroende	Hennes förtroende växte snabbt.
conflict	en konflikt	Konflikten varade i flera år.
confusing	förvirrande	Förklaringen var förvirrande.
conscious	medveten	Han var medveten efter fallet.
conservative	konservativ	Förslaget var ganska konservativt.
consideration	hänsyn	Ta hänsyn till detta.
consistent	konsekvent	Hennes arbete är konsekvent bra.
constant	ständig	Det var ständigt oväsen.
constantly	ständigt	Telefonen ringde ständigt.
construct	bygga	De byggde en ny bro.
construction	en byggnation	Byggnationen börjar i juni.
contemporary	samtida	Museet visar samtida konst.
contest	en tävling	Hon vann tävlingen.
contract	ett kontrakt	Kontraktet slutar på fredag.
contribute	bidra	Alla kan bidra till fonden.
contribution	ett bidrag	Hans bidrag var viktigt.
convert	omvandla	De omvandlade byggnaden till lägenheter.
convinced	övertygad	Jag är övertygad om att hon har rätt.
core	en kärna	Förtroende är problemets kärna.
corporate	företags-	Företaget ändrade sin företagsstrategi.
council	ett råd	Rådet godkände planen.
county	ett län	Länet fick nya gränser.
courage	mod	Hon visade mycket mod.
crash	en krasch	Kraschen blockerade vägen.
creation	en skapelse	Skapandet av jobb tar tid.
creature	en varelse	Varelsen rörde sig långsamt.
crew	en besättning	Besättningen förblev lugn.
crisis	en kris	Krisen varade i månader.
criterion	ett kriterium	Pris är inte det enda kriteriet.
critic	en kritiker	Kritikern berömde filmen.
critical	kritisk	Situationen är kritisk.
criticism	kritik	Han tog kritiken lugnt.
criticize	kritisera	Kritisera henne inte för snabbt.
crop	en gröda	Grödan behövde mer regn.
crucial	avgörande	Tid är avgörande här.
cure	ett botemedel	Det finns inget botemedel ännu.
curve	en kurva	Vägen gör en skarp kurva.
curved	böjd	Broen har en böjd form.
debate	en debatt	Debatten började sent.
debt	en skuld	Han betalade tillbaka sin skuld.
decent	anständig	Hon hittade ett anständigt hotell.
declare	förklara	Regeringen förklarade nödläge.
decline	en nedgång	Nedgången var oväntad.
decoration	en dekoration	Dekorationen hängde över dörren.
decrease	minska	Kostnaderna minskade långsamt.
deeply	djupt	Han kände sig djupt sårad.
defeat	ett nederlag	Nederlaget var svårt att acceptera.
defence	ett försvar	Försvaret var väl förberett.
defend	försvara	Hon försvarade sitt beslut.
delay	en försening	Förseningen varade en timme.
deliberate	avsiktlig	Det var ett avsiktligt val.
deliberately	avsiktligt	Han ignorerade varningen avsiktligt.
delight	en glädje	Nyheten gav stor glädje.
delighted	glad	Hon var glad över resultatet.
delivery	en leverans	Leveransen kommer imorgon.
demand	en efterfrågan	Efterfrågan på rum ökade.
demonstrate	visa	Siffrorna visar problemet.
deny	förneka	Han förnekade anklagelsen.
depressed	deprimerad	Hon kände sig deprimerad.
depressing	deprimerande	Nyheten var deprimerande.
depth	ett djup	Mät vattnets djup.
deserve	förtjäna	De förtjänar ett ärligt svar.
desire	en önskan	Hans önskan om frihet bestod.
desperate	desperat	Hon gjorde ett desperat försök.
detailed	detaljerad	Vi fick en detaljerad rapport.
detect	upptäcka	Testet kan upptäcka fel.
dig	gräva	De grävde en djup grop.
disc	en skiva	Den gamla skivan fungerade inte.
discipline	disciplin	Disciplin hjälper vid träning.
dishonest	oärlig	Svaret lät oärligt.
dismiss	avvisa	Domaren avvisade klagomålet.
display	visa	Skärmen visar resultaten.
distribute	dela ut	De delade ut mat i byn.
distribution	en fördelning	Fördelningen var inte rättvis.
district	ett distrikt	Distriktet fick en ny skola.
division	en avdelning	Hon arbetar på ekonomiavdelningen.
domestic	inhemsk	Inhemska flyg är billigare.
dominate	dominera	Ett lag dominerade matchen.
downwards	nedåt	Pilen pekar nedåt.
dozen	ett dussin	Han köpte ett dussin ägg.
draft	ett utkast	Det första utkastet är klart.
drag	dra	Dra stolen mot väggen.
dramatic	dramatisk	Förändringen var dramatisk.
edit	redigera	Redigera texten noggrant.
edition	en utgåva	Denna utgåva innehåller nya kort.
efficient	effektiv	Systemet är effektivt.
elderly	äldre	Den äldre mannen fick hjälp.
elect	välja	De valde en ny ledare.
elsewhere	annanstans	Vi måste söka annanstans.
emerge	framträda	Nya fakta framträdde.
emotional	känslomässig	Samtalet blev känslomässigt.
emphasis	en betoning	Betoningen ligger på säkerhet.
emphasize	betona	Betona den viktigaste punkten.
enable	möjliggöra	Appen möjliggör snabb inlärning.
encounter	stöta på	De stötte på ett problem.
engage	engagera	Läraren engagerade klassen.
enhance	förbättra	Denna funktion förbättrar upplevelsen.
enquiry	en utredning	Utredningen börjar imorgon.
ensure	säkerställa	Kontrollera detta för att säkerställa säkerhet.
enthusiasm	entusiasm	Hennes entusiasm smittade av sig.
enthusiastic	entusiastisk	Gruppen var entusiastisk.
entire	hel	Hela laget kom.
entirely	helt	Jag håller helt med.
establish	grunda	De grundade ett nytt företag.
estate	en egendom	Egendomen ligger utanför staden.
estimate	en uppskattning	Uppskattningen var för låg.
ethical	etisk	Valet var etiskt svårt.
evaluate	utvärdera	Vi måste utvärdera resultaten.
evil	ondska	Berättelsen handlar om ondska.
examination	en undersökning	Undersökningen tog två timmar.
excuse	en ursäkt	Ursäkten lät svag.
executive	en chef	Chefen avgick.
existence	en existens	Brevets existens bekräftades.
expectation	en förväntan	Förväntan var för hög.
expense	en utgift	Denna utgift var inte planerad.
exploration	en utforskning	Utforskningen började tidigt.
expose	utsätta	Utsätt inte barn för rök.
extend	förlänga	De förlängde tidsfristen.
extent	en omfattning	Skadans omfattning är okänd.
external	extern	Ett externt team kontrollerar detta.
extraordinary	extraordinär	Det var en extraordinär prestation.
facility	en anläggning	Anläggningen öppnar nästa vecka.
failure	ett misslyckande	Hans misslyckande var smärtsamt.
faith	en tro	Hon förlorade tron på systemet.
fault	ett fel	Det var inte ditt fel.
feather	en fjäder	En fjäder låg på bordet.
fee	en avgift	Avgiften ingår.
feedback	feedback	Feedbacken var användbar.
fellow	en kollega	Min kollega hjälpte mig.
finance	finans	Hon studerar finans.
finding	ett fynd	Fyndet överraskade teamet.
firm	ett företag	Företaget växer snabbt.
flame	en låga	Lågan blev större.
flash	en blixt	En blixt lyste upp rummet.
flexible	flexibel	Schemat är flexibelt.
float	flyta	Trä kan flyta på vatten.
folding	hopfällbar	Hon köpte en hopfällbar stol.
forgive	förlåta	Jag kan förlåta honom.
former	tidigare	Den tidigare direktören talade kort.
fortune	en förmögenhet	Han förlorade sin förmögenhet.
found	grunda	De grundade klubben 1998.
freedom	frihet	Frihet är viktig för alla.
frequency	en frekvens	Frekvensen ökade.
fully	fullständigt	Jag förstår det fullständigt.
fund	en fond	Fonden stöder forskning.
fundamental	grundläggande	Detta är en grundläggande rättighet.
funding	finansiering	Finansieringen godkändes.
furthermore	dessutom	Dessutom är planen billigare.
gain	vinna	De vann mer stöd.
gang	ett gäng	Gänget greps.
generate	generera	Programmet genererar en rapport.
genre	en genre	Jag gillar denna genre.
govern	styra	Lagar styr hur landet fungerar.
grab	ta tag i	Ta tag i väskan snabbt.
gradually	gradvis	Smärtan försvann gradvis.
grand	storslagen	Hotellet hade en storslagen entré.
grant	ett bidrag	Skolan fick ett bidrag.
guarantee	en garanti	Garantin gäller i två år.
handle	hantera	Hon kan hantera press väl.
harm	skada	Rökning orsakar skada.
harmful	skadlig	Detta ämne är skadligt.
hearing	en hörsel	Hans hörsel blev sämre.
heaven	himlen	Himlen var klar.
heel	en häl	Min häl gör ont.
hell	helvetet	Resan kändes som helvetet.
hesitate	tveka	Tveka inte att ringa.
hollow	ihålig	Trädet var ihåligt inuti.
holy	helig	Templet är en helig plats.
honour	en ära	Det var en stor ära.
household	ett hushåll	Varje hushåll fick ett brev.
housing	bostäder	Bostäder är dyra här.
humorous	humoristisk	Hans berättelse var humoristisk.
humour	humor	Hennes humor lugnade alla.
hunting	jakt	Jakt är förbjuden här.
illustrate	illustrera	Diagrammet illustrerar skillnaden.
illustration	en illustration	Illustrationen finns på sida två.
imagination	fantasi	Använd din fantasi.
impatient	otålig	Han blev otålig i kön.
imply	antyda	Antyder du att jag har fel?
impose	införa	Regeringen införde nya regler.
impress	imponera	Hennes mod imponerade på alla.
impressed	imponerad	Jag var imponerad av arbetet.
inch	en tum	Skärmen är fem tum bred.
incident	en incident	Incidenten undersöktes.
income	en inkomst	Hennes inkomst ökade i år.
increasingly	alltmer	Det blir alltmer tydligt.
industrial	industriell	Staden har ett industriområde.
infection	en infektion	Infektionen spreds snabbt.
inform	informera	Informera oss om förändringar.
initial	inledande	De inledande kostnaderna var höga.
initially	inledningsvis	Inledningsvis förstod ingen det.
initiative	ett initiativ	Hon tog initiativet.
inner	inre	Hans inre styrka bestod.
insight	en insikt	Forskningen gav ny insikt.
insist	insistera	Hon insisterade på ett svar.
inspire	inspirera	Hennes berättelse inspirerade klassen.
install	installera	Installera appen idag.
instance	ett exempel	Detta är ett tydligt exempel.
