hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
5024:险	险	险	nebezpečný	Horská silnice je nebezpečná, jeďte trochu pomaleji.	nebezpečný	Horská cesta je nebezpečná, jazdite trochu pomalšie.	veszélyes	A hegyi út veszélyes, vezess egy kicsit lassabban.	periculos	Drumul de munte este periculos, conduceți puțin mai încet.	опасен	Планинският път е опасен, карайте малко по-бавно.	opasan	Planinska cesta je opasna, vozite malo sporije.
5026:限	限	限	omezit	Každý člověk smí koupit nejvýše dvě vstupenky.	obmedziť	Každá osoba môže kúpiť najviac dva lístky.	korlátozni	Egy személy legfeljebb két jegyet vásárolhat.	a limita	Fiecare persoană este limitată la cumpărarea a două bilete.	ограничавам	Всеки човек има право да купи най-много два билета.	ograničiti	Svaka osoba smije kupiti najviše dvije ulaznice.
5027:线	线	线	čára; linie	Prosím, stříhejte podél této čáry.	čiara; línia	Prosím, strihajte pozdĺž tejto čiary.	vonal	Kérlek, ezen a vonalon vágj.	linie	Vă rog să tăiați de-a lungul acestei linii.	линия	Моля, режете по тази линия.	linija	Molim vas, režite duž ove linije.
5028:现存	现存	现存	existující; dochovaný	Existující materiály nestačí k prokázání tohoto závěru.	existujúci; zachovaný	Existujúce materiály nestačia na dokázanie tohto záveru.	meglévő	A meglévő anyagok nem elegendők ennek a következtetésnek a bizonyításához.	existent	Materialele existente nu sunt suficiente pentru a dovedi această concluzie.	съществуващ	Съществуващите материали не са достатъчни, за да докажат този извод.	postojeći	Postojeći materijali nisu dovoljni za dokazivanje tog zaključka.
5029:限度	限度	限度	mez; limit	Jeho trpělivost už dosáhla meze.	hranica; limit	Jeho trpezlivosť už dosiahla hranicu.	határ; mérték	A türelme már elérte a határát.	limită	Răbdarea lui a ajuns deja la limită.	предел; граница	Търпението му вече достигна предела си.	granica; limit	Njegovo je strpljenje već doseglo granicu.
5030:现货	现货	现货	skladem	Tento telefon je skladem a může být dnes odeslán.	skladom	Tento telefón je skladom a môže byť dnes odoslaný.	készleten	Ez a telefon készleten van, és ma elküldhető.	în stoc	Acest telefon este în stoc și poate fi expediat astăzi.	наличност	Този телефон е в наличност и може да бъде изпратен днес.	na zalihi	Ovaj je telefon na zalihi i može se poslati danas.
5033:限于	限于	限于	omezeno na	Registrace je omezena na třicet lidí.	obmedzené na	Registrácia je obmedzená na tridsať ľudí.	korlátozódik valamire	A regisztráció harminc főre korlátozódik.	limitat la	Înscrierea este limitată la treizeci de persoane.	ограничено до	Регистрацията е ограничена до тридесет души.	ograničeno na	Registracija je ograničena na trideset ljudi.
5036:相传	相传	相传	traduje se; říká se	Traduje se, že tento most má tři sta let historie.	traduje sa; hovorí sa	Traduje sa, že tento most má tristo rokov histórie.	a hagyomány szerint	A hagyomány szerint ennek a hídnak háromszáz éves története van.	se spune din vechime	Se spune din vechime că acest pod are o istorie de trei sute de ani.	предава се, че	Предава се, че този мост има тристагодишна история.	predaja kaže	Predaja kaže da ovaj most ima povijest dugu tristo godina.
5038:相连	相连	相连	propojený	Tato dvě města jsou propojena vysokorychlostní železnicí.	prepojený	Tieto dve mestá sú prepojené vysokorýchlostnou železnicou.	összekapcsolt	A két várost nagysebességű vasút köti össze.	conectat; legat	Cele două orașe sunt conectate prin cale ferată de mare viteză.	свързан	Двата града са свързани с високоскоростна железница.	povezan	Ta su dva grada povezana brzom željeznicom.
5039:香水	香水	香水	parfém	Nemá ráda parfém s příliš silnou vůní.	parfum	Nemá rada parfum s príliš silnou vôňou.	parfüm	Nem szereti a nagyon erős illatú parfümöt.	parfum	Nu îi place parfumul cu miros foarte puternic.	парфюм	Тя не харесва парфюм с много силен аромат.	parfem	Ne voli parfem s vrlo jakim mirisom.
5052:小偷儿	小偷儿	小偷儿	zloděj	Toho zloděje policie rychle chytila.	zlodej	Toho zlodeja polícia rýchlo chytila.	tolvaj	A rendőrség gyorsan elkapta azt a tolvajt.	hoț	Acel hoț a fost prins repede de poliție.	крадец	Този крадец бързо беше хванат от полицията.	lopov	Tog je lopova policija brzo uhvatila.
5053:笑容	笑容	笑容	úsměv	Úsměv na její tváři všechny uklidnil.	úsmev	Úsmev na jej tvári všetkých upokojil.	mosoly	Az arcán lévő mosoly mindenkit megnyugtatott.	zâmbet	Zâmbetul de pe fața ei i-a liniștit pe toți.	усмивка	Усмивката на лицето ѝ успокои всички.	osmijeh	Osmijeh na njezinu licu umirio je sve.
5054:效应	效应	效应	účinek; efekt	Účinek této politiky je třeba ještě sledovat.	účinok; efekt	Účinok tejto politiky treba ešte sledovať.	hatás	Ennek a politikának a hatását még figyelni kell.	efect	Efectul acestei politici trebuie încă observat.	ефект	Ефектът от тази политика все още трябва да се наблюдава.	učinak; efekt	Učinak ove politike još treba pratiti.
5060:心爱	心爱	心爱	milovaný; oblíbený	Na cestu si vzal svůj milovaný fotoaparát.	milovaný; obľúbený	Na cestu si vzal svoj milovaný fotoaparát.	szeretett; kedvenc	Magával vitte az utazásra szeretett fényképezőgépét.	drag; iubit	A luat în călătorie aparatul foto drag lui.	любим	Той взе любимия си фотоапарат на пътуването.	voljen; drag	Na put je ponio svoj dragi fotoaparat.
5061:心底	心底	心底	z hloubi srdce	Poděkovala učiteli z hloubi srdce.	z hĺbky srdca	Poďakovala učiteľovi z hĺbky srdca.	szíve mélye	Szíve mélyéből köszönte meg a tanárnak.	din adâncul inimii	I-a mulțumit profesorului din adâncul inimii.	от дъното на сърцето	Тя благодари на учителя от дъното на сърцето си.	iz dubine srca	Zahvalila je učitelju iz dubine srca.
5062:新款	新款	新款	nový model; nový typ	Tento obchod právě vystavil novou várku bot nového modelu.	nový model; nový typ	Tento obchod práve vystavil novú várku topánok nového modelu.	új modell; új fazon	Ez az üzlet épp új modellű cipőket tett ki a polcokra.	model nou	Acest magazin tocmai a pus la vânzare un lot de pantofi model nou.	нов модел	Този магазин току-що изложи партида обувки нов модел.	novi model	Ova je trgovina upravo izložila novu seriju cipela novog modela.
5064:新媒体	新媒体	新媒体	nová média	Nová média změnila způsob, jakým lidé získávají informace.	nové médiá	Nové médiá zmenili spôsob, akým ľudia získavajú informácie.	új média	Az új média megváltoztatta, ahogyan az emberek információhoz jutnak.	noile media	Noile media au schimbat modul în care oamenii obțin informații.	нови медии	Новите медии промениха начина, по който хората получават информация.	novi mediji	Novi mediji promijenili su način na koji ljudi dolaze do informacija.
5065:心目	心目	心目	v mysli; v očích	V mé mysli je vynikající spisovatelkou.	v mysli; v očiach	V mojich očiach je výbornou spisovateľkou.	valaki szemében; fejében	Az én szememben kiváló írónő.	în minte; în ochii cuiva	În mintea mea, ea este o scriitoare excelentă.	в съзнанието; в очите на някого	В моите очи тя е отлична писателка.	u očima; u mislima	U mojim je očima izvrsna spisateljica.
5066:新能源	新能源	新能源	nová energie; nové zdroje energie	Odvětví nové energie se rychle rozvíjí.	nová energia; nové zdroje energie	Odvetvie novej energie sa rýchlo rozvíja.	új energiaforrások	Az új energiaágazat gyorsan fejlődik.	energie nouă; surse noi de energie	Industria energiei noi se dezvoltă rapid.	нова енергия	Индустрията на новата енергия се развива бързо.	nova energija	Industrija nove energije brzo se razvija.
5069:新兴	新兴	新兴	vznikající; nový	Vznikající odvětví přilákala mnoho mladých lidí.	vznikajúci; nový	Vznikajúce odvetvia prilákali veľa mladých ľudí.	feltörekvő	A feltörekvő iparágak sok fiatalt vonzottak.	emergent; nou	Industriile emergente au atras mulți tineri.	нововъзникващ	Нововъзникващите отрасли привлякоха много млади хора.	novonastao; u usponu	Industrije u usponu privukle su mnoge mlade ljude.
5071:心愿	心愿	心愿	přání	Nakonec si splnila přání, které měla mnoho let.	želanie	Nakoniec si splnila želanie, ktoré mala mnoho rokov.	kívánság; vágy	Végül teljesült egy sok éve dédelgetett kívánsága.	dorință	În cele din urmă și-a împlinit o dorință pe care o avea de mulți ani.	съкровено желание	Тя най-накрая изпълни желание, което носеше от много години.	želja	Napokon je ostvarila želju koju je imala mnogo godina.
5075:兴起	兴起	兴起	vzniknout; rozšířit se	Online výuka se rozšířila v mnoha regionech.	vzniknúť; rozšíriť sa	Online vzdelávanie sa rozšírilo v mnohých regiónoch.	kialakulni; terjedni	Az online tanulás sok térségben elterjedt.	a lua amploare	Învățarea online a luat amploare în multe regiuni.	възниквам; набирам популярност	Онлайн обучението набра популярност в много региони.	pojaviti se; uzeti maha	Online učenje uzelo je maha u mnogim regijama.
5076:型号	型号	型号	model; typové označení	Prosím, napište do formuláře model počítače.	model; typové označenie	Prosím, napíšte do formulára model počítača.	modell; típusszám	Kérlek, írd be az űrlapba a számítógép modelljét.	model	Vă rog să scrieți modelul computerului în formular.	модел	Моля, напишете модела на компютъра във формуляра.	model	Molim vas, upišite model računala u obrazac.
5078:性价比	性价比	性价比	poměr ceny a výkonu	Tento hotel nabízí velmi dobrý poměr ceny a výkonu.	pomer ceny a výkonu	Tento hotel ponúka veľmi dobrý pomer ceny a výkonu.	ár-érték arány	Ez a szálloda nagyon jó ár-érték arányt kínál.	raport calitate-preț	Acest hotel oferă un raport calitate-preț foarte bun.	съотношение цена-качество	Този хотел предлага много добро съотношение цена-качество.	omjer cijene i kvalitete	Ovaj hotel nudi vrlo dobar omjer cijene i kvalitete.
5081:修订	修订	修订	revidovat; upravit	Redaktor reviduje tuto učebnici.	revidovať; upraviť	Redaktor reviduje túto učebnicu.	átdolgozni; javítani	A szerkesztő átdolgozza ezt a tankönyvet.	a revizui; a corecta	Redactorul revizuiește acest manual.	преработвам; редактирам	Редакторът преработва този учебник.	revidirati; urediti	Urednik revidira ovaj udžbenik.
5083:袖子	袖子	袖子	rukáv	Rukávy tohoto kabátu jsou trochu dlouhé.	rukáv	Rukávy tohto kabáta sú trochu dlhé.	ruhaujj	Ennek a kabátnak az ujjai kicsit hosszúak.	mânecă	Mânecile acestui palton sunt puțin lungi.	ръкав	Ръкавите на това палто са малко дълги.	rukav	Rukavi ovog kaputa malo su dugi.
5088:选修	选修	选修	zapsat si volitelný předmět	Příští semestr si chci zapsat psychologii jako volitelný předmět.	zvoliť si voliteľný predmet	Na budúci semester si chcem zvoliť psychológiu ako voliteľný predmet.	választható tárgyat felvenni	A következő félévben szeretném felvenni a pszichológiát választható tárgyként.	a alege ca opțional	Semestrul viitor vreau să aleg psihologia ca materie opțională.	избирам като свободноизбираем предмет	Следващия семестър искам да избера психология като свободноизбираем предмет.	upisati izborni predmet	Sljedeći semestar želim upisati psihologiju kao izborni predmet.
5089:学会	学会	学会	odborná společnost; sdružení	Vstoupil do místní jazykovědné společnosti.	odborná spoločnosť; združenie	Vstúpil do miestnej jazykovednej spoločnosti.	tudományos társaság; egyesület	Belépett a helyi nyelvészeti társaságba.	societate academică; asociație	A intrat în societatea locală de lingvistică.	научно дружество; сдружение	Той се присъедини към местното езиковедско дружество.	znanstveno društvo; udruga	Pridružio se lokalnom jezikoslovnom društvu.
5092:学员	学员	学员	účastník kurzu; frekventant	Ve školící třídě je dvacet účastníků kurzu.	účastník kurzu; frekventant	V školiacej triede je dvadsať účastníkov kurzu.	tanfolyami résztvevő	A képzési csoportban húsz résztvevő van.	cursant; participant	În grupa de instruire sunt douăzeci de cursanți.	курсист	В учебната група има двадесет курсисти.	polaznik	Na tečaju je dvadeset polaznika.
5093:血管	血管	血管	céva	Lékař řekl, že tato céva potřebuje další vyšetření.	cieva	Lekár povedal, že táto cieva potrebuje ďalšie vyšetrenie.	véredény	Az orvos azt mondta, hogy ezt a véredényt tovább kell vizsgálni.	vas de sânge	Medicul a spus că acest vas de sânge necesită examinare suplimentară.	кръвоносен съд	Лекарят каза, че този кръвоносен съд се нуждае от допълнително изследване.	krvna žila	Liječnik je rekao da ovu krvnu žilu treba dodatno pregledati.
5094:血型	血型	血型	krevní skupina	Při registraci je třeba uvést krevní skupinu.	krvná skupina	Pri registrácii treba uviesť krvnú skupinu.	vércsoport	Regisztrációkor meg kell adni a vércsoportot.	grupă sanguină	La înregistrare trebuie să completați grupa sanguină.	кръвна група	При регистрация трябва да посочите кръвната си група.	krvna grupa	Pri registraciji treba upisati krvnu grupu.
5096:血液	血液	血液	krev	Pohyb může podporovat krevní oběh.	krv	Pohyb môže podporovať krvný obeh.	vér	A testmozgás javíthatja a vérkeringést.	sânge	Exercițiile pot stimula circulația sângelui.	кръв	Упражненията могат да подпомогнат кръвообращението.	krv	Vježbanje može potaknuti cirkulaciju krvi.
5098:寻求	寻求	寻求	hledat; usilovat o	Hledají lepší řešení.	hľadať; usilovať sa o	Hľadajú lepšie riešenie.	keresni; törekedni valamire	Jobb megoldást keresnek.	a căuta; a urmări	Ei caută o soluție mai bună.	търся; стремя се	Те търсят по-добро решение.	tražiti; nastojati	Traže bolje rješenje.
5101:淹	淹	淹	zatopit	Silný déšť zatopil nízko položenou silnici.	zaplaviť	Silný dážď zaplavil nízko položenú cestu.	eláraszt	Az erős eső elárasztotta az alacsonyan fekvő utat.	a inunda	Ploaia puternică a inundat drumul din zona joasă.	наводнявам	Силният дъжд наводни ниския път.	poplaviti	Jaka kiša poplavila je nisko položenu cestu.
5103:严	严	严	přísný	Škola je velmi přísná ohledně zkouškové disciplíny.	prísny	Škola je veľmi prísna v otázke skúškovej disciplíny.	szigorú	Az iskola nagyon szigorú a vizsgafegyelemmel kapcsolatban.	strict; sever	Școala este foarte strictă în privința disciplinei la examene.	строг	Училището е много строго относно дисциплината на изпитите.	strog	Škola je vrlo stroga u vezi s ispitnom disciplinom.
5111:研讨	研讨	研讨	diskutovat a analyzovat	Odborníci diskutují a analyzují nový léčebný plán.	diskutovať a analyzovať	Odborníci diskutujú a analyzujú nový liečebný plán.	megvitatni és elemezni	A szakértők egy új kezelési tervet vitatnak meg és elemeznek.	a dezbate și a analiza	Experții dezbat și analizează un nou plan de tratament.	обсъждам и анализирам	Експертите обсъждат и анализират нов план за лечение.	raspravljati i analizirati	Stručnjaci raspravljaju i analiziraju novi plan liječenja.
5113:言语	言语	言语	slova; projev	Jeho slova byla velmi upřímná.	slová; prejav	Jeho slová boli veľmi úprimné.	szavak; beszéd	A szavai nagyon őszinték voltak.	cuvinte; vorbire	Cuvintele lui au fost foarte sincere.	думи; реч	Думите му бяха много искрени.	riječi; govor	Njegove su riječi bile vrlo iskrene.
5114:炎症	炎症	炎症	zánět	Tento lék může zmírnit zánět.	zápal	Tento liek môže zmierniť zápal.	gyulladás	Ez a gyógyszer csökkentheti a gyulladást.	inflamație	Acest medicament poate reduce inflamația.	възпаление	Това лекарство може да намали възпалението.	upala	Ovaj lijek može smanjiti upalu.
5116:眼看	眼看	眼看	už brzy; každou chvíli	Už se brzy setmí, měli bychom se vrátit.	už čoskoro; každú chvíľu	Už sa čoskoro zotmie, mali by sme sa vrátiť.	hamarosan; mindjárt	Hamarosan besötétedik, ezért vissza kellene mennünk.	aproape; curând	Se întunecă aproape imediat, așa că ar trebui să ne întoarcem.	скоро; всеки момент	Скоро ще се стъмни, затова трябва да се върнем.	uskoro; samo što nije	Uskoro će se smračiti, pa bismo se trebali vratiti.
5120:仰	仰	仰	vzhlédnout; dívat se vzhůru	Dítě vzhlédlo ke hvězdám.	pozrieť hore	Dieťa sa pozrelo hore na hviezdy.	felnézni	A gyerek felnézett a csillagokra.	a privi în sus	Copilul a privit în sus spre stele.	вдигам поглед	Детето вдигна поглед към звездите.	pogledati gore	Dijete je pogledalo gore prema zvijezdama.
5122:养老	养老	养老	život ve stáří; zajištění na stáří	Plánují svůj život ve stáří po odchodu do důchodu.	život v starobe; zabezpečenie na starobu	Plánujú si život v starobe po odchode do dôchodku.	időskori élet; időskori gondoskodás	A nyugdíj utánra tervezik időskori életüket.	viață la bătrânețe; asigurare pentru bătrânețe	Își planifică viața la bătrânețe după pensionare.	живот на старини; осигуряване за старини	Те планират живота си на старини след пенсиониране.	život u starosti; skrb za starost	Planiraju život u starosti nakon umirovljenja.
5123:养老院	养老院	养老院	domov pro seniory	Tento domov pro seniory je velmi blízko nemocnice.	domov dôchodcov	Tento domov dôchodcov je veľmi blízko nemocnice.	idősek otthona	Ez az idősek otthona nagyon közel van a kórházhoz.	cămin de bătrâni	Acest cămin de bătrâni este foarte aproape de spital.	дом за възрастни хора	Този дом за възрастни хора е много близо до болницата.	dom za starije osobe	Ovaj dom za starije osobe vrlo je blizu bolnice.
5125:样	样	样	druh; typ	Koupil tři druhy svačin.	druh; typ	Kúpil tri druhy občerstvenia.	fajta; típus	Háromféle harapnivalót vett.	fel; tip	A cumpărat trei feluri de gustări.	вид; тип	Той купи три вида закуски.	vrsta; tip	Kupio je tri vrste grickalica.
5128:要么	要么	要么	buď; buď...nebo	Buď odejdi teď, nebo počkej do zítřka.	buď; buď...alebo	Buď odíď teraz, alebo počkaj do zajtra.	vagy; vagy...vagy	Vagy indulj el most, vagy várj holnapig.	fie; fie...fie	Fie pleci acum, fie aștepți până mâine.	или; или...или	Или тръгни сега, или чакай до утре.	ili; ili...ili	Ili kreni sada ili čekaj do sutra.
5130:野	野	野	divoký	V této horské oblasti roste mnoho divokých květin.	divoký	V tejto horskej oblasti rastie veľa divokých kvetov.	vad	Ezen a hegyvidéken sok vadvirág nő.	sălbatic	În această zonă montană cresc multe flori sălbatice.	див	В този планински район растат много диви цветя.	divlji	U ovom planinskom području raste mnogo divljeg cvijeća.
5131:也好	也好	也好	ať už...nebo	Ať půjdeš, nebo nepůjdeš, musíš mi to říct.	či už...alebo	Či už pôjdeš, alebo nie, musíš mi to povedať.	akár...akár	Akár mész, akár nem, el kell mondanod nekem.	fie că...fie că	Fie că mergi, fie că nu, trebuie să-mi spui.	независимо дали...или	Независимо дали ще отидеш или не, трябва да ми кажеш.	bilo da...ili	Bilo da ideš ili ne, moraš mi reći.
5132:野生	野生	野生	divoce žijící	Zde je zakázáno chytat divoce žijící zvířata.	divo žijúci	Tu je zakázané chytať divo žijúce zvieratá.	vadon élő	Itt tilos vadon élő állatokat fogni.	sălbatic; care trăiește în natură	Aici este interzisă prinderea animalelor sălbatice.	див; живеещ на свобода	Тук е забранено да се ловят диви животни.	divlji; koji živi u prirodi	Ovdje je zabranjeno hvatati divlje životinje.
5133:野外	野外	野外	terén; venkovní prostředí	Studenti pozorovali rostliny v terénu.	terén; vonkajšie prostredie	Študenti pozorovali rastliny v teréne.	terep; szabad természet	A diákok a terepen figyelték meg a növényeket.	teren; în aer liber	Elevii au observat plantele pe teren.	терен; на открито	Учениците наблюдаваха растения на терен.	teren; priroda	Učenici su promatrali biljke na terenu.
5134:业	业	业	odvětví; obor	Odvětví služeb potřebuje více odborníků.	odvetvie; odbor	Odvetvie služieb potrebuje viac odborníkov.	iparág; szakma	A szolgáltatóiparnak több szakemberre van szüksége.	sector; domeniu	Sectorul serviciilor are nevoie de mai mulți profesioniști.	отрасъл; сфера	Секторът на услугите се нуждае от повече специалисти.	djelatnost; sektor	Uslužnom sektoru treba više stručnjaka.
5139:衣食住行	衣食住行	衣食住行	základní životní potřeby	Tato zpráva analyzuje základní životní potřeby obyvatel města.	základné životné potreby	Táto správa analyzuje základné životné potreby obyvateľov mesta.	az élet alapvető szükségletei	Ez a jelentés a városlakók alapvető életfeltételeit elemzi.	necesitățile de bază ale vieții	Acest raport analizează necesitățile de bază ale locuitorilor orașului.	основни жизнени нужди	Този доклад анализира основните жизнени нужди на жителите на града.	osnovne životne potrebe	Ovo izvješće analizira osnovne životne potrebe gradskih stanovnika.
5140:医药	医药	医药	lékařství a léčiva	Náklady na lékařství a léčiva v posledních letech poněkud vzrostly.	medicína a lieky	Náklady na medicínu a lieky v posledných rokoch trochu vzrástli.	orvostudomány és gyógyszerek	Az egészségügyi és gyógyszerköltségek az utóbbi években valamelyest emelkedtek.	medicină și medicamente	Costurile pentru medicină și medicamente au crescut oarecum în ultimii ani.	медицина и лекарства	Разходите за медицина и лекарства през последните години донякъде се повишиха.	medicina i lijekovi	Troškovi medicine i lijekova posljednjih su godina donekle porasli.
5141:一一	一一	一一	jeden po druhém; postupně	Učitel otázky postupně vysvětlil.	jeden po druhom; postupne	Učiteľ otázky postupne vysvetlil.	egyenként	A tanár egyenként elmagyarázta a kérdéseket.	unul câte unul	Profesorul a explicat întrebările una câte una.	един по един	Учителят обясни въпросите един по един.	jedan po jedan	Učitelj je pitanja objasnio jedno po jedno.
5142:姨	姨	姨	teta	Dnes k nám moje teta přijde na večeři.	teta	Moja teta dnes príde k nám na večeru.	nagynéni	A nagynéném ma hozzánk jön vacsorára.	mătușă	Mătușa mea vine astăzi la noi la cină.	леля	Леля ми ще дойде днес у нас на вечеря.	teta	Moja teta danas dolazi k nama na večeru.
5146:一带	一带	一带	okolí; oblast	V okolí školy je mnoho knihkupectví.	okolie; oblasť	V okolí školy je veľa kníhkupectiev.	környék; vidék	Az iskola környékén sok könyvesbolt van.	zonă; împrejurimi	În zona școlii sunt multe librării.	район; околност	В района около училището има много книжарници.	područje; okolica	U okolici škole ima mnogo knjižara.
5147:一道	一道	一道	společně; spolu	Pojďme se společně podívat na výstavu.	spoločne; spolu	Poďme sa spolu pozrieť na výstavu.	együtt	Menjünk együtt megnézni a kiállítást.	împreună	Hai să mergem împreună să vedem expoziția.	заедно	Нека отидем заедно да видим изложбата.	zajedno	Idemo zajedno pogledati izložbu.
5155:一系列	一系列	一系列	série; řada	Firma uvedla na trh řadu nových produktů.	séria; rad	Firma uviedla na trh sériu nových produktov.	sorozat	A vállalat új termékek sorozatát vezette be.	serie	Compania a lansat o serie de produse noi.	серия	Компанията пусна серия нови продукти.	niz; serija	Tvrtka je lansirala niz novih proizvoda.
5157:一阵	一阵	一阵	poryv; chvíle	Okny dovnitř zavál chladný poryv větru.	závan; chvíľa	Cez okno dovnútra zavial chladný závan vetra.	fuvallat; rövid idő	Hűvös szellő fújt be az ablakon.	rafală; scurt timp	O rafală răcoroasă de vânt a intrat pe fereastră.	порив; кратко време	Хладен порив на вятъра влезе през прозореца.	nalet; kratak trenutak	Hladan nalet vjetra ušao je kroz prozor.
5158:遗址	遗址	遗址	archeologické naleziště; ruiny	Toto naleziště starého města přilákalo mnoho turistů.	archeologické nálezisko; ruiny	Toto nálezisko starého mesta prilákalo veľa turistov.	régészeti lelőhely; romok	Ez az ókori városrom sok turistát vonzott.	sit arheologic; ruine	Acest sit al orașului antic a atras mulți turiști.	археологически обект; руини	Този обект на древен град привлече много туристи.	arheološko nalazište; ruševine	Ovo nalazište drevnoga grada privuklo je mnoge turiste.
5163:益处	益处	益处	přínos; užitek	Denní cvičení má pro zdraví mnoho přínosů.	prínos; úžitok	Denné cvičenie má pre zdravie veľa prínosov.	előny; haszon	A napi mozgásnak sok egészségügyi előnye van.	beneficiu; folos	Exercițiile zilnice au multe beneficii pentru sănătate.	полза	Ежедневните упражнения имат много ползи за здравето.	korist	Svakodnevno vježbanje ima mnogo koristi za zdravlje.
