source_headword	NL	example_NL
equivalent	het equivalent	Eén dollar is hier niet gelijkwaardig.
era	het tijdperk	De ontdekking begon een nieuw tijdperk.
erupt	uitbarsten	De vulkaan kan snel uitbarsten.
essentially	in wezen	De twee methoden zijn in wezen identiek.
ethic	de ethiek	Zijn werkethiek is sterk.
ethnic	etnisch	Het festival viert etnische tradities.
evaluation	de evaluatie	De cursus bevat een eindevaluatie.
evident	overduidelijk	Zijn zenuwachtigheid was duidelijk.
evolution	de evolutie	Evolutie verklaart veel biologische veranderingen.
evolve	evolueren	Talen evolueren in de loop van de tijd.
exceed	overtreffen	De vraag kan het aanbod overschrijden.
exception	de uitzondering	Er is één uitzondering.
excessive	overmatig	Overmatig lawaai stoort buren.
exclude	uitsluiten	De lijst sluit tijdelijke werknemers uit.
exhibit	de tentoonstelling	Het museum zal zeldzame foto's tentoonstellen.
exit	de uitgang	De uitgang is achter het podium.
exotic	exotisch	De winkel verkoopt exotisch fruit.
expansion	de uitbreiding	Het bedrijf plande een uitbreiding.
expertise	de expertise	Haar expertise verbeterde het project.
exploit	uitbuiten	Criminelen buiten zwakke wachtwoorden uit.
exposure	de blootstelling	Blootstelling aan de zon kan de huid beschadigen.
extension	de verlenging	De verlenging van de deadline hielp iedereen.
extensive	uitgebreid	De bibliotheek heeft uitgebreide bronnen.
extensively	uitvoerig	Het onderwerp is uitgebreid bestudeerd.
extract	het extract	Vanille-extract geeft smaak.
fabric	de stof	De stof voelt zacht aan.
fabulous	fantastisch	De maaltijd was fantastisch.
failed	mislukt	De mislukte poging heeft ons iets geleerd.
fake	nep	De website verkocht nepkaartjes.
fame	de roem	Roem veranderde zijn privéleven.
fantasy	de fantasie	De roman is een fantasie.
fare	het tarief	Het bustarief is gestegen.
federal	federaal	De federale overheid kondigde financiering aan.
fever	de koorts	Het kind heeft koorts.
firefighter	de brandweerman	De brandweerman redde de hond.
firework	het vuurwerk	Een stuk vuurwerk explodeerde boven het park.
firm	stellig	Het matras is stevig.
firmly	stellig	Ze deed de deur stevig dicht.
flavour	de smaak	De soep heeft een rijke smaak.
fond	liefdevol	Hij is dol op jazz.
fool	de dwaas	Gedraag je niet als een dwaas.
forbid	verbieden	De wet verbiedt roken hier.
forecast	de voorspelling	De weersverwachting voorspelt regen.
format	het formaat	Gebruik het juiste bestandsformaat.
formation	de formatie	De wolkenformatie verandert snel.
formerly	voorheen	Het gebouw was voorheen een school.
fortunate	gelukkig	We waren gelukkig om vroeg aan te komen.
forum	het forum	Het forum besprak het klimaatbeleid.
fossil	het fossiel	Het fossiel werd gevonden in steen.
foundation	de basis	Het huis heeft een sterke fundering.
founder	de oprichter	De oprichter verwelkomde de gasten.
fraction	de fractie	Slechts een fractie van de studenten kwam.
fragment	het fragment	Een glasfragment lag op de vloer.
framework	het kader	De wet creëert een duidelijk kader.
fraud	de fraude	De bank ontdekte fraude.
freely	vrijuit	Kinderen speelden vrijuit buiten.
frequent	frequent	Frequente pauzes verbeteren de focus.
fulfil	vervullen	Ik hoop mijn belofte te vervullen.
full-time	fulltime	Ze heeft een fulltime baan.
fundamentally	fundamenteel	Het plan is fundamenteel anders.
furious	woedend	Hij was woedend over de vertraging.
gaming	het gamen	Gamen kan de reactiesnelheid verbeteren.
gay	homoseksueel	Hij steunt homorechten.
gender	het gender	De enquête vroeg naar het geslacht.
gene	het gen	Het gen beïnvloedt de oogkleur.
genetic	genetisch	De ziekte heeft genetische oorzaken.
genius	het genie	De jonge pianist is een genie.
genuine	oprecht	Haar glimlach leek oprecht.
genuinely	oprecht	Hij wilde oprecht helpen.
gesture	het gebaar	Ze maakte een vriendelijk gebaar.
gig	het optreden	De band speelde een optreden in het centrum.
globalization	de globalisering	Globalisering beïnvloedt lokale bedrijven.
globe	de wereldbol	De wereldbol toont elk continent.
golden	gouden	De zonsondergang werd goudkleurig.
goodness	de goedheid	Ze gelooft in menselijke goedheid.
gorgeous	prachtig	De tuin zag er prachtig uit.
governor	de gouverneur	De gouverneur ondertekende het wetsvoorstel.
graphic	grafisch	De grafische afbeelding schokte de kijkers.
graphics	de grafiek	Het spel heeft simpele graphics.
greatly	zeer	Je advies heeft enorm geholpen.
greenhouse	de broeikas	Tomaten groeien in de broeikas.
grocery	de supermarkt	Ze kocht boodschappen na het werk.
guideline	de richtlijn	De richtlijn legt veilig werken uit.
habitat	de habitat	Het bos is een leefgebied voor vogels.
harbour	de haven	De boot voer de haven binnen.
headquarters	het hoofdkantoor	Het hoofdkantoor van het bedrijf is naar het centrum verhuisd.
