simplified	KN	example_KN
案例	ಉದಾಹರಣಾ ಪ್ರಕರಣ	ಈ ಪ್ರಕರಣವು ಬಹಳ ಪ್ರತಿನಿಧಿಕವಾಗಿದೆ.
昂贵	ದುಬಾರಿ	ಈ ಸಾಧನವು ಬಹಳ ದುಬಾರಿಯಾಗಿದೆ.
凹凸	ಏರುಪೇರು; ಅಸಮತಲ	ಈ ರಸ್ತೆಯ ಮೇಲ್ಮೈ ಏರುಪೇರುಗಳಿಂದ ತುಂಬಿದೆ.
熬	ಕಷ್ಟಪಟ್ಟು ಸಹಿಸುವುದು	ಅವನು ಮೂರು ದಿನ ಕಷ್ಟಪಟ್ಟು ವರದಿಯನ್ನು ಮುಗಿಸಿದನು.
奥秘	ರಹಸ್ಯ	ವಿಜ್ಞಾನಿ ಈ ರಹಸ್ಯವನ್ನು ಬಯಲಿಗೆಳೆಯಲು ಬಯಸುತ್ತಾನೆ.
巴不得	ತೀವ್ರವಾಗಿ ಬಯಸುವುದು	ನಾನು ಕೂಡಲೇ ಹೊರಡಲು ತೀವ್ರವಾಗಿ ಬಯಸುತ್ತಿದ್ದೇನೆ.
巴结	ಮೆಚ್ಚಿಸಲು ಹೊಗಳುವುದು	ಅವನು ನಾಯಕರನ್ನು ಮೆಚ್ಚಿಸಲು ಹೊಗಳಲು ಇಷ್ಟಪಡುವುದಿಲ್ಲ.
扒	ಹಿಡಿದುಕೊಳ್ಳುವುದು; ಕೀಳುವುದು	ಮಗು ಬಾಗಿಲನ್ನು ಹಿಡಿದು ಹೊರಗೆ ನೋಡಿತು.
疤	ಗಾಯದ ಗುರುತು	ಅವನ ಕೈಯ ಮೇಲೆ ಒಂದು ಗಾಯದ ಗುರುತು ಇದೆ.
拔苗助长	ಆತುರದಿಂದ ಕೆಲಸ ಹಾಳುಮಾಡುವುದು	ಮಗುವನ್ನು ಹೀಗೆ ಓದಲು ಒತ್ತಾಯಿಸುವುದು ಆತುರದಿಂದ ಕೆಲಸ ಹಾಳುಮಾಡುವುದಷ್ಟೇ.
把关	ಪರಿಶೀಲಿಸಿ ನಿಯಂತ್ರಿಸುವುದು	ಈ ಒಪ್ಪಂದವನ್ನು ವಕೀಲರು ಪರಿಶೀಲಿಸಿ ನಿಯಂತ್ರಿಸಬೇಕು.
把手	ಹಿಡಿಕೆ	ಬಾಗಿಲಿನ ಹಿಡಿಕೆ ಹಾಳಾಗಿದೆ.
罢工	ಮುಷ್ಕರ	ಕಾರ್ಮಿಕರು ನಾಳೆ ಮುಷ್ಕರ ಮಾಡಲು ನಿರ್ಧರಿಸಿದರು.
霸道	ದಬ್ಬಾಳಿಕೆಯ	ಅವನು ತುಂಬಾ ದಬ್ಬಾಳಿಕೆಯ ರೀತಿಯಲ್ಲಿ ಮಾತನಾಡುತ್ತಾನೆ.
掰	ಕೈಯಿಂದ ಮುರಿಯುವುದು	ಅವಳು ರೊಟ್ಟಿಯನ್ನು ಎರಡು ಭಾಗಗಳಾಗಿ ಮುರಿದಳು.
摆脱	ತೊಡೆದುಹಾಕುವುದು	ಅವನು ಕೊನೆಗೆ ಕೆಟ್ಟ ಅಭ್ಯಾಸವನ್ನು ತೊಡೆದುಹಾಕಿದನು.
拜访	ಭೇಟಿ ನೀಡುವುದು	ನಾವು ವಾರಾಂತ್ಯದಲ್ಲಿ ಶಿಕ್ಷಕರನ್ನು ಭೇಟಿ ಮಾಡುತ್ತೇವೆ.
拜年	ಹೊಸ ವರ್ಷದ ಶುಭಾಶಯ ಹೇಳಲು ಭೇಟಿ ನೀಡುವುದು	ವಸಂತ ಹಬ್ಬದ ಸಮಯದಲ್ಲಿ ನಾವು ಅಜ್ಜ ಅಜ್ಜಿಯನ್ನು ಭೇಟಿ ಮಾಡಿ ಹೊಸ ವರ್ಷದ ಶುಭಾಶಯ ಹೇಳುತ್ತೇವೆ.
拜托	ವಿನಂತಿಸುವುದು; ನಂಬಿ ಒಪ್ಪಿಸುವುದು	ಈ ವಿಷಯವನ್ನು ನಿನ್ನ ಮೇಲೆಯೇ ನಂಬಿ ಒಪ್ಪಿಸುತ್ತೇನೆ.
败坏	ಹಾಳುಮಾಡುವುದು	ಇಂತಹ ವರ್ತನೆ ಕಂಪನಿಯ ಹೆಸರನ್ನು ಹಾಳುಮಾಡುತ್ತದೆ.
斑	ಮಚ್ಚೆ	ಬೆಕ್ಕಿನ ಮೇಲೆ ಒಂದು ಕಪ್ಪು ಮಚ್ಚೆ ಇದೆ.
颁布	ಪ್ರಕಟಿಸುವುದು	ಹೊಸ ನಿಯಮಗಳನ್ನು ಮುಂದಿನ ವಾರ ಪ್ರಕಟಿಸಲಾಗುತ್ತದೆ.
颁发	ಪ್ರದಾನ ಮಾಡುವುದು	ಶಾಲೆ ಶ್ರೇಷ್ಠ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಪ್ರಮಾಣಪತ್ರಗಳನ್ನು ಪ್ರದಾನ ಮಾಡಿತು.
版本	ಆವೃತ್ತಿ	ಈ ತಂತ್ರಾಂಶಕ್ಕೆ ಹೊಸ ಆವೃತ್ತಿ ಇದೆ.
伴侣	ಸಂಗಾತಿ	ಅವಳು ನಾಯಿಯನ್ನು ತನ್ನ ಸಂಗಾತಿಯಂತೆ ನೋಡುತ್ತಾಳೆ.
伴随	ಜೊತೆಯಾಗಿರುವುದು	ಯಶಸ್ಸಿನ ಜೊತೆ ಒತ್ತಡವೂ ಸಾಮಾನ್ಯವಾಗಿ ಬರುತ್ತದೆ.
半途而废	ಮಧ್ಯದಲ್ಲೇ ಕೈಬಿಡುವುದು	ಸಂಶೋಧನೆ ಮಾಡುವಾಗ ಮಧ್ಯದಲ್ಲೇ ಕೈಬಿಡಬಾರದು.
扮演	ಪಾತ್ರ ವಹಿಸುವುದು	ಅವನು ಚಲನಚಿತ್ರದಲ್ಲಿ ವೈದ್ಯನ ಪಾತ್ರ ವಹಿಸುತ್ತಾನೆ.
榜样	ಮಾದರಿ ವ್ಯಕ್ತಿ	ತಾಯಿ ತಂದೆಯರು ಮಕ್ಕಳಿಗೆ ಮಾದರಿ ವ್ಯಕ್ತಿಗಳು.
绑架	ಅಪಹರಣ	ಪೊಲೀಸರು ಒಂದು ಅಪಹರಣ ಪ್ರಕರಣವನ್ನು ತಡೆದರು.
磅	ಪೌಂಡ್	ಈ ಪೆಟ್ಟಿಗೆಯ ತೂಕ ಇಪ್ಪತ್ತು ಪೌಂಡ್.
包庇	ಅಡಗಿಸಿ ರಕ್ಷಿಸುವುದು	ಯಾರೂ ಅಪರಾಧವನ್ನು ಅಡಗಿಸಿ ರಕ್ಷಿಸಬಾರದು.
包袱	ಭಾರ; ಹೊರೆ	ಅವನು ಹೊರೆ ಇಳಿಸಿದ ನಂತರ ಬಹಳ ಹಗುರವಾಗಿ ಅನುಭವಿಸಿದನು.
包围	ಸುತ್ತುವರಿಯುವುದು	ವರದಿಗಾರರು ನಟನನ್ನು ಸುತ್ತುವರಿದರು.
包装	ಪ್ಯಾಕಿಂಗ್; ಹೊದಿಕೆ	ಈ ಉಡುಗೊರೆಯ ಪ್ಯಾಕಿಂಗ್ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.
保管	ಸುರಕ್ಷಿತವಾಗಿ ಇಟ್ಟುಕೊಳ್ಳುವುದು	ಈ ದಾಖಲೆಗಳನ್ನು ನಾನು ಸುರಕ್ಷಿತವಾಗಿ ಇಟ್ಟುಕೊಳ್ಳುತ್ತೇನೆ.
保密	ರಹಸ್ಯವಾಗಿಡುವುದು	ಸಭೆಯ ವಿಷಯವನ್ನು ರಹಸ್ಯವಾಗಿಡಬೇಕು.
保姆	ಮಕ್ಕಳ ನೋಡಿಕೊಳ್ಳುವವರು	ಅವರು ಒಬ್ಬ ಮಕ್ಕಳ ನೋಡಿಕೊಳ್ಳುವವರನ್ನು ನೇಮಿಸಿಕೊಂಡರು.
保守	ಸಂಪ್ರದಾಯವಾದಿ; ಸಂರಕ್ಷಕ	ಅವನ ಆಲೋಚನೆಗಳು ಸ್ವಲ್ಪ ಸಂಪ್ರದಾಯವಾದಿಯಾಗಿವೆ.
保卫	ರಕ್ಷಿಸುವುದು	ಸೈನಿಕರು ಗಡಿಯನ್ನು ರಕ್ಷಿಸುತ್ತಾರೆ.
保养	ನಿಯಮಿತ ನಿರ್ವಹಣೆ	ಈ ಕಾರಿಗೆ ನಿಯಮಿತ ನಿರ್ವಹಣೆ ಬೇಕು.
保障	ಖಾತರಿಪಡಿಸುವುದು; ರಕ್ಷಣೆ	ಕಾನೂನು ನಾಗರಿಕರ ಹಕ್ಕುಗಳನ್ನು ರಕ್ಷಿಸುತ್ತದೆ.
保重	ಆರೋಗ್ಯದ ಕಡೆ ಗಮನ ಕೊಳ್ಳುವುದು	ಹೊರಗೆ ಇರುವಾಗ ದಯವಿಟ್ಟು ಆರೋಗ್ಯದ ಕಡೆ ಗಮನ ಕೊಳ್ಳಿ.
饱和	ಪರಿಪೂರ್ಣವಾಗಿ ತುಂಬಿದ; ಸಂತೃಪ್ತ	ಈ ಮಾರುಕಟ್ಟೆ ಈಗಾಗಲೇ ಸಂತೃಪ್ತಿಯ ಹತ್ತಿರ ಬಂದಿದೆ.
饱经沧桑	ಬಹಳ ಕಷ್ಟ ಬದಲಾವಣೆಗಳನ್ನು ಕಂಡಿರುವ	ಈ ವೃದ್ಧರು ಬಹಳ ಕಷ್ಟ ಬದಲಾವಣೆಗಳನ್ನು ಕಂಡಿದ್ದಾರೆ.
报酬	ಪರಿಹಾರ; ಸಂಬಳ	ಅವನಿಗೆ ಯುಕ್ತವಾದ ಪರಿಹಾರ ದೊರಕಿತು.
报仇	ಪ್ರತೀಕಾರ ತೀರಿಸಿಕೊಳ್ಳುವುದು	ಅವನು ಪ್ರತೀಕಾರ ಬಯಸಲಿಲ್ಲ, ಮತ್ತೆ ಆರಂಭಿಸಲು ಮಾತ್ರ ಬಯಸಿದನು.
报答	ಪ್ರತಿಫಲ ನೀಡುವುದು	ನಿನ್ನ ಸಹಾಯಕ್ಕೆ ನಾನು ಕ್ರಿಯೆಯಿಂದ ಪ್ರತಿಫಲ ನೀಡುತ್ತೇನೆ.
报复	ಪ್ರತೀಕಾರ	ಪ್ರತೀಕಾರವು ಸಂಘರ್ಷವನ್ನು ಇನ್ನಷ್ಟು ಆಳಗೊಳಿಸುತ್ತದೆ.
报警	ಪೊಲೀಸರಿಗೆ ಮಾಹಿತಿ ನೀಡುವುದು	ಬೆಂಕಿ ಕಂಡುಬಂದ ನಂತರ ತಕ್ಷಣ ಪೊಲೀಸರಿಗೆ ಮಾಹಿತಿ ನೀಡಬೇಕು.
报销	ವೆಚ್ಚ ಪರಿಹಾರ ಪಡೆಯುವುದು	ಪ್ರಯಾಣ ವೆಚ್ಚಕ್ಕೆ ಪರಿಹಾರ ಪಡೆಯಬಹುದು.
抱负	ಆಕಾಂಕ್ಷೆ	ಅವನಿಗೆ ಬಾಲ್ಯದಿಂದಲೇ ದೊಡ್ಡ ಆಕಾಂಕ್ಷೆಗಳಿವೆ.
暴力	ಹಿಂಸೆ	ನಾವು ಯಾವುದೇ ರೂಪದ ಹಿಂಸೆಗೆ ವಿರೋಧಿಸುತ್ತೇವೆ.
暴露	ಬಯಲಾಗುವುದು	ಈ ಸಮಸ್ಯೆ ಕ್ರಮೇಣ ಬಯಲಾಯಿತು.
曝光	ಬಹಿರಂಗಗೊಳ್ಳುವುದು	ಈ ಚಿತ್ರ ಬಹಿರಂಗವಾದ ನಂತರ ಗಮನ ಸೆಳೆದಿತು.
爆发	ಸ್ಫೋಟಗೊಳ್ಳುವುದು; ಉಗ್ರವಾಗಿ ಪ್ರಾರಂಭವಾಗುವುದು	ಜ್ವಾಲಾಮುಖಿ ಅಕಸ್ಮಾತ್ ಸ್ಫೋಟಗೊಂಡಿತು.
爆炸	ಸ್ಫೋಟ	ಪ್ರಯೋಗಾಲಯದಲ್ಲಿ ಸ್ಫೋಟ ಸಂಭವಿಸಿತು.
卑鄙	ನೀಚವಾದ	ಇಂತಹ ನೀಚ ವಿಧಾನ ಜನರನ್ನು ಕೋಪಗೊಳಿಸುತ್ತದೆ.
悲哀	ದುಃಖಕರ	ಸುದ್ದಿ ಕೇಳಿ ಅವನು ತುಂಬಾ ದುಃಖಪಟ್ಟನು.
悲惨	ದಾರುಣ	ಅದು ಇತಿಹಾಸದ ದಾರುಣ ಅವಧಿಯಾಗಿತ್ತು.
北极	ಉತ್ತರ ಧ್ರುವ	ವಿಜ್ಞಾನಿಗಳು ಉತ್ತರ ಧ್ರುವದಲ್ಲಿ ಸಂಶೋಧನೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ.
备份	ಬ್ಯಾಕಪ್ ಪ್ರತಿಲಿಪಿ	ದಯವಿಟ್ಟು ಮೊದಲು ಮುಖ್ಯ ಕಡತಗಳಿಗೆ ಬ್ಯಾಕಪ್ ಪ್ರತಿಲಿಪಿ ಮಾಡಿರಿ.
备忘录	ಸ್ಮರಣಿಕೆ	ಅವಳು ಸ್ಮರಣಿಕೆಯಲ್ಲಿ ಮುಖ್ಯ ಅಂಶಗಳನ್ನು ಬರೆದಳು.
背叛	ದ್ರೋಹ	ಅವನು ಸ್ನೇಹಿತನ ದ್ರೋಹವನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
背诵	ಕಂಠಪಾಠ ಹೇಳುವುದು	ವಿದ್ಯಾರ್ಥಿಗಳು ಪಾಠವನ್ನು ಕಂಠಪಾಠ ಹೇಳುತ್ತಿದ್ದಾರೆ.
被动	ನಿಷ್ಕ್ರಿಯ	ಚರ್ಚೆಯಲ್ಲಿ ನಾವು ತುಂಬಾ ನಿಷ್ಕ್ರಿಯರಾಗಿರಬಾರದು.
被告	ಪ್ರತಿವಾದಿ	ಪ್ರತಿವಾದಿ ಎಲ್ಲಾ ಆರೋಪಗಳನ್ನು ನಿರಾಕರಿಸಿದನು.
贝壳	ಚಿಪ್ಪು	ಮಗು ಸಮುದ್ರತೀರದಲ್ಲಿ ಚಿಪ್ಪುಗಳನ್ನು ಎತ್ತಿಕೊಂಡಿತು.
奔波	ಅಲೆದಾಡುವುದು; ಓಡಾಟದಲ್ಲಿರುವುದು	ಅವನು ಕೆಲಸಕ್ಕಾಗಿ ಎಲ್ಲೆಡೆ ಅಲೆದಾಡುತ್ತಾನೆ.
奔驰	ವೇಗವಾಗಿ ದೌಡಾಯಿಸುವುದು	ಕಾರು ಹೆದ್ದಾರಿಯಲ್ಲಿ ವೇಗವಾಗಿ ದೌಡಾಯಿಸಿತು.
本能	ಸ್ವಭಾವಿಕ ಪ್ರೇರಣೆ	ಮಕ್ಕಳನ್ನು ರಕ್ಷಿಸುವುದು ತಾಯಿ ತಂದೆಯರ ಸ್ವಭಾವಿಕ ಪ್ರೇರಣೆ.
本钱	ಮೂಲಧನ	ವ್ಯಾಪಾರ ಮಾಡಲು ಮೂಲಧನ ಬೇಕು.
本人	ನಾನು ಸ್ವತಃ	ನಾನು ಸ್ವತಃ ಜವಾಬ್ದಾರಿ ತೆಗೆದುಕೊಳ್ಳಲು ಸಿದ್ಧನಿದ್ದೇನೆ.
本身	ಸ್ವತಃ	ಈ ಯೋಜನೆ ಸ್ವತಃ ಸಮಸ್ಯೆಯಿಲ್ಲ.
本事	ಸಾಮರ್ಥ್ಯ	ಅವನಿಗೆ ತುಂಬಾ ಸಾಮರ್ಥ್ಯ ಇದೆ.
笨拙	ಅನಗತ್ಯವಾಗಿ ಅಸಮರ್ಥ; ಅಡುಕು	ಅವನ ಚಲನೆಗಳು ಸ್ವಲ್ಪ ಅಡುಕಾಗಿವೆ.
崩溃	ಕುಸಿದು ಬೀಳುವುದು	ವ್ಯವಸ್ಥೆ ಅಕಸ್ಮಾತ್ ಕುಸಿದು ಬಿತ್ತು.
甭	ಅವಶ್ಯಕತೆ ಇಲ್ಲ	ಈ ವಿಷಯದ ಬಗ್ಗೆ ನೀನು ಚಿಂತಿಸಬೇಕಾಗಿಲ್ಲ.
蹦	ಹಾರಾಡುವುದು	ನಾಯಿ ಮರಿ ಹುಲ್ಲಿನ ಮೇಲೆ ಹಾರಾಡುತ್ತಿತ್ತು.
迸发	ಒಮ್ಮೆಲೆ ಉಕ್ಕಿಬರುವುದು	ಜನಸಮೂಹದಿಂದ ಚಪ್ಪಾಳೆ ಒಮ್ಮೆಲೆ ಉಕ್ಕಿಬಂತು.
逼迫	ಬಲವಂತಪಡಿಸುವುದು	ಅವರು ಅವನನ್ನು ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಲು ಬಲವಂತಪಡಿಸಿದರು.
鼻涕	ಮೂಗಿನ ಕಫ	ಮಗುವಿಗೆ ಶೀತವಾಗಿದೆ, ಮೂಗಿನ ಕಫ ನಿರಂತರವಾಗಿ ಹರಿಯುತ್ತಿದೆ.
比方	ಉದಾಹರಣೆ	ಉದಾಹರಣೆಗೆ, ನಾವು ಮೊದಲು ಒಂದು ತಿಂಗಳು ಪ್ರಯತ್ನಿಸಬಹುದು.
比喻	ರೂಪಕ	ಈ ರೂಪಕ ಬಹಳ ಸ್ಪಷ್ಟವಾಗಿದೆ.
比重	ಅನುಪಾತ	ಸೇವಾ ವಲಯದ ಅನುಪಾತ ಹೆಚ್ಚಾಗುತ್ತಿದೆ.
鄙视	ತಿರಸ್ಕರಿಸುವುದು; ತುಚ್ಛವಾಗಿ ನೋಡುವುದು	ಇತರರ ಪ್ರಯತ್ನವನ್ನು ತುಚ್ಛವಾಗಿ ನೋಡಬೇಡ.
弊病	ದೋಷ; ಕೆಡುಕು	ಈ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಅನೇಕ ದೋಷಗಳಿವೆ.
弊端	ದೋಷಪೂರಿತ ಅಂಶ	ಹೊಸ ಯೋಜನೆ ಹಳೆಯ ವ್ಯವಸ್ಥೆಯ ದೋಷಪೂರಿತ ಅಂಶಗಳನ್ನು ಪರಿಹರಿಸಿತು.
臂	ಭುಜ; ಕೈ	ಅವನ ಬಲ ಕೈಗೆ ಗಾಯವಾಯಿತು.
闭塞	ಒಂಟಿಯಾದ; ತಲುಪಲು ಕಷ್ಟವಾದ	ಈ ಪರ್ವತ ಗ್ರಾಮದ ಸಂಚಾರ ಹಿಂದೆ ತುಂಬಾ ಒಂಟಿಯಾಗಿತ್ತು.
编织	ನೇಯುವುದು	ಅಜ್ಜಿ ಒಂದು ಸ್ವೆಟರ್ ನೇಯುತ್ತಿದ್ದಾರೆ.
边疆	ಸೀಮಾಪ್ರದೇಶ	ಅನೇಕ ಯೋಧರು ದೇಶದ ಸೀಮಾಪ್ರದೇಶವನ್ನು ಕಾಯುತ್ತಿದ್ದಾರೆ.
边界	ಸೀಮಾರೇಖೆ	ಎರಡು ದೇಶಗಳು ಸೀಮಾರೇಖೆಯನ್ನು ಮರುನಿರ್ಧರಿಸಿದವು.
边境	ಗಡಿಪ್ರದೇಶ	ಗಡಿಪ್ರದೇಶಗಳಲ್ಲಿ ಭದ್ರತಾ ಪರಿಶೀಲನೆ ಬಲಪಡಿಸಲಾಯಿತು.
边缘	ಅಂಚು	ಕಪ್ ಅನ್ನು ಮೇಜಿನ ಅಂಚಿನಲ್ಲಿ ಇಡಲಾಗಿದೆ.
鞭策	ಪ್ರೇರೇಪಿಸುವುದು	ಶಿಕ್ಷಕರ ಮಾತುಗಳು ಸದಾ ನನ್ನನ್ನು ಪ್ರೇರೇಪಿಸುತ್ತವೆ.
扁	ಚಪ್ಪಟೆ	ಈ ಪೆಟ್ಟಿಗೆ ಅಗಲವೂ ಚಪ್ಪಟೆಯೂ ಆಗಿದೆ.
贬低	ತಗ್ಗಿಸಿ ಮಾತನಾಡುವುದು	ಇತರರ ಪ್ರಯತ್ನವನ್ನು ಸುಲಭವಾಗಿ ತಗ್ಗಿಸಿ ಮಾತನಾಡಬೇಡ.
贬义	ನಕಾರಾತ್ಮಕ ಅರ್ಥ	ಈ ಪದಕ್ಕೆ ಇಲ್ಲಿ ನಕಾರಾತ್ಮಕ ಅರ್ಥವಿದೆ.
便利	ಅನುಕೂಲಕರ	ಮೆಟ್ರೋ ಪ್ರಯಾಣವನ್ನು ಇನ್ನಷ್ಟು ಅನುಕೂಲಕರವಾಗಿಸುತ್ತದೆ.
便条	ಚಿಕ್ಕ ಟಿಪ್ಪಣಿ	ಅವನು ಮೇಜಿನ ಮೇಲೆ ಒಂದು ಚಿಕ್ಕ ಟಿಪ್ಪಣಿ ಬಿಟ್ಟನು.
便于	ಬಳಸಲು ಅನುಕೂಲವಾದ	ಈ ವಿನ್ಯಾಸ ವೃದ್ಧರು ಬಳಸಲು ಅನುಕೂಲವಾಗಿದೆ.
变故	ಅಕಸ್ಮಾತ್ ದುರ್ಘಟನೆ	ಮನೆಯಲ್ಲಿ ಅಕಸ್ಮಾತ್ ದುರ್ಘಟನೆ ಸಂಭವಿಸಿತು.
变迁	ಬದಲಾವಣೆಗಳು	ನಗರದ ಬದಲಾವಣೆಗಳು ಅವನನ್ನು ಆಳವಾಗಿ ಭಾವುಕರನ್ನಾಗಿಸಿತು.
变质	ಹಾಳಾಗುವುದು	ಹಾಲನ್ನು ಹೆಚ್ಚು ಕಾಲ ಇಟ್ಟರೆ ಅದು ಹಾಳಾಗುತ್ತದೆ.
辨认	ಗುರುತಿಸುವುದು	ಪೊಲೀಸರು ಅವನಿಗೆ ಚಿತ್ರದಲ್ಲಿರುವ ವ್ಯಕ್ತಿಯನ್ನು ಗುರುತಿಸಲು ಹೇಳಿದರು.
辩护	ಪರವಾಗಿ ವಾದಿಸುವುದು	ವಕೀಲರು ಪ್ರತಿವಾದಿಯ ಪರವಾಗಿ ವಾದಿಸಿದರು.
辩解	ಸಮರ್ಥನೆ ನೀಡುವುದು	ಅವನು ತನ್ನ ತಪ್ಪಿಗೆ ಸಮರ್ಥನೆ ನೀಡಲು ಪ್ರಯತ್ನಿಸಿದನು.
辩证	ದ್ವಂದ್ವಾತ್ಮಕವಾಗಿ	ನಾವು ಈ ಸಮಸ್ಯೆಯನ್ನು ದ್ವಂದ್ವಾತ್ಮಕವಾಗಿ ನೋಡಬೇಕು.
辫子	ಜಡೆ	ಚಿಕ್ಕ ಹುಡುಗಿಗೆ ಎರಡು ಜಡೆಗಳಿವೆ.
遍布	ಎಲ್ಲೆಡೆ ಹರಡಿರುವುದು	ಈ ಸಸ್ಯ ದೇಶದೆಲ್ಲೆಡೆ ಕಂಡುಬರುತ್ತದೆ.
标本	ನಮೂನೆ	ಸಂಗ್ರಹಾಲಯದಲ್ಲಿ ಪ್ರಾಣಿಗಳ ನಮೂನೆಗಳನ್ನು ಪ್ರದರ್ಶಿಸಲಾಗಿದೆ.
标记	ಗುರುತು	ದಯವಿಟ್ಟು ಮುಖ್ಯ ಪ್ಯಾರಾಗ್ರಾಫ್‌ಗಳ ಪಕ್ಕದಲ್ಲಿ ಗುರುತು ಮಾಡಿ.
标题	ಶೀರ್ಷಿಕೆ	ಈ ಲೇಖನದ ಶೀರ್ಷಿಕೆ ತುಂಬಾ ಆಕರ್ಷಕವಾಗಿದೆ.
表决	ಮತದಾನ ಮಾಡಿ ತೀರ್ಮಾನಿಸುವುದು	ಪ್ರತಿನಿಧಿಗಳು ಪ್ರಸ್ತಾವನೆ ಮೇಲೆ ಮತದಾನ ಮಾಡಲಿದ್ದಾರೆ.
表态	ನಿಲುವು ವ್ಯಕ್ತಪಡಿಸುವುದು	ಅವನು ಇನ್ನೂ ಸಾರ್ವಜನಿಕವಾಗಿ ತನ್ನ ನಿಲುವು ವ್ಯಕ್ತಪಡಿಸಿಲ್ಲ.
表彰	ಪ್ರಶಂಸಿಸಿ ಗೌರವಿಸುವುದು	ಕಂಪನಿ ಶ್ರೇಷ್ಠ ಉದ್ಯೋಗಿಗಳನ್ನು ಪ್ರಶಂಸಿಸಿ ಗೌರವಿಸಿತು.
憋	ತಡೆಹಿಡಿಯುವುದು	ಅವನು ನಗೆಯನ್ನು ತಡೆಹಿಡಿದು ಏನೂ ಮಾತನಾಡಲಿಲ್ಲ.
别墅	ವಿಲ್ಲಾ	ಅವರು ಉಪನಗರದಲ್ಲಿ ಒಂದು ವಿಲ್ಲಾ ಖರೀದಿಸಿದರು.
别致	ವಿಶಿಷ್ಟ	ಈ ಕಾಫಿ ಅಂಗಡಿಯ ಅಲಂಕಾರ ಬಹಳ ವಿಶಿಷ್ಟವಾಗಿದೆ.
别扭	ಅಸಹಜ; ಅಸೌಕರ್ಯಕರ	ಈ ವಾಕ್ಯ ಕೇಳಲು ಸ್ವಲ್ಪ ಅಸಹಜವಾಗಿದೆ.
濒临	ಅಂಚಿನಲ್ಲಿರುವುದು	ಈ ಪ್ರಾಣಿ ನಾಶದ ಅಂಚಿನಲ್ಲಿದೆ.
冰雹	ಆಲಿಕಲ್ಲು	ನಿನ್ನೆ ಮಧ್ಯಾಹ್ನ ಭಾರೀ ಆಲಿಕಲ್ಲು ಮಳೆಯಾಯಿತು.
丙	ಮೂರನೇ	ಮೂರನೇ ಗುಂಪಿನ ಪಂದ್ಯ ಮಧ್ಯಾಹ್ನ ಆರಂಭವಾಗುತ್ತದೆ.
并非	ಹಾಗಲ್ಲ	ವಿಷಯ ನೀನು ಕಲ್ಪಿಸುವಂತಿಲ್ಲ.
