source_headword	IS	example_IS
asset	eignin	Reynsla er dýrmætur kostur.
assign	að úthluta	Kennarinn setti fyrir heimanám í dag.
assistance	aðstoðin	Vinsamlegast biðjið starfsfólkið um aðstoð.
assumption	forsendan	Sú ályktun gæti verið röng.
assure	að fullvissa	Ég fullvissa þig um að hurðin er læst.
astonishing	undraverður	Útsýnið frá klettinum var stórkostlegt.
attachment	viðhengið	Tölvupósturinn inniheldur viðhengi.
auction	uppboðið	Málverkið seldist á uppboði.
audio	hljóðrænn	Hljóðupptakan hljómar vel.
automatic	sjálfvirkur	Hurðin er með sjálfvirka læsingu.
automatically	sjálfkrafa	Ljósin kvikna sjálfkrafa.
awareness	vitundin	Herferðin vakti vitund almennings.
awkward	vandræðalegur	Þögnin var vandræðaleg.
badge	barmmerkið	Gestir verða að bera barmmerki.
balanced	yfirvegaður	Hollt mataræði inniheldur grænmeti.
ballet	ballettinn	Hún lærir ballett eftir skóla.
balloon	blaðran	Blaðran sveimaði yfir borðinu.
barely	varla	Hann heyrði varla tilkynninguna.
bargain	kjarakaupin	Þessi jakki var raunveruleg kjarakaup.
basement	kjallarinn	Kassarnir eru í kjallaranum.
basket	karfan	Hún setti epli í körfuna.
bat	leðurblakan	Leðurblakan flaug út úr hellinum.
beneficial	gagnlegur	Regluleg hreyfing er gagnleg fyrir heilsuna.
beside	við hliðina á	Lampinn stendur við hliðina á sófanum.
besides	auk þess	Auk stærðfræði lærir hann efnafræði.
bias	hlutdrægnin	Greinin sýndi skýra hlutdrægni.
bid	tilboðið	Fyrirtækið gerði hærra tilboð.
biological	líffræðilegur	Líffræðilega prófið staðfesti niðurstöðuna.
blanket	teppið	Barnið svaf undir teppi.
blow	höggið	Kraftmikla höggið braut gluggann.
bold	djarfur	Fyrirsögnin notaði feitletraða stafi.
bombing	sprengjuárásin	Sprengjuárásin skemmdi nokkrar byggingar.
booking	bókunin	Ég staðfesti hótelbókunina.
boost	efla	Sigurinn jók sjálfstraust liðsins.
bound	bundinn	Pakkinn var bundinn með snæri.
brick	múrsteinninn	Veggurinn er úr múrsteini.
briefly	stuttlega	Hún talaði stuttlega eftir hádegismat.
broadcaster	útvarpsmaðurinn	Fjölmiðlamaðurinn tók viðtal við borgarstjórann.
broadly	almennt	Áætlanirnar tvær eru í stórum dráttum svipaðar.
bug	gallinn	Forritið hrundi út af villu.
cabin	klefinn	Við dvöldum í litlum kofa.
canal	skurðurinn	Bátar færðust hægt eftir skurðinum.
candle	kertið	Kertið brann á borðinu.
carbon	kolefnið	Tré gleypa kolefni úr loftinu.
casual	frjálslegur	Hann klæddist hversdagslegum fötum í vinnuna.
cave	hellirinn	Göngumennirnir fóru inn í hellinn.
certainty	fullvissan	Við getum ekki vitað það með vissu.
certificate	vottorðið	Hún fékk þjálfunarskírteini.
challenging	krefjandi	Námskeiðið var krefjandi en gagnlegt.
championship	meistaramótið	Liðið okkar komst í úrslit meistaramótsins.
charming	heillandi	Gamla gatan leit út fyrir að vera heillandi.
chase	elta	Hundurinn elti boltann.
cheek	kinnin	Tár rann niður kinn hennar.
cheer	fagna	Mannfjöldinn byrjaði að fagna hátt.
choir	kórinn	Kórinn söng fallega.
chop	saxa	Saxaðu laukinn í smáa bita.
circuit	hringrásin	Hlauparinn kláraði hringinn.
civilization	siðmenningin	Forn siðmenning mótaði þetta svæði.
clarify	skýra	Vinsamlegast skýrðu síðasta punktinn.
classify	flokka	Vísindamenn flokka dýr eftir tegundum.
clerk	afgreiðslumaðurinn	Afgreiðslumaðurinn prentaði kvittunina.
cliff	kletturinn	Slóðin endar nálægt kletti.
clinic	læknastofan	Læknastofan opnar klukkan átta.
clip	klemman	Hún festi klemmuna við blaðið.
coincidence	tilviljun	Að hitta hann þar var tilviljun.
collector	safnari	Safnarinn keypti sjaldgæfa mynt.
colony	nýlenda	Maurarnir byggðu stórt bú.
colourful	litríkur	Markaðurinn var bjartur og litríkur.
comic	myndasaga	Skoplega atriðið fékk okkur til að hlæja.
commander	herforingi	Foringinn gaf skýrar skipanir.
comparative	hlutfallslegur	Ritgerðin notar samanburðargögn.
completion	frágangur	Brúin er nánast fullgerð.
compose	semja	Hann mun semja tónlist fyrir kvikmyndina.
composer	tónskáld	Tónskáldið samdi nýtt lag.
compound	efnasamband	Efnasambandið inniheldur tvö efni.
comprehensive	ítarlegur	Handbókin gefur ítarlegar leiðbeiningar.
comprise	samanstanda af	Liðið samanstendur af fimm meðlimum.
compulsory	skyldubundinn	Mæting er skylda í þessum áfanga.
concrete	steinsteypa	Gólfið er úr steypu.
confess	játa	Hann játaði mistökin fyrir kennaranum sínum.
confusion	ruglingur	Töfin olli ruglingi.
consequently	þar af leiðandi	Það rigndi; þar af leiðandi var leiknum hætt.
conservation	verndun	Náttúruvernd verndar sjaldgæf dýr.
considerable	töluverður	Viðgerðin tók töluverðan tíma.
considerably	töluvert	Verð hækkaði talsvert á þessu ári.
consistently	stöðugt	Hún stendur sig stöðugt vel.
conspiracy	samsæri	Lögreglan rannsakaði samsærið.
consult	ráðfæra sig við	Ráðfærðu þig við lækni áður en þú tekur lyfið.
consultant	ráðgjafi	Ráðgjafinn stakk upp á nýrri stefnu.
consumption	neysla	Orkuneysla minnkaði í síðasta mánuði.
controversial	umdeildur	Stefnan er enn umdeild.
controversy	deila	Ákvörðunin olli deilum.
convenience	þægindi	Verslunin býður upp á mikil þægindi.
convention	ráðstefna	Árlega ráðstefnan byrjar á mánudaginn.
conventional	hefðbundinn	Hann valdi hefðbundna hönnun.
convey	koma á framfæri	Skilaboðin komu samúð á framfæri.
convincing	sannfærandi	Útskýring hennar var sannfærandi.
cope	takast á við	Hún lærði að takast á við streitu.
corporation	hlutafélag	Fyrirtækið opnaði nýja skrifstofu.
corridor	gangur	Gangurinn var þröngur og kyrrlátur.
counter (long flat surface)	afgreiðsluborð	Lyklarnir eru á eldhúsborðinu.
coverage	umfjöllun	Fréttaumfjöllunin stóð yfir allt kvöldið.
crack	sprunga	Sprunga myndaðist í veggnum.
craft	handverk	Hún selur handverk á netinu.
creativity	sköpunargáfa	Sköpunargáfa hjálpar til við að leysa vandamál.
critically	gagnrýnið	Greinin var afar mikilvæg.
cruise	skemmtisigling	Þau bókuðu skemmtisiglingu til Grikklands.
cue	vísbending	Leikarinn missti af vísbendingunni sinni.
curious	forvitnilegur	Barnið var forvitið um geiminn.
curriculum	námskrá	Skólinn uppfærði námskrána sína.
cute	sætur	Hvolpurinn var sætur.
dairy	mjólkurvörur	Bærinn framleiðir mjólkurvörur.
dare	þora	Ég skora á þig að prófa það.
darkness	myrkur	Herbergið fylltist af myrkri.
database	gagnagrunnur	Gagnagrunnurinn geymir skrár viðskiptavina.
deadline	frestur	Skilafresturinn er á föstudaginn.
deadly	banvænn	Snákurinn er með banvænt eitur.
dealer	sölumaður	Bílasalinn bauð afslátt.
deck	þilfar	Stólarnir eru á pallinum.
defender	varnarmaður	Varnarmaðurinn varði skotið.
delete	eyða	Eyddu gömlu skeytinu.
democracy	lýðræði	Lýðræði byggist á frjálsum kosningum.
democratic	lýðræðislegur	Kosningin fylgdi lýðræðislegum reglum.
demonstration	mótmæli	Nemendurnir tóku þátt í mótmælum.
depart	yfirgefa	Lestin fer á hádegi.
dependent	háður	Barnið er háð fullorðnum.
deposit	innborgun	Hún greiddi innborgun fyrir íbúðina.
depression	þunglyndi	Þunglyndi krefst faglegrar aðstoðar.
derive	leiða af	Mörg orð eru dregin af latínu.
desperately	örvæntingarfullt	Hann þurfti sárlega á vatni að halda.
destruction	eyðilegging	Stormurinn olli mikilli eyðileggingu.
determination	ákveðni	Ákveðni hennar heillaði þjálfarann.
devote	helga	Hún helgar helgarnar náminu.
differ	vera ólíkur	Skoðanir þeirra eru mjög ólíkar.
disability	fötlun	Byggingin er með aðgengi fyrir fatlaða.
disabled	fatlaður	Fatlaði íþróttamaðurinn vann verðlaun.
disagreement	ósamkomulag	Fundinum lauk með ósamkomulagi.
disappoint	valda vonbrigðum	Niðurstaðan gæti valdið aðdáendum vonbrigðum.
disappointment	vonbrigði	Hann fann fyrir djúpum vonbrigðum.
discourage	draga úr	Ekki letja unga nemendur.
disorder	röskun	Læknirinn greindi svefnröskun.
distant	fjarlægur	Fjöllin virtust fjarlæg.
distinct	skýr	Hljóðin tvö eru aðgreind.
distinguish	greina á milli	Geturðu greint á milli þessara lita?
distract	trufla	Hávaði getur truflað nemendur.
disturb	ónáða	Vinsamlegast ekki ónáða sjúklinginn.
dive	dýfa	Þeir munu kafa nálægt rifinu.
diverse	fjölbreyttur	Borgin hefur fjölbreytta menningu.
diversity	fjölbreytni	Við fögnum menningarlegum fjölbreytileika.
divorce	skilnaður	Skilnaðurinn var öllum erfiður.
dominant	ríkjandi	Ríkjandi liðið stjórnaði leiknum.
donation	framlag	Góðgerðarstofnunin fékk framlag.
dot	punktur	Settu punkt á eftir tölunni.
downtown	miðbær	Við hittumst í miðbænum eftir vinnu.
dramatically	verulega	Verðið lækkaði verulega.
drought	þurrkur	Þurrkurinn skemmdi uppskeruna.
dull	leiðinlegur	Fyrirlesturinn var leiðinlegur.
dump	losa	Ekki henda rusli hér.
duration	tímalengd	Flugtíminn er þrjár klukkustundir.
dynamic	kvikur	Skólastofan virtist kraftmikil.
economics	hagfræði	Hún lærir hagfræði í háskóla.
economist	hagfræðingur	Hagfræðingurinn spáði hægari vexti.
editorial	ritstjórnar-	Ritstjórnargreinin gagnrýndi lögin.
efficiently	á skilvirkan hátt	Liðið vann á skilvirkan hátt.
elbow	olnbogi	Hann meiddi sig á olnboganum.
electronics	rafeindatækni	Búðin selur rafeindatæki.
elegant	glæsilegur	Kjóllinn var glæsilegur.
elementary	einfaldur	Bókin útskýrir grunnmálfræði.
eliminate	útrýma	Liðið eyddi nokkrum villum.
embrace	umfaðma	Hún tók nýju hugmyndinni opnum örmum.
emission	útblástur	Útblástur frá bílum minnkaði.
emotionally	tilfinningalega	Hann talaði af tilfinningu um fjölskyldu sína.
empire	heimsveldi	Heimsveldið stóð í margar aldir.
enjoyable	skemmtilegur	Ferðin var skemmtileg.
entertaining	skemmtilegur	Sýningin var skemmtileg.
entrepreneur	frumkvöðull	Frumkvöðullinn opnaði kaffihús.
envelope	umslag	Settu bréfið í umslag.
equip	útbúa	Skólinn mun útbúa rannsóknarstofuna.
equivalent	ígildi	Einn dalur er ekki jafngildur hér.
era	tímabil	Uppgötvunin hóf nýtt tímabil.
erupt	gjósa	Eldfjallið gæti gosið fljótlega.
essentially	í grundvallaratriðum	Aðferðirnar tvær eru í raun eins.
ethic	siðferði	Vinnusiðferði hans er sterkt.
ethnic	þjóðernislegur	Hátíðin fagnar þjóðernishefðum.
evaluation	mat	Námskeiðið felur í sér lokamat.
evident	augljós	Taugaveiklun hans var augljós.
evolution	þróun	Þróunarkenningin útskýrir margar líffræðilegar breytingar.
evolve	þróa	Tungumál þróast með tímanum.
exceed	fara fram úr	Eftirspurnin gæti farið fram úr framboði.
exception	undantekning	Það er ein undantekning.
excessive	óhóflegur	Óhóflegur hávaði truflar nágranna.
exclude	útiloka	Listinn undanskilur tímabundna starfsmenn.
exhibit	sýningargripur	Safnið mun sýna sjaldgæfar ljósmyndir.
exit	útgangur	Útgangurinn er bak við sviðið.
exotic	framandi	Búðin selur framandi ávexti.
expansion	stækkun	Fyrirtækið skipulagði stækkun.
expertise	sérfræðiþekking	Sérfræðiþekking hennar bætti verkefnið.
exploit	nýta	Glæpamenn misnota veik lykilorð.
exposure	umfjöllun	Sólarljós getur skemmt húðina.
extension	framlenging	Framlenging frestsins hjálpaði öllum.
extensive	yfirgripsmikill	Bókasafnið hefur víðtæk úrræði.
extensively	ítarlega	Viðfangsefnið var mikið rannsakað.
extract	útdráttur	Vanilluþykkni gefur bragð.
fabric	efni	Efnið er mjúkt viðkomu.
fabulous	frábær	Máltíðin var stórkostleg.
failed	misheppnaður	Misheppnuð tilraunin kenndi okkur eitthvað.
fake	falsaður	Vefsíðan seldi falsaða miða.
fame	frægð	Frægðin breytti einkalífi hans.
fantasy	fantasía	Skáldsagan er fantasía.
fare	fargjald	Rútufargjaldið hækkaði.
federal	alríkis	Alríkisstjórnin tilkynnti um fjármögnun.
fever	hiti	Barnið er með hita.
firefighter	slökkviliðsmaður	Slökkviliðsmaðurinn bjargaði hundinum.
firework	flugeldur	Flugeldur sprakk yfir garðinum.
firm	ákveðinn	Dýnan er stíf.
firmly	ákveðið	Hún lokaði hurðinni ákveðið.
flavour	bragð	Súpan hefur ríkulegt bragð.
fond	hrifinn	Hann er hrifinn af djasstónlist.
fool	bjáni	Ekki haga þér eins og fífl.
forbid	banna	Lögin banna reykingar hér.
forecast	spá	Spáin gerir ráð fyrir rigningu.
format	snið	Notaðu rétt skráarsnið.
formation	myndun	Skýjamyndun breytist hratt.
formerly	áður	Byggingin var áður skóli.
fortunate	heppinn	Við vorum heppin að koma snemma.
forum	vettvangur	Vettvangurinn ræddi loftslagsstefnu.
fossil	steingervingur	Steingervingurinn fannst í steini.
foundation	stofnun	Húsið hefur sterkan grunn.
founder	stofnandi	Stofnandinn tók á móti gestunum.
fraction	brot	Aðeins brot af nemendum mættu.
fragment	brot	Glerbrot lá á gólfinu.
framework	rammi	Lögin skapa skýran ramma.
fraud	svik	Bankinn uppgötvaði svik.
freely	frjálst	Börn léku sér frjálst úti.
frequent	tíður	Tíð hlé bæta einbeitingu.
fulfil	uppfylla	Ég vonast til að uppfylla loforð mitt.
full-time	í fullu starfi	Hún er í fullu starfi.
fundamentally	í grundvallaratriðum	Áætlunin er í grundvallaratriðum öðruvísi.
furious	öskureiður	Hann var ævareiður yfir seinkuninni.
gaming	leikjaspilun	Tölvuleikjaspilun getur bætt viðbragðsflýti.
gay	samkynhneigður	Hann styður réttindi samkynhneigðra.
gender	kyn	Könnunin spurði um kyn.
gene	gen	Genið hefur áhrif á augnlit.
genetic	erfðafræðilegur	Sjúkdómurinn hefur erfðafræðilegar orsakir.
genius	snillingur	Ungi píanóleikarinn er snillingur.
genuine	ekta	Bros hennar virtist ekta.
genuinely	einlæglega	Hann vildi í einlægni hjálpa.
gesture	látbragð	Hún gaf vinalega bendingu.
gig	gigg	Hljómsveitin spilaði á tónleikum í miðbænum.
globalization	hnattvæðing	Hnattvæðing hefur áhrif á staðbundin fyrirtæki.
globe	hnöttur	Hnötturinn sýnir allar heimsálfur.
golden	gullinn	Sólarlagið varð gullið.
goodness	gæska	Hún trúir á gæsku mannsins.
gorgeous	glæsilegur	Garðurinn leit glæsilega út.
governor	ríkisstjóri	Ríkisstjórinn skrifaði undir frumvarpið.
graphic	myndrænn	Grafíska myndin hneykslaði áhorfendur.
graphics	grafík	Leikurinn hefur einfalda grafík.
greatly	stórlega	Ráð þín hjálpuðu stórlega.
greenhouse	gróðurhús	Tómatar vaxa inni í gróðurhúsinu.
grocery	matvöruverslun	Hún keypti matvörur eftir vinnu.
guideline	viðmiðunarregla	Viðmiðið útskýrir örugga framkvæmd.
habitat	búsvæði	Skógurinn er búsvæði fugla.
harbour	höfn	Báturinn sigldi inn í höfnina.
headquarters	höfuðstöðvar	Höfuðstöðvar fyrirtækisins fluttu í miðbæinn.
