source_headword	UZ	example_UZ
undermine	putur yetkazmoq	Mojaro jamoatchilik ishonchiga putur yetkazdi.
undoubtedly	shubhasiz	U shubhasiz eng yaxshi nomzod.
unify	birlashtirmoq	Reja jamoalarni birlashtirishga qaratilgan.
unprecedented	mislsiz	Bo'ron mislsiz zarar keltirdi.
unveil	oshkor qilmoq	Kompaniya ertaga dizaynni oshkor qiladi.
upcoming	bo'lajak	Bo'lajak saylov jamoatchilik e'tiborini tortdi.
upgrade	yangilamoq	Biz kecha tunda dasturiy ta'minotni yangiladik.
uphold	qo'llab-quvvatlamoq	Biz asl qarorni qo'llab-quvvatlaymiz.
utility	kommunal	Kvartira barcha kommunal xarajatlarni o'z ichiga oladi.
utilize	foydalanmoq	Jamoa mavjud ma'lumotlardan foydalandi.
utterly	mutlaqo	Tushuntirish mutlaqo chalkash edi.
vacuum	bo'shliq	Rahbariyatdagi bo'shliq keskinlikni keltirib chiqardi.
vague	noaniq	Uning javobi noaniq va zaif edi.
validity	yaroqlilik	Tadqiqot testning yaroqliligini shubha ostiga oldi.
vanish	yo'qolmoq	Fayl jilddan g'oyib bo'ldi.
variable	o'zgaruvchi	Narx muhim o'zgaruvchilardan biridir.
varied	turli xil	Kurs turli xil topshiriqlarni taklif etadi.
vein	tomir	Hamshira tezda tomirni topdi.
venture	korxona	Yangi korxona sarmoyadorlarni jalb qildi.
verbal	og'zaki	Ular og'zaki kelishuvga erishdilar.
verdict	hukm	Hakamlar hay'ati o o'z hukmini chiqardi.
verify	tasdiqlamoq	Iltimos, elektron pochta manzilingizni tasdiqlang.
verse	misra	U she'rdan bir misra keltirdi.
versus	qarshi	Bahs maxfiylikka qarshi xavfsizlik haqida edi.
vessel	kema	Kema dengiz bo'ylab g'alla tashidi.
veteran	faxriy	Faxriy yangi xodimlarni o'qitdi.
viable	yashovchan	Taklif moliyaviy jihatdan yashovchan.
vibrant	jonli	Shaharda jonli san'at sahnasi mavjud.
vice	illat	Ochko'zlik uning eng katta illati edi.
vicious	shafqatsiz	Shafqatsiz hujum shaharni larzaga keltirdi.
villager	qishloq xalqi	Qishloq fuqarosi bizni daryoga boshlab bordi.
violate	buzmoq	Kompaniya xavfsizlik qoidalarini buzishi mumkin.
violation	qoidabuzarlik	Inspektor jiddiy qoidabuzarlik haqida xabar berdi.
virtue	fazilat	Sabr - muhim fazilatdir.
vocal	ovozli	U qaror haqida o'z fikrini ochiq aytdi.
vow	qasamyod qilmoq	U ishni tugatishga qasamyod qildi.
vulnerability	zaiflik	Audit xavfsizlik zaifligini aniqladi.
vulnerable	himoyasiz	Haddan tashqari issiqda bolalar himoyasizdir.
ward	palata	Bemor boshqa palataga o'tdi.
warehouse	ombor	Omborda ehtiyot qismlar saqlanadi.
warfare	urush	Zamonaviy urush texnologiyaga tayanadi.
warrant	order	Politsiya tintuv orderini ko'rsatdi.
warrior	jangchi	Jangchi qishloqni himoya qildi.
weaken	zaiflashtirmoq	Jarohat uning tutqichini zaiflashtirdi.
weave	to'qimoq	U savat to'qishni o'rgandi.
weed	begona o't	Toshlar orasida begona o't o'sib chiqdi.
well	quduq	Qishloq qudug'i qurib qoldi.
well-being	farovonlik	Uyqu farovonlik uchun muhimdir.
whatsoever	umuman	U umuman qiziqish bildirmadi.
whereby	bu orqali	Qonun oilalar shikoyat qilishi mumkin bo'lgan tizimni yaratdi.
whilst	paytda	U dam olayotgan paytda u ishladi.
whip	qamchilamoq	Shamol bayroqlarni hilpiratishi mumkin.
wholly	butunlay	Qaror butunlay kutilmagan edi.
widen	kengaytirmoq	Shahar yo'lni kengaytirishni rejalashtirmoqda.
widow	beva	Beva ayol maktab yaqinida yashaydi.
width	kenglik	Eshikning kengligini o'lchang.
willingness	tayyorlik	Uning yordam berishga tayyorligi hammani hayratda qoldirdi.
wipe	artmoq	Ekranni mato bilan arting.
wit	zukkolik	Uning zukkoligi nutqni jonlantirdi.
withdrawal	qaytarib olish	Moliyalashtirishning qaytarib olinishi loyihani kechiktirdi.
workout	mashg'ulot	Mashg'ulot qirq daqiqa davom etdi.
worship	ibodat	Odamlar tongda ibodat qilish uchun yig'ilishdi.
worthwhile	arziydigan	Sayohat qilishga arziydigan edi.
worthy	munosib	Xayriya yordamga munosib.
yell	baqirmoq	Xodimlarga baqirmang.
yield	hosil	Bu mavsumda fermaning hosildorligi oshdi.
youngster	yosh yigit	Yosh yigit ko'p savollar berdi.
