source_headword	IT	example_IT
increase	aumentare; l'aumento	I prezzi aumentano in estate.
incredible	incredibile	La vista era incredibile.
independent	indipendente	Mia sorella è indipendente.
individual	l'individuo; individuale	Ogni individuo ha un numero.
industry	l'industria	L'industria locale sta crescendo.
informal	informale	Questa email è informale.
injury	la ferita; l'infortunio	Il suo infortunio non è grave.
insect	l'insetto	Un insetto è atterrato sulla tazza.
inside	dentro; all'interno	Aspetta dentro casa.
instead	invece	Bevi acqua invece.
instruction	l'istruzione; l'indicazione	Leggi attentamente ogni istruzione.
instructor	l'istruttore; l'istruttrice	L'istruttore ha spiegato l'esercizio.
instrument	lo strumento	Lei suona uno strumento.
intelligent	intelligente	È uno studente intelligente.
international	internazionale	Questo è un aeroporto internazionale.
introduction	l'introduzione; la presentazione	L'introduzione era breve.
invent	inventare	I bambini possono inventare nuovi giochi.
invention	l'invenzione	L'invenzione ha fatto risparmiare tempo.
invitation	l'invito	Ho ricevuto un invito.
invite	invitare	Invita anche il tuo amico.
involve	includere; coinvolgere	Il lavoro includerà viaggi.
item	l'articolo; l'oggetto	Scegli un articolo.
itself	se stesso; da solo	La macchina si spegne da sola.
jam	la marmellata	Metti la marmellata sul pane.
jazz	il jazz	Il jazz suona benissimo stasera.
jewellery	i gioielli	Lei tiene i gioielli in una scatola.
joke	la battuta; lo scherzo	Raccontami una battuta.
journalist	il giornalista; la giornalista	Il giornalista ha fatto domande.
jump	saltare; il salto	Salta oltre la linea.
kid	il bambino; la bambina	Il bambino sta ridendo.
kill	uccidere	Non uccidere l'insetto.
king	il re	Il re viveva in un palazzo.
knee	il ginocchio	Mi fa male il ginocchio.
knife	il coltello	Usa un coltello affilato.
knock	bussare; il colpo	Bussa prima di entrare.
knowledge	la conoscenza	La conoscenza cresce con la pratica.
lab	il laboratorio	Il laboratorio è chiuso.
lady	la signora; la dama	La signora ci ha sorriso.
lake	il lago	Il lago è calmo.
lamp	la lampada	Accendi la lampada.
laptop	il portatile; il laptop	Il mio portatile è nuovo.
last1 (taking time)	durare	Il film dura due ore.
laughter	la risata; il riso	Abbiamo sentito risate fuori.
law	la legge	La legge è cambiata ieri.
lawyer	l'avvocato; l'avvocata	L'avvocato mi ha chiamato.
lazy	pigro	Non essere pigro.
lead1	guidare; condurre	I buoni leader guidano con l'esempio.
leader	il leader; la leader	Lei è la leader della squadra.
learning	l'apprendimento	L'apprendimento richiede tempo.
least	il meno; la minima quantità	Scegli l'opzione meno costosa.
lecture	la lezione; la conferenza	La lezione inizia alle dieci.
lemon	il limone	Aggiungi limone al tè.
lend	prestare	Puoi prestarmi cinque dollari?
less	meno	Mangia meno zucchero.
level	il livello	Questo livello è facile.
lifestyle	lo stile di vita	Lui ha uno stile di vita sano.
lift	sollevare; l'ascensore	Solleva la scatola con cura.
light	accendere	Accendi la candela con cura.
light (not heavy)	leggero	Questa borsa è leggera.
likely	probabile	È probabile che piova domani.
link	il link; il collegamento	Mandami il link.
listener	l'ascoltatore; l'ascoltatrice	Sii un buon ascoltatore.
lock	chiudere a chiave; la serratura	Chiudi la porta a chiave.
lorry	il camion	Il camion trasportava scatole.
lost	perso	Ci siamo persi.
loud	forte; rumoroso	La musica è forte.
loudly	ad alta voce; forte	Per favore, non parlare ad alta voce.
lovely	bello; incantevole	Che bel giardino!
low	basso	La sedia è bassa.
luck	la fortuna	Buona fortuna per il test.
lucky	fortunato	Oggi sei fortunato.
mail	la posta	Ho ricevuto la posta stamattina.
major	importante; principale	Questo è un problema importante.
male	maschio; maschile	L'uccello maschio è colorato.
manage	gestire; riuscire	Puoi gestire questo compito?
manager	il manager; la manager	Il manager è occupato.
manner	il modo; la maniera	Parla in modo educato.
mark	segnare; il voto	Segna chiaramente la risposta.
marry	sposare; sposarsi	Si sposeranno a giugno.
material	il materiale	Questo materiale è morbido.
mathematics	la matematica	La matematica è la mia materia preferita.
maths	la matematica	La matematica è difficile per me.
matter	importare; la questione	Non importa.
may modal	potere; può darsi	Puoi andare ora.
media	i media	I media hanno raccontato la storia.
medical	medico	Lei ha bisogno di aiuto medico.
medicine	la medicina; il medicinale	Prendi questo medicinale dopo pranzo.
memory	la memoria	Ho una buona memoria.
mention	menzionare	Non menzionare il mio nome.
metal	il metallo	Il cancello è fatto di metallo.
method	il metodo	Questo metodo funziona bene.
middle	il centro; la metà	Stai al centro.
might modal	potrebbe; può darsi	Potrebbe piovere più tardi.
mind	la mente; l'opinione	Ho cambiato opinione.
mine (belongs to me)	mio; mia	Questo libro è mio.
mirror	lo specchio	Guardati allo specchio.
missing	mancante; perso	Le mie chiavi sono scomparse.
mobile	il cellulare	Il mio cellulare è sul tavolo.
monkey	la scimmia	La scimmia è salita sull'albero.
moon	la luna	La luna è luminosa.
mostly	per lo più; principalmente	La classe è per lo più tranquilla.
motorcycle	la moto; la motocicletta	Lui va in moto.
movement	il movimento	Ho visto un movimento tra gli alberi.
musical	musicale; il musical	Questo è un film musicale.
musician	il musicista; la musicista	Il musicista suonava la chitarra.
myself	me stesso; da solo	L'ho fatto da solo.
narrow	stretto	La strada è stretta.
national	nazionale	È una festa nazionale.
nature	la natura	Amo la natura.
nearly	quasi	Siamo quasi arrivati.
necessary	necessario	È necessario?
neck	il collo	Mi fa male il collo.
neither	nessuno dei due	Nessuna risposta è corretta.
nervous	nervoso	Lei è nervosa.
network	la rete	La rete non funziona.
noise	il rumore	Ho sentito un forte rumore.
noisy	rumoroso	La strada è rumorosa.
none	nessuno; niente	Nessuno di loro è venuto.
normal	normale	Questo è normale.
normally	normalmente	Normalmente mi sveglio presto.
notice	notare; l'avviso	Hai notato il cartello?
novel	il romanzo	Lei ha scritto un romanzo.
nowhere	da nessuna parte; in nessun posto	Non c'è posto per sedersi qui.
nut	la noce	La noce è dura.
ocean	l'oceano	L'oceano è profondo.
offer	l'offerta; offrire	Ho accettato l'offerta.
officer	l'ufficiale; l'agente	L'agente ha controllato il mio biglietto.
oil	l'olio; il petrolio	Aggiungi olio alla padella.
onto	su; sopra	Mettilo sullo scaffale.
opportunity	l'opportunità; l'occasione	Questa è una buona opportunità.
option	l'opzione	Scegli l'opzione migliore.
ordinary	ordinario; comune	È stata una giornata comune.
organization	l'organizzazione	L'organizzazione aiuta gli studenti.
organize	organizzare	Per favore, organizza i file.
original	originale	Conserva la ricevuta originale.
ourselves	noi stessi	Abbiamo cucinato la cena noi stessi.
oven	il forno	Il forno è caldo.
owner	il proprietario; la proprietaria	Il proprietario ha aperto il negozio.
pack	preparare; fare la valigia	Prepara la borsa ora.
pain	il dolore	Sento dolore alla schiena.
painter	il pittore; l'imbianchino	L'imbianchino ha finito la parete.
palace	il palazzo	Il palazzo è antico.
pants	i pantaloni	Questi pantaloni sono troppo lunghi.
parking	il parcheggio	Parcheggiare qui è difficile.
particular	particolare; specifico	Ho bisogno di un libro specifico.
pass	passare; superare	Passami il sale.
passenger	il passeggero; la passeggera	Ogni passeggero ha bisogno di un biglietto.
patient	paziente; il paziente	Sii paziente con i bambini.
pattern	il motivo; il modello	Questo motivo è semplice.
peace	la pace	Tutti vogliamo la pace.
penny	il penny; la monetina	Ho trovato una monetina.
per	per; a	I biglietti costano dieci dollari a persona.
per cent	la percentuale; per cento	Cinque per cento è poco.
perform	esibirsi; eseguire	La band si esibirà stasera.
perhaps	forse	Forse lei è a casa.
permission	il permesso	Chiedi il permesso prima.
personality	la personalità	Ha una personalità amichevole.
pet	l'animale domestico	Il mio animale domestico è un gatto.
petrol	la benzina	L'auto ha bisogno di benzina.
physical	fisico	L'esercizio fisico aiuta la salute.
physics	la fisica	La fisica è difficile.
pick	scegliere; raccogliere	Scegli una carta.
pilot	il pilota; la pilota	Il pilota ha parlato chiaramente.
planet	il pianeta	La Terra è un pianeta.
plastic	la plastica; di plastica	Questa bottiglia è di plastica.
plate	il piatto	Metti il cibo sul piatto.
platform	la piattaforma; il binario	Aspetta al binario due.
pleased	contento; lieto	Sono lieto di conoscerti.
pocket	la tasca	Il biglietto è nella mia tasca.
polite	educato; cortese	Sii educato con tutti.
pollution	l'inquinamento	L'inquinamento danneggia l'oceano.
pop	il pop; popolare	Mi piace la musica pop.
population	la popolazione	La popolazione sta crescendo.
position	la posizione	Cambia la tua posizione.
possession	il possesso	Questo anello è un mio possesso.
possibility	la possibilità	C'è possibilità di pioggia.
poster	il poster; il manifesto	Metti il poster sul muro.
power	l'energia; il potere	Il computer ha bisogno di energia.
predict	prevedere	Non possiamo prevedere il tempo.
president	il presidente; la presidente	Il presidente ha fatto un discorso.
prevent	prevenire	Lavati le mani per prevenire la malattia.
print	stampare; la stampa	Stampa il documento.
printer	la stampante	La stampante è rotta.
prison	la prigione; il carcere	È finito in prigione.
prize	il premio	Ha vinto un premio.
process	il processo; elaborare	Il processo richiede tempo.
produce	produrre	Le fattorie producono cibo.
professional	professionale; il professionista	Lei è una ballerina professionista.
professor	il professore; la professoressa	Il professore ha risposto alle domande.
profile	il profilo	Aggiorna il tuo profilo.
program	il programma	Il programma inizia ora.
progress	il progresso	Abbiamo fatto progressi oggi.
promise	promettere; la promessa	Mantieni la tua promessa.
pronounce	pronunciare	Per favore, pronuncia questa parola.
protect	proteggere	Proteggi i tuoi occhi.
provide	fornire	Loro forniscono acqua gratis.
pub	il pub; il bar	Ci siamo incontrati al pub.
public	pubblico	Il parco è pubblico.
publish	pubblicare	Loro pubblicano una rivista.
pull	tirare	Tira la porta.
purpose	lo scopo; il fine	Qual è lo scopo?
push	spingere; premere	Premi il pulsante.
quality	la qualità	La qualità è alta.
quantity	la quantità	Controlla la quantità.
queen	la regina	La regina ha salutato con la mano.
quietly	piano; in silenzio	Parla piano.
race (competition)	la gara; la corsa	La gara inizia presto.
railway	la ferrovia	La ferrovia è chiusa.
raise	alzare; aumentare	Alza la mano.
rate	la tariffa; il tasso	La tariffa dell'hotel è alta.
rather	piuttosto; abbastanza	Sono piuttosto stanco.
reach	raggiungere	Riesci a raggiungere lo scaffale?
react	reagire	Come ha reagito?
realize	rendersi conto	Mi rendo conto del mio errore.
receive	ricevere	Hai ricevuto il mio messaggio?
recent	recente	Questa è una foto recente.
recently	recentemente	Mi sono trasferito qui recentemente.
reception	la reception; il ricevimento	La reception è lunedì.
recipe	la ricetta	Questa ricetta è facile.
recognize	riconoscere	Riconosco quella canzone.
recommend	consigliare	Consiglio questo libro.
record	il registro; registrare	Tieni un registro dei pagamenti.
recording	la registrazione	La registrazione suona chiara.
recycle	riciclare	Ricicla carta e plastica.
reduce	ridurre	Abbassa il fuoco.
refer	riferirsi; consultare	Consulta la pagina due.
refuse1	rifiutare	Mi rifiuto di mentire.
region	la regione	Questa regione è fredda.
regular	regolare; abituale	È un cliente abituale.
relationship	la relazione	Il loro rapporto è forte.
remove	togliere; rimuovere	Togliti le scarpe.
repair	riparare; la riparazione	Ripara la bicicletta oggi.
replace	sostituire	Sostituisci la vecchia batteria.
reply	rispondere; la risposta	Per favore, rispondi presto.
reporter	il reporter; la reporter	Il reporter ha preso appunti.
request	la richiesta; richiedere	Ho fatto una richiesta.
research	la ricerca; fare ricerche	Facciamo ricerche sulla storia locale.
researcher	il ricercatore; la ricercatrice	Il ricercatore ha controllato i dati.
respond	rispondere	Per favore, rispondi oggi.
response	la risposta	La sua risposta è stata rapida.
rest (remaining part)	il resto	Mangia il resto più tardi.
rest (sleep/relax)	riposare; il riposo	Hai bisogno di riposare.
review	rivedere; la recensione	Rivedi i tuoi appunti stasera.
ring1	l'anello	Lei indossava un anello d'oro.
ring2	chiamare; suonare	Chiamami dopo pranzo.
rise	salire; aumentare	I prezzi salgono ogni anno.
rock (stone)	la pietra; la roccia	La pietra è pesante.
