simplified	BN	example_BN
颁布	জারি করা	নতুন নিয়ম আগামী সপ্তাহে জারি হবে।
颁发	প্রদান করা	স্কুল মেধাবী ছাত্রদের সনদ প্রদান করল।
版本	সংস্করণ	এই সফটওয়্যারের নতুন সংস্করণ আছে।
伴侣	সঙ্গী	সে কুকুরটিকে নিজের সঙ্গী মনে করে।
伴随	সঙ্গে থাকা	সাফল্যের সঙ্গে প্রায়ই চাপ থাকে।
半途而废	মাঝপথে ছেড়ে দেওয়া	গবেষণা মাঝপথে ছেড়ে দেওয়া যায় না।
扮演	ভূমিকা পালন করা	সে চলচ্চিত্রে ডাক্তারের ভূমিকা পালন করে।
榜样	আদর্শ	মা-বাবা সন্তানের আদর্শ।
绑架	অপহরণ	পুলিশ একটি অপহরণ ঠেকিয়েছে।
磅	পাউন্ড	এই বাক্সের ওজন কুড়ি পাউন্ড।
包庇	আড়াল করে রক্ষা করা	কেউ অপরাধকে আড়াল করে রক্ষা করতে পারে না।
包袱	বোঝা	সে বোঝা নামিয়ে অনেক হালকা বোধ করল।
包围	ঘিরে ফেলা	সাংবাদিকেরা অভিনেতাকে ঘিরে ফেলল।
包装	মোড়ক	এই উপহারের মোড়ক খুব সুন্দর।
保管	রক্ষণাবেক্ষণ করা	এই নথিগুলোর রক্ষণাবেক্ষণ আমার দায়িত্বে।
保密	গোপন রাখা	বৈঠকের বিষয়বস্তু গোপন রাখতে হবে।
保姆	গৃহপরিচারিকা	তারা একজন গৃহপরিচারিকা নিয়েছে।
保守	রক্ষণশীল	তার ভাবনা তুলনামূলক রক্ষণশীল।
保卫	রক্ষা করা	সৈন্যরা সীমান্ত রক্ষা করে।
保养	রক্ষণাবেক্ষণ করা	এই গাড়ির নিয়মিত রক্ষণাবেক্ষণ দরকার।
保障	সুরক্ষা দেওয়া	আইন নাগরিক অধিকারের সুরক্ষা দেয়।
保重	নিজের যত্ন নেওয়া	বাইরে থাকলে নিজের বেশি যত্ন নিও।
饱和	পরিপূর্ণতা	এই বাজার প্রায় পরিপূর্ণতার কাছাকাছি।
饱经沧桑	অনেক ঝড়ঝাপটা দেখা	এই বৃদ্ধ অনেক ঝড়ঝাপটা দেখেছেন।
报酬	পারিশ্রমিক	সে যুক্তিসঙ্গত পারিশ্রমিক পেয়েছে।
报仇	প্রতিশোধ নেওয়া	সে প্রতিশোধ নিতে চায় না, শুধু নতুন করে শুরু করতে চায়।
报答	প্রতিদান দেওয়া	আমি কাজ দিয়ে তোমার সাহায্যের প্রতিদান দেব।
报复	প্রতিশোধমূলক আচরণ	প্রতিশোধমূলক আচরণ শুধু বিরোধ বাড়ায়।
报警	পুলিশে খবর দেওয়া	আগুন দেখলে সঙ্গে সঙ্গে পুলিশে খবর দিতে হবে।
报销	খরচ ফেরত পাওয়া	ভ্রমণ খরচ ফেরত পাওয়া যায়।
抱负	উচ্চাকাঙ্ক্ষা	ছোটবেলা থেকেই তার বড় উচ্চাকাঙ্ক্ষা ছিল।
暴力	সহিংসতা	আমরা যেকোনো ধরনের সহিংসতার বিরোধিতা করি।
暴露	প্রকাশ পেতে থাকা	সমস্যাটি ধীরে ধীরে প্রকাশ পেতে লাগল।
曝光	প্রকাশ্যে আসা	ছবিটি প্রকাশ্যে আসার পর মনোযোগ আকর্ষণ করল।
爆发	হঠাৎ বিস্ফোরিত হওয়া	আগ্নেয়গিরি হঠাৎ বিস্ফোরিত হলো।
爆炸	বিস্ফোরণ	ল্যাবরেটরিতে বিস্ফোরণ ঘটেছে।
卑鄙	নীচ	এ ধরনের নীচ পদ্ধতি মানুষকে ক্ষুব্ধ করে।
悲哀	বিষাদ	খবরটি শুনে সে খুব বিষাদ অনুভব করল।
悲惨	করুণ	সেটি ছিল ইতিহাসের এক করুণ সময়।
北极	উত্তর মেরু	বিজ্ঞানীরা উত্তর মেরুতে গবেষণা করছেন।
备份	ব্যাকআপ	দয়া করে আগে গুরুত্বপূর্ণ ফাইলের ব্যাকআপ নিন।
备忘录	স্মারক নোট	সে স্মারক নোটে গুরুত্বপূর্ণ বিষয় লিখল।
背叛	বিশ্বাসঘাতকতা	বন্ধুর বিশ্বাসঘাতকতা সে মেনে নিতে পারল না।
背诵	মুখস্থ বলা	ছাত্ররা পাঠ মুখস্থ বলছে।
被动	নিষ্ক্রিয়	আলোচনায় আমাদের খুব নিষ্ক্রিয় থাকা চলবে না।
被告	বিবাদী	বিবাদী সব অভিযোগ অস্বীকার করেছে।
贝壳	ঝিনুকের খোল	শিশুটি সমুদ্রতীরে ঝিনুকের খোল কুড়াল।
奔波	এদিক-ওদিক ছুটে বেড়ানো	কাজের জন্য সে এদিক-ওদিক ছুটে বেড়ায়।
奔驰	দ্রুত ছুটে চলা	গাড়ি মহাসড়কে দ্রুত ছুটে চলছিল।
本能	সহজাত প্রবৃত্তি	সন্তানকে রক্ষা করা মা-বাবার সহজাত প্রবৃত্তি।
本钱	মূলধন	ব্যবসা করতে মূলধন দরকার।
本人	স্বয়ং ব্যক্তি	স্বয়ং আমি দায়িত্ব নিতে রাজি।
本身	নিজে	পরিকল্পনাটি নিজে কোনো সমস্যা নয়।
本事	দক্ষতা	সে খুব দক্ষ।
笨拙	অদক্ষ	তার নড়াচড়া কিছুটা অদক্ষ।
崩溃	ভেঙে পড়া	ব্যবস্থা হঠাৎ ভেঙে পড়ল।
甭	প্রয়োজন নেই	এই ব্যাপারে তোমার চিন্তা করার প্রয়োজন নেই।
蹦	লাফানো	ছোট কুকুরটি ঘাসে এদিক-ওদিক লাফাচ্ছিল।
迸发	হঠাৎ বেরিয়ে আসা	ভিড়ের মধ্যে থেকে করতালি হঠাৎ বেরিয়ে এল।
逼迫	জোর করা	তারা তাকে চুক্তিতে স্বাক্ষর করতে জোর করল।
鼻涕	নাকের সর্দি	শিশুটির সর্দি হয়েছে, নাক দিয়ে সর্দি পড়ছে।
比方	উদাহরণ হিসেবে	উদাহরণ হিসেবে আমরা আগে এক মাস চেষ্টা করতে পারি।
比喻	উপমা	এই উপমাটি খুব জীবন্ত।
比重	অনুপাত	সেবা খাতের অনুপাত ক্রমেই বাড়ছে।
鄙视	অবজ্ঞা করা	অন্যের পরিশ্রমকে অবজ্ঞা করো না।
弊病	ত্রুটি	এই ব্যবস্থায় অনেক ত্রুটি আছে।
弊端	অসুবিধা	নতুন পরিকল্পনা পুরোনো ব্যবস্থার অসুবিধা দূর করেছে।
臂	বাহু	তার ডান বাহু আহত হয়েছে।
闭塞	বিচ্ছিন্ন	এই পাহাড়ি গ্রাম আগে যোগাযোগে খুব বিচ্ছিন্ন ছিল।
编织	বোনা	দিদিমা একটি সোয়েটার বুনছেন।
边疆	সীমান্তাঞ্চল	অনেক সৈনিক মাতৃভূমির সীমান্তাঞ্চল রক্ষা করছে।
边界	সীমানা	দুই দেশ আবার সীমানা নির্ধারণ করেছে।
边境	সীমান্ত এলাকা	সীমান্ত এলাকায় নিরাপত্তা পরীক্ষা জোরদার হয়েছে।
边缘	প্রান্ত	কাপটি টেবিলের প্রান্তে রাখা আছে।
鞭策	উদ্দীপিত করা	শিক্ষকের কথা সব সময় আমাকে উদ্দীপিত করে।
扁	চ্যাপ্টা	এই বাক্সটি চওড়া এবং চ্যাপ্টা।
贬低	খাটো করা	অন্যের পরিশ্রম ইচ্ছে মতো খাটো করো না।
贬义	নেতিবাচক অর্থ	এই শব্দটির এখানে নেতিবাচক অর্থ আছে।
便利	সুবিধাজনক	মেট্রো যাতায়াতকে আরও সুবিধাজনক করেছে।
便条	ছোট নোট	সে টেবিলে একটি ছোট নোট রেখে গেছে।
便于	সহজ করে	এই নকশা বয়স্কদের ব্যবহার সহজ করে।
变故	অপ্রত্যাশিত ঘটনা	বাড়িতে হঠাৎ অপ্রত্যাশিত ঘটনা ঘটল।
变迁	পরিবর্তনের ধারা	শহরের পরিবর্তনের ধারা তাকে অনেক ভাবিয়েছে।
变质	নষ্ট হয়ে যাওয়া	দুধ বেশি দিন রাখলে নষ্ট হয়ে যায়।
辨认	চিনে নেওয়া	পুলিশ তাকে ছবির মানুষটি চিনে নিতে বলল।
辩护	পক্ষে সওয়াল করা	আইনজীবী বিবাদীর পক্ষে সওয়াল করলেন।
辩解	সাফাই দেওয়া	সে নিজের ভুলের জন্য সাফাই দিতে চাইল।
辩证	দ্বান্দ্বিক	আমাদের এই সমস্যাকে দ্বান্দ্বিকভাবে দেখতে হবে।
辫子	বেণী	ছোট মেয়েটির দুইটি বেণী বাঁধা আছে।
遍布	সর্বত্র ছড়িয়ে থাকা	এই উদ্ভিদ সারা দেশে ছড়িয়ে আছে।
标本	নমুনা	জাদুঘরে প্রাণীর নমুনা প্রদর্শিত হয়েছে।
标记	চিহ্ন	গুরুত্বপূর্ণ অনুচ্ছেদের পাশে চিহ্ন দাও।
标题	শিরোনাম	এই প্রবন্ধের শিরোনাম খুব আকর্ষণীয়।
表决	ভোটাভুটি	প্রতিনিধিরা প্রস্তাবের ওপর ভোটাভুটি করবেন।
表态	অবস্থান জানানো	সে এখনও প্রকাশ্যে অবস্থান জানায়নি।
表彰	সম্মাননা দেওয়া	কোম্পানি সেরা কর্মীদের সম্মাননা দিয়েছে।
憋	চেপে রাখা	সে হাসি চেপে রেখে কিছু বলল না।
别墅	ভিলা	তারা শহরতলিতে একটি ভিলা কিনেছে।
别致	অনন্য রুচিসম্পন্ন	এই ক্যাফের সাজসজ্জা খুব অনন্য রুচিসম্পন্ন।
别扭	অস্বাভাবিক	এই বাক্যটি শুনতে কিছুটা অস্বাভাবিক লাগে।
濒临	প্রান্তে থাকা	এই প্রাণী বিলুপ্তির প্রান্তে আছে।
冰雹	শিলাবৃষ্টি	গতকাল বিকেলে বড় শিলাবৃষ্টি হয়েছে।
丙	তৃতীয় শ্রেণি	তৃতীয় শ্রেণির প্রতিযোগিতা বিকেলে শুরু হবে।
并非	আসলে নয়	বিষয়টি তুমি যেমন ভাবছ আসলে তেমন নয়।
并列	যৌথভাবে একই স্থানে	এই দুই প্রকল্প যৌথভাবে প্রথম স্থানে আছে।
剥削	শোষণ	পুরোনো সমাজে গুরুতর শোষণ ছিল।
拨	ডায়াল করা	দয়া করে এই ফোন নম্বরটি ডায়াল করুন।
播种	বীজ বপন	কৃষকেরা বসন্তে বীজ বপন শুরু করেন।
波浪	ঢেউ	সমুদ্রের ওপর বিশাল ঢেউ উঠল।
波涛	উত্তাল তরঙ্গ	নৌকাটি উত্তাল তরঙ্গের মধ্যে এগোল।
伯母	পিসিমা	আমি সপ্তাহান্তে পিসিমাকে দেখতে যাব।
博大精深	বিশাল ও গভীর	চীনা সংস্কৃতি বিশাল ও গভীর।
博览会	এক্সপো	আন্তর্জাতিক এক্সপো অনেক প্রতিষ্ঠানকে আকর্ষণ করেছে।
搏斗	লড়াই	পুলিশ ও দুষ্কৃতীর মধ্যে লড়াই শুরু হলো।
薄弱	দুর্বল	তার ব্যাকরণের ভিত্তি তুলনামূলক দুর্বল।
不顾	তোয়াক্কা না করা	সে বিপদের তোয়াক্কা না করে ভেতরে ছুটে গেল।
不愧	সত্যিই যোগ্য	সে সত্যিই অভিজ্ঞ বিশেষজ্ঞের যোগ্য।
不料	অপ্রত্যাশিতভাবে	অপ্রত্যাশিতভাবে বৈঠক হঠাৎ বাতিল হলো।
不像话	একেবারেই অনুচিত	তুমি অতিথির সঙ্গে এভাবে আচরণ করা একেবারেই অনুচিত।
不屑一顾	তুচ্ছ জ্ঞান করা	সে এসব গুজবকে তুচ্ছ জ্ঞান করে।
哺乳	দুধ খাওয়ানো	মা শিশুকে দুধ খাওয়াচ্ছেন।
捕捉	ধরা	ফটোগ্রাফার চমৎকার মুহূর্তটি ধরেছেন।
补偿	ক্ষতিপূরণ দেওয়া	কোম্পানি তোমার ক্ষতির ক্ষতিপূরণ দেবে।
补救	উদ্ধারমূলক ব্যবস্থা নেওয়া	আমাদের এখনও উদ্ধারমূলক ব্যবস্থা নেওয়ার সময় আছে।
补贴	ভর্তুকি	সরকার নিম্ন আয়ের পরিবারকে ভর্তুকি দেয়।
不得已	নিরুপায় হয়ে	সে নিরুপায় হয়ে জন্মস্থান ছেড়েছিল।
不妨	করতে ক্ষতি নেই	তুমি আগে তার ব্যাখ্যা শুনে নিতে পারো, ক্ষতি নেই।
不敢当	যোগ্য নই	আপনি আমাকে এভাবে প্রশংসা করছেন, আমি সত্যিই যোগ্য নই।
不禁	নিজেকে আটকাতে না পারা	খবর শুনে সে নিজেকে আটকাতে না পেরে হাসল।
不堪	সহ্য করতে না পারা	এখানকার শব্দ মানুষকে সহ্য করতে দেয় না।
不可思议	অবিশ্বাস্য	এই ফলাফল সত্যিই অবিশ্বাস্য।
不免	এড়ানো কঠিন	প্রথমবার মঞ্চে উঠে তার কিছুটা নার্ভাস হওয়া এড়ানো কঠিন।
不时	মাঝে মাঝে	সে মাঝে মাঝে মাথা তুলে ঘড়ি দেখে।
不惜	কিছুর পরোয়া না করা	মানুষ বাঁচাতে সে ঝুঁকির পরোয়া করেনি।
不相上下	প্রায় সমান	দুই দলের শক্তি প্রায় সমান।
不言而喻	বলা বাহুল্য	সততার গুরুত্ব বলা বাহুল্য।
不由得	অজান্তেই	পুরোনো ছবি দেখে অজান্তেই শৈশব মনে পড়ল।
不择手段	যেকোনো উপায়ে	সে টাকা কামাতে যেকোনো উপায় নিতে পারে।
不止	এর বেশি	বৈঠকে অংশ নেওয়া লোক একশোর বেশি।
布告	ঘোষণা	স্কুলের গেটে একটি ঘোষণা লাগানো হয়েছে।
布局	বিন্যাস	এই ফ্ল্যাটের বিন্যাস খুব যুক্তিসঙ্গত।
布置	নির্ধারণ করা	শিক্ষক নতুন বাড়ির কাজ নির্ধারণ করলেন।
步伐	পদক্ষেপ	দলটি সুশৃঙ্খল পদক্ষেপে এগোল।
部署	মোতায়েন করা	কোম্পানি নতুন বিক্রয় পরিকল্পনা মোতায়েন করছে।
部位	অংশ	ডাক্তার আহত অংশ পরীক্ষা করেছেন।
才干	প্রতিভা	ব্যবস্থাপনায় তার যথেষ্ট প্রতিভা আছে।
裁缝	দর্জি	এই দর্জির হাতের কাজ খুব ভালো।
裁判	রেফারি	রেফারি খেলা স্থগিত ঘোষণা করলেন।
裁员	কর্মী ছাঁটাই	লোকসানের কারণে কোম্পানি কর্মী ছাঁটাই করার সিদ্ধান্ত নিয়েছে।
财富	সম্পদ	জ্ঞানও এক ধরনের সম্পদ।
财务	হিসাব বিভাগ	হিসাব বিভাগ হিসাবপত্র মিলিয়ে দেখছে।
财政	সরকারি অর্থনীতি	এই বছর সরকারি অর্থনৈতিক আয় কিছুটা বেড়েছে।
彩票	লটারি	সে মাঝে মাঝে একটি লটারি টিকিট কেনে।
采购	ক্রয় করা	কোম্পানি সরঞ্জাম ক্রয়ের জন্য লোক পাঠিয়েছে।
采集	সংগ্রহ করা	গবেষকেরা বনে নমুনা সংগ্রহ করছেন।
采纳	গ্রহণ করা	নেতৃত্ব আমাদের প্রস্তাব গ্রহণ করেছে।
参谋	পরামর্শদাতা	সে প্রায়ই ম্যানেজারের পরামর্শদাতা হয়।
参照	অনুসরণ করা	দয়া করে এই বিন্যাস অনুসরণ করে ফর্ম পূরণ করুন।
残疾	প্রতিবন্ধিতা	এই স্টেশন প্রতিবন্ধী যাত্রীদের সাহায্য দেয়।
残酷	নিষ্ঠুর	যুদ্ধ অত্যন্ত নিষ্ঠুর।
残留	অবশিষ্ট থাকা	কাপে এখনও কফির গন্ধ অবশিষ্ট আছে।
残忍	নির্দয়	প্রাণী নির্যাতন নির্দয় আচরণ।
灿烂	উজ্জ্বল	সে উজ্জ্বল হাসি দিল।
仓促	তাড়াহুড়ো	এই সিদ্ধান্তটি খুব তাড়াহুড়ো করে নেওয়া হয়েছে।
仓库	গুদাম	পণ্য গুদামে পৌঁছে গেছে।
舱	ক্যাবিন	যাত্রীরা বিমানের ক্যাবিনে ঢুকছেন।
苍白	ফ্যাকাশে	তার মুখের রং ফ্যাকাশে দেখাচ্ছে।
操劳	পরিশ্রমে ব্যস্ত থাকা	মা বহু বছর ধরে এই পরিবারের জন্য পরিশ্রমে ব্যস্ত ছিলেন।
操练	অনুশীলন করা	সৈন্যরা প্রতিদিন সকালে অনুশীলন করে।
操纵	নিয়ন্ত্রণ করা	এই মেশিনটি কম্পিউটার দ্বারা নিয়ন্ত্রিত হয়।
操作	চালানো	দয়া করে নির্দেশনা অনুযায়ী যন্ত্র চালান।
嘈杂	কোলাহলপূর্ণ	স্টেশনের ভেতর খুব কোলাহলপূর্ণ।
草案	খসড়া	কমিটি খসড়া নিয়ে আলোচনা করছে।
草率	হঠকারী	এত গুরুত্বপূর্ণ সিদ্ধান্ত হঠকারীভাবে নেওয়া যায় না।
侧面	পাশ	পাশ থেকে দেখলে ভবনটি আরও উঁচু লাগে।
测量	মাপা	প্রকৌশলী সেতুর দৈর্ঘ্য মাপছেন।
策划	পরিকল্পনা করা	তারা একটি বড় অনুষ্ঠান পরিকল্পনা করেছে।
策略	কৌশল	এই কৌশল কোম্পানিকে খরচ কমাতে সাহায্য করেছে।
层出不穷	একটার পর একটা আসা	নতুন সমস্যা একটার পর একটা আসছে।
层次	স্তরবিন্যাস	এই প্রবন্ধের স্তরবিন্যাস খুব পরিষ্কার।
差别	পার্থক্য	দুই পদ্ধতির পার্থক্য বড় নয়।
插座	সকেট	এই ঘরে সকেট যথেষ্ট নয়।
查获	জব্দ করা	কাস্টমস একদল নকল পণ্য জব্দ করেছে।
刹那	এক মুহূর্ত	এক মুহূর্তে সব বাতি নিভে গেল।
岔	আলাদা পথে যাওয়া	গাড়িগুলো সামনে মোড়ে আলাদা পথে চলে গেল।
诧异	আশ্চর্য	তার সিদ্ধান্ত সবাইকে খুব আশ্চর্য করল।
柴油	ডিজেল	এই ট্রাক ডিজেল ব্যবহার করে।
搀	ধরে সহায়তা করা	নার্স বৃদ্ধকে ধরে ওয়ার্ডে নিয়ে গেল।
缠绕	পেঁচিয়ে থাকা	লতা গাছের ডালে পেঁচিয়ে আছে।
馋	লোভ হওয়া	কেক দেখে শিশুটির একটু লোভ হলো।
产业	শিল্পখাত	পর্যটন এখানে গুরুত্বপূর্ণ শিল্পখাত।
阐述	ব্যাখ্যা করা	অধ্যাপক নিজের মতামত বিস্তারিত ব্যাখ্যা করলেন।
颤抖	কাঁপা	সে ঠান্ডায় সারা শরীর কাঁপছিল।
昌盛	সমৃদ্ধ	আমরা দেশের সমৃদ্ধি কামনা করি।
偿还	শোধ করা	সে সময়মতো ঋণ শোধ করেছে।
尝试	চেষ্টা করা	আমরা নতুন পদ্ধতি চেষ্টা করতে পারি।
场合	পরিস্থিতি	এ ধরনের পরিস্থিতিতে রসিকতা করা ঠিক নয়।
场面	দৃশ্য	বিয়ের দৃশ্য খুব প্রাণবন্ত ছিল।
场所	স্থান	এটি জনসাধারণের স্থান, ধূমপান করবেন না।
敞开	খোলা রাখা	দয়া করে জানালা কিছুক্ষণ খোলা রাখুন।
倡导	প্রচলন করতে বলা	স্কুল স্বাস্থ্যকর জীবনযাপন প্রচলন করতে বলছে।
倡议	উদ্যোগ	এই পরিবেশ উদ্যোগ সমর্থন পেয়েছে।
畅通	নির্বিঘ্ন	বৃষ্টি থামার পর রাস্তা আবার নির্বিঘ্ন হলো।
畅销	বেস্টসেলার হওয়া	এই উপন্যাসটি খুব বেস্টসেলার হয়েছে।
超越	অতিক্রম করা	সে অবশেষে নিজের রেকর্ড অতিক্রম করেছে।
钞票	নোট	মানিব্যাগে কয়েকটি নোটই বাকি আছে।
嘲笑	উপহাস করা	অন্যের দুর্বলতা নিয়ে উপহাস করো না।
巢穴	বাসা	শিকারি পশুর বাসা খুঁজে পেল।
朝代	রাজবংশ	থাং চীন ইতিহাসের একটি রাজবংশ।
潮流	প্রবণতা	তরুণেরা ফ্যাশন প্রবণতায় খুব মনোযোগী।
撤退	পিছু হটা	আদেশ পাওয়ার পর বাহিনী পিছু হটল।
撤销	বাতিল করা	আদালত আগের রায় বাতিল করেছে।
沉淀	তলিয়ে বসা	বালি ধীরে ধীরে তলিয়ে বসবে।
沉闷	ভারি ও গুমোট	আজ আবহাওয়া গরম এবং গুমোট।
沉思	গভীর চিন্তা	সে জানালার পাশে বসে গভীর চিন্তায় ছিল।
沉重	ভারী	এই খবর সবার মন ভারী করে দিল।
沉着	স্থির	বিপদে পড়লে স্থির থাকতে হবে।
陈旧	পুরোনো	এই মেশিনটি ইতিমধ্যে খুব পুরোনো।
陈列	সাজিয়ে প্রদর্শন করা	প্রদর্শনী হলে অনেক সাংস্কৃতিক নিদর্শন সাজিয়ে রাখা আছে।
陈述	বিবৃত করা	দয়া করে ঘটনা পরিষ্কারভাবে বিবৃত করুন।
称心如意	মনমতো	এই কাজটি তার খুব মনমতো হয়েছে।
衬托	উজ্জ্বল করে তোলা	সাদা দেয়াল ফুলের রং উজ্জ্বল করে তোলে।
称号	উপাধি	সে সেরা শিক্ষকের উপাধি পেয়েছে।
乘	চড়া	আমি প্রতিদিন মেট্রো চড়ে কাজে যাই।
呈现	প্রকাশ করা	আকাশ হালকা লাল রং প্রকাশ করল।
城堡	দুর্গ	পাহাড়ের চূড়ায় একটি পুরোনো দুর্গ আছে।
惩罚	শাস্তি দেওয়া	স্কুল নকল করা ছাত্রদের শাস্তি দেবে।
成本	খরচ	কাঁচামালের দাম বাড়ায় খরচ বেড়েছে।
成交	লেনদেন সম্পন্ন হওয়া	এই ব্যবসাটি অবশেষে সম্পন্ন হলো।
成天	সারাদিন	সে সারাদিন কম্পিউটারের সামনে বসে থাকে।
成效	ফল	নতুন ব্যবস্থাপনা পদ্ধতির ফল দ্রুত দেখা গেল।
成心	ইচ্ছে করে	সে ইচ্ছে করে তোমাকে অস্বস্তিতে ফেলেনি।
成员	সদস্য	প্রত্যেক সদস্যকে বৈঠকে অংশ নিতে হবে।
承办	আয়োজনের দায়িত্ব নেওয়া	এই কোম্পানি প্রদর্শনীর আয়োজনের দায়িত্ব নিয়েছে।
承包	চুক্তিতে কাজ নেওয়া	তারা এই প্রকল্পটি চুক্তিতে নিয়েছে।
承诺	প্রতিশ্রুতি দেওয়া	সে সময়মতো কাজ শেষ করার প্রতিশ্রুতি দিয়েছে।
橙	কমলা	আমি কয়েকটি তাজা কমলা কিনেছি।
澄清	স্পষ্ট করা	ম্যানেজার বেরিয়ে এসে ভুল বোঝাবুঝি স্পষ্ট করলেন।
盛	ঢেলে পরিবেশন করা	সে অতিথিকে এক বাটি স্যুপ ঢেলে দিল।
诚挚	আন্তরিক	দয়া করে আমার আন্তরিক ধন্যবাদ গ্রহণ করুন।
秤	ওজন মাপার দাঁড়িপাল্লা	এই দাঁড়িপাল্লা খুব সঠিক নয়।
吃苦	কষ্ট সহ্য করা	তরুণদের কষ্ট সহ্য করতে শেখা উচিত।
吃力	কষ্টকর	এই বাক্সটি সরানো খুব কষ্টকর।
持久	দীর্ঘস্থায়ী	সাফল্যের জন্য দীর্ঘস্থায়ী প্রচেষ্টা দরকার।
迟钝	ধীর প্রতিক্রিয়াশীল	ইদানীং তার প্রতিক্রিয়া কিছুটা ধীর।
迟缓	ধীর	বৃষ্টির পর যান চলাচল ধীর হয়ে গেল।
迟疑	দ্বিধা করা	সে একটু দ্বিধা করে তারপর উত্তর দিল।
赤道	নিরক্ষরেখা	নিরক্ষরেখার কাছে সারা বছরই গরম।
赤字	ঘাটতি	কোম্পানির এ বছর ঘাটতি হয়েছে।
充当	ভূমিকা নেওয়া	সে প্রকল্পে সমন্বয়কারীর ভূমিকা নিয়েছে।
充沛	প্রচুর	শিশুদের শক্তি খুব প্রচুর।
充实	সমৃদ্ধ	এই অভিজ্ঞতা আমার জীবনকে আরও সমৃদ্ধ করেছে।
充足	পর্যাপ্ত	ভ্রমণের আগে পর্যাপ্ত পানি প্রস্তুত করতে হবে।
冲动	হঠকারী আবেগ	এক মুহূর্তের হঠকারী আবেগে সিদ্ধান্ত নিও না।
冲击	আঘাত করা	নতুন প্রযুক্তি ঐতিহ্যবাহী শিল্পে আঘাত করেছে।
冲突	সংঘর্ষ	দুই পক্ষ সংঘর্ষ এড়াতে চেষ্টা করছে।
崇拜	শ্রদ্ধাভরে অনুসরণ করা	অনেক তরুণ এই বিজ্ঞানীকে শ্রদ্ধাভরে অনুসরণ করে।
崇高	মহৎ	ডাক্তারের দায়িত্ব মহৎ।
崇敬	গভীর শ্রদ্ধা করা	ছাত্ররা এই শিক্ষককে গভীর শ্রদ্ধা করে।
重叠	ওভারল্যাপ করা	এই দুই কাজের কিছু অংশ ওভারল্যাপ করে।
