source_headword	PT-BR	example_PT-BR
drunk	bêbado	O motorista estava bêbado.
due	a entregar	O relatório é para entregar amanhã.
dust	o pó	O pó cobria os livros antigos.
duty	o dever	É meu dever ajudar.
earthquake	o terramoto	O terramoto danificou a ponte.
eastern	oriental	A costa oriental é ventosa.
economic	económico	O país enfrenta problemas económicos.
economy	a economia	A economia cresceu este ano.
edge	a beira	Afasta-te da beira.
editor	o editor	O editor verificou o artigo.
educate	educar	As escolas educam os jovens.
educated	instruído	Ela é muito instruída.
educational	educativo	O jogo é educativo.
effective	eficaz	Este medicamento é eficaz.
effectively	eficazmente	Ela explicou a regra eficazmente.
effort	o esforço	Seu esforço fez diferença.
election	a eleição	O resultado da eleição foi renhido.
element	o elemento	A confiança é um elemento importante.
embarrassed	envergonhado	Ele ficou envergonhado depois de cair.
embarrassing	embaraçoso	Aquilo foi um erro embaraçoso.
emergency	a emergência	Liga para este número numa emergência.
emotion	a emoção	O medo é uma emoção forte.
employment	o emprego	O emprego aumentou este mês.
encourage	encorajar	Os professores encorajam os alunos a ler.
enemy	o inimigo	Os dois países eram inimigos.
engaged	noivo	Eles ficaram noivos na primavera passada.
engineering	a engenharia	Ela estuda engenharia na universidade.
entertain	entreter	O cantor vai entreter os convidados.
entertainment	o entretenimento	A cidade oferece entretenimento à noite.
entrance	a entrada	Encontra-me à entrada.
entry	a entrada	A entrada é gratuita para crianças.
environmental	ambiental	Discutimos problemas ambientais.
episode	o episódio	O episódio final foi emocionante.
equal	igual	Eles recebem salário igual.
equally	igualmente	O trabalho é partilhado igualmente.
escape	fugir	Os prisioneiros tentaram fugir.
essential	essencial	A água é essencial para a vida.
eventually	finalmente	Finalmente, encontramos o hotel.
examine	examinar	O médico examinou o meu braço.
exchange	a troca	Fizemos uma troca na loja.
excitement	a excitação	O jogo estava cheio de excitação.
exhibition	a exposição	A exposição de arte abre amanhã.
expand	expandir	A empresa planeia expandir.
expected	esperado	O custo esperado é alto.
expedition	a expedição	A expedição atravessou o deserto.
experienced	experiente	Ela é uma enfermeira experiente.
explode	explodir	A garrafa pode explodir com calor.
explore	explorar	Exploramos a cidade antiga.
explosion	a explosão	A explosão partiu várias janelas.
export	a exportação	O café é uma exportação importante.
fairly	bastante	O teste foi bastante fácil.
familiar	familiar	O rosto dela parecia familiar.
fancy	apetecer	Apetece-te um café?
fascinating	fascinante	A história foi fascinante.
fashionable	na moda	Aqueles sapatos estão na moda.
fasten	apertar	Aperta o cinto de segurança.
favour	o favor	Podes fazer-me um favor?
fence	a vedação	A vedação rodeia o jardim.
fighting	os combates	Os combates pararam ao amanhecer.
file	o arquivo	Salve o arquivo nesta pasta.
financial	financeiro	Ela precisa de aconselhamento financeiro.
fitness	a forma física	Correr melhora sua forma física.
fixed	fixo	O preço é fixo.
flag	a bandeira	A bandeira voava acima da escola.
flood	a inundação	A inundação danificou muitas casas.
flour	a farinha	Adiciona farinha à taça.
flow	fluir	O rio flui pela cidade.
fold	dobrar	Dobra o papel ao meio.
folk	a música folk	A música folk encheu a sala.
force	a força	O vento tinha grande força.
forever	para sempre	Vou lembrar-me disto para sempre.
frame	a moldura	A fotografia precisa de uma moldura.
freeze	congelar	A água vai congelar durante a noite.
frequently	frequentemente	Ele visita os pais frequentemente.
friendship	a amizade	A amizade deles durou anos.
frighten	assustar	Ruídos altos assustam o bebé.
frightened	assustado	A criança parecia assustada.
frightening	assustador	A tempestade foi assustadora.
frozen	congelado	O lago estava congelado.
fry	fritar	Frite as cebolas durante cinco minutos.
fuel	o combustível	O carro precisa de mais combustível.
function	a função	Este botão tem uma função.
fur	o pelo	O gato tem pelo macio.
garage	a garagem	O carro está na garagem.
gather	reunir-se	Reunimo-nos à volta da mesa.
generally	geralmente	Ela geralmente chega cedo.
generation	a geração	Cada geração enfrenta novos problemas.
generous	generoso	Ele é generoso com seu tempo.
gentle	suave	Use uma voz suave.
gentleman	o cavalheiro	O cavalheiro abriu a porta.
ghost	o fantasma	A história menciona um fantasma.
giant	gigante	Uma tela gigante ocupou o palco.
glad	contente	Estou contente por você ter vindo.
global	global	As alterações climáticas são uma questão global.
glove	a luva	Perdi uma luva.
goods	as mercadorias	As mercadorias chegaram tarde.
grade	a nota	Ela teve uma nota alta.
graduate	o graduado	Ele é um graduado recente.
grain	o grão	Um grão de arroz caiu.
grateful	grato	Agradeço seu apoio.
growth	o crescimento	A planta mostrou crescimento constante.
guard	o guarda	O guarda verificou nossos ingressos.
guilty	culpado	Ele sentiu-se culpado por mentir.
hang	pendurar	Pendure seu casaco aqui.
happiness	a felicidade	O dinheiro não compra felicidade.
hardly	mal	Mal consegui ouvir você.
headline	a manchete	A manchete chamou minha atenção.
heating	o aquecimento	O aquecimento parou de funcionar.
heavily	fortemente	Choveu fortemente toda a noite.
helicopter	o helicóptero	Um helicóptero aterrou por perto.
highlight	destacar	Por favor, destaque a ideia principal.
highly	muito	Ela é muito respeitada.
hire	alugar	Precisamos alugar um carro.
historic	histórico	Visitamos um edifício histórico.
historical	histórico	Ela adora romances históricos.
honest	honesto	Por favor, dê uma resposta honesta.
horrible	horrível	O cheiro era horrível.
horror	o terror	Ele gosta de filmes de terror.
host	o anfitrião	O anfitrião recebeu todos os convidados.
