source_headword	TR	example_TR
embed	iliştirmek	Gazeteci birliğe iliştirilecek.
embody	temsil etmek	Heykel cesareti temsil ediyor gibi görünüyor.
emergence	ortaya çıkma	Telefonların ortaya çıkması günlük hayatı değiştirdi.
empirical	ampirik	Makale ampirik kanıtlara dayanıyor.
empower	güçlendirmek	Eğitim yerel toplulukları güçlendirebilir.
enact	yasalaştırmak	Parlamento reformu yasalaştırmak için oy kullandı.
encompass	kapsamak	Kurs modern tarihi kapsayacak.
encouragement	teşvik	Onun teşviki devam etmesine yardımcı oldu.
encouraging	cesaret verici	Erken sonuçlar cesaret verici görünüyor.
endeavour	çaba	Kurtarma zor bir çabaydı.
endless	sonsuz	Çöl sonsuz görünüyordu.
endorse	desteklemek	Sendika adayı desteklemeyi reddetti.
endorsement	destek	Onun desteği kampanyasını güçlendirdi.
endure	dayanmak	Bitkiler sert kışlara dayanabilir.
enforce	uygulamak	Polis hız sınırını uyguluyor.
enforcement	uygulama	Daha sıkı uygulama yasa dışı çöp dökülmesini azalttı.
engagement	katılım	Öğrenci katılımı bu sömestr arttı.
engaging	ilgi çekici	Konuşmacı ilgi çekici bir konuşma yaptı.
enquire	sormak	Lütfen resepsiyona sorun.
enrich	zenginleştirmek	Seyahat etmek anlayışınızı zenginleştirebilir.
enrol	kaydolmak	Öğrenciler eylül ayından önce kaydolmalıdır.
ensue	ardından gelmek	Duyurudan sonra kaos ortaya çıkabilir.
enterprise	girişim	Girişim yerel sanatçıları istihdam ediyor.
enthusiast	meraklı	Her bisiklet meraklısı bu rotayı bilir.
entitle	hak vermek	Bilet size giriş hakkı verecek.
entity	varlık	Şirket ayrı bir yasal varlıktır.
epidemic	salgın	Salgın birçok bölgeye yayıldı.
equality	eşitlik	Hareket eşitlik için savaştı.
equation	denklem	Denklem iki bilinmeyen içeriyor.
erect	inşa etmek	İşçiler yeni bir çit inşa edecek.
escalate	tırmanmak	Çatışma hızla tırmanabilir.
essence	öz	Şiir çocukluğun özünü yakalıyor.
establishment	kurum	Kurum reforma karşı çıktı.
eternal	sonsuz	Sonsuz dostluk sözü verdiler.
evacuate	tahliye etmek	İtfaiyeciler sakinlerin güvenli bir şekilde tahliye edilmesine yardım etti.
evoke	çağrıştırmak	Şarkı güçlü anılar çağrıştırabilir.
evolutionary	evrimsel	Fosil evrimsel bir değişimi gösteriyor.
exaggerate	abartmak	Deneyiminizi abartmayın.
excellence	mükemmellik	Okul akademik mükemmelliği ödüllendiriyor.
exceptional	olağanüstü	Olağanüstü bir beceri gösterdi.
excess	fazla	Fazla su bodrumu su basmasına neden oldu.
exclusion	dışlanma	Sosyal dışlanma gençlere zarar verir.
exclusive	özel	Kulüp özel erişim sunuyor.
exclusively	yalnızca	Bu oda yalnızca personel tarafından kullanılır.
execute	uygulamak	Ekip planı dikkatlice uygulayacak.
execution	uygulama	Stratejinin uygulanması aylar sürdü.
exert	uygulamak	Daha fazla baskı uygulamalısınız.
exile	sürgün	Yazar sürgünde yaşadı.
expenditure	harcama	Kamu harcamaları geçen yıl arttı.
experimental	deneysel	Tedavi hala deneyseldir.
expire	süresi dolmak	Pasaportumun süresi yakında dolacak.
explicit	açık	Talimatlar açıktı.
explicitly	açıkça	Kurallar sigara içmeyi açıkça yasaklıyor.
exploitation	sömürü	Rapor işçi sömürüsünü ortaya çıkardı.
explosive	patlayıcı	Patlayıcı cihaz güvenli bir şekilde çıkarıldı.
extremist	aşırılık yanlısı	Aşırılık yanlısı grup destek kaybetti.
facilitate	kolaylaştırmak	Uygulama uzaktan eğitimi kolaylaştıracak.
faction	hizip	Bir hizip lidere karşı çıktı.
faculty	fakülte	Fakülte teklifi onayladı.
fade	solmak	Boya güneş ışığında solacak.
fairness	adalet	Adalet her yarışmada önemlidir.
fatal	ölümcül	Kaza ölümcül yaralanmalara neden oldu.
fate	kader	Kaderini kimse bilmiyordu.
favourable	olumlu	İnceleme olumluydu.
feat	başarı	O zirveye tırmanmak bir başarıydı.
feminist	feminist	Feminist hareket kamusal tartışmayı değiştirdi.
fibre	lif	Bu ekmek fazladan lif içerir.
fierce	şiddetli	Şiddetli fırtına çatılara zarar verdi.
film-maker	film yapımcısı	Film yapımcısı daha sonra soruları yanıtladı.
filter	filtre	Filtre havadaki tozu temizler.
fine	para cezası	Şirket para cezası ödedi.
firearm	ateşli silah	Memur çalınan bir ateşli silahı ele geçirdi.
fit	uyum	Yeni ayakkabılar mükemmel uyuyor.
fixture	demirbaş	Lamba kalıcı bir demirbaştır.
flaw	kusur	Tasarımın ciddi bir kusuru var.
flawed	kusurlu	Kusurlu çalışma yanlış sonuçlar verdi.
flee	kaçmak	Aileler çatışmadan kaçmak zorundaydı.
fleet	filo	Havayolu şirketi filosunu yeniledi.
flesh	et	Diken etine battı.
flexibility	esneklik	Uzaktan çalışma daha fazla esneklik sunar.
flourish	gelişmek	Küçük işletmeler burada gelişebilir.
fluid	sıvı	Egzersizden sonra bol sıvı için.
footage	görüntü	Görüntü kazayı gösterdi.
foreigner	yabancı	Form yabancı olup olmadığınızı sorar.
forge	kurmak	Yeni bir ittifak kurmaya çalıştılar.
formula	formül	Formül sorunu çözdü.
formulate	formüle etmek	Bilim insanları yeni bir teori formüle ediyor.
forth	ileri	Nehir tekneyi ileri taşıdı.
forthcoming	yaklaşan	Yaklaşan rapor her şeyi açıklayacak.
foster	teşvik etmek	Program bağımsızlığı teşvik etmeye yardımcı olur.
fragile	kırılgan	Kırılgan vazo dikkatli kullanım gerektirir.
franchise	bayilik	Restoran küresel bir bayilik oldu.
frankly	açıkçası	Açıkçası, daha fazla zamana ihtiyacımız var.
frustrated	hüsrana uğramış	İşçiler gecikmeden dolayı hüsrana uğradı.
frustrating	sinir bozucu	Yavaş bağlantı sinir bozucuydu.
frustration	hüsran	Toplantı sırasında hüsran büyüdü.
functional	işlevsel	Eski mutfak hala işlevsel.
fundraising	bağış toplama	Bağış toplama haftaya başlıyor.
funeral	cenaze	Cenaze cuma günü gerçekleşti.
gallon	galon	Tank bir galon alır.
gambling	kumar	Kumar yasalarla kısıtlanmıştır.
gathering	toplanma	Toplanma huzurlu bir şekilde sona erdi.
gaze	bakış	Bakışlarını kısa bir süreliğine üzerinde tuttu.
gear	ekipman	Tırmanmadan önce güvenlik ekipmanını paketleyin.
generic	jenerik	Jenerik versiyon daha ucuza mal olur.
genocide	soykırım	Soykırım derin bir ulusal travma bıraktı.
glance	bakış	Hızlı bir bakış attı.
glimpse	anlık bakış	Denizin anlık bir görüntüsünü yakaladım.
glorious	şanlı	Takım şanlı bir zafer yaşadı.
glory	zafer	Olimpiyat zaferi hayal etti.
governance	yönetişim	İyi yönetişim şeffaflık gerektirir.
grace	zarafet	Yenilgiyi zarafetle kabul etti.
grasp	kavramak	Konsepti kavramakta başarısız oldu.
grave (for dead person)	mezar	Mezar çiçeklerle kaplıydı.
grave (serious)	ciddi	Durum ciddiyetini koruyor.
gravity	yerçekimi	Yerçekimi nesneleri Dünya'ya çeker.
grid	ızgara	Harita basit bir ızgara kullanır.
grief	keder	Keder bütün ailesini değiştirdi.
grin	sırıtış	Çocuk geniş bir sırıtış attı.
grind	öğütmek	İşçiler her sabah çekirdekleri öğütür.
grip	tutuş	İpte sıkı bir tutuş sağlayın.
gross	brüt	Brüt gelir keskin bir şekilde arttı.
guerrilla	gerilla	Gerilla savaşçıları tepelere saklandı.
guidance	rehberlik	Rehber pratik rehberlik sağlar.
guilt	suçluluk	Yalan söyledikten sonra suçluluk hissetti.
gut	içgüdü	Zor seçimlerde içgüdülerinize güvenin.
hail	selamlamak	Köylüler doktoru bir kahraman olarak selamlıyor.
halfway	yarı yolda	Tepenin yarı yolunda durduk.
halt	durmak	Tren aniden durdu.
handful	avuç	Bir avuç gönüllü geç saate kadar kaldı.
handling	kullanım	Uygun kullanım hasarı önler.
handy	kullanışlı	Bu alet onarımlar için kullanışlıdır.
harassment	taciz	Şirket taciz şikayetlerini araştırdı.
hardware	donanım	Mağaza bilgisayar donanımı satıyor.
harmony	uyum	Koro mükemmel bir uyum içinde şarkı söyledi.
harsh	sert	Hakim sert bir ceza verdi.
harvest	hasat	Hasat eylülde başlar.
haunt	peşini bırakmamak	Anı onun peşini bırakmamaya devam etti.
hazard	tehlike	Buz ciddi bir yol tehlikesidir.
heighten	artırmak	Konuşma gerilimi artırabilir.
heritage	miras	Kale yerel mirasın bir parçasıdır.
hierarchy	hiyerarşi	Ofis hiyerarşisi açıkça tanımlanmıştır.
high-profile	yüksek profilli	Yüksek profilli dava muhabirleri çekti.
hint	ipucu	Bana faydalı bir ipucu verdi.
homeland	anavatan	Anavatanına döndü.
hopeful	umutlu	Doktorlar iyileşme konusunda umutlu.
horizon	ufuk	Güneş ufkun altında kayboldu.
horn	korna	Araba kornası herkesi uyandırdı.
hostage	rehine	Rehine evine döndü.
hostile	düşmanca	Kalabalık düşmanca bir tavır aldı.
hostility	düşmanlık	Açık düşmanlık görüşmeleri bitirdi.
humanitarian	insani	İnsani görev yiyecek ulaştırdı.
humanity	insanlık	İnsanlık ortak zorluklarla karşı karşıyadır.
humble	mütevazı	Başarıdan sonra mütevazı kaldı.
hydrogen	hidrojen	Hidrojen çok kolay yanar.
identification	kimlik	Girişte kimlik gereklidir.
ideological	ideolojik	Anlaşmazlığın ideolojik kökleri vardı.
ideology	ideoloji	İdeolojisi her konuşmayı şekillendirdi.
idiot	aptal	Kimseye aptal deme.
ignorance	cehalet	Cehalet korku yayabilir.
imagery	imgeleme	Şiir canlı imgelemeler kullanır.
immense	muazzam	Proje muazzam bir çaba gerektirdi.
imminent	yakın	Bir fırtına yakın görünüyordu.
implementation	uygulama	Yasanın uygulanması yavaştı.
imprison	hapsetmek	Rejim eleştirmenleri hapsetmeye çalıştı.
imprisonment	hapis	Hapis cezası beş yıl sürdü.
inability	yetersizlik	Odaklanma yetersizliği öğretmenleri endişelendirdi.
inadequate	yetersiz	Sığınağın yetersiz ısıtması vardı.
inappropriate	uygunsuz	Şakası uygunsuzdu.
incidence	görülme sıklığı	Grip görülme sıklığı arttı.
inclined	meyilli	Katılmaya meyilli.
inclusion	dahil etme	Okul dahil etmeyi teşvik eder.
