source_headword	KM	example_KM
version	កំណែ	កំណែនេះដំណើរការល្អជាង។
victim	ជនរងគ្រោះ	ជនរងគ្រោះបានទូរស័ព្ទហៅប៉ូលីស។
viewer	អ្នកទស្សនា	អ្នកទស្សនាម្នាក់បានសួរសំណួរមួយ។
violent	ហិង្សា	ភាពយន្តនេះមានអំពើហិង្សាខ្លាំងពេក។
volunteer	ការងារស្ម័គ្រចិត្ត	ខ្ញុំបម្រើការងារស្ម័គ្រចិត្តនៅបណ្ណាល័យ។
vote	បោះឆ្នោត	ចងចាំត្រូវទៅបោះឆ្នោតនៅថ្ងៃស្អែក។
warn	ព្រមាន	ខ្ញុំបានព្យាយាមព្រមានគាត់។
warning	ការព្រមាន	ការព្រមានបានលេចឡើងនៅលើអេក្រង់។
waste	ខ្ជះខ្ជាយ	កុំខ្ជះខ្ជាយទឹកស្អាត។
weapon	អាវុធ	កាំបិតបានក្លាយជាអាវុធ។
weigh	ថ្លឹង	ថ្លឹងម្សៅដោយប្រុងប្រយ័ត្ន។
western	លោកខាងលិច	ពួកគេបានមើលភាពយន្តបែបលោកខាងលិច។
whatever	អ្វីក៏ដោយ	ជ្រើសរើសអ្វីក៏ដោយដែលអ្នកចូលចិត្ត។
whenever	ពេលណាក៏ដោយ	ទូរស័ព្ទមកពេលណាក៏ដោយដែលអ្នកត្រូវការជំនួយ។
whether	ថាតើ	ខ្ញុំមិនដឹងថាតើនាងយល់ព្រមឬអត់ទេ។
wing	ស្លាប	បក្សីនោះបានរបួសស្លាបម្ខាង។
within	ក្នុងរយៈពេល	សូមឆ្លើយតបក្នុងរយៈពេលពីរថ្ងៃ។
wonder	ឆ្ងល់	ខ្ញុំឆ្ងល់ថាតើមានអ្វីកើតឡើង។
wool	រោមចៀម	អាវធំនេះធ្វើពីរោមចៀម។
worldwide	ទូទាំងពិភពលោក	បទចម្រៀងនេះបានក្លាយជាការពេញនិយមនៅទូទាំងពិភពលោក។
worth	សមនឹង	សៀវភៅនេះសមនឹងអាន។
written	ជាលាយលក្ខណ៍អក្សរ	សូមផ្ញើការណែនាំជាលាយលក្ខណ៍អក្សរ។
yard	ទីធ្លា	ក្មេងៗបានលេងនៅក្នុងទីធ្លា។
youth	យុវជន	ក្លឹបយុវជនគាំទ្រដល់ក្មេងជំទង់ក្នុងតំបន់។
