source_headword	ID	example_ID
bond	ikatan	Kepercayaan menciptakan ikatan yang kuat.
breast	dada	Dia merasakan nyeri di dadanya.
brief	singkat	Buat jawaban Anda singkat.
broad	lebar	Sungai itu lebar di sini.
broadcast	menyiarkan	Pidato itu disiarkan langsung.
budget	anggaran	Anggarannya sangat ketat.
bullet	peluru	Peluru itu mengenai dinding.
bunch	seikat	Dia membawa seikat kunci.
bush	semak	Seekor burung bersembunyi di semak.
cable	kabel	Kabel itu rusak.
calculate	menghitung	Hitung total biaya.
cancel	membatalkan	Mereka membatalkan rapat.
cancer	kanker	Perawatan kanker bisa sulit.
capable	mampu	Dia mampu melakukan lebih banyak.
capacity	kapasitas	Aula itu mencapai kapasitas.
capture	menangkap	Foto itu menangkap suasana.
cast	pemeran	Para pemeran sudah siap.
cell	sel	Setiap sel berisi data.
chairman	ketua	Ketua membuka rapat.
characteristic	ciri	Kesabaran adalah ciri utamanya.
chief	kepala	Kepala insinyur tiba terlambat.
circumstance	keadaan	Pertimbangkan setiap keadaan dengan hati-hati.
cite	mengutip	Tolong kutip sumber Anda.
citizen	warga negara	Setiap warga negara dapat memilih.
civil	tertib	Protes itu tetap tertib.
classic	klasik	Film ini adalah karya klasik.
closely	dengan cermat	Perhatikan prosesnya dengan cermat.
collapse	runtuh	Jembatan tua itu mungkin runtuh.
combination	kombinasi	Kombinasi itu berhasil.
comfort	kenyamanan	Kata-katanya memberi kenyamanan.
command	perintah	Perwira itu memberi perintah.
commission	komisi	Komisi itu meninjau kasus tersebut.
commitment	komitmen	Pekerjaan itu membutuhkan komitmen.
committee	komite	Komite itu bertemu setiap minggu.
commonly	umumnya	Tanaman ini umumnya ditanam.
complicated	rumit	Instruksinya rumit.
component	komponen	Satu komponen gagal.
concentration	konsentrasi	Kebisingan memecah konsentrasi saya.
concept	konsep	Konsep itu sederhana.
concern	kekhawatiran	Keamanan adalah kekhawatiran utama kami.
concerned	khawatir	Para orang tua sangat khawatir.
conduct	melakukan	Mereka melakukan penelitian secara lokal.
confidence	kepercayaan diri	Latihan membangun kepercayaan diri.
conflict	konflik	Konflik itu berlangsung bertahun-tahun.
confusing	membingungkan	Peta itu membingungkan.
conscious	sadar	Dia tetap sadar.
conservative	konservatif	Pandangannya konservatif.
consideration	pertimbangan	Biaya adalah pertimbangan penting.
consistent	konsisten	Hasilnya konsisten.
constant	terus-menerus	Kebisingan terus-menerus membuat kami lelah.
constantly	terus-menerus	Dia terus-menerus memeriksa ponselnya.
construct	membangun	Para pekerja membangun jembatan baru.
construction	konstruksi	Konstruksi dimulai bulan depan.
contemporary	kontemporer	Galeri itu menampilkan seni kontemporer.
contest	kontes	Dia mengikuti kontes itu.
contract	kontrak	Baca kontrak itu dengan cermat.
contribute	berkontribusi	Semua orang dapat berkontribusi ide.
contribution	kontribusi	Kontribusinya berharga.
convert	mengubah	Mereka mengubah garasi itu.
convinced	yakin	Saya yakin dia berbohong.
core	inti	Kepercayaan adalah masalah inti.
corporate	perusahaan	Aturan perusahaan berubah lagi.
council	dewan	Dewan menyetujui rencana itu.
county	kabupaten	Kabupaten memperbaiki jalan.
courage	keberanian	Dia menunjukkan keberanian sejati.
crash	kecelakaan	Kecelakaan itu menghalangi lalu lintas.
creation	penciptaan	Penciptaan itu memakan waktu enam bulan.
creature	makhluk	Makhluk itu bergerak diam-diam.
crew	kru	Kru menyiapkan kapal.
crisis	krisis	Krisis itu mengubah segalanya.
criterion	kriteria	Harga adalah satu kriteria.
critic	kritikus	Kritikus itu memuji drama tersebut.
critical	kritis	Kondisinya kritis.
criticism	kritik	Dia menerima kritik itu dengan tenang.
criticize	mengkritik	Jangan mengkritik setiap kesalahan.
crop	tanaman	Tanaman gagal tahun ini.
crucial	sangat penting	Waktu sangat penting di sini.
cure	obat	Para dokter menemukan obatnya.
curve	tikungan	Jalan itu mengikuti tikungan.
curved	melengkung	Dinding itu sedikit melengkung.
debate	debat	Debat itu berlanjut selama berjam-jam.
debt	utang	Dia membayar utang itu.
decent	layak	Mereka menemukan apartemen yang layak.
declare	menyatakan	Mereka menyatakan hasilnya.
decline	menurun	Penjualan terus menurun.
decoration	dekorasi	Dekorasi itu terlihat mahal.
decrease	menurun	Harga mungkin segera menurun.
deeply	sangat	Dia sangat peduli pada keadilan.
defeat	kekalahan	Kekalahan itu mengejutkan tim.
defence	pembelaan	Pihak pembelaan menantang bukti.
defend	membela	Dia mencoba membela dirinya.
delay	keterlambatan	Cuaca buruk menyebabkan keterlambatan.
deliberate	sengaja	Itu adalah pilihan yang sengaja.
deliberately	dengan sengaja	Dia dengan sengaja mengabaikan peringatan.
delight	menggembirakan	Berita itu menggembirakan semua orang.
delighted	senang	Kami senang dengan hadiah itu.
delivery	pengiriman	Pengiriman tiba lebih awal.
demand	tuntutan	Para pekerja menuntut upah yang lebih baik.
demonstrate	mendemonstrasikan	Dia mendemonstrasikan perangkat lunak baru.
deny	menyangkal	Dia menyangkal tuduhan itu.
depressed	depresi	Dia merasa depresi setelah kalah.
depressing	menyedihkan	Film itu menyedihkan.
depth	kedalaman	Kolam itu memiliki kedalaman besar.
deserve	layak	Anda layak mendapat istirahat.
desire	keinginan	Dia menyatakan keinginan untuk bepergian.
desperate	putus asa	Mereka membuat panggilan putus asa.
detailed	terperinci	Panduan itu sangat terperinci.
detect	mendeteksi	Anjing dapat mendeteksi asap.
dig	menggali	Mereka menggali sumur pada musim panas.
disc	cakram	Cakram itu tergores.
discipline	disiplin	Disiplin membantu atlet berkembang.
dishonest	tidak jujur	Jawabannya terdengar tidak jujur.
dismiss	menolak	Manajer menolak keluhan itu.
display	menampilkan	Layar menampilkan skor.
distribute	mendistribusikan	Relawan mendistribusikan air bersih.
distribution	distribusi	Distribusi dimulai setelah matahari terbit.
district	distrik	Distrik itu memilih wali kota.
division	divisi	Divisi itu menangani kasus hukum.
domestic	domestik	Penerbangan domestik lebih murah.
dominate	mendominasi	Satu perusahaan mungkin mendominasi pasar.
downwards	ke bawah	Jalan itu miring ke bawah.
dozen	lusin	Dia membeli selusin telur.
draft	draf	Tolong tinjau draf itu.
drag	menyeret	Jangan menyeret meja.
dramatic	dramatis	Hasilnya dramatis.
edit	mengedit	Dia mengedit artikel itu.
edition	edisi	Edisi ini mencakup foto baru.
efficient	efisien	Sistem itu efisien.
elderly	lansia	Penduduk lansia membutuhkan dukungan.
elect	memilih	Pemilih memilih dewan baru.
elsewhere	di tempat lain	Kami mencari bantuan di tempat lain.
emerge	muncul	Rincian muncul setelah tengah malam.
emotional	emosional	Pidato itu emosional.
emphasis	penekanan	Berikan penekanan pada keselamatan.
emphasize	menekankan	Guru menekankan latihan harian.
enable	memungkinkan	Aplikasi itu memungkinkan pembayaran cepat.
encounter	menghadapi	Kami menghadapi lalu lintas padat.
engage	melibatkan	Kursus itu melibatkan pelajar dewasa.
enhance	meningkatkan	Pencahayaan dapat meningkatkan ruangan.
enquiry	penyelidikan	Penyelidikan itu berlangsung tiga bulan.
ensure	memastikan	Periksa dua kali untuk memastikan ketepatan.
enthusiasm	antusiasme	Antusiasmenya mendorong kelompok itu.
enthusiastic	antusias	Para relawan antusias.
entire	seluruh	Seluruh desa kehilangan listrik.
entirely	sepenuhnya	Cerita itu sepenuhnya salah.
establish	menetapkan	Mereka menetapkan aturan yang jelas.
estate	perkebunan	Perkebunan itu mencakup beberapa peternakan.
estimate	memperkirakan	Kami memperkirakan sepuluh ribu pengunjung.
ethical	etis	Keputusan itu menimbulkan pertanyaan etis.
evaluate	mengevaluasi	Para ahli akan mengevaluasi desain itu.
evil	jahat	Raja takut pada roh jahat.
examination	ujian	Ujian itu berlangsung satu jam.
excuse	alasan	Alasan itu terdengar lemah.
executive	eksekutif	Eksekutif itu menyetujui kesepakatan.
existence	keberadaan	Keberadaan mereka tidak diketahui.
expectation	harapan	Harapan tinggi sebelum peluncuran.
expense	pengeluaran	Perjalanan adalah pengeluaran terbesar kami.
exploration	eksplorasi	Eksplorasi ruang angkasa menginspirasi anak-anak.
expose	mengungkap	Artikel itu mengungkap korupsi.
extend	memperpanjang	Mereka memperpanjang tenggat.
extent	sejauh mana	Kami mengetahui sejauh mana nanti.
external	eksternal	Tekanan eksternal memengaruhi mereka.
extraordinary	luar biasa	Pemulihannya luar biasa.
facility	fasilitas	Fasilitas itu dibuka pada bulan Juni.
failure	kegagalan	Kegagalan mengajarinya kesabaran.
faith	kepercayaan	Dia mempertahankan kepercayaan padanya.
fault	kesalahan	Kecelakaan itu kesalahan saya.
feather	bulu	Bulu jatuh dari bantal.
fee	biaya	Biaya mencakup makan siang.
feedback	umpan balik	Umpan balik membantu memperbaiki kursus.
fellow	rekan	Rekan kerja mendukungnya.
finance	membiayai	Bank akan membiayai perluasan.
finding	temuan	Temuan itu mengejutkan peneliti.
firm	perusahaan	Perusahaan itu mempekerjakan staf baru.
flame	nyala api	Nyala api kecil muncul.
flash	kilatan	Kilatan menerangi langit.
flexible	fleksibel	Jadwalnya fleksibel.
float	mengapung	Daun mengapung di air.
folding	lipat	Dia membawa kursi lipat.
forgive	memaafkan	Bisakah Anda memaafkannya?
former	mantan	Mantan wali kota kembali.
fortune	kekayaan	Mereka kehilangan banyak kekayaan.
found	mendirikan	Mereka mendirikan badan amal kecil.
freedom	kebebasan	Kebebasan membutuhkan tanggung jawab.
frequency	frekuensi	Frekuensi meningkat pada musim dingin.
fully	sepenuhnya	Hotel itu sudah dipesan penuh.
fund	dana	Dana itu mendukung sekolah lokal.
fundamental	mendasar	Rasa hormat mendasar di sini.
funding	pendanaan	Pendanaan berakhir tahun lalu.
furthermore	selain itu	Selain itu, biaya meningkat.
gain	mendapatkan	Siswa mendapatkan kepercayaan diri dengan cepat.
gang	geng	Sebuah geng menguasai jalan itu.
generate	menghasilkan	Panel surya menghasilkan listrik.
genre	genre	Komedi adalah genre favoritnya.
govern	mengatur	Hukum mengatur pengeluaran publik.
grab	meraih	Dia meraih lengan saya.
gradually	secara bertahap	Rasa sakit menghilang secara bertahap.
grand	megah	Hotel itu memiliki pintu masuk megah.
grant	hibah	Hibah itu membayar peralatan.
guarantee	menjamin	Tiket itu menjamin masuk.
handle	menangani	Dia menangani keluhan itu dengan tenang.
harm	bahaya	Merokok dapat membahayakan kesehatan.
harmful	berbahaya	Bahan kimia itu berbahaya.
hearing	pendengaran	Pendengarannya membaik.
heaven	surga	Mereka membayangkan surga di atas.
heel	tumit	Tumitnya sangat sakit.
hell	neraka	Perjalanan itu seperti neraka.
hesitate	ragu	Jangan ragu untuk bertanya.
hollow	berongga	Pohon itu berongga di dalam.
holy	suci	Mereka mengunjungi tempat suci.
honour	kehormatan	Mereka berjuang demi kehormatan.
household	rumah tangga	Setiap rumah tangga menerima air.
housing	perumahan	Biaya perumahan terus meningkat.
humorous	lucu	Ceritanya lucu.
humour	humor	Humor membantu mengurangi ketegangan.
hunting	berburu	Berburu dilarang di sini.
illustrate	menggambarkan	Contoh menggambarkan aturan itu.
illustration	ilustrasi	Ilustrasi menunjukkan prosesnya.
imagination	imajinasi	Anak-anak menggunakan imajinasi dengan bebas.
impatient	tidak sabar	Para pengemudi menjadi tidak sabar.
imply	menyiratkan	Keheningannya mungkin menyiratkan persetujuan.
impose	menjatuhkan	Pengadilan menjatuhkan denda.
impress	mengesankan	Keberaniannya mengesankan semua orang.
impressed	terkesan	Saya terkesan dengan pekerjaannya.
inch	inci	Geser satu inci ke kiri.
incident	insiden	Insiden itu menimbulkan kekhawatiran.
income	pendapatan	Pendapatan mereka meningkat perlahan.
increasingly	semakin	Perumahan semakin mahal.
industrial	industri	Kota itu memiliki akar industri.
infection	infeksi	Infeksi menyebar dengan cepat.
inform	memberi tahu	Tolong beri tahu manajer.
initial	awal	Biaya awal tinggi.
initially	awalnya	Awalnya, tidak ada yang percaya padanya.
initiative	inisiatif	Dia meluncurkan inisiatif baru.
inner	bagian dalam	Pintu bagian dalam terkunci.
insight	wawasan	Laporan itu menawarkan wawasan berguna.
insist	bersikeras	Mereka bersikeras pada pemeriksaan keamanan.
inspire	menginspirasi	Ceritanya mungkin menginspirasi orang lain.
install	memasang	Mereka memasang pemanas baru.
instance	contoh	Ini satu contoh yang jelas.
