simplified	SL	example_SL
便于	primeren	Ta zasnova je primerna za uporabo starejših ljudi.
变故	nepričakovan dogodek	V družini se je nenadoma zgodil nepričakovan dogodek.
变迁	spremembe	Spremembe v mestu so ga globoko ganile.
变质	pokvariti se	Mleko se pokvari, če predolgo stoji.
辨认	prepoznati	Policija ga je prosila, naj prepozna osebo na fotografiji.
辩护	zagovarjati	Odvetnik je zagovarjal obtoženca.
辩解	opravičevati se	Poskušal je opravičiti svojo napako.
辩证	dialektičen	Na ta problem moramo gledati dialektično.
辫子	kitka	Deklica ima dve kitki.
遍布	razširjen	Ta rastlina je razširjena po vsej državi.
标本	preparat	V muzeju so razstavljeni živalski preparati.
标记	oznaka	Prosim, naredi oznake ob pomembnih odstavkih.
标题	naslov	Naslov tega članka je zelo privlačen.
表决	glasovati	Predstavniki bodo glasovali o predlogu.
表态	izraziti stališče	Svojega stališča še ni javno izrazil.
表彰	pohvaliti	Podjetje je pohvalilo odlične zaposlene.
憋	zadrževati	Zadrževal je smeh in ni nič rekel.
别墅	vila	Kupili so vilo v predmestju.
别致	poseben	Oprema te kavarne je zelo posebna.
别扭	neroden	Ta stavek zveni nekoliko nerodno.
濒临	na robu	Ta žival je na robu izumrtja.
冰雹	toča	Včeraj popoldne je padala močna toča.
丙	skupina C	Tekma skupine C se začne popoldne.
并非	ni	Stvari niso takšne, kot si predstavljaš.
并列	biti izenačen	Ta dva projekta sta izenačena na prvem mestu.
剥削	izkoriščanje	V stari družbi je obstajalo hudo izkoriščanje.
拨	poklicati	Prosim, pokliči to telefonsko številko.
播种	sejati	Kmetje začnejo spomladi sejati.
波浪	val	Na morju so se dvignili ogromni valovi.
波涛	valovje	Ladja je napredovala skozi valovje.
伯母	teta	Ob koncu tedna grem obiskat teto.
博大精深	širok in globok	Kitajska kultura je široka in globoka.
博览会	sejem	Mednarodni sejem je pritegnil številna podjetja.
搏斗	boriti se	Policija se je borila s kriminalcem.
薄弱	šibek	Njegovi slovnični temelji so precej šibki.
不顾	ne glede na	Stekel je noter ne glede na nevarnost.
不愧	zaslužiti si	Res si zasluži naziv izkušenega strokovnjaka.
不料	nepričakovano	Nepričakovano je bil sestanek nenadoma odpovedan.
不像话	nezaslišan	Tako ravnati z gosti je res nezaslišano.
不屑一顾	prezirljivo zavrniti	Te govorice je prezirljivo zavrnil.
哺乳	dojiti	Mati doji dojenčka.
捕捉	ujeti	Fotograf je ujel čudovit trenutek.
补偿	nadomestiti	Podjetje ti bo nadomestilo izgubo.
补救	popraviti	Še imamo čas, da to popravimo.
补贴	subvencija	Vlada daje subvencije družinam z nizkimi dohodki.
不得已	ne imeti izbire	Rodni kraj je zapustil samo zato, ker ni imel izbire.
不妨	ne škodi	Ne škodi, če najprej poslušaš njegovo razlago.
不敢当	ne zaslužiti pohvale	Ko me tako hvalite, si tega res ne zaslužim.
不禁	ne moči se zadržati	Ko je slišal novico, se ni mogel zadržati smeha.
不堪	neznosen	Hrup tukaj je neznosen.
不可思议	neverjeten	Ta rezultat je res neverjeten.
不免	neizogibno	Ko je prvič stopil na oder, je bil neizogibno nekoliko živčen.
不时	občasno	Občasno je dvignil pogled proti uri.
不惜	ne oklevati	Da bi rešil človeka, ni okleval tvegati.
不相上下	izenačen	Moči obeh ekip sta izenačeni.
不言而喻	samoumeven	Pomen poštenosti je samoumeven.
不由得	ne moči drugače	Ko sem videl staro fotografijo, nisem mogel drugače, kot da se spomnim otroštva.
不择手段	brezobzirno	Za zaslužek uporablja vsa sredstva.
不止	več kot	Sestanka se je udeležilo več kot sto ljudi.
布告	obvestilo	Na šolskih vratih je bilo nalepljeno obvestilo.
布局	razporeditev	Razporeditev tega stanovanja je zelo razumna.
布置	zadati	Učitelj je zadal novo domačo nalogo.
步伐	korak	Skupina je napredovala z urejenimi koraki.
部署	uvesti	Podjetje uvaja nov prodajni načrt.
部位	mesto	Zdravnik je pregledal poškodovano mesto.
才干	sposobnost	Pri upravljanju je zelo sposobna.
裁缝	krojač	Ta krojač ima zelo dobro spretnost.
裁判	sodnik	Sodnik je razglasil prekinitev tekme.
裁员	odpuščati zaposlene	Podjetje se je zaradi izgub odločilo odpuščati zaposlene.
财富	bogastvo	Tudi znanje je vrsta bogastva.
财务	finance	Finančni oddelek preverja račune.
财政	javne finance	Javni prihodki so se letos nekoliko povečali.
彩票	loterijski listek	Občasno kupi loterijski listek.
采购	nabaviti	Podjetje je poslalo nekoga nabavit opremo.
采集	zbirati	Raziskovalci so v gozdu zbirali vzorce.
采纳	sprejeti	Vodstvo je sprejelo naš predlog.
参谋	svetovalec	Pogosto je svetovalec menedžerju.
参照	ravnati se po	Prosim, izpolni obrazec po tem vzorcu.
残疾	invalidnost	Ta postaja nudi pomoč potnikom z invalidnostjo.
残酷	krut	Vojna je zelo kruta.
残留	ostati	V skodelici je še ostal vonj po kavi.
残忍	krut	Mučenje živali je kruto ravnanje.
灿烂	sijoč	Pokazala je sijoč nasmeh.
仓促	prenagljen	Ta odločitev je bila sprejeta preveč prenagljeno.
仓库	skladišče	Blago je že dostavljeno v skladišče.
舱	kabina	Potniki vstopajo v kabino.
苍白	bled	Njegov obraz je bil videti zelo bled.
操劳	garati	Mati je za to družino garala dolga leta.
操练	vaditi; uriti	Vojaki vsako jutro vadijo.
操纵	upravljati; nadzorovati	Ta stroj upravlja računalnik.
操作	upravljati; ravnati z	Prosimo, upravljajte napravo po navodilih.
嘈杂	hrupen	Na postaji je zelo hrupno.
草案	osnutek	Odbor razpravlja o osnutku.
草率	nepremišljen; površen	Tako pomembna odločitev ne sme biti nepremišljena.
侧面	stran; bočni pogled	S strani je ta stavba videti višja.
测量	meriti	Inženir meri dolžino mostu.
策划	načrtovati	Načrtovali so velik dogodek.
策略	strategija	Ta strategija je podjetju pomagala znižati stroške.
层出不穷	pojavljati se drug za drugim	Nove težave se nenehno pojavljajo druga za drugo.
层次	struktura; raven	Struktura tega članka je zelo jasna.
差别	razlika	Med obema metodama ni velike razlike.
插座	vtičnica	V tej sobi ni dovolj vtičnic.
查获	zaseči; odkriti	Carina je zasegla pošiljko ponarejenega blaga.
刹那	trenutek	V trenutku so ugasnile vse luči.
岔	razcep; odcep	Avtomobili so se pri križišču pred nami razdelili.
诧异	začuden; presenečen	Njegova odločitev je vse zelo presenetila.
柴油	dizelsko gorivo	Ta tovornjak uporablja dizelsko gorivo.
搀	podpreti; prijeti pod roko	Medicinska sestra je starejšo osebo podprla pri vstopu v bolniško sobo.
缠绕	ovijati se	Ovijalke se ovijajo okoli vej.
馋	imeti skomine	Otrok je ob pogledu na torto dobil skomine.
产业	panoga; industrija	Turizem je tukaj pomembna panoga.
阐述	pojasniti; obrazložiti	Profesor je podrobno pojasnil svoje stališče.
颤抖	tresti se	Tako jo je zeblo, da se ji je treslo celo telo.
昌盛	cvetoč; uspešen	Upamo, da bo država cvetoča in močna.
偿还	odplačati; vrniti	Posojilo je odplačal pravočasno.
尝试	poskusiti	Lahko poskusimo novo metodo.
场合	priložnost; okoliščina	Ob taki priložnosti se ni primerno šaliti.
场面	prizor; scena	Prizor na poroki je bil zelo živahen.
场所	kraj; prostor	To je javni prostor, prosimo, ne kadite.
敞开	na široko odpreti	Prosimo, pustite okno nekaj časa na široko odprto.
倡导	zagovarjati	Šola zagovarja zdrav življenjski slog.
倡议	pobuda	Ta okoljska pobuda je dobila podporo.
畅通	prehoden; tekoč	Ko je dež ponehal, je bila cesta spet prehodna.
畅销	dobro se prodajati	Ta roman se zelo dobro prodaja.
超越	preseči; premagati	Končno je presegel svoj rekord.
钞票	bankovec	V denarnici je ostalo le nekaj bankovcev.
嘲笑	posmehovati se	Ne posmehuj se pomanjkljivostim drugih ljudi.
巢穴	brlog; gnezdo	Lovec je odkril živalski brlog.
朝代	dinastija	Dinastija Tang je ena od dinastij v kitajski zgodovini.
潮流	trend	Mladi zelo spremljajo modne trende.
撤退	umakniti se	Enote so se po prejemu ukaza umaknile.
撤销	razveljaviti; preklicati	Sodišče je razveljavilo prvotno sodbo.
沉淀	usedati se	Mulj se bo počasi usedel.
沉闷	soparen; moreč	Današnje vreme je vroče in soparno.
沉思	globoko premišljevati	Sedel je ob oknu in globoko premišljeval.
沉重	težak; resen	Ta novica je vsem obtežila srce.
沉着	miren; zbran	Ob nevarnosti moraš ostati miren.
陈旧	zastarel	Ta stroj je že zelo zastarel.
陈列	razstaviti; prikazati	V razstavni dvorani je razstavljenih veliko kulturnih predmetov.
陈述	navesti; izjaviti	Prosimo, jasno navedite dejstva.
称心如意	zadovoljujoč; po volji	To delo mu je zelo po volji.
衬托	poudariti; izpostaviti	Bela stena poudari barvo rož.
称号	naziv; naslov	Prejel je naziv odličnega učitelja.
乘	peljati se	Vsak dan se v službo peljem z metrojem.
呈现	privzeti; pokazati	Nebo je dobilo rahlo rdečkasto barvo.
城堡	grad	Na vrhu gore stoji star grad.
惩罚	kaznovati	Šola bo kaznovala učence, ki goljufajo.
成本	strošek	Podražitev surovin je povečala stroške.
成交	skleniti posel	Ta posel je bil končno sklenjen.
成天	ves dan	Ves dan sedi pred računalnikom.
成效	učinek; rezultat	Nova metoda upravljanja je hitro pokazala rezultate.
成心	namerno	Ni te namerno spravil v zadrego.
成员	član	Vsak član se mora udeležiti sestanka.
承办	organizirati; prevzeti izvedbo	To podjetje je organiziralo razstavo.
承包	prevzeti po pogodbi	Ta projekt so prevzeli po pogodbi.
承诺	obljubiti; zaveza	Obljubil je, da bo nalogo dokončal pravočasno.
橙	pomaranča	Kupil sem nekaj svežih pomaranč.
澄清	razjasniti	Direktor je nastopil, da bi razjasnil nesporazum.
盛	naliti; zajeti	Gostu je nalila skledo juhe.
诚挚	iskren	Prosimo, sprejmite mojo iskreno zahvalo.
秤	tehtnica	Ta tehtnica ni zelo natančna.
吃苦	prenašati težave	Mladi bi se morali naučiti prenašati težave.
吃力	naporen	Premikanje te škatle je zelo naporno.
持久	trajen; dolgotrajen	Uspeh zahteva dolgotrajen trud.
迟钝	počasen; otopel	V zadnjem času so njegove reakcije nekoliko počasne.
迟缓	počasen	Po dežju se je promet upočasnil.
迟疑	oklevati	Pred odgovorom je za trenutek oklevala.
赤道	ekvator	Blizu ekvatorja je vroče vse leto.
赤字	primanjkljaj	Podjetje je letos ustvarilo primanjkljaj.
充当	delovati kot; služiti kot	V projektu je deloval kot koordinator.
充沛	obilen; poln energije	Otroci so polni energije.
充实	izpolnjujoč; bogat	Ta izkušnja je moje življenje naredila bolj izpolnjujoče.
充足	zadosten; obilen	Pred potovanjem pripravite dovolj vode.
冲动	impulz	Ne sprejemaj odločitve zaradi trenutnega impulza.
冲击	vpliv; udarec	Nova tehnologija je vplivala na tradicionalne panoge.
冲突	konflikt	Obe strani sta se trudili izogniti konfliktu.
崇拜	občudovati	Mnogi mladi občudujejo tega znanstvenika.
崇高	vzvišen; plemenit	Dolžnost zdravnika je plemenita.
崇敬	močno spoštovati	Učenci tega učitelja zelo spoštujejo.
重叠	prekrivati se	Ti dve nalogi se delno prekrivata.
稠密	gost	Tukaj je prebivalstvo zelo gosto.
筹备	pripravljati	Pripravljajo poroko.
丑恶	grd; odvraten	Razkril je grdo resnico za tem dogodkom.
出路	izhod; možnost	Izobrazba lahko mladim da več možnosti.
出卖	izdati; prodati	Prijateljev ne bi izdal.
出身	poreklo; izvor	Prihaja iz običajne družine.
出神	zatopljen	Glasbo je poslušala popolnoma zatopljena.
出息	obetavna prihodnost	Ta otrok bo v prihodnosti veliko dosegel.
初步	začeten; predhoden	Dosegli smo predhodni dogovor.
除	razen; odstraniti	Razen njega so vsi prispeli.
储备	rezerva; ustvariti zalogo	Podjetje mora rezervirati več sredstev.
储存	shraniti	Ti podatki se bodo samodejno shranili.
储蓄	varčevati; prihranki	Vsak mesec privarčuje del plače.
处分	disciplinski ukrep	Šola mu je izrekla strog disciplinski ukrep.
处境	položaj; situacija	Njihov trenutni položaj je zelo težak.
处置	ravnati z; odstraniti	To staro opremo je treba ustrezno odstraniti.
触犯	kršiti	S takim ravnanjem boš kršil zakon.
川流不息	neprekinjen tok	Po ulici se neprekinjeno vali tok vozil.
穿越	prečkati; iti skozi	Vlak je šel skozi dolg predor.
传达	posredovati	Prosimo, posredujte to novico vsem.
传单	letak	Prostovoljci so na ulici delili letake.
传授	prenašati znanje; učiti	Učitelj je učencem predajal izkušnje.
船舶	plovilo	V pristanišču je zasidranih veliko plovil.
喘气	sopihati	Po teku je neprestano sopihal.
串	nanizati	Perlice je nanizala v ogrlico.
床单	rjuha	Prosimo, zamenjajte rjuho.
创立	ustanoviti	Skupaj so ustanovili to podjetje.
创新	inovacija; inovirati	Razvoj podjetja zahteva stalne inovacije.
创业	začeti podjetje	Mnogi mladi se odločijo začeti podjetje.
创作	ustvarjati; pisati	Pisatelj ustvarja dolg roman.
吹牛	hvalisati se	Ne hvali se, pokaži dokaze.
吹捧	pretirano hvaliti	Mediji so ta izdelek pretirano hvalili.
炊烟	dim iz kuhinj	Zvečer se je iz vasi dvigal dim iz kuhinj.
垂直	navpičen; pravokoten	Ti dve črti sta druga na drugo pravokotni.
锤	kladivo	Delavec je s kladivom udarjal po železni plošči.
纯粹	izključno; čisto	Njegova pomoč je bila izključno iz dobre volje.
纯洁	čist; nedolžen	Otroško srce je zelo čisto.
慈善	dobrodelen	To podjetje pogosto sodeluje v dobrodelnih dejavnostih.
慈祥	blag; dobrodušen	Babičin nasmeh je zelo blag.
磁带	magnetni trak; kaseta	To staro kaseto je še mogoče predvajati.
雌雄	samec in samica	Samec in samica te ptice imata različni barvi.
伺候	streči; negovati	Medicinska sestra je skrbno negovala bolnika.
刺	trn; zbosti	Na veji vrtnice je veliko trnov.
次品	izdelek z napako	Teh izdelkov z napako ni dovoljeno prodajati.
次序	vrstni red	Prosimo, postavite se v vrsto po vrstnem redu.
丛	šop; grm	Ob cesti raste šop divjih cvetlic.
从容	miren; zbran	Na vprašanje je odgovorila mirno.
凑合	shajati; biti dovolj	Soba ni velika, a je za bivanje še sprejemljiva.
粗鲁	grob; nevljuden	Govori preveč grobo.
窜	švigniti; pobegniti	Ta mačka je nenadoma švignila v sobo.
摧残	uničevati; opustošiti	Dolgotrajno onesnaženje bo opustošilo ta gozd.
脆弱	krhek	Stekleni izdelki so zelo krhki.
搓	drgniti	Podrgnil si je mrzle roke.
磋商	pogajati se; posvetovati se	Obe strani bosta nadaljevali pogajanja.
挫折	neuspeh; ovira	Vsak človek naleti na ovire.
搭	peljati se; postaviti	Na letališče gremo z avtobusom.
搭档	partner; sodelavec	Že vrsto let je moj delovni partner.
搭配	ujemati se; kombinirati	Ta plašč in hlače se dobro ujemata.
答辩	zagovor	Podiplomski študent se pripravlja na zagovor naloge.
答复	odgovor; odgovoriti	Prosimo, čim prej mi dajte odgovor.
达成	doseči	Obe strani sta končno dosegli dogovor.
打包	zapakirati; zaviti	Natakar nam je zapakiral ostanke hrane.
打官司	iti na sodišče; tožiti se	Zaradi težave s pogodbo so šli na sodišče.
打击	udarec; napad	Ta neuspeh je bil zanj velik udarec.
打架	pretepati se	Učenci, ki se v šoli pretepajo, bodo kaznovani.
打量	ogledati si; premeriti	Od glave do pet si me je ogledala.
打猎	loviti	Tukaj je lov prepovedan.
打仗	vojskovati se	Nihče se noče vojskovati.
大不了	v najslabšem primeru	V najslabšem primeru bomo jutri poskusili znova.
大臣	minister	Kralj je poklical več ministrov.
大伙儿	vsi	Vsi čakajo na tvojo odločitev.
大肆	na veliko; brez zadržkov	Trgovec je novi izdelek na veliko oglaševal.
大体	v glavnem; na splošno	Načrt je v glavnem v redu.
大意	glavna misel	Prosimo, najprej povejte glavno misel tega članka.
大致	približno; okvirno	Približno razumem, kaj se je zgodilo.
歹徒	zločinec	Policija je hitro prijela zločinca.
代价	cena; strošek	Uspeh pogosto zahteva plačilo cene.
代理	zastopati; začasno opravljati	Začasno opravlja delo vodje.
带领	voditi	Učitelj je učence vodil na obisk muzeja.
怠慢	zanemariti; zapostaviti	Gostov ne smemo zanemariti.
逮捕	aretirati	Policija je aretirala glavnega osumljenca.
担保	jamčiti; jamstvo	Banka zahteva, da nekdo zagotovi jamstvo.
胆怯	boječ; plašen	Med prvim govorom je bil nekoliko plašen.
淡季	nizka sezona	Letalske vozovnice so v turistični nizki sezoni cenejše.
淡水	sladka voda	Ta vrsta ribe lahko živi samo v sladki vodi.
蛋白质	beljakovina	Jajca vsebujejo veliko beljakovin.
诞辰	obletnica rojstva	Danes je obletnica rojstva tega pisatelja.
诞生	nastati; roditi se	Ta zamisel je nastala med razpravo.
当场	na kraju samem	Na kraju samem je priznal napako.
当初	na začetku; takrat	Na začetku smo vsi podpirali to odločitev.
当代	sodoben	Sodobna družba se zelo hitro spreminja.
当面	osebno; iz oči v oči	Težave je najbolje jasno razložiti osebno.
当前	trenuten; sedanji	Trenutno je najpomembneje zagotoviti varnost.
当事人	vpletena oseba; stranka	Policija zaslišuje vpleteno osebo.
当务之急	najnujnejša naloga	Rešitev stanovanjskega problema je najnujnejša naloga.
当选	biti izvoljen	Uspešno je bila izvoljena za predsednico.
党	stranka	Ta stranka je predlagala novo politiko.
档案	dosje; evidenca	Šola je hranila evidence učencev.
档次	raven; razred	Ta hotel je na visoki ravni.
倒闭	propasti; zapreti se	Ta majhna trgovina se je lani zaprla.
导弹	raketa; vodena raketa	Novice so poročale o preizkusu rakete.
导航	navigacija	Prosimo, vklopite navigacijo na telefonu.
导向	usmeritev	Izobraževalna politika bi morala biti usmerjena k pravičnosti.
捣乱	motiti; delati težave	Prosimo, ne delaj težav pri pouku.
盗窃	kraja; krasti	Nakupovalno središče je okrepilo ukrepe za preprečevanje kraj.
稻谷	riževo zrnje; rižev pridelek	Kmetje žanjejo riž.
得不偿失	ne izplačati se	Kupovanje slabih materialov zaradi prihranka se ne izplača.
得力	sposoben; zanesljiv	Je sposoben pomočnik vodje.
得天独厚	edinstvena prednost	To mesto ima edinstvene geografske prednosti.
得罪	užaliti	Zaradi malenkosti ne želim užaliti sodelavcev.
灯笼	lampion; svetilka	Med Pomladnim praznikom pri vhodu visijo rdeči lampioni.
登录	prijaviti se	Prosimo, najprej se prijavite v svoj račun.
登陆	pristati; doseči kopno	Tajfun bi lahko nocoj dosegel obalno območje.
蹬	odriniti se z nogo	Močno se je odrinil z nogo in kolo se je premaknilo.
等候	čakati	Potniki v dvorani čakajo na vkrcanje.
等级	raven	Ta programska oprema ima različne ravni članstva.
瞪	zreti; ošiniti s pogledom	Jezno me je ošinil s pogledom.
堤坝	nasip; jez	Po močnem dežju je treba jez skrbno pregledati.
敌视	sovražen	Do drugačnih mnenj ne bi smeli biti sovražni.
抵达	prispeti	Letalo je pravočasno prispelo v Peking.
抵抗	upirati se	Vaščani so se skupaj upirali poplavi.
抵制	bojkotirati; zavračati	Potrošniki so začeli bojkotirati nekakovostne izdelke.
地步	stanje; stopnja	Zadeva še ni prišla do tako resne stopnje.
地势	teren	Tukaj je teren višji, zato se voda ne nabira zlahka.
地质	geologija	Strokovnjaki raziskujejo lokalne geološke razmere.
递增	postopoma naraščati	Prodaja je naraščala tri mesece zapored.
颠簸	neraven; tresti	Planinska cesta je zelo neravna, zato vozite previdno.
颠倒	obrniti; zamenjati	Zamenjal si vrstni red teh dveh številk.
典礼	slovesnost	Slovesnost ob diplomi bo potekala v avli.
典型	tipičen primer	To je tipičen primer uspeha.
点缀	okrasiti	Nekaj drobnih cvetov je okrasilo jedilno mizo.
垫	podložiti; podloga	Prosimo, položite ta list papirja pod skodelico.
奠定	postaviti temelj	To sodelovanje je postavilo temelj dolgoročnega odnosa.
惦记	skrbeti; misliti z zaskrbljenostjo	Mati ves čas skrbi za otroka daleč stran.
电源	napajanje	Pred odhodom prosimo izklopite napajanje.
叼	držati v gobcu	Tisti pes drži kost v gobcu.
雕刻	rezbariti; vrezovati	Rad rezbari vzorce v les.
雕塑	skulptura	Sredi trga stoji skulptura.
吊	dvigniti; obesiti	Delavci so s strojem dvignili jekleni nosilec.
调动	premestiti; prerazporediti	Podjetje ga je premestilo na delo v Šanghaj.
跌	pasti	Cena delnic je danes spet padla.
丁	kockica	V receptu piše, da je treba krompir narezati na kockice.
叮嘱	večkrat opomniti	Učitelj nas je večkrat opomnil, naj pazimo na varnost.
盯	strmeti	Prosimo, ne strmite ves čas v druge.
定期	reden	Zdravnik mu je priporočil redne zdravstvene preglede.
定义	definicija	Prosimo, najprej razložite definicijo tega pojma.
丢人	osramotiti se	Lagati v javnosti je res sramotno.
丢三落四	pozabljiv	Vedno je pozabljiv in ob odhodu pogosto pozabi ključe.
东道主	gostitelj	Kot gostitelji moramo dobro poskrbeti za goste.
东张西望	ozirati se naokrog	Med poukom se ne oziraj naokrog.
董事长	predsednik uprave	Predsednik uprave se je danes udeležil sestanka.
冻结	zamrzniti	Banka je začasno zamrznila ta račun.
动荡	nemir; pretres	Vojna je to območje dolgo ohranjala v nemiru.
动机	motiv	Policija preiskuje njegov motiv.
动静	zvok ali premik	V sobi ni bilo niti najmanjšega zvoka ali premika.
动力	motivacija; gonilna sila	Zanimanje je motivacija za učenje.
动脉	arterija	Zdravnik mu je pregledal arterijo.
动身	odpraviti se	Jutri zgodaj zjutraj se odpravimo na letališče.
动手	začeti; udariti	Zadeva še ni jasna, zato naj nihče ne začne pretepa.
动态	razvoj; dogajanje	Prosimo, sproti spremljajte razvoj projekta.
动员	mobilizirati	Šola je mobilizirala učence za prostovoljske dejavnosti.
