source_headword	LT	example_LT
mental	psichikos	Stresas veikia psichikos sveikatą.
mess	netvarka	Sutvarkyk šią netvarką.
mild	švelnus	Sriuba yra švelnaus skonio.
mine (hole in the ground)	kasykla	Kasykla uždaryta pernai.
mix	maišyti	Sumaišyk kiaušinius su pienu.
mixture	mišinys	Mišinys tapo tirštas.
mood	nuotaika	Muzika pakeitė jos nuotaiką.
mud	purvas	Jo batai buvo padengti purvu.
murder	žmogžudystė	Žmogžudystė įvyko naktį.
muscle	raumuo	Pratimai stiprina raumenis.
mystery	paslaptis	Senas namas yra paslaptis.
nail	nagas	Nusilaužiau nagą.
narrative	pasakojimas	Romanas turi aiškų pasakojimą.
nation	tauta	Visa tauta šventė.
native	gimtoji	Ispanų kalba yra jos gimtoji kalba.
naturally	natūraliai	Vaikai natūraliai mokosi žaisdami.
necessarily	būtinai	Brangus maistas nebūtinai yra geresnis.
needle	adata	Adata yra labai aštri.
neighbourhood	rajonas	Jie gyvena ramiame rajone.
net	tinklas	Žvejys pataisė savo tinklą.
nor	nei	Jis nei nusišypsojo, nei prabilo.
northern	šiaurinis	Jie aplankė šiaurinę pakrantę.
nuclear	branduolinis	Diskusija buvo apie branduolinę energiją.
obvious	akivaizdus	Atsakymas buvo akivaizdus.
obviously	akivaizdžiai	Akivaizdžiai mums reikia daugiau laiko.
occasion	proga	Tai ypatinga proga.
occur	įvykti	Nelaimės gali įvykti bet kur.
odd	keistas	Tai buvo keistas klausimas.
official	oficialus	Oficialus rezultatas atvyko šiandien.
old-fashioned	senamadiškas	Jos telefonas atrodo senamadiškas.
operation	operacija	Operacija truko dvi valandas.
organized	tvarkingas	Jos stalas labai tvarkingas.
organizer	organizatorius	Organizatorius pasveikino svečius.
originally	iš pradžių	Iš pradžių ji atvyko iš Kanados.
ought modal	turėtų	Turėtum pailsėti.
ours	mūsų	Šis stalas yra mūsų.
outdoor	lauko	Nusipirkome lauko baldų.
outdoors	lauke	Vaikai turėtų žaisti lauke.
package	paketas	Paketas atvyko šį rytą.
painful	skausmingas	Įpjovimas buvo skausmingas.
pale	išbalęs	Jo veidas atrodė išbalęs.
pan	keptuvė	Pirmiausia įkaitink keptuvę.
participate	dalyvauti	Visi gali dalyvauti.
particularly	ypač	Man ypač patinka ši daina.
passion	aistra	Muzika yra jos aistra.
path	takas	Eik taku per parką.
payment	mokėjimas	Mokėjimas turi būti atliktas rytoj.
peaceful	ramus	Sodas yra ramus.
percentage	procentas	Mažas procentas sutiko.
perfectly	puikiai	Planas puikiai suveikė.
performance	pasirodymas	Jos pasirodymas buvo puikus.
personally	asmeniškai	Aš asmeniškai mėgstu arbatą.
persuade	įtikinti	Ar gali įtikinti jį prisijungti?
photographer	fotografas	Fotografas padarė daug nuotraukų.
photography	fotografija	Fotografija yra jo mėgstamiausias hobis.
pin	smeigtukas	Įsmeik smeigtuką į žemėlapį.
pipe	vamzdis	Vamzdis perneša vandenį.
planning	planavimas	Planavimas užima laiko.
pleasant	malonus	Turėjome malonų vakarą.
pleasure	malonumas	Buvo malonu su tavimi susipažinti.
plenty	pakankamai	Turime pakankamai laiko.
plot	siužetas	Siužetą buvo lengva sekti.
plus1	plius	Du plius trys yra penki.
poem	eilėraštis	Ji parašė trumpą eilėraštį.
poet	poetas	Poetas skaitė garsiai.
poetry	poezija	Jam patinka šiuolaikinė poezija.
poison	nuodai	Laikyk nuodus toliau nuo vaikų.
poisonous	nuodingas	Kai kurie grybai yra nuodingi.
policy	politika	Įmonė pakeitė savo politiką.
political	politinis	Kalba buvo politinė.
politician	politikas	Politikas atsakinėjo į klausimus.
politics	politika	Politika gali būti sudėtinga.
port	uostas	Laivas įplaukė į uostą.
portrait	portretas	Portretas kabo koridoriuje.
possibly	galbūt	Ji galbūt atvyks vėlai.
pot	vazonas	Augalui reikia didesnio vazono.
pour	pilti	Pilk pieną lėtai.
poverty	skurdas	Daug šeimų gyvena skurde.
powder	milteliai	Įpilk miltelių į vandenį.
powerful	galingas	Variklis yra galingas.
practical	praktiškas	Tai praktiškas sprendimas.
pray	melstis	Jie meldžiasi kiekvieną rytą.
prayer	malda	Ji tyliai sukalbėjo maldą.
prediction	prognozė	Jo prognozė buvo teisinga.
prepared	pasiruošęs	Esu pasiruošęs egzaminui.
presentation	pristatymas	Jos pristatymas buvo aiškus.
press	paspausti	Paspausk mygtuką vieną kartą.
pressure	spaudimas	Spaudimas gali paveikti tavo sveikatą.
pretend	apsimesti	Neapsimesk, kad miegi.
previous	ankstesnis	Ankstesnė pamoka buvo lengvesnė.
previously	anksčiau	Anksčiau gyvenome Romoje.
priest	kunigas	Kunigas kalbėjo tyliai.
primary	pagrindinis	Sveikata yra mūsų pagrindinis rūpestis.
prince	princas	Princas aplankė mokyklą.
princess	princesė	Princesė vilkėjo mėlyną suknelę.
printing	spausdinimas	Ataskaitos spausdinimas užtruko kelias minutes.
prisoner	kalinys	Kalinys pabėgo naktį.
private	privatus	Tai privatus pokalbis.
producer	prodiuseris	Prodiuseriui patiko filmas.
production	gamyba	Gamyba prasidės kitą savaitę.
profession	profesija	Mokymas yra gerbiama profesija.
profit	pelnas	Parduotuvė gavo pelno.
promote	skatinti	Jie skatina sveiką mitybą.
proper	tinkamas	Žygiui avėk tinkamus batus.
properly	tinkamai	Tinkamai uždaryk duris.
property	nuosavybė	Jie nusipirko nuosavybę prie upės.
protest	protestas	Protestas baigėsi taikiai.
proud	išdidus	Ji didžiavosi savo sūnumi.
prove	įrodyti	Ar gali įrodyti savo atsakymą?
punish	bausti	Mokytojas jo nenubaudė.
punishment	bausmė	Bausmė atrodė teisinga.
qualification	kvalifikacija	Šiam darbui reikia kvalifikacijos.
qualified	kvalifikuotas	Ji yra kvalifikuota slaugytoja.
qualify	kvalifikuotis	Mūsų komanda gali kvalifikuotis.
queue	eilė	Laukėme ilgoje eilėje.
quit	mesti	Jis nusprendė mesti rūkyti.
quotation	citata	Rašinys prasideda citata.
quote	cituoti	Ar galiu cituoti tavo žodžius?
race (people)	rasė	Formoje klausiama apie rasę.
racing	lenktynės	Žirgų lenktynės ten populiarios.
range	asortimentas	Parduotuvė parduoda platų asortimentą.
rare	retas	Šis paukštis retas.
rarely	retai	Retai valgome mieste.
reaction	reakcija	Jos reakcija mane nustebino.
reality	tikrovė	Tikrovė skyrėsi nuo jo sapno.
receipt	kvitas	Išsaugok kvitą.
recommendation	rekomendacija	Ačiū už rekomendaciją.
reference	nuoroda	Pabaigoje pridėk nuorodą.
reflect	atspindėti	Veidrodis gali atspindėti šviesą.
regularly	reguliariai	Ji reguliariai sportuoja.
reject	atmesti	Jie gali atmesti pasiūlymą.
relate	tapatintis	Galiu tapatintis su ta istorija.
related	susijęs	Dvi problemos yra susijusios.
relation	ryšys	Tarp jų yra ryšys.
relative	santykinis	Greitis yra santykinis.
relaxed	atsipalaidavęs	Po vakarienės jis jautėsi atsipalaidavęs.
relaxing	atpalaiduojantis	Muzika buvo atpalaiduojanti.
release	išleisti	Jie netrukus išleis filmą.
reliable	patikimas	Šis autobusas paprastai patikimas.
religion	religija	Religija jai svarbi.
religious	religinis	Jie aplankė religinį pastatą.
remain	likti	Prašau likti ramus.
remind	priminti	Primink man rytoj.
remote	atokus	Jie gyvena atokiame kaime.
rent	nuoma	Nuoma turi būti sumokėta šiandien.
repeated	pasikartojantis	Pasikartojančios klaidos sulėtino darbą.
represent	reikšti	Žvaigždė reiškia viltį.
require	reikalauti	Šiam darbui reikės mokymų.
reservation	rezervacija	Padariau rezervaciją.
resource	išteklius	Biblioteka yra naudingas išteklius.
respect	gerbti	Gerbk savo klasės draugus.
responsibility	atsakomybė	Vaikų priežiūra yra didelė atsakomybė.
responsible	atsakingas	Ji atsakinga už bilietus.
retire	išeiti į pensiją	Mano tėvas netrukus išeis į pensiją.
retired	pensijoje esantis	Jis yra pensijoje esantis mokytojas.
revise	peržiūrėti	Šį vakarą peržiūrėk savo rašinį.
risk	rizika	Yra lietaus rizika.
robot	robotas	Robotas išvalė grindis.
roll	ridenti	Ridenk kamuolį man.
romantic	romantiškas	Jie turėjo romantišką vakarienę.
rope	virvė	Tvirtai surišk virvę.
rough	nelygus	Kelias buvo nelygus.
row1	eilė	Sėsk į pirmą eilę.
royal	karališkasis	Karališkoji šeima atvyko.
rugby	regbis	Žiūrėjome regbį per televizorių.
safety	sauga	Sauga darbe yra svarbi.
sailor	jūreivis	Jūreivis pataisė valtį.
sample	mėginys	Slaugytoja paėmė kraujo mėginį.
sand	smėlis	Smėlis uždengė mano batus.
scan	nuskaityti	Pirmiausia nuskaityk dokumentą.
scientific	mokslinis	Tai mokslinis metodas.
script	scenarijus	Aktorius perskaitė scenarijų.
sculpture	skulptūra	Skulptūra stovi lauke.
secondary	antrinis	Tai antrinė problema.
security	apsauga	Apsauga patikrino mūsų krepšius.
seed	sėkla	Pasodink sėklą į dirvą.
sensible	protingas	Tai protinga idėja.
seriously	rimtai	Į šią problemą žiūrėk rimtai.
servant	tarnas	Tarnas atidarė duris.
set (put)	padėti	Padėk stiklinę ant stalo.
set (group)	rinkinys	Šiame rinkinyje yra šeši puodeliai.
setting	aplinka	Istorijos aplinka yra miestas.
sex	lytis	Formoje prašoma amžiaus ir lyties.
sexual	seksualinis	Klasė aptarė seksualinę sveikatą.
sharp	aštrus	Šis peilis aštrus.
shelf	lentyna	Padėk knygą ant lentynos.
shell	kriauklė	Kriauklė buvo tuščia.
shift	pamaina	Mano pamaina prasideda aštuntą.
shine	šviesti	Žvaigždės šviečia naktį.
shiny	blizgus	Jos batai blizgūs.
shoot	fotografuoti	Fotografas fotografuos sceną.
shy	drovus	Jis drovus su nepažįstamais žmonėmis.
sight	vaizdas	Kalnas buvo gražus vaizdas.
signal	signalas	Signalas buvo silpnas.
silent	tylus	Kambarys tapo tylus.
silly	kvailas	Tai buvo kvaila klaida.
similarity	panašumas	Yra aiškus panašumas.
similarly	panašiai	Antras planas veikia panašiai.
simply	tiesiog	Tiesiog paspausk šį mygtuką.
sink	skęsti	Sunkūs akmenys greitai skęsta.
slice	riekė	Suvalgiau torto riekę.
slightly	šiek tiek	Kambarys šiek tiek šiltesnis.
smart	elegantiškas	Ji vilkėjo elegantišką švarką.
smooth	lygus	Kelias lygus.
software	programinė įranga	Programinei įrangai reikia atnaujinimo.
soil	dirvožemis	Dirvožemis sausas.
solid	tvirtas	Siena tvirta.
southern	pietinis	Jie gyvena pietinėje pakrantėje.
specifically	konkrečiai	Konkrečiai paprašiau arbatos.
spending	išlaidos	Vyriausybės išlaidos padidėjo.
spicy	aštrus	Šis karis aštrus.
spirit	ryžtas	Komanda parodė didelį ryžtą.
spoken	šnekamoji	Šnekamoji anglų kalba gerėja praktikuojantis.
spot	vieta	Ši vieta tobula.
spread	tepti	Užtepk sviesto ant duonos.
stadium	stadionas	Stadionas buvo pilnas.
staff	personalas	Personalas buvo paslaugus.
standard	standartas	Standartas buvo aukštas.
statistic	statistika	Ši statistika stebina.
statue	statula	Statula stovi aikštėje.
stick (push into/attach)	klijuoti	Priklijuok etiketę ant dėžės.
stick (piece of wood)	lazda	Jis pakėlė lazdą.
