simplified	IT	example_IT
参观	visitare; fare una visita	Voglio visitare la Grande Muraglia nel fine settimana.
餐厅	il ristorante; la mensa	Ha aperto un nuovo ristorante vicino alla scuola.
厕所	il bagno; la toilette	Il bagno degli uomini è al primo piano.
差不多	quasi; circa; più o meno	Mi alzo più o meno alle sette ogni giorno.
尝	assaggiare; provare	Vieni ad assaggiare i piatti che ho preparato. Come sono?
长城	la Grande Muraglia	Voglio visitare la Grande Muraglia nel fine settimana.
长江	il fiume Yangtze	Lo Yangtze è il fiume più lungo della Cina.
场	l'evento; il luogo; il classificatore per eventi	Questa pioggia è arrivata proprio in tempo.
超过	superare; eccedere	Ogni giorno partono da qui più di trecento voli.
乘坐	prendere; viaggiare su	Benvenuti su questo volo.
成功	il successo; avere successo	L'impegno è la garanzia del successo.
成为	diventare	Fin da piccolo volevo diventare poliziotto.
诚实	onesto; l'onestà	Le persone oneste meritano il nostro rispetto.
吃惊	sorprendersi; restare stupito	Lui è rimasto molto sorpreso sentendo la notizia.
重新	di nuovo; ancora una volta	Lui ha ripetuto la questione un'altra volta.
抽烟	fumare	Mi dispiace, in ospedale non è permesso fumare.
出差	andare in viaggio d'affari	Papà è in viaggio d'affari da più di un mese.
出发	partire; mettersi in viaggio	Sono partito da Pechino per Shanghai.
出生	nascere	Sono nato in una piccola città.
出现	apparire; sorgere	Sono comparsi molti problemi nel nostro lavoro.
厨房	la cucina	Il coltello da frutta è in cucina.
传真	il fax	Per favore, mandami un fax.
窗户	la finestra	Ho già pulito le finestre.
词语	la parola; l'espressione	Per favore, usa queste parole per dire alcune frasi.
从来	sempre; mai prima	Non l'ho mai visto.
粗心	sbadato; distratto	Sei molto sbadato.
存	conservare; depositare; esistere	Ho depositato i soldi in banca.
错误	l'errore; sbagliato	Grazie per avermi fatto notare il mio errore.
答案	la risposta; la soluzione	La tua risposta è corretta.
打扮	prepararsi; vestirsi	Lei si è vestita in modo semplice ed è uscita.
打扰	disturbare; interrompere	Scusa se ti disturbo un momento.
打印	stampare	Questi materiali sono già stati stampati.
打招呼	salutare	Lui mi ha salutato con un sorriso.
打折	fare uno sconto	Prima della Festa di Primavera, i centri commerciali fanno sconti.
打针	fare un'iniezione; ricevere un'iniezione	Il figlio ha molta paura delle iniezioni.
大概	probabilmente; circa	Probabilmente non verrà.
大使馆	l'ambasciata	Domani vado all'ambasciata a richiedere il visto.
大约	circa; approssimativamente	Ha circa trent'anni.
大夫	il medico	Dottor Li, sarà in ospedale domani mattina?
戴	indossare; portare	Lui porta questi occhiali neri.
当	essere; fare da	Voglio fare il medico.
当时	in quel momento; allora	Non ricordo la situazione di quel momento.
刀	il coltello	Il coltello da frutta è in cucina.
导游	la guida turistica	Mia sorella maggiore è una guida turistica.
倒	cadere; rovesciare	Il vento forte ha abbattuto l'albero.
到处	dappertutto; ovunque	Nel parco ci sono fiori dappertutto.
到底	alla fine; esattamente	Che cosa significa questa frase?
道歉	scusarsi; chiedere scusa	Gli ho già chiesto scusa.
得	dovere; avere bisogno di	Domani ho un esame, quindi devo andare a letto presto.
得意	orgoglioso di sé; soddisfatto	Tutti sono molto orgogliosi del successo del lavoro.
登机牌	la carta d'imbarco	Per favore, prendi la carta d'imbarco e preparati a salire sull'aereo.
等	eccetera; e così via	Sul tavolo ci sono frutti come mele, banane e così via.
低	basso	Più alto, adesso è troppo basso.
底	il fondo; la base	Il fondo del bicchiere è pulito.
地点	il luogo; la sede	Il luogo della riunione è nella sala riunioni al terzo piano.
地球	la Terra; il pianeta	La maggior parte della superficie della Terra è oceano.
地址	l'indirizzo	Per favore, scrivi il tuo indirizzo.
掉	cadere; far cadere	La chiave è caduta per terra.
调查	indagare; l'indagine	La polizia sta indagando.
丢	perdere; buttare	Hai perso lo zaino?
动作	il movimento; l'azione	Ti insegnerò a ballare; i movimenti sono molto semplici.
堵车	l'ingorgo; il traffico	Ero per strada e c'era di nuovo traffico.
肚子	la pancia; lo stomaco	Mi fa male lo stomaco.
短信	il messaggio di testo; l'SMS	Se succede qualcosa, mandami un messaggio o chiamami.
对话	il dialogo	Questo dialogo è piuttosto semplice; riesco a capirlo.
对面	di fronte; il lato opposto	Abito proprio di fronte alla scuola.
对于	riguardo a; per quanto riguarda	Ho un'opinione diversa su questa questione.
儿童	il bambino; i bambini	I bambini sotto un metro e venti possono comprare un biglietto ridotto.
而	e; ma; mentre	Questo capo è economico e bello.
发生	accadere; succedere	La situazione è cambiata molto.
发展	svilupparsi; lo sviluppo	L'economia si è sviluppata rapidamente negli ultimi anni.
法律	la legge; il diritto	All'università studio diritto.
翻译	tradurre; l'interprete	Per favore, traduci questo articolo in cinese.
烦恼	la preoccupazione; preoccuparsi	Non preoccuparti più di questo.
反对	opporsi; essere contrario	Tutti si oppongono a questo piano.
方法	il metodo; il modo	Troveremo sicuramente una soluzione al problema.
方面	l'aspetto; il campo	A papà piace leggere libri di storia.
方向	la direzione	È questa la direzione? Credo che ci siamo persi.
房东	il padrone di casa; la padrona di casa	Il mio padrone di casa è molto gentile e mi aiuta spesso.
放弃	rinunciare; abbandonare	Ho rinunciato all'opportunità di studiare all'estero.
放暑假	essere in vacanza estiva	Domani iniziano le vacanze estive.
放松	rilassarsi; rilassare	L'esame è finito; dobbiamo rilassarci.
份	la copia; la porzione; l'esemplare	Per favore, mandami un fax.
丰富	ricco; abbondante	Leggere può arricchire la nostra vita.
否则	altrimenti; se no	Andiamo adesso, altrimenti faremo tardi.
符合	corrispondere a; essere conforme a	Lei soddisfa molto bene i nostri criteri di assunzione.
付款	pagare; il pagamento	Gli acquisti si possono pagare online.
复印	fotocopiare	Per favore, fai due copie di questo materiale.
复杂	complicato; complesso	Questo è un problema tecnico complesso.
富	ricco	La vita delle persone sta diventando più ricca.
父亲	il padre	Mio padre quest'anno ha ottantatré anni.
负责	essere responsabile; occuparsi di	Xiao Li è molto responsabile.
改变	cambiare; modificare	Ho cambiato il mio piano.
干杯	brindare; salute	Buone feste a tutti, salute!
感动	commuovere; commosso	Le sue parole mi hanno commosso molto.
感觉	sentire; la sensazione	Oggi sento un po' freddo.
感情	il sentimento; il rapporto	Il rapporto tra loro è molto buono.
感谢	ringraziare; il ringraziamento	Grazie per il tuo aiuto.
敢	osare; avere il coraggio	Non oso andarci senza compagnia.
赶	affrettarsi; raggiungere	Grazie per essere venuto ad aiutarmi in tempo.
干	fare; lavorare	Che cosa stai facendo?
刚	appena; proprio	Per favore, perdona quello che ho appena detto.
高速公路	l'autostrada	Qui è stata costruita una nuova autostrada.
胳膊	il braccio	Gli fa un po' male il braccio.
各	ogni; ciascuno	Al supermercato ci sono frutti di ogni tipo.
公里	il chilometro	La distanza tra le due città è di trecento chilometri.
功夫	il kung fu; l'abilità	Ultimamente sto imparando il kung fu cinese.
工资	lo stipendio; il salario	Il suo nuovo lavoro è ben pagato.
共同	comune; congiunto	Abbiamo un obiettivo comune.
够	essere sufficiente; abbastanza	Oggi fa abbastanza freddo.
购物	lo shopping; fare acquisti	Gli acquisti si possono pagare online.
估计	stimare; supporre	Suppongo che siano già arrivati all'aeroporto.
鼓励	incoraggiare	I genitori dovrebbero incoraggiare di più i figli.
故意	apposta; intenzionalmente	Scusa, non l'ho fatto apposta.
顾客	il cliente; la cliente	I clienti sono diminuiti di un terzo.
挂	appendere; riattaccare	Per favore, non riattaccare.
关键	la chiave; il punto cruciale	Questo non è il punto cruciale del problema.
观众	il pubblico; gli spettatori	Salve, amici davanti alla televisione.
管理	gestire; amministrare	Chi gestisce questa casa adesso?
光	la luce; la luminosità	La luce del sole oggi è molto forte.
广播	la radio; la trasmissione	Il nonno sta ascoltando la radio.
广告	la pubblicità; l'annuncio	Ho visto il vostro annuncio sul giornale.
逛	passeggiare; fare un giro	Andiamo a fare un giro al centro commerciale questo fine settimana.
规定	la regola; stabilire	La scuola ha le proprie regole.
国籍	la nazionalità	Per favore, scrivi la tua nazionalità sul modulo.
国际	internazionale	Questa è una riunione internazionale.
果汁	il succo di frutta	Vorrei bere un bicchiere di succo.
过程	il processo	Il processo di apprendimento è importante.
海洋	l'oceano	La maggior parte della superficie della Terra è oceano.
害羞	timido; imbarazzarsi	La prima volta che è salita sul palco era un po' timida.
寒假	le vacanze invernali	Voglio viaggiare verso sud durante le vacanze invernali.
汗	il sudore	Fa caldo; asciugati il sudore con un asciugamano.
航班	il volo	Benvenuti su questo volo.
好处	il vantaggio; il beneficio	Leggere di più ha molti vantaggi.
好像	sembrare; come se	Sembra che ci sia un malinteso tra noi.
号码	il numero	Per favore, dammi il tuo numero di telefono.
合格	qualificato; conforme allo standard	Questo prodotto soddisfa lo standard di qualità.
合适	adatto; appropriato	Questo paio di scarpe mi va bene.
盒子	la scatola	La scatola è vuota, non c'è niente dentro.
厚	spesso	Questo libro è spesso.
后悔	pentirsi	Mi pento di non avertelo detto prima.
互联网	Internet	Internet ha portato molta comodità nella vita delle persone.
互相	a vicenda; reciprocamente	Noi due dobbiamo sostenerci a vicenda.
护士	l'infermiere; l'infermiera	L'infermiera sta facendo un'iniezione al paziente.
怀疑	sospettare; dubitare	Sospetto che abbia dimenticato la riunione di oggi.
回忆	ricordare; il ricordo	Spesso ricordiamo cose dell'infanzia.
活动	l'attività; muoversi	Sono andato al parco a fare un po' di movimento.
活泼	vivace; animato	Questo bambino è molto vivace.
火	il fuoco	Il fuoco è pericoloso, fai attenzione.
获得	ottenere; ricevere	Non puoi essere troppo orgoglioso del successo.
基础	la base; il fondamento	Per favore, fai una modifica sulla base originale.
激动	emozionato; emozionante	Questa notizia è davvero emozionante.
积极	attivo; positivo	Lui studia cinese in modo attivo.
积累	accumulare; l'accumulo	Ha accumulato molta esperienza nel lavoro.
即使	anche se; perfino se	Non arrenderti anche se incontri difficoltà.
及时	in tempo; tempestivo	Questa pioggia è arrivata proprio in tempo.
寄	spedire; inviare per posta	La tua lettera è arrivata.
技术	la tecnologia; la tecnica	Questo è un problema tecnico complesso.
既然	dato che; poiché	Dato che sei qui, mangiamo insieme.
继续	continuare; proseguire	Lui ha espresso il desiderio di continuare a lavorare in azienda.
计划	il piano; pianificare	Ho cambiato il mio piano.
记者	il giornalista; la giornalista	Il giornalista sta intervistando il preside.
加班	fare straordinari	Questa settimana abbiamo fatto straordinari quasi ogni giorno.
加油站	la stazione di servizio	C'è una stazione di servizio vicino a casa tua?
家具	i mobili	Abbiamo cambiato i mobili dopo il trasloco.
假	falso; artificiale	Questo biglietto è falso.
价格	il prezzo	Dall'anno scorso il prezzo delle auto sta diminuendo.
坚持	insistere; perseverare	Lui ha sempre insistito sulla sua opinione.
减肥	dimagrire; perdere peso	Corro ogni giorno per dimagrire.
减少	ridurre; diminuire	I clienti sono diminuiti di un terzo.
建议	suggerire; il suggerimento	Propongo di prendere un giorno libero domani.
将来	il futuro; in futuro	Che lavoro pensi di fare in futuro?
奖金	il bonus; il premio in denaro	Alla fine dell'anno abbiamo ricevuto un bonus.
降低	ridurre; abbassare	È arrivato l'autunno e la temperatura comincia a scendere.
降落	atterrare	L'aereo atterrerà presto.
交	consegnare; pagare; fare amicizia	Ho fatto molti amici cinesi.
交流	scambiare; lo scambio	Gli scambi culturali tra paesi stanno diventando sempre più ricchi.
交通	il trasporto; il traffico	I trasporti qui sono comodi.
郊区	la periferia	Lui vive nella periferia della città.
骄傲	orgoglioso; arrogante	Non puoi essere troppo orgoglioso del successo.
饺子	i jiaozi; i ravioli cinesi	I cinesi mangiano jiaozi durante la Festa di Primavera.
教授	il professore; la professoressa	Lui è professore universitario.
教育	educare; l'educazione	Bisogna educare i bambini a essere pazienti.
接受	accettare	Accetto tutte le tue opinioni.
接着	continuare; poi	Lui ha pensato per un po' e poi ha scritto.
结果	il risultato	Hai guardato la partita? Qual è stato il risultato?
节	la festa; la festività	Che festa è oggi?
节约	risparmiare; economizzare	Per favore, risparmia acqua.
解释	spiegare; la spiegazione	Lui ha spiegato molto chiaramente il motivo.
尽管	nonostante; sebbene	Anche se lo conosco da molto tempo, non lo capisco.
紧张	nervoso; teso	Era nervoso per la prima esibizione.
禁止	vietare; proibire	Qui è vietato fumare.
进行	svolgere; essere in corso	La partita è ancora in corso.
京剧	l'opera di Pechino	Lei è una famosa attrice dell'opera di Pechino.
精彩	meraviglioso; splendido	Lo spettacolo di oggi è stato fantastico!
经济	l'economia; economico	L'economia si è sviluppata rapidamente negli ultimi anni.
经历	l'esperienza; vivere un'esperienza	Lei ha scritto un articolo sulla sua esperienza di viaggio.
经验	l'esperienza	Lui è un insegnante esperto.
景色	il paesaggio; la vista	Al tramonto, il paesaggio sul mare è bellissimo.
警察	la polizia; il poliziotto	La polizia sta indagando.
竞争	competere; la competizione	Lui è molto sicuro di sé e gli piace competere con gli altri.
竟然	inaspettatamente; sorprendentemente	Non avrei mai pensato che fosse una persona così.
镜子	lo specchio	Scusa, ho rotto lo specchio.
究竟	esattamente; in fin dei conti	Perché stai piangendo?
举	alzare; sollevare; citare	Per favore, alza la mano per rispondere alla domanda.
举办	organizzare; tenere	Questo evento è organizzato da noi.
举行	tenere; svolgere	La riunione si terrà alle due.
拒绝	rifiutare; respingere	Lui ha rifiutato l'invito di tutti.
聚会	la festa; la riunione	Domani c'è una festa. Vuoi partecipare?
距离	la distanza; essere distante	Casa mia è lontana dall'azienda.
开玩笑	scherzare; prendere in giro	Stai scherzando?
开心	essere felice; divertirsi	Mia sorella ha sorriso felicemente.
看法	l'opinione; il punto di vista	Lui ha sempre insistito sulla sua opinione.
烤鸭	l'anatra arrosto	L'anatra arrosto di Pechino è famosa.
考虑	considerare; pensarci su	Prenderò seriamente in considerazione questa questione.
棵	classificatore per alberi e piante	Quell'albero è alto e grande.
科学	la scienza; scientifico	A scuola ha imparato molte conoscenze scientifiche.
咳嗽	tossire; la tosse	Lui ha il raffreddore e tossisce molto.
可怜	povero; pietoso	Questo bambino non riesce a trovare casa, poverino.
可是	ma; però	Anche se voglio davvero andare, non ho proprio tempo.
可惜	peccato; è un peccato	È un peccato che tu non possa venire alla nostra festa.
客厅	il soggiorno	Papà sta guardando la TV in soggiorno.
肯定	essere sicuro; certamente	Tornerò sicuramente prima delle cinque.
空	vuoto; libero	Questa stanza è vuota.
空气	l'aria	L'aria nel parco è molto fresca.
恐怕	temere; ho paura che	Temo che stia per piovere, hai portato l'ombrello?
苦	amaro; duro	Questa tazza di caffè è molto amara.
矿泉水	l'acqua minerale	Ho comprato due bottiglie di acqua minerale.
困	assonnato; stanco	Ho sonno e voglio andare a letto.
困难	la difficoltà; difficile	Questo compito è molto difficile per me.
垃圾桶	il cestino; il bidone della spazzatura	Per strada ci sono molti cestini.
拉	tirare; prendere per mano	La madre ha preso la mano della figlia.
辣	piccante	Non sono abituato a mangiare piatti troppo piccanti.
来不及	non fare in tempo	Stamattina mi sono alzato tardi e non ho fatto in tempo a fare colazione.
来得及	fare ancora in tempo	Il film non inizia prima delle nove e mezza, quindi c'è ancora tempo.
来自	venire da; provenire da	Vengo dalla provincia dello Shandong.
懒	pigro	Il mio gatto è molto pigro e dorme tutto il pomeriggio.
浪费	sprecare; lo spreco	Questo è solo uno spreco di tempo.
浪漫	romantico	Questo libro racconta una storia d'amore romantica.
老虎	la tigre	Ogni volta che vado allo zoo, la cosa preferita di mio figlio è guardare la tigre.
冷静	calmo; mantenere la calma	Non agitarti, per favore calmati.
理发	il taglio di capelli; tagliare i capelli	Quando vai a tagliarti i capelli?
理解	capire; comprendere	Riesci a capire questa domanda?
理想	l'ideale; il sogno	Qual è la tua carriera ideale?
礼拜天	la domenica	Sei libero questa domenica?
礼貌	la cortesia; le buone maniere	Questo bambino è molto educato.
例如	per esempio; ad esempio	Mi piacciono gli sport, per esempio correre e nuotare.
力气	la forza	Dopo aver camminato così tanto, ero troppo stanco per avere ancora forza.
厉害	grave; forte; difficile da sopportare	Stava molto male ed è stato ricoverato.
俩	due; entrambi	Noi due siamo buoni amici.
联系	il contatto; contattare	Sei ancora in contatto con i tuoi compagni di università?
连	collegare; perfino	Perché ti sei dimenticato di me?
凉快	fresco; piacevolmente fresco	Il tempo in autunno è molto fresco.
零钱	gli spiccioli; il resto	Può cambiarmi un po' di denaro in spiccioli?
另外	inoltre; un altro	Voglio parlarti di un'altra cosa.
流利	fluente	Parli cinese fluentemente.
流行	populare; essere di moda	A molti giovani piace la musica pop.
留	restare; lasciare	Per favore, lascia il tuo numero di telefono.
旅行	viaggiare; il viaggio	Abbiamo in programma di viaggiare nello Yunnan in estate.
乱	disordinato; confuso	Il cucciolo ha messo in disordine la stanza.
律师	l'avvocato	Mia madre è avvocato.
麻烦	il disturbo; fastidioso	Potresti aiutarmi a prendere una tazza?
马虎	sbadato; approssimativo	Un po' di disattenzione può causare errori.
满	pieno; colmo	Il bicchiere è pieno.
毛	il pelo; il mantello	Il pelo di questo gatto è bianco.
毛巾	l'asciugamano	Fa caldo; asciugati il sudore con un asciugamano.
美丽	bello	Lei è davvero una ragazza bella.
梦	il sogno	Questo è davvero un sogno interessante!
迷路	perdersi	Lui si è perso nella foresta.
密码	la password; il codice	Ho dimenticato la password della carta di credito.
免费	gratis; gratuito	In questo ristorante, le bevande sono gratis.
秒	il secondo	Per favore, aspettami dieci secondi.
民族	il gruppo etnico; la nazionalità	La Cina è un paese multietnico.
母亲	la madre	Permettimi di presentarti: questa è mia madre.
目的	lo scopo; l'obiettivo	Non capisco il suo scopo nel fare questo.
耐心	la pazienza; paziente	Bisogna educare i bambini a essere pazienti.
难道	possibile che; forse che	Possibile che questi piatti non siano buoni?
难受	sentirsi male; stare male	Ho il raffreddore e mi sento male.
内	dentro; interno	Per favore, completa il compito entro tre giorni.
内容	il contenuto	Il contenuto di questo articolo è molto interessante.
能力	la capacità; l'abilità	La sua capacità lavorativa è forte.
年龄	l'età	Chiedere l'età a qualcuno con disinvoltura è scortese.
弄	fare; sistemare; gestire	Il cucciolo ha messo in disordine la stanza.
暖和	caldo; tiepido	È arrivata la primavera e il tempo sta diventando più caldo.
偶尔	ogni tanto; occasionalmente	Ogni tanto la vedo a scuola.
排队	fare la fila	Le persone che comprano i biglietti stanno facendo la fila.
排列	disporre; sistemare	Per favore, disponi queste scatole in ordine dalla più grande alla più piccola.
判断	giudicare; il giudizio	Il tuo giudizio è completamente corretto.
陪	accompagnare; fare compagnia	Quando sono triste, tu sei sempre al mio fianco.
批评	criticare; la critica	Gli insegnanti mi criticano raramente.
皮肤	la pelle	La mamma presta molta attenzione a proteggere la pelle.
脾气	il carattere; il temperamento	Ha un buon carattere e non si arrabbia mai.
篇	il testo; il classificatore per scritti	Ho letto questo articolo molte volte.
骗	ingannare; mentire	Non ti ho mentito, è venuto davvero.
乒乓球	il ping-pong; il tennistavolo	Chi vuole partecipare a una partita di ping-pong?
平时	di solito; normalmente	Lei fa esercizio raramente.
破	rotto; danneggiato	Scusa, ho rotto lo specchio.
葡萄	l'uva	L'uva costa cinque yuan per mezzo chilo.
普遍	comune; generale	Questo problema è comune.
普通话	il mandarino; il putonghua	Parli mandarino molto bene.
其次	in secondo luogo; poi	La sicurezza viene prima, e la velocità viene dopo.
其中	tra questi; fra loro	Nella nostra classe ci sono venti studenti, cinque dei quali vengono dall'estero.
气候	il clima	Riesci ad adattarti al clima del nord?
千万	assolutamente; dieci milioni	Non devi assolutamente dimenticare la riunione di domani.
签证	il visto	Domani vado all'ambasciata a richiedere il visto.
敲	bussare; colpire	Qualcuno bussa alla porta, vai a vedere chi è.
桥	il ponte	C'è un piccolo ponte sul fiume.
巧克力	il cioccolato	Amo soprattutto il cioccolato.
亲戚	il parente	La maggior parte dei miei parenti vive a Pechino.
轻	leggero; facile	Questa scatola è leggera.
轻松	rilassato; facile	Questo lavoro non è facile per lui.
情况	la situazione; le circostanze	La situazione è cambiata molto.
穷	povero; esaurito	Anche se l'anziano è molto povero, vive felicemente.
区别	la differenza; distinguere	C'è qualche differenza tra questi due materiali?
取	prendere; ritirare	Vado in banca a prelevare denaro.
全部	tutto; intero	La musica è tutto per me.
缺点	il difetto; il punto debole	Non bisogna confrontare i propri difetti con i pregi degli altri.
缺少	mancare; la mancanza	Guarda cosa manca ancora, lo comprerò adesso.
却	però; tuttavia	Ho molte cose da dire, ma quando mi innervosisco non riesco a parlare.
确实	davvero; effettivamente	Questo metodo è davvero buono.
然而	tuttavia; però	Ho passato molto tempo a leggere questo libro, però non l'ho ancora finito.
热闹	animato; vivace	La strada è molto animata.
任何	qualsiasi; qualunque	La mamma mi conosce meglio di chiunque altro.
任务	il compito; la missione	L'ottanta per cento del compito è completato.
扔	buttare; gettare	Per favore, butta la spazzatura nel cestino.
仍然	ancora; tuttora	Oggi il tempo è ancora bello.
日记	il diario	La figlia ha preso l'abitudine di scrivere il diario ogni giorno.
入口	l'ingresso	Ti sto aspettando all'ingresso dell'edificio.
散步	fare una passeggiata	Il cucciolo continuava a seguirmi mentre passeggiavo.
森林	la foresta	Questa foresta è molto grande.
沙发	il divano	Per favore, siediti un momento sul divano, ti verso una tazza di tè.
伤心	triste; addolorato	Dopo aver sentito la notizia, ero molto triste.
商量	discutere; consultarsi	Sei arrivato proprio al momento giusto, discutiamone.
稍微	un po'	Un po' di disattenzione può causare errori.
勺子	il cucchiaio; il mestolo	Scusa, ho fatto cadere il cucchiaio per terra.
社会	la società	Tutti sono molto preoccupati per questi problemi sociali.
深	profondo; tardi	Tra noi c'è una profonda amicizia.
申请	fare domanda; la richiesta	Ho richiesto una carta di credito alla banca.
甚至	persino; addirittura	Tutti si sono divertiti molto e hanno persino dimenticato il tempo.
生活	la vita; vivere	Nella vita ci sono sempre alcuni problemi.
生命	la vita	Lui considerava l'arte più importante della propria vita.
生意	gli affari; l'attività	I suoi affari stanno diventando sempre più grandi.
省	la provincia	Vengo dalla provincia dello Shandong.
剩	restare; rimanere	Sono rimaste solo due mele.
失败	fallire; il fallimento	Anche se ho vissuto molti fallimenti, non mi arrendo mai.
失望	deluso; la delusione	Sono molto deluso da lui.
师傅	il maestro; signore	Mi scusi, come arrivo al cinema?
十分	molto; estremamente	Lei fa le cose con molta attenzione.
实际	reale; pratico	Lui ha usato un esempio pratico per spiegare questo problema.
实在	davvero; veramente	Sono davvero stanco.
使	fare; causare	Le sue parole mi hanno commosso molto.
使用	usare; utilizzare	I cinesi di solito usano le bacchette per mangiare.
世纪	il secolo	Ora siamo nel ventunesimo secolo.
是否	se; se oppure no	Non sono sicuro se lui possa venire.
适合	essere adatto; andare bene	Non mi sta molto bene indossare vestiti verdi.
适应	adattarsi; abituarsi	Riesci ad adattarti al clima del nord?
收	ricevere; raccogliere	Ho ricevuto la tua lettera.
收入	il reddito; le entrate	Il suo reddito è più alto di prima.
收拾	riordinare; preparare	Sto facendo ordine.
首都	la capitale	La capitale della Cina è Pechino.
首先	prima di tutto; innanzitutto	Devi riposare prima di poter lavorare bene.
受不了	non sopportare; insopportabile	Il tempo è troppo caldo, non lo sopporto.
受到	ricevere; subire	Il suo romanzo è ben accolto dai lettori.
售货员	il commesso; la commessa	Lavoro come commesso in un centro commerciale.
输	perdere; trasportare	Abbiamo perso questa partita.
熟悉	conoscere bene; essere familiare	Conosco molto bene loro.
数量	la quantità; il numero	Il numero di persone iscritte è grande.
数字	il numero; la cifra	Per favore, scrivi chiaramente i numeri.
帅	bello; affascinante	Oggi è vestito in modo molto elegante.
顺便	di passaggio; già che ci sono	Tornando a casa dal lavoro, ho comprato delle verdure.
顺利	liscio; senza intoppi	La partita si è svolta senza intoppi.
顺序	l'ordine; la sequenza	Per favore, non mettere in disordine l'ordine.
说明	spiegare; la spiegazione	Lui ha spiegato a tutti il motivo di questo.
硕士	la laurea magistrale; il master	Sto studiando per la laurea magistrale all'università.
死	morire; morto	L'albero è morto.
塑料袋	il sacchetto di plastica	Per proteggere l'ambiente, per favore non usare sacchetti di plastica.
速度	la velocità	Lui corre così veloce!
酸	acido; aspro	L'uva che hai comprato è un po' aspra.
随便	come vuoi; liberamente	Per favore, sedetevi dove preferite.
随着	con; man mano che	Con lo sviluppo dell'economia, la vita delle persone è migliorata molto.
孙子	il nipote	Il nonno vuole molto bene a suo nipote.
所有	tutto; tutti	Tutti pensavano che lui avesse torto.
台	classificatore per apparecchi; la piattaforma	Questo computer è appena stato comprato.
抬	sollevare; portare insieme	Hanno portato il banco in aula.
态度	l'atteggiamento	L'atteggiamento del cameriere verso i clienti è molto buono.
弹钢琴	suonare il pianoforte	Ho iniziato a imparare a suonare il pianoforte quando avevo quattro anni.
谈	parlare; discutere	Voglio parlarti di un'altra cosa.
汤	la zuppa	La zuppa non è salata, aggiungiamo un po' di sale.
糖	lo zucchero; la caramella	Voglio mangiare una caramella.
躺	sdraiarsi; stare sdraiato	Lei si è addormentata a letto.
趟	il viaggio; classificatore per viaggi	Sono andato a Pechino il mese scorso.
讨论	discutere; la discussione	Facciamo una riunione per discuterne.
讨厌	odiare; fastidioso	Questo tempo è davvero fastidioso.
特点	la caratteristica	La caratteristica di questo ristorante è che il cibo è fresco.
提	portare; sollevare; menzionare	Per favore, solleva questa borsa.
提供	fornire; offrire	La biblioteca offre a tutti un ambiente tranquillo per leggere.
提前	anticipare; in anticipo	Abbiamo completato il compito in anticipo.
提醒	ricordare; avvertire	Gliel'ho ricordato, ma lui l'ha comunque dimenticato.
填空	riempire lo spazio vuoto	Questa è una domanda con spazio da riempire.
