source_headword	SW	example_SW
journalism	uandishi wa habari	Uandishi wa habari unahitaji ukweli sahihi.
jury	baraza la mahakama	Baraza la mahakama lilifikia uamuzi.
kit	seti	Seti ya ukarabati inajumuisha skrubu.
ladder	ngazi	Ngazi iliegemea ukutani.
landing	kutua	Ndege ilitua vizuri.
lane	njia	Kaa katika njia ya kulia.
lately	hivi karibuni	Nimelala vibaya hivi karibuni.
leaflet	kijipeperushi	Kijipeperushi kinaelezea huduma hiyo.
legend	hekaya	Hekaya inasimulia kuhusu mji uliofichwa.
lens	lenzi	Safisha lenzi ya kamera kwa uangalifu.
lifetime	maisha yote	Aliweka akiba ya pesa kwa maisha yote.
lighting	taa	Taa nzuri huboresha chumba.
likewise	vivyo hivyo	Alitabasamu; yeye alifanya vivyo hivyo.
limitation	kikomo	Mpango una kikomo kimoja.
literally	kwa kweli	Kwa kweli alikimbia kufuata basi.
literary	ya kifasihi	Tamasha huheshimu kazi ya kifasihi.
litre	lita	Nunua lita moja ya maziwa.
litter	takataka	Usitupe takataka.
logo	nembo	Nembo inaonekana kwenye kila ukurasa.
lottery	bahati nasibu	Alishinda tuzo ndogo ya bahati nasibu.
loyal	mtiifu	Mbwa alikuwa mtiifu kwa mmiliki wake.
lyric	mashairi	Mashairi yalirudia wazo kuu.
magnificent	ya kifahari	Kasri lilionekana la kifahari.
make-up	vipodozi	Alipaka vipodozi rahisi.
making	utengenezaji	Utengenezaji wa filamu ulikuwa mgumu.
manufacture	kutengeneza	Kiwanda kitatengeneza simu.
manufacturing	utengenezaji	Kazi za utengenezaji ziliongezeka nchini.
marathon	mbio za marathoni	Alimaliza mbio za marathoni.
margin	ukingo	Andika maelezo kwenye ukingo.
marker	alama	Tumia kalamu ya alama kwa lebo.
martial	ya kijeshi	Anajifunza sanaa ya kijeshi.
mate	rafiki	Rafiki yangu wa shule ya zamani alipiga simu jana.
mayor	meya	Meya alifungua maktaba.
mechanic	fundi	Fundi alitengeneza basi.
mechanical	ya kimitambo	Saa ina hitilafu ya kimitambo.
mechanism	mfumo	Mfumo wa kufuli ni rahisi.
medal	nishani	Alishinda nishani ya dhahabu.
medication	dawa	Meza dawa kwa maji.
membership	uanachama	Uanachama wa mazoezi hugharimu kidogo mtandaoni.
memorable	isiyosahaulika	Safari ilikuwa isiyosahaulika.
metaphor	sitiari	Shairi linatumia sitiari yenye nguvu.
miner	mchimbaji madini	Mchimbaji madini alifanya kazi chini ya ardhi.
miserable	-baya sana	Mvua ilifanya pikiniki kuwa mbaya sana.
mode	hali	Weka kamera kwenye hali ya usiku.
modest	-a kawaida	Wanaishi katika nyumba ya kawaida.
monster	dubwana	Hadithi ina dubwana la kutisha.
monthly	ya kila mwezi	Tunalipa kodi kila mwezi.
monument	mnara wa ukumbusho	Mnara wa ukumbusho umesimama karibu na mto.
moreover	zaidi ya hayo	Zaidi ya hayo, mpango unaokoa pesa.
mortgage	mkopo wa nyumba	Waliomba mkopo wa nyumba.
mosque	msikiti	Msikiti uko karibu na soko.
motion	mwendo	Kihisi kinatambua mwendo.
motivate	kuhamasisha	Sifa zinaweza kuhamasisha wanafunzi.
motivation	hamasa	Hamasa yake ilibaki imara.
moving	yenye kugusa hisia	Hotuba iligusa hisia.
myth	hekaya	Hekaya inaelezea jina la mlima.
naked	uchi	Mtoto alikuwa uchi baada ya kuoga.
nasty	-baya sana	Kidonda kilionekana kibaya sana.
navigation	uongozaji	Programu inaboresha uongozaji.
nearby	karibu	Mkahawa wa karibu unafunguliwa mapema.
necessity	hitaji	Maji safi ni hitaji.
negotiate	kujadiliana	Watajadiliana mkataba kesho.
negotiation	majadiliano	Majadiliano yalichukua asubuhi yote.
neutral	asiyefungamana na upande wowote	Jaji alibaki asiyefungamana na upande wowote.
newly	hivi karibuni	Mlango uliopakwa rangi hivi karibuni ulionekana mng'avu.
norm	kawaida	Kazi ya mtandaoni ikawa kawaida.
notebook	daftari	Andika vidokezo kwenye daftari lako.
novelist	mwandishi wa riwaya	Mwandishi wa riwaya alisaini kitabu chake.
nowadays	siku hizi	Siku hizi, watu wengi hufanya kazi mtandaoni.
nursing	uuguzi	Anasomea uuguzi.
nutrition	lishe	Lishe bora inasaidia afya.
obesity	unene kupita kiasi	Unene kupita kiasi huongeza hatari za kiafya.
observer	mtazamaji	Mtazamaji alirekodi matokeo.
obstacle	kikwazo	Mti ulioanguka ulikuwa kikwazo.
occupation	kazi	Tafadhali andika kazi yako hapa.
occupy	kukaa ndani	Familia itakaa kwenye ghorofa hilo.
offender	mkosaji	Mkosaji aliomba msamaha mahakamani.
ongoing	-inayoendelea	Uchunguzi unaendelea.
openly	waziwazi	Alizungumza waziwazi kuhusu hofu zake.
opera	opera	Tulitazama opera huko Milan.
operator	mhudumu	Mhudumu aliunganisha simu.
optimistic	mwenye matumaini	Ana matumaini kuhusu siku zijazo.
orchestra	okestra	Okestra ilipiga muziki taratibu.
organic	-a asili	Walinunua mboga za asili.
outfit	mavazi	Mavazi yake yalilingana na tukio.
output	uzalishaji	Uzalishaji wa mashine uliongezeka.
outstanding	bora sana	Utendaji wake ulikuwa bora sana.
overcome	kushinda	Wanashinda matatizo pamoja.
overnight	usiku kucha	Kifurushi kilifika usiku.
overseas	ughaibuni	Alipata kazi ughaibuni.
ownership	umiliki	Umiliki wa ardhi ulibadilika.
oxygen	oksijeni	Mimea huzalisha oksijeni.
packet	pakiti	Fungua pakiti kwa uangalifu.
palm	kiganja	Shika sarafu kwenye kiganja chako.
panic	hofu	Hofu ilienea miongoni mwa watu.
parade	gwaride	Gwaride lilianza mchana.
parallel	sambamba	Barabara zinaenda sambamba.
participation	ushiriki	Ushiriki darasani uliboreka.
partnership	ushirikiano	Ushirikiano ulisaidia kampuni zote mbili.
part-time	ya muda mfupi	Alipata kazi ya muda.
passionate	mwenye shauku	Ana shauku na muziki.
password	nenosiri	Chagua nenosiri imara.
patience	uvumilivu	Kufundisha watoto wadogo kunahitaji uvumilivu.
pause	kusitisha	Sitisha video sasa.
peer	rika	Shinikizo la rika liliathiri chaguo lake.
penalty	adhabu	Mchezaji alipewa adhabu.
perceive	kutambua	Watu hutambua hatari kwa njia tofauti.
perception	mtazamo	Mtazamo wake juu ya hatari ulibadilika.
permanently	kabisa	Duka lilifungwa kabisa.
pill	kidonge	Meza kidonge kimoja baada ya kiamsha kinywa.
pity	jambo la kusikitisha	Ni jambo la kusikitisha.
placement	uwekaji	Uwekaji wa kochi ni muhimu.
portion	sehemu	Pakua sehemu ndogo ya wali.
potentially	inayoweza kuwa	Badiliko hili linaweza kuwa na faida.
precede	kutangulia	Mawingu meusi mara nyingi hutangulia mvua.
precious	-a thamani	Pete ni ya thamani.
precise	sahihi	Maagizo yalikuwa sahihi.
precisely	kwa usahihi	Pima umbali kwa usahihi.
predictable	inayotabirika	Mwisho ulikuwa unatabirika.
preference	upendeleo	Alionyesha upendeleo kwa chai.
pride	fahari	Alihisi fahari baada ya kumaliza.
primarily	kimsingi	Kozi hiyo kimsingi ni ya mtandaoni.
principal	mkuu wa shule	Mkuu wa shule aliwasalimia wanafunzi wapya.
prior	-a awali	Tunahitaji idhini ya awali.
probability	uwezekano	Uwezekano wa mvua ni mkubwa.
probable	inayowezekana	Mvua inawezekana usiku wa leo.
proceed	kuendelea	Tafadhali endelea kwenye chumba kinachofuata.
programming	utayarishaji programu	Utayarishaji programu unahitaji mazoezi.
progressive	-a kimaendeleo	Sera hiyo ilikuwa ya kimaendeleo kwa wakati wake.
prohibit	kupiga marufuku	Sheria zinapiga marufuku uvutaji sigara.
promising	inayoleta matumaini	Matokeo yanaonekana kuleta matumaini.
promotion	kupandishwa cheo	Alipandishwa cheo kazini.
prompt	ya haraka	Jibu la haraka liliokoa muda.
proportion	idadi	Idadi kubwa walipiga kura ya ndiyo.
protein	protini	Maharagwe yana protini.
protester	muandamanaji	Muandamanaji alishika bango.
psychological	-a kisaikolojia	Ajali ilisababisha msongo wa kisaikolojia.
publicity	utangazaji	Tukio lilipata utangazaji.
publishing	uchapishaji	Anafanya kazi ya uchapishaji.
punk	punk	Muziki wa punk ulikuwa maarufu huko.
purely	kikamilifu	Uamuzi huo ulikuwa wa vitendo kikamilifu.
pursuit	harakati	Aliendelea na harakati zake za kutafuta haki.
puzzle	fumbo	Fumbo hilo lilichukua saa moja.
questionnaire	hojaji	Tafadhali jaza hojaji.
racial	ya rangi	Ripoti ilijadili ukosefu wa usawa wa rangi.
racism	ubaguzi wa rangi	Ubaguzi wa rangi hudhuru jamii.
racist	mbaguzi wa rangi	Maoni hayo yalikuwa ya kibaguzi.
radiation	mionzi	Mionzi inaweza kuharibu seli.
rail	kingo	Shika kingo kwenye ngazi.
random	nasibu	Kompyuta ilichagua nambari ya nasibu.
rat	panya	Panya alikimbia nyuma ya mapipa.
rating	kiwango	Hoteli ina kiwango cha juu.
reasonably	kiasi	Chumba kilikuwa safi kiasi.
rebuild	kujenga upya	Watajenga upya daraja.
receiver	mpokeaji	Mpokeaji alidaka mpira.
recession	mdororo wa uchumi	Mdororo wa uchumi ulipunguza matumizi.
reckon	kudhani	Nadhani treni imechelewa.
recognition	utambuzi	Alipokea utambuzi kwa kazi yake.
recovery	kupona	Kupona kulichukua wiki kadhaa.
recruit	kuajiri	Kampuni itaajiri wahandisi.
recruitment	uajiri	Uajiri unaanza Jumatatu ijayo.
referee	mwamuzi	Mwamuzi alisimamisha mechi.
refugee	mkimbizi	Mkimbizi alipata nyumba salama.
registration	usajili	Usajili unafungwa Ijumaa.
regulate	kudhibiti	Sheria itadhibiti uzalishaji.
reinforce	kuimarisha	Mihimili ya ziada inaimarisha paa.
relieve	kupunguza	Dawa inaweza kupunguza maumivu.
relieved	kufarijika	Alijisikia kufarijika baada ya simu.
remarkable	ya kushangaza	Kupona huko kulikuwa kwa kushangaza.
remarkably	kwa kushangaza	Alipona haraka kwa kushangaza.
reporting	utoaji taarifa	Utoaji taarifa sahihi ni muhimu.
resign	kujiuzulu	Meneja atajiuzulu kesho.
resolution	ubora wa picha	Skrini ina ubora wa picha wa juu.
restore	kurejesha	Wafanyakazi wanarejesha mchoro wa zamani.
restrict	kuzuia	Sheria zinazuia maegesho.
restriction	kizuizi	Kizuizi kinakwisha kesho.
retail	rejareja	Mauzo ya rejareja yaliongezeka.
retirement	kustaafu	Alipanga kustaafu kwake kwa uangalifu.
revenue	mapato	Mapato ya tikiti yalilipia matengenezo.
revision	marudio	Marudio yalisaidia kabla ya mtihani.
ridiculous	ya kichekesho	Bei ilikuwa ya kichekesho.
risky	hatari	Mpango huo ulionekana kuwa hatari.
rival	mpinzani	Mpinzani wetu alifungua duka jipya.
rob	kuiba	Wanaume walijaribu kuiba benki.
robbery	wizi	Wizi ulitokea usiku.
rocket	roketi	Roketi ilirushwa kikamilifu.
romance	mapenzi	Riwaya inajumuisha mapenzi.
rose	waridi	Waridi jekundu lilikua kando ya uzio.
roughly	takriban	Takriban watu ishirini walihudhuria.
ruin	kuharibu	Mvua inaweza kuharibu pikiniki.
satisfaction	kuridhika	Kuridhika kwa wateja kuliboreka.
scandal	kashfa	Kashfa hiyo iliharibu kazi yake.
scare	kutisha	Sauti kubwa ilinitisha.
scenario	hali	Hali mbaya zaidi haiwezekani.
scholar	mwanazuoni	Mwanazuoni alisoma maandishi ya kale.
scholarship	ufadhili wa masomo	Alishinda ufadhili wa masomo.
scratch	mchubuko	Paka aliacha mchubuko.
screening	uchunguzi	Hospitali inatoa uchunguzi wa saratani.
seeker	mtafuta	Mtafuta kazi alituma maombi.
seminar	semina	Semina inaanza saa tatu.
settler	mlowezi	Mlowezi alijenga shamba dogo.
severely	vibaya	Dhoruba iliharibu barabara vibaya.
sexy	ya kuvutia	Nguo hiyo ilionekana ya kuvutia.
shocking	ya kushtua	Habari hizo zilikuwa za kushtua.
shore	ufuo	Tulitembea kando ya ufuo.
shortage	uhaba	Jiji lilikabiliwa na uhaba wa maji.
shortly	muda mfupi	Basi lilifika muda mfupi baada ya mchana.
short-term	ya muda mfupi	Mpango una faida za muda mfupi.
sibling	ndugu	Kila ndugu alipokea zawadi.
signature	saini	Tafadhali ongeza saini yako.
significance	umuhimu	Ugunduzi huo una umuhimu mkubwa.
skilled	stadi	Wafanyakazi stadi walitengeneza paa.
slogan	kauli mbiu	Kampeni ilitumia kauli mbiu rahisi.
so-called	anayejiita	Anayejiita mtaalamu alifanya makosa.
somehow	kwa namna fulani	Kwa namna fulani, funguo zilipotea.
sometime	wakati fulani	Tutembelee wakati fulani wiki ijayo.
sophisticated	ya kisasa	Programu hii ni ya kisasa.
spare	ya ziada	Tunaweka ufunguo wa ziada.
specialize	kubobea	Madaktari hubobea katika nyanja tofauti.
specify	kubainisha	Tafadhali bainisha muda wako wa kuwasili.
spectacular	ya kuvutia	Fataki zilikuwa za kuvutia sana.
spectator	mtazamaji	Kila mtazamaji alipokea programu.
speculate	kukisia	Wataalamu wanakisia kuhusu chanzo.
speculation	uvumi	Makala hiyo ilihamasisha uvumi.
spice	kiungo	Ongeza kiungo kimoja kwa wakati.
spill	kumwaga	Usimwage juisi.
spite	inadi	Alifanikiwa licha ya matatizo.
spoil	kuharibu	Chumvi nyingi inaweza kuharibu supu.
spokesman	msemaji	Msemaji alijibu maswali.
spokesperson	msemaji	Msemaji alisoma taarifa.
spokeswoman	msemaji	Msemaji alihutubia waandishi wa habari.
sponsorship	udhamini	Timu inahitaji udhamini.
sporting	ya michezo	Jiji huandaa matukio ya michezo.
stall	kibanda	Kibanda cha soko kinauza matunda.
stance	msimamo	Waziri alibadilisha msimamo wake.
starve	kufa njaa	Bila chakula, wanyama wanaweza kufa njaa.
steadily	kwa uthabiti	Kampuni ilikua kwa uthabiti.
steam	mvuke	Mvuke ulipanda kutoka kwenye supu.
stimulate	kuchochea	Rangi angavu zinaweza kuchochea shauku.
