source_headword	IS	example_IS
making	gerð	Gerð kvikmyndarinnar var erfið.
manufacture	framleiða	Verksmiðjan mun framleiða síma.
manufacturing	framleiðsla	Framleiðslustörfum fjölgaði á staðnum.
marathon	maraþon	Hún kláraði maraþonið.
margin	spássía	Skrifaðu glósur á spássíunni.
marker	tússpenni	Notaðu tússpenna fyrir miðann.
martial	bardaga-	Hann stundar bardagaíþróttir.
mate	félagi	Gamall skólafélagi minn hringdi í gær.
mayor	borgarstjóri	Borgarstjórinn opnaði bókasafnið.
mechanic	vélvirki	Vélvirkinn gerði við rútuna.
mechanical	vélrænn	Klukkan er með vélrænan galla.
mechanism	vélbúnaður	Lásbúnaðurinn er einfaldur.
medal	verðlaunapeningur	Hún vann gullverðlaunapening.
medication	lyf	Taktu lyfin með vatni.
membership	aðild	Líkamsræktaraðild kostar minna á netinu.
memorable	eftirminnilegur	Ferðin var eftirminnileg.
metaphor	myndhverfing	Ljóðið notar sterka myndhverfingu.
miner	námuverkamaður	Námuverkamaðurinn vann neðanjarðar.
miserable	ömurlegur	Rigningin gerði lautarferðina ömurlega.
mode	stilling	Skiptu myndavélinni yfir á næturstillingu.
modest	hógvær	Þau búa í hógværu húsi.
monster	skrímsli	Sagan er með ógnvekjandi skrímsli.
monthly	mánaðarlegur	Við borgum leigu mánaðarlega.
monument	minnisvarði	Minnisvarðinn stendur nálægt ánni.
moreover	þar að auki	Þar að auki sparar áætlunin peninga.
mortgage	húsnæðislán	Þau sóttu um húsnæðislán.
mosque	moska	Moskan er nálægt markaðnum.
motion	hreyfing	Skynjarinn skynjar hreyfingu.
motivate	hvetja	Hrósið getur hvatt nemendur.
motivation	hvatning	Hvatning hennar var áfram sterk.
moving	hrífandi	Ræðan var hrífandi.
myth	goðsögn	Goðsögnin útskýrir nafn fjallsins.
naked	nakinn	Barnið var nakið eftir baðið.
nasty	ljótur	Skurðurinn leit illa út.
navigation	leiðsögn	Appið bætir leiðsögn.
nearby	nálægur	Nálægt kaffihús opnar snemma.
necessity	nauðsyn	Hreint vatn er nauðsyn.
negotiate	semja	Þeir semja um samninginn á morgun.
negotiation	samningaviðræður	Samningaviðræðurnar stóðu allan morguninn.
neutral	hlutlaus	Dómarinn hélt sig hlutlausum.
newly	nýlega	Nýmáluðu dyrnar litu bjartar út.
norm	viðmið	Fjarvinna varð viðmiðið.
notebook	minnisbók	Skrifaðu glósur í minnisbókina þína.
novelist	skáldsagnahöfundur	Skáldsagnahöfundurinn áritaði bókina sína.
nowadays	nú á dögum	Nú á dögum vinna margir á netinu.
nursing	hjúkrunarfræði	Hún stundar nám í hjúkrunarfræði.
nutrition	næring	Góð næring styður við heilsu.
obesity	offita	Offita eykur heilsufarsáhættu.
observer	áhorfandi	Áhorfandinn skráði niðurstöðurnar.
obstacle	hindrun	Fallið tré var hindrun.
occupation	starf	Vinsamlegast skrifaðu starf þitt hér.
occupy	festa	Fjölskyldan mun setjast að í íbúðinni.
offender	brotamaður	Brotamaðurinn baðst afsökunar fyrir dómstólum.
ongoing	yfirstandandi	Rannsóknin er yfirstandandi.
openly	opinskátt	Hún talaði opinskátt um ótta sinn.
opera	ópera	Við sáum óperu í Mílanó.
operator	símavörður	Símavörðurinn tengdi símtalið.
optimistic	bjartsýnn	Hún er bjartsýn á framtíðina.
orchestra	hljómsveit	Hljómsveitin spilaði mjúklega.
organic	lífrænn	Þau keyptu lífrænt grænmeti.
outfit	klæðnaður	Klæðnaður hennar hentaði tilefninu.
output	framleiðsla	Framleiðsla vélarinnar jókst.
outstanding	framúrskarandi	Frammistaða hans var framúrskarandi.
overcome	sigrast á	Þau sigrast á vandamálum saman.
overnight	yfir nótt	Pakkinn kom yfir nótt.
overseas	erlendis	Hann fann vinnu erlendis.
ownership	eignarhald	Eignarhald á landinu breyttist.
oxygen	súrefni	Plöntur framleiða súrefni.
packet	pakki	Opnaðu pakkann varlega.
palm	lófi	Haltu myntinni í lófanum.
panic	skelfing	Skelfing breiddist út um mannfjöldann.
parade	skrúðganga	Skrúðgangan hófst á hádegi.
parallel	samsíða	Vegina liggja samsíða.
participation	þátttaka	Þátttaka í bekknum batnaði.
partnership	samstarf	Samstarfið hjálpaði báðum fyrirtækjum.
part-time	hlutastarf	Hún fann hlutastarf.
passionate	ástríðufullur	Hann er ástríðufullur fyrir tónlist.
password	lykilorð	Veldu sterkt lykilorð.
patience	þolinmæði	Kennsla ungra barna krefst þolinmæði.
pause	gera hlé	Gerðu hlé á myndbandinu núna.
peer	jafningi	Hópþrýstingur hafði áhrif á val hans.
penalty	víti	Leikmaðurinn fékk víti.
perceive	skynja	Fólk skynjar áhættu á mismunandi hátt.
perception	skynjun	Skynjun hans á hættu breyttist.
permanently	varanlega	Versluninni var lokað varanlega.
pill	pilla	Taktu eina pillu eftir morgunmat.
pity	synd	Það er synd.
placement	staðsetning	Staðsetning sófans skiptir máli.
portion	skammtur	Berið fram lítinn skammt af hrísgrjónum.
potentially	hugsanlega	Þessi breyting er hugsanlega gagnleg.
precede	koma á undan	Dökk ský koma oft á undan rigningu.
precious	dýrmætur	Hringurinn er dýrmætur.
precise	nákvæmur	Leiðbeiningarnar voru nákvæmar.
precisely	nákvæmlega	Mældu fjarlægðina nákvæmlega.
predictable	fyrirsjáanlegur	Endirinn var fyrirsjáanlegur.
preference	val	Hún lýsti yfir vali á tei.
pride	stolt	Hann fann fyrir stolti eftir að hafa klárað.
primarily	fyrst og fremst	Áfanginn er fyrst og fremst á netinu.
principal	skólastjóri	Skólastjórinn tók á móti nýjum nemendum.
prior	fyrri	Við þurfum fyrra samþykki.
probability	líkur	Líkur á rigningu eru miklar.
probable	líklegur	Rigning er líkleg í kvöld.
proceed	halda áfram	Vinsamlegast haltu áfram í næsta herbergi.
programming	forritun	Forritun krefst æfingar.
progressive	framsækinn	Stefnan var framsækin fyrir sinn tíma.
prohibit	banna	Reglurnar banna reykingar.
promising	lofavænlegur	Niðurstöðurnar líta út fyrir að vera lofavænlegar.
promotion	stöðuhækkun	Hún fékk stöðuhækkun í vinnunni.
prompt	skjótur	Skjót viðbrögð spöruðu tíma.
proportion	hlutfall	Stórt hlutfall kaus já.
protein	prótein	Baunir innihalda prótein.
protester	mótmælandi	Mótmælandinn hélt á skilti.
psychological	sálfræðilegur	Slysið olli sálfræðilegri streitu.
publicity	umfjöllun	Viðburðurinn fékk umfjöllun.
publishing	útgáfa	Hún vinnur við útgáfu.
punk	pönk	Pönktónlist varð vinsæl þar.
purely	eingöngu	Valið var eingöngu hagnýtt.
pursuit	eftirsókn	Hann hélt áfram eftirsókn sinni eftir réttlæti.
puzzle	púsluspil	Púsluspilið tók klukkutíma.
questionnaire	spurningalisti	Vinsamlegast fylltu út spurningalistann.
racial	kynþátta-	Skýrslan fjallaði um kynþáttaójöfnuð.
racism	kynþáttafordómar	Kynþáttafordómar skaða samfélög.
racist	rasisti	Athugasemdin var rasísk.
radiation	geislun	Geislun getur skemmt frumur.
rail	handrið	Haltu í handriðið í stiganum.
random	slembi-	Tölvan valdi slembitölu.
rat	rotta	Rotta hljóp á bak við tunnurnar.
rating	einkunn	Hótelið er með háa einkunn.
reasonably	sæmilega	Herbergið var sæmilega hreint.
rebuild	endurbyggja	Þeir munu endurbyggja brúna.
receiver	móttakari	Móttakarinn greip boltann.
recession	samdráttur	Samdrátturinn dró úr útgjöldum.
reckon	halda	Ég held að lestin sé sein.
recognition	viðurkenning	Hún fékk viðurkenningu fyrir starf sitt.
recovery	bati	Batinn tók nokkrar vikur.
recruit	ráða	Fyrirtækið mun ráða verkfræðinga.
recruitment	ráðning	Ráðningar hefjast næsta mánudag.
referee	dómari	Dómarinn stöðvaði leikinn.
refugee	flóttamaður	Flóttamaðurinn fann öruggt heimili.
registration	skráning	Skráningu lýkur á föstudag.
regulate	stjórna	Lögin munu stjórna losun.
reinforce	styrkja	Aukabitar styrkja þakið.
relieve	létta	Lyf geta létt sársauka.
relieved	létt	Henni var létt eftir símtalið.
remarkable	merkilegur	Batinn var merkilegur.
remarkably	ótrúlega	Hann náði sér ótrúlega fljótt.
reporting	skjalagerð	Nákvæm skýrslugerð skiptir máli.
resign	segja upp	Stjórnandinn mun segja upp á morgun.
resolution	upplausn	Skjárinn er með háa upplausn.
restore	endurheimta	Starfsmenn endurheimta gamla málverkið.
restrict	takmarka	Reglurnar takmarka bílastæði.
restriction	takmörkun	Takmörkuninni lýkur á morgun.
retail	smásala	Smásala jókst.
retirement	eftirlaun	Hún skipulagði eftirlaunaárin vandlega.
revenue	tekjur	Miðatekjur borguðu fyrir viðgerðir.
revision	upprifjun	Upprifjun hjálpaði fyrir prófið.
ridiculous	fáránlegur	Verðið var fáránlegt.
risky	áhættusamur	Áætlunin virtist áhættusöm.
rival	keppinautur	Keppinautur okkar opnaði nýja verslun.
rob	ræna	Mennirnir reyndu að ræna bankann.
robbery	rán	Ránið var framið um nótt.
rocket	eldflaug	Eldflauginni var skotið á loft.
romance	rómantík	Skáldsagan inniheldur rómantík.
rose	rós	Rauð rós óx við girðinguna.
roughly	um það bil	Um það bil tuttugu manns mættu.
ruin	eyðileggja	Rigningin gæti eyðilagt lautarferðina.
satisfaction	ánægja	Ánægja viðskiptavina jókst.
scandal	hneyksli	Hneykslið skaðaði feril hans.
scare	bregða	Háa hljóðið brá mér.
scenario	sviðsmynd	Versta sviðsmyndin er ólíkleg.
scholar	fræðimaður	Fræðimaðurinn rannsakaði forna texta.
scholarship	skólastyrkur	Hún vann skólastyrk.
scratch	klóra	Kötturinn skildi eftir klóru.
screening	skimun	Sjúkrahúsið býður upp á krabbameinsskimun.
seeker	leitandi	Atvinnuleitandinn sendi inn umsóknir.
seminar	málstofa	Málstofan byrjar klukkan níu.
settler	landnemi	Landneminn byggði lítinn bóndabæ.
severely	alvarlega	Stormurinn skemmdi vegi alvarlega.
sexy	kynþokkafullur	Kjóllinn þótti kynþokkafullur.
shocking	sláandi	Fréttin var sláandi.
shore	strönd	Við gengum meðfram ströndinni.
shortage	skortur	Borgin stóð frammi fyrir vatnsskorti.
shortly	skömmu	Rútan kom skömmu eftir hádegi.
short-term	skammtíma-	Áætlunin hefur skammtímaávinning.
sibling	systkini	Hvert systkini fékk gjöf.
signature	undirskrift	Vinsamlegast bættu við undirskrift þinni.
significance	þýðing	Uppgötvunin hefur mikla þýðingu.
skilled	faglærður	Faglærðir verkamenn gerðu við þakið.
slogan	slagorð	Herferðin notaði einfalt slagorð.
so-called	svokallaður	Svokallaður sérfræðingur gerði mistök.
somehow	einhvern veginn	Einhvern veginn hurfu lyklarnir.
sometime	einhvern tíma	Heimsæktu okkur einhvern tíma í næstu viku.
sophisticated	háþróaður	Hugbúnaðurinn er háþróaður.
spare	auka-	Við geymum aukalykil.
specialize	sérhæfa	Læknar sérhæfa sig á mismunandi sviðum.
specify	tilgreina	Vinsamlegast tilgreindu komutíma þinn.
spectacular	stórbrotinn	Flugeldarnir voru stórbrotin.
spectator	áhorfandi	Hver áhorfandi fékk dagskrá.
speculate	giska á	Sérfræðingar giska á orsökina.
speculation	vangaveltur	Greinin hvatti til vangavelta.
spice	krydd	Bættu við einu kryddi í einu.
spill	hella niður	Ekki hella niður safanum.
spite	þrátt fyrir	Hann náði árangri þrátt fyrir vandamál.
spoil	skemma	Of mikið salt getur skemmt súpuna.
spokesman	talsmaður	Talsmaðurinn svaraði spurningum.
spokesperson	talsmaður	Talsmaðurinn las upp yfirlýsingu.
spokeswoman	talskona	Talskonan ávarpaði pressuna.
sponsorship	styrktaraðild	Liðið þarfnast styrktaraðildar.
sporting	íþrótta-	Borgin hýsir íþróttaviðburði.
stall	sölubás	Markaðsbásinn selur ávexti.
stance	afstaða	Ráðherrann breytti um afstöðu.
starve	svelta	Án matar gætu dýr svelt.
steadily	stöðugt	Fyrirtækið óx stöðugt.
steam	gufa	Gufa sté upp úr súpunni.
stimulate	örva	Bjartir litir geta örvað áhuga.
