source_headword	SI	example_SI
awareness	දැනුවත්භාවය	ප්‍රචාරක ව්‍යාපාරය මහජන දැනුවත්භාවය ඉහළ නැංවීය.
awkward	අමුතු	එම නිශ්ශබ්දතාවය අමුතු බවක් දැනුනි.
badge	ලාංඡනය	අමුත්තන් ලාංඡනයක් පැළඳිය යුතුය.
balanced	සමබර	සමබර ආහාර වේලකට එළවළු ඇතුළත් වේ.
ballet	මුද්‍රා නාට්‍ය	ඇය පාසලෙන් පසු බැලේ නර්තනය හදාරයි.
balloon	බැලූනය	බැලුනය මේසය ඉහළින් පාවී ගියේය.
barely	අමාරුවෙන්	ඔහුට නිවේදනය යන්තම් ඇසුණි.
bargain	ලාබෙට ගත් දෙය	ඒ ජැකට්ටුව ඇත්තටම ලාබ ගනුදෙනුවක්.
basement	බිම්මහල	පෙට්ටි බිම්මහලේ තිබේ.
basket	කූඩය	ඇය ඇපල් කූඩයට දැමුවාය.
bat	පිත්ත	වවුලා ගුහාවෙන් පිටතට පියඹා ගියේය.
beneficial	ප්‍රයෝජනවත්	නිතිපතා ව්‍යායාම කිරීම සෞඛ්‍යයට හිතකරය.
beside	අසල	ලාම්පුව සෝෆාව අසල තිබේ.
besides	ඊට අමතරව	ඔහු ගණිතයට අමතරව රසායන විද්‍යාවද හදාරයි.
bias	පක්ෂග්‍රාහීත්වය	ලිපිය පැහැදිලි පක්ෂපාතීත්වයක් පෙන්නුම් කළේය.
bid	ලංසුව	සමාගම ඉහළ ලංසුවක් ඉදිරිපත් කළේය.
biological	ජීව විද්‍යාත්මක	ජීව විද්‍යාත්මක පරීක්ෂණයෙන් ප්‍රතිඵලය තහවුරු විය.
blanket	බ්ලැන්කට්ටුව	දරුවා බ්ලැන්කට්ටුවක් යට නිදාගත්තේය.
blow	පහර	තද පහරින් ජනේලය කැඩී ගියේය.
bold	නිර්භීත	ප්‍රධාන සිරස්තලය තද අකුරු භාවිතා කළේය.
bombing	බෝම්බ ප්‍රහාරය	බෝම්බ ප්‍රහාරය ගොඩනැගිලි කිහිපයකට හානි කළේය.
booking	වෙන් කිරීම	මම හෝටල් වෙන් කිරීම තහවුරු කළෙමි.
boost	උත්තේජනය	ජයග්‍රහණය කණ්ඩායමේ විශ්වාසය ඉහළ නැංවීය.
bound	බැඳී ඇති	පාර්සලය නූලකින් බැඳ තිබුණි.
brick	ගඩොල්	බිත්තිය ගඩොලින් සාදා ඇත.
briefly	කෙටියෙන්	ඇය දිවා ආහාරයෙන් පසු කෙටියෙන් කතා කළාය.
broadcaster	විකාශකයා	විකාශකයා නගරාධිපතිවරයා සමඟ සම්මුඛ සාකච්ඡාවක් පැවැත්වීය.
broadly	පුළුල් ලෙස	සැලසුම් දෙක පුළුල් ලෙස සමාන වේ.
bug	දෝෂය	දෝෂයක් හේතුවෙන් යෙදුම ක්‍රියා විරහිත විය.
cabin	කුටිය	අපි කුඩා කුටියක නැවතුණෙමු.
canal	ඇළ	බෝට්ටු ඇළ දිගේ සෙමින් ගමන් කළේය.
candle	ඉටිපන්දම	මේසය මත ඉටිපන්දම දැල්විණි.
carbon	කාබන්	ගස් වාතයෙන් කාබන් අවශෝෂණය කරයි.
casual	සාමාන්‍ය	ඔහු වැඩට යාමට සාමාන්‍ය ඇඳුම් ඇඳ සිටියේය.
cave	ගුහාව	කඳු නගින්නන් ගුහාවට ඇතුළු වූහ.
certainty	නිශ්චිතභාවය	අපට නිශ්චිතවම දැනගත නොහැක.
certificate	සහතිකය	ඇයට පුහුණු සහතිකයක් ලැබුණි.
challenging	අභියෝගාත්මක	පාඨමාලාව අභියෝගාත්මක වූ නමුත් ප්‍රයෝජනවත් විය.
championship	ශූරතාවය	අපගේ කණ්ඩායම ශූරතාවලියේ අවසන් මහා තරගයට ළඟා විය.
charming	සිත්ගන්නාසුළු	පැරණි වීදිය සිත්ගන්නාසුලු ලෙස පෙනුණි.
chase	ලුහුබැඳීම	බල්ලා බෝලය පසුපස හඹා ගියේය.
cheek	කම්මුල	ඇගේ කම්මුල දිගේ කඳුළක් ගලා ගියේය.
cheer	ප්‍රීතිඝෝෂාව	සෙනඟ මහ හඬින් ප්‍රීතිඝෝෂා කිරීමට පටන් ගත්හ.
choir	ගායනා කණ්ඩායම	ගායනා කණ්ඩායම අලංකාර ලෙස ගායනා කළේය.
chop	කපනවා	ළූණු කුඩා කැබලිවලට කපන්න.
circuit	පරිපථය	ධාවකයා වටය සම්පූර්ණ කළේය.
civilization	ශිෂ්ටාචාරය	පුරාණ ශිෂ්ටාචාරය මෙම කලාපය හැඩගැස්වීය.
clarify	පැහැදිලි කරනවා	කරුණාකර අවසාන කරුණ පැහැදිලි කරන්න.
classify	වර්ග කරනවා	විද්‍යාඥයින් සතුන් විශේෂ අනුව වර්ගීකරණය කරයි.
clerk	ලිපිකරු	ලිපිකරු රිසිට්පත මුද්‍රණය කළේය.
cliff	ප්‍රපාතය	මාර්ගය ප්‍රපාතයක් අසලින් අවසන් වේ.
clinic	සායනය	සායනය අටට විවෘත වේ.
clip	ක්ලිප් එක	ඇය කඩදාසියට ක්ලිප් එක සවි කළාය.
coincidence	අහම්බයක්	ඔහුව එහිදී මුණගැසීම අහම්බයක් විය.
collector	එකතු කරන්නා	එකතු කරන්නා දුර්ලභ කාසි මිලදී ගත්තේය.
colony	යටත් විජිතය	කුහුඹුවන් විශාල ජනපදයක් ගොඩනැගුවා.
colourful	වර්ණවත්	වෙළඳපොළ දීප්තිමත් සහ වර්ණවත් විය.
comic	විකට	විකට දර්ශනය අපව හිනස්සවුවා.
commander	අණ දෙන නිලධාරී	අණදෙන නිලධාරියා පැහැදිලි නියෝග ලබා දුන්නේය.
comparative	සාපේක්ෂ	රචනාව සංසන්දනාත්මක දත්ත භාවිතා කරයි.
completion	සම්පූර්ණ කිරීම	පාලම සම්පූර්ණ වීමට ආසන්නයි.
compose	රචනා කරනවා	ඔහු චිත්‍රපටය සඳහා සංගීතය රචනා කරනු ඇත.
composer	සංගීතඥයා	නිර්මාපකයා නව ගීතයක් ලිවීය.
compound	සංයෝගය	සංයෝගයේ රසායනික ද්‍රව්‍ය දෙකක් අඩංගු වේ.
comprehensive	විස්තීර්ණ	මාර්ගෝපදේශකය පුළුල් උපදෙස් ලබා දෙයි.
comprise	සමන්විත වෙනවා	කණ්ඩායම සාමාජිකයින් පස් දෙනෙකුගෙන් සමන්විත වේ.
compulsory	අනිවාර්ය	මෙම පන්තියට පැමිණීම අනිවාර්ය වේ.
concrete	කොන්ක්‍රීට්	බිම කොන්ක්‍රීට් වලින් සාදා ඇත.
confess	පාපොච්චාරණය කරනවා	ඔහු තම ගුරුවරයාට වැරැද්ද පාපොච්චාරණය කළේය.
confusion	ව්‍යාකූලත්වය	ප්‍රමාදය ව්‍යාකූලත්වයක් ඇති කළේය.
consequently	ප්‍රතිඵලයක් වශයෙන්	වර්ෂාව පතිත විය; එහි ප්‍රතිඵලයක් වශයෙන්, තරගය නතර විය.
conservation	සංරක්ෂණය	සංරක්ෂණය දුර්ලභ සතුන් ආරක්ෂා කරයි.
considerable	සැලකිය යුතු	අලුත්වැඩියාව සඳහා සැලකිය යුතු කාලයක් ගත විය.
considerably	සැලකිය යුතු ලෙස	මේ වසරේ මිල සැලකිය යුතු ලෙස ඉහළ ගියේය.
consistently	නිරන්තරයෙන්	ඇය අඛණ්ඩව හොඳින් ක්‍රියා කරයි.
conspiracy	කුමන්ත්‍රණය	පොලිසිය කුමන්ත්‍රණය ගැන විමර්ශනය කළා.
consult	උපදෙස් ගන්නවා	ඖෂධ ගැනීමට පෙර ඔබේ වෛද්‍යවරයාගෙන් උපදෙස් ලබාගන්න.
consultant	උපදේශක	උපදේශකවරයා නව උපාය මාර්ගයක් යෝජනා කළේය.
consumption	පරිභෝජනය	පසුගිය මාසයේ බලශක්ති පරිභෝජනය පහත වැටුණි.
controversial	මතභේදාත්මක	ප්‍රතිපත්තිය තවමත් මතභේදාත්මකයි.
controversy	මතභේදය	මෙම තීරණය මතභේදයට තුඩු දුන්නේය.
convenience	පහසුව	ගබඩාව විශාල පහසුවක් ලබා දෙයි.
convention	සම්මුතිය	වාර්ෂික සම්මුතිය සඳුදා ආරම්භ වේ.
conventional	සාම්ප්‍රදායික	ඔහු සාම්ප්‍රදායික මෝස්තරයක් තෝරා ගත්තේය.
convey	ප්‍රකාශ කරනවා	පණිවිඩය අනුකම්පාව ප්‍රකාශ කළේය.
convincing	විශ්වාසදායක	ඇයගේ පැහැදිලි කිරීම ඒත්තු ගැන්වෙන සුළු විය.
cope	මුහුණ දෙනවා	ඇය ආතතියට මුහුණ දීමට ඉගෙන ගත්තාය.
corporation	සංස්ථාව	සංස්ථාව නව කාර්යාලයක් විවෘත කළේය.
corridor	කොරිඩෝව	කොරිඩෝව පටු සහ නිහඬ විය.
counter (long flat surface)	කවුන්ටරය	යතුරු මුළුතැන්ගෙයි කවුන්ටරය මත ඇත.
coverage	ආවරණය	ප්‍රවෘත්ති ආවරණය සන්ධ්‍යාව පුරාම පැවතුනි.
crack	ඉරිතැලීම	බිත්තියේ ඉරිතැලීමක් මතු විය.
craft	ශිල්පය	ඇය අතින් සාදන ලද හස්ත කර්මාන්ත අන්තර්ජාලය හරහා විකුණයි.
creativity	නිර්මාණශීලිත්වය	නිර්මාණශීලිත්වය ගැටළු විසඳීමට උපකාරී වේ.
critically	විවේචනාත්මකව	ලිපිය තීරණාත්මක ලෙස වැදගත් විය.
cruise	කෲස් එක	ඔවුන් ග්‍රීසියට මුහුදු සවාරියක් වෙන්කර ගත්හ.
cue	ඉඟිය	නළුවාට ඔහුගේ ඉඟිය මග හැරුණි.
curious	කුතුහලයෙන්	දරුවා අභ්‍යවකාශය ගැන කුතුහලයෙන් සිටියේය.
curriculum	විෂය මාලාව	පාසල එහි විෂය නිර්දේශය යාවත්කාලීන කළේය.
cute	හුරතල්	බලු පැටියා හුරුබුහුටි ලෙස පෙනුණි.
dairy	කිරි නිෂ්පාදන	ගොවිපළ කිරි නිෂ්පාදන නිපදවයි.
dare	ධෛර්යය කරනවා	එය උත්සාහ කරන්න කියා මම ඔබට අභියෝග කරනවා.
darkness	අඳුර	කාමරය අන්ධකාරයෙන් පිරී ගියේය.
database	දත්ත සමුදාය	දත්ත සමුදාය තුළ පාරිභෝගික වාර්තා ගබඩා කර ඇත.
deadline	අවසන් දිනය	අවසන් දිනය සිකුරාදා ය.
deadly	මාරාන්තික	සර්පයාට මාරාන්තික විෂ ඇත.
dealer	වෙළෙන්දා	මෝටර් රථ වෙළෙන්දා වට්ටමක් ලබා දුන්නේය.
deck	තට්ටුව	පුටු තට්ටුව මත ඇත.
defender	ආරක්ෂකයා	ආරක්ෂකයා පහර වැළැක්වීය.
delete	මකා දමන්න	පැරණි පණිවිඩය මකා දමන්න.
democracy	ප්‍රජාතන්ත්‍රවාදය	ප්‍රජාතන්ත්‍රවාදය නිදහස් මැතිවරණ මත රඳා පවතී.
democratic	ප්‍රජාතන්ත්‍රවාදී	ඡන්දය ප්‍රජාතන්ත්‍රවාදී නීති අනුගමනය කළේය.
demonstration	පෙළපාලිය	සිසුන් උද්ඝෝෂණයකට එක් විය.
depart	පිටත් වෙනවා	දුම්රිය මධ්‍යාහ්නයේ පිටත් වනු ඇත.
dependent	රඳා පවතින	දරුවා වැඩිහිටියන් මත යැපේ.
deposit	තැන්පතුව	ඇය මහල් නිවාසය සඳහා තැන්පතුවක් ගෙව්වාය.
depression	විෂාදය	විෂාදය සඳහා වෘත්තීය සහාය අවශ්‍ය වේ.
derive	ලබා ගන්නවා	බොහෝ වචන ලතින් භාෂාවෙන් පැවත එයි.
desperately	දැඩි ලෙස	ඔහුට දැඩි ලෙස ජලය අවශ්‍ය විය.
destruction	විනාශය	කුණාටුව පුළුල් විනාශයක් ඇති කළේය.
determination	අධිෂ්ඨානය	ඇගේ අධිෂ්ඨානය පුහුණුකරුගේ සිත් ගත්තේය.
devote	කැප කරනවා	ඇය සති අන්ත අධ්‍යයනය සඳහා කැප කරයි.
differ	වෙනස් වෙනවා	ඔවුන්ගේ අදහස් දැඩි ලෙස වෙනස් වේ.
disability	ආබාධිත තත්ත්වය	ගොඩනැගිල්ලට ආබාධිත ප්‍රවේශ පහසුකම් ඇත.
disabled	ආබාධිත	ආබාධිත මලල ක්‍රීඩකයා පදක්කමක් දිනා ගත්තේය.
disagreement	එකඟ නොවීම	රැස්වීම එකඟ නොවීමකින් අවසන් විය.
disappoint	කලකිරීමට පත් කරනවා	ප්‍රතිඵලය රසිකයින්ගේ බලාපොරොත්තු සුන් කළ හැකිය.
disappointment	කලකිරීම	ඔහුට දැඩි බලාපොරොත්තු සුන්වීමක් දැනුනි.
discourage	අධෛර්යමත් කරනවා	තරුණ ඉගෙන ගන්නන් අධෛර්යමත් නොකරන්න.
disorder	අක්‍රමිකතාව	වෛද්‍යවරයා නින්දේ අක්‍රමිකතාවක් හඳුනා ගත්තේය.
distant	දුරස්තර	කඳු දුරස්ථ ලෙස පෙනුණි.
distinct	පැහැදිලි	ශබ්ද දෙක පැහැදිලිව වෙනස් ය.
distinguish	වෙන්කර හඳුනා ගන්නවා	ඔබට මෙම වර්ණ වෙන් කර හඳුනාගත හැකිද?
distract	අවධානය වෙනතකට යොමු කරනවා	ශබ්දයට සිසුන්ගේ අවධානය වෙනතකට යොමු කළ හැකිය.
disturb	බාධා කරනවා	කරුණාකර රෝගියාට බාධා නොකරන්න.
dive	කිමිදීම	ඔවුන් කොරල්පරය අසල කිමිදෙනු ඇත.
diverse	විවිධ	නගරයට විවිධ සංස්කෘතීන් ඇත.
diversity	විවිධත්වය	අපි සංස්කෘතික විවිධත්වය සමරන්නෙමු.
divorce	දික්කසාදය	දික්කසාදය සෑම කෙනෙකුටම දුෂ්කර විය.
dominant	ප්‍රමුඛ	ප්‍රමුඛ කණ්ඩායම තරගය පාලනය කළේය.
donation	පරිත්‍යාගය	පුණ්‍යායතනයට පරිත්‍යාගයක් ලැබුණි.
dot	තිත	අංකයට පසු තිතක් තබන්න.
downtown	නගර මධ්‍යය	වැඩ නිමවීමෙන් පසු අපි නගර මධ්‍යයේදී හමු වීමු.
dramatically	නාටකාකාර ලෙස	මිල විශාල ලෙස පහත වැටුණි.
drought	නියඟය	නියඟය භෝග වලට හානි කළේය.
dull	අඳුරු	දේශනය නීරස විය.
dump	ඉවතලනවා	මෙහි කසළ දමන්න එපා.
duration	කාල සීමාව	පියාසැරි කාලසීමාව පැය තුනකි.
dynamic	ගතික	පන්ති කාමරය ගතික බවක් දැනුණි.
economics	ආර්ථික විද්‍යාව	ඇය විශ්වවිද්‍යාලයේ ආර්ථික විද්‍යාව හදාරයි.
economist	ආර්ථික විද්‍යාඥයා	ආර්ථික විද්‍යාඥයා මන්දගාමී වර්ධනයක් පුරෝකථනය කළේය.
editorial	කතුවැකිය	කතුවැකිය නීතිය විවේචනය කළේය.
efficiently	කාර්යක්ෂමව	කණ්ඩායම කාර්යක්ෂමව වැඩ කළේය.
elbow	වැලමිට	ඔහුට ඔහුගේ වැලමිටට තුවාල විය.
electronics	ඉලෙක්ට්‍රොනික උපකරණ	වෙළඳසැල ඉලෙක්ට්‍රොනික් උපකරණ අලෙවි කරයි.
elegant	අලංකාර	ඇඳුම අලංකාර ලෙස පෙනුනි.
elementary	මූලික	පොත මූලික ව්‍යාකරණ පැහැදිලි කරයි.
eliminate	ඉවත් කිරීම	කණ්ඩායම වැරදි කිහිපයක් ඉවත් කළේය.
embrace	වැළඳ ගැනීම	ඇය නව අදහස වැළඳ ගත්තාය.
emission	විමෝචනය	මෝටර් රථ විමෝචන මට්ටම් පහත වැටුණි.
emotionally	චිත්තවේගීයව	ඔහු තම පවුල ගැන හැඟීම්බරව කතා කළේය.
empire	අධිරාජ්‍යය	අධිරාජ්‍යය සියවස් ගණනාවක් පැවතුනි.
enjoyable	විනෝදජනක	ගමන විනෝදජනක විය.
entertaining	විනෝදාත්මක	සංදර්ශනය විනෝදාස්වාදනාත්මක විය.
entrepreneur	ව්‍යවසායකයා	ව්‍යවසායකයා ආපනශාලාවක් විවෘත කළේය.
envelope	ලියුම් කවරය	ලියුම ලියුම් කවරයක දමන්න.
equip	සන්නද්ධ කිරීම	පාසල රසායනාගාරයට උපකරණ සපයනු ඇත.
equivalent	සමාන දෙය	මෙහි එක් ඩොලරයක් සමාන නොවේ.
era	යුගය	සොයාගැනීම නව යුගයක් ආරම්භ කළේය.
erupt	පුපුරා යාම	ගිනි කන්ද ඉක්මනින් පුපුරා යා හැකිය.
essentially	අත්‍යවශ්‍යයෙන්ම	ක්‍රම දෙක මූලික වශයෙන් සමාන වේ.
ethic	ආචාර ධර්මය	ඔහුගේ වැඩ ආචාරධර්ම ප්‍රබලයි.
ethnic	වාර්ගික	උත්සවය වාර්ගික සම්ප්‍රදායයන් සමරයි.
evaluation	ඇගයීම	පාඨමාලාවට අවසාන ඇගයීමක් ඇතුළත් වේ.
evident	පැහැදිලි	ඔහුගේ කලබල ගතිය පැහැදිලි විය.
evolution	පරිණාමය	පරිණාමය ජීව විද්‍යාත්මක වෙනස්කම් බොහොමයක් පැහැදිලි කරයි.
evolve	පරිණාමය වීම	භාෂා කාලයත් සමඟ පරිණාමය වේ.
exceed	ඉක්මවා යාම	ඉල්ලුම සැපයුම ඉක්මවා යා හැකිය.
exception	ව්‍යතිරේකය	එක් ව්‍යතිරේකයක් ඇත.
excessive	අධික	අධික ශබ්දය අසල්වැසියන්ට බාධා කරයි.
exclude	බැහැර කිරීම	ලැයිස්තුව තාවකාලික සේවකයින් බැහැර කරයි.
exhibit	ප්‍රදර්ශනය	කෞතුකාගාරය දුර්ලභ ඡායාරූප ප්‍රදර්ශනය කරනු ඇත.
exit	පිටවීම	පිටවීම වේදිකාව පිටුපස ඇත.
exotic	විදේශීය	සාප්පුව විදේශීය පලතුරු විකුණයි.
expansion	ව්‍යාප්තිය	සමාගම ව්‍යාප්තියක් සැලසුම් කළේය.
expertise	විශේෂඥතාව	ඇයගේ විශේෂඥතාව ව්‍යාපෘතිය වැඩිදියුණු කළේය.
exploit	ගසාකෑම	අපරාධකරුවන් දුර්වල මුරපද ගසාකයි.
exposure	නිරාවරණය	හිරුට නිරාවරණය වීම සමට හානි කළ හැකිය.
extension	දිගුව	කාලසීමාව දිගු කිරීම සැමට උපකාරී විය.
extensive	පුළුල්	පුස්තකාලයට පුළුල් සම්පත් ඇත.
extensively	පුළුල් ලෙස	මාතෘකාව පුළුල් ලෙස අධ්‍යයනය කරන ලදී.
extract	නිස්සාරණය	වැනිලා සාරය රසය ලබා දෙයි.
fabric	රෙදි	රෙදි මෘදු බවක් දැනේ.
fabulous	අපූරු	ආහාර වේල අපූරු විය.
failed	අසාර්ථක	අසාර්ථක උත්සාහය අපට යමක් ඉගැන්වීය.
fake	ව්‍යාජ	වෙබ් අඩවිය ව්‍යාජ ටිකට් පත් අලෙවි කළේය.
fame	කීර්තිය	කීර්තිය ඔහුගේ පෞද්ගලික ජීවිතය වෙනස් කළේය.
fantasy	මනඃකල්පිත	නවකතාව ෆැන්ටසියකි.
fare	ගාස්තුව	බස් ගාස්තුව වැඩි විය.
federal	ෆෙඩරල්	ෆෙඩරල් රජය අරමුදල් නිවේදනය කළේය.
fever	උණ	දරුවාට උණ ඇත.
firefighter	ගිනි නිවන භටයා	ගිනි නිවන භටයා බල්ලා බේරා ගත්තේය.
firework	ගිනිකෙළි	උද්‍යානයට ඉහළින් ගිනිකෙළි පුපුරා ගියේය.
firm	ස්ථිර	මෙට්ටය තදයි.
firmly	ස්ථිරව	ඇය දොර තදින් වැසුවාය.
flavour	රසය	සුප් එකට හොඳ රසයක් තිබෙනවා.
fond	ප්‍රිය කරන	ඔහු ජෑස් සංගීතයට ප්‍රිය කරයි.
fool	මෝඩයා	මෝඩයෙකු සේ හැසිරෙන්න එපා.
forbid	තහනම් කරනවා	නීතිය මගින් මෙහි දුම්පානය තහනම් කර ඇත.
forecast	පුරෝකථනය	කාලගුණ පුරෝකථනයෙන් වැසි අපේක්ෂා කරයි.
format	ආකෘතිය	නිවැරදි ගොනු ආකෘතිය භාවිතා කරන්න.
formation	සැකැස්ම	වලාකුළු සැකැස්ම ඉක්මනින් වෙනස් වේ.
formerly	කලින්	ගොඩනැගිල්ල කලින් පාසලක් විය.
fortunate	වාසනාවන්ත	කලින් පැමිණීමට තරම් අපි වාසනාවන්ත වුණා.
forum	සංසදය	සංසදය දේශගුණික ප්‍රතිපත්තිය ගැන සාකච්ඡා කළේය.
fossil	පොසිල	පොසිලය ගලක් තුළ තිබී හමුවිය.
foundation	පදනම	නිවසට ශක්තිමත් අත්තිවාරමක් ඇත.
founder	නිර්මාතෘ	නිර්මාතෘවරයා අමුත්තන් පිළිගත්තේය.
fraction	භාගය	සිසුන්ගෙන් සුළු කොටසක් පමණක් පැමිණියහ.
fragment	කැබැල්ල	වීදුරු කැබැල්ලක් බිම වැටී තිබුණි.
framework	රාමුව	නීතිය මගින් පැහැදිලි රාමුවක් නිර්මාණය කරයි.
fraud	වංචාව	බැංකුව වංචාව හඳුනා ගත්තේය.
freely	නිදහසේ	ළමයින් පිටත නිදහසේ සෙල්ලම් කළහ.
frequent	නිතර	නිතර විවේක ගැනීමෙන් අවධානය වැඩි වේ.
fulfil	ඉටු කරනවා	මගේ පොරොන්දුව ඉටු කිරීමට මම බලාපොරොත්තු වෙමි.
full-time	පූර්ණ කාලීන	ඇයට පූර්ණ කාලීන රැකියාවක් තිබේ.
fundamentally	මූලික වශයෙන්	සැලැස්ම මූලික වශයෙන් වෙනස් ය.
furious	කෝපාවිෂ්ඨ	ප්‍රමාදය ගැන ඔහු කෝපයට පත් විය.
gaming	ක්‍රීඩා කිරීම	පරිගණක ක්‍රීඩා කිරීම ප්‍රතිචාර වේගය වැඩි දියුණු කළ හැකිය.
gay	සමලිංගික	ඔහු සමලිංගික අයිතිවාසිකම්වලට සහාය දෙයි.
gender	ස්ත්‍රී පුරුෂ භාවය	සමීක්ෂණය ස්ත්‍රී පුරුෂ භාවය පිළිබඳව විමසීය.
gene	ජානය	ජානය ඇසේ වර්ණයට බලපායි.
genetic	ජානමය	රෝගයට ජානමය හේතු ඇත.
genius	ප්‍රතිභාව	තරුණ පියානෝ වාදකයා බුද්ධිමතෙකි.
genuine	අව්‍යාජ	ඇගේ සිනහව අව්‍යාජ බවක් පෙනුණි.
genuinely	අව්‍යාජව	ඔහුට අවංකවම උදව් කිරීමට අවශ්‍ය විය.
gesture	ඉරියව්ව	ඇය මිත්‍රශීලී ඉඟියක් කළාය.
gig	ප්‍රසංගය	සංගීත කණ්ඩායම නගරයේ සංගීත සංදර්ශනයක් පැවැත්වීය.
globalization	ගෝලීයකරණය	ගෝලීයකරණය දේශීය ව්‍යාපාරවලට බලපායි.
