source_headword	DE	example_DE
trillion	die Billion	Die Schulden erreichten eine Billion Dollar.
troop	die Truppe	Die Truppe bewegte sich auf die Grenze zu.
tsunami	der Tsunami	Der Tsunami zerstörte Küstenhäuser.
ultimate	oberstes	Das oberste Ziel ist Frieden.
unacceptable	inakzeptabel	Die Verspätung war für die Passagiere inakzeptabel.
uncertainty	die Ungewissheit	Die Ungewissheit machte die Anleger nervös.
undergo	sich unterziehen	Der Patient wird sich morgen einer Operation unterziehen.
undertake	durchführen	Das Team wird eine Umfrage durchführen.
unfold	sich entfalten	Das Drama begann, sich langsam zu entfalten.
unfortunate	bedauerlich	Der Fehler war bedauerlich, aber behebbar.
unite	vereinen	Die Führer versuchten, die Partei zu vereinen.
unity	die Einheit	Die Rede rief zur nationalen Einheit auf.
universal	universell	Die App verwendet ein universelles Design.
urgent	dringend	Das Krankenhaus erhielt einen dringenden Anruf.
usage	die Verwendung	Der Leitfaden erklärt die richtige Verwendung.
useless	nutzlos	Das kaputte Ladegerät ist nutzlos.
valid	gültig	Ihr Reisepass ist noch gültig.
variation	die Variation	Es gibt große Variationen bei den Preisen.
vertical	vertikal	Das Diagramm hat eine vertikale Achse.
viewpoint	der Standpunkt	Ihr Standpunkt änderte sich nach der Debatte.
visa	das Visum	Er beantragte ein Studentenvisum.
visible	sichtbar	Das Schild ist von hier aus sichtbar.
voluntary	freiwillig	Der Kurs beinhaltet freiwillige Workshops.
voting	die Abstimmung	Die vorzeitige Abstimmung beginnt nächste Woche.
wander	schlendern	Touristen schlendern durch den alten Markt.
warming	die Erwärmung	Die globale Erwärmung beeinflusst den Meeresspiegel.
weekly	wöchentlich	Das Team hält ein wöchentliches Meeting ab.
weird	seltsam	Das Geräusch klang seltsam.
welfare	das Wohlergehen	Das Programm unterstützt das Wohlergehen von Kindern.
wheat	der Weizen	Der Bauer baut Weizen an.
whoever	wer auch immer	Wer auch immer zuerst ankommt, sollte draußen warten.
widespread	weit verbreitet	Der Sturm verursachte weit verbreitete Schäden.
wisdom	die Weisheit	Ihre Großmutter teilte praktische Weisheit.
withdraw	zurückziehen	Er beschloss, seinen Antrag zurückzuziehen.
workforce	die Belegschaft	Die Belegschaft benötigt neue Fähigkeiten.
workplace	der Arbeitsplatz	Der Arbeitsplatz hat klare Sicherheitsregeln.
workshop	der Workshop	Der Workshop beginnt um zehn.
worm	der Wurm	Ein Wurm bewegte sich über den Boden.
wrist	das Handgelenk	Sie hat sich am Handgelenk verletzt.
