simplified	MY	example_MY
悲观	အဆိုးမြင်သော	အလွန်အဆိုးမမြင်ပါနှင့်။
背	ကျော; ကျက်မှတ်သည်	သူသည် တံခါးကို ကျောပေးပြီး ထိုင်နေသည်။
背景	နောက်ခံ	သင့်နောက်ခံအကြောင်း အနည်းငယ် မိတ်ဆက်ပေးပါ။
被子	စောင်	စောင်က အလွန်နွေးသည်။
本科	ဘွဲ့ကြို	သူသည် ဘွဲ့ကြိုကျောင်းသားဖြစ်သည်။
本领	ကျွမ်းကျင်မှု; စွမ်းရည်	သူသည် ကျွမ်းကျင်မှုအသစ်တစ်ခု သင်ယူခဲ့သည်။
本质	အနှစ်သာရ; သဘာဝ	ပြဿနာ၏ အနှစ်သာရမှာ အလွန်ရိုးရှင်းသည်။
彼此	အချင်းချင်း	ကျွန်ုပ်တို့ အချင်းချင်း လေးစားသင့်သည်။
比例	အချိုးအစား	အမျိုးသားနှင့် အမျိုးသမီး အချိုးအစားမှာ အတော်တူသည်။
必然	မလွဲမသွေ; သေချာသော	ကြိုးစားမှုသည် မလွဲမသွေ ရလဒ်ပေးမည်။
必要	လိုအပ်သော	စိတ်ပူရန် မလိုအပ်ပါ။
毕竟	နောက်ဆုံးတော့; ဘယ်လိုပဲဖြစ်ဖြစ်	ဘယ်လိုပဲဖြစ်ဖြစ် သူက ကလေးတစ်ယောက်ပဲ ဖြစ်သေးသည်။
避免	ရှောင်ရှားသည်	ကျေးဇူးပြု၍ နောက်ကျခြင်းကို ရှောင်ရှားပါ။
编辑	တည်းဖြတ်သည်; တည်းဖြတ်သူ	သူသည် ဒီဆောင်းပါးကို တည်းဖြတ်ရန် တာဝန်ရှိသည်။
鞭炮	ဗျောက်အိုး; မီးရှူးမီးပန်းငယ်	နွေဦးပွဲတော်အချိန်တွင် လူတချို့ ဗျောက်အိုးဖောက်ကြသည်။
便	ပြီးနောက်; အဆင်ပြေသော	သူသည် ထမင်းစားပြီးနောက် အတန်းသို့ သွားခဲ့သည်။
辩论	ငြင်းခုံဆွေးနွေးသည်; ငြင်းခုံပွဲ	သူတို့သည် ဒီမေးခွန်းကို ငြင်းခုံဆွေးနွေးနေကြသည်။
标点	ဝါကျဖြတ်သင်္ကေတ	ဝါကျဖြတ်သင်္ကေတများကို သတိထားပါ။
标志	အမှတ်အသား; သင်္ကေတ	မီးနီသည် ရပ်ရန် အမှတ်အသားဖြစ်သည်။
表达	ဖော်ပြသည်; ထုတ်ဖော်ပြောသည်	သူသည် ကိုယ့်အမြင်ကို ဖော်ပြခဲ့သည်။
表面	မျက်နှာပြင်; အပြင်ပန်း	စားပွဲ၏ မျက်နှာပြင်က အလွန်သန့်ရှင်းသည်။
表明	ပြသသည်; ရှင်းလင်းဖော်ပြသည်	ရလဒ်က သူမှန်ကြောင်း ပြသသည်။
表情	မျက်နှာအမူအရာ	သူမ၏ မျက်နှာအမူအရာက အလွန်တည်ကြည်သည်။
表现	ပြသသည်; စွမ်းဆောင်ရည်	သူသည် ယနေ့ အလွန်ကောင်းစွာ စွမ်းဆောင်ခဲ့သည်။
冰激凌	ရေခဲမုန့်	ကလေးများသည် ရေခဲမုန့် စားရတာ ကြိုက်ကြသည်။
病毒	ဗိုင်းရပ်စ်	ဒီဗိုင်းရပ်စ်မျိုးသည် အလွန်လျင်မြန်စွာ ကူးစက်သည်။
播放	ဖွင့်ပြသည်; ထုတ်လွှင့်သည်	ကျေးဇူးပြု၍ ဒီသီချင်းကို ဖွင့်ပေးပါ။
玻璃	ဖန်	ဖန်ခွက် ကွဲသွားသည်။
博物馆	ပြတိုက်	ကျွန်ုပ်တို့ စနေ၊ တနင်္ဂနွေမှာ ပြတိုက်သို့ သွားမည်။
脖子	လည်ပင်း	ကျွန်တော့် လည်ပင်း နည်းနည်းနာနေသည်။
不断	အဆက်မပြတ်	စျေးနှုန်းများ အဆက်မပြတ် တက်နေသည်။
不见得	မဖြစ်မနေ မဟုတ်	ဒါဟာ မဖြစ်မနေ မကောင်းတဲ့ကိစ္စ မဟုတ်ပါ။
不耐烦	စိတ်မရှည်သော	အကြာကြီး စောင့်ပြီးနောက် သူ နည်းနည်းစိတ်မရှည်တော့သည်။
不要紧	ကိစ္စမရှိပါ; မပြင်းထန်ပါ	ရပါတယ်၊ ကိစ္စမရှိပါ။
补充	ဖြည့်စွက်သည်	ကျွန်တော် အမြင်တစ်ချက် ဖြည့်စွက်ချင်သည်။
不安	မအေးချမ်းသော; စိုးရိမ်သော	ဒီသတင်းကို ကြားပြီးနောက် သူမ စိုးရိမ်လာသည်။
不得了	အလွန်ပြင်းထန်သော; အရေးကြီးလှသော	ဒီကိစ္စက တကယ် အရေးကြီးလှသည်။
不然	မဟုတ်လျှင်	မြန်မြန်သွားပါ၊ မဟုတ်လျှင် နောက်ကျလိမ့်မည်။
不如	ထက်မကောင်း; ပိုကောင်းသည်	ကားစီးမည့်အစား လမ်းလျှောက်တာ ပိုကောင်းသည်။
不足	မလုံလောက်သော	ဒီနေရာမှာ ရေ မလုံလောက်ပါ။
布	အဝတ်စ	ဒီအဝတ်စက အလွန်နူးညံ့သည်။
步骤	အဆင့်; လုပ်ငန်းစဉ်	ကျေးဇူးပြု၍ အဆင့်များအတိုင်း လုပ်ဆောင်ပါ။
部门	ဌာန	ကျွန်တော် အရောင်းဌာနတွင် အလုပ်လုပ်သည်။
财产	ပိုင်ဆိုင်မှု; ဥစ္စာပစ္စည်း	ဒီအိမ်သည် သူ၏ ပိုင်ဆိုင်မှုဖြစ်သည်။
彩虹	သက်တံ	မိုးရွာပြီးနောက် သက်တံ ပေါ်လာသည်။
踩	နင်းသည်	မြက်ခင်းကို မနင်းပါနှင့်။
采访	တွေ့ဆုံမေးမြန်းသည်	သတင်းထောက်သည် ဆရာဝန်ကို တွေ့ဆုံမေးမြန်းနေသည်။
采取	ကျင့်သုံးသည်; ချမှတ်သည်	ကျွန်ုပ်တို့ နည်းလမ်းအသစ်ကို ကျင့်သုံးခဲ့သည်။
参考	ကိုးကားသည်	ကျေးဇူးပြု၍ ဒီစာအုပ်ကို ကိုးကားပါ။
参与	ပါဝင်သည်	သူသည် လှုပ်ရှားမှုများတွင် တက်ကြွစွာ ပါဝင်သည်။
惭愧	ရှက်သော	ကိုယ့်အမှားအတွက် ကျွန်တော် ရှက်မိသည်။
操场	အားကစားကွင်း; ကစားကွင်း	ကျောင်းသားများသည် အားကစားကွင်းတွင် ပြေးနေကြသည်။
操心	စိတ်ပူသည်	ကျွန်တော့်အတွက် စိတ်မပူပါနှင့်။
册	အုပ်; စာအုပ်ပမာဏ	ကျွန်တော် စာအုပ်တစ်အုပ် ဝယ်ခဲ့သည်။
测验	စမ်းသပ်စာမေးပွဲ	မနက်ဖြန် စမ်းသပ်စာမေးပွဲလေးတစ်ခု ရှိသည်။
曾经	တစ်ချိန်က	ကျွန်တော် တစ်ချိန်က ပေကျင်းတွင် နေခဲ့ဖူးသည်။
叉子	ခက်ရင်း	ကျွန်တော် ခက်ရင်းဖြင့် ဆလတ်သုပ် စားသည်။
差距	ကွာဟချက်	မြို့နှင့် ကျေးလက်ကြားတွင် ကွာဟချက် ရှိသည်။
插	ထိုးထည့်သည်	ပန်းများကို ပန်းအိုးထဲ ထိုးထည့်ပါ။
拆	ဖြိုဖျက်သည်; ဖောက်သည်	အလုပ်သမားများသည် အိမ်ဟောင်းကို ဖြိုဖျက်နေကြသည်။
产品	ထုတ်ကုန်	ဒီထုတ်ကုန်၏ အရည်အသွေး အလွန်ကောင်းသည်။
产生	ဖြစ်ပေါ်စေသည်; ပေါ်ပေါက်သည်	ဒီပြဿနာက သက်ရောက်မှုအသစ်တစ်ခု ဖြစ်ပေါ်စေခဲ့သည်။
常识	အခြေခံအသိပညာ	ဒါက အခြေခံအသိပညာ ဖြစ်သည်။
长途	အဝေးခရီး	အဝေးခရီးသွားခြင်းသည် ပင်ပန်းသည်။
抄	ကူးသည်	သူများ၏ အိမ်စာကို မကူးပါနှင့်။
超级	အလွန်; စူပါ	ဒါက စူပါမားကတ်တစ်ခု ဖြစ်သည်။
朝	မင်းဆက်; သို့ဦးတည်သည်	ထန်မင်းဆက်သည် အလွန်နာမည်ကြီးသည်။
潮湿	စိုထိုင်းသော	တောင်ပိုင်း၏ နွေရာသီသည် အလွန်စိုထိုင်းသည်။
吵	ဆူညံသော; ရန်ဖြစ်သည်	အပြင်ဘက်မှာ အလွန်ဆူညံနေသည်။
吵架	ရန်ဖြစ်သည်	သူတို့ ထပ်ပြီး ရန်ဖြစ်ကြသည်။
炒	ကြော်သည်	မေမေက ဟင်းကြော်နေသည်။
车库	ကားဂိုဒေါင်	ကားကို ကားဂိုဒေါင်ထဲမှာ ရပ်ထားသည်။
车厢	ရထားတွဲ	ဒီရထားတွဲက အလွန်တိတ်ဆိတ်သည်။
彻底	လုံးဝ; အပြည့်အဝ	သူ လုံးဝ နားလည်သွားပြီ။
沉默	တိတ်ဆိတ်နေသည်; နှုတ်ဆိတ်သည်	သူ တစ်ချိန်လုံး နှုတ်ဆိတ်နေခဲ့သည်။
趁	အခွင့်ကောင်းယူ၍; အချိန်မီ	မမှောင်ခင် အခွင့်ယူပြီး သွားကြစို့။
称	ချိန်သည်; ခေါ်သည်	ကျေးဇူးပြု၍ ဒီပါဆယ်ထုပ်ကို ချိန်ပေးပါ။
称呼	ခေါ်ဝေါ်သည်; အမည်ခေါ်ပုံ	သူ့ကို ဘယ်လိုခေါ်ရမလဲ ကျွန်တော် မသိပါ။
称赞	ချီးကျူးသည်	ဆရာက သူ၏ တိုးတက်မှုကို ချီးကျူးခဲ့သည်။
成分	ပါဝင်ပစ္စည်း; အစိတ်အပိုင်း	ဒီဆေး၏ ပါဝင်ပစ္စည်းများက ရိုးရှင်းသည်။
成果	ရလဒ်; အောင်မြင်မှု	ဒီစီမံကိန်းသည် ရလဒ်ရရှိခဲ့သည်။
成就	အောင်မြင်မှု	သူ၏ အလုပ်အကိုင်တွင် အောင်မြင်မှုများစွာ ရှိသည်။
成立	တည်ထောင်သည်	ကုမ္ပဏီကို မနှစ်က တည်ထောင်ခဲ့သည်။
成人	လူကြီး	လူကြီးလက်မှတ်က ကလေးလက်မှတ်ထက် ပိုစျေးကြီးသည်။
成熟	ရင့်မှည့်သော; ရင့်ကျက်သော	ပန်းသီးများ ရင့်မှည့်ပြီးပြီ။
成语	စကားပုံ; လေးလုံးစကား	ဒီစကားပုံကို မကြာခဏ သုံးကြသည်။
成长	ကြီးပြင်းသည်; ဖွံ့ဖြိုးသည်	ကလေးသည် ဖြည်းဖြည်းချင်း ကြီးပြင်းလာနေသည်။
承担	တာဝန်ယူသည်	သူသည် တာဝန်ယူရန် ဆန္ဒရှိသည်။
承认	ဝန်ခံသည်; အသိအမှတ်ပြုသည်	သူသည် ကိုယ်တိုင် မှားခဲ့ကြောင်း ဝန်ခံခဲ့သည်။
承受	ခံနိုင်သည်; ထမ်းနိုင်သည်	ဒီလောက်ကြီးမားသော ဖိအားကို ကျွန်တော် မခံနိုင်ပါ။
程度	အဆင့်; ပမာဏ	သူ၏ တရုတ်စာအဆင့် အလွန်မြင့်သည်။
程序	လုပ်ထုံးလုပ်နည်း; အစီအစဉ်	ကျေးဇူးပြု၍ လုပ်ထုံးလုပ်နည်းအတိုင်း ဆောင်ရွက်ပါ။
诚恳	ရိုးသားစစ်မှန်သော	သူ၏ သဘောထားက အလွန်ရိုးသားစစ်မှန်သည်။
吃亏	နစ်နာသည်; အရှုံးခံရသည်	ပစ္စည်းမဝယ်ခင် သေချာကြည့်ပါ၊ မနစ်နာပါစေနှင့်။
持续	ဆက်လက်ဖြစ်ပွားသည်	မိုးသည် သုံးရက်ဆက် ရွာခဲ့သည်။
池塘	ကန်ငယ်	ကန်ငယ်ထဲမှာ ငါးများစွာ ရှိသည်။
迟早	အနှေးနဲ့အမြန်	အနှေးနဲ့အမြန် မင်း နားလည်လာမည်။
尺子	ပေတံ	ကျေးဇူးပြု၍ ပေတံနဲ့ တိုင်းကြည့်ပါ။
翅膀	တောင်ပံ	ငှက်၏ တောင်ပံ ဒဏ်ရာရသွားသည်။
充电器	အားသွင်းစက်	ကျွန်တော့် အားသွင်းစက် ပျက်သွားသည်။
充分	လုံလောက်သော; ပြည့်စုံသော	ကျွန်ုပ်တို့ လုံလောက်သော ပြင်ဆင်မှုများ ပြုလုပ်ခဲ့သည်။
充满	ပြည့်နေသည်	အခန်းထဲမှာ ရယ်သံများ ပြည့်နေသည်။
冲	ရေဆေးသည်; တိုက်ခိုက်သည်	ကျေးဇူးပြု၍ ခွက်ကို ရေနဲ့ ဆေးပေးပါ။
重复	ထပ်လုပ်သည်	တူညီသော အမှားကို ထပ်မလုပ်ပါနှင့်။
宠物	အိမ်မွေးတိရစ္ဆာန်	သူမသည် အိမ်မွေးခွေးတစ်ကောင် မွေးထားသည်။
抽屉	အံဆွဲ	သော့က အံဆွဲထဲမှာ ရှိသည်။
抽象	စိတ္တဇဆန်သော; အယူအဆဆန်သော	ဒီအယူအဆက အလွန်စိတ္တဇဆန်သည်။
丑	ရုပ်ဆိုးသော	ဒီဓာတ်ပုံက နည်းနည်းရုပ်ဆိုးသည်။
臭	နံသော	အမှိုက်က အလွန်နံသည်။
出版	ထုတ်ဝေသည်	ဒီစာအုပ်ကို မနှစ်က ထုတ်ဝေခဲ့သည်။
出口	ထွက်ပေါက်; တင်ပို့သည်	ထွက်ပေါက်က ရှေ့မှာ ရှိသည်။
出色	ထူးချွန်သော	သူမ၏ စွမ်းဆောင်ရည်က အလွန်ထူးချွန်သည်။
出示	ပြသသည်	ကျေးဇူးပြု၍ သင်၏ ပတ်စပို့ကို ပြပါ။
出席	တက်ရောက်သည်	သူသည် အစည်းအဝေးကို တက်ရောက်မည်။
初级	အစပိုင်းအဆင့်	ကျွန်တော် အစပိုင်းအဆင့်တန်းတွင် တရုတ်စာ သင်နေသည်။
除非	မဟုတ်လျှင်; မှသာ	မိုးမရွာလျှင် မနက်ဖြန် တောင်တက်သွားမည်။
除夕	တရုတ်နှစ်သစ်ကူးအကြိုည	တရုတ်နှစ်သစ်ကူးအကြိုညတွင် မိသားစုအားလုံး အတူတူ ထမင်းစားကြသည်။
处理	ကိုင်တွယ်သည်; ဖြေရှင်းသည်	ဒီပြဿနာကို ကျွန်တော် ကိုင်တွယ်မည်။
传播	ပျံ့နှံ့သည်; ဖြန့်ဝေသည်	ဒီသတင်းက အလွန်လျင်မြန်စွာ ပျံ့နှံ့သွားသည်။
传染	ကူးစက်သည်	အအေးမိရောဂါက လွယ်လင့်တကူ ကူးစက်နိုင်သည်။
传说	ဒဏ္ဍာရီ	ဒါက ရှေးဟောင်းဒဏ္ဍာရီတစ်ပုဒ် ဖြစ်သည်။
传统	ရိုးရာ; အစဉ်အလာ	နွေဦးပွဲတော်သည် တရုတ်ရိုးရာပွဲတော်ဖြစ်သည်။
窗帘	လိုက်ကာ	ကျေးဇူးပြု၍ လိုက်ကာကို ဖွင့်ပေးပါ။
闯	အလျင်စလိုဝင်သည်; စည်းကမ်းချိုးသည်	သူ မတော်တဆ မီးနီဖြတ်သွားခဲ့သည်။
创造	ဖန်တီးသည်	လူများက ကိရိယာအသစ်များ ဖန်တီးခဲ့ကြသည်။
吹	မှုတ်သည်	လေက အလွန်ပြင်းပြင်း မှုတ်နေသည်။
词汇	ဝေါဟာရ	ဒီဝေါဟာရကို မကြာခဏ သုံးကြသည်။
辞职	အလုပ်ထွက်သည်	သူ အလုပ်ထွက်ရန် ဆုံးဖြတ်ခဲ့သည်။
此外	ထို့အပြင်	ထို့အပြင် ကျွန်တော့်မှာ နောက်မေးခွန်းတစ်ခု ရှိသေးသည်။
刺激	စိတ်လှုပ်ရှားဖွယ်; လှုံ့ဆော်သည်	ဒီဂိမ်းက အလွန်စိတ်လှုပ်ရှားဖွယ်ကောင်းသည်။
次要	ဒုတိယအရေးကြီးသော	ဒီပြဿနာက ဒုတိယအရေးကြီးသော ပြဿနာဖြစ်သည်။
匆忙	အလျင်အမြန်	သူ အိမ်မှ အလျင်အမြန် ထွက်ခွာခဲ့သည်။
从此	ထိုအချိန်မှစ၍	ထိုအချိန်မှစ၍ သူ နေ့တိုင်း လေ့ကျင့်ခန်းလုပ်သည်။
从而	ထို့ကြောင့်; အဲဒီနည်းဖြင့်	သူ ကြိုးစားစာသင်ခဲ့သောကြောင့် စာမေးပွဲ အောင်ခဲ့သည်။
从前	အရင်က; တစ်ချိန်က	အရင်က ဒီနေရာမှာ မြေအောက်ရထား မရှိခဲ့ပါ။
从事	လုပ်ကိုင်သည်; ပါဝင်လုပ်ဆောင်သည်	သူမသည် ပညာရေးလုပ်ငန်းကို လုပ်ကိုင်သည်။
粗糙	ကြမ်းတမ်းသော	ဒီစက္ကူရွက်က အလွန်ကြမ်းတမ်းသည်။
促进	မြှင့်တင်သည်	အားကစားလုပ်ခြင်းသည် ကျန်းမာရေးကို မြှင့်တင်နိုင်သည်။
促使	ဖြစ်စေသည်; တွန်းအားပေးသည်	ဒီကိစ္စက သူ့ကို အစီအစဉ်ပြောင်းစေခဲ့သည်။
醋	ရှလကာရည်	ဟင်းထဲတွင် ရှလကာရည် ထည့်ထားသည်။
催	တိုက်တွန်းသည်	မေမေက ကျွန်တော့်ကို မြန်မြန်ထွက်ရန် တိုက်တွန်းခဲ့သည်။
存在	တည်ရှိသည်	ဒီပြဿနာက အခုထိ တည်ရှိနေဆဲဖြစ်သည်။
措施	အစီအမံ	ကျောင်းက လုံခြုံရေးအစီအမံများ ချမှတ်ခဲ့သည်။
答应	သဘောတူသည်; ကတိပေးသည်	သူ ကျွန်တော့်ကို ကူညီရန် သဘောတူခဲ့သည်။
达到	ရောက်ရှိသည်; ပြည့်မီသည်	သူ၏ အမှတ်များသည် စံနှုန်းကို ပြည့်မီခဲ့သည်။
打工	အချိန်ပိုင်းအလုပ်လုပ်သည်	သူ နွေရာသီအားလပ်ရက်တွင် စားသောက်ဆိုင်၌ အချိန်ပိုင်းအလုပ်လုပ်သည်။
打交道	ဆက်ဆံသည်; အလုပ်အတူလုပ်သည်	ကျွန်တော် ဖောက်သည်များနှင့် မကြာခဏ ဆက်ဆံရသည်။
打喷嚏	နှာချေသည်	သူ အအေးမိပြီး တစ်ချိန်လုံး နှာချေနေသည်။
打听	စုံစမ်းမေးမြန်းသည်	ကျွန်တော် ရထားလက်မှတ်အကြောင်း စုံစမ်းမေးမြန်းချင်သည်။
大方	ရက်ရောသော	သူမသည် ငွေသုံးရာတွင် အလွန်ရက်ရောသည်။
大厦	အဆောက်အအုံကြီး	အဲဒီအဆောက်အအုံကြီးက အလွန်မြင့်သည်။
大象	ဆင်	ကလေးများသည် တိရစ္ဆာန်ရုံတွင် ဆင်များကို ကြည့်နေကြသည်။
大型	အကြီးစား	ဒီနေရာမှာ အကြီးစား စျေးဝယ်စင်တာတစ်ခု ဆောက်မည်။
呆	နေသည်; အငေးအမောဖြစ်သည်	သူ အိမ်မှာနေပြီး စာဖတ်နေသည်။
代表	ကိုယ်စားပြုသည်; ကိုယ်စားလှယ်	ဒီပန်းက မိတ်ဆွေဖြစ်မှုကို ကိုယ်စားပြုသည်။
代替	အစားထိုးသည်; ကိုယ်စား	ယနေ့ ကျွန်တော် သူ့အစား အစည်းအဝေးတက်မည်။
待遇	လစာအကျိုးခံစားခွင့်; ဆက်ဆံပုံ	ဒီကုမ္ပဏီ၏ အကျိုးခံစားခွင့်များ မဆိုးပါ။
贷款	ချေးငွေ	သူတို့ အိမ်ရာချေးငွေ လျှောက်ထားခဲ့ကြသည်။
单纯	ရိုးရှင်းသော	သူမ၏ အတွေးက အလွန်ရိုးရှင်းသည်။
单调	ငြီးငွေ့ဖွယ်; တစ်မျိုးတည်းဖြစ်သော	ဒီအလုပ်က နည်းနည်း ငြီးငွေ့ဖွယ်ကောင်းသည်။
单独	တစ်ယောက်တည်း; သီးသန့်	ကျွန်တော် သင်နှင့် သီးသန့် စကားပြောချင်သည်။
单位	အဖွဲ့အစည်း; ယူနစ်	သူသည် အများပြည်သူအဖွဲ့အစည်းတစ်ခုတွင် အလုပ်လုပ်သည်။
单元	အခန်း; ယူနစ်	ယနေ့ ကျွန်ုပ်တို့ တတိယအခန်းကို သင်နေကြသည်။
担任	တာဝန်ယူဆောင်ရွက်သည်	သူမသည် ဒီလှုပ်ရှားမှု၏ တာဝန်ခံအဖြစ် ဆောင်ရွက်နေသည်။
耽误	နှောင့်နှေးစေသည်; အချိန်ဖြုန်းသည်	အားလုံး၏ အချိန်ကို မဖြုန်းပါနှင့်။
胆小鬼	သတ္တိမရှိသူ	သူ့ကို သတ္တိမရှိသူလို့ မခေါ်ပါနှင့်။
淡	ပေါ့သော; အရသာမပြင်းသော	ဒီဟင်းရည်က နည်းနည်းပေါ့သည်။
当地	ဒေသခံ; ဒေသဆိုင်ရာ	ဒေသခံလူများအားလုံး ဒီစျေးကို ကြိုက်ကြသည်။
当心	သတိထားသည်	လမ်းက ချော်နေသည်၊ နည်းနည်းသတိထားပါ။
挡	ပိတ်ဆို့သည်	ဒီကားက ဝင်ပေါက်ကို ပိတ်ဆို့ထားသည်။
倒霉	ကံဆိုးသော	ဒီနေ့ တကယ်ကံဆိုးသည်၊ ဖုန်းပျောက်သွားသည်။
导演	ဒါရိုက်တာ; ညွှန်ကြားသည်	ဒီဒါရိုက်တာက အလွန်နာမည်ကြီးသည်။
导致	ဖြစ်စေသည်; ဖြစ်ပေါ်စေသည်	မိုးကြီးခြင်းက ယာဉ်ကြောပိတ်ဆို့မှု ဖြစ်စေခဲ့သည်။
岛屿	ကျွန်း	ဒီနိုင်ငံတွင် ကျွန်းများစွာ ရှိသည်။
到达	ရောက်ရှိသည်	ရထားက ရှန်ဟိုင်းသို့ အချိန်မှန် ရောက်ရှိခဲ့သည်။
道德	ကိုယ်ကျင့်တရား	လူဖြစ်လျှင် ကိုယ်ကျင့်တရား ရှိရမည်။
道理	အကြောင်းပြချက်; သဘောတရား	သူပြောတာက အလွန်အဓိပ္ပာယ်ရှိသည်။
登记	မှတ်ပုံတင်သည်; စာရင်းသွင်းသည်	ကျေးဇူးပြု၍ ရှေ့ကောင်တာတွင် အရင်စာရင်းသွင်းပါ။
等待	စောင့်ဆိုင်းသည်	ကျွန်ုပ်တို့ ရလဒ်ကို စောင့်ဆိုင်းနေကြသည်။
等于	ညီမျှသည်	ငါးပေါင်းငါးသည် ဆယ်နှင့် ညီမျှသည်။
滴	စက်; စက်ကျသည်	ရေတစ်စက် စားပွဲပေါ် ကျသွားသည်။
敌人	ရန်သူ	သူတို့သည် ရန်သူများ မဟုတ်ပါ။
的确	တကယ်ပင်; အမှန်ပင်	ဒီကိစ္စက တကယ်ပင် အရေးကြီးသည်။
地道	စစ်မှန်သော; သဘာဝကျသော	သူသည် စစ်မှန်သော ပေကျင်းစကား ပြောနိုင်သည်။
地理	ပထဝီဝင်	ကျွန်တော် တရုတ်နိုင်ငံ၏ ပထဝီဝင်ကို အလွန်စိတ်ဝင်စားသည်။
地区	ဒေသ; နယ်မြေ	ဒီဒေသတွင် ဆောင်းရာသီ အလွန်အေးသည်။
地毯	ကော်ဇော	ဧည့်ခန်းထဲတွင် ကော်ဇောတစ်ချပ် ခင်းထားသည်။
地位	နေရာ; အဆင့်အတန်း	ပညာရေးသည် လူ့အဖွဲ့အစည်းတွင် အရေးကြီးသောနေရာ ရှိသည်။
地震	ငလျင်	မနေ့ညက ဒီနေရာတွင် ငလျင်လှုပ်ခဲ့သည်။
递	လက်ဆင့်ကမ်းသည်; ပေးပို့သည်	ကျေးဇူးပြု၍ ဒီစာကို ဆရာ့ထံ လက်ဆင့်ကမ်းပေးပါ။
点心	မုန့်; အချိုပွဲ	မွန်းလွဲပိုင်းတွင် ကျွန်ုပ်တို့ မုန့်စားခဲ့သည်။
电池	ဘက်ထရီ	ဒီကစားစရာက ဘက်ထရီနှစ်လုံး လိုသည်။
