simplified	TE	example_TE	KN	example_KN	ML	example_ML
身体	శరీరం; ఆరోగ్యం	అతని ఆరోగ్యం బాగుంది.	ದೇಹ; ಆರೋಗ್ಯ	ಅವನ ಆರೋಗ್ಯ ಚೆನ್ನಾಗಿದೆ.	ശരീരം; ആരോഗ്യം	അവന്റെ ആരോഗ്യം നല്ലതാണ്.
生病	అనారోగ్యం చెందడం	అతనికి అనారోగ్యం వచ్చింది.	ಅನಾರೋಗ್ಯವಾಗುವುದು	ಅವನಿಗೆ ಅನಾರೋಗ್ಯವಾಯಿತು.	അസുഖം വരുക	അവന് അസുഖമായി.
生日	పుట్టినరోజు	ఈ రోజు నా పుట్టినరోజు.	ಹುಟ್ಟುಹಬ್ಬ	ಇಂದು ನನ್ನ ಹುಟ್ಟುಹಬ್ಬ.	ജന്മദിനം	ഇന്ന് എന്റെ ജന്മദിനമാണ്.
时间	సమయం	నా దగ్గర సమయం లేదు.	ಸಮಯ	ನನಗೆ ಸಮಯ ಇಲ್ಲ.	സമയം	എനിക്ക് സമയം ഇല്ല.
事情	విషయం; పని	నాకు చేయాల్సిన పని ఉంది.	ವಿಷಯ; ಕೆಲಸ	ನನಗೆ ಮಾಡಬೇಕಾದ ಕೆಲಸ ಇದೆ.	കാര്യം; ജോലി	എനിക്ക് ചെയ്യാനുള്ള കാര്യമുണ്ട്.
手表	చేతి గడియారం	ఈ చేతి గడియారం కొత్తది.	ಕೈಗಡಿಯಾರ	ಈ ಕೈಗಡಿಯಾರ ಹೊಸದು.	കൈഘടികാരം	ഈ കൈഘടികാരം പുതുതാണ്.
手机	మొబైల్ ఫోన్	నా మొబైల్ ఫోన్ మేజాపై ఉంది.	ಮೊಬೈಲ್ ಫೋನ್	ನನ್ನ ಮೊಬೈಲ್ ಫೋನ್ ಮೇಜಿನ ಮೇಲೆ ಇದೆ.	മൊബൈൽ ഫോൺ	എന്റെ മൊബൈൽ ഫോൺ മേശപ്പുറത്താണ്.
送	పంపడం; బహుమతిగా ఇవ్వడం	నేను నీకు ఒక పుస్తకం బహుమతిగా ఇస్తాను.	ಕಳುಹಿಸುವುದು; ಉಡುಗೊರೆಯಾಗಿ ಕೊಡುವುದು	ನಾನು ನಿನಗೆ ಒಂದು ಪುಸ್ತಕ ಉಡುಗೊರೆಯಾಗಿ ಕೊಡುತ್ತೇನೆ.	അയയ്ക്കുക; സമ്മാനിക്കുക	ഞാൻ നിനക്ക് ഒരു പുസ്തകം സമ്മാനിക്കുന്നു.
所以	అందుకే; కాబట్టి	ఈ రోజు వర్షం పడుతోంది, కాబట్టి నేను వెళ్లను.	ಆದ್ದರಿಂದ	ಇಂದು ಮಳೆ ಬರುತ್ತಿದೆ, ಆದ್ದರಿಂದ ನಾನು ಹೋಗುವುದಿಲ್ಲ.	അതുകൊണ്ട്	ഇന്ന് മഴ പെയ്യുന്നു, അതുകൊണ്ട് ഞാൻ പോകുന്നില്ല.
它	అది	అది నా పిల్లి.	ಅದು	ಅದು ನನ್ನ ಬೆಕ್ಕು.	അത്	അത് എന്റെ പൂച്ചയാണ്.
踢足球	ఫుట్‌బాల్ ఆడడం	వాళ్లు ఫుట్‌బాల్ ఆడుతున్నారు.	ಫುಟ್‌ಬಾಲ್ ಆಡುವುದು	ಅವರು ಫುಟ್‌ಬಾಲ್ ಆಡುತ್ತಾರೆ.	ഫുട്ബോൾ കളിക്കുക	അവർ ഫുട്ബോൾ കളിക്കുന്നു.
题	ప్రశ్న; విషయం	ఈ ప్రశ్న సరైనది కాదు.	ಪ್ರಶ್ನೆ; ವಿಷಯ	ಈ ಪ್ರಶ್ನೆ ಸರಿಯಲ್ಲ.	ചോദ്യം; വിഷയം	ഈ ചോദ്യം ശരിയല്ല.
跳舞	నృత్యం చేయడం	ఆమెకు నృత్యం చేయడం ఇష్టం.	ನೃತ್ಯ ಮಾಡುವುದು	ಅವಳಿಗೆ ನೃತ್ಯ ಮಾಡುವುದು ಇಷ್ಟ.	നൃത്തം ചെയ്യുക	അവൾക്ക് നൃത്തം ചെയ്യാൻ ഇഷ്ടമാണ്.
外	బయట	అతను తలుపు బయట ఉన్నాడు.	ಹೊರಗೆ	ಅವನು ಬಾಗಿಲಿನ ಹೊರಗೆ ಇದ್ದಾನೆ.	പുറത്ത്	അവൻ വാതിലിന് പുറത്താണ്.
完	ముగించడం; పూర్తి చేయడం	నేను పూర్తి చేశాను.	ಮುಗಿಸುವುದು	ನಾನು ಮುಗಿಸಿದ್ದೇನೆ.	പൂർത്തിയാക്കുക	ഞാൻ പൂർത്തിയാക്കി.
玩	ఆడడం; వినోదం చేయడం	పిల్లవాడు ఆడుతున్నాడు.	ಆಡುವುದು	ಮಗು ಆಟವಾಡುತ್ತಿದೆ.	കളിക്കുക	കുട്ടി കളിക്കുന്നു.
晚上	సాయంత్రం; రాత్రి	సాయంత్రం నేను సినిమా చూస్తాను.	ಸಂಜೆ; ರಾತ್ರಿ	ಸಂಜೆ ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತೇನೆ.	വൈകുന്നേരം; രാത്രി	വൈകുന്നേരം ഞാൻ സിനിമ കാണുന്നു.
为什么	ఎందుకు	నువ్వు ఎందుకు వెళ్లడం లేదు?	ಏಕೆ	ನೀನು ಏಕೆ ಹೋಗುತ್ತಿಲ್ಲ?	എന്തുകൊണ്ട്	നീ എന്തുകൊണ്ട് പോകുന്നില്ല?
问	అడగడం	నేను ఉపాధ్యాయుడిని అడుగుతాను.	ಕೇಳುವುದು	ನಾನು ಶಿಕ್ಷಕರನ್ನು ಕೇಳುತ್ತೇನೆ.	ചോദിക്കുക	ഞാൻ അധ്യാപകനോട് ചോദിക്കുന്നു.
问题	ప్రశ్న; సమస్య	నాకు ఒక ప్రశ్న ఉంది.	ಪ್ರಶ್ನೆ; ಸಮಸ್ಯೆ	ನನಗೆ ಒಂದು ಪ್ರಶ್ನೆ ಇದೆ.	ചോദ്യം; പ്രശ്നം	എനിക്ക് ഒരു ചോദ്യമുണ്ട്.
西瓜	పుచ్చకాయ	నేను పుచ్చకాయ తింటాను.	ಕಲ್ಲಂಗಡಿ	ನಾನು ಕಲ್ಲಂಗಡಿ ತಿನ್ನುತ್ತೇನೆ.	തണ്ണിമത്തൻ	ഞാൻ തണ്ണിമത്തൻ കഴിക്കുന്നു.
希望	ఆశించడం; ఆశ	నువ్వు వస్తావని నేను ఆశిస్తున్నాను.	ನಿರೀಕ್ಷಿಸುವುದು; ಆಶೆ	ನೀನು ಬರುತ್ತೀಯೆಂದು ನಾನು ಆಶಿಸುತ್ತೇನೆ.	പ്രതീക്ഷിക്കുക; പ്രതീക്ഷ	നീ വരുമെന്ന് ഞാൻ പ്രതീക്ഷിക്കുന്നു.
洗	కడగడం	నేను బట్టలు కడుగుతాను.	ತೊಳೆಯುವುದು	ನಾನು ಬಟ್ಟೆಗಳನ್ನು ತೊಳೆಯುತ್ತೇನೆ.	കഴുകുക	ഞാൻ വസ്ത്രങ്ങൾ കഴുകുന്നു.
向	వైపు	అతను నా వైపు నడుస్తాడు.	ಕಡೆಗೆ	ಅವನು ನನ್ನ ಕಡೆಗೆ ನಡೆಯುತ್ತಾನೆ.	നേരെ; ഭാഗത്തേക്ക്	അവൻ എന്റെ ഭാഗത്തേക്ക് നടക്കുന്നു.
小时	గంట	నేను రెండు గంటలు చదువుతాను.	ಗಂಟೆ	ನಾನು ಎರಡು ಗಂಟೆ ಓದುತ್ತೇನೆ.	മണിക്കൂർ	ഞാൻ രണ്ട് മണിക്കൂർ പഠിക്കുന്നു.
笑	నవ్వడం; చిరునవ్వు	ఆమె చిరునవ్వింది.	ನಗುವುದು; ಮುಗುಳ್ನಗು	ಅವಳು ನಕ್ಕಳು.	ചിരിക്കുക; പുഞ്ചിരിക്കുക	അവൾ പുഞ്ചിരിച്ചു.
新	కొత్త	ఇది కొత్త పుస్తకం.	ಹೊಸ	ಇದು ಹೊಸ ಪುಸ್ತಕ.	പുതിയ	ഇത് പുതിയ പുസ്തകമാണ്.
姓	ఇంటి పేరు	మీ ఇంటి పేరు ఏమిటి?	ಕುಟುಂಬ ಹೆಸರು; ಉಪನಾಮ	ನಿಮ್ಮ ಕುಟುಂಬ ಹೆಸರು ಏನು?	കുടുംബപ്പേര്	താങ്കളുടെ കുടുംബപ്പേര് എന്താണ്?
休息	విశ్రాంతి తీసుకోవడం	నేను విశ్రాంతి తీసుకోవాలని కోరుకుంటున్నాను.	ವಿಶ್ರಾಂತಿ ಪಡೆಯುವುದು	ನಾನು ವಿಶ್ರಾಂತಿ ಪಡೆಯಲು ಬಯಸುತ್ತೇನೆ.	വിശ്രമിക്കുക	എനിക്ക് വിശ്രമിക്കണം.
雪	మంచు	ఈ రోజు మంచు పడుతోంది.	ಹಿಮ	ಇಂದು ಹಿಮ ಬೀಳುತ್ತಿದೆ.	മഞ്ഞ്	ഇന്ന് മഞ്ഞ് പെയ്യുന്നു.
颜色	రంగు	నాకు ఈ రంగు ఇష్టం.	ಬಣ್ಣ	ನನಗೆ ಈ ಬಣ್ಣ ಇಷ್ಟ.	നിറം	എനിക്ക് ഈ നിറം ഇഷ്ടമാണ്.
眼睛	కన్ను	ఆమె కళ్ళు పెద్దవి.	ಕಣ್ಣು	ಅವಳ ಕಣ್ಣುಗಳು ದೊಡ್ಡವು.	കണ്ണ്	അവളുടെ കണ്ണുകൾ വലുതാണ്.
羊肉	గొర్రె మాంసం	నేను గొర్రె మాంసం తినను.	ಕುರಿ ಮಾಂಸ	ನಾನು ಕುರಿ ಮಾಂಸ ತಿನ್ನುವುದಿಲ್ಲ.	ആട്ടിറച്ചി	ഞാൻ ആട്ടിറച്ചി കഴിക്കില്ല.
药	మందు	అతను మందు తీసుకుంటాడు.	ಔಷಧಿ	ಅವನು ಔಷಧಿ ತೆಗೆದುಕೊಳ್ಳುತ್ತಾನೆ.	മരുന്ന്	അവൻ മരുന്ന് കഴിക്കുന്നു.
要	కావాలి; కోరుకోవడం	నేను నీళ్లు తాగాలని కోరుకుంటున్నాను.	ಬಯಸುವುದು; ಬೇಕಾಗುವುದು	ನಾನು ನೀರು ಕುಡಿಯಲು ಬಯಸುತ್ತೇನೆ.	വേണം; ആഗ്രഹിക്കുക	എനിക്ക് വെള്ളം കുടിക്കണം.
也	కూడా	నేను కూడా వెళ్తాను.	ಸಹ	ನಾನೂ ಹೋಗುತ್ತೇನೆ.	കൂടെയും	ഞാനും പോകുന്നു.
已经	ఇప్పటికే	నేను ఇప్పటికే చేరుకున్నాను.	ಈಗಾಗಲೇ	ನಾನು ಈಗಾಗಲೇ ತಲುಪಿದ್ದೇನೆ.	ഇതിനകം	ഞാൻ ഇതിനകം എത്തി.
一起	కలిసి	మనం కలిసి వెళ్తాం.	ಒಟ್ಟಿಗೆ	ನಾವು ಒಟ್ಟಿಗೆ ಹೋಗುತ್ತೇವೆ.	ഒരുമിച്ച്	നാം ഒരുമിച്ച് പോകുന്നു.
意思	అర్థం; భావం	ఈ అక్షరానికి అర్థం ఏమిటి?	ಅರ್ಥ; ಭಾವ	ಈ ಅಕ್ಷರದ ಅರ್ಥ ಏನು?	അർത്ഥം; ആശയം	ഈ അക്ഷരത്തിന്റെ അർത്ഥം എന്താണ്?
阴	మబ్బుగా; మేఘావృతంగా	ఈ రోజు మబ్బుగా ఉంది.	ಮೋಡ ಕವಿದ; ಕತ್ತಲಾದ	ಇಂದು ಮೋಡ ಕವಿದಿದೆ.	മേഘാവൃതം	ഇന്ന് മേഘാവൃതമാണ്.
因为	ఎందుకంటే	వర్షం పడుతోంది కాబట్టి నేను వెళ్లను.	ಏಕೆಂದರೆ	ಮಳೆ ಬರುತ್ತಿರುವುದರಿಂದ ನಾನು ಹೋಗುವುದಿಲ್ಲ.	കാരണം	മഴ പെയ്യുന്നതിനാൽ ഞാൻ പോകുന്നില്ല.
游泳	ఈత కొట్టడం	నేను ఈత కొట్టగలను.	ಈಜುವುದು	ನಾನು ಈಜಬಹುದು.	നീന്തുക	എനിക്ക് നീന്താൻ കഴിയും.
右边	కుడి వైపు	దుకాణం కుడి వైపు ఉంది.	ಬಲಭಾಗ	ಅಂಗಡಿ ಬಲಭಾಗದಲ್ಲಿದೆ.	വലത് വശം	കട വലത് വശത്താണ്.
鱼	చేప	నేను చేప తింటాను.	ಮೀನು	ನಾನು ಮೀನು ತಿನ್ನುತ್ತೇನೆ.	മീൻ	ഞാൻ മീൻ കഴിക്കുന്നു.
元	యువాన్; కరెన్సీ యూనిట్	ఈ కప్పు ధర పది యువాన్.	ಯುವಾನ್; ಹಣದ ಘಟಕ	ಈ ಕಪ್ ಬೆಲೆ ಹತ್ತು ಯುವಾನ್.	യുവാൻ; നാണയഘടകം	ഈ കപ്പിന്റെ വില പത്ത് യുവാനാണ്.
远	దూరం	విమానాశ్రయం దూరంగా ఉంది.	ದೂರ	ವಿಮಾನ ನಿಲ್ದಾಣ ದೂರದಲ್ಲಿದೆ.	ദൂരം	വിമാനത്താവളം ദൂരെയാണ്.
运动	క్రీడలు; వ్యాయామం	నాకు వ్యాయామం చేయడం ఇష్టం.	ಕ್ರೀಡೆ; ವ್ಯಾಯಾಮ	ನನಗೆ ವ್ಯಾಯಾಮ ಮಾಡುವುದು ಇಷ್ಟ.	കായികം; വ്യായാമം	എനിക്ക് വ്യായാമം ഇഷ്ടമാണ്.
再	మళ్లీ; తరువాత	నేను రేపు మళ్లీ వస్తాను.	ಮತ್ತೆ; ನಂತರ	ನಾನು ನಾಳೆ ಮತ್ತೆ ಬರುತ್ತೇನೆ.	വീണ്ടും; പിന്നെ	ഞാൻ നാളെ വീണ്ടും വരും.
早上	ఉదయం	ఉదయం నేను టీ తాగుతాను.	ಬೆಳಿಗ್ಗೆ	ಬೆಳಿಗ್ಗೆ ನಾನು ಚಹಾ ಕುಡಿಯುತ್ತೇನೆ.	രാവിലെ	രാവിലെ ഞാൻ ചായ കുടിക്കുന്നു.
张	సమతల వస్తువుల లెక్కపదం	నేను ఒక టికెట్ కొనుగోలు చేశాను.	ಚಪ್ಪಟೆ ವಸ್ತುಗಳಿಗೆ ಎಣಿಕೆ ಪದ	ನಾನು ಒಂದು ಟಿಕೆಟ್ ಖರೀದಿಸಿದೆ.	പരന്ന വസ്തുക്കൾക്കുള്ള എണ്ണൽപദം	ഞാൻ ഒരു ടിക്കറ്റ് വാങ്ങി.
丈夫	భర్త	ఆమె భర్త డాక్టర్.	ಗಂಡ; ಪತಿ	ಅವಳ ಗಂಡ ಡಾಕ್ಟರ್.	ഭർത്താവ്	അവളുടെ ഭർത്താവ് ഡോക്ടറാണ്.
找	వెతకడం	నేను ఒక స్నేహితుడిని వెతుకుతున్నాను.	ಹುಡುಕುವುದು	ನಾನು ಒಬ್ಬ ಸ್ನೇಹಿತನನ್ನು ಹುಡುಕುತ್ತಿದ್ದೇನೆ.	തിരയുക	ഞാൻ ഒരു സുഹൃത്തിനെ തിരയുന്നു.
着	నిరంతర స్థితి కణం	తలుపు తెరిచి ఉంది.	ನಿರಂತರ ಸ್ಥಿತಿ ಸೂಚಕ ಕಣ	ಬಾಗಿಲು ತೆರೆದಿದೆ.	തുടർച്ചാവസ്ഥ കണം	വാതിൽ തുറന്നിരിക്കുന്നു.
真	నిజంగా; నిజమైన	ఈ పుస్తకం నిజంగా మంచిది.	ನಿಜವಾಗಿಯೂ; ನಿಜವಾದ	ಈ ಪುಸ್ತಕ ನಿಜವಾಗಿಯೂ ಚೆನ್ನಾಗಿದೆ.	ശരിക്കും; യഥാർത്ഥ	ഈ പുസ്തകം ശരിക്കും നല്ലതാണ്.
正在	చేస్తూ ఉండడం	అతను టీవీ చూస్తున్నాడు.	ಮಾಡುತ್ತಿರುವುದು	ಅವನು ಟಿವಿ ನೋಡುತ್ತಿದ್ದಾನೆ.	ചെയ്തുകൊണ്ടിരിക്കുന്നത്	അവൻ ടിവി കാണുകയാണ്.
知道	తెలుసుకోవడం	నాకు తెలియదు.	ತಿಳಿದುಕೊಳ್ಳುವುದು	ನನಗೆ ಗೊತ್ತಿಲ್ಲ.	അറിയുക	എനിക്ക് അറിയില്ല.
准备	సిద్ధం చేయడం; సిద్ధత	నేను పరీక్షకు సిద్ధమవుతున్నాను.	ಸಿದ್ಧಪಡಿಸುವುದು; ಸಿದ್ಧತೆ	ನಾನು ಪರೀಕ್ಷೆಗೆ ಸಿದ್ಧಗೊಳ್ಳುತ್ತಿದ್ದೇನೆ.	തയ്യാറാക്കുക; തയ്യാറെടുപ്പ്	ഞാൻ പരീക്ഷയ്ക്ക് തയ്യാറെടുക്കുന്നു.
自行车	సైకిల్	నా సైకిల్ కొత్తది.	ಸೈಕಲ್	ನನ್ನ ಸೈಕಲ್ ಹೊಸದು.	സൈക്കിൾ	എന്റെ സൈക്കിൾ പുതുതാണ്.
走	నడవడం; వెళ్లడం	నేను నడుచుకుంటూ ఇంటికి వెళ్తాను.	ನಡೆಯುವುದು; ಹೋಗುವುದು	ನಾನು ನಡೆದು ಮನೆಗೆ ಹೋಗುತ್ತೇನೆ.	നടക്കുക; പോകുക	ഞാൻ നടന്ന് വീട്ടിലേക്ക് പോകുന്നു.
最	అత్యంత; అన్నిటికంటే	అతను అందరిలోకెల్లా ఎత్తుగా ఉన్నాడు.	ಅತ್ಯಂತ; ಎಲ್ಲಕ್ಕಿಂತ	ಅವನು ಎಲ್ಲರಿಗಿಂತ ಎತ್ತರವಾಗಿದ್ದಾನೆ.	ഏറ്റവും	അവൻ എല്ലാവരിലും ഉയരമുള്ളവനാണ്.
左边	ఎడమ వైపు	పాఠశాల ఎడమ వైపు ఉంది.	ಎಡಭಾಗ	ಶಾಲೆ ಎಡಭಾಗದಲ್ಲಿದೆ.	ഇടത് വശം	സ്കൂൾ ഇടത് വശത്താണ്.
