source_headword	IT	example_IT
conference	la conferenza	La conferenza inizia alle nove.
connect	collegare; connettere	Collega il telefono al computer.
connected	collegato; connesso	Queste due idee sono connesse.
consider	considerare; pensare	Considera la mia idea, per favore.
contain	contenere	Questa scatola contiene libri.
context	il contesto	Il contesto aiuta a capire.
continent	il continente	Il continente è molto grande.
continue	continuare	Continua a leggere, per favore.
control	il controllo; controllare	Controlla la velocità con attenzione.
cooker	il fornello; la cucina	Il fornello è pulito.
copy	la copia; copiare	Fammi una copia.
corner	l'angolo	Siediti nell'angolo.
correctly	correttamente	Scrivi la risposta correttamente.
count	contare; il conteggio	Conta i libri.
couple	la coppia	La coppia è arrivata presto.
cover	coprire; la copertura	Copri la ciotola.
crazy	pazzo	Questa idea sembra pazza.
creative	creativo	Lei ha un'idea creativa.
credit	il credito	Ho pagato con carta di credito.
crime	il crimine; la criminalità	La criminalità è un problema serio.
criminal	il criminale; criminale	Il criminale è andato via in fretta.
cross	attraversare; la croce	Attraversa la strada con attenzione.
crowd	la folla	La folla aspettava fuori.
crowded	affollato	Il treno era affollato.
cry	piangere; il grido	Non piangere adesso.
cupboard	l'armadio; la credenza	Le tazze sono nella credenza.
curly	riccio	Lei ha i capelli ricci.
cycle	andare in bicicletta; il ciclo	Vado a scuola in bicicletta.
daily	quotidiano; ogni giorno	Leggo le notizie ogni giorno.
danger	il pericolo	Il cartello indica pericolo.
data	i dati	Questi dati sono utili.
dead	morto	La pianta è morta.
deal	l'offerta; l'accordo	Questa è una buona offerta.
death	la morte	La morte è un argomento difficile.
decision	la decisione	Prendi una decisione oggi.
deep	profondo	L'acqua è profonda.
definitely	decisamente; sicuramente	Voglio sicuramente del tè.
degree	il titolo; il grado	Il mio titolo è in storia.
dentist	il dentista; la dentista	Il dentista ha controllato i miei denti.
department	il reparto; il dipartimento	Il reparto scarpe è di sopra.
depend	dipendere	Dipende dal tempo.
desert	il deserto	Il deserto è molto secco.
designer	il designer; la designer	La designer ha creato questo vestito.
destroy	distruggere	Non distruggere il file.
detective	il detective; la detective	Il detective ha trovato la chiave.
develop	sviluppare	Loro sviluppano una nuova app.
device	il dispositivo	Questo dispositivo è utile.
diary	il diario	Lei scrive nel suo diario.
differently	diversamente	Lo facciamo diversamente.
digital	digitale	Questa è una fotocamera digitale.
direct	diretto; dirigere	Prendi il treno diretto.
direction	la direzione	Vai in questa direzione.
director	il direttore; il regista	Il regista ha apprezzato il film.
disagree	non essere d'accordo	Non sono d'accordo con questa idea.
disappear	scomparire	Il sole scomparirà presto.
disaster	il disastro	La tempesta è stata un disastro.
discover	scoprire	Loro scoprono una nuova isola.
discovery	la scoperta	La scoperta ha cambiato la scienza.
discussion	la discussione	La discussione è finita presto.
disease	la malattia	Questa malattia è seria.
distance	la distanza	La distanza è breve.
divorced	divorziato	I suoi genitori sono divorziati.
document	il documento; documentare	Salva questo documento ora.
double	doppio; la camera doppia	Ho bisogno di una camera doppia.
download	scaricare; il download	Scarica l'app oggi.
drama	il dramma	Il dramma inizia stasera.
drawing	il disegno	Il suo disegno è bello.
dream	il sogno; sognare	Ho fatto un sogno strano.
driving	la guida	Guidare di notte è difficile.
drop	lasciare cadere; la goccia	Non lasciare cadere il bicchiere.
drug	il farmaco; la droga	Il farmaco lo ha aiutato.
dry	asciutto; asciugare	L'asciugamano è asciutto.
earn	guadagnare	Guadagno soldi al lavoro.
earth	la Terra	La Terra è rotonda.
easily	facilmente	Lei impara facilmente.
education	l'istruzione; l'educazione	L'istruzione è importante.
effect	l'effetto	L'effetto era chiaro.
either	uno dei due; neanche	Una delle due risposte va bene.
electric	elettrico	Questa auto è elettrica.
electrical	elettrico	L'impianto elettrico è sicuro.
electricity	l'elettricità	La corrente è cara qui.
electronic	elettronico	Questo biglietto elettronico funziona.
employ	impiegare; assumere	Loro assumono cinque persone.
employee	il dipendente; la dipendente	Il dipendente lavora molto.
employer	il datore di lavoro; la datrice di lavoro	Il mio datore di lavoro è giusto.
empty	vuoto; svuotare	La stanza è vuota.
ending	la fine; il finale	Il finale era inatteso.
energy	l'energia	Oggi non ho energia.
engine	il motore	Il motore è rumoroso.
engineer	l'ingegnere; l'ingegnera	L'ingegnera ha riparato il ponte.
enormous	enorme	L'edificio è enorme.
enter	entrare; inserire	Entra nella stanza piano.
environment	l'ambiente	Proteggi l'ambiente.
equipment	l'attrezzatura	Questa attrezzatura è costosa.
error	l'errore	Ho trovato un errore.
especially	soprattutto; specialmente	Mi piace soprattutto questa canzone.
essay	il tema; il saggio	Scrivi un tema stasera.
everyday	quotidiano; di tutti i giorni	Questo è inglese quotidiano.
everywhere	ovunque	I fiori crescono ovunque.
evidence	la prova; le prove	Le prove sono chiare.
exact	esatto	Dimmi il numero esatto.
exactly	esattamente	È esattamente giusto.
excellent	eccellente	Il tuo lavoro è eccellente.
except	tranne	Tutti sono venuti tranne me.
exist	esistere	Esiste questo indirizzo?
expect	aspettarsi; prevedere	Mi aspetto pioggia domani.
experience	l'esperienza	Ho esperienza con i bambini.
experiment	l'esperimento	L'esperimento è andato bene.
expert	l'esperto; l'esperta	Chiedi aiuto a un'esperta.
explanation	la spiegazione	La sua spiegazione era chiara.
express	esprimere	Esprimi la tua opinione, per favore.
expression	l'espressione	Questa espressione è comune.
extreme	estremo	Il caldo era estremo.
extremely	estremamente; molto	Fa estremamente freddo.
factor	il fattore	Il costo è un fattore.
factory	la fabbrica	La fabbrica chiude alle cinque.
fail	fallire; bocciare	Non ho fallito l'esame.
fair	giusto; equo	Il prezzo è giusto.
fan	il ventilatore; il fan	Accendi il ventilatore.
farming	l'agricoltura	L'agricoltura è un lavoro duro.
fashion	la moda	La moda cambia ogni anno.
fear	la paura; temere	La paura può fermare le persone.
feature	la caratteristica; la funzione	Questo telefono ha una funzione utile.
feed	dare da mangiare; il cibo	Dai da mangiare al gatto ora.
female	femminile; la femmina	L'atleta femminile ha vinto.
fiction	la narrativa; la finzione	Lei legge narrativa la sera.
field	il campo; il settore	Il campo è verde.
fight	combattere; la lotta	Loro litigano troppo.
figure	la figura; il numero	Guarda la figura.
finally	finalmente	Finalmente siamo arrivati a casa.
finger	il dito	Mi fa male il dito.
firstly	prima di tutto	Prima di tutto, leggi la domanda.
fishing	la pesca	La pesca è popolare qui.
fit	andare bene; stare bene	Queste scarpe vanno bene.
fix	riparare; fissare	Ripara la sedia rotta.
flu	l'influenza	Ho l'influenza.
flying	il volo; volante	Il volo è veloce.
focus	concentrarsi; il focus	Concentrati su questo compito.
following	seguente	Leggi la frase seguente.
foreign	straniero	Lei parla una lingua straniera.
forest	la foresta; il bosco	Il bosco è silenzioso.
fork	la forchetta	Usa la forchetta.
formal	formale	Questa lettera è formale.
fortunately	fortunatamente	Fortunatamente nessuno si è fatto male.
forward	avanti	Muoviti lentamente avanti.
fresh	fresco	Il pane è fresco.
