simplified	MS	example_MS
惭愧	malu; berasa bersalah	Saya berasa malu atas kesilapan sendiri.
操场	padang sekolah	Para pelajar sedang berlari di padang sekolah.
操心	risau	Jangan risau tentang saya.
册	jilid; buku kecil	Saya membeli satu jilid buku.
测验	ujian	Esok ada ujian kecil.
曾经	pernah	Saya pernah tinggal di Beijing.
叉子	garpu	Saya makan salad dengan garpu.
差距	jurang	Terdapat jurang antara bandar dan luar bandar.
插	memasukkan	Sila masukkan bunga ke dalam pasu.
拆	merobohkan; membuka	Para pekerja sedang merobohkan rumah lama.
产品	produk	Kualiti produk ini sangat baik.
产生	menghasilkan; timbul	Isu ini menghasilkan kesan baharu.
常识	pengetahuan umum	Ini pengetahuan umum asas.
长途	jarak jauh	Perjalanan jarak jauh memenatkan.
抄	menyalin	Jangan salin kerja rumah orang lain.
超级	super; sangat	Ini sebuah pasar raya besar.
朝	dinasti	Dinasti Tang sangat terkenal.
潮湿	lembap	Musim panas di selatan sangat lembap.
吵	bising	Di luar sangat bising.
吵架	bertengkar	Mereka bertengkar lagi.
炒	menumis	Ibu sedang menumis makanan.
车库	garaj	Kereta itu diletakkan di garaj.
车厢	gerabak	Gerabak kereta api ini sangat sunyi.
彻底	menyeluruh; sepenuhnya	Dia faham sepenuhnya.
沉默	diam	Dia diam sepanjang masa.
趁	sempena; sementara	Marilah kita bertolak sementara hari belum gelap.
称	menimbang; menyebut	Sila timbang bungkusan ini.
称呼	panggilan; memanggil	Saya tidak tahu bagaimana hendak memanggilnya.
称赞	memuji	Guru memuji kemajuannya.
成分	bahan; komposisi	Bahan ubat ini ringkas.
成果	hasil; pencapaian	Projek ini mencapai hasil.
成就	pencapaian	Dia mempunyai banyak pencapaian dalam kerjayanya.
成立	ditubuhkan; menubuhkan	Syarikat itu ditubuhkan tahun lalu.
成人	orang dewasa	Tiket orang dewasa lebih mahal daripada tiket kanak-kanak.
成熟	matang; masak	Epal itu sudah masak.
成语	peribahasa Cina	Peribahasa Cina ini sering digunakan.
成长	membesar; berkembang	Kanak-kanak itu sedang membesar perlahan-lahan.
承担	menanggung; memikul	Dia sanggup memikul tanggungjawab.
承认	mengakui	Dia mengakui bahawa dia salah.
承受	menanggung	Saya tidak dapat menanggung tekanan sebesar itu.
程度	tahap; darjah	Tahap bahasa Cinanya sangat tinggi.
程序	prosedur	Sila uruskan mengikut prosedur.
诚恳	ikhlas	Sikapnya sangat ikhlas.
吃亏	rugi; menanggung kerugian	Lihat dengan teliti sebelum membeli barang supaya tidak rugi.
持续	berterusan	Hujan berterusan selama tiga hari.
池塘	kolam	Terdapat banyak ikan di dalam kolam.
迟早	lambat-laun	Lambat-laun kamu akan faham.
尺子	pembaris	Sila ukur dengan pembaris.
翅膀	sayap	Sayap burung itu cedera.
充电器	pengecas	Pengecas saya rosak.
充分	mencukupi; sepenuhnya	Kami membuat persiapan yang mencukupi.
充满	penuh dengan	Bilik itu penuh dengan gelak ketawa.
冲	membilas	Sila bilas cawan itu dengan air.
重复	mengulang	Sila jangan ulang kesilapan yang sama.
宠物	haiwan peliharaan	Dia memelihara seekor anjing peliharaan.
抽屉	laci	Kunci itu ada di dalam laci.
抽象	abstrak	Konsep ini terlalu abstrak.
丑	hodoh	Gambar ini agak hodoh.
臭	busuk	Sampah itu berbau busuk.
出版	menerbitkan	Buku ini diterbitkan tahun lalu.
出口	pintu keluar	Pintu keluar berada di hadapan.
出色	cemerlang	Persembahannya sangat cemerlang.
出示	menunjukkan	Sila tunjukkan pasport anda.
出席	menghadiri	Dia akan menghadiri mesyuarat itu.
初级	tahap asas	Saya belajar bahasa Cina di kelas tahap asas.
除非	kecuali	Kecuali hujan, kami akan mendaki esok.
除夕	malam Tahun Baharu Cina	Pada malam Tahun Baharu Cina, seluruh keluarga kami makan bersama.
处理	menangani; mengurus	Saya akan menangani masalah ini.
传播	menyebarkan	Berita ini tersebar dengan sangat cepat.
传染	berjangkit	Selesema mudah berjangkit.
传说	legenda	Ini legenda kuno.
传统	tradisi; tradisional	Tahun Baharu Cina ialah perayaan tradisional Cina.
窗帘	langsir	Sila buka langsir.
闯	menerobos; melanggar	Dia tidak sengaja melanggar lampu merah.
创造	mencipta	Manusia mencipta alat baharu.
吹	meniup	Angin bertiup kuat.
词汇	kosa kata	Kosa kata ini sering digunakan.
辞职	meletak jawatan	Dia memutuskan untuk meletak jawatan.
此外	selain itu	Selain itu, saya ada satu lagi soalan.
刺激	merangsang; mendebarkan	Permainan ini sangat mendebarkan.
次要	sekunder; kurang utama	Masalah ini kurang utama.
匆忙	tergesa-gesa	Dia keluar dari rumah dengan tergesa-gesa.
从此	sejak itu	Sejak itu, dia bersenam setiap hari.
从而	dengan itu	Dia belajar bersungguh-sungguh dan dengan itu lulus peperiksaan.
从前	dahulu	Dahulu tiada kereta api bawah tanah di sini.
从事	menceburi; bekerja dalam	Dia bekerja dalam bidang pendidikan.
粗糙	kasar	Kertas ini sangat kasar.
促进	menggalakkan; memajukan	Bersenam boleh menggalakkan kesihatan.
促使	mendorong	Perkara ini mendorongnya menukar rancangan.
醋	cuka	Cuka ditambahkan ke dalam hidangan itu.
催	mendesak	Ibu mendesak saya supaya cepat keluar.
存在	wujud	Masalah ini masih wujud.
措施	langkah	Pihak sekolah mengambil langkah keselamatan.
答应	bersetuju; berjanji	Dia bersetuju untuk membantu saya.
达到	mencapai	Markahnya mencapai piawaian.
打工	bekerja sambilan	Semasa cuti musim panas, dia bekerja sambilan di restoran.
打交道	berurusan	Saya sering berurusan dengan pelanggan.
打喷嚏	bersin	Dia selesema dan asyik bersin.
打听	bertanya tentang	Saya ingin bertanya tentang tiket kereta api.
大方	pemurah	Dia sangat pemurah dengan wang.
大厦	bangunan besar	Bangunan besar itu sangat tinggi.
大象	gajah	Kanak-kanak sedang melihat gajah di zoo.
大型	berskala besar	Sebuah pusat beli-belah besar akan dibina di sini.
呆	tinggal; terpaku	Dia tinggal di rumah membaca buku.
代表	mewakili; wakil	Bunga ini mewakili persahabatan.
代替	menggantikan	Hari ini saya akan menghadiri mesyuarat menggantikannya.
待遇	faedah; layanan	Faedah di syarikat ini baik.
贷款	pinjaman	Mereka memohon pinjaman rumah.
单纯	sederhana; tulus	Fikirannya sangat sederhana.
单调	membosankan; monoton	Kerja ini agak membosankan.
单独	bersendirian	Saya ingin bercakap dengan kamu secara bersendirian.
单位	unit; tempat kerja	Dia bekerja di sebuah institusi awam.
单元	unit	Hari ini kami belajar Unit Tiga.
担任	memegang jawatan	Dia memegang jawatan sebagai orang yang bertanggungjawab untuk acara ini.
耽误	melambatkan; membuang masa	Jangan buang masa semua orang.
胆小鬼	penakut	Jangan panggil dia penakut.
淡	hambar	Sup semangkuk ini agak hambar.
当地	tempatan	Orang tempatan semuanya suka pasar ini.
当心	berhati-hati	Jalan licin, jadi berhati-hati.
挡	menghalang	Kereta ini menghalang pintu masuk.
倒霉	malang	Hari ini benar-benar malang; telefon saya hilang.
导演	pengarah	Pengarah ini sangat terkenal.
导致	menyebabkan	Hujan lebat menyebabkan kesesakan lalu lintas.
岛屿	pulau	Negara ini mempunyai banyak pulau.
到达	tiba	Kereta api tiba di Shanghai tepat pada waktunya.
道德	moral; etika	Seseorang patut mempunyai prinsip moral.
道理	alasan; prinsip	Apa yang dia katakan sangat masuk akal.
登记	mendaftar	Sila daftar di kaunter dahulu.
等待	menunggu	Kami sedang menunggu keputusan.
等于	sama dengan	Lima tambah lima sama dengan sepuluh.
滴	titis; menitis	Setitis air jatuh ke atas meja.
敌人	musuh	Mereka bukan musuh.
的确	memang; benar-benar	Perkara ini memang sangat penting.
地道	asli; tulen	Dia bertutur dalam dialek Beijing yang asli.
地理	geografi	Saya sangat berminat dengan geografi China.
地区	kawasan; wilayah	Kawasan ini sangat sejuk pada musim sejuk.
地毯	permaidani	Di ruang tamu ada permaidani.
地位	kedudukan; status	Pendidikan mempunyai kedudukan penting dalam masyarakat.
地震	gempa bumi	Gempa bumi berlaku di sini malam tadi.
递	menyerahkan; menyampaikan	Sila serahkan surat ini kepada guru.
点心	kuih; snek	Pada waktu petang kami makan snek.
电池	bateri	Mainan ini memerlukan dua bateri.
电台	stesen radio	Dia mengendalikan program di stesen radio.
钓	memancing	Datuk suka memancing di tepi sungai.
顶	bahagian atas; memakai	Dia memakai topi hitam.
冻	beku; sangat sejuk	Di luar terlalu sejuk sehingga air membeku.
动画片	kartun; animasi	Kanak-kanak sedang menonton kartun.
洞	lubang	Terdapat lubang kecil pada dinding.
豆腐	tauhu	Hidangan tauhu ini sedap.
逗	mengusik	Kata-katanya membuat semua orang ketawa.
独立	berdikari; merdeka	Dia mahu hidup berdikari.
独特	unik	Bandar ini mempunyai budaya yang unik.
度过	menghabiskan; melalui	Kami menghabiskan cuti di tepi laut.
断	putus; patah	Tali ini putus.
堆	longgokan; bertimbun	Banyak dokumen bertimbun di atas meja.
兑换	menukar	Saya ingin menukar sedikit renminbi.
对比	membandingkan; perbandingan	Sila bandingkan dua rancangan ini.
对待	melayan; memperlakukan	Kita patut melayan semua orang dengan adil.
对方	pihak satu lagi	Sila dengar pendapat pihak satu lagi dahulu.
对手	lawan	Lawannya sangat kuat.
对象	objek; sasaran	Subjek kajian ialah pelajar universiti.
吨	tan	Lori ini boleh membawa tiga tan barang.
蹲	mencangkung	Dia mencangkung di tanah mencari kuncinya.
顿	penjodoh bilangan untuk hidangan	Kami makan malam bersama-sama.
多亏	terima kasih kepada; nasib baik	Terima kasih kepada bantuan kamu, saya menyelesaikan tugas itu.
多余	berlebihan; tidak perlu	Ayat ini tidak perlu.
朵	penjodoh bilangan untuk bunga	Ada sekuntum bunga di atas meja.
躲藏	bersembunyi	Anak kucing bersembunyi di bawah katil.
恶劣	buruk; teruk	Cuaca hari ini sangat buruk.
耳环	anting-anting	Dia memakai sepasang anting-anting.
发表	menyatakan; menerbitkan	Dia menyatakan pendapatnya dalam mesyuarat.
发愁	risau	Jangan risau tentang perkara kecil ini.
发达	maju	Pengangkutan di bandar ini sangat maju.
发抖	menggigil	Dia menggigil kerana kesejukan.
发挥	menggunakan; menampilkan	Sila gunakan imaginasi anda.
发明	ciptaan; mencipta	Lampu elektrik ialah ciptaan penting.
发票	invois	Sila keluarkan invois untuk saya.
发言	berucap; bersuara	Dia berucap dalam mesyuarat.
罚款	denda	Parkir secara haram akan dikenakan denda.
法院	mahkamah	Kes ini diserahkan kepada mahkamah.
翻	membalikkan	Sila buka buku ke halaman sepuluh.
繁荣	makmur	Ekonomi secara beransur-ansur menjadi makmur.
反而	sebaliknya	Dia tidak marah; sebaliknya, dia ketawa.
反复	berulang-ulang	Ayat ini perlu dilatih berulang-ulang.
反应	reaksi; bertindak balas	Reaksinya cepat.
反映	mencerminkan	Laporan ini mencerminkan keadaan sebenar.
反正	bagaimanapun	Bagaimanapun, saya ada masa esok.
范围	lingkungan; skop	Sila jangan melebihi skop ini.
方	segi empat	Sila lukis segi empat pada kertas.
方案	rancangan; pelan	Rancangan ini agak munasabah.
方式	cara	Cara belajar ini sangat berkesan.
妨碍	menghalang	Sila jangan ganggu kerja orang lain.
仿佛	seolah-olah	Dia seolah-olah tahu semuanya.
非	bukan; tanpa	Perkara ini tidak boleh dibuat tanpa kamu.
肥皂	sabun	Gunakan sabun ketika mencuci tangan.
废话	omong kosong	Berhenti bercakap omong kosong dan mulakan segera.
分别	berpisah; membezakan	Mereka berpisah di stesen.
分布	tersebar	Kedai-kedai ini tersebar di seluruh bandar.
分配	mengagihkan	Guru mengagihkan tugas baharu.
分手	berpisah	Mereka berpisah tahun lalu.
分析	menganalisis	Kita perlu menganalisis sebabnya.
纷纷	berturut-turut	Semua orang menyatakan persetujuan berturut-turut.
奋斗	berjuang; berusaha	Orang muda patut berjuang untuk impian mereka.
疯狂	gila; hebat	Peminat bersorak dengan hebat.
风格	gaya	Gaya restoran ini sangat tersendiri.
风景	pemandangan	Pemandangan di gunung sangat indah.
风俗	adat	Setiap tempat mempunyai adat sendiri.
风险	risiko	Pelaburan mempunyai risiko tertentu.
讽刺	menyindir	Artikel ini menyindir masalah sosial.
否定	menafikan	Dia menafikan dakwaan ini.
否认	menafikan	Dia menafikan bahawa dia telah membuat kesilapan.
幅	penjodoh bilangan untuk gambar	Ada sebuah lukisan tergantung di dinding.
扶	memapah; membantu	Sila bantu orang tua menyeberang jalan.
服装	pakaian	Kedai ini menjual pakaian kanak-kanak.
辅导	membimbing; memberi tuisyen	Guru membimbing pelajar selepas kelas.
复制	menyalin	Sila salin dokumen ini.
妇女	wanita	Hospital ini menyediakan perkhidmatan untuk wanita.
改革	pembaharuan; mereformasi	Sekolah sedang menjalankan pembaharuan pengajaran.
改进	menambah baik	Kita perlu menambah baik kualiti perkhidmatan.
改善	memperbaiki; menambah baik	Bersenam boleh memperbaiki tidur.
改正	membetulkan	Sila betulkan kesilapan dengan segera.
概括	meringkaskan	Sila ringkaskan kandungan artikel.
概念	konsep	Konsep ini tidak begitu mudah difahami.
盖	menutup; penutup	Sila tutup cawan dengan baik.
干脆	terus terang; lebih baik	Lebih baik kamu tidak pergi hari ini.
干燥	kering	Musim sejuk di utara sangat kering.
感激	berterima kasih	Saya sangat berterima kasih atas bantuan anda.
感受	perasaan; merasai	Saya dapat memahami perasaan anda.
感想	pemikiran; tanggapan	Sila ceritakan pemikiran anda.
赶紧	cepat-cepat	Hari sudah lewat, cepat-cepatlah pergi.
赶快	segera	Segera tutup pintu.
干活儿	bekerja	Dia sedang bekerja di halaman.
钢铁	keluli	Jambatan ini diperbuat daripada keluli.
高档	bermutu tinggi	Ini hotel bertaraf tinggi.
高级	lanjutan; tahap tinggi	Dia menyertai kelas bahasa Cina lanjutan.
搞	mengadakan; melakukan	Apakah jenis acara yang kamu adakan?
告别	mengucapkan selamat tinggal	Kami mengucapkan selamat tinggal kepada kawan di lapangan terbang.
格外	terutamanya; sangat	Langit hari ini sangat biru.
隔壁	sebelah rumah	Seorang guru tinggal di sebelah rumah.
个别	segelintir; tertentu	Segelintir pelajar belum menyerahkan kerja rumah.
个人	peribadi	Ini pandangan peribadi saya.
个性	keperibadian	Dia mempunyai keperibadian yang kuat.
各自	masing-masing	Setiap orang menyiapkan tugas masing-masing.
根	akar; penjodoh bilangan	Di bawah meja ada seutas wayar.
根本	sama sekali; asas	Masalah ini sama sekali tidak sukar.
公布	mengumumkan	Sekolah mengumumkan keputusan peperiksaan.
公开	terbuka; awam	Mesyuarat ini terbuka kepada umum.
公平	adil	Pertandingan sepatutnya adil.
公寓	pangsapuri	Dia menyewa sebuah pangsapuri kecil.
公元	Masihi	Tahun ini ialah tahun 2026 Masihi.
公主	puteri	Gadis kecil itu suka cerita puteri.
功能	fungsi	Perisian ini mempunyai banyak fungsi.
工厂	kilang	Kilang ini menghasilkan kereta.
工程师	jurutera	Abang saya seorang jurutera.
工具	alat	Membaiki basikal memerlukan alat.
工人	pekerja	Para pekerja sedang membaiki jalan.
工业	industri	Bandar ini terutamanya berasaskan industri.
恭喜	tahniah	Tahniah kerana lulus peperiksaan.
贡献	sumbangan; menyumbang	Dia memberikan sumbangan kepada syarikat.
沟通	berkomunikasi	Komunikasi yang baik sangat penting.
构成	membentuk	Bahagian-bahagian ini membentuk satu keseluruhan.
姑姑	makcik sebelah ayah	Hujung minggu ini saya akan melawat makcik sebelah ayah.
姑娘	gadis	Gadis itu sangat baik hati.
古代	zaman kuno	Pada zaman kuno tiada telefon bimbit.
古典	klasik	Saya suka muzik klasik.
股票	saham	Dia membeli beberapa saham.
骨头	tulang	Tulang ini sangat keras.
鼓舞	menggalakkan; membangkitkan semangat	Berita ini sangat menggalakkan.
鼓掌	bertepuk tangan	Penonton bertepuk tangan untuk para pelakon.
固定	tetap	Saya mempunyai waktu kerja tetap.
挂号	mendaftar di hospital	Sebelum berjumpa doktor, perlu mendaftar dahulu.
乖	baik; patuh	Kanak-kanak ini sangat patuh.
拐弯	membelok	Belok kanan di persimpangan di hadapan.
怪不得	patutlah	Patutlah kamu begitu penat.
关闭	menutup	Sila matikan komputer sebelum pergi.
官	pegawai	Dia seorang pegawai muda.
观察	memerhati	Doktor sedang memerhati keadaan pesakit.
观点	pandangan	Saya setuju dengan pandangan anda.
观念	idea; pandangan	Idea orang muda sedang berubah.
管子	paip	Paip ini bocor.
冠军	juara	Dia memenangi kejuaraan dalam pertandingan.
光滑	licin	Permukaan meja ini sangat licin.
光临	berkunjung	Kami mengalu-alukan anda berkunjung lagi lain kali.
光明	cerah	Masa depan sangat cerah.
光盘	cakera	Sila simpan bahan itu ke dalam cakera.
广场	dataran	Terdapat ramai orang di dataran.
广大	luas; ramai	Berita ini disambut baik oleh ramai pelajar.
广泛	meluas	Buku ini mempunyai pengaruh yang meluas.
归纳	merumuskan	Guru membantu kami merumuskan perkara penting.
规矩	peraturan	Kanak-kanak patut memahami peraturan.
规律	pola; keteraturan	Hidup patut mempunyai ritma yang teratur.
规模	skala	Syarikat ini berskala besar.
规则	peraturan	Peraturan pertandingan sangat jelas.
柜台	kaunter	Sila bayar di kaunter.
滚	mendidih	Air sudah mendidih.
锅	periuk	Di dalam periuk ada sup panas.
国庆节	Hari Kebangsaan	Pada Hari Kebangsaan kami bercuti.
国王	raja	Raja tinggal di istana.
果然	seperti dijangka	Dia tiba tepat pada waktunya seperti dijangka.
果实	buah	Pokok itu penuh dengan buah.
过分	berlebihan	Permintaannya agak berlebihan.
过敏	alergi	Saya alergi terhadap debunga.
过期	tamat tempoh	Susu botol ini sudah tamat tempoh.
哈	ha	Ha, akhirnya saya faham.
海关	kastam	Kami beratur untuk pemeriksaan di kastam.
海鲜	makanan laut	Makanan laut di restoran ini sangat segar.
喊	menjerit	Jangan menjerit kuat di dalam kelas.
行业	industri	Industri pelancongan berkembang dengan cepat.
豪华	mewah	Mereka menginap di hotel mewah.
好客	mesra tetamu	Orang tempatan sangat mesra tetamu.
好奇	ingin tahu	Kanak-kanak sangat ingin tahu tentang dunia.
何必	kenapa perlu	Kenapa perlu marah kerana perkara kecil?
何况	apatah lagi	Hari ini sejuk, apatah lagi hujan.
合法	sah di sisi undang-undang	Kontrak ini sah di sisi undang-undang.
合理	munasabah	Harga ini munasabah.
合同	kontrak	Mereka menandatangani kontrak.
合影	gambar berkumpulan	Kami mengambil gambar berkumpulan semasa tamat pengajian.
合作	kerjasama	Kami menyiapkan projek melalui kerjasama.
和平	keamanan	Semua orang mengharapkan keamanan.
核心	teras	Kepercayaan ialah teras kerjasama.
恨	menyesal; benci	Dia menyesal kerana tidak berusaha lebih awal.
猴子	monyet	Di zoo ada beberapa ekor monyet.
后背	belakang badan	Belakang badannya sakit sedikit.
后果	akibat	Kamu perlu mempertimbangkan akibatnya.
呼吸	bernafas	Sila tarik nafas dalam-dalam.
忽然	tiba-tiba	Langit tiba-tiba menjadi gelap.
忽视	mengabaikan	Jangan abaikan masalah ini.
壶	teko	Di atas meja ada seteko teh.
糊涂	keliru	Hari ini saya agak keliru.
胡说	bercakap merepek	Jangan bercakap merepek; ini tidak benar.
胡同	lorong	Beijing mempunyai banyak lorong lama.
蝴蝶	rama-rama	Ada seekor rama-rama di taman.
花生	kacang tanah	Dia suka makan kacang tanah.
华裔	keturunan Cina	Dia seorang penulis berketurunan Cina.
滑	licin	Lantai licin, jadi berhati-hati.
划	mendayung	Apabila menaiki bot, dia bertanggungjawab mendayung.
化学	kimia	Dia belajar kimia di universiti.
话题	topik	Topik ini sangat menarik.
怀念	merindui	Saya sangat merindui kehidupan universiti.
怀孕	hamil	Dia hamil tiga bulan.
缓解	meredakan	Rehat boleh meredakan tekanan.
幻想	berkhayal	Dia sering berkhayal melancong ke angkasa.
慌张	panik	Jangan panik apabila menghadapi masalah.
黄金	emas	Harga emas naik lagi.
恢复	pulih	Badan dia sedang pulih.
挥	melambai	Dia melambai tangannya.
灰	kelabu	Langit berwarna kelabu.
灰尘	habuk	Terdapat banyak habuk di atas meja.
灰心	putus asa	Jangan putus asa walaupun gagal.
汇率	kadar pertukaran	Apakah kadar pertukaran hari ini?
婚礼	majlis perkahwinan	Majlis perkahwinan mereka sangat sederhana.
婚姻	perkahwinan	Perkahwinan memerlukan saling memahami.
活跃	aktif	Dia sangat aktif di dalam kelas.
伙伴	rakan; pasangan	Dia rakan terbaik saya.
火柴	mancis	Hanya tinggal sebatang mancis di dalam kotak.
或许	mungkin	Mungkin esok akan hujan.
基本	asas	Ini ialah syarat asas.
机器	mesin	Mesin ini rosak.
激烈	sengit	Pertandingan itu sangat sengit.
肌肉	otot	Selepas bersenam, otot saya agak sakit.
及格	lulus	Dia lulus peperiksaan ini.
急忙	tergesa-gesa	Dia berlari keluar dari bilik darjah dengan tergesa-gesa.
急诊	jabatan kecemasan	Pesakit dihantar ke jabatan kecemasan.
极其	amat	Isu ini amat penting.
集合	berkumpul	Sila berkumpul di pintu masuk pada pukul lapan.
集体	kumpulan	Ini aktiviti berkumpulan.
集中	menumpukan perhatian	Kamu patut menumpukan perhatian semasa kelas.
寂寞	sunyi; kesepian	Tinggal sendirian kadang-kadang boleh terasa sunyi.
系领带	memakai tali leher	Setiap hari sebelum bekerja, dia memakai tali leher.
纪录	rekod	Dia memecahkan rekod sekolah.
纪律	disiplin	Disiplin bilik darjah sangat penting.
纪念	memperingati	Kami mengambil gambar untuk memperingati hari ini.
计算	mengira	Sila kira jumlah kos.
记录	mencatat	Sila catat kandungan mesyuarat.
记忆	ingatan	Ingatan ini sangat berharga.
嘉宾	tetamu kehormat	Tetamu kehormat hari ini ialah seorang penulis.
夹子	klip	Sila kepit dokumen dengan klip.
家庭	keluarga	Keluarga sangat penting bagi kanak-kanak.
家务	kerja rumah tangga	Saya perlu membuat kerja rumah tangga pada hujung minggu.
家乡	kampung halaman	Saya sangat merindui kampung halaman saya.
假如	jika	Jika esok hujan, kami tidak akan pergi.
假设	andaikan	Andaikan kamu guru, apa yang akan kamu lakukan?
假装	berpura-pura	Dia berpura-pura tidak mendengar.
甲	pihak A	Pihak A perlu membayar tepat pada waktunya.
价值	nilai	Buku ini sangat bernilai.
嫁	berkahwin	Dia akan berkahwin dengan teman lelakinya tahun depan.
驾驶	memandu	Berhati-hati ketika memandu kereta.
兼职	kerja sambilan	Dia bekerja sambilan pada waktu malam.
坚决	tegas	Dia tegas tidak bersetuju dengan keputusan ini.
坚强	kuat; tabah	Dia seorang yang tabah.
肩膀	bahu	Bahunya cedera.
艰巨	sangat sukar	Ini tugas yang sangat sukar.
艰苦	susah; sukar	Mereka mengalami kehidupan yang susah.
剪刀	gunting	Tolong hulurkan gunting kepada saya.
捡	mengutip	Dia mengutip dompet dari tanah.
简历	resume	Sediakan resume sebelum memohon kerja.
简直	benar-benar	Berita ini benar-benar mengejutkan.
健身	bersenam	Dia pergi bersenam tiga kali seminggu.
建立	membina; menubuhkan	Kami membina hubungan baharu.
建设	pembinaan	Pembinaan bandar berkembang dengan cepat.
建筑	bangunan	Bangunan ini mempunyai ciri tersendiri.
键盘	papan kekunci	Papan kekunci saya perlu dibersihkan.
讲究	mementingkan	Orang Cina sangat mementingkan makanan.
讲座	ceramah	Malam ini ada ceramah bahasa Cina.
酱油	kicap	Tambahkan sedikit kicap ke dalam hidangan.
