simplified	ES-419	example_ES-419
本事	habilidad; capacidad	Él tiene mucha capacidad.
笨拙	torpe	Sus movimientos son un poco torpes.
崩溃	colapsar; derrumbarse	El sistema se bloqueó de repente.
甭	no hace falta	No hace falta que te preocupes por esto.
蹦	saltar; brincar	El cachorro brincaba por el pasto.
迸发	estallar; brotar	Los aplausos estallaron entre la multitud.
逼迫	obligar; forzar	Ellos lo obligaron a firmar el contrato.
鼻涕	mocos	El niño está resfriado y no deja de tener mocos.
比方	por ejemplo; comparación	Por ejemplo, podemos probarlo primero durante un mes.
比喻	metáfora; comparación	Esta metáfora es muy vívida.
比重	proporción; peso relativo	La proporción del sector servicios es cada vez mayor.
鄙视	despreciar; menospreciar	No menosprecies los esfuerzos de otras personas.
弊病	problema; defecto	Este sistema tiene bastantes problemas.
弊端	inconveniente; defecto	El nuevo plan solucionó los defectos del sistema anterior.
臂	brazo	Su brazo derecho resultó herido.
闭塞	aislado; cerrado	Antes el transporte en este pueblo de montaña era muy aislado.
编织	tejer	La abuela está tejiendo un suéter.
边疆	frontera; zona fronteriza	Muchos soldados vigilan la frontera del país.
边界	límite; frontera	Los dos países volvieron a trazar la frontera.
边境	frontera	Las zonas fronterizas reforzaron los controles de seguridad.
边缘	borde; periferia	La taza está colocada en el borde de la mesa.
鞭策	estimular; impulsar	Las palabras del profesor siempre me han impulsado.
扁	plano; achatado	Esta caja es ancha y plana.
贬低	menospreciar; rebajar	No menosprecies a la ligera los esfuerzos de otras personas.
贬义	sentido peyorativo; connotación negativa	Esta palabra tiene aquí una connotación negativa.
便利	conveniente; facilitar	El metro hace que viajar sea más conveniente.
便条	nota	Él dejó una nota sobre la mesa.
便于	facilitar; ser conveniente para	Este diseño facilita el uso a las personas mayores.
变故	imprevisto; desgracia	En la familia ocurrió de repente una desgracia inesperada.
变迁	cambios; transformaciones	Los cambios de la ciudad lo conmovieron profundamente.
变质	deteriorarse; echarse a perder	La leche se echa a perder si se deja demasiado tiempo.
辨认	reconocer; identificar	La policía le pidió que identificara a la persona de la foto.
辩护	defender	El abogado defendió al acusado.
辩解	justificar; explicar	Él intentó justificar su error.
辩证	dialéctico	Debemos mirar este problema de manera dialéctica.
辫子	trenza; coleta	La niña lleva dos trenzas.
遍布	estar extendido por todo; encontrarse por todas partes	Esta planta se encuentra por todo el país.
标本	espécimen; muestra	En el museo se exhiben especímenes de animales.
标记	marca; señal; símbolo	Por favor, haz una marca junto a los párrafos importantes.
标题	título; encabezado	El título de este artículo es muy atractivo.
表决	votar; someter a votación	Los representantes votarán la propuesta.
表态	expresar una postura; manifestarse	Él todavía no ha expresado públicamente su postura.
表彰	elogiar; premiar	La empresa premió a los empleados destacados.
憋	contener; reprimir	Él contuvo la risa y no dijo nada.
别墅	villa; chalet	Compraron un chalet en las afueras.
别致	original; distintivo	La decoración de esta cafetería es muy original.
别扭	incómodo; raro; torpe	Esta frase suena un poco rara.
濒临	estar al borde de; estar cerca de	Este animal está al borde de la extinción.
冰雹	granizo	Ayer por la tarde cayó mucho granizo.
丙	tercero; letra C	La competición del grupo C empieza por la tarde.
并非	no ser; no necesariamente	Las cosas no son como imaginas.
并列	estar empatado; estar en paralelo	Estos dos proyectos están empatados en el primer lugar.
剥削	explotar; explotación	En la sociedad antigua existía una explotación grave.
拨	marcar; apartar; asignar	Por favor, marca este número de teléfono.
播种	sembrar	Los agricultores empiezan a sembrar en primavera.
波浪	ola	En la superficie del mar se levantaron olas enormes.
波涛	oleaje; grandes olas	El barco avanzó entre el oleaje.
伯母	tía paterna; esposa del hermano mayor del padre	Este fin de semana iré a visitar a mi tía.
博大精深	amplio y profundo	La cultura china es amplia y profunda.
博览会	exposición; feria internacional	La feria internacional atrajo a muchas empresas.
搏斗	luchar; pelear	La policía luchó con el delincuente.
薄弱	débil; insuficiente	Su base de gramática es relativamente débil.
不顾	sin tener en cuenta; a pesar de	Entró corriendo a pesar del peligro.
不愧	ser digno de; merecer ser llamado	Realmente merece ser llamado un experto con experiencia.
不料	inesperadamente; para sorpresa de uno	Inesperadamente, la reunión se canceló de repente.
不像话	inadmisible; escandaloso	Es inadmisible que trates así a los invitados.
不屑一顾	desdeñar; mirar con desprecio	Él desdeñó esos rumores.
哺乳	amamantar; lactancia	La madre está amamantando al bebé.
捕捉	capturar; captar	El fotógrafo captó un momento maravilloso.
补偿	compensar	La empresa compensará tus pérdidas.
补救	remediar; corregir	Aún estamos a tiempo de remediarlo.
补贴	subsidio; subvención	El gobierno concede subsidios a las familias de bajos ingresos.
不得已	no tener más remedio; verse obligado	Él dejó su pueblo natal solo porque no tenía más remedio.
不妨	no estaría mal; bien podría	No estaría mal que primero escucharas su explicación.
不敢当	no merecer tal elogio	Usted me elogia tanto que de verdad no lo merezco.
不禁	no poder evitar	Al oír la noticia, no pudo evitar reírse.
不堪	insoportable; no poder soportar	El ruido aquí es insoportable.
不可思议	increíble; inconcebible	Este resultado es realmente increíble.
不免	inevitablemente	Al subir al escenario por primera vez, inevitablemente estaba algo nervioso.
不时	de vez en cuando; frecuentemente	De vez en cuando levantaba la cabeza para mirar el reloj.
不惜	no dudar en; no escatimar	Para salvar a alguien, no dudó en correr el riesgo.
不相上下	estar igualados; estar muy parejos	Los dos equipos están muy parejos en fuerza.
不言而喻	ser evidente; no hace falta decirlo	La importancia de la honestidad es evidente.
不由得	no poder evitar	Al ver la foto antigua, no pude evitar recordar mi infancia.
不择手段	sin escrúpulos; por cualquier medio	Para ganar dinero, usa cualquier medio.
不止	más de; no solo	Asistieron a la reunión más de cien personas.
布告	aviso; comunicado	En la entrada de la escuela se pegó un aviso.
布局	distribución; diseño	La distribución de este apartamento es muy razonable.
布置	organizar; asignar; decorar	El profesor asignó nueva tarea.
步伐	paso; ritmo	El equipo avanzó con pasos ordenados.
部署	desplegar; planificar	La empresa está desplegando un nuevo plan de ventas.
部位	parte; zona	El médico examinó la zona lesionada.
才干	capacidad; competencia	Ella tiene mucha capacidad para la gestión.
裁缝	sastre; modista	Este sastre tiene muy buena técnica.
裁判	árbitro; arbitrar	El árbitro anunció que el partido se suspendía.
裁员	despedir personal; recortar plantilla	La empresa decidió despedir personal por las pérdidas.
财富	riqueza; bienes	El conocimiento también es una forma de riqueza.
财务	finanzas; asuntos financieros	El departamento de finanzas está revisando las cuentas.
财政	hacienda pública; fiscal	Los ingresos fiscales aumentaron algo este año.
彩票	boleto de lotería	Él compra un boleto de lotería de vez en cuando.
采购	comprar; adquirir	La empresa envió a alguien a comprar equipo.
采集	recoger; recolectar	Los investigadores recogieron muestras en el bosque.
采纳	adoptar; aceptar	La dirección adoptó nuestra sugerencia.
参谋	asesor; aconsejar	Él a menudo asesora al gerente.
参照	tomar como referencia; consultar	Por favor, rellena el formulario tomando este formato como referencia.
残疾	discapacidad; discapacitado	Esta estación ofrece ayuda a pasajeros con discapacidad.
残酷	cruel; despiadado	La guerra es muy cruel.
残留	quedar; residuo	En la taza todavía queda olor a café.
残忍	cruel; despiadado	Maltratar animales es una conducta cruel.
灿烂	brillante; espléndido	Ella mostró una sonrisa brillante.
仓促	apresurado; precipitado	Esta decisión se tomó demasiado apresuradamente.
仓库	almacén	La mercancía ya fue enviada al almacén.
舱	cabina; compartimento	Los pasajeros están entrando en la cabina.
苍白	pálido	Su rostro se veía muy pálido.
操劳	trabajar duro; ocuparse de	Mamá ha trabajado duro por esta familia durante muchos años.
操练	entrenar; hacer ejercicios	Los soldados entrenan cada mañana.
操纵	controlar; manejar	Esta máquina está controlada por una computadora.
操作	operar; manejar	Por favor, opera el equipo según las instrucciones.
嘈杂	ruidoso; bullicioso	La estación está muy ruidosa.
草案	borrador; proyecto	El comité está discutiendo el borrador.
草率	precipitado; descuidado	Una decisión tan importante no puede ser precipitada.
侧面	lado; aspecto	Vista de lado, esta torre parece más alta.
测量	medir; levantar mediciones	El ingeniero está midiendo la longitud del puente.
策划	planificar; organizar	Ellos planificaron un gran evento.
策略	estrategia; táctica	Esta estrategia ayudó a la empresa a reducir costos.
层出不穷	surgir sin cesar; aparecer uno tras otro	Los nuevos problemas siguen surgiendo uno tras otro.
层次	nivel; estructura	La estructura de este artículo es muy clara.
差别	diferencia; distinción	No hay mucha diferencia entre los dos métodos.
插座	enchufe; toma de corriente	En esta habitación no hay suficientes enchufes.
查获	incautar; descubrir y detener	La aduana incautó un lote de productos falsos.
刹那	instante; fracción de segundo	En un instante, todas las luces se apagaron.
岔	bifurcación; desviarse	Los autos se desviaron en el cruce de delante.
诧异	sorprendido; asombrado	Su decisión sorprendió mucho a todos.
柴油	diésel; gasóleo	Este camión usa diésel.
搀	sostener del brazo; ayudar a caminar	La enfermera sostuvo del brazo al anciano para entrar en la sala.
缠绕	enrollarse; enredarse	Las enredaderas se enrollan alrededor de las ramas.
馋	tener antojo; goloso	Al ver el pastel, el niño tuvo antojo.
产业	industria; sector	El turismo es una industria importante aquí.
阐述	exponer; explicar en detalle	El profesor expuso su punto de vista en detalle.
颤抖	temblar; estremecerse	Ella temblaba de frío.
昌盛	próspero; floreciente	Esperamos que el país sea próspero y floreciente.
偿还	devolver; reembolsar	Él devolvió el préstamo a tiempo.
尝试	intentar; probar	Podemos probar un método nuevo.
场合	ocasión; circunstancia	Esta ocasión no es adecuada para hacer bromas.
场面	escena; ambiente	La escena de la boda era muy animada.
场所	lugar; sitio	Este es un lugar público; por favor, no fumes.
敞开	abrir de par en par	Por favor, deja la ventana abierta de par en par un rato.
倡导	promover; defender	La escuela promueve un estilo de vida saludable.
倡议	iniciativa; proponer	Esta iniciativa ambiental recibió apoyo.
畅通	fluido; sin obstáculos	Después de que paró la lluvia, la carretera volvió a estar despejada.
畅销	venderse muy bien; ser un superventas	Esta novela se vende muy bien.
超越	superar; sobrepasar	Finalmente superó su propio récord.
钞票	billete; papel moneda	En la cartera solo quedaban unos pocos billetes.
嘲笑	burlarse de; ridiculizar	No te burles de los defectos de otras personas.
巢穴	nido; guarida	El cazador descubrió la guarida del animal.
朝代	dinastía; reinado	La dinastía Tang es una dinastía de la historia china.
潮流	tendencia; corriente	Los jóvenes prestan mucha atención a las tendencias de moda.
撤退	retirarse; retroceder	Las tropas se retiraron después de recibir la orden.
撤销	revocar; anular	El tribunal revocó la sentencia original.
沉淀	sedimentarse; precipitar	El limo se irá sedimentando poco a poco.
沉闷	sofocante; pesado	El clima de hoy es caluroso y sofocante.
沉思	meditar; reflexionar	Él estaba sentado junto a la ventana, meditando.
沉重	pesado; grave	Esta noticia dejó a todos con el ánimo pesado.
沉着	sereno; calmado	Hay que mantener la calma ante el peligro.
陈旧	anticuado; viejo	Esta máquina ya está muy anticuada.
陈列	exhibir; mostrar	En la sala se exhiben muchas reliquias culturales.
陈述	exponer; declarar	Por favor, expón los hechos con claridad.
称心如意	satisfactorio; a gusto	Este trabajo le resulta muy satisfactorio.
衬托	resaltar; realzar	La pared blanca resalta el color de las flores.
称号	título; denominación	Recibió el título de maestro destacado.
乘	tomar; montar	Tomo el metro para ir al trabajo todos los días.
呈现	presentar; mostrar	El cielo presentó un tenue color rojo.
城堡	castillo	En la cima de la montaña hay un castillo antiguo.
惩罚	castigar; castigo	La escuela castigará a los estudiantes que hagan trampa.
成本	costo	La subida del precio de las materias primas aumentó el costo.
成交	cerrar un trato; concretar una transacción	Este negocio finalmente se cerró.
成天	todo el día	Él pasa todo el día sentado frente a la computadora.
成效	resultado; efecto	El nuevo método de gestión pronto mostró resultados.
成心	intencional; a propósito	Él no te hizo pasar vergüenza a propósito.
成员	miembro	Cada miembro debe asistir a la reunión.
承办	organizar; encargarse de	Esta empresa organizó la exposición.
承包	contratar; asumir por contrato	Ellos contrataron este proyecto.
承诺	prometer; compromiso	Él prometió terminar la tarea a tiempo.
橙	naranja	Compré varias naranjas frescas.
澄清	aclarar	El gerente salió a aclarar el malentendido.
盛	servir; contener	Ella sirvió un cuenco de sopa al invitado.
诚挚	sincero; cordial	Por favor, acepta mi sincero agradecimiento.
秤	balanza; báscula	Esta báscula no es muy precisa.
吃苦	soportar dificultades	Los jóvenes deben aprender a soportar dificultades.
吃力	costar esfuerzo; ser pesado	Mover esta caja cuesta mucho esfuerzo.
持久	duradero; persistente	El éxito requiere un esfuerzo duradero.
迟钝	lento de reflejos; torpe	Últimamente sus reacciones están algo lentas.
迟缓	lento; pausado	Después de la lluvia, el tráfico se volvió lento.
迟疑	dudar	Ella dudó un momento antes de responder.
赤道	ecuador	Cerca del ecuador hace calor todo el año.
赤字	déficit	La empresa tuvo déficit este año.
充当	actuar como; servir de	Él actuó como coordinador en el proyecto.
充沛	abundante; lleno de energía	Los niños están llenos de energía.
充实	pleno; enriquecer	Esta experiencia hizo mi vida más plena.
充足	suficiente; abundante	Antes del viaje hay que preparar suficiente agua.
冲动	impulso; impulsivo	No tomes decisiones por un impulso momentáneo.
冲击	impacto; golpear	La nueva tecnología impactó a las industrias tradicionales.
冲突	conflicto; chocar	Ambas partes se esforzaron por evitar el conflicto.
崇拜	admirar; venerar	Muchos jóvenes admiran a este científico.
崇高	noble; sublime	La responsabilidad de un médico es noble.
崇敬	respetar profundamente; venerar	Los estudiantes respetan mucho a este profesor.
重叠	superponerse; solaparse	Estas dos tareas se solapan en parte.
稠密	denso	La población aquí es muy densa.
筹备	preparar; organizar	Ellos están preparando la boda.
丑恶	feo; repugnante	Él reveló la fea verdad detrás del incidente.
出路	salida; futuro	El estudio puede dar más salidas a los jóvenes.
出卖	traicionar; vender	Él no traicionaría a sus amigos.
出身	origen familiar; procedencia	Él viene de una familia común.
出神	absorto; ensimismado	Ella escuchaba la música completamente absorta.
出息	perspectivas; futuro prometedor	Este niño tendrá un futuro prometedor.
初步	inicial; preliminar	Hemos alcanzado un acuerdo preliminar.
除	excepto; eliminar	Todos han llegado excepto él.
储备	reservar; reservas	La empresa necesita reservar más fondos.
储存	almacenar	Estos datos se almacenarán automáticamente.
储蓄	ahorrar; ahorros	Él ahorra una parte de su salario cada mes.
处分	sanción disciplinaria; sancionar	La escuela le impuso una sanción disciplinaria grave.
处境	situación; apuro	Su situación actual es muy difícil.
处置	manejar; disponer de	Estos equipos viejos deben gestionarse adecuadamente.
触犯	violar; infringir	Hacer esto infringirá la ley.
川流不息	fluir sin cesar; incesante	Los vehículos en la calle fluyen sin cesar.
穿越	atravesar; cruzar	El tren atravesó el largo túnel.
传达	transmitir; comunicar	Por favor, transmite este mensaje a todos.
传单	volante; folleto	Los voluntarios repartieron volantes en la calle.
传授	transmitir; enseñar	El profesor transmitió experiencia a los estudiantes.
船舶	barcos; embarcaciones	En el puerto hay muchas embarcaciones atracadas.
喘气	jadear; respirar con dificultad	Después de correr, seguía jadeando.
串	ensartar; serie	Ella ensartó las cuentas formando un collar.
床单	sábana	Por favor, cambia la sábana.
创立	fundar; establecer	Ellos fundaron juntos esta empresa.
创新	innovar; innovación	El desarrollo empresarial requiere innovación constante.
创业	emprender; iniciar un negocio	Muchos jóvenes eligen emprender.
创作	crear; componer	El escritor está creando una novela larga.
吹牛	presumir; fanfarronear	No presumas; muestra las pruebas.
吹捧	alabar exageradamente; adular	Los medios alabaron exageradamente este producto.
炊烟	humo de cocina	Al atardecer, se elevó humo de cocina en el pueblo.
垂直	vertical; perpendicular	Estas dos líneas son perpendiculares entre sí.
锤	martillo; martillar	El obrero golpeó la placa de hierro con un martillo.
纯粹	puramente; puro	Su ayuda fue puramente por buena voluntad.
纯洁	puro; inocente	El corazón de un niño es muy puro.
慈善	caridad; benéfico	Esta empresa participa a menudo en actividades benéficas.
慈祥	bondadoso; amable	La sonrisa de la abuela era muy bondadosa.
磁带	cinta magnética; casete	Esta vieja cinta todavía se puede reproducir.
雌雄	macho y hembra	El macho y la hembra de esta especie de ave tienen colores diferentes.
伺候	atender; servir	La enfermera atendió cuidadosamente al paciente.
刺	espina; pinchar	Las ramas del rosal tienen muchas espinas.
次品	producto defectuoso	Estos productos defectuosos no se pueden vender.
次序	orden; secuencia	Por favor, hagan fila en orden.
丛	grupo; mata	Hay una mata de flores silvestres junto al camino.
从容	sereno; con calma	Ella respondió a la pregunta con calma.
凑合	apañarse; arreglárselas	La habitación no es grande, pero sirve para vivir.
粗鲁	grosero; rudo	Él habla de forma demasiado grosera.
窜	escaparse; meterse de repente	Ese gato se metió de repente en la casa.
摧残	devastar; arruinar	La contaminación prolongada devastará este bosque.
脆弱	frágil; débil	Los productos de vidrio son muy frágiles.
搓	frotar; restregar	Él se frotó las manos frías.
磋商	consultar; negociar	Ambas partes seguirán negociando.
挫折	revés; contratiempo	Todos encuentran contratiempos.
搭	tomar; montar	Tomamos el autobús al aeropuerto.
搭档	compañero; socio	Él ha sido mi compañero de trabajo durante muchos años.
搭配	combinar; hacer juego	Esta chaqueta combina bien con los pantalones.
答辩	defensa; responder	El estudiante de posgrado está preparando la defensa de su tesis.
答复	respuesta; responder	Por favor, dame una respuesta lo antes posible.
达成	alcanzar; lograr	Las dos partes finalmente alcanzaron un acuerdo.
打包	empaquetar; llevar sobras	El mesero nos empaquetó las sobras.
打官司	litigar; ir a juicio	Ellos fueron a juicio por un problema de contrato.
打击	golpe; atacar	Este fracaso fue un gran golpe para él.
打架	pelear	Los estudiantes que peleen en el campus serán sancionados.
打量	observar de arriba abajo; examinar	Ella me miró de arriba abajo.
打猎	cazar	Aquí está prohibido cazar.
打仗	ir a la guerra; combatir	Nadie quiere ir a la guerra.
大不了	en el peor de los casos; como mucho	En el peor de los casos, volveremos a intentarlo mañana.
大臣	ministro	El rey convocó a varios ministros.
大伙儿	todos; todo el mundo	Todos están esperando tu decisión.
大肆	a gran escala; sin freno	El comerciante promocionó el nuevo producto a gran escala.
大体	en general; básicamente	En general, el plan no tiene problemas.
大意	idea principal; sentido general	Primero explica la idea principal de este artículo.
大致	aproximadamente; más o menos	Ya entiendo aproximadamente lo que ocurrió.
歹徒	delincuente; criminal	La policía atrapó rápidamente al delincuente.
代价	precio; costo	El éxito suele exigir pagar un precio.
代理	representar; actuar en nombre de	Él está sustituyendo temporalmente al gerente.
带领	guiar; liderar	El profesor llevó a los estudiantes a visitar el museo.
怠慢	descuidar; tratar con negligencia	No podemos descuidar a los invitados.
逮捕	arrestar; detención	La policía arrestó al sospechoso principal.
担保	garantizar; avalar	El banco exige que alguien dé una garantía.
胆怯	tímido; miedoso	Estaba un poco tímido durante su primer discurso.
淡季	temporada baja	Los boletos de avión son más baratos en temporada baja.
淡水	agua dulce	Este tipo de pez solo puede vivir en agua dulce.
蛋白质	proteína	Los huevos contienen abundante proteína.
诞辰	aniversario de nacimiento	Hoy es el aniversario de nacimiento de este escritor.
诞生	nacer; surgir	Esta idea surgió durante la discusión.
当场	en el acto; en el lugar	Él admitió su error en el acto.
当初	al principio; en aquel entonces	Al principio todos apoyamos esta decisión.
当代	contemporáneo; época actual	La sociedad contemporánea cambia muy rápido.
当面	cara a cara	Si hay problemas, es mejor explicarlos cara a cara.
当前	actual; presente	Lo más importante ahora es garantizar la seguridad.
当事人	parte implicada; persona involucrada	La policía está interrogando a la persona involucrada.
当务之急	prioridad urgente; asunto prioritario	Resolver el problema de vivienda es la prioridad urgente.
当选	ser elegido	Ella fue elegida presidenta sin problemas.
党	partido	Este partido propuso una nueva política.
档案	archivo; expediente	La escuela conservó los expedientes de los estudiantes.
档次	categoría; nivel	Este hotel es de categoría alta.
倒闭	cerrar; quebrar	Esa pequeña tienda cerró el año pasado.
导弹	misil	Las noticias informaron sobre la prueba del misil.
导航	navegación	Por favor, activa la navegación del teléfono.
导向	orientación; orientado a	La política educativa debe estar orientada a la equidad.
捣乱	alborotar; causar problemas	Por favor, no causes problemas en clase.
盗窃	robar; hurto	El centro comercial reforzó las medidas para prevenir robos.
稻谷	arroz sin trillar; cultivo de arroz	Los agricultores están cosechando arroz.
得不偿失	no compensar; salir perdiendo	Comprar materiales malos para ahorrar dinero no compensa.
得力	competente; eficaz	Él es un asistente competente del gerente.
得天独厚	con ventajas excepcionales; privilegiado	Esta ciudad tiene ventajas geográficas excepcionales.
得罪	ofender	No quiero ofender a mis colegas por un asunto menor.
灯笼	farol; linterna	En la Fiesta de Primavera cuelgan faroles rojos en la puerta.
登录	iniciar sesión	Por favor, inicia sesión en tu cuenta primero.
登陆	desembarcar; tocar tierra	El tifón puede tocar tierra esta noche en la zona costera.
蹬	empujar con el pie; pisar	Dio un fuerte impulso con el pie y la bicicleta empezó a moverse.
等候	esperar	Los pasajeros esperan en la sala para embarcar.
等级	nivel; categoría	Este programa tiene diferentes niveles de membresía.
瞪	mirar fijamente; fulminar con la mirada	Él me miró con enojo.
堤坝	dique; presa	Después de la lluvia intensa, hay que revisar cuidadosamente el dique.
敌视	hostilidad; tratar como enemigo	No deberíamos tratar con hostilidad las opiniones distintas.
抵达	llegar	El avión llegó a Pekín a tiempo.
抵抗	resistir; resistencia	Los aldeanos resistieron juntos la inundación.
抵制	boicotear; resistirse	Los consumidores empezaron a boicotear los productos de mala calidad.
地步	punto; situación	El asunto aún no ha llegado a ese punto de gravedad.
地势	terreno; topografía	El terreno aquí es alto, así que no se acumula agua fácilmente.
地质	geología	Los expertos están investigando las condiciones geológicas locales.
递增	aumentar gradualmente	Las ventas aumentaron durante tres meses consecutivos.
颠簸	sacudirse; dar baches	El camino de montaña es muy irregular, así que conduce con cuidado.
颠倒	invertir; poner al revés	Invertiste el orden de los dos números.
典礼	ceremonia	La ceremonia de graduación se celebrará en el auditorio.
典型	típico; caso representativo	Este es un caso típico de éxito.
点缀	decorar; adorno	Unas flores pequeñas decoraban la mesa del comedor.
垫	almohadilla; poner debajo	Por favor, pon esta hoja de papel debajo del vaso.
奠定	sentar; establecer	Esta cooperación sentó las bases de una relación a largo plazo.
惦记	preocuparse por; tener presente	La madre siempre se preocupa por su hijo lejano.
电源	fuente de alimentación; corriente	Por favor, apaga la corriente antes de salir.
叼	sujetar con la boca	Ese perro lleva un hueso en la boca.
雕刻	tallar; grabar	A él le gusta tallar diseños en madera.
雕塑	escultura	En el centro de la plaza hay una escultura.
吊	colgar; levantar	Los obreros levantaron la viga de acero con una máquina.
调动	trasladar; movilizar	La empresa lo trasladó a trabajar a Shanghái.
跌	caer; bajar	El precio de las acciones volvió a caer hoy.
丁	cubo; varón	La receta dice que cortes las papas en cubos.
叮嘱	recordar insistentemente; advertir	El profesor nos recordó repetidamente que prestáramos atención a la seguridad.
盯	mirar fijamente	Por favor, no mires fijamente a otras personas todo el tiempo.
