source_headword	HU	example_HU
whip	csapkod	A szél csapkodhatja a zászlókat.
wholly	teljesen	A döntés teljesen váratlan volt.
widen	kiszélesít	A város azt tervezi, hogy kiszélesíti az utat.
widow	özvegy	Az özvegy az iskola közelében él.
width	szélesség	Mérje meg az ajtó szélességét.
willingness	hajlandóság	A segítőkészsége mindenkit lenyűgözött.
wipe	töröl	Törölje le a képernyőt egy ronggyal.
wit	szellemesség	A szellemessége élénkké tette a beszédet.
withdrawal	visszavonás	A támogatás visszavonása késleltette a projektet.
workout	edzés	Az edzés negyven percig tartott.
worship	istentisztelet	Az emberek hajnalban gyűltek össze istentiszteletre.
worthwhile	érdemes	Az utazást érdemes volt megtenni.
worthy	méltó	A jótékonysági szervezet méltó a támogatásra.
yell	kiabál	Ne kiabáljon a személyzettel.
yield	hozam	A gazdaság hozama javult ebben a szezonban.
youngster	fiatal	A fiatal sok kérdést tett fel.
