hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
3625:保修	保修	保修	വാറന്റിയിൽ അറ്റകുറ്റപ്പണി നടത്തുക	ഈ കമ്പ്യൂട്ടറിന് ഒരു വർഷം സൗജന്യ വാറന്റി അറ്റകുറ്റപ്പണി ലഭിക്കും.	кепілдік бойынша жөндеу	Бұл компьютерді бір жыл бойы кепілдікпен тегін жөндетуге болады.
3627:爆	爆	爆	പൊട്ടുക; പൊട്ടിത്തെറിക്കുക	ബലൂൺ അപ്രതീക്ഷിതമായി പൊട്ടി.	жарылу; атылу	Шар кенеттен жарылды.
3629:报刊	报刊	报刊	പത്രങ്ങളും മാസികകളും	ഗ്രന്ഥശാലയിൽ നിരവധി ചൈനീസ് പത്രങ്ങളും മാസികകളും ഉണ്ട്.	газеттер мен журналдар	Кітапханада қытай тіліндегі газеттер мен журналдар көп.
3635:悲剧	悲剧	悲剧	ദുരന്തം; ട്രാജഡി	ഈ അപകടം ഒരു വലിയ ദുരന്തമായിരുന്നു.	трагедия; қайғылы оқиға	Бұл апат қайғылы оқиға болды.
3636:悲伤	悲伤	悲伤	ദുഃഖിതമായ; വിഷാദമുള്ള	ആ വാർത്ത കേട്ടപ്പോൾ അവൻ വളരെ ദുഃഖിതനായി.	қайғылы; мұңды	Бұл хабарды естіген соң ол қатты қайғырды.
3638:北美洲	北美洲	北美洲	വടക്കേ അമേരിക്ക	കാനഡ വടക്കേ അമേരിക്കയിലാണ്.	Солтүстік Америка	Канада Солтүстік Америкада орналасқан.
3640:被迫	被迫	被迫	നിർബന്ധിതനാകുക; നിർബന്ധിതമായി	കനത്ത മഴ കാരണം മത്സരം നിർബന്ധിതമായി റദ്ദാക്കി.	мәжбүр болу; амалсыз	Қатты жаңбыр салдарынан матч амалсыз тоқтатылды.
3641:背心	背心	背心	ബനിയൻ; കൈയില്ലാ മേൽവസ്ത്രം	വേനൽക്കാലത്ത് അവൻ പലപ്പോഴും ബനിയൻ ധരിക്കും.	жеңсіз жейде; майка	Жазда ол жиі майка киеді.
3642:备用	备用	备用	അധികമായി കരുതുന്ന; ബാക്കപ്പ്	ദയവായി ഒരു അധിക താക്കോൽ തയ്യാറാക്കൂ.	қосалқы; сақтыққа арналған	Қосалқы кілт дайындап қойыңыз.
3643:倍增	倍增	倍增	ഇരട്ടിയാകുക; വളരെയധികം വർധിക്കുക	ഈ വർഷം ഓർഡറുകളുടെ എണ്ണം വളരെ വർധിച്ചു.	еселену; күрт арту	Биыл тапсырыс саны күрт артты.
3644:奔跑	奔跑	奔跑	ഓടുക	കുഞ്ഞ് കളിസ്ഥലത്ത് ഓടുന്നു.	жүгіру	Бала алаңда жүгіріп жүр.
3647:本土	本土	本土	പ്രാദേശിക; സ്വദേശം	ഈ കമ്പനി പ്രാദേശിക സംസ്കാരത്തെ വിലമതിക്കുന്നു.	жергілікті; туған жер	Бұл компания жергілікті мәдениетті бағалайды.
3648:逼	逼	逼	നിർബന്ധിക്കുക; സമ്മർദ്ദം ചെലുത്തുക	കുട്ടികളെ ഇഷ്ടമില്ലാത്ത കാര്യങ്ങൾ ചെയ്യാൻ നിർബന്ധിക്കരുത്.	мәжбүрлеу; қысым жасау	Балаларды ұнатпайтын істерге мәжбүрлемеңіз.
3651:闭	闭	闭	അടയ്ക്കുക	ദയവായി വാതിൽ അടയ്ക്കൂ.	жабу	Есікті жабыңыз.
3652:避	避	避	ഒഴിവാക്കുക	വണ്ടി ഓടിക്കുമ്പോൾ തിരക്കേറിയ സമയം ഒഴിവാക്കണം.	айналып өту; болдырмау	Көлік айдағанда қарбалас уақыттан аулақ болыңыз.
3653:必修	必修	必修	നിർബന്ധിത; നിർബന്ധമായുള്ള	ഈ കോഴ്സ് സർവകലാശാല ഒന്നാം വർഷ വിദ്യാർത്ഥികൾക്ക് നിർബന്ധിതമാണ്.	міндетті; міндетті түрде оқылатын	Бұл курс университеттің бірінші курс студенттері үшін міндетті.
3654:编	编	编	സമാഹരിക്കുക; എഡിറ്റ് ചെയ്യുക	അവൻ ഒരു ചൈനീസ് പാഠപുസ്തകം സമാഹരിക്കുകയാണ്.	құрастыру; редакциялау	Ол қытай тілі оқулығын құрастырып жатыр.
3656:编写	编写	编写	സമാഹരിച്ചു എഴുതുക; തയ്യാറാക്കുക	അധ്യാപകൻ ഒരു കൂട്ടം അഭ്യാസചോദ്യങ്ങൾ തയ്യാറാക്കി.	құрастырып жазу; әзірлеу	Мұғалім жаттығулар жинағын әзірледі.
3657:遍地	遍地	遍地	എവിടെയും; എല്ലായിടത്തും	വസന്തകാലത്ത് പാർക്കിൽ എല്ലായിടത്തും പൂക്കളാണ്.	барлық жерде; жер-жерде	Көктемде саябақтың барлық жерінде гүл бар.
3658:便捷	便捷	便捷	സൗകര്യപ്രദമായ; എളുപ്പമുള്ള	ഈ പണമടയ്ക്കൽ രീതി വളരെ സൗകര്യപ്രദമാണ്.	ыңғайлы; қолайлы	Бұл төлем тәсілі өте ыңғайлы.
3660:兵	兵	兵	സൈനികൻ	ഈ സൈനികൻ അതിർത്തിയിൽ സേവനമനുഷ്ഠിക്കുന്നു.	сарбаз; жауынгер	Бұл сарбаз шекарада қызмет етеді.
3662:播	播	播	പ്രക്ഷേപണം ചെയ്യുക; പ്ലേ ചെയ്യുക	ടെലിവിഷൻ സ്റ്റേഷൻ ഇന്ന് രാത്രി ഈ ഡോക്യുമെന്ററി പ്രക്ഷേപണം ചെയ്യും.	эфирге беру; ойнату	Телеарна бүгін кешке осы деректі фильмді эфирге береді.
3670:不适	不适	不适	അസ്വാസ്ഥ്യം; ശരീരസുഖമില്ലായ്മ	മരുന്ന് കഴിച്ച ശേഷം അവന് ശരീരത്തിൽ അസ്വാസ്ഥ്യം തോന്നി.	жайсыздық; өзін нашар сезіну	Дәрі ішкеннен кейін ол өзін жайсыз сезінді.
3671:不至于	不至于	不至于	അത്രയാകില്ല; അത്രത്തോളം അല്ല	ഈ ചെറിയ പിഴവ് ഫലത്തെ ബാധിക്കത്തക്കതല്ല.	соншалықты емес; дейін бармайды	Мұндай кішкентай қате нәтижеге әсер ететіндей емес.
3672:补	补	补	പൂരിപ്പിക്കുക; ചേർക്കുക; നന്നാക്കുക	ഈ റിപ്പോർട്ടിൽ ഇനിയും ചില ഡാറ്റ ചേർക്കേണ്ടുണ്ട്.	толықтыру; жамау; қосу	Бұл есепке әлі біраз дерек қосу керек.
3673:捕	捕	捕	പിടികൂടുക	പോലീസ് സംശയിതനെ വേഗത്തിൽ പിടികൂടി.	ұстау; қолға түсіру	Полиция күдіктіні тез ұстады.
3675:补课	补课	补课	വിട്ടുപോയ പാഠങ്ങൾ പൂരിപ്പിച്ച് പഠിക്കുക	രോഗം മാറിയ ശേഷം അവന് വിട്ടുപോയ പാഠങ്ങൾ പൂരിപ്പിച്ച് പഠിക്കണം.	қосымша сабақ өту; қалып қойған сабақты толықтыру	Ауырғаннан кейін ол қалып қойған сабақтарын толықтыруы керек.
3677:补习	补习	补习	അധികപാഠം പഠിക്കുക; ട്യൂഷൻ എടുക്കുക	അവൾ വാരാന്ത്യത്തിൽ ഗണിതത്തിന് ട്യൂഷനിൽ പോകുന്നു.	қосымша оқу; репетиторға бару	Ол демалыс күндері математикадан қосымша сабаққа барады.
3680:不曾	不曾	不曾	ഒരിക്കലും ഇല്ല; ഒരിക്കലും ചെയ്തിട്ടില്ല	ഞാൻ ഈ കാര്യം ഒരിക്കലും കേട്ടിട്ടില്ല.	ешқашан; бірде-бір рет	Мен бұл туралы ешқашан естіген емеспін.
3681:不成	不成	不成	സാധ്യമല്ല; നടക്കില്ല	ഇങ്ങനെ ചെയ്യുന്നത് നടക്കില്ലെന്ന് തോന്നുന്നു.	болмайды; іске аспайды	Бұлай істеу іске аспайтын сияқты.
3682:不得	不得	不得	ചെയ്യരുത്; അനുവദനീയമല്ല	പൊതു സ്ഥലങ്ങളിൽ പുകവലിക്കാൻ അനുവദനീയമല്ല.	болмайды; рұқсат етілмейді	Қоғамдық орындарда темекі шегуге рұқсат етілмейді.
3683:部队	部队	部队	സൈനിക യൂണിറ്റ്; സൈന്യം	ഈ സൈനിക യൂണിറ്റ് മലനിരകളിൽ പരിശീലനം നടത്തുന്നു.	әскери бөлім; әскер	Бұл әскери бөлім таулы жерде жаттығып жатыр.
3687:不许	不许	不许	അനുവദിക്കരുത്; പാടില്ല	ഇവിടെ പാർക്ക് ചെയ്യാൻ പാടില്ല.	рұқсат етілмейді; болмайды	Мұнда көлік қоюға рұқсат етілмейді.
3688:不宜	不宜	不宜	അനുയോജ്യമല്ല; ചെയ്യുന്നത് ശരിയല്ല	ഭക്ഷണത്തിന് ഉടൻ ശേഷം വ്യായാമം ചെയ്യുന്നത് അനുയോജ്യമല്ല.	қолайсыз; дұрыс емес	Тамақтан кейін бірден жаттығу жасау дұрыс емес.
3689:不已	不已	不已	അവസാനമില്ലാതെ; അതിയായി	നല്ല വാർത്ത കേട്ടപ്പോൾ എല്ലാവരും അതിയായി ആവേശപ്പെട്ടു.	тоқтаусыз; өте	Жақсы хабарды естігенде бәрі қатты толқыды.
3693:猜测	猜测	猜测	ഊഹിക്കുക; അനുമാനിക്കുക	അവൻ വെറും ഊഹിക്കുകയാണ്, ഇനിയും തെളിവില്ല.	болжау; жорамалдау	Ол тек болжап отыр, әлі дәлелі жоқ.
3696:才华	才华	才华	പ്രതിഭ; കഴിവ്	അവൾക്ക് സംഗീതത്തിൽ വലിയ പ്രതിഭയുണ്ട്.	талант; дарын	Оның музыкаға үлкен таланты бар.
3697:才能	才能	才能	കഴിവ്; പ്രതിഭ	ഈ പദ്ധതിക്ക് മാനേജ്മെന്റ് കഴിവ് ആവശ്യമാണ്.	қабілет; талант	Бұл жобаға басқару қабілеті қажет.
3699:财物	财物	财物	സ്വത്ത്; സ്വകാര്യ വസ്തുക്കൾ	ദയവായി നിങ്ങളുടെ സ്വകാര്യ വസ്തുക്കൾ നന്നായി സൂക്ഷിക്കുക.	мүлік; жеке заттар	Жеке заттарыңызды жақсы сақтаңыз.
3700:材质	材质	材质	വസ്തു; തുണിയുടെ സ്പർശഗുണം	ഈ വസ്ത്രത്തിന്റെ തുണി വളരെ സുഖകരമാണ്.	материал; фактура	Бұл киімнің материалы өте жайлы.
3707:参展	参展	参展	പ്രദർശനത്തിൽ പങ്കെടുക്കുക	കമ്പനി ഈ വർഷം ആദ്യമായി പ്രദർശനത്തിൽ പങ്കെടുക്കുന്നു.	көрмеге қатысу	Компания биыл алғаш рет көрмеге қатысып жатыр.
3710:草原	草原	草原	പുല്മേട്; വിശാല പുൽപ്രദേശം	വേനൽക്കാലത്തെ പുല്മേട് വളരെ സുന്ദരമാണ്.	дала; жайылымды алқап	Жаздағы дала өте әдемі.
3711:侧	侧	侧	വശം; പാർശ്വം	അവൻ വഴിയുടെ ഇടത് വശത്ത് നിന്നു.	жақ; қаптал	Ол жолдың сол жағында тұрды.
3716:层面	层面	层面	തലം; വശം	ഈ പ്രശ്നം നിയമപരമായ തലത്തിൽ വിശകലനം ചെയ്യണം.	деңгей; қыр	Бұл мәселені құқықтық қырынан талдау керек.
3717:叉	叉	叉	മുള്‍ക്കരണ്ടി	വെയിറ്റർ എനിക്ക് ഒരു മുള്‍ക്കരണ്ടി നൽകി.	шанышқы	Даяшы маған бір шанышқы берді.
3718:差异	差异	差异	വ്യത്യാസം; ഭിന്നത	വടക്കിന്റെയും തെക്കിന്റെയും കാലാവസ്ഥയിൽ വലിയ വ്യത്യാസമുണ്ട്.	айырмашылық; алшақтық	Солтүстік пен оңтүстіктің климаты арасында үлкен айырмашылық бар.
3720:查询	查询	查询	തിരയുക; അന്വേഷിക്കുക	നിങ്ങൾക്ക് വിമാന വിവരങ്ങൾ ഓൺലൈനിൽ തിരയാം.	іздеу; сұрау салу	Ұшу ақпаратын интернеттен іздей аласыз.
3721:拆除	拆除	拆除	പൊളിച്ചുനീക്കുക; നീക്കം ചെയ്യുക	ഈ പഴയ പാലം അടുത്ത മാസം പൊളിച്ചുനീക്കും.	бұзу; алып тастау	Бұл ескі көпір келесі айда бұзылады.
3722:产出	产出	产出	ഉൽപ്പാദിപ്പിക്കുക; വിളവെടുക്കുക	ഈ ഭൂമി ഓരോ വർഷവും വളരെ ധാന്യം ഉൽപ്പാദിപ്പിക്കുന്നു.	өндіру; өнім беру	Бұл жер жыл сайын көп астық береді.
3723:产地	产地	产地	ഉത്ഭവസ്ഥലം; ഉൽപ്പാദന പ്രദേശം	ഈ ചായയുടെ ഉത്ഭവസ്ഥലം യുനാനിലാണ്.	шыққан жері; өндіріс аймағы	Бұл шайдың шыққан жері Юньнанда.
3724:肠	肠	肠	കുടൽ	ഡോക്ടർ അവന്റെ കുടൽ പരിശോധിച്ചു.	ішек	Дәрігер оның ішегін тексерді.
3725:长短	长短	长短	നീളം; നീളവ്യത്യാസം	ഈ രണ്ട് കയറുകളുടെ നീളം വ്യത്യസ്തമാണ്.	ұзын-қысқалығы; ұзындығы	Бұл екі арқанның ұзындығы әртүрлі.
3726:常规	常规	常规	പതിവ്; സാധാരണ രീതിയിലുള്ള	ഇത് ആശുപത്രിയിലെ പതിവ് പരിശോധനയാണ്.	әдеттегі; стандартты	Бұл ауруханадағы әдеттегі тексеру.
3727:常年	常年	常年	വർഷം മുഴുവൻ; എല്ലായ്പ്പോഴും	ഇവിടത്തെ കാലാവസ്ഥ വർഷം മുഴുവൻ മിതമാണ്.	жыл бойы; тұрақты	Мұнда климат жыл бойы жұмсақ.
3728:长寿	长寿	长寿	ദീർഘായുസ്; നീണ്ടുനിൽക്കുന്ന ജീവിതം	ആരോഗ്യകരമായ ജീവിതശീലങ്ങൾ ദീർഘായുസിന് സഹായിക്കുന്നു.	ұзақ өмір; ұзақ жасау	Салауатты өмір салты ұзақ өмір сүруге көмектеседі.
3729:常温	常温	常温	മുറി താപനില; സാധാരണ താപനില	ഈ മരുന്ന് മുറി താപനിലയിൽ സൂക്ഷിക്കാം.	бөлме температурасы; қалыпты температура	Бұл дәріні бөлме температурасында сақтауға болады.
3730:场次	场次	场次	പ്രദർശന സമയം; സെഷൻ	ഇന്നത്തെ പരിപാടിക്ക് മൂന്ന് പ്രദർശന സമയങ്ങളുണ്ട്.	сеанс; көрсетілім уақыты	Бүгінгі қойылымның үш сеансы бар.
3731:场地	场地	场地	സ്ഥലം; വേദി	സ്കൂൾ മത്സരത്തിനുള്ള സ്ഥലം നൽകി.	алаң; орын	Мектеп жарыс өтетін алаңды берді.
3732:场馆	场馆	场馆	വേദി; സ്റ്റേഡിയം	പുതിയ വേദിക്ക് ഇരുപതിനായിരം ആളുകളെ ഉൾക്കൊള്ളാം.	ғимарат; стадион	Жаңа стадион жиырма мың адамды сыйдыра алады.
3734:厂家	厂家	厂家	നിർമ്മാതാവ്; ഫാക്ടറി	ഈ നിർമ്മാതാവ് വിൽപ്പനാനന്തര സേവനം നൽകുന്നു.	өндіруші; зауыт	Бұл өндіруші сатудан кейінгі қызмет көрсетеді.
3735:场景	场景	场景	രംഗം; സാഹചര്യം	സിനിമയിലെ ഈ രംഗം വളരെ ഹൃദയസ്പർശിയാണ്.	көрініс; жағдай	Фильмдегі бұл көрініс өте әсерлі.
3737:厂商	厂商	厂商	നിർമ്മാതാവ്; വിതരണക്കാരൻ	നിരവധി വിതരണക്കാർ ലോഞ്ച് ചടങ്ങിൽ പങ്കെടുത്തു.	өндіруші; жеткізуші	Таныстырылымға көптеген жеткізушілер қатысты.
3746:炒股	炒股	炒股	ഓഹരി വ്യാപാരം ചെയ്യുക	അവൻ അടുത്തിടെ ഓഹരി വ്യാപാരം പഠിക്കാൻ തുടങ്ങി.	акция саудалау	Ол жақында акция саудалауды үйрене бастады.
3748:撤回	撤回	撤回	പിൻവലിക്കുക; തിരിച്ചെടുക്കുക	കമ്പനി ഈ അപേക്ഷ പിൻവലിച്ചു.	қайтарып алу; кері шақыру	Компания бұл өтінішті қайтарып алды.
3752:撑	撑	撑	താങ്ങുക; തുറന്ന് പിടിക്കുക	ഈ കുട ഇനി തുറക്കാനാകുന്നില്ല.	тіреу; ашып ұстау	Бұл қолшатыр енді ашылмайды.
3755:称作	称作	称作	എന്ന് വിളിക്കുക; എന്ന് അറിയപ്പെടുക	ജനങ്ങൾ ഈ സ്ഥലത്തെ നഗരത്തോട്ടം എന്ന് വിളിക്കുന്നു.	деп атау; деп аталуы	Адамдар бұл жерді қала бағы деп атайды.
3756:成	成	成	പത്തിൽ ഒരു ഭാഗം; വിഹിതം	ഈ വർഷം വരുമാനം മുപ്പത് ശതമാനം വർധിച്ചു.	оннан бір бөлік; үлес	Биыл табыс отыз пайызға өсті.
3763:成千上万	成千上万	成千上万	ആയിരക്കണക്കിന്; എണ്ണമറ്റ	ആയിരക്കണക്കിന് ആളുകൾ പ്രകടനത്തിൽ പങ്കെടുത്തു.	мыңдаған; сан мың	Шеруге мыңдаған адам қатысты.
3766:诚信	诚信	诚信	സത്യനിഷ്ഠ; വിശ്വാസ്യത	വ്യാപാരത്തിൽ ഏറ്റവും പ്രധാനപ്പെട്ടത് സത്യനിഷ്ഠയാണ്.	адалдық; сенімділік	Бизнесте ең маңыздысы адалдық.
3768:城镇	城镇	城镇	പട്ടണം; നഗരവാസ കേന്ദ്രം	ഈ പട്ടണം കടൽത്തീരത്തിന് അടുത്താണ്.	қалашық; елді мекен	Бұл қалашық теңіз жағасына жақын.
3770:持有	持有	持有	കൈവശം വയ്ക്കുക; ഉടമസ്ഥതയിൽ ഇരിക്കുക	അവൻ ഈ കമ്പനിയുടെ ഓഹരികൾ കൈവശം വച്ചിരിക്കുന്നു.	иелену; ұстау	Ол осы компанияның акцияларын иеленеді.
3771:尺	尺	尺	ചൈനീസ് അടി; ചി എന്ന അളവ്	ഈ തുണി മൂന്ന് ചി നീളമാണ്.	қытай футы; чи өлшемі	Бұл матаның ұзындығы үш чи.
3772:尺寸	尺寸	尺寸	വലിപ്പം; അളവുകൾ	ദയവായി പെട്ടിയുടെ അളവുകൾ സ്ഥിരീകരിക്കുക.	өлшем; көлем	Қораптың өлшемін растаңыз.
3778:重建	重建	重建	വീണ്ടും പണിയുക; പുനർനിർമ്മിക്കുക	ഭൂകമ്പത്തിന് ശേഷം ഗ്രാമം പുനർനിർമ്മിക്കാൻ തുടങ്ങി.	қайта салу; қалпына келтіру	Жер сілкінісінен кейін ауыл қайта салына бастады.
3780:抽奖	抽奖	抽奖	നറുക്കെടുപ്പ്; സമ്മാനചീട്ട് എടുക്കൽ	ടിക്കറ്റ് വാങ്ങുന്നവർക്ക് നറുക്കെടുപ്പിൽ പങ്കെടുക്കാം.	ұтыс ойыны; жеребе	Билет алған адамдар ұтыс ойынына қатыса алады.
3782:愁	愁	愁	ചിന്തിക്കുക; വിഷമിക്കുക	അവൻ ജോലിയെക്കുറിച്ച് വിഷമിക്കുകയാണ്.	уайымдау; қиналу	Ол жұмысына бола уайымдап жүр.
3785:出场	出场	出场	വേദിയിൽ വരുക; പ്രത്യക്ഷപ്പെടുക	പ്രധാന കഥാപാത്രം അവസാനം വേദിയിൽ വന്നു.	сахнаға шығу; пайда болу	Басты кейіпкер ең соңында сахнаға шықты.
3786:初等	初等	初等	പ്രാഥമിക; അടിസ്ഥാന	ഈ പുസ്തകം പ്രാഥമിക ഗണിതം പരിചയപ്പെടുത്തുന്നു.	бастауыш; қарапайым	Бұл кітап бастауыш математиканы таныстырады.
3787:出境	出境	出境	രാജ്യം വിടുക; അതിർത്തി കടന്ന് പുറപ്പെടുക	രാജ്യം വിടാനുള്ള നടപടികൾക്ക് പാസ്പോർട്ട് ആവശ്യമാണ്.	елден шығу; шекарадан шығу	Елден шығу рәсімдеріне паспорт керек.
3788:出力	出力	出力	ശ്രമം ചെലുത്തുക; സഹായമായി പണിയെടുക്കുക	ഈ പദ്ധതിക്ക് എല്ലാവരും പരിശ്രമിക്കാൻ തയ്യാറാണ്.	күш салу; еңбек қосу	Бұл жобаға бәрі күш салуға дайын.
3789:出名	出名	出名	പ്രശസ്തമാകുക; പ്രസിദ്ധമായ	ഈ ചെറിയ കട ബ്രെഡിനാൽ പ്രശസ്തമാണ്.	атақты; белгілі	Бұл шағын дүкен нанымен белгілі.
3790:出入	出入	出入	പ്രവേശനവും പുറപ്പെടലും; വരവും പോകലും	റെസിഡൻഷ്യൽ പ്രദേശത്ത് വരാനും പോകാനും കാർഡ് സ്കാൻ ചെയ്യണം.	кіру және шығу; қатынау	Тұрғын ауданға кіріп-шығу үшін картаны өткізу керек.
3792:出游	出游	出游	യാത്രയ്ക്ക് പോകുക	അവധി ദിവസങ്ങളിൽ പല കുടുംബങ്ങളും യാത്രയ്ക്ക് പോകാൻ തിരഞ്ഞെടുക്കുന്നു.	саяхатқа шығу	Демалыста көп отбасы саяхатқа шығуды таңдайды.
3793:出于	出于	出于	കാരണം; പരിഗണിച്ച്	സുരക്ഷാ കാരണത്താൽ അവൻ പദ്ധതി റദ്ദാക്കി.	себепті; үшін	Ол қауіпсіздік үшін жоспарды тоқтатты.
3797:处罚	处罚	处罚	ശിക്ഷിക്കുക; പിഴ	നിയമവിരുദ്ധമായി പാർക്ക് ചെയ്താൽ ശിക്ഷ ലഭിക്കും.	жазалау; айыппұл	Ережесіз көлік қойған адам жазаланады.
3799:处处	处处	处处	എവിടെയും; എല്ലായിടത്തും	ഈ നഗരത്തിൽ എല്ലായിടത്തും പച്ചമരങ്ങളുണ്ട്.	барлық жерде; әр жерде	Бұл қалада барлық жерде жасыл ағаштар бар.
3800:穿过	穿过	穿过	കടന്നുപോകുക	ഞങ്ങൾ ശാന്തമായ ഒരു ചെറിയ വഴിയിലൂടെ കടന്നു.	өту; кесіп өту	Біз тыныш соқпақтан өттік.
3801:传承	传承	传承	തലമുറകളിലേക്ക് കൈമാറുക; പാരമ്പര്യം തുടരുക	ഈ കൈത്തൊഴിൽ പല തലമുറയായി കൈമാറി വരുന്നു.	мұра ету; жалғастыру	Бұл қолөнер бірнеше ұрпақтан бері жалғасып келеді.
3804:传染病	传染病	传染病	സാംക്രമിക രോഗം	സാംക്രമിക രോഗങ്ങൾ തടയണമെന്ന് ഡോക്ടർ എല്ലാവരെയും ഓർമ്മിപ്പിച്ചു.	жұқпалы ауру	Дәрігер бәріне жұқпалы аурулардың алдын алуды ескертті.
3806:传输	传输	传输	കൈമാറുക; ഡാറ്റ അയയ്ക്കുക	സിസ്റ്റം ഡാറ്റ കൈമാറുകയാണ്.	тасымалдау; беру	Жүйе деректерді беріп жатыр.
3808:船只	船只	船只	വള്ളങ്ങളും കപ്പലുകളും; ജലവാഹനങ്ങൾ	തുറമുഖത്ത് നിരവധി കപ്പലുകൾ നിർത്തിയിരിക്കുന്നു.	кемелер; қайықтар	Портта көптеген кемелер тұр.
3810:窗口	窗口	窗口	ജാലകം; സേവന കൗണ്ടർ	നടപടികൾക്കായി മൂന്നാം കൗണ്ടറിലേക്ക് പോകുക.	терезе; қызмет көрсету орны	Рәсімдерді үшінші терезеде орындаңыз.
3812:创办	创办	创办	സ്ഥാപിക്കുക; ആരംഭിക്കുക	ബിരുദം കഴിഞ്ഞ ശേഷം അവൻ ഒരു കമ്പനി സ്ഥാപിച്ചു.	құру; ашу	Оқуды бітірген соң ол компания құрды.
3813:创建	创建	创建	സൃഷ്ടിക്കുക; സ്ഥാപിക്കുക	സംഘം പുതിയ ഡാറ്റാബേസ് സൃഷ്ടിക്കുകയാണ്.	жасау; құру	Топ жаңа дерекқор құрып жатыр.
3815:创意	创意	创意	സൃഷ്ടിപരമായ ആശയം; ക്രിയേറ്റിവിറ്റി	ഈ പരസ്യം വളരെ സൃഷ്ടിപരമാണ്.	шығармашылық; креативті идея	Бұл жарнама өте креативті.
3817:纯	纯	纯	ശുദ്ധമായ; പൂർണ്ണമായും	ഈ കുപ്പിയിലെ ജ്യൂസ് ശുദ്ധമായ ആപ്പിൾ ജ്യൂസാണ്.	таза; тек	Бұл бөтелкедегі шырын таза алма шырыны.
3818:瓷器	瓷器	瓷器	പോർസലൈൻ; ചൈനാമൺ പാത്രങ്ങൾ	മ്യൂസിയത്തിൽ പുരാതന പോർസലൈൻ വസ്തുക്കൾ പ്രദർശിപ്പിച്ചു.	фарфор; қыш бұйым	Музейде көне фарфор бұйымдары көрсетілді.
3819:此刻	此刻	此刻	ഈ നിമിഷം; ഇപ്പോൾ	ഈ നിമിഷം ഞാൻ ശാന്തമായി വിശ്രമിക്കാനാണ് ആഗ്രഹിക്കുന്നത്.	осы сәт; дәл қазір	Осы сәтте мен тек тыныш демалғым келеді.
3821:次数	次数	次数	തവണകളുടെ എണ്ണം	ദയവായി ഓരോ ദിവസവും അഭ്യസിച്ച തവണകളുടെ എണ്ണം രേഖപ്പെടുത്തുക.	рет саны	Күн сайын жаттыққан рет санын жазып қойыңыз.
