source_headword	HR	example_HR
religion	religija	Religija joj je važna.
religious	religijski	Posjetili su religijsku zgradu.
remain	ostati	Molim te, ostani miran.
remind	podsjetiti	Podsjeti me sutra.
remote	udaljen	Žive u udaljenom selu.
rent	najamnina	Najamnina dospijeva danas.
repeated	ponovljen	Ponovljene pogreške usporile su rad.
represent	predstavljati	Zvijezda predstavlja nadu.
require	zahtijevati	Ovaj posao će zahtijevati obuku.
reservation	rezervacija	Napravio sam rezervaciju.
resource	resurs	Knjižnica je koristan resurs.
respect	poštovati	Poštuj svoje razredne kolege.
responsibility	odgovornost	Briga o djeci velika je odgovornost.
responsible	odgovoran	Ona je odgovorna za ulaznice.
retire	umiroviti se	Moj otac će se uskoro umiroviti.
retired	umirovljen	On je umirovljeni učitelj.
revise	revidirati	Revidiraj svoj esej večeras.
risk	rizik	Postoji rizik od kiše.
robot	robot	Robot je očistio pod.
roll	otkotrljati	Otkotrljaj loptu prema meni.
romantic	romantičan	Imali su romantičnu večeru.
rope	uže	Čvrsto zaveži uže.
rough	neravan	Cesta je bila neravna.
row1	red	Sjedni u prvi red.
royal	kraljevski	Kraljevska obitelj je stigla.
rugby	ragbi	Gledali smo ragbi na televiziji.
safety	sigurnost	Sigurnost je važna na poslu.
sailor	mornar	Mornar je popravio brod.
sample	uzorak	Medicinska sestra uzela je uzorak krvi.
sand	pijesak	Pijesak mi je prekrio cipele.
scan	skenirati	Prvo skeniraj dokument.
scientific	znanstveni	Ovo je znanstvena metoda.
script	scenarij	Glumac je pročitao scenarij.
sculpture	skulptura	Skulptura stoji vani.
secondary	sporedan	Ovo je sporedan problem.
security	osiguranje	Osiguranje nam je provjerilo torbe.
seed	sjeme	Posadi sjeme u tlo.
sensible	razuman	To je razumna ideja.
seriously	ozbiljno	Shvati ovaj problem ozbiljno.
servant	sluga	Sluga je otvorio vrata.
set (put)	staviti	Stavi čašu na stol.
set (group)	set	Ovaj set uključuje šest šalica.
setting	okruženje	Priča ima gradsko okruženje.
sex	spol	Obrazac pita za dob i spol.
sexual	seksualan	Razred je raspravljao o seksualnom zdravlju.
sharp	oštar	Ovaj nož je oštar.
shelf	polica	Stavi knjigu na policu.
shell	školjka	Školjka je bila prazna.
shift	smjena	Moja smjena počinje u osam.
shine	sjati	Zvijezde sjaje noću.
shiny	sjajan	Njezine cipele su sjajne.
shoot	snimiti	Fotograf će snimiti scenu.
shy	sramežljiv	On je sramežljiv s nepoznatima.
sight	prizor	Planina je bila prekrasan prizor.
signal	signal	Signal je bio slab.
silent	tih	Soba je postala tiha.
silly	glup	To je bila glupa pogreška.
similarity	sličnost	Postoji jasna sličnost.
similarly	slično	Drugi plan funkcionira slično.
simply	jednostavno	Jednostavno pritisni ovaj gumb.
sink	potonuti	Teško kamenje brzo tone.
slice	kriška	Pojeo sam krišku kolača.
slightly	malo	Soba je malo toplija.
smart	elegantan	Nosila je elegantnu jaknu.
smooth	gladak	Cesta je glatka.
software	softver	Softver treba ažuriranje.
soil	tlo	Tlo je suho.
solid	čvrst	Zid je čvrst.
southern	južni	Žive na južnoj obali.
specifically	posebno	Posebno sam tražio čaj.
spending	potrošnja	Državna potrošnja se povećala.
spicy	ljut	Ovaj curry je ljut.
spirit	duh	Tim je pokazao velik duh.
spoken	govorni	Govorni engleski se poboljšava vježbom.
spot	mjesto	Ovo mjesto je savršeno.
spread	namazati	Na kruh namaži maslac.
stadium	stadion	Stadion je bio pun.
staff	osoblje	Osoblje je bilo uslužno.
standard	standard	Standard je bio visok.
statistic	statistika	Ova statistika je iznenađujuća.
statue	kip	Kip stoji na trgu.
stick (push into/attach)	zalijepiti	Zalijepi etiketu na kutiju.
stick (piece of wood)	štap	Podigao je štap.
