source_headword	LO	example_LO
seat	ບ່ອນນັ່ງ	ກະລຸນາເອົາບ່ອນນັ່ງນີ້.
second1 (next after the first)	ທີສອງ	ທີສອງລ້າງມືຂອງເຈົ້າ.
secondly	ທີສອງ	ທີສອງກວດຄຳຕອບຂອງເຈົ້າ.
secret	ຄວາມລັບ	ຮັກສາຄວາມລັບນີ້ໃຫ້ປອດໄພ.
secretary	ເລຂານຸການ	ເລຂານຸການໂທມາມື້ນີ້.
seem	ເບິ່ງຄືວ່າ	ເຈົ້າເບິ່ງຄືວ່າເມື່ອຍ.
sense	ຄວາມໝາຍ	ແຜນນີ້ມີຄວາມໝາຍ.
separate	ແຍກຕ່າງຫາກ	ເກັບເຈ້ຍໄວ້ແຍກຕ່າງຫາກ.
series	ຊຸດ	ຊຸດນີ້ເປັນທີ່ນິຍົມ.
serious	ຮ້າຍແຮງ	ບັນຫານີ້ຮ້າຍແຮງ.
serve	ບໍລິການ	ພວກເຂົາບໍລິການອາຫານທ່ຽງຕອນທ່ຽງ.
service	ການບໍລິການ	ການບໍລິການໄວ.
several	ຫຼາຍ	ນັກຮຽນຫຼາຍຄົນມາຮອດໄວ.
shake	ສັ່ນ	ສັ່ນຂວດກ່ອນ.
shall modal	ຄວນ	ພວກເຮົາຄວນເລີ່ມຕອນນີ້ບໍ?
shape	ຮູບຮ່າງ	ແຕ້ມຮູບຮ່າງສີ່ຫຼ່ຽມ.
sheet	ຜ້າປູຕຽງ	ວາງຜ້າປູຕຽງເທິງຕຽງ.
ship	ເຮືອ	ເຮືອອອກມື້ນີ້.
shoulder	ບ່າ	ບ່າຂອງຂ້ອຍເຈັບ.
shout	ຮ້ອງດັງ	ຢ່າຮ້ອງດັງໃນຫ້ອງຮຽນ.
shut	ປິດ	ກະລຸນາປິດປ່ອງຢ້ຽມ.
side	ຂ້າງ	ນັ່ງຂ້າງນີ້.
sign	ປ້າຍ	ອ່ານປ້າຍຢ່າງລະມັດລະວັງ.
silver	ເງິນ	ເງິນເປັນໂລຫະສົດໃສ.
simple	ງ່າຍດາຍ	ບົດຝຶກນີ້ງ່າຍດາຍ.
since	ຕັ້ງແຕ່	ຂ້ອຍລໍຖ້າຕັ້ງແຕ່ຕອນທ່ຽງ.
singing	ການຮ້ອງເພງ	ການຮ້ອງເພງຊ່ວຍໃຫ້ຂ້ອຍຜ່ອນຄາຍ.
single	ດຽວ	ຂ້ອຍຊື້ປີ້ດຽວ.
sir	ທ່ານ	ທ່ານກະເປົາຂອງທ່ານພ້ອມແລ້ວ.
site	ເວັບໄຊ	ເວັບໄຊນີ້ປອດໄພ.
size	ຂະໜາດ	ເຈົ້າຕ້ອງການຂະໜາດໃດ?
ski	ຫຼິ້ນສະກີ	ພວກເຮົາຫຼິ້ນສະກີໃນລະດູໜາວ.
skiing	ການຫຼິ້ນສະກີ	ການຫຼິ້ນສະກີມ່ວນໃນລະດູໜາວ.
skin	ຜິວໜັງ	ຜິວໜັງຂອງນາງແຫ້ງ.
sky	ທ້ອງຟ້າ	ທ້ອງຟ້າແຈ້ງ.
slowly	ຊ້າໆ	ຍ່າງຊ້າໆເທິງນ້ຳແຂງ.
smartphone	ສະມາດໂຟນ	ສະມາດໂຟນຂອງຂ້ອຍໃໝ່.
smell	ກິ່ນ	ແກງມີກິ່ນດີ.
smile	ຍິ້ມ	ຍິ້ມໃຫ້ກ້ອງ.
smoke	ຄວັນ	ຄວັນເຕັມຫ້ອງ.
smoking	ການສູບຢາ	ບໍ່ອະນຸຍາດການສູບຢາ.
soap	ສະບູ	ໃຊ້ສະບູແລະນ້ຳ.
soccer	ບານເຕະ	ບານເຕະນິຍົມຢູ່ທີ່ນີ້.
social	ສັງຄົມ	ນີ້ເປັນງານສັງຄົມ.
society	ສັງຄົມ	ສັງຄົມປ່ຽນໄປຕາມເວລາ.
sock	ຖົງຕີນ	ຖົງຕີນຂ້າງໜຶ່ງຫາຍ.
soft	ອ່ອນນຸ່ມ	ຜ້າຫົ່ມນີ້ອ່ອນນຸ່ມ.
soldier	ທະຫານ	ທະຫານກັບບ້ານ.
solution	ທາງແກ້ໄຂ	ພວກເຮົາພົບທາງແກ້ໄຂ.
solve	ແກ້ໄຂ	ແກ້ໄຂປິດສະໜານີ້.
somewhere	ບ່ອນໃດບ່ອນໜຶ່ງ	ວາງມັນໄວ້ບ່ອນໃດບ່ອນໜຶ່ງທີ່ປອດໄພ.
sort	ປະເພດ	ເຈົ້າຕ້ອງການປະເພດໃດ?
source	ແຫຼ່ງຂໍ້ມູນ	ກວດແຫຼ່ງຂໍ້ມູນກ່ອນ.
speaker	ຜູ້ເວົ້າ	ຜູ້ເວົ້າມີສຽງດັງ.
specific	ສະເພາະ	ຂ້ອຍຕ້ອງການຄຳຕອບສະເພາະ.
speech	ຄຳປາໄສ	ຄຳປາໄສຂອງນາງສັ້ນ.
speed	ຄວາມໄວ	ຫຼຸດຄວາມໄວຂອງເຈົ້າທີ່ນີ້.
spider	ແມງມຸມ	ມີແມງມຸມຢູ່ເທິງຝາ.
spoon	ບ່ວງ	ໃຊ້ບ່ວງສຳລັບແກງ.
square	ສີ່ຫຼ່ຽມ	ແຕ້ມກ່ອງສີ່ຫຼ່ຽມ.
stage	ເວທີ	ວົງດົນຕີຢູ່ເທິງເວທີ.
stair	ຂັ້ນໄດ	ຂັ້ນໄດເສຍ.
stamp	ສະແຕມ	ຕິດສະແຕມໃສ່ຈົດໝາຍ.
state	ກ່າວ	ກ່າວຊື່ຂອງເຈົ້າໃຫ້ຊັດ.
steal	ລັກ	ຢ່າລັກເງິນ.
step	ກ້າວ	ກ້າວໄປຂ້າງໜ້າໜຶ່ງກ້າວ.
stomach	ທ້ອງ	ທ້ອງຂອງຂ້ອຍເຈັບ.
stone	ຫີນ	ຫີນນີ້ໜັກ.
store	ຮ້ານ	ຮ້ານປິດໄວ.
storm	ພາຍຸ	ພາຍຸກຳລັງມາ.
straight	ກົງ	ໄປເຮືອນໂດຍກົງ.
strange	ແປກ	ສຽງນັ້ນແປກ.
strategy	ຍຸດທະສາດ	ພວກເຮົາຕ້ອງການຍຸດທະສາດ.
stress	ຄວາມກົດດັນ	ວຽກສາມາດກໍ່ຄວາມກົດດັນ.
structure	ໂຄງສ້າງ	ໂຄງສ້າງນີ້ແຂງແຮງ.
stupid	ໂງ່	ນັ້ນເປັນຄວາມຜິດໂງ່.
succeed	ສຳເລັດ	ເຈົ້າສາມາດສຳເລັດຢູ່ທີ່ນີ້.
successful	ສຳເລັດ	ນາງກາຍເປັນຄົນສຳເລັດ.
such	ແບບນັ້ນ	ການຊ່ວຍແບບນັ້ນມີປະໂຫຍດ.
suddenly	ທັນທີທັນໃດ	ທັນທີທັນໃດໝາແລ່ນອອກໄປ.
suggest	ແນະນຳ	ຂ້ອຍແນະນຳໃຫ້ພັກສັ້ນໆ.
suggestion	ຂໍ້ສະເໜີ	ຂໍ້ສະເໜີຂອງເຈົ້າມີປະໂຫຍດ.
suit	ຊຸດສູດ	ຊຸດສູດນີ້ແພງ.
support	ສະໜັບສະໜູນ	ພວກເຮົາສະໜັບສະໜູນທີມຂອງພວກເຮົາ.
suppose	ຄິດວ່າ	ຂ້ອຍຄິດວ່າເຈົ້າຖືກ.
surprise	ຄວາມແປກໃຈ	ຄວາມແປກໃຈເຮັດໃຫ້ນາງດີໃຈ.
surprised	ແປກໃຈ	ນາງແປກໃຈມື້ນີ້.
surprising	ໜ້າແປກໃຈ	ຜົນນີ້ໜ້າແປກໃຈ.
survey	ການສຳຫຼວດ	ກະລຸນາຕື່ມການສຳຫຼວດ.
sweet	ຫວານ	ຊານີ້ຫວານ.
symbol	ສັນຍາລັກ	ສັນຍາລັກນີ້ໝາຍເຖິງອັນຕະລາຍ.
system	ລະບົບ	ລະບົບເຮັດວຽກດີ.
tablet	ແທັບເລັດ	ແທັບເລັດຂອງຂ້ອຍຢູ່ເທິງໂຕະ.
target	ເປົ້າໝາຍ	ຕີເປົ້າໝາຍຢ່າງລະມັດລະວັງ.
task	ວຽກ	ວຽກນີ້ງ່າຍ.
taste	ຊີມ	ຊີມແກງກ່ອນ.
teaching	ການສອນ	ການສອນເປັນວຽກຍາກ.
technology	ເຕັກໂນໂລຊີ	ເຕັກໂນໂລຊີປ່ຽນໄວ.
teenage	ໄວລຸ້ນ	ນ້ອງຊາຍໄວລຸ້ນຂອງຂ້ອຍຮຽນໜັກ.
temperature	ອຸນຫະພູມ	ອຸນຫະພູມຕ່ຳ.
term	ພາກຮຽນ	ພາກຮຽນນີ້ຈະຈົບໄວໆນີ້.
themselves	ດ້ວຍຕົນເອງ	ພວກເຂົາແຕ່ງອາຫານແລງດ້ວຍຕົນເອງ.
thick	ໜາ	ປື້ມນີ້ໜາ.
thief	ຂະໂມຍ	ຂະໂມຍແລ່ນໜີ.
thin	ບາງ	ເຈ້ຍນີ້ບາງ.
thinking	ການຄິດ	ການຄິດຕ້ອງໃຊ້ເວລາ.
thought	ຄວາມຄິດ	ຂ້ອຍມີຄວາມຄິດແປກ.
throw	ໂຍນ	ໂຍນບານຄ່ອຍໆ.
tidy	ຮຽບຮ້ອຍ	ຮັກສາຫ້ອງຂອງເຈົ້າໃຫ້ຮຽບຮ້ອຍ.
tie	ຜູກ	ຜູກເຊືອກເກີບຂອງເຈົ້າຕອນນີ້.
tip	ເງິນທິບ	ປ່ອຍເງິນທິບສຳລັບການບໍລິການ.
tool	ເຄື່ອງມື	ໃຊ້ເຄື່ອງມືທີ່ຖືກ.
top	ດ້ານເທິງ	ຊັ້ນດ້ານເທິງເຕັມ.
touch	ແຕະ	ຢ່າແຕະແກ້ວ.
tour	ທົວ	ພວກເຮົາໄປທົວເມືອງ.
tourism	ການທ່ອງທ່ຽວ	ການທ່ອງທ່ຽວຊ່ວຍເມືອງນີ້.
towards	ໄປຫາ	ຍ່າງໄປຫາສະຖານີ.
towel	ຜ້າເຊັດຕົວ	ເອົາຜ້າເຊັດຕົວສະອາດມາ.
tower	ຫໍຄອຍ	ຫໍຄອຍນີ້ເກົ່າຫຼາຍ.
toy	ຂອງຫຼິ້ນ	ລົດຂອງຫຼິ້ນສີແດງ.
track	ທາງ	ທາງນີ້ໄປທາງເໜືອ.
tradition	ປະເພນີ	ປະເພນີນີ້ເກົ່າ.
traditional	ແບບປະເພນີ	ນາງໃສ່ເສື້ອຜ້າແບບປະເພນີ.
trainer	ຄູຝຶກ	ຄູຝຶກຂອງຂ້ອຍຊ່ວຍໄດ້.
training	ການຝຶກ	ການຝຶກເລີ່ມມື້ອື່ນ.
transport	ການຂົນສົ່ງ	ການຂົນສົ່ງສາທາລະນະມາຊ້າ.
traveller	ນັກເດີນທາງ	ນັກເດີນທາງຂໍຄວາມຊ່ວຍເຫຼືອ.
trouble	ບັນຫາ	ພວກເຮົາມີບັນຫາມື້ວານ.
truck	ລົດບັນທຸກ	ລົດບັນທຸກຢູ່ຂ້າງນອກ.
twin	ຝາແຝດ	ນ້ອງສາວຝາແຝດຂອງຂ້ອຍສູງກວ່າ.
typical	ທຳມະດາ	ນີ້ເປັນມື້ທຳມະດາ.
underground	ໃຕ້ດິນ	ລົດໄຟແລ່ນໃຕ້ດິນ.
understanding	ຄວາມເຂົ້າໃຈ	ຄວາມເຂົ້າໃຈຂອງເຈົ້າຖືກ.
unfortunately	ໂຊກບໍ່ດີ	ໂຊກບໍ່ດີຮ້ານປິດແລ້ວ.
unhappy	ບໍ່ມີຄວາມສຸກ	ລາວເບິ່ງບໍ່ມີຄວາມສຸກ.
uniform	ເຄື່ອງແບບ	ນາງໃສ່ເຄື່ອງແບບໂຮງຮຽນ.
unit	ໜ່ວຍ	ໜ່ວຍນີ້ນ້ອຍ.
united	ສາມັກຄີ	ທີມຍັງສາມັກຄີ.
unusual	ບໍ່ທຳມະດາ	ສຽງນັ້ນບໍ່ທຳມະດາ.
used to modal	ເຄີຍ	ພວກເຮົາເຄີຍຢູ່ທີ່ນີ້.
user	ຜູ້ໃຊ້	ຜູ້ໃຊ້ແຕ່ລະຄົນມີເລກ.
usual	ປົກກະຕິ	ຂ້ອຍເອົາບ່ອນນັ່ງປົກກະຕິ.
valley	ຮ່ອມພູ	ຮ່ອມພູສີຂຽວ.
van	ລົດຕູ້	ລົດຕູ້ເຕັມ.
variety	ຄວາມຫຼາກຫຼາຍ	ພວກເຮົາຕ້ອງການຄວາມຫຼາກຫຼາຍກວ່າ.
vehicle	ຍານພາຫະນະ	ຍານພາຫະນະນີ້ຊ້າ.
view	ວິວ	ວິວສວຍ.
virus	ໄວຣັສ	ໄວຣັສເຮັດໃຫ້ລາວປ່ວຍ.
voice	ສຽງ	ສຽງຂອງນາງຄ່ອຍ.
war	ສົງຄາມ	ສົງຄາມຈົບຫຼາຍປີກ່ອນ.
washing	ການຊັກຜ້າ	ການຊັກຜ້າຢູ່ຂ້າງນອກ.
wave	ຄື້ນ	ຄື້ນຕີເຮືອ.
weak	ອ່ອນແອ	ຂາຂອງຂ້ອຍຮູ້ສຶກອ່ອນແອ.
web	ເວັບ	ໜ້າເວັບເປີດແລ້ວ.
wedding	ງານແຕ່ງງານ	ງານແຕ່ງງານເລີ່ມໄວໆນີ້.
weight	ນ້ຳໜັກ	ກວດນ້ຳໜັກກ່ອນ.
wet	ປຽກ	ເກີບຂອງຂ້ອຍປຽກ.
wheel	ລໍ້	ລໍ້ເສຍ.
while	ຊົ່ວຄາວ	ລໍຖ້າຢູ່ນີ້ຊົ່ວຄາວ.
whole	ທັງໝົດ	ຂ້ອຍກິນໝາກໂປມທັງໝົດ.
whose	ຂອງໃຜ	ໂທລະສັບນີ້ຂອງໃຜ?
wide	ກວ້າງ	ຖະໜົນນີ້ກວ້າງ.
wild	ປ່າ	ສັດປ່າອາໄສຢູ່ທີ່ນີ້.
wind1	ລົມ	ລົມແຮງ.
winner	ຜູ້ຊະນະ	ຜູ້ຊະນະຍິ້ມ.
wish	ຄຳອວຍພອນ	ຂໍຄຳອວຍພອນໜຶ່ງ.
wood	ໄມ້	ຕັ່ງເຮັດຈາກໄມ້.
wooden	ເຮັດດ້ວຍໄມ້	ກ່ອງເຮັດດ້ວຍໄມ້ໜັກ.
working	ການເຮັດວຽກ	ມື້ເຮັດວຽກຈົບແລ້ວ.
worried	ກັງວົນ	ຂ້ອຍຮູ້ສຶກກັງວົນມື້ນີ້.
worry	ກັງວົນ	ຢ່າກັງວົນຕອນນີ້.
worse	ແຍ່ກວ່າ	ຄວາມເຈັບນີ້ແຍ່ກວ່າ.
worst	ແຍ່ທີ່ສຸດ	ນັ້ນເປັນມື້ແຍ່ທີ່ສຸດ.
wow	ວ້າວ	ວ້າວນັ້ນຍອດຫຼາຍ!
yet	ແລ້ວບໍ	ພວກເຮົາຮອດແລ້ວບໍ?
yours	ຂອງເຈົ້າ	ປື້ມນີ້ເປັນຂອງເຈົ້າ.
zero	ສູນ	ນັບຖອຍຫຼັງເຖິງສູນ.
