source_headword	SK	example_SK
circuit	obvod	Bežec dokončil okruh.
civilization	civilizácia	Staroveká civilizácia formovala tento región.
clarify	objasniť	Prosím, objasnite posledný bod.
classify	klasifikovať	Vedci klasifikujú zvieratá podľa druhov.
clerk	úradník	Predavač vytlačil účtenku.
cliff	útes	Cesta končí blízko útesu.
clinic	klinika	Klinika sa otvára o ôsmej.
clip	klip	Pripela sponku k papieru.
coincidence	náhoda	Stretnúť ho tam bola náhoda.
collector	zberateľ	Zberateľ kúpil vzácne mince.
colony	kolónia	Mravce si postavili veľkú kolóniu.
colourful	farebný	Trh bol jasný a pestrofarebný.
comic	komiks	Komická scéna nás rozosmiala.
commander	veliteľ	Veliteľ dal jasné rozkazy.
comparative	porovnávací	Esej využíva komparatívne údaje.
completion	dokončenie	Most je blízko dokončenia.
compose	zostaviť	Zloží hudbu pre film.
composer	skladateľ	Skladateľ napísal novú pieseň.
compound	zlúčenina	Zlúčenina obsahuje dve chemikálie.
comprehensive	komplexný	Sprievodca poskytuje komplexné pokyny.
comprise	zahŕňať	Tím pozostáva z piatich členov.
compulsory	povinný	Účasť na tejto hodine je povinná.
concrete	betón	Podlaha je z betónu.
confess	priznať	Priznal sa učiteľovi k chybe.
confusion	zmätok	Meškanie spôsobilo zmätok.
consequently	následne	Padal dážď; následne sa zápas zastavil.
conservation	ochrana	Ochrana prírody chráni vzácne zvieratá.
considerable	značný	Oprava trvala značný čas.
considerably	značne	Ceny tento rok značne vzrástli.
consistently	dôsledne	Podáva konzistentne dobré výkony.
conspiracy	sprisahanie	Polícia vyšetrovala sprisahanie.
consult	konzultovať	Poraďte sa s lekárom pred užitím lieku.
consultant	konzultant	Konzultant navrhol novú stratégiu.
consumption	spotreba	Spotreba energie minulý mesiac klesla.
controversial	kontroverzný	Politika zostáva kontroverzná.
controversy	kontroverzia	Rozhodnutie spôsobilo kontroverziu.
convenience	pohodlie	Obchod ponúka veľké pohodlie.
convention	dohovor	Výročný zjazd sa začína v pondelok.
conventional	konvenčný	Vybral si konvenčný dizajn.
convey	oznámiť	Správa vyjadrila súcit.
convincing	presvedčivý	Jej vysvetlenie bolo presvedčivé.
cope	zvládnuť	Naučila sa zvládnuť stres.
corporation	korporácia	Korporácia otvorila novú pobočku.
corridor	chodba	Chodba bola úzka a tichá.
counter (long flat surface)	pult	Kľúče sú na kuchynskom pulte.
coverage	pokrytie	Spravodajstvo trvalo celý večer.
crack	prasklina	Na stene sa objavila prasklina.
craft	remeslo	Predáva ručne vyrábané remeselné výrobky online.
creativity	kreativita	Kreativita pomáha riešiť problémy.
critically	kriticky	Článok bol kriticky dôležitý.
cruise	plavba	Rezervovali si plavbu do Grécka.
cue	narážka	Herec zmeškal svoj signál.
curious	zvedavý	Dieťa bolo zvedavé na vesmír.
curriculum	osnovy	Škola aktualizovala svoje učebné osnovy.
cute	roztomilý	Šteniatko vyzeralo roztomilo.
dairy	mliekareň	Farma vyrába mliečne výrobky.
dare	odvážiť sa	Vyzývam ťa, aby si to skúsil.
darkness	tma	Miestnosť sa naplnila tmou.
database	databáza	Databáza uchováva záznamy o zákazníkoch.
deadline	termín	Termín je v piatok.
deadly	smrtiaci	Had má smrtiaci jed.
dealer	predajca	Predajca áut ponúkol zľavu.
deck	paluba	Stoličky sú na terase.
defender	obranca	Obranca zablokoval strelu.
delete	vymazať	Vymažte starú správu.
democracy	demokracia	Demokracia závisí od slobodných volieb.
democratic	demokratický	Hlasovanie sa riadilo demokratickými pravidlami.
demonstration	demonštrácia	Študenti sa pridali k demonštrácii.
depart	odstúpiť	Vlak odíde na poludnie.
dependent	závislý	Dieťa je závislé od dospelých.
deposit	vklad	Zaplatila zálohu za byt.
depression	depresia	Depresia si vyžaduje odbornú podporu.
derive	odvodiť	Mnoho slov je odvodených z latinčiny.
desperately	zúfalo	Zúfalo potreboval vodu.
destruction	zničenie	Búrka spôsobila rozsiahle zničenie.
determination	odhodlanie	Jej odhodlanie zapôsobilo na trénera.
devote	venovať	Víkendy venuje štúdiu.
differ	líšiť sa	Ich názory sa ostro líšia.
disability	postihnutie	Budova má prístup pre osoby s postihnutím.
disabled	zakázaný	Zdravotne postihnutý športovec získal medailu.
disagreement	nezhoda	Stretnutie sa skončilo nezhodou.
disappoint	sklamať	Výsledok môže sklamať fanúšikov.
disappointment	sklamanie	Cítil hlboké sklamanie.
discourage	odradiť	Neodrádzajte mladých študentov.
disorder	porucha	Lekár diagnostikoval poruchu spánku.
distant	vzdialený	Hory vyzerali byť vzdialené.
distinct	odlišný	Tieto dva zvuky sú odlišné.
distinguish	rozlíšiť	Dokážete rozoznať tieto farby?
distract	rozptýliť	Hluk môže rozptýliť študentov.
disturb	rušiť	Prosím, nevyrušujte pacienta.
dive	ponor	Budú sa potápať blízko útesu.
diverse	rozmanitý	Mesto má rozmanité kultúry.
diversity	rozmanitosť	Oslavujeme kultúrnu rozmanitosť.
divorce	rozvod	Rozvod bol pre všetkých ťažký.
dominant	dominantný	Dominantný tím kontroloval hru.
donation	dar	Charita prijala dar.
dot	bodka	Za číslo dajte bodku.
downtown	centrum	Stretli sme sa v centre mesta po práci.
dramatically	dramaticky	Cena dramaticky klesla.
drought	sucho	Sucho poškodilo úrodu.
dull	nudný	Prednáška bola nudná.
dump	zahodiť	Nevyhadzujte sem odpadky.
duration	trvanie	Trvanie letu sú tri hodiny.
dynamic	dynamický	Trieda pôsobila dynamicky.
economics	ekonómia	Študuje ekonómiu na univerzite.
economist	ekonóm	Ekonóm predpovedal pomalší rast.
editorial	redakčný	Úvodník kritizoval zákon.
efficiently	efektívne	Tím pracoval efektívne.
elbow	lakte	Zranil si lakeť.
electronics	elektronika	Obchod predáva elektroniku.
elegant	elegantný	Šaty vyzerali elegantne.
elementary	základný	Kniha vysvetľuje základnú gramatiku.
eliminate	odstrániť	Tím odstránil niekoľko chýb.
embrace	prijať	Prijala novú myšlienku.
emission	emisia	Úrovne emisií áut klesli.
emotionally	emocionálne	O svojej rodine hovoril emocionálne.
empire	ríša	Impérium trvalo stáročia.
enjoyable	príjemný	Výlet bol príjemný.
entertaining	zábavný	Predstavenie bolo zábavné.
entrepreneur	podnikateľ	Podnikateľ si otvoril kaviareň.
envelope	obálka	Vložte list do obálky.
equip	vybaviť	Škola vybaví laboratórium.
equivalent	ekvivalent	Jeden dolár tu nie je ekvivalentom.
era	éra	Objav začal novú éru.
erupt	prepuknúť	Sopka môže čoskoro vybuchnúť.
essentially	v podstate	Tieto dve metódy sú v podstate totožné.
ethic	etika	Jeho pracovná etika je silná.
ethnic	etnický	Festival oslavuje etnické tradície.
evaluation	hodnotenie	Kurz zahŕňa záverečné hodnotenie.
evident	zrejmý	Jeho nervozita bola zrejmá.
evolution	evolúcia	Evolúcia vysvetľuje mnohé biologické zmeny.
evolve	vyvíjať sa	Jazyky sa časom vyvíjajú.
exceed	prekročiť	Dopyt môže prekročiť ponuku.
exception	výnimka	Existuje jedna výnimka.
excessive	nadmerný	Nadmerný hluk ruší susedov.
exclude	vylúčiť	Zoznam vylučuje dočasných pracovníkov.
exhibit	exponát	Múzeum bude vystavovať vzácne fotografie.
exit	východ	Východ je za pódiom.
exotic	exotický	Obchod predáva exotické ovocie.
expansion	expanzia	Spoločnosť plánovala expanziu.
expertise	odbornosť	Jej odbornosť zlepšila projekt.
exploit	využiť	Zločinci zneužívajú slabé heslá.
exposure	vystavenie	Vystavenie slnku môže poškodiť pokožku.
extension	predĺženie	Predĺženie termínu pomohlo všetkým.
extensive	rozsiahly	Knižnica má rozsiahle zdroje.
extensively	extenzívne	Téma bola rozsiahlo študovaná.
extract	výťažok	Vanilkový extrakt dodáva chuť.
fabric	látka	Látka je na dotyk jemná.
fabulous	báječný	Jedlo bolo báječné.
failed	neúspešný	Neúspešný pokus nás niečo naučil.
fake	falošný	Webová stránka predávala falošné lístky.
fame	sláva	Sláva zmenila jeho súkromný život.
fantasy	fantázia	Román je fantasy.
fare	cestovné	Cestovné za autobus sa zvýšilo.
federal	federálny	Federálna vláda oznámila financovanie.
fever	horúčka	Dieťa má horúčku.
firefighter	hasič	Hasič zachránil psa.
firework	ohňostroj	Nad parkom vybuchol ohňostroj.
firm	pevný	Matrac je pevný.
firmly	pevne	Pevne zatvorila dvere.
flavour	chuť	Polievka má bohatú chuť.
fond	milujúci	Má rád džez.
fool	hlupák	Nesprávaj sa ako hlupák.
forbid	zakázať	Zákon tu zakazuje fajčiť.
forecast	predpoveď	Predpoveď hlási dážď.
format	formát	Použite správny formát súboru.
formation	formácia	Tvorba oblakov sa rýchlo mení.
formerly	kedysi	Budova bola predtým školou.
fortunate	šťastný	Mali sme šťastie, že sme dorazili skoro.
forum	fórum	Fórum diskutovalo o klimatickej politike.
fossil	fosília	Fosília sa našla v kameni.
foundation	základ	Dom má silný základ.
founder	zakladateľ	Zakladateľ privítal hostí.
fraction	zlomok	Prišiel len zlomok študentov.
fragment	úlomok	Na podlahe ležal úlomok skla.
framework	rámec	Zákon vytvára jasný rámec.
fraud	podvod	Banka odhalila podvod.
freely	voľne	Deti sa voľne hrali vonku.
frequent	častý	Časté prestávky zlepšujú sústredenie.
fulfil	splniť	Dúfam, že splním svoj sľub.
full-time	na plný úväzok	Má prácu na plný úväzok.
fundamentally	zásadne	Plán je zásadne odlišný.
furious	zúrivý	Bol zúrivý kvôli meškaniu.
gaming	hranie	Hranie hier môže zlepšiť rýchlosť reakcie.
gay	gay	Podporuje práva homosexuálov.
gender	pohlavie	Prieskum sa pýtal na pohlavie.
gene	gén	Tento gén ovplyvňuje farbu očí.
genetic	genetický	Choroba má genetické príčiny.
genius	génius	Mladý klavirista je génius.
genuine	pravý	Jej úsmev sa zdal byť úprimný.
genuinely	úprimne	Úprimne chcel pomôcť.
gesture	gesto	Urobila priateľské gesto.
gig	koncert	Kapela hrala koncert v meste.
globalization	globalizácia	Globalizácia ovplyvňuje miestne podniky.
globe	zemeguľa	Glóbus ukazuje každý kontinent.
golden	zlatý	Západ slnka sa sfarbil do zlata.
goodness	dobrota	Verí v ľudskú dobrotu.
gorgeous	nádherný	Záhrada vyzerala nádherne.
governor	guvernér	Guvernér podpísal návrh zákona.
graphic	grafický	Grafický obrázok šokoval divákov.
graphics	grafika	Hra má jednoduchú grafiku.
greatly	značne	Vaša rada veľmi pomohla.
greenhouse	skleník	Paradajky rastú vo vnútri skleníka.
grocery	potraviny	Po práci kúpila potraviny.
guideline	smernica	Usmernenie vysvetľuje bezpečné postupy.
habitat	prirodzené prostredie	Les je biotopom vtákov.
harbour	prístav	Čln vplával do prístavu.
headquarters	ústredie	Centrála spoločnosti sa presťahovala do centra.
