source_headword	MY	example_MY
inspect	စစ်ဆေးသည်	တာဝန်ရှိသူများသည် တံတားကို နှစ်စဉ် စစ်ဆေးသည်။
inspection	စစ်ဆေးမှု	စစ်ဆေးမှုတွင် ပြင်းထန်သော ပျက်စီးမှုကို တွေ့ရှိခဲ့သည်။
inspiration	လှုံ့ဆော်မှု	သူမ၏ မိန့်ခွန်းက ကျွန်တော့်ကို လှုံ့ဆော်မှု ပေးခဲ့သည်။
instinct	အလိုအလျောက်သိစိတ်	သူ၏ ပထမဆုံး အလိုအလျောက်သိစိတ်က ကူညီရန်ဖြစ်သည်။
institutional	အဖွဲ့အစည်းဆိုင်ရာ	အဖွဲ့အစည်းဆိုင်ရာ စည်းမျဉ်းများသည် ဆုံးဖြတ်ချက်ကို ပုံဖော်ခဲ့သည်။
instruct	ညွှန်ကြားသည်	လက်စွဲစာအုပ်သည် ဝန်ထမ်းသစ်များကို ညွှန်ကြားမည်ဖြစ်သည်။
instrumental	အထောက်အကူဖြစ်သော	သူမ၏ အကြံဉာဏ်သည် စေ့စပ်ညှိနှိုင်းမှုများတွင် အထောက်အကူဖြစ်ခဲ့သည်။
insufficient	မလုံလောက်သော	သက်သေအထောက်အထားများသည် စွဲချက်များအတွက် မလုံလောက်ပါ။
insult	စော်ကားမှု	သူ၏ စော်ကားမှုကြောင့် စကားပြောဆိုမှု ပြီးဆုံးသွားသည်။
intact	အကောင်းပကတိ	ရှေးဟောင်းတံတိုင်းသည် အကောင်းပကတိ ကျန်ရှိနေခဲ့သည်။
intake	စားသုံးမှု	သကြား စားသုံးမှုသည် သင့်တင့်သင့်သည်။
integral	အရေးပါသော	ယုံကြည်မှုသည် အဖွဲ့အတွက် အရေးပါသော အစိတ်အပိုင်းဖြစ်သည်။
integrated	ပေါင်းစပ်ထားသော	ကျောင်းသည် ပေါင်းစပ်ထားသော အကူအညီကို ပေးသည်။
integration	ပေါင်းစည်းခြင်း	ပေါင်းစည်းခြင်းသည် စနစ်တစ်ခုလုံးကို တိုးတက်စေခဲ့သည်။
integrity	ဖြောင့်မတ်တည်ကြည်မှု	တရားသူကြီးသည် ကြီးမားသော ဖြောင့်မတ်တည်ကြည်မှုကို ပြသခဲ့သည်။
intensify	ပိုမိုပြင်းထန်လာသည်	မုန်တိုင်းသည် တစ်ညတွင်းချင်း ပိုမိုပြင်းထန်လာနိုင်သည်။
intensity	ပြင်းထန်မှု	လေ့ကျင့်ရေး၏ ပြင်းထန်မှု တိုးလာသည်။
intensive	အထူးပြု	သူတို့သည် အထူးပြု ဘာသာစကားသင်တန်းကို ပြီးစီးခဲ့သည်။
intent	ရည်ရွယ်ချက်	သူ၏ ရည်ရွယ်ချက်ကို သက်သေပြရန် ခက်ခဲသည်။
interactive	အပြန်အလှန်တုံ့ပြန်သော	ပြတိုက်တွင် အပြန်အလှန်တုံ့ပြန်သော ပြခန်းများ ရှိသည်။
interface	ကြားခံနယ်	ကြားခံနယ်သည် အသုံးပြုရန် လွယ်ကူသည်။
interfere	ဝင်ရောက်စွက်ဖက်သည်	စုံစမ်းစစ်ဆေးမှုကို ဝင်ရောက်မစွက်ဖက်ပါနှင့်။
interference	နှောင့်ယှက်မှု	အချက်ပြမှု နှောင့်ယှက်မှုကြောင့် ဖုန်းခေါ်ဆိုမှု ပြတ်တောက်သွားသည်။
interim	ယာယီ	ယာယီ အစီရင်ခံစာသည် မနက်ဖြန် ရောက်မည်ဖြစ်သည်။
interior	အတွင်းပိုင်း	အတွင်းပိုင်း နံရံများကို ဆေးသုတ်ရန် လိုအပ်သည်။
intermediate	အလယ်အလတ်	သူမသည် အလယ်အလတ် အတန်းတွင် ပါဝင်ခဲ့သည်။
intervene	ကြားဝင်စွက်ဖက်သည်	ရဲများ အမြန် ကြားဝင်စွက်ဖက်ခဲ့ရသည်။
intervention	ကြားဝင်စွက်ဖက်မှု	စောစီးစွာ ကြားဝင်စွက်ဖက်မှုက လူနာကို အထောက်အကူပြုခဲ့သည်။
intimate	ရင်းနှီးသော	သူတို့သည် ရင်းနှီးသော မိသားစု အခမ်းအနားကို ကျင်းပခဲ့သည်။
intriguing	စိတ်ဝင်စားဖွယ်ကောင်းသော	အချက်အလက်များက စိတ်ဝင်စားဖွယ်ကောင်းသော ပုံစံတစ်ခုကို ဖော်ပြခဲ့သည်။
investigator	စုံစမ်းစစ်ဆေးသူ	စုံစမ်းစစ်ဆေးသူသည် မျက်မြင်သက်သေတစ်ဦးစီကို တွေ့ဆုံမေးမြန်းခဲ့သည်။
invisible	မမြင်ရသော	ဓာတ်ငွေ့သည် မမြင်ရဘဲ အန္တရာယ်ရှိသည်။
invoke	ကိုးကားသည်	ရှေ့နေက ယခင်ထုံးစံကို ကိုးကားခဲ့သည်။
involvement	ပါဝင်ပတ်သက်မှု	သူ၏ ပါဝင်ပတ်သက်မှုသည် မရှင်းမလင်းဖြစ်နေဆဲဖြစ်သည်။
ironic	ခနဲ့တဲ့တဲ့	ခနဲ့တဲ့တဲ့ မှတ်ချက်က လူတိုင်းကို ရယ်မောစေခဲ့သည်။
ironically	ပြောင်းပြန်အားဖြင့်	ပြောင်းပြန်အားဖြင့် လမ်းကြောင်းက အချိန်ပိုကြာခဲ့သည်။
irony	သရော်ချက်	သရော်ချက်သည် လူတိုင်းအတွက် ထင်ရှားသည်။
irrelevant	မသက်ဆိုင်သော	ထိုအသေးစိတ်အချက်က ဤနေရာတွင် မသက်ဆိုင်ပါ။
isolation	အထီးကျန်ခြင်း	အထီးကျန်ခြင်းသည် စိတ်ကျန်းမာရေးကို ထိခိုက်စေနိုင်သည်။
judicial	တရားစီရင်ရေး	တရားစီရင်ရေး ပြန်လည်သုံးသပ်မှုကို တနင်္လာနေ့တွင် စတင်မည်ဖြစ်သည်။
junction	လမ်းဆုံ	လမ်းဆုံတွင် ဘယ်ဘက်သို့ကွေ့ပါ။
jurisdiction	စီရင်ပိုင်ခွင့်	တရားရုံးတွင် အကန့်အသတ်ရှိသော စီရင်ပိုင်ခွင့် ရှိသည်။
just	တရားမျှတသော	တရားသူကြီးသည် တရားမျှတသော ဆုံးဖြတ်ချက်တစ်ခုကို ချမှတ်ခဲ့သည်။
justification	ခိုင်လုံသော အကြောင်းပြချက်	အသုံးစရိတ်အတွက် ခိုင်လုံသော အကြောင်းပြချက် လိုအပ်သည်။
kidnap	ပြန်ပေးဆွဲသည်	ရာဇဝတ်ကောင်များသည် သံတမန်ကို ပြန်ပေးဆွဲခဲ့သည်။
kidney	ကျောက်ကပ်	သူမ၏ ကျောက်ကပ်လုပ်ငန်းဆောင်တာ တိုးတက်လာသည်။
kingdom	တိုင်းပြည်	သူ၏ အုပ်ချုပ်မှုအောက်တွင် တိုင်းပြည် ကျယ်ပြန့်လာခဲ့သည်။
lad	လူငယ်	လူငယ်လေးက အိတ်များကို သယ်ပေးခဲ့သည်။
landlord	အိမ်ရှင်	အိမ်ရှင်သည် အပူပေးစနစ်ကို ပြင်ဆင်ပေးခဲ့သည်။
landmark	အထင်ကရနေရာ	မျှော်စင်သည် မြို့၏ အထင်ကရနေရာတစ်ခု ဖြစ်လာခဲ့သည်။
lap	ပေါင်	ကလေးသည် သူမ၏ ပေါင်ပေါ်တွင် ထိုင်နေသည်။
large-scale	အကြီးစား	မြို့တော်သည် အကြီးစား ပြုပြင်မှုများ ပြုလုပ်ရန် စီစဉ်ခဲ့သည်။
laser	လေဆာ	လေဆာက အကွာအဝေးကို တိုင်းတာခဲ့သည်။
latter	နောက်ပိုင်း	နောက်ပိုင်း ရွေးချယ်မှုက ပိုလုံခြုံပုံရသည်။
lawn	မြက်ခင်း	ကလေးများသည် မြက်ခင်းပေါ်တွင် ကစားခဲ့ကြသည်။
lawsuit	တရားစွဲဆိုမှု	ကုမ္ပဏီသည် တရားစွဲဆိုမှုကို ပြေလည်အောင် ဖြေရှင်းခဲ့သည်။
layout	အပြင်အဆင်	စာမျက်နှာ အပြင်အဆင်သည် ပိုရှင်းလင်းပုံရသည်။
leak	ယိုစိမ့်မှု	ပိုက် ယိုစိမ့်မှုကြောင့် မီးဖိုချောင် ရေလွှမ်းသွားသည်။
leap	ခုန်ပျံတိုးတက်ခြင်း	အရောင်းသည် ရုတ်တရက် ခုန်ပျံတိုးတက်လာသည်။
legacy	အမွေအနှစ်	သူမ၏ အမွေအနှစ်သည် တက္ကသိုလ်ကို ပုံဖော်ပေးခဲ့သည်။
legendary	ဒဏ္ဍာရီဆန်သော	ဒဏ္ဍာရီဆန်သော အဆိုတော်သည် စင်မြင့်ပေါ်သို့ ပြန်လာခဲ့သည်။
legislation	ဥပဒေပြုခြင်း	ဥပဒေသစ်သည် အိမ်ငှားများကို ကာကွယ်ပေးသည်။
legislative	ဥပဒေပြုရေး	ဥပဒေပြုရေး ကော်မတီသည် ယနေ့ အစည်းအဝေးပြုလုပ်ခဲ့သည်။
legislature	ဥပဒေပြုလွှတ်တော်	ဥပဒေပြုလွှတ်တော်သည် ဘတ်ဂျက်ကို အတည်ပြုခဲ့သည်။
legitimate	တရားဝင်	သူတို့သည် တရားဝင် စိုးရိမ်ပူပန်မှုများကို တင်ပြခဲ့ကြသည်။
lengthy	ရှည်လျားသော	ရှည်လျားသော အချေအတင် ဆွေးနွေးမှုကြောင့် မဲပေးခြင်းကို နှောင့်နှေးစေခဲ့သည်။
lesbian	လိင်တူချစ်သူ အမျိုးသမီး	လိင်တူချစ်သူ အမျိုးသမီး တက်ကြွလှုပ်ရှားသူက ဖိုရမ်တွင် စကားပြောခဲ့သည်။
lesser	ပိုနည်းသော	ပိုနည်းသော အန္တရာယ်ကို ရွေးချယ်ပါ။
lethal	သေစေနိုင်သော	ဓာတုဗေဒပစ္စည်းသည် သေစေနိုင်သည်။
liable	တာဝန်ရှိသော	ယာဉ်မောင်းများသည် ပျက်စီးဆုံးရှုံးမှုများအတွက် တာဝန်ရှိသည်။
liberal	လွတ်လပ်သော	သူသည် လွတ်လပ်သော လူမှုရေးမူဝါဒများကို ထောက်ခံသည်။
liberation	လွတ်မြောက်ရေး	လွတ်မြောက်ရေးသည် နိုင်ငံ၏ အနာဂတ်ကို ပြောင်းလဲစေခဲ့သည်။
liberty	လွတ်လပ်ခွင့်	ဥပဒေသည် ကိုယ်ပိုင် လွတ်လပ်ခွင့်ကို ကာကွယ်ပေးသည်။
license	လိုင်စင်ထုတ်ပေးသည်	ပြည်နယ်သည် ဆေးခန်းအသစ်များကို လိုင်စင်ထုတ်ပေးနိုင်သည်။
lifelong	တစ်သက်တာ	သူမသည် ထိုနေရာတွင် တစ်သက်တာ သူငယ်ချင်းများ ရခဲ့သည်။
likelihood	ဖြစ်နိုင်ခြေ	မိုးရွာရန် ဖြစ်နိုင်ခြေ တိုးလာသည်။
limb	ခြေလက်အင်္ဂါ	ဒဏ်ရာရနေသော ခြေလက်အင်္ဂါသည် တဖြည်းဖြည်း သက်သာလာသည်။
linear	မျဉ်းဖြောင့်	ဇယားသည် မျဉ်းဖြောင့် အလားအလာကို ပြသသည်။
line-up	အစီအစဉ်	ပွဲတော် အစီအစဉ်တွင် ဒေသခံ တီးဝိုင်းများ ပါဝင်သည်။
linger	စွဲကျန်နေသည်	အနံ့သည် နာရီပေါင်းများစွာ စွဲကျန်နေနိုင်သည်။
listing	စာရင်း	တိုက်ခန်းစာရင်းသည် တိကျပုံရသည်။
literacy	စာတတ်မြောက်မှု	လူကြီးစာတတ်မြောက်ရေး အစီအစဉ်များ တိုးချဲ့လာသည်။
liver	အသည်း	အသည်းသည် အန္တရာယ်ရှိသော အရာများကို စစ်ထုတ်ပေးသည်။
lobby	ဧည့်ခန်းမ	မွန်းလွဲပိုင်းတွင် ဧည့်ခန်းမ၌ လူစည်ကားနေသည်။
log	မှတ်တမ်း	စနစ်သည် နေ့စဉ်မှတ်တမ်းကို သိမ်းဆည်းထားသည်။
logic	ယုတ္တိဗေဒ	သူ၏ ငြင်းခုံမှုယုတ္တိသည် အရာမထင်ခဲ့ပေ။
long-standing	ကာလရှည်ကြာ	သူတို့သည် ကာလရှည်ကြာ အငြင်းပွားမှုကို ဖြေရှင်းခဲ့ကြသည်။
long-time	ကာလရှည်ကြာ	သူမသည် ကာလရှည်ကြာ စေတနာ့ဝန်ထမ်းဖြစ်သည်။
loom	အရေးပေါ်လာသည်	တောင်ကြားပေါ်တွင် မိုးတိမ်မည်းများ အုံ့ဆိုင်းလာသည်။
loop	ကွင်းဆက်	လမ်းကြောင်းသည် ကွင်းဆက်တစ်ခု ဖန်တီးထားသည်။
loyalty	သစ္စာရှိမှု	သူ၏သစ္စာရှိမှုက အဖွဲ့ကို သဘောကျစေခဲ့သည်။
machinery	စက်ယန္တရား	စက်ရုံသည် စက်ယန္တရားသစ်များကို တပ်ဆင်ခဲ့သည်။
magical	မှော်ဆန်သော	ညဘက်တွင် ဥယျာဉ်သည် မှော်ဆန်နေပုံရသည်။
magistrate	တရားသူကြီး	တရားသူကြီးက အမှုကို ကြားနာခဲ့သည်။
magnetic	သံလိုက်	သံလိုက်စက်ကွင်းသည် သံလိုက်အိမ်မြှောင်ကို သက်ရောက်မှုရှိစေခဲ့သည်။
magnitude	ပမာဏ	ပျက်စီးဆုံးရှုံးမှုပမာဏမှာ ထင်ရှားသည်။
mainland	ကုန်းတွင်းပိုင်း	ကူးတို့သင်္ဘောသည် ကျွန်းများကို ကုန်းတွင်းပိုင်းနှင့် ဆက်သွယ်ပေးသည်။
mainstream	ပင်မရေစီးကြောင်း	ထိုအကြံဉာဏ်သည် ပင်မနိုင်ငံရေးထဲသို့ ဝင်ရောက်လာခဲ့သည်။
maintenance	ပြုပြင်ထိန်းသိမ်းမှု	ပုံမှန်ပြုပြင်ထိန်းသိမ်းမှုက ချို့ယွင်းပျက်စီးမှုများကို ကာကွယ်ပေးသည်။
mandate	လုပ်ပိုင်ခွင့်	သမ္မတက ခိုင်မာသော လုပ်ပိုင်ခွင့်ကို တောင်းဆိုခဲ့သည်။
mandatory	မဖြစ်မနေ	သင်တန်းသားများအတွက် တက်ရောက်ရန် မဖြစ်မနေလိုအပ်သည်။
manifest	ထင်ရှားလာသည်	ရောဂါလက္ခဏာများသည် ရက်သတ္တပတ်များအကြာတွင် ထင်ရှားလာနိုင်သည်။
manipulate	ကြိုးကိုင်ခြယ်လှယ်သည်	စစ်တမ်းရလဒ်များကို မခြယ်လှယ်ပါနှင့်။
manipulation	ကြိုးကိုင်ခြယ်လှယ်မှု	ဒေတာခြယ်လှယ်မှုကို တွေ့ရှိခဲ့သည်။
manuscript	လက်ရေးစာမူ	ထုတ်ဝေသူသည် သူမ၏ လက်ရေးစာမူကို လက်ခံခဲ့သည်။
march	ချီတက်သည်	ဆန္ဒပြသူများသည် မြို့လယ်သို့ ချီတက်ကြမည်။
marginal	အနည်းငယ်သာ	ထိုအပြောင်းအလဲသည် အနည်းငယ်မျှသာ အကျိုးရှိခဲ့သည်။
marine	ပင်လယ်ရေကြောင်း	ပင်လယ်တွင်း သက်ရှိများသည် ရေသန့် လိုအပ်သည်။
marketplace	ဈေးကွက်	အွန်လိုင်းဈေးကွက်သည် လျင်မြန်စွာ ကျယ်ပြန့်လာခဲ့သည်။
mask	နှာခေါင်းစည်း	အလုပ်သမားများသည် နှာခေါင်းစည်း တပ်ဆင်ရမည်။
massacre	လူသတ်ပွဲ	လူသတ်ပွဲကြီးက တစ်ဒေသလုံးကို တုန်လှုပ်စေခဲ့သည်။
mathematical	သင်္ချာဆိုင်ရာ	သင်္ချာဆိုင်ရာ ပုံစံငယ်က ဝယ်လိုအားကို ခန့်မှန်းပေးခဲ့သည်။
mature	ရင့်ကျက်သော	ရင့်ကျက်သော သစ်ပင်များက အရိပ်အာဝါသ ပေးသည်။
maximize	အများဆုံးဖြစ်စေသည်	အပ်ဒိတ်သည် ဘက်ထရီသက်တမ်းကို အများဆုံးဖြစ်စေမည်။
meaningful	အဓိပ္ပာယ်ရှိသော	သူတို့တွင် အဓိပ္ပာယ်ရှိသော စကားပြောဆိုမှု ရှိခဲ့သည်။
meantime	ထိုအတောအတွင်း	ထိုအတောအတွင်း အပြင်ဘက်တွင် စောင့်ပါ။
medieval	အလယ်ခေတ်	ရဲတိုက်တွင် အလယ်ခေတ် တံတိုင်းများရှိသည်။
meditation	တရားထိုင်ခြင်း	နေ့စဉ် တရားထိုင်ခြင်းက သူမ၏စိတ်ကို ငြိမ်သက်စေသည်။
melody	တေးသွား	တေးသွားသည် ကျွန်တော့်ခေါင်းထဲတွင် စွဲနေခဲ့သည်။
memo	မှတ်စု	မှတ်စုက မူဝါဒကို ရှင်းပြခဲ့သည်။
memoir	အမှတ်တရစာအုပ်	သူမ၏ အမှတ်တရစာအုပ်သည် ကလေးဘဝ ပြည်နှင်ဒဏ်ခံရမှုကို ဖော်ပြသည်။
memorial	အထိမ်းအမှတ်	အထိမ်းအမှတ်ကျောက်တိုင်က ဒေသခံစစ်သားများကို ဂုဏ်ပြုသည်။
mentor	အကြံပေးပုဂ္ဂိုလ်	သူမ၏ အကြံပေးပုဂ္ဂိုလ်က အဆိုပြုချက်ကို ပြန်လည်သုံးသပ်ခဲ့သည်။
merchant	ကုန်သည်	ကုန်သည်က ပိုးထည်နှင့် ဟင်းခတ်အမွှေးအကြိုင်များ ရောင်းချခဲ့သည်။
mercy	ကရုဏာ	တရားသူကြီးက ကရုဏာထားခဲ့သည်။
mere	သက်သက်	တစ်ချက်ကြည့်ရုံနှင့် အမှားကို သိသာစေခဲ့သည်။
merely	သာလျှင်	သူမသည် ညွှန်ကြားချက်များကို ပြန်ပြောရုံသာ ဖြစ်သည်။
merge	ပေါင်းစပ်သည်	ကုမ္ပဏီနှစ်ခုသည် ပေါင်းစည်းကြမည်။
merger	ပေါင်းစည်းခြင်း	ပေါင်းစည်းခြင်းက ပိုကြီးသောဘဏ်တစ်ခုကို ဖန်တီးပေးခဲ့သည်။
merit	အရည်အချင်း	အဆိုပြုချက်တွင် ထင်ရှားသော အရည်အချင်းရှိသည်။
methodology	နည်းစနစ်	လေ့လာမှုက ၎င်း၏နည်းစနစ်ကို ရှင်းပြထားသည်။
midst	အလယ်	သူတို့သည် ဖရိုဖရဲဖြစ်မှုအလယ်တွင် အလုပ်လုပ်ခဲ့ကြသည်။
migration	ရွှေ့ပြောင်းနေထိုင်ခြင်း	ရာသီအလိုက် ရွှေ့ပြောင်းနေထိုင်မှုက ဒေသတွင်း အလုပ်အကိုင်များကို ထိခိုက်စေသည်။
militant	လက်နက်ကိုင်အဖွဲ့	လက်နက်ကိုင်အဖွဲ့က စေ့စပ်ညှိနှိုင်းမှုများကို ပယ်ချခဲ့သည်။
militia	ပြည်သူ့စစ်	ပြည်သူ့စစ်က လမ်းကို ထိန်းချုပ်ထားသည်။
mill	ကြိတ်စက်	ကြိတ်စက်ဟောင်းသည် ပြတိုက်တစ်ခု ဖြစ်လာခဲ့သည်။
minimal	အနည်းဆုံး	အစီအစဉ်အတွက် အားစိုက်ထုတ်မှု အနည်းဆုံး လိုအပ်သည်။
minimize	လျှော့ချသည်	မလိုအပ်သော အန္တရာယ်များကို ကျွန်ုပ်တို့ လျှော့ချရမည်။
mining	သတ္တုတူးဖော်ရေး	သတ္တုတူးဖော်ရေးက မြစ်ဝှမ်းကို ပျက်စီးစေခဲ့သည်။
ministry	ဝန်ကြီးဌာန	ဝန်ကြီးဌာနက စည်းမျဉ်းသစ်များကို ကြေညာခဲ့သည်။
minute2	အလွန်သေးငယ်သော	ဖန်ခွက်တွင် အလွန်သေးငယ်သော အက်ကြောင်းတစ်ခု ပေါ်လာသည်။
miracle	အံ့ဖွယ်အမှု	သူ၏ နာလန်ထူလာမှုသည် အံ့ဖွယ်အမှုတစ်ခုလိုပင် ဖြစ်သည်။
misery	ဆင်းရဲဒုက္ခ	ဒုက္ခသည်များသည် နှစ်ပေါင်းများစွာ ဆင်းရဲဒုက္ခကို ခံစားခဲ့ကြရသည်။
misleading	လမ်းလွဲစေသော	လမ်းလွဲစေသော ဇယားက စာဖတ်သူများကို ရှုပ်ထွေးစေခဲ့သည်။
missile	ဒုံးကျည်	ဒုံးကျည်စမ်းသပ်မှုက တင်းမာမှုများကို မြင့်တက်စေခဲ့သည်။
mob	လူစုလူဝေး	ဒေါသထွက်နေသော လူစုလူဝေးက ယာဉ်ကြောကို ပိတ်ဆို့ခဲ့သည်။
mobility	ရွေ့လျားနိုင်မှု	ပိုကောင်းသော ဘတ်စ်ကားများက မြို့ပြ ရွေ့လျားနိုင်မှုကို တိုးတက်စေသည်။
mobilize	စုစည်းလှုပ်ရှားသည်	ခေါင်းဆောင်များသည် စေတနာ့ဝန်ထမ်းများကို လျင်မြန်စွာ စုစည်းလှုပ်ရှားစေသည်။
moderate	အလယ်အလတ်ရှိသော	ကိုယ်စားလှယ်လောင်းသည် အလယ်အလတ်အမြင်များ ရှိသည်။
modification	ပြုပြင်မွမ်းမံမှု	ဒီဇိုင်းသည် ပြုပြင်မွမ်းမံမှုတစ်ခု လိုအပ်သည်။
momentum	အရှိန်အဟုန်	ကမ်ပိန်းသည် အရှိန်အဟုန် လျင်မြန်စွာ ရရှိခဲ့သည်။
monk	ဘုန်းကြီး	ဘုန်းကြီးသည် တိတ်ဆိတ်စွာ နေထိုင်ခဲ့သည်။
monopoly	လက်ဝါးကြီးအုပ်မှု	ကုမ္ပဏီက လက်ဝါးကြီးအုပ်ထားသည်။
morality	ကိုယ်ကျင့်တရား	သင်တန်းသည် အများပြည်သူဆိုင်ရာ ကိုယ်ကျင့်တရားကို လေ့လာသည်။
motive	ရည်ရွယ်ချက်	ရဲက သူ၏ရည်ရွယ်ချက်ကို မေးမြန်းခဲ့သည်။
motorist	မော်တော်ယာဉ်မောင်းသူ	မော်တော်ယာဉ်မောင်းသူက မီးနီများတွင် ရပ်ခဲ့သည်။
municipal	စည်ပင်သာယာ	ယခုနှစ်တွင် စည်ပင်သာယာရေး ဝန်ဆောင်မှုများ တိုးတက်လာခဲ့သည်။
mutual	အပြန်အလှန်	သူတို့သည် အပြန်အလှန် သဘောတူညီချက်တစ်ခု ရရှိခဲ့ကြသည်။
namely	အတိအကျဆိုရသော်	ပြဿနာတစ်ခု ကျန်ရှိနေသည်၊ အတိအကျဆိုရသော် ငွေကြေးဖြစ်သည်။
nationwide	နိုင်ငံတစ်ဝန်း	သပိတ်မှောက်မှုကြောင့် နိုင်ငံတစ်ဝန်း ကြန့်ကြာမှုများ ဖြစ်စေခဲ့သည်။
naval	ရေတပ်	ရေတပ်စခန်းကို ပြီးခဲ့သည့်နှစ်က ပိတ်လိုက်သည်။
neglect	လျစ်လျူရှုသည်	အခြေခံလုံခြုံရေးကို လျစ်လျူမရှုပါနှင့်။
neighbouring	အိမ်နီးချင်း	အိမ်နီးချင်းမြို့များသည် ဆေးရုံကို မျှဝေသုံးစွဲကြသည်။
nest	အသိုက်	ငှက်ကလေးသည် အသိုက်တစ်ခု တည်ဆောက်ခဲ့သည်။
net	အသားတင်	အသားတင်အမြတ်သည် သိသိသာသာ တက်လာသည်။
newsletter	သတင်းလွှာ	သတင်းလွှာသည် သောကြာနေ့တိုင်း ရောက်လာသည်။
niche	သီးသန့်နေရာ	ကုမ္ပဏီသည် အကျိုးအမြတ်ရနိုင်သော သီးသန့်နေရာတစ်ခုကို ရှာတွေ့ခဲ့သည်။
noble	မြင့်မြတ်သော	သူမ၏ မြင့်မြတ်သောအမူအရာက လူတိုင်းကို သဘောကျစေခဲ့သည်။
nod	ခေါင်းညိတ်သည်	နားလည်ပါက ကျေးဇူးပြု၍ ခေါင်းညိတ်ပြပါ။
nominate	အမည်စာရင်းတင်သွင်းသည်	သူတို့သည် ဥက္ကဋ္ဌသစ်တစ်ဦးကို အမည်စာရင်းတင်သွင်းမည်။
nomination	အမည်စာရင်းတင်သွင်းခြင်း	သူမ၏ အမည်စာရင်းတင်သွင်းခံရမှုက ကော်မတီကို အံ့အားသင့်စေခဲ့သည်။
nominee	အမည်စာရင်းတင်သွင်းခံရသူ	အမည်စာရင်းတင်သွင်းခံရသူက ခက်ခဲသောမေးခွန်းများကို ဖြေဆိုခဲ့သည်။
nonetheless	သို့သော်လည်း	သို့သော်လည်း အစီအစဉ်သည် ရှေ့ဆက်သွားခဲ့သည်။
non-profit	အကျိုးအမြတ်မယူသော	သူမသည် အကျိုးအမြတ်မယူသော ဆေးခန်းတစ်ခုတွင် အလုပ်လုပ်သည်။
nonsense	အဓိပ္ပာယ်မရှိသောစကား	ထိုကောလာဟလသည် လုံးဝ အဓိပ္ပာယ်မရှိပေ။
noon	မွန်းတည့်ချိန်	အစည်းအဝေးသည် မွန်းတည့်ချိန်တွင် စတင်မည်။
notable	မှတ်သားလောက်သော	အစီရင်ခံစာသည် မှတ်သားလောက်သော တိုးတက်မှုကို ရရှိခဲ့သည်။
