source_headword	SL	example_SL
sort	vrsta	Katero vrsto želiš?
source	vir	Najprej preveri vir.
speaker	govorec; zvočnik	Zvočnik je bil glasen.
specific	določen	Potrebujem določen odgovor.
speech	govor	Njen govor je bil kratek.
speed	hitrost	Tukaj zmanjšaj hitrost.
spider	pajek	Na steni je pajek.
spoon	žlica	Za juho uporabi žlico.
square	kvadraten	Nariši kvadratno škatlo.
stage	oder	Skupina je na odru.
stair	stopnica	Stopnica je zlomljena.
stamp	znamka	Na pismo nalepi znamko.
state	izjaviti	Jasno navedi svoje ime.
steal	ukrasti	Ne kradi denarja.
step	korak	Naredi en korak naprej.
stomach	želodec	Boli me želodec.
stone	kamen	Kamen je težak.
store	trgovina	Trgovina se zapre zgodaj.
storm	nevihta	Prihaja nevihta.
straight	naravnost	Pojdi naravnost domov.
strange	čuden	Ta zvok je čuden.
strategy	strategija	Potrebujemo strategijo.
stress	stres	Delo lahko povzroči stres.
structure	zgradba	Ta zgradba je trdna.
stupid	neumen	To je bila neumna napaka.
succeed	uspeti	Tukaj lahko uspeš.
successful	uspešen	Postala je uspešna.
such	tak	Takšna pomoč je koristna.
suddenly	nenadoma	Nenadoma je pes pobegnil.
suggest	predlagati	Predlagam kratek odmor.
suggestion	predlog	Tvoj predlog je koristen.
suit	obleka	Ta obleka je draga.
support	podpreti	Podpiramo našo ekipo.
suppose	predvidevati	Predvidevam, da imaš prav.
surprise	presenečenje	Presenečenje jo je razveselilo.
surprised	presenečen	Danes je bila presenečena.
surprising	presenetljiv	Rezultat je bil presenetljiv.
survey	anketa	Prosim, izpolni anketo.
sweet	sladek	Ta čaj je sladek.
symbol	simbol	Ta simbol pomeni nevarnost.
system	sistem	Sistem dobro deluje.
tablet	tablica	Moja tablica je na mizi.
target	tarča	Previdno zadeni tarčo.
task	naloga	Ta naloga je lahka.
taste	okus; poskusiti	Najprej poskusi juho.
teaching	poučevanje	Poučevanje je težko delo.
technology	tehnologija	Tehnologija se hitro spreminja.
teenage	najstniški	Moj najstniški brat se pridno uči.
temperature	temperatura	Temperatura je nizka.
term	rok; semester	Ta semester se kmalu konča.
themselves	oni sami	Sami so skuhali večerjo.
thick	debel	Ta knjiga je debela.
thief	tat	Tat je pobegnil.
thin	tanek	Papir je tanek.
thinking	razmišljanje	Razmišljanje zahteva čas.
thought	misel	Imel sem čudno misel.
throw	vreči	Nežno vrzi žogo.
tidy	urejen	Svojo sobo imej urejeno.
tie	zavezati	Zdaj si zaveži čevlje.
tip	nasvet; napitnina	Pusti napitnino za storitev.
tool	orodje	Uporabi pravo orodje.
top	vrh; zgornji del	Zgornja polica je polna.
touch	dotakniti se	Ne dotikaj se stekla.
tour	ogled	Šli smo na ogled mesta.
tourism	turizem	Turizem pomaga temu mestu.
towards	proti	Pojdi proti postaji.
towel	brisača	Vzemi čisto brisačo.
tower	stolp	Stolp je zelo star.
toy	igrača	Igrača avto je rdeča.
track	tir; sled	Tir vodi proti severu.
tradition	tradicija	Ta tradicija je stara.
traditional	tradicionalen	Nosila je tradicionalna oblačila.
trainer	trener	Moj trener je koristen.
training	trening	Trening se začne jutri.
transport	prevoz	Javni prevoz zamuja.
traveller	potnik	Potnik je prosil za pomoč.
trouble	težava	Včeraj smo imeli težavo.
truck	tovornjak	Tovornjak je zunaj.
twin	dvojček	Moja sestra dvojčica je višja.
typical	tipičen	To je tipičen dan.
underground	podzemen	Vlak gre pod zemljo.
understanding	razumevanje	Tvoje razumevanje je pravilno.
unfortunately	na žalost	Na žalost je trgovina zaprta.
unhappy	nesrečen	Videti je nesrečen.
uniform	uniforma	Nosi šolsko uniformo.
unit	enota	Ta enota je majhna.
united	združen	Ekipa je ostala združena.
unusual	nenavaden	Ta zvok je nenavaden.
used to modal	nekoč smo	Nekoč smo živeli tukaj.
user	uporabnik	Vsak uporabnik ima številko.
usual	običajen	Zasedel sem svoje običajno mesto.
valley	dolina	Dolina je zelena.
van	kombi	Kombi je poln.
variety	raznolikost	Potrebujemo več raznolikosti.
vehicle	vozilo	To vozilo je počasno.
view	razgled	Razgled je lep.
virus	virus	Virus ga je okužil.
voice	glas	Njen glas je tih.
war	vojna	Vojna se je končala pred leti.
washing	pranje	Perilo je zunaj.
wave	val	Val je udaril ladjo.
weak	šibek	Noge so mi šibke.
web	splet	Spletna stran je odprta.
wedding	poroka	Poroka se kmalu začne.
weight	teža	Najprej preveri težo.
wet	moker	Moji čevlji so mokri.
wheel	kolo	Kolo je zlomljeno.
while	nekaj časa	Čakaj tukaj nekaj časa.
whole	cel	Pojedel sem celo jabolko.
whose	čigav	Čigav je ta telefon?
wide	širok	Cesta je široka.
wild	divji	Tukaj živijo divje živali.
wind1	veter	Veter je močan.
winner	zmagovalec	Zmagovalec se je nasmehnil.
wish	želja	Zaželi si nekaj.
wood	les	Stol je iz lesa.
wooden	lesen	Lesena škatla je težka.
working	delovni	Delovni dan je končan.
worried	zaskrbljen	Danes sem zaskrbljen.
worry	skrbeti	Ne skrbi zdaj.
worse	slabši	Ta bolečina je slabša.
worst	najslabši	To je bil najslabši dan.
wow	vau	Vau, to je neverjetno!
yet	še; že	Ali smo že tam?
yours	tvoj; vaš	Ta knjiga je tvoja.
zero	nič	Štej nazaj do nič.
