source_headword	VI	example_VI
battlefield	chiến trường	Chiến trường cũ đã trở thành một đài tưởng niệm.
bay	vịnh	Ngôi làng nằm bên cạnh một vịnh yên tĩnh.
beam	dầm	Một dầm thép chống đỡ mái nhà.
beast	dã thú	Câu chuyện miêu tả một dã thú hung dữ.
behalf	thay mặt	Cô ấy đã phát biểu thay mặt cho nhóm của mình.
beloved	yêu quý	Người giáo viên yêu quý đã nghỉ hưu hôm nay.
bench	băng ghế	Họ ngồi trên một băng ghế gỗ.
benchmark	tiêu chuẩn	Bài kiểm tra đã trở thành một tiêu chuẩn của ngành.
beneath	bên dưới	Các tài liệu nằm bên dưới hồ sơ.
beneficiary	người thụ hưởng	Con trai bà ấy là người thụ hưởng chính.
betray	phản bội	Đừng phản bội lòng tin của bạn mình.
bind	ràng buộc	Thỏa thuận sẽ ràng buộc cả hai công ty.
biography	tiểu sử	Cuốn tiểu sử của ông ấy đã bán được nhiều bản.
bishop	giám mục	Vị giám mục đã đến thăm nhà thờ làng.
bizarre	kỳ quái	Bộ phim có một cái kết kỳ quái.
blade	lưỡi dao	Lưỡi dao đã cắt đứt sợi dây.
blast	vụ nổ	Vụ nổ đã làm vỡ các cửa sổ gần đó.
bleed	chảy máu	Vết cắt bắt đầu chảy máu nhiều.
blend	xay	Xay nước sốt cho đến khi mịn.
bless	ban phước	Vị linh mục sẽ ban phước cho ngôi nhà.
blessing	phước lành	Có được sự hỗ trợ là một phước lành.
boast	khoe khoang	Anh ta thích khoe khoang về tiền bạc.
bonus	tiền thưởng	Các nhân viên đã nhận được một khoản tiền thưởng ngày lễ.
boom	sự bùng nổ	Thành phố đã trải qua một sự bùng nổ xây dựng.
bounce	nảy	Quả bóng có thể nảy rất cao.
boundary	ranh giới	Con sông đánh dấu ranh giới.
bow1	cúi chào	Nam diễn viên đã cúi chào thật sâu.
breach	sự vi phạm	Sự vi phạm đã làm lộ dữ liệu cá nhân.
breakdown	bản phân tích	Báo cáo bao gồm một bản phân tích chi phí.
breakthrough	bước đột phá	Phát hiện này là một bước đột phá lớn.
breed	sinh sản	Những loài chim này sinh sản vào mùa xuân.
broadband	băng thông rộng	Văn phòng cần kết nối băng thông rộng nhanh hơn.
browser	trình duyệt	Hãy cập nhật trình duyệt của bạn trước khi đăng nhập.
brutal	tàn bạo	Cuộc tấn công diễn ra tàn bạo và bất ngờ.
buck	đô la	Vé có giá mười đô la.
buddy	bạn thân	Người bạn của anh ấy đã đợi ở ngoài.
buffer	vùng đệm	Những cái cây tạo thành một vùng đệm tiếng ồn.
bulk	số lượng lớn	Họ đã mua gạo với số lượng lớn.
burden	gánh nặng	Khoản nợ trở thành một gánh nặng lớn.
bureaucracy	quan liêu	Sự quan liêu đã làm chậm trễ giấy phép.
burial	việc chôn cất	Lễ tang diễn ra vào lúc bình minh.
burst	vỡ	Đường ống có thể bị vỡ dưới áp lực.
cabinet	nội các	Nội các đã phê duyệt kế hoạch.
calculation	sự tính toán	Việc tính toán mất vài phút.
canvas	tranh bạt	Họa sĩ đã vẽ trên một bức tranh bạt lớn.
capability	khả năng	Thiết bị có khả năng kết nối không dây.
capitalism	chủ nghĩa tư bản	Chủ nghĩa tư bản đã định hình nền kinh tế hiện đại.
capitalist	tư bản	Hệ thống tư bản thưởng cho đầu tư tư nhân.
cargo	hàng hóa	Con tàu chở hàng hóa y tế.
carriage	toa tàu	Toa tàu gần như trống rỗng.
carve	chạm khắc	Anh ấy sẽ chạm khắc gỗ một cách cẩn thận.
casino	sòng bạc	Sòng bạc được mở gần khách sạn.
casualty	thương vong	Vụ tai nạn đã gây ra một người thương vong.
catalogue	danh mục	Danh mục liệt kê mọi sản phẩm.
cater	phục vụ	Nhà hàng có thể phục vụ các sự kiện lớn.
cattle	gia súc	Đàn gia súc gặm cỏ gần sông.
caution	sự cẩn trọng	Hãy cẩn trọng trên những con đường đóng băng.
cautious	thận trọng	Các nhà đầu tư vẫn thận trọng trong tuần này.
cease	ngừng	Nhà máy sẽ sớm ngừng sản xuất.
cemetery	nghĩa trang	Nghĩa trang nhìn ra biển.
chamber	phòng	Căn phòng im lặng trong suốt quá trình bỏ phiếu.
chaos	sự hỗn loạn	Sự chậm trễ đã gây ra sự hỗn loạn tại sân bay.
characterize	mô tả	Các chuyên gia mô tả kế hoạch này là rủi ro.
charm	sức quyến rũ	Thị trấn mang một sức quyến rũ cổ kính.
charter	hiến chương	Hiến chương bảo vệ các quyền cơ bản.
chronic	mãn tính	Anh ấy bị đau lưng mãn tính.
chunk	khúc	Cắt phô mai thành một khúc.
circulate	lưu hành	Vui lòng lưu hành chương trình nghị sự vào hôm nay.
circulation	lượng phát hành	Lượng phát hành của tờ báo đã giảm mạnh.
citizenship	quyền công dân	Cô ấy đã nộp đơn xin quyền công dân Pháp.
civic	dân sự	Các nhà lãnh đạo dân sự đã tham dự cuộc họp.
civilian	dân thường	Nhiều ngôi nhà của dân thường đã bị hư hại.
clarity	sự rõ ràng	Biểu đồ đã mang lại sự rõ ràng cho báo cáo.
clash	cuộc đụng độ	Cuộc đụng độ bắt đầu sau cuộc tuần hành.
classification	sự phân loại	Sự phân loại phụ thuộc vào kích thước.
cling	bám dính	Quần áo ướt bám dính vào da.
clinical	lâm sàng	Thử nghiệm lâm sàng bắt đầu vào tháng tới.
closure	sự khép lại	Gia đình muốn có sự khép lại sau vụ án.
cluster	cụm	Một cụm nhà đứng gần đó.
coalition	liên minh	Liên minh đã mất đi thế đa số.
coastal	ven biển	Các ngôi làng ven biển đã chuẩn bị đối phó với lũ lụt.
cocktail	cocktail	Cô ấy đã gọi một ly cocktail trái cây.
cognitive	nhận thức	Kỹ năng nhận thức được cải thiện thông qua thực hành.
coincide	trùng hợp	Lễ hội sẽ diễn ra trùng hợp với lễ tốt nghiệp.
collaborate	cộng tác	Các nhóm cộng tác với nhau về phần mềm.
collaboration	sự cộng tác	Sự cộng tác của họ đã mang lại kết quả tốt đẹp.
collective	tập thể	Quyết định là một nỗ lực của tập thể.
collision	sự va chạm	Vụ va chạm đã phong tỏa đường cao tốc.
colonial	thuộc địa	Tòa nhà có kiến trúc thuộc địa.
columnist	người chuyên mục	Người chuyên mục đã chỉ trích chính sách này.
combat	cuộc chiến đấu	Các binh sĩ đã được huấn luyện cho chiến đấu.
commence	bắt đầu	Buổi lễ sẽ bắt đầu lúc giữa trưa.
commentary	bình luận	Lời bình luận trận đấu rất sôi động.
commentator	bình luận viên	Bình luận viên đã giải thích quyết định này.
commerce	thương mại	Thương mại trực tuyến đã phát triển nhanh chóng.
commissioner	ủy viên	Ủy viên đã công bố các quy định mới.
commodity	hàng hóa	Lúa mì là một loại hàng hóa quan trọng.
communist	cộng sản	Đảng cộng sản đã tổ chức một cuộc họp.
companion	người bạn đồng hành	Con chó của cô ấy là một người bạn đồng hành trung thành.
comparable	có thể so sánh	Hai thành phố này có kích thước tương đương nhau.
compassion	lòng thương cảm	Nữ y tá đã thể hiện lòng thương cảm lớn lao.
compel	bắt buộc	Bằng chứng có thể buộc phải có phản hồi.
compelling	thuyết phục	Bộ phim tài liệu đã đưa ra một lập luận thuyết phục.
compensate	bồi thường	Công ty sẽ bồi thường cho các khách hàng bị ảnh hưởng.
compensation	sự bồi thường	Các công nhân yêu cầu sự bồi thường thỏa đáng.
competence	năng lực	Bài kiểm tra đánh giá năng lực chuyên môn.
competent	có năng lực	Cô ấy là một kỹ sư có năng lực.
compile	biên soạn	Các nhà nghiên cứu biên soạn dữ liệu từ các bệnh viện.
complement	bổ sung	Rượu vang sẽ bổ sung cho bữa ăn.
complexity	sự phức tạp	Dự án có sự phức tạp ngoài dự kiến.
compliance	sự tuân thủ	Cuộc kiểm toán đã kiểm tra sự tuân thủ pháp luật.
complication	biến chứng	Ca phẫu thuật có một biến chứng.
comply	tuân thủ	Các công ty phải tuân thủ các quy định.
composition	bản nhạc	Bản nhạc bao gồm vĩ cầm và dương cầm.
compromise	sự thỏa hiệp	Sự thỏa hiệp đã làm hài lòng cả hai bên.
compute	tính toán	Chương trình có thể tính toán tổng số.
conceal	che giấu	Anh ta đã cố gắng che giấu thiệt hại.
concede	thừa nhận	Bộ trưởng từ chối thừa nhận thất bại.
conceive	nghĩ ra	Họ không thể nghĩ ra một kế hoạch tốt hơn.
conception	quan niệm	Bộ phim đã thay đổi quan niệm của tôi về lịch sử.
concession	sự nhượng bộ	Công ty đã đưa ra một sự nhượng bộ.
condemn	lên án	Các nhà lãnh đạo lên án công khai cuộc tấn công.
confer	mang lại	Giải thưởng sẽ mang lại uy tín.
confession	lời thú tội	Lời thú tội của anh ta đã làm tòa án ngạc nhiên.
configuration	cấu hình	Cấu hình kiểm soát việc truy cập mạng.
confine	hạn chế	Các quy định hạn chế chó trong khu vực này.
confirmation	sự xác nhận	Chúng tôi đã nhận được sự xác nhận qua email.
confront	đối mặt	Cô ấy quyết định đối mặt với vấn đề.
confrontation	sự đối đầu	Cuộc đối đầu đã kết thúc mà không có bạo lực.
congratulate	chúc mừng	Tôi đã gọi điện để chúc mừng em gái tôi.
congregation	giáo đoàn	Giáo đoàn đã cùng nhau ca hát.
congressional	thuộc quốc hội	Cuộc điều trần của quốc hội kéo dài hàng giờ.
conquer	chinh phục	Đội hy vọng sẽ chinh phục được thị trường.
conscience	lương tâm	Lương tâm của anh ấy sẽ không cho phép nói dối.
consciousness	ý thức	Vụ tai nạn đã ảnh hưởng đến ý thức của anh ta.
consecutive	liên tiếp	Cô ấy đã thắng ba trận liên tiếp.
consensus	sự đồng thuận	Ủy ban đã đạt được sự đồng thuận một cách nhanh chóng.
consent	sự đồng ý	Sự đồng ý bằng văn bản là bắt buộc.
conserve	tiết kiệm	Chúng tôi tiết kiệm nước trong thời gian hạn hán.
consistency	sự nhất quán	Sự nhất quán là rất quan trọng trong việc học ngôn ngữ.
consolidate	hợp nhất	Công ty sẽ hợp nhất hai văn phòng.
constituency	khu vực bầu cử	Ứng cử viên đã đến thăm mọi khu vực bầu cử.
constitute	chiếm	Phụ nữ chiếm một nửa ủy ban.
constitution	hiến pháp	Hiến pháp đảm bảo quyền tự do ngôn luận.
constitutional	thuộc hiến pháp	Tòa án đã xem xét các quyền hiến định.
constraint	sự hạn chế	Sự hạn chế về ngân sách đã giới hạn dự án.
consultation	sự tham vấn	Cuộc tham vấn kéo dài hai tuần.
contemplate	suy ngẫm	Cô ấy đã dừng lại để suy ngẫm về lời đề nghị.
contempt	sự khinh miệt	Anh ta đã thể hiện sự khinh miệt đối với các quy tắc.
contend	cạnh tranh	Một số công ty cạnh tranh cho hợp đồng này.
contender	đối thủ cạnh tranh	Cô ấy là một đối thủ cạnh tranh mạnh mẽ.
content2	hài lòng	Anh ấy cảm thấy hài lòng với kết quả.
contention	sự tranh chấp	Sự tranh chấp chính liên quan đến việc tài trợ.
continually	liên tục	Hệ thống liên tục kiểm tra lỗi.
contractor	nhà thầu	Nhà thầu đã sửa lại mái nhà.
contradiction	sự mâu thuẫn	Tuyên bố của anh ấy có chứa sự mâu thuẫn.
contrary	trái ngược	Bằng chứng trái ngược đã thay đổi vụ án.
contributor	người đóng góp	Cô ấy là một người đóng góp thường xuyên.
conversion	sự chuyển đổi	Sự chuyển đổi đã đổi đô la thành euro.
convict	kết án	Bồi thẩm đoàn có thể kết án nghi phạm.
conviction	sự kết án	Sự kết án của anh ta đã gây sốc cho công chúng.
cooperate	hợp tác	Vui lòng hợp tác với cuộc điều tra.
cooperative	hợp tác	Các nhân viên rất hợp tác và điềm tĩnh.
coordinate	điều phối	Họ điều phối việc giao hàng mỗi sáng.
coordination	sự điều phối	Sự điều phối tốt đã tiết kiệm thời gian.
coordinator	điều phối viên	Điều phối viên đã giao phó từng nhiệm vụ.
cop	cảnh sát	Một cảnh sát đứng bên ngoài nhà ga.
copper	đồng	Ống được làm bằng đồng.
copyright	bản quyền	Hình ảnh được bảo vệ bởi bản quyền.
correction	sự sửa lỗi	Giáo viên đã thực hiện một sự sửa lỗi.
correlate	có tương quan	Căng thẳng cao độ có thể có tương quan với bệnh tật.
correlation	sự tương quan	Nghiên cứu đã tìm thấy một sự tương quan mạnh mẽ.
correspond	tương ứng	Những con số này tương ứng với các nhãn.
correspondence	sự liên lạc	Sự liên lạc qua thư từ của họ kéo dài trong nhiều năm.
correspondent	phóng viên	Phóng viên đã báo cáo từ Cairo.
corresponding	tương ứng	Mỗi nút bấm có một đèn tương ứng.
corrupt	tham nhũng	Quan chức tham nhũng đã nhận tiền.
corruption	tham nhũng	Tham nhũng đã làm suy yếu lòng tin của công chúng.
costly	tốn kém	Lỗi lầm đó rất tốn kém cho đội bóng.
councillor	ủy viên hội đồng	Ủy viên hội đồng đã trả lời các câu hỏi của cư dân.
counselling	tư vấn	Cô ấy đã được tư vấn sau tai nạn.
counsellor	cố vấn	Người cố vấn đã giúp đỡ các sinh viên mới.
counter (argue against)	phản bác	Cô ấy đã cố gắng phản bác lại lập luận của anh ta.
counterpart	người đồng cấp	Anh ấy đã gặp người đồng cấp Nhật Bản của mình.
countless	vô số	Vô số tình nguyện viên đã tham gia cuộc tìm kiếm.
coup	cuộc đảo chính	Cuộc đảo chính đã loại bỏ tổng thống.
courtesy	sự lịch sự	Cô ấy cảm ơn họ vì sự lịch sự của họ.
