source_headword	HR	example_HR
astonishing	zapanjujući	Pogled s litice bio je zapanjujući.
attachment	privitak	E-pošta uključuje privitak.
auction	dražba	Slika je prodana na aukciji.
audio	zvučan	Audio snimka zvuči jasno.
automatic	automatski	Vrata imaju automatsku bravu.
automatically	automatski	Svjetla se automatski pale.
awareness	svijest	Kampanja je podigla javnu svijest.
awkward	nespretan	Tišina je bila neugodna.
badge	značka	Posjetitelji moraju nositi bedž.
balanced	uravnotežen	Uravnotežena prehrana uključuje povrće.
ballet	balet	Ona uči balet poslije škole.
balloon	balon	Balon je lebdio iznad stola.
barely	jedva	Jedva je čuo obavijest.
bargain	povoljna kupnja	Ta je jakna bila stvarno povoljna kupnja.
basement	podrum	Kutije su u podrumu.
basket	košara	Stavila je jabuke u košaru.
bat	šišmiš	Šišmiš je izletio iz špilje.
beneficial	koristan	Redovita tjelovježba korisna je za zdravlje.
beside	pored	Svjetiljka stoji pored kauča.
besides	osim toga	Osim matematike, on uči kemiju.
bias	pristranost	Članak je pokazao jasnu pristranost.
bid	ponuda	Tvrtka je dala višu ponudu.
biological	biološki	Biološki test je potvrdio rezultat.
blanket	deka	Dijete je spavalo ispod deke.
blow	udarac	Snažan udarac razbio je prozor.
bold	hrabar	Naslov je koristio podebljana slova.
bombing	bombardiranje	Bombardiranje je oštetilo nekoliko zgrada.
booking	rezervacija	Potvrdio sam rezervaciju hotela.
boost	poticaj	Pobjeda je potaknula samopouzdanje tima.
bound	obvezan	Paket je bio vezan koncem.
brick	cigla	Zid je napravljen od cigle.
briefly	kratko	Govorila je nakratko nakon ručka.
broadcaster	emiter	Emiter je intervjuirao gradonačelnika.
broadly	široko	Dva su plana općenito slična.
bug	kukac	Aplikacija se srušila zbog greške.
cabin	kabina	Boravili smo u maloj kolibi.
canal	kanal	Brodovi su se polako kretali duž kanala.
candle	svijeća	Svijeća je gorjela na stolu.
carbon	ugljik	Drveće apsorbira ugljik iz zraka.
casual	ležeran	Nosio je opuštenu odjeću na posao.
cave	špilja	Planinari su ušli u špilju.
certainty	sigurnost	Ne možemo znati sa sigurnošću.
certificate	certifikat	Dobila je certifikat o obuci.
challenging	izazovan	Tečaj je bio izazovan, ali koristan.
championship	prvenstvo	Naš tim je stigao do finala prvenstva.
charming	šarmantan	Stara ulica izgledala je šarmantno.
chase	potjera	Pas je lovio loptu.
cheek	obraz	Suza joj je potekla niz obraz.
cheer	navijanje	Gomila je počela glasno navijati.
choir	zbor	Zbor je prekrasno pjevao.
chop	sjeckati	Nasjeckajte luk na male komade.
circuit	strujni krug	Trkač je završio stazu.
civilization	civilizacija	Drevna civilizacija oblikovala je ovu regiju.
clarify	razjasniti	Molimo pojasnite posljednju točku.
classify	klasificirati	Znanstvenici klasificiraju životinje po vrstama.
clerk	službenik	Službenik je isprintao račun.
cliff	litica	Staza završava blizu litice.
clinic	klinika	Klinika se otvara u osam.
clip	isječak	Pričvrstila je spajalicu za papir.
coincidence	slučajnost	Susret s njim tamo bio je slučajnost.
collector	sakupljač	Kolekcionar je kupio rijetke kovanice.
colony	kolonija	Mravi su izgradili veliku koloniju.
colourful	šaren	Tržnica je bila svijetla i šarena.
comic	strip	Komična scena nas je nasmijala.
commander	zapovjednik	Zapovjednik je dao jasne naredbe.
comparative	komparativan	Esej koristi komparativne podatke.
completion	završetak	Most je blizu završetka.
compose	sastaviti	On će skladati glazbu za film.
composer	skladatelj	Skladatelj je napisao novu pjesmu.
compound	spoj	Spoj sadrži dvije kemikalije.
comprehensive	sveobuhvatan	Vodič daje sveobuhvatne upute.
comprise	obuhvaćati	Tim se sastoji od pet članova.
compulsory	obvezan	Prisustvo je obvezno za ovaj sat.
concrete	beton	Pod je napravljen od betona.
confess	priznati	Priznao je pogrešku svom učitelju.
confusion	zbunjenost	Kašnjenje je izazvalo zbrku.
consequently	posljedično	Padala je kiša; stoga je utakmica zaustavljena.
conservation	očuvanje	Očuvanje štiti rijetke životinje.
considerable	znatan	Popravak je zahtijevao znatno vrijeme.
considerably	znatno	Cijene su znatno porasle ove godine.
consistently	dosljedno	Ona dosljedno postiže dobre rezultate.
conspiracy	zavjera	Policija je istražila zavjeru.
consult	savjetovati se	Posavjetujte se sa svojim liječnikom prije uzimanja lijeka.
consultant	savjetnik	Konzultant je predložio novu strategiju.
consumption	potrošnja	Potrošnja energije pala je prošli mjesec.
controversial	kontroverzan	Politika ostaje kontroverzna.
controversy	kontroverza	Odluka je izazvala kontroverzu.
convenience	praktičnost	Trgovina nudi veliku pogodnost.
convention	konvencija	Godišnja konvencija počinje u ponedjeljak.
conventional	konvencionalan	Odabrao je konvencionalan dizajn.
convey	prenijeti	Poruka je prenijela suosjećanje.
convincing	uvjerljiv	Njeno objašnjenje bilo je uvjerljivo.
cope	nositi se	Naučila se nositi sa stresom.
corporation	korporacija	Korporacija je otvorila novi ured.
corridor	hodnik	Hodnik je bio uzak i tih.
counter (long flat surface)	pult	Ključevi su na kuhinjskom pultu.
coverage	pokrivenost	Informativno izvještavanje trajalo je cijelu večer.
crack	pukotina	Pukotina se pojavila na zidu.
craft	zanat	Ona prodaje ručne radove putem interneta.
creativity	kreativnost	Kreativnost pomaže u rješavanju problema.
critically	kritički	Članak je bio iznimno važan.
cruise	krstarenje	Rezervirali su krstarenje u Grčku.
cue	znak	Glumac je propustio svoj znak.
curious	znatiželjan	Dijete je bilo znatiželjno u vezi svemira.
curriculum	nastavni plan	Škola je ažurirala svoj nastavni plan.
cute	sladak	Štene je izgledalo slatko.
dairy	mljekara	Farma proizvodi mliječne proizvode.
dare	usuditi se	Izazivam te da to pokušaš.
darkness	tama	Soba se ispunila tamom.
database	baza podataka	Baza podataka pohranjuje zapise kupaca.
deadline	rok	Rok je petak.
deadly	smrtonosan	Zmija ima smrtonosan otrov.
dealer	trgovac	Trgovac automobilima ponudio je popust.
deck	paluba	Stolice su na terasi.
defender	branič	Branič je blokirao udarac.
delete	izbrisati	Izbrišite staru poruku.
democracy	demokracija	Demokracija ovisi o slobodnim izborima.
democratic	demokratski	Glasanje je slijedilo demokratska pravila.
demonstration	demonstracija	Studenti su se pridružili prosvjedu.
depart	otići	Vlak će krenuti u podne.
dependent	ovisan	Dijete je ovisno o odraslima.
deposit	depozit	Ona je platila polog za stan.
depression	depresija	Depresija zahtijeva stručnu podršku.
derive	izvesti	Mnoge riječi proizlaze iz latinskog.
desperately	očajnički	Očajnički mu je trebala voda.
destruction	uništenje	Oluja je uzrokovala veliko uništenje.
determination	odlučnost	Njena odlučnost impresionirala je trenera.
devote	posvetiti	Ona posvećuje vikende učenju.
differ	razlikovati se	Njihova se mišljenja oštro razlikuju.
disability	invaliditet	Zgrada ima pristup za osobe s invaliditetom.
disabled	onemogućen	Sportaš s invaliditetom osvojio je medalju.
disagreement	neslaganje	Sastanak je završio neslaganjem.
disappoint	razočarati	Rezultat bi mogao razočarati navijače.
disappointment	razočaranje	Osjećao je duboko razočaranje.
discourage	obeshrabriti	Nemojte obeshrabriti mlade učenike.
disorder	poremećaj	Liječnik je dijagnosticirao poremećaj spavanja.
distant	dalek	Planine su izgledale udaljeno.
distinct	različit	Dva su zvuka različita.
distinguish	razlikovati	Možete li razlikovati ove boje?
distract	omesti	Buka može ometati učenike.
disturb	ometati	Molim vas, nemojte uznemiravati pacijenta.
dive	roniti	Oni će roniti blizu grebena.
diverse	raznolik	Grad ima raznolike kulture.
diversity	raznolikost	Slavimo kulturnu raznolikost.
divorce	razvod	Razvod je bio težak za sve.
dominant	dominantan	Dominantni tim je kontrolirao utakmicu.
donation	donacija	Dobrotvorna udruga primila je donaciju.
dot	točka	Stavite točku nakon broja.
downtown	centar grada	Sreli smo se u centru grada nakon posla.
dramatically	dramatično	Cijena je dramatično pala.
drought	suša	Suša je oštetila usjeve.
dull	dosadan	Predavanje je bilo dosadno.
dump	baciti	Nemojte ovdje bacati smeće.
duration	trajanje	Trajanje leta je tri sata.
dynamic	dinamičan	Učionica se činila dinamičnom.
economics	ekonomija	Ona studira ekonomiju na sveučilištu.
economist	ekonomist	Ekonomist je predvidio sporiji rast.
editorial	urednički	Uvodnik je kritizirao zakon.
efficiently	učinkovito	Tim je radio učinkovito.
elbow	lakat	On je ozlijedio lakat.
electronics	elektronika	Trgovina prodaje elektroniku.
elegant	elegantan	Haljina je izgledala elegantno.
elementary	osnovni	Knjiga objašnjava osnovnu gramatiku.
eliminate	ukloniti	Tim je eliminirao nekoliko grešaka.
embrace	prihvatiti	Ona je prihvatila novu ideju.
emission	emisija	Razine emisije automobila su pale.
emotionally	emotivno	Govorio je emotivno o svojoj obitelji.
empire	carstvo	Carstvo je trajalo stoljećima.
enjoyable	ugodan	Putovanje je bilo ugodno.
entertaining	zabavan	Predstava je bila zabavna.
entrepreneur	poduzetnik	Poduzetnik je otvorio kafić.
envelope	omotnica	Stavi pismo u omotnicu.
equip	opremiti	Škola će opremiti laboratorij.
equivalent	ekvivalent	Jedan dolar ovdje nije ekvivalent.
era	doba	Otkriće je započelo novo doba.
erupt	eruptirati	Vulkan bi mogao uskoro eruptirati.
essentially	u biti	Dvije metode su u suštini identične.
ethic	etika	Njegova radna etika je jaka.
ethnic	etnički	Festival slavi etničke tradicije.
evaluation	procjena	Tečaj uključuje završnu evaluaciju.
evident	očit	Njegova nervoza je bila očita.
evolution	evolucija	Evolucija objašnjava mnoge biološke promjene.
evolve	razvijati se	Jezici se razvijaju s vremenom.
exceed	premašiti	Potražnja može premašiti ponudu.
exception	iznimka	Postoji jedna iznimka.
excessive	pretjeran	Prekomjerna buka smeta susjedima.
exclude	isključiti	Popis isključuje privremene radnike.
exhibit	izložak	Muzej će izložiti rijetke fotografije.
exit	izlaz	Izlaz je iza pozornice.
exotic	egzotičan	Trgovina prodaje egzotično voće.
expansion	širenje	Tvrtka je planirala širenje.
expertise	stručnost	Njezina stručnost je poboljšala projekt.
exploit	iskoristiti	Kriminalci iskorištavaju slabe lozinke.
exposure	izloženost	Izloženost suncu može oštetiti kožu.
extension	proširenje	Produženje roka svima je pomoglo.
extensive	opsežan	Knjižnica ima opsežne resurse.
extensively	opširno	Tema se opsežno proučavala.
extract	izvadak	Ekstrakt vanilije daje okus.
fabric	tkanina	Tkanina je mekana na dodir.
fabulous	nevjerojatan	Obrok je bio fantastičan.
failed	neuspješan	Neuspješan pokušaj nas je nečemu naučio.
fake	lažan	Web stranica je prodavala lažne ulaznice.
fame	slava	Slava je promijenila njegov privatni život.
fantasy	fantazija	Roman je fantazija.
fare	cijena karte	Cijena autobusne karte se povećala.
federal	savezni	Savezna vlada najavila je financiranje.
fever	groznica	Dijete ima groznicu.
firefighter	vatrogasac	Vatrogasac je spasio psa.
firework	vatromet	Vatromet je eksplodirao iznad parka.
firm	čvrst	Madrac je tvrd.
firmly	čvrsto	Čvrsto je zatvorila vrata.
flavour	okus	Juha ima bogat okus.
fond	drag	On je ljubitelj jazza.
fool	budala	Nemoj se ponašati kao budala.
forbid	zabraniti	Zakon zabranjuje pušenje ovdje.
forecast	prognoza	Prognoza predviđa kišu.
format	format	Koristite ispravan format datoteke.
formation	formacija	Formacija oblaka se brzo mijenja.
formerly	nekada	Zgrada je nekada bila škola.
fortunate	sretan	Bili smo sretni što smo stigli rano.
forum	forum	Forum je raspravljao o klimatskoj politici.
fossil	fosil	Fosil je pronađen u kamenu.
foundation	temelj	Kuća ima snažan temelj.
founder	osnivač	Osnivač je pozdravio goste.
fraction	dio	Došao je samo djelić studenata.
fragment	fragment	Fragment stakla ležao je na podu.
framework	okvir	Zakon stvara jasan okvir.
fraud	prijevara	Banka je otkrila prijevaru.
freely	slobodno	Djeca su se slobodno igrala vani.
frequent	čest	Česte pauze poboljšavaju fokus.
fulfil	ispuniti	Nadam se da ću ispuniti svoje obećanje.
full-time	puno radno vrijeme	Ona ima posao na puno radno vrijeme.
fundamentally	u osnovi	Plan je u osnovi drugačiji.
furious	bijesan	Bio je bijesan zbog kašnjenja.
gaming	igranje videoigara	Igranje može poboljšati brzinu reakcije.
gay	homoseksualan	On podržava gay prava.
gender	spol	Anketa je pitala za spol.
gene	gen	Gen utječe na boju očiju.
genetic	genetski	Bolest ima genetske uzroke.
genius	genije	Mladi pijanist je genije.
genuine	pravi	Njezin se osmijeh činio iskrenim.
genuinely	iskreno	Iskreno je želio pomoći.
gesture	gesta	Napravila je prijateljsku gestu.
gig	svirka	Bend je odradio svirku u centru.
globalization	globalizacija	Globalizacija utječe na lokalne tvrtke.
globe	globus	Globus prikazuje svaki kontinent.
golden	zlatan	Zalazak sunca postao je zlatan.
goodness	dobrota	Ona vjeruje u ljudsku dobrotu.
gorgeous	predivan	Vrt je izgledao predivno.
governor	guverner	Guverner je potpisao zakon.
graphic	grafički	Grafička slika šokirala je gledatelje.
graphics	grafika	Igra ima jednostavnu grafiku.
greatly	znatno	Vaš je savjet uvelike pomogao.
greenhouse	staklenik	Rajčice rastu unutar staklenika.
grocery	namirnica	Kupila je namirnice nakon posla.
guideline	smjernica	Smjernica objašnjava sigurnu praksu.
habitat	stanište	Šuma je stanište ptica.
harbour	luka	Brod je ušao u luku.
headquarters	sjedište	Sjedište tvrtke preselilo se u centar.
