source_headword	IS	example_IS
ashamed	skömmustulegur	Hann var skömmustulegur vegna orða sinna.
aspect	þáttur	Þessi þáttur þarf meiri athygli.
assess	meta	Kennarinn mat vinnuna okkar.
assessment	mat	Matið var tilbúið eftir prófið.
associate	tengja	Margir tengja þessa lykt við sumar.
associated	tengdur	Þessar áhættur eru tengdar verkefninu.
association	samtök	Samtökin héldu opna umræðu.
assume	gera ráð fyrir	Ég geri ráð fyrir að hann komi.
attempt	tilraun	Fyrsta tilraunin mistókst.
bacteria	bakteríur	Bakteríur dreifast í volgu vatni.
barrier	hindrun	Tungumálið var mikil hindrun.
basically	í grundvallaratriðum	Í grundvallaratriðum var áætlunin einföld.
bear (deal with)	þola	Ég þoli ekki þennan hávaða.
beg	biðja	Hún bað einlæglega um hjálp.
being	vera	Þessi vera hreyfði sig hægt.
bent	boginn	Boginn vírinn brotnaði auðveldlega.
bet	veðmál	Hann vann lítið veðmál.
beyond	handan	Stígurinn hélt áfram handan hússins.
bitter	beiskur	Kaffið var of beiskt.
blame	kenna um	Ekki kenna honum um allt.
blind	blindur	Blindi maðurinn þekkti dyrnar.
bond	tengsl	Sterk tengsl urðu til með árunum.
breast	brjóst	Læknirinn skoðaði brjóstið vandlega.
brief	stuttur	Fundurinn var stuttur.
broad	breiður	Gatan var breið og hljóðlát.
broadcast	senda út	Stöðin sendi leikinn út.
budget	fjárhagsáætlun	Fjárhagsáætlunin var lítil í ár.
bullet	kúla	Kúlan lenti á málmplötunni.
bunch	búnt	Á borðinu var búnt af blómum.
bush	runna	Runninn óx undir glugganum.
cable	kapall	Kapallinn fór á bak við borðið.
calculate	reikna	Forritið reiknar summuna sjálft.
cancel	aflýsa	Þau aflýstu fluginu um morguninn.
cancer	krabbamein	Krabbamein þarf snemma meðferð.
capable	fær	Hún er fær um að gera þetta.
capacity	rými	Rými salarins er takmarkað.
capture	fanga	Myndavélin fangaði augnablikið.
cast	leikarahópur	Leikarahópur myndarinnar var þekktur.
cell	fruma	Hver fruma geymir upplýsingar.
chairman	formaður	Formaðurinn opnaði fundinn.
characteristic	einkenni	Þetta einkenni greinir tegundina frá.
chief	aðal-	Aðalástæðan var veðrið.
circumstance	aðstæða	Þessi aðstæða breytti ákvörðuninni.
cite	vísa í	Greinin vísaði í gamla rannsókn.
citizen	borgari	Hver borgari mátti kjósa.
civil	borgaralegur	Borgaraleg lög gilda hér.
classic	klassískur	Þetta er klassískt dæmi.
closely	náið	Þau fylgdust náið með stöðunni.
collapse	hrinja	Gamli veggurinn hrundi.
combination	samsetning	Þessi samsetning virkaði vel.
comfort	þægindi	Stóllinn veitti meiri þægindi.
command	skipun	Tölvan þekkti ekki skipunina.
commission	nefnd	Nefndin rannsakaði málið.
commitment	skuldbinding	Vinnan krafðist mikillar skuldbindingar.
committee	nefnd	Nefndin greiddi atkvæði um tillöguna.
commonly	algengt	Þetta orð er algengt í skóla.
complicated	flókinn	Leiðbeiningarnar voru of flóknar.
component	hluti	Einn hluti þurfti að skipta út.
concentration	einbeiting	Einbeitingin hvarf vegna hávaða.
concept	hugtak	Þetta hugtak þarf skýringu.
concern	áhyggja	Helsta áhyggja hans var öryggi.
concerned	áhyggjufullur	Foreldrarnir voru áhyggjufullir vegna barnanna.
conduct	framkvæma	Teymið framkvæmdi rannsóknina.
confidence	sjálfstraust	Sjálfstraustið jókst eftir sigurinn.
conflict	átök	Átökin hófust með litlu rifrildi.
confusing	ruglingslegur	Leiðbeiningarnar voru ruglingslegar.
conscious	meðvitaður	Hún var meðvituð um áhættuna.
conservative	íhaldssamur	Þetta var íhaldssamt mat.
consideration	íhugun	Þessi íhugun hafði áhrif á ákvörðunina.
consistent	samkvæmur	Vinnan hans var samkvæm.
constant	stöðugur	Stöðugur hávaði þreytti alla.
constantly	stöðugt	Síminn hringdi stöðugt.
construct	byggja	Þau byggðu bráðabirgðabrú.
construction	bygging	Byggingin tók tvo mánuði.
contemporary	samtímalegur	Safnið sýndi samtímalega list.
contest	keppni	Keppnin hófst um hádegi.
contract	samningur	Samningurinn var undirritaður í dag.
contribute	leggja af mörkum	Allir þurftu að leggja sitt af mörkum.
contribution	framlag	Framlag hennar var mikilvægt.
convert	umbreyta	Forritið umbreytir skránni hratt.
convinced	sannfærður	Ég er alveg sannfærður um þetta.
core	kjarni	Kjarnateymið var óbreytt.
corporate	fyrirtækja-	Fyrirtækjareglurnar eru strangar.
council	ráð	Ráðið kom saman um kvöldið.
county	sýsla	Sýslan opnaði nýjan veg.
courage	hugrekki	Hún hafði hugrekki til að tala.
crash	árekstur	Áreksturinn stöðvaði umferðina.
creation	sköpun	Sköpun nýja kerfisins tók tíma.
creature	skepna	Litla skepnan hvarf inn í skóginn.
crew	áhöfn	Áhöfnin undirbjó skipið.
crisis	kreppa	Kreppan stóð í heila viku.
criterion	viðmið	Aðalviðmiðið var skýrleiki.
critic	gagnrýnandi	Gagnrýnandinn hrósaði sýningunni.
critical	mikilvægur	Þetta var mikilvægt augnablik.
criticism	gagnrýni	Gagnrýnin var nokkuð hörð.
criticize	gagnrýna	Þau gagnrýndu ákvörðunina opinberlega.
crop	uppskera	Uppskeran var góð í ár.
crucial	afgerandi	Tíminn var afgerandi þáttur.
cure	lækning	Læknar leituðu að nýrri lækningu.
curve	beygja	Vegurinn tók skarpa beygju.
curved	boginn	Bogið glerið endurkastaði ljósinu.
debate	umræða	Umræðan stóð lengi.
debt	skuld	Skuldin var loks greidd.
decent	sæmilegur	Herbergið var sæmilegt og hreint.
declare	lýsa yfir	Borgin lýsti yfir neyðarástandi.
decline	samdráttur	Salan sýndi skýran samdrátt.
decoration	skraut	Skrautið hékk yfir dyrunum.
decrease	minnka	Kostnaðurinn minnkaði um vorið.
deeply	djúpt	Hann dró djúpt andann.
defeat	ósigur	Ósigurinn var liðinu erfiður.
defence	vörn	Vörnin lagði fram nýtt sönnunargagn.
defend	verja	Hún reyndi að verja ákvörðun sína.
delay	seinkun	Seinkunin stóð í klukkutíma.
deliberate	viljandi	Þetta var viljandi val.
deliberately	viljandi	Hann sleppti þessu viljandi.
delight	gleði	Fréttin vakti gleði hjá öllum.
delighted	ánægður	Hún var ánægð með niðurstöðuna.
delivery	afhending	Afhendingin seinkaði aðeins.
demand	eftirspurn	Eftirspurnin jókst hratt.
demonstrate	sýna	Tilraunin sýndi áhrifin skýrt.
deny	neita	Hann neitaði ásökuninni.
depressed	þunglyndur	Henni leið þunglynd.
depressing	niðurdrepandi	Veðrið var mjög niðurdrepandi.
depth	dýpt	Dýpt vatnsins kom okkur á óvart.
deserve	eiga skilið	Þau eiga hrós skilið.
desire	löngun	Sterk löngun knúði hann áfram.
desperate	örvæntingarfullur	Þau voru örvæntingarfull eftir hjálp.
detailed	ítarlegur	Skýrslan var mjög ítarleg.
detect	greina	Skynjarinn greindi hreyfingu.
dig	grafa	Börnin grófu holu í sandinn.
disc	diskur	Gamli diskurinn opnaðist ekki.
discipline	agi	Íþróttin krefst aga.
dishonest	óheiðarlegur	Óheiðarlegt svar eyðilagði traustið.
dismiss	reka	Stjórinn rak starfsmanninn.
display	birta	Skjárinn birti ný skilaboð.
distribute	dreifa	Þau dreifðu blöðunum í bekknum.
distribution	dreifing	Dreifingin var ójöfn.
district	hverfi	Þetta hverfi hefur vaxið hratt.
division	deild	Fyrirtækið stofnaði nýja deild.
domestic	innlendur	Innlendi markaðurinn var sterkur.
dominate	ráða yfir	Eitt lið réði yfir leiknum.
downwards	niður á við	Verðið fór niður á við.
dozen	tugur	Á borðinu var tugur eggja.
draft	drög	Hún sendi mér drögin.
drag	draga	Dragðu táknið yfir á skjáinn.
dramatic	dramatískur	Breytingin var dramatísk.
edit	ritstýra	Ég þarf að ritstýra textanum.
edition	útgáfa	Ný útgáfa kom út í dag.
efficient	skilvirkur	Kerfið er nú skilvirkara.
elderly	aldraður	Öldruð kona sat í garðinum.
elect	kjósa	Þau kusu nýjan leiðtoga.
elsewhere	annars staðar	Leitaðu að svarinu annars staðar.
emerge	koma fram	Nýjar staðreyndir komu fram síðar.
emotional	tilfinningalegur	Ræðan var mjög tilfinningaleg.
emphasis	áhersla	Kennarinn lagði áherslu á skýrleika.
emphasize	leggja áherslu á	Hún lagði áherslu á skilafrestinn.
enable	gera kleift	Nýja tólið gerir hraðari vinnu kleift.
encounter	lenda í	Á ferðinni lentum við í nokkrum vandamálum.
engage	virkja	Kennarinn reyndi að virkja alla.
enhance	bæta	Nýja ljósið bætti myndina.
enquiry	fyrirspurn	Fyrirspurnin var send um morguninn.
ensure	tryggja	Eftirlit tryggir gæði.
enthusiasm	áhugi	Hún talaði með miklum áhuga.
enthusiastic	áhugasamur	Áhorfendur voru áhugasamir.
entire	allur	Allt teymið kom seint.
entirely	alveg	Ég er ekki alveg sammála.
establish	stofna	Þau stofnuðu nýjan klúbb.
estate	eign	Eignin seldist fljótt.
estimate	áætlun	Fyrsta áætlunin var há.
ethical	siðferðilegur	Þetta er siðferðileg spurning.
evaluate	meta	Við þurfum að meta niðurstöðurnar.
evil	illur	Í sögunni var illur konungur.
examination	próf	Prófið hófst klukkan níu.
excuse	afsökun	Þessi afsökun hljómaði ekki trúverðug.
executive	framkvæmdastjóri	Framkvæmdastjórinn staðfesti áætlunina.
existence	tilvist	Sönnunargögn staðfestu tilvist þess.
expectation	vænting	Væntingin var mjög mikil.
expense	kostnaður	Þessi kostnaður kom úr fjárhagsáætluninni.
exploration	könnun	Könnun hellisins hélt áfram.
expose	afhjúpa	Rannsóknin afhjúpaði villuna.
extend	framlengja	Þau framlengdu frestinn.
extent	umfang	Umfang tjónsins kom síðar í ljós.
external	ytri	Ytri úttekt hefst á morgun.
extraordinary	óvenjulegur	Þetta var óvenjulegur árangur.
facility	aðstaða	Nýja aðstaðan opnaði í vor.
failure	bilun	Bilunin kenndi okkur mikið.
faith	trú	Hún missti ekki trúna.
fault	sök	Mistökin voru ekki honum að sök.
feather	fjöður	Fjöðurin féll hægt niður.
fee	gjald	Gjaldið þarf að greiða fyrirfram.
feedback	endurgjöf	Við fengum gagnlega endurgjöf.
fellow	félagi	Félagi hans beið úti.
finance	fjármál	Fjármál þurfa nákvæm gögn.
finding	niðurstaða	Helsta niðurstaðan kom á óvart.
firm	fyrirtæki	Fyrirtækið réð nýtt fólk.
flame	logi	Loginn hreyfðist í vindinum.
flash	leiftur	Við sáum bjart leiftur á himninum.
flexible	sveigjanlegur	Áætlunin er nokkuð sveigjanleg.
float	fljóta	Báturinn flaut hljóðlega á vatninu.
folding	samanbrjótanlegur	Samanbrjótanlegi stóllinn komst í skápinn.
forgive	fyrirgefa	Hún gat loks fyrirgefið.
former	fyrrverandi	Fyrrverandi leiðtoginn gaf viðtal.
fortune	auður	Hann erfði mikinn auð.
found	stofna	Þau stofnuðu skólann fyrir löngu.
freedom	frelsi	Frelsi er honum mikilvægt.
frequency	tíðni	Tíðnin breyttist í tilrauninni.
fully	að fullu	Dyrnar voru opnar að fullu.
fund	sjóður	Sjóðurinn styður unga vísindamenn.
fundamental	grundvallar-	Þetta er grundvallarregla.
funding	fjármögnun	Fjármögnunin lauk um haustið.
furthermore	enn fremur	Enn fremur var áætlunin of dýr.
gain	öðlast	Hann öðlaðist fljótt reynslu.
gang	gengi	Gengið safnaðist við stöðina.
generate	búa til	Kerfið býr sjálfkrafa til skýrslu.
genre	tegund	Þessi tegund höfðar til ungs fólks.
govern	stjórna	Lög stjórna þessu ferli.
grab	grípa	Hún greip töskuna fljótt.
gradually	smám saman	Sársaukinn hvarf smám saman.
grand	stórfenglegur	Áætlunin var of stórfengleg.
grant	styrkur	Háskólinn fékk nýjan styrk.
guarantee	ábyrgð	Ábyrgðin gildir í tvö ár.
handle	meðhöndla	Þetta tól meðhöndlar stórar skrár.
harm	skaði	Reykur getur valdið skaða.
harmful	skaðlegur	Þetta efni er skaðlegt.
hearing	heyrn	Heyrnin versnaði með aldrinum.
heaven	himinn	Skýin huldu himininn.
heel	hæll	Hællinn verkjaði eftir hlaupið.
hell	helvíti	Herbergið var heitt eins og helvíti.
hesitate	hika	Ekki hika við að biðja um hjálp.
hollow	holur	Trjástofninn var holur.
holy	heilagur	Þetta er heilagur staður.
honour	heiður	Henni var sýndur mikill heiður.
household	heimili	Heimilið notaði minni orku.
housing	húsnæði	Borgin fjárfesti í húsnæði.
humorous	fyndinn	Greinin var fyndin.
humour	húmor	Húmor hans minnkaði spennuna.
hunting	veiðar	Veiðar eru stranglega takmarkaðar hér.
illustrate	skýra	Myndin skýrir hugmyndina.
illustration	teikning	Bókin hafði fallega teikningu.
imagination	ímyndunarafl	Börnin notuðu ímyndunaraflið.
impatient	óþolinmóður	Hann varð óþolinmóður í röðinni.
imply	gefa í skyn	Svar hennar gaf vandamál í skyn.
impose	leggja á	Stjórnin lagði á nýjan skatt.
impress	heilla	Kynningin heillaði áhorfendur.
impressed	hrifinn	Ég var hrifinn af vinnunni hennar.
inch	tomma	Borðið færðist um eina tommu.
incident	atvik	Atvikið átti sér stað um kvöldið.
income	tekjur	Tekjurnar jukust hægt.
increasingly	í auknum mæli	Vinnan varð í auknum mæli stafræn.
industrial	iðnaðar-	Iðnaðarsvæðið var utan bæjarins.
infection	sýking	Sýkingin dreifðist hratt.
inform	upplýsa	Vinsamlegast upplýstu mig um breytinguna.
initial	fyrsti	Fyrsta niðurstaðan var jákvæð.
initially	í fyrstu	Í fyrstu virtist allt einfalt.
initiative	frumkvæði	Frumkvæðið kom frá nemendunum.
inner	innri	Innri hurðin var læst.
insight	innsýn	Umræðan gaf nýja innsýn.
insist	krefjast	Hún krafðist skýrs svars.
inspire	veita innblástur	Saga hans veitti okkur innblástur.
install	setja upp	Tæknimaðurinn setti upp hugbúnaðinn.
instance	dæmi	Þetta er eitt skýrt dæmi.
