source_headword	TE	example_TE
violation	ఉల్లంఘన	ఇన్‌స్పెక్టర్ ఒక తీవ్రమైన ఉల్లంఘనను నివేదించారు.
virtue	సద్గుణం	ఓపిక అనేది ఒక ముఖ్యమైన సద్గుణం.
vocal	బహిరంగంగా చెప్పే	ఆమె ఈ నిర్ణయం గురించి గొంతు విప్పింది.
vow	ప్రతిజ్ఞ చేయడం	అతను ఆ పని పూర్తి చేస్తానని ప్రతిజ్ఞ చేశాడు.
vulnerability	లోపం	ఆడిట్ ఒక భద్రతా లోపాన్ని బహిర్గతం చేసింది.
vulnerable	దుర్బలమైన	విపరీతమైన వేడి సమయంలో పిల్లలు సులభంగా ప్రభావితం అవుతారు.
ward	వార్డు	రోగిని మరో వార్డుకు మార్చారు.
warehouse	గిడ్డంగి	గిడ్డంగిలో విడిభాగాలను నిల్వ ఉంచుతారు.
warfare	యుద్ధం	ఆధునిక యుద్ధం సాంకేతికతపై ఆధారపడి ఉంటుంది.
warrant	వారెంట్	పోలీసులు సెర్చ్ వారెంట్‌ను చూపించారు.
warrior	యోధుడు	ఆ యోధుడు గ్రామాన్ని రక్షించాడు.
weaken	బలహీనపరచడం	ఆ గాయం అతని పట్టును బలహీనపరిచింది.
weave	అల్లడం	ఆమె బుట్టలు అల్లడం నేర్చుకుంది.
weed	కలుపు మొక్క	రాళ్ల మధ్య ఒక కలుపు మొక్క పెరిగింది.
well	బావి	గ్రామ బావి ఎండిపోయింది.
well-being	శ్రేయస్సు	శ్రేయస్సుకు నిద్ర చాలా ముఖ్యం.
whatsoever	ఏమాత్రం	అతను ఏమాత్రం ఆసక్తిని చూపలేదు.
whereby	తద్వారా	ఆ చట్టం ద్వారా కుటుంబాలు అప్పీల్ చేసుకోగలిగే ఒక వ్యవస్థ ఏర్పడింది.
whilst	సమయంలో	అతను విశ్రాంతి తీసుకుంటున్న సమయంలో ఆమె పని చేసింది.
whip	విదిలించడం	గాలి జెండాలను వేగంగా ఎగురవేయగలదు.
wholly	పూర్తిగా	ఆ నిర్ణయం పూర్తిగా ఊహించనిది.
widen	వెడల్పు చేయడం	నగర పాలక సంస్థ ఈ రహదారిని వెడల్పు చేయాలని యోచిస్తోంది.
widow	వితంతువు	ఆ వితంతువు పాఠశాల దగ్గర నివసిస్తుంది.
width	వెడల్పు	తలుపు వెడల్పును కొలవండి.
willingness	సుముఖత	సహాయం చేయడానికి ఆమె చూపిన సుముఖత అందరినీ ఆకట్టుకుంది.
wipe	తుడవటం	ఒక గుడ్డతో స్క్రీన్‌ను తుడవండి.
wit	చమత్కారం	అతని చమత్కారం ప్రసంగాన్ని ఉల్లాసంగా మార్చింది.
withdrawal	ఉపసంహరణ	నిధుల ఉపసంహరణ ప్రాజెక్టును ఆలస్యం చేసింది.
workout	వ్యాయామం	వ్యాయామం నలభై నిమిషాల పాటు సాగింది.
worship	ఆరాధన	వేకువజామున ప్రజలు ఆరాధన కోసం సమావేశమయ్యారు.
worthwhile	విలువైనది	ఈ పర్యటన విలువైనది.
worthy	అర్హమైనది	ఈ స్వచ్ఛంద సంస్థ మద్దతుకు అర్హమైనది.
yell	అరవడం	సిబ్బందిపై అరవకండి.
yield	దిగుబడి	ఈ సీజన్‌లో వ్యవసాయ దిగుబడి మెరుగుపడింది.
youngster	యువకుడు	ఆ యువకుడు చాలా ప్రశ్నలు అడిగాడు.
