simplified	BG	example_BG
暴露	разкривам се; излагам	Този проблем постепенно излезе наяве.
曝光	публично разкриване	След като снимката беше разкрита публично, тя привлече внимание.
爆发	избухвам	Вулканът внезапно изригна.
爆炸	експлозия	В лабораторията стана експлозия.
卑鄙	подъл	Този подъл подход ядосва хората.
悲哀	печален	След като чу новината, той се почувства много печален.
悲惨	трагичен	Това беше трагичен период от историята.
北极	Арктика; Северен полюс	Учените провеждат изследвания в Арктика.
备份	резервно копие	Моля, първо направи резервно копие на важните файлове.
备忘录	меморандум; бележка	Тя записа основните точки в бележката.
背叛	предавам; предателство	Той не можеше да приеме предателството на приятеля си.
背诵	рецитирам наизуст	Учениците рецитират текста наизуст.
被动	пасивен	В преговорите не можем да бъдем твърде пасивни.
被告	обвиняем; ответник	Обвиняемият отрече всички обвинения.
贝壳	черупка; мида	Детето събираше миди край морето.
奔波	тичам насам-натам	Той тича насам-натам заради работата.
奔驰	препускам; движа се бързо	Колата препускаше по магистралата.
本能	инстинкт	Да защитават децата е инстинкт на родителите.
本钱	капитал	За правене на бизнес е нужен капитал.
本人	аз самият	Аз самият съм готов да поема отговорност.
本身	сам по себе си	Самият план няма проблем.
本事	способност	Той е много способен.
笨拙	непохватен	Движенията му са малко непохватни.
崩溃	сривам се	Системата внезапно се срина.
甭	няма нужда	Няма нужда да се тревожиш за това.
蹦	подскачам	Кученцето подскачаше по тревата.
迸发	избликвам	Аплодисменти избликнаха от тълпата.
逼迫	принуждавам	Те го принудиха да подпише договора.
鼻涕	сополи	Детето е настинало и постоянно му текат сополи.
比方	пример	Например, можем първо да опитаме един месец.
比喻	метафора	Тази метафора е много образна.
比重	дял	Делът на сектора на услугите става все по-висок.
鄙视	презирам	Не презирай усилията на другите хора.
弊病	недостатък; порок	Тази система има немалко недостатъци.
弊端	недостатък; злоупотреба	Новият план реши недостатъците на старата система.
臂	ръка	Дясната му ръка беше ранена.
闭塞	изолиран; труднодостъпен	В миналото транспортът в това планинско село беше много изолиран.
编织	плета; тъка	Баба плете пуловер.
边疆	пограничен район	Много войници пазят пограничните райони на родината.
边界	граница	Двете държави отново очертаха границата.
边境	граница; пограничие	В пограничните райони засилиха проверките за сигурност.
边缘	край	Чашата е поставена на края на масата.
鞭策	подтиквам	Думите на учителя винаги са ме подтиквали.
扁	плосък	Тази кутия е широка и плоска.
贬低	омаловажавам	Не омаловажавай лесно усилията на другите хора.
贬义	отрицателен оттенък	Тази дума тук има отрицателен оттенък.
便利	удобен	Метрото прави пътуването по-удобно.
便条	бележка	Той остави бележка на масата.
便于	удобен за	Този дизайн е удобен за използване от възрастни хора.
变故	неочаквано нещастие	В семейството внезапно се случи неочаквано нещастие.
变迁	промяна	Промените в града го развълнуваха силно.
变质	развалям се	Млякото ще се развали, ако стои твърде дълго.
辨认	разпознавам	Полицията го помоли да разпознае човека на снимката.
辩护	защитавам	Адвокатът защити обвиняемия.
辩解	оправдавам; обяснявам	Той се опита да оправдае грешката си.
辩证	диалектически	Трябва да гледаме на този проблем диалектически.
辫子	плитка	Малкото момиче беше с две плитки.
遍布	разпространен навсякъде	Това растение е разпространено в цялата страна.
标本	експонат; образец	В музея са изложени животински експонати.
标记	знак; маркировка	Моля, поставете знак до важните абзаци.
标题	заглавие	Заглавието на тази статия е много привлекателно.
表决	гласувам	Представителите ще гласуват по предложението.
表态	изразявам позиция	Той още не е изразил публично позицията си.
表彰	отличавам; похвалвам	Компанията отличи отличните служители.
憋	сдържам	Той сдържа смеха си и не каза нищо.
别墅	вила	Те купиха вила в предградията.
别致	особен; оригинален	Обзавеждането на това кафене е много оригинално.
别扭	неловък	Това изречение звучи малко неловко.
濒临	на ръба на	Това животно е на ръба на изчезване.
冰雹	градушка	Вчера следобед падна силна градушка.
丙	трети; група В	Състезанието на група В започва следобед.
并非	не е	Нещата не са такива, каквито си мислиш.
并列	наравно; редом	Тези два проекта са наравно на първо място.
剥削	експлоатация	В старото общество е съществувала сериозна експлоатация.
拨	набирам; отделям	Моля, набери този телефонен номер.
播种	сея	Земеделците започват да сеят през пролетта.
波浪	вълна	По морето се надигнаха огромни вълни.
波涛	бурни вълни	Лодката се движеше напред сред бурните вълни.
伯母	леля	През уикенда ще посетя леля си.
博大精深	обширен и дълбок	Китайската култура е обширна и дълбока.
博览会	изложение	Международното изложение привлече много компании.
搏斗	боря се	Полицията се бори с престъпника.
薄弱	слаб	Основата му по граматика е сравнително слаба.
不顾	без оглед на	Той се втурна вътре без оглед на опасността.
不愧	достоен за	Той наистина е достоен да бъде наречен опитен експерт.
不料	неочаквано	Неочаквано срещата беше внезапно отменена.
不像话	възмутителен	Възмутително е да се държиш така с гостите.
不屑一顾	пренебрегвам с презрение	Той пренебрегна тези слухове с презрение.
哺乳	кърмя	Майката кърми бебето.
捕捉	улавям	Фотографът улови прекрасен миг.
补偿	компенсирам	Компанията ще компенсира загубата ти.
补救	поправям	Все още имаме време да поправим нещата.
补贴	субсидия; подпомагам	Правителството дава субсидии на семейства с ниски доходи.
不得已	нямам избор	Той напусна родния си край само защото нямаше избор.
不妨	може би е добре	Може би е добре първо да чуеш обяснението му.
不敢当	не заслужавам похвала	Наистина не заслужавам такава похвала от вас.
不禁	не мога да се сдържа	Като чу новината, той не можа да се сдържи и се засмя.
不堪	непоносим	Шумът тук е непоносим.
不可思议	невероятен	Този резултат е наистина невероятен.
不免	неизбежно	Първия път на сцената той неизбежно беше малко нервен.
不时	от време на време	Той от време на време вдигаше глава, за да погледне часовника.
不惜	не се колебая	За да спаси човек, той не се поколеба да поеме риск.
不相上下	равностоен	Силите на двата отбора са равностойни.
不言而喻	разбира се от само себе си	Важността на честността се разбира от само себе си.
不由得	не мога да не	Като видях старата снимка, не можах да не си спомня детството.
不择手段	с всички средства	Той използва всички средства, за да печели пари.
不止	повече от	На срещата присъстваха повече от сто души.
布告	обява	На входа на училището беше залепена обява.
布局	разположение	Разположението на този апартамент е много разумно.
布置	подреждам; възлагам	Учителят възложи ново домашно.
步伐	крачка	Отрядът напредваше с равни крачки.
部署	разгръщам; план	Компанията разгръща нов план за продажби.
部位	място; част	Лекарят прегледа раненото място.
才干	способност	Тя е много способна в управлението.
裁缝	шивач	Този шивач има много добро майсторство.
裁判	съдия	Съдията обяви прекъсване на мача.
裁员	съкращавам персонал	Компанията реши да съкрати персонал заради загуби.
财富	богатство	Знанието също е вид богатство.
财务	финанси	Финансовият отдел проверява сметките.
财政	фискален; финанси	Фискалните приходи тази година са се увеличили донякъде.
彩票	лотариен билет	Той от време на време купува лотариен билет.
采购	закупувам	Компанията изпрати човек да закупи оборудване.
采集	събирам	Изследователите събираха проби в гората.
采纳	приемам	Ръководителят прие нашето предложение.
参谋	съветник; съветвам	Той често съветва мениджъра.
参照	съобразявам се с	Моля, попълнете формуляра според този формат.
残疾	увреждане; инвалидност	Тази гара предоставя помощ на пътници с увреждания.
残酷	жесток	Войната е много жестока.
残留	остатък; остава	В чашата още остава мирис на кафе.
残忍	жесток	Злоупотребата с животни е жестоко поведение.
灿烂	сияен	Тя показа сияйна усмивка.
仓促	прибързан	Това решение беше взето твърде прибързано.
仓库	склад	Стоките вече са доставени в склада.
舱	кабина	Пътниците влизат в кабината на самолета.
苍白	блед	Лицето му изглеждаше много бледо.
操劳	трудя се неуморно	Майка му се труди неуморно за това семейство много години.
操练	тренировка; упражнявам се	Войниците правят тренировки всяка сутрин.
操纵	управлявам; контролирам	Тази машина се управлява от компютър.
操作	работя с; управлявам	Моля, работете с оборудването според инструкциите.
嘈杂	шумен	На гарата е много шумно.
草案	проект	Комитетът обсъжда проекта.
草率	прибързан; небрежен	Такова важно решение не може да бъде прибързано.
侧面	странична страна	Отстрани тази сграда изглежда по-висока.
测量	измервам	Инженерът измерва дължината на моста.
策划	планирам	Те планираха голямо събитие.
策略	стратегия	Тази стратегия помогна на компанията да намали разходите.
层出不穷	появяват се един след друг	Нови проблеми се появяват един след друг.
层次	структура; ниво	Структурата на тази статия е много ясна.
差别	разлика	Между двата метода няма голяма разлика.
插座	контакт	В тази стая контактите не са достатъчни.
查获	залавям; конфискувам	Митницата конфискува партида фалшиви стоки.
刹那	миг	За миг всички светлини угаснаха.
岔	разклонение	Колите се разделиха при кръстовището напред.
诧异	изненадан	Решението му силно изненада всички.
柴油	дизелово гориво	Този камион използва дизелово гориво.
搀	подпирам; помагам	Медицинската сестра подкрепи възрастния човек и го въведе в отделението.
缠绕	увивам се	Лозите се увиват около клоните.
馋	лаком; имам силно желание	Като видя тортата, детето много я пожела.
产业	индустрия	Туризмът е важна индустрия тук.
阐述	излагам подробно	Професорът подробно изложи своята гледна точка.
颤抖	треперя	Беше толкова студено, че цялото й тяло трепереше.
昌盛	процъфтяващ	Надяваме се страната да бъде процъфтяваща и силна.
偿还	изплащам	Той изплати заема навреме.
尝试	опитвам	Можем да опитаме нов метод.
场合	повод; ситуация	Такъв повод не е подходящ за шеги.
场面	сцена	Сватбената сцена беше много оживена.
场所	място	Това е обществено място, моля, не пушете.
敞开	широко отворен	Моля, оставете прозореца широко отворен за малко.
倡导	насърчавам	Училището насърчава здравословен начин на живот.
倡议	инициатива	Тази екологична инициатива получи подкрепа.
畅通	свободно проходим	След като дъждът спря, пътят отново стана проходим.
畅销	продавам се добре	Този роман се продава много добре.
超越	надминавам	Той най-накрая надмина собствения си рекорд.
钞票	банкнота	В портфейла останаха само няколко банкноти.
嘲笑	осмивам	Не осмивай недостатъците на другите хора.
巢穴	леговище; гнездо	Ловецът откри леговището на животното.
朝代	династия	Династия Тан е династия в китайската история.
潮流	тенденция	Младите хора обръщат голямо внимание на модните тенденции.
撤退	отстъпвам	Войските отстъпиха след получаването на заповедта.
撤销	отменям	Съдът отмени първоначалното решение.
沉淀	утаявам се	Пясъкът и тинята бавно ще се утаят.
沉闷	задушен; потискащ	Днес времето е горещо и задушно.
沉思	замислям се дълбоко	Той седеше до прозореца, замислен дълбоко.
沉重	тежък	Тази новина натежа на всички.
沉着	спокоен	При опасност трябва да останеш спокоен.
陈旧	остарял	Тази машина вече е много остаряла.
陈列	излагам	В изложбената зала са изложени много културни реликви.
陈述	излагам; заявявам	Моля, изложете фактите ясно.
称心如意	напълно удовлетворяващ	Тази работа го удовлетворява много.
衬托	подчертавам	Бялата стена подчертава цвета на цветята.
称号	титла	Той получи титлата отличен учител.
乘	пътувам с	Всеки ден пътувам с метро до работа.
呈现	появявам се; придобивам	Небето придоби лек червен цвят.
城堡	замък	На върха на планината има стар замък.
惩罚	наказвам; наказание	Училището ще наказва учениците, които преписват.
成本	разход	Поскъпването на суровините увеличи разходите.
成交	сключвам сделка	Тази търговска сделка най-накрая беше сключена.
成天	цял ден	Той седи пред компютъра цял ден.
成效	резултат	Новият метод на управление скоро показа резултати.
成心	нарочно	Той не те постави в неудобно положение нарочно.
成员	член	Всеки член трябва да присъства на срещата.
承办	организирам; поемам	Тази компания организира изложението.
承包	поемам по договор	Те поеха този проект по договор.
承诺	обещавам; обещание	Той обеща да завърши задачата навреме.
橙	портокал	Купих няколко пресни портокала.
澄清	изяснявам	Мениджърът излезе да изясни недоразумението.
盛	сипвам; побирам	Тя сипа купа супа на госта.
诚挚	искрен	Моля, приемете искрената ми благодарност.
秤	кантар	Този кантар не е много точен.
吃苦	понасям трудности	Младите хора трябва да се научат да понасят трудности.
吃力	трудоемък	Преместването на тази кутия изисква много усилия.
持久	траен	Успехът изисква трайни усилия.
迟钝	бавен в реакциите	Напоследък реакциите му са малко бавни.
迟缓	бавен	След дъжда движението стана бавно.
迟疑	колебая се	Тя се поколеба за миг, преди да отговори.
赤道	екватор	Близо до екватора е горещо през цялата година.
赤字	дефицит	Компанията тази година излезе на дефицит.
充当	служа като	Той служеше като координатор в проекта.
充沛	изобилен; пълен с енергия	Децата са пълни с енергия.
充实	пълноценен; обогатявам	Това преживяване направи живота ми по-пълноценен.
充足	достатъчен	Преди пътуване трябва да подготвиш достатъчно вода.
冲动	импулс	Не вземай решение заради моментен импулс.
冲击	удар; въздействие	Новите технологии оказаха силно въздействие върху традиционните индустрии.
冲突	конфликт	Двете страни се постараха да избегнат конфликт.
崇拜	възхищавам се	Много млади хора се възхищават на този учен.
崇高	благороден	Задължението на лекаря е благородно.
崇敬	дълбоко уважавам	Всички ученици дълбоко уважават този учител.
重叠	припокривам се	Тези две задачи частично се припокриват.
稠密	гъст	Населението тук е много гъсто.
筹备	подготвям	Те подготвят сватбата.
丑恶	грозен; отвратителен	Той разкри грозната истина зад случая.
出路	изход; перспектива	Образованието може да даде на младите хора повече перспективи.
出卖	предавам; продавам	Той няма да предаде приятелите си.
出身	произход	Той произхожда от обикновено семейство.
出神	унесен	Тя беше унесена в слушане на музика.
出息	перспективно бъдеще	Това дете ще има перспективно бъдеще.
初步	предварителен	Вече постигнахме предварително споразумение.
除	освен; премахвам	Освен него всички пристигнаха.
储备	резерв; запасявам	Компанията трябва да задели повече средства.
储存	съхранявам	Тези данни ще се съхраняват автоматично.
储蓄	спестявам	Той всеки месец спестява част от заплатата си.
处分	дисциплинарно наказание	Училището му наложи сериозно дисциплинарно наказание.
处境	положение	Сегашното им положение е много трудно.
处置	разпореждам се; обработвам	Това старо оборудване трябва да бъде обработено правилно.
触犯	нарушавам	Такова действие ще наруши закона.
川流不息	непрекъснат поток	Превозните средства по улицата се движат в непрекъснат поток.
穿越	преминавам през	Влакът премина през дългия тунел.
传达	предавам	Моля, предайте това съобщение на всички.
传单	листовка	Доброволци раздаваха листовки на улицата.
传授	предавам знания	Учителят предаде опит на учениците.
船舶	плавателни съдове	В пристанището са спрели много плавателни съдове.
喘气	задъхвам се	След като тича, той не спираше да се задъхва.
串	нанизвам	Тя наниза мънистата в огърлица.
床单	чаршаф	Моля, сменете чаршафа.
创立	основавам	Те заедно основаха тази компания.
创新	иновация	Развитието на предприятието изисква постоянни иновации.
创业	започвам бизнес	Много млади хора избират да започнат бизнес.
创作	създавам	Писателят създава дълъг роман.
吹牛	хваля се	Не се хвали, покажи доказателства.
吹捧	прехвалвам	Медиите прекалено прехвалиха този продукт.
炊烟	дим от огнища	Вечерта над селото се издигна дим от огнищата.
垂直	вертикален	Тези две линии са взаимно перпендикулярни.
锤	чук	Работникът удари желязната плоча с чук.
纯粹	чисто; единствено	Помощта му беше чисто от добро намерение.
纯洁	чист	Сърцето на детето е много чисто.
慈善	благотворителен	Тази компания често участва в благотворителни дейности.
慈祥	добродушен	Усмивката на баба е много добродушна.
磁带	магнитна лента	Тази стара касета още може да се възпроизвежда.
雌雄	мъжки и женски	Мъжките и женските при този вид птици са с различен цвят.
伺候	обслужвам; грижа се за	Медицинската сестра внимателно се грижеше за пациента.
刺	бодил; шип	По клоните на розата има много бодли.
次品	дефектна стока	Тези дефектни стоки не могат да се продават.
次序	ред	Моля, наредете се по ред.
丛	туфа; група	Край пътя има туфа диви цветя.
从容	спокоен	Тя спокойно отговори на въпроса.
凑合	карам някак	Стаята не е голяма, но става за живеене.
粗鲁	груб	Той говори твърде грубо.
窜	втурвам се	Онази котка изведнъж се втурна в стаята.
摧残	опустошавам	Дългосрочното замърсяване ще опустоши тази гора.
脆弱	крехък	Стъклените изделия са много крехки.
搓	търкам	Той потърка студените си ръце.
磋商	консултирам се; преговарям	Двете страни ще продължат консултациите.
挫折	неуспех	Всеки човек среща неуспехи.
搭	качвам се на; строя	Ще се качим на автобус до летището.
搭档	партньор	Той е мой работен партньор от много години.
搭配	съчетавам се	Това яке и панталоните се съчетават добре.
答辩	защита	Докторантът се подготвя за защита на дисертация.
答复	отговор	Моля, дай ми отговор възможно най-скоро.
达成	постигам	Двете страни най-накрая постигнаха споразумение.
打包	опаковам	Сервитьорът опакова остатъците от храната за нас.
打官司	водя дело	Те водиха дело заради проблем с договора.
打击	удар	Този провал беше голям удар за него.
打架	бия се	Ученици, които се бият в кампуса, ще бъдат наказани.
打量	оглеждам	Тя ме огледа отгоре до долу.
打猎	ловувам	Тук ловуването е забранено.
打仗	воювам	Никой не иска да воюва.
大不了	в най-лошия случай	В най-лошия случай утре ще опитаме отново.
大臣	министър	Кралят прие няколко министри.
大伙儿	всички	Всички чакат твоето решение.
大肆	масово; без задръжки	Търговецът масово рекламира новия продукт.
大体	общо взето	Общо взето планът няма проблем.
大意	основна идея	Моля, първо кажи основната идея на тази статия.
大致	приблизително	Приблизително разбрах какво се е случило.
歹徒	престъпник	Полицията бързо хвана престъпника.
代价	цена	Успехът често изисква да платиш цена.
代理	замествам; представителствам	Той временно замества работата на мениджъра.
带领	водя	Учителят заведе учениците да посетят музея.
怠慢	пренебрегвам	Не бива да пренебрегваме гостите.
逮捕	арестувам	Полицията арестува главния заподозрян.
担保	гарантирам; поръчителствам	Банката изисква някой да поръчителства.
胆怯	плах	При първата си реч той беше малко плах.
淡季	слаб сезон	Самолетните билети са по-евтини през слабия туристически сезон.
淡水	прясна вода	Този вид риба може да живее само в прясна вода.
蛋白质	белтък	Яйцата съдържат много белтък.
诞辰	годишнина от рождението	Днес е годишнината от рождението на този писател.
诞生	раждам се	Тази идея се роди по време на обсъждането.
当场	на място	Той призна грешката си на място.
当初	първоначално	Първоначално всички подкрепяхме това решение.
当代	съвременен	Съвременното общество се променя много бързо.
当面	лице в лице	При проблем е най-добре да се изясни лице в лице.
当前	настоящ	Най-важното в момента е да се гарантира безопасността.
当事人	засегнато лице	Полицията разпитва засегнатото лице.
当务之急	първостепенна задача	Решаването на жилищния проблем е първостепенна задача.
当选	избран съм	Тя успешно беше избрана за председател.
党	партия	Тази партия предложи нова политика.
档案	досие	Училището пази досиетата на учениците.
档次	клас; ниво	Този хотел е от висок клас.
倒闭	фалирам; затварям	Този малък магазин затвори миналата година.
导弹	ракета	Новините съобщиха за изпитание на ракета.
导航	навигация	Моля, включете навигацията на телефона.
导向	насоченост	Образователната политика трябва да бъде насочена към справедливост.
捣乱	създавам безредици	Моля, не създавайте безредици в час.
盗窃	кражба	Търговският център засили мерките за предотвратяване на кражби.
稻谷	оризова реколта	Земеделците жънат оризовата реколта.
得不偿失	загубите надвишават печалбата	Да купиш некачествени материали, за да спестиш пари, не си струва.
得力	способен	Той е способен помощник до мениджъра.
得天独厚	изключително благоприятен	Този град има изключително благоприятни географски предимства.
得罪	обиждам; нарушавам	Не искам да обидя колегите си заради дреболия.
灯笼	фенер	По време на Пролетния празник на вратата висят червени фенери.
登录	влизам в акаунт	Моля, първо влез в акаунта си.
登陆	слизам на брега	Тайфунът може тази вечер да достигне крайбрежието.
蹬	натискам с крак	Той натисна силно с крак и велосипедът тръгна.
等候	чакам	Пътниците чакат в залата за качване.
等级	ниво	Този софтуер има различни нива на членство.
瞪	гледам свирепо	Той ядосано ме изгледа свирепо.
堤坝	язовирна стена	След проливния дъжд язовирната стена трябва внимателно да се провери.
敌视	враждебен съм	Не бива да бъдем враждебни към различни мнения.
抵达	пристигам	Самолетът пристигна в Пекин навреме.
抵抗	съпротивлявам се	Селяните заедно се съпротивляваха на наводнението.
抵制	бойкотирам	Потребителите започнаха да бойкотират некачествените продукти.
地步	положение; степен	Въпросът още не е стигнал до толкова сериозно положение.
地势	релеф	Релефът тук е по-висок и водата не се събира лесно.
地质	геология	Експертите изследват местните геоложки условия.
递增	постепенно се увеличавам	Продажбите се увеличаваха три поредни месеца.
颠簸	друсам	Планинският път е много друсащ, затова карай внимателно.
