hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	PT-BR	example_PT-BR	ES-419	example_ES-419	AZ	example_AZ	UZ	example_UZ
321:床	床	床	yatak	Yatak odada.	kitanda	Kitanda kiko chumbani.	cama	A cama está no quarto.	cama	La cama está en el cuarto.	çarpayı	Çarpayı otaqdadır.	karavot	Karavot xonada turibdi.
322:词	词	词	kelime	Bu kelimeyi anlamıyorum.	neno	Sielewi neno hili.	palavra	Não entendo esta palavra.	palabra	No entiendo esta palabra.	söz	Bu sözü başa düşmürəm.	so'z	Men bu so'zni tushunmayman.
325:从小	从小	从小	küçüklükten beri	Küçüklükten beri resim yapmayı severim.	tangu utotoni	Nimependa kuchora tangu utotoni.	desde pequeno	Gosto de desenhar desde pequeno.	desde niño	Me gusta dibujar desde niño.	uşaqlıqdan	Uşaqlıqdan şəkil çəkməyi sevirəm.	bolalikdan	Men bolaligimdan rasm chizishni yaxshi ko'raman.
327:打1	打1	打	telefon etmek	Babama telefon ederim.	kupiga simu	Ninampigia baba simu.	telefonar; ligar	Ligo para meu pai.	llamar por teléfono	Llamo a mi papá.	zəng etmək	Atama zəng edirəm.	telefon qilmoq	Men dadamga telefon qilaman.
328:打车	打车	打车	taksi tutmak	Havalimanına taksiyle gidiyoruz.	kuchukua teksi	Tunaenda uwanja wa ndege kwa teksi.	pegar um táxi	Vamos ao aeroporto de táxi.	tomar un taxi	Vamos al aeropuerto en taxi.	taksi tutmaq	Hava limanına taksi ilə gedirik.	taksi tutmoq	Biz aeroportga taksida boramiz.
329:打开	打开	打开	açmak	Lütfen kitabı aç.	kufungua	Tafadhali fungua kitabu.	abrir	Por favor, abra o livro.	abrir	Por favor, abre el libro.	açmaq	Zəhmət olmasa kitabı aç.	ochmoq	Iltimos, kitobni oching.
330:但	但	但	ama; fakat	Çok meşgulüm ama mutluyum.	lakini	Nina kazi nyingi, lakini nina furaha.	mas	Estou ocupado, mas estou feliz.	pero	Estoy ocupado, pero estoy feliz.	amma	Çox məşğulam, amma sevincliyəm.	lekin	Men bandman, lekin xursandman.
338:动	动	动	hareket etmek	Kıpırdama.	kusogea	Usisogee.	mover	Não se mova.	moverse	No te muevas.	hərəkət etmək	Tərpənmə.	qimirlamoq	Qimirlamang.
340:飞	飞	飞	uçmak	Kuş gökyüzünde uçuyor.	kuruka	Ndege anaruka angani.	voar	O pássaro está voando no céu.	volar	El pájaro vuela en el cielo.	uçmaq	Quş göydə uçur.	uchmoq	Qush osmonda uchyapti.
342:高中	高中	高中	lise	Ağabeyim lisede okuyor.	shule ya sekondari ya juu	Kaka yangu mkubwa anasoma shule ya sekondari ya juu.	ensino médio	Meu irmão mais velho estuda no ensino médio.	preparatoria; bachillerato	Mi hermano mayor estudia en la preparatoria.	yuxarı sinif məktəbi	Böyük qardaşım yuxarı sinif məktəbində oxuyur.	yuqori sinf maktabi	Akam yuqori sinf maktabida o'qiydi.
346:公交车	公交车	公交车	otobüs	Okula otobüsle giderim.	basi	Naenda shuleni kwa basi.	ônibus	Vou à escola de ônibus.	autobús	Voy a la escuela en autobús.	avtobus	Məktəbə avtobusla gedirəm.	avtobus	Men maktabga avtobusda boraman.
348:过来	过来	过来	buraya gelmek	Lütfen biraz buraya gel.	kuja huku	Tafadhali njoo hapa kidogo.	vir aqui	Por favor, venha aqui um momento.	venir acá	Por favor, ven acá un momento.	bura gəlmək	Zəhmət olmasa bir az bura gəl.	bu yerga kelmoq	Iltimos, bir oz bu yerga keling.
349:过年	过年	过年	Yeni Yılı kutlamak	Yeni Yılı kutlamak için eve dönüyoruz.	kusherehekea Mwaka Mpya	Tunarudi nyumbani kusherehekea Mwaka Mpya.	celebrar o Ano Novo	Voltamos para casa para celebrar o Ano Novo.	celebrar el Año Nuevo	Volvemos a casa para celebrar el Año Nuevo.	Yeni ili qeyd etmək	Yeni ili qeyd etmək üçün evə qayıdırıq.	Yangi yilni nishonlamoq	Biz Yangi yilni nishonlash uchun uyga qaytamiz.
353:黑色	黑色	黑色	siyah renk	Siyah okul çantası yatağın üstünde.	rangi nyeusi	Mkoba mweusi wa shule uko juu ya kitanda.	cor preta	A mochila preta está em cima da cama.	color negro	La mochila negra está sobre la cama.	qara rəng	Qara məktəb çantası çarpayının üstündədir.	qora rang	Qora maktab sumkasi karavot ustida turibdi.
354:红茶	红茶	红茶	siyah çay	Annem siyah çay içmeyi sever.	chai nyeusi	Mama anapenda kunywa chai nyeusi.	chá preto	Minha mãe gosta de tomar chá preto.	té negro	A mi mamá le gusta tomar té negro.	qara çay	Anam qara çay içməyi sevir.	qora choy	Onam qora choy ichishni yaxshi ko'radi.
355:红色	红色	红色	kırmızı renk	Kırmızı bir giysim var.	rangi nyekundu	Nina nguo nyekundu.	cor vermelha	Tenho uma roupa vermelha.	color rojo	Tengo una prenda roja.	qırmızı rəng	Qırmızı paltarım var.	qizil rang	Menda qizil kiyim bor.
361:回来	回来	回来	geri gelmek	O akşam geri gelir.	kurudi	Atarudi jioni.	voltar	Ele volta à noite.	regresar	Él regresa en la noche.	geri qayıtmaq	O axşam geri qayıdır.	qaytib kelmoq	U kechqurun qaytib keladi.
362:回去	回去	回去	geri gitmek	Dersten sonra geri giderim.	kurudi nyuma; kurudi	Baada ya darasa nitarudi.	voltar	Volto depois da aula.	regresar	Regreso después de clase.	geri getmək	Dərsdən sonra geri gedirəm.	qaytib ketmoq	Men darsdan keyin qaytib ketaman.
364:机票	机票	机票	uçak bileti	Bir uçak bileti aldım.	tiketi ya ndege	Nimenunua tiketi ya ndege.	passagem aérea	Comprei uma passagem aérea.	boleto de avión	Compré un boleto de avión.	təyyarə bileti	Bir təyyarə bileti aldım.	samolyot chiptasi	Men samolyot chiptasi sotib oldim.
366:间	间	间	odalar için ölçü sözü	Bu bir sınıf odası.	kihesabu cha vyumba	Hili ni darasa moja.	classificador para cômodos	Esta é uma sala de aula.	clasificador para cuartos	Este es un salón de clase.	otaqlar üçün say sözü	Bu bir sinif otağıdır.	xonalar uchun hisob so'zi	Bu bitta sinfxona.
372:进来	进来	进来	içeri gelmek	Lütfen içeri gel.	kuingia ndani	Tafadhali ingia ndani.	entrar; vir para dentro	Por favor, entre.	entrar; venir adentro	Por favor, entra.	içəri gəlmək	Zəhmət olmasa içəri gəl.	ichkariga kirmoq	Iltimos, ichkariga kiring.
373:进去	进去	进去	içeri girmek	Hadi içeri girelim.	kuingia ndani	Tuingie ndani.	entrar; ir para dentro	Vamos entrar.	entrar; ir adentro	Entremos.	içəri girmək	Gəlin içəri girək.	ichkariga kirmoq	Keling, ichkariga kiramiz.
375:酒店	酒店	酒店	otel; konaklama yeri	Otel havalimanına çok yakın.	hoteli	Hoteli iko karibu sana na uwanja wa ndege.	hotel; hospedagem	O hotel fica muito perto do aeroporto.	hotel; alojamiento	El hotel está muy cerca del aeropuerto.	otel; qalacaq yer	Otel hava limanına çox yaxındır.	mehmonxona	Mehmonxona aeroportga juda yaqin.
379:开学	开学	开学	okulun başlaması	Yarın okul başlıyor.	shule kuanza	Shule inaanza kesho.	começo das aulas	As aulas começam amanhã.	inicio de clases	Las clases empiezan mañana.	dərslərin başlaması	Sabah dərslər başlayır.	o'qish boshlanishi	Ertaga o'qish boshlanadi.
380:考	考	考	sınava girmek; sınamak	Yarın Çince sınavım var.	kufanya mtihani; kupima	Kesho nina mtihani wa Kichina.	fazer prova; testar	Tenho prova de chinês amanhã.	presentar examen; evaluar	Mañana tengo examen de chino.	imtahan vermək; yoxlamaq	Sabah Çin dili imtahanım var.	imtihon topshirmoq; sinamoq	Ertaga xitoy tilidan imtihonim bor.
386:快要	快要	快要	neredeyse; yakında	Tren neredeyse geliyor.	karibu; hivi karibuni	Treni iko karibu kufika.	quase; em breve	O trem está quase chegando.	casi; pronto	El tren está por llegar.	az qalır; tezliklə	Qatar az sonra gələcək.	tez orada; deyarli	Poyezd tez orada keladi.
387:篮球	篮球	篮球	basketbol	Basketbol oynamayı severim.	mpira wa kikapu	Ninapenda kucheza mpira wa kikapu.	basquete	Gosto de jogar basquete.	básquetbol	Me gusta jugar básquetbol.	basketbol	Basketbol oynamağı sevirəm.	basketbol	Men basketbol o'ynashni yaxshi ko'raman.
390:里面	里面	里面	içinde	Kitap okul çantasının içinde.	ndani	Kitabu kiko ndani ya mkoba wa shule.	dentro	O livro está dentro da mochila.	adentro; dentro	El libro está dentro de la mochila.	içində	Kitab məktəb çantasının içindədir.	ichida	Kitob maktab sumkasining ichida.
393:路上	路上	路上	yolda	Yoldayım.	njiani	Niko njiani.	no caminho; na estrada	Estou a caminho.	en camino; en la carretera	Estoy en camino.	yolda	Mən yoldayam.	yo'lda	Men yo'ldaman.
395:绿茶	绿茶	绿茶	yeşil çay	Babam yeşil çay içmeyi sever.	chai ya kijani	Baba anapenda kunywa chai ya kijani.	chá verde	Meu pai gosta de tomar chá verde.	té verde	A mi papá le gusta tomar té verde.	yaşıl çay	Atam yaşıl çay içməyi sevir.	ko'k choy	Dadam ko'k choy ichishni yaxshi ko'radi.
396:绿色	绿色	绿色	yeşil renk	Bu bardak yeşil.	rangi ya kijani	Kikombe hiki ni cha kijani.	cor verde	Este copo é verde.	color verde	Esta taza es verde.	yaşıl rəng	Bu fincan yaşıl rəngdədir.	yashil rang	Bu piyola yashil rangda.
398:没意思	没意思	没意思	sıkıcı; ilginç değil	Bu film sıkıcı.	haivutii; inachosha	Filamu hii inachosha.	sem graça; chato	Este filme é chato.	aburrido; sin interés	Esta película es aburrida.	maraqsız; darıxdırıcı	Bu film darıxdırıcıdır.	zerikarli; qiziq emas	Bu film zerikarli.
401:门口	门口	门口	kapı önü; giriş	Okulun kapısında seni bekliyorum.	mlangoni; langoni	Ninakusubiri kwenye lango la shule.	entrada; porta	Estou esperando você na entrada da escola.	entrada; puerta	Te espero en la entrada de la escuela.	qapı ağzı; giriş	Səni məktəbin girişində gözləyirəm.	eshik oldi; kirish	Men sizni maktab kirishida kutyapman.
402:门票	门票	门票	giriş bileti	Giriş bileti pahalı değil.	tiketi ya kuingia	Tiketi ya kuingia si ghali.	ingresso	O ingresso não é caro.	boleto de entrada	El boleto de entrada no es caro.	giriş bileti	Giriş bileti baha deyil.	kirish chiptasi	Kirish chiptasi qimmat emas.
403:面1	面1	面	yan; yüzey; yer bildiren ek	Dışarıda yağmur yağıyor.	upande; uso; kiambishi cha mahali	Nje mvua inanyesha.	lado; superfície; sufixo de lugar	Está chovendo lá fora.	lado; superficie; sufijo de lugar	Está lloviendo afuera.	tərəf; səth; yer bildirən sonluq	Çöldə yağış yağır.	tomon; sirt; joy bildiruvchi qo'shimcha	Tashqarida yomg'ir yog'yapti.
404:名	名	名	kişiler için ölçü sözü	Bu bir öğretmen.	kihesabu cha watu	Huyu ni mwalimu mmoja.	classificador para pessoas	Este é um professor.	clasificador para personas	Este es un maestro.	insanlar üçün say sözü	Bu bir müəllimdir.	odamlar uchun hisob so'zi	Bu bitta o'qituvchi.
406:那么	那么	那么	o kadar; öyle	O o kadar meşgul değil.	kiasi hicho; hivyo	Yeye hana shughuli nyingi kiasi hicho.	tão; desse jeito	Ele não está tão ocupado.	tan; de esa manera	Él no está tan ocupado.	o qədər; elə	O qədər məşğul deyil.	shunchalik; shunday	U shunchalik band emas.
407:那样	那样	那样	öyle; o şekilde	Öyle söyleme.	hivyo; namna hiyo	Usiseme hivyo.	desse jeito; assim	Não fale desse jeito.	así; de esa manera	No digas eso así.	elə; o cür	Elə demə.	unday; o'sha tarzda	Unday demang.
408:奶茶	奶茶	奶茶	sütlü çay	Sütlü çay içmek istiyorum.	chai ya maziwa	Ninataka kunywa chai ya maziwa.	chá com leite	Quero tomar chá com leite.	té con leche	Quiero tomar té con leche.	südlü çay	Südlü çay içmək istəyirəm.	sutli choy	Men sutli choy ichmoqchiman.
410:男孩儿	男孩儿	男孩儿	erkek çocuk	O erkek çocuk koşuyor.	mvulana	Mvulana yule anakimbia.	menino	Aquele menino está correndo.	niño	Ese niño está corriendo.	oğlan uşağı	O oğlan qaçır.	o'g'il bola	U bola yuguryapti.
412:女孩儿	女孩儿	女孩儿	kız çocuk	O kız çocuk dans etmeyi seviyor.	msichana	Msichana yule anapenda kucheza dansi.	menina	Aquela menina gosta de dançar.	niña	A esa niña le gusta bailar.	qız uşağı	O qız rəqs etməyi sevir.	qiz bola	U qiz raqsga tushishni yaxshi ko'radi.
414:跑	跑	跑	koşmak	O çok hızlı koşar.	kukimbia	Anakimbia haraka sana.	correr	Ele corre muito rápido.	correr	Él corre muy rápido.	qaçmaq	O çox sürətlə qaçır.	yugurmoq	U juda tez yuguradi.
421:球	球	球	top	Bu top kırmızı.	mpira	Mpira huu ni mwekundu.	bola	Esta bola é vermelha.	pelota; balón	Esta pelota es roja.	top	Bu top qırmızıdır.	to'p	Bu to'p qizil.
423:肉	肉	肉	et	Et yemem.	nyama	Sili nyama.	carne	Não como carne.	carne	No como carne.	ət	Ət yemirəm.	go'sht	Men go'sht yemayman.
424:商场	商场	商场	alışveriş merkezi	Alışveriş merkezinde çok insan var.	kituo cha maduka	Kuna watu wengi kwenye kituo cha maduka.	shopping center; centro comercial	Há muita gente no shopping center.	centro comercial	Hay mucha gente en el centro comercial.	ticarət mərkəzi	Ticarət mərkəzində çox adam var.	savdo markazi	Savdo markazida odam ko'p.
425:上来	上来	上来	yukarı gelmek	Lütfen yukarı gel.	kupanda kuja juu	Tafadhali panda uje juu.	subir; vir para cima	Por favor, suba.	subir; venir arriba	Por favor, sube.	yuxarı gəlmək	Zəhmət olmasa yuxarı gəl.	yuqoriga chiqib kelmoq	Iltimos, yuqoriga chiqing.
426:上面	上面	上面	üstünde; yukarıda	Kitap masanın üstünde.	juu; upande wa juu	Kitabu kiko juu ya meza.	em cima; acima	O livro está em cima da mesa.	encima; arriba	El libro está encima de la mesa.	üstündə; yuxarıda	Kitab masanın üstündədir.	ustida; yuqorida	Kitob stol ustida.
427:上去	上去	上去	yukarı çıkmak	Hadi yukarı çıkıp bakalım.	kupanda kwenda juu	Tupande juu tuangalie.	subir; ir para cima	Vamos subir e dar uma olhada.	subir; ir arriba	Subamos a ver.	yuxarı qalxmaq	Gəlin yuxarı qalxıb baxaq.	yuqoriga chiqmoq	Keling, yuqoriga chiqib ko'ramiz.
431:时	时	时	zaman; o sırada	O zaman okuldaydım.	wakati	Wakati huo nilikuwa shuleni.	tempo; quando	Naquele momento, eu estava na escola.	tiempo; cuando	En ese momento estaba en la escuela.	vaxt; o zaman	O vaxt məktəbdə idim.	vaqt; o payt	O'sha payt men maktabda edim.
433:手	手	手	el	Ellerim çok soğuk.	mkono	Mikono yangu ni baridi sana.	mão	Minhas mãos estão muito frias.	mano	Tengo las manos muy frías.	əl	Əllərim çox soyuqdur.	qo'l	Qo'llarim juda sovuq.
435:书包	书包	书包	okul çantası	Okul çantam büyük.	mkoba wa shule	Mkoba wangu wa shule ni mkubwa.	mochila escolar	Minha mochila escolar é grande.	mochila escolar	Mi mochila escolar es grande.	məktəb çantası	Məktəb çantam böyükdür.	maktab sumkasi	Mening maktab sumkam katta.
438:虽然	虽然	虽然	rağmen; her ne kadar	Yağmur yağsa da dışarı çıkmam gerekiyor.	ingawa	Ingawa mvua inanyesha, bado nahitaji kutoka.	embora	Embora esteja chovendo, ainda preciso sair.	aunque	Aunque está lloviendo, todavía necesito salir.	baxmayaraq; hərçənd	Yağış yağsa da, yenə çölə çıxmalıyam.	garchi	Garchi yomg'ir yog'ayotgan bo'lsa ham, tashqariga chiqishim kerak.
441:踢	踢	踢	tekme atmak	Futbol oynamayı sever.	kupiga kwa mguu; kucheza mpira	Anapenda kucheza mpira wa miguu.	chutar	Ele gosta de jogar futebol.	patear	Le gusta jugar fútbol.	təpik vurmaq; futbol oynamaq	Futbol oynamağı sevir.	tepmoq	U futbol o'ynashni yaxshi ko'radi.
445:头	头	头	baş	Başım ağrıyor.	kichwa	Kichwa changu kinauma.	cabeça	Minha cabeça está doendo.	cabeza	Me duele la cabeza.	baş	Başım ağrıyır.	bosh	Boshim og'riyapti.
446:外国	外国	外国	yabancı ülke	Yabancı bir ülkede çalışıyor.	nchi ya kigeni	Anafanya kazi katika nchi ya kigeni.	país estrangeiro	Ele trabalha no exterior.	país extranjero	Él trabaja en el extranjero.	xarici ölkə	O xarici ölkədə işləyir.	chet mamlakat	U chet mamlakatda ishlaydi.
447:外面	外面	外面	dışarısı	Dışarısı çok soğuk.	nje	Nje kuna baridi sana.	lá fora	Está muito frio lá fora.	afuera	Hace mucho frío afuera.	çöl	Çöldə çox soyuqdur.	tashqari	Tashqarida juda sovuq.
450:往	往	往	doğru	Lütfen ileri doğru yürü.	kuelekea	Tafadhali tembea mbele.	em direção a	Por favor, caminhe para a frente.	hacia	Por favor, camina hacia adelante.	tərəfə	Zəhmət olmasa irəli tərəf get.	tomon	Iltimos, oldinga yuring.
451:网上	网上	网上	internette; çevrim içi	İnternetten kitap alırım.	mtandaoni; kwenye intaneti	Ninanunua vitabu mtandaoni.	on-line; na internet	Compro livros on-line.	en línea; por internet	Compro libros en línea.	onlayn; internetdə	Kitabları onlayn alıram.	onlayn; internetda	Men kitoblarni onlayn sotib olaman.
452:忘	忘	忘	unutmak	Onun adını unuttum.	kusahau	Nimesahau jina lake.	esquecer	Esqueci o nome dele.	olvidar	Olvidé su nombre.	unutmaq	Onun adını unutdum.	unutmoq	Men uning ismini unutdim.
458:下来	下来	下来	aşağı gelmek	Lütfen aşağı gel.	kushuka	Tafadhali shuka.	descer; vir para baixo	Por favor, desça.	bajar; venir abajo	Por favor, baja.	aşağı gəlmək	Zəhmət olmasa aşağı gəl.	pastga tushib kelmoq	Iltimos, pastga tushing.
459:下面	下面	下面	altında; aşağıda	Kedi masanın altında.	chini	Paka yuko chini ya meza.	embaixo; abaixo	O gato está embaixo da mesa.	debajo; abajo	El gato está debajo de la mesa.	altında; aşağıda	Pişik masanın altındadır.	tagida; pastda	Mushuk stol tagida.
460:下去	下去	下去	aşağı inmek	Hadi aşağı inelim.	kushuka kwenda chini	Tushuke chini.	descer; ir para baixo	Vamos descer.	bajar; ir abajo	Bajemos.	aşağı düşmək	Gəlin aşağı düşək.	pastga tushmoq	Keling, pastga tushamiz.
461:小孩儿	小孩儿	小孩儿	çocuk	Çocuk topla oynuyor.	mtoto	Mtoto anacheza na mpira.	criança	A criança está brincando com uma bola.	niño; niña	El niño está jugando con una pelota.	uşaq	Uşaq topla oynayır.	bola	Bola to'p bilan o'ynayapti.
462:小时候	小时候	小时候	çocukken; çocuklukta	Çocukken Pekin'de yaşadım.	utotoni; nilipokuwa mtoto	Utotoni niliishi Beijing.	quando era criança	Quando eu era criança, morava em Pequim.	cuando era niño	Cuando era niño, vivía en Pekín.	uşaqlıqda; uşaq vaxtı	Uşaqlıqda Pekində yaşayırdım.	bolalikda; kichkinaligimda	Bolaligimda Pekinda yashaganman.
465:姓名	姓名	姓名	ad soyad	Lütfen adını soyadını yaz.	jina kamili	Tafadhali andika jina lako kamili.	nome completo	Por favor, escreva seu nome completo.	nombre completo	Por favor, escribe tu nombre completo.	tam ad	Zəhmət olmasa tam adını yaz.	to'liq ism	Iltimos, to'liq ismingizni yozing.
469:药店	药店	药店	eczane	Eczane hastanenin yanında.	duka la dawa	Duka la dawa liko karibu na hospitali.	farmácia	A farmácia fica ao lado do hospital.	farmacia	La farmacia está junto al hospital.	aptek	Aptek xəstəxananın yanındadır.	dorixona	Dorixona shifoxona yonida.
477:游	游	游	yüzmek	Balık suda yüzüyor.	kuogelea	Samaki anaogelea majini.	nadar	O peixe está nadando na água.	nadar	El pez nada en el agua.	üzmək	Balıq suda üzür.	suzmoq	Baliq suvda suzyapti.
479:有意思	有意思	有意思	ilginç	Bu kitap çok ilginç.	inavutia	Kitabu hiki kinavutia sana.	interessante	Este livro é muito interessante.	interesante	Este libro es muy interesante.	maraqlı	Bu kitab çox maraqlıdır.	qiziqarli	Bu kitob juda qiziqarli.
480:有时	有时	有时	bazen	Bazen okula otobüsle giderim.	wakati mwingine	Wakati mwingine naenda shuleni kwa basi.	às vezes	Às vezes vou à escola de ônibus.	a veces	A veces voy a la escuela en autobús.	bəzən	Bəzən məktəbə avtobusla gedirəm.	ba'zan	Men ba'zan maktabga avtobusda boraman.
481:右	右	右	sağ; sağ taraf	Lütfen sağa bak.	kulia; upande wa kulia	Tafadhali angalia kulia.	direita; lado direito	Por favor, olhe para a direita.	derecha; lado derecho	Por favor, mira a la derecha.	sağ; sağ tərəf	Zəhmət olmasa sağa bax.	o'ng; o'ng tomon	Iltimos, o'ng tomonga qarang.
488:这么	这么	这么	bu kadar; böyle	Bu kitap bu kadar pahalı.	kiasi hiki; namna hii	Kitabu hiki ni ghali kiasi hiki.	tão; tanto	Este livro é tão caro.	tan; tanto	Este libro está tan caro.	bu qədər; belə	Bu kitab bu qədər bahadır.	shuncha; bunday	Bu kitob shuncha qimmat.
489:这样	这样	这样	böyle; bu şekilde	Böyle yapmak iyi.	hivi; namna hii	Kufanya hivi ni vizuri.	assim; deste jeito	Fazer assim é bom.	así; de esta manera	Hacerlo así está bien.	belə; bu cür	Belə etmək yaxşıdır.	shunday; bu tarzda	Shunday qilish yaxshi.
492:周	周	周	hafta	Gelecek hafta Pekin'e gidiyorum.	wiki	Wiki ijayo nitaenda Beijing.	semana	Vou a Pequim na próxima semana.	semana	La próxima semana voy a Pekín.	həftə	Gələn həftə Pekinə gedirəm.	hafta	Keyingi hafta Pekinga boraman.
496:走路	走路	走路	yürümek	Her gün okula yürüyerek giderim.	kutembea	Kila siku naenda shuleni kwa kutembea.	andar; caminhar	Vou a pé para a escola todos os dias.	caminar	Voy caminando a la escuela todos los días.	piyada getmək	Hər gün məktəbə piyada gedirəm.	yurmoq	Men har kuni maktabga piyoda boraman.
497:足球	足球	足球	futbol	O futbol oynuyor.	mpira wa miguu	Anacheza mpira wa miguu.	futebol	Ele está jogando futebol.	fútbol	Él está jugando fútbol.	futbol	O futbol oynayır.	futbol	U futbol o'ynayapti.
499:左	左	左	sol; sol taraf	Lütfen sola git.	kushoto; upande wa kushoto	Tafadhali nenda kushoto.	esquerda; lado esquerdo	Por favor, vire à esquerda.	izquierda; lado izquierdo	Por favor, ve a la izquierda.	sol; sol tərəf	Zəhmət olmasa sola get.	chap; chap tomon	Iltimos, chapga yuring.
