source_headword	UZ	example_UZ
job	ish	Menga yangi ish kerak.
join	qo'shilmoq	Bugun sinfimizga qo'shil.
journey	safar	Safar uzoq.
juice	sharbat	Men apelsin sharbati ichaman.
July	iyul	Biz iyulda sayohat qilamiz.
June	iyun	Maktab iyunda tugaydi.
just	faqat; hozirgina	Menga faqat suv kerak.
keep	saqlamoq	Bu kalitni saqla.
key	kalit	Mening kalitim yo'qoldi.
kilometre	kilometr	Bir kilometr yur.
kind (type)	tur	Senga qanday turdagi musiqa yoqadi?
kitchen	oshxona	Oshxona toza.
know	bilmoq	Men javobni bilaman.
land	yer	Samolyot yerda.
language	til	Ingliz tili bir til.
large	katta	Bu xona katta.
last1 (final)	oxirgi	Bu oxirgi sahifa.
late	kech	Avtobus kechikdi.
later	keyin	Keyin ko'rishamiz.
laugh	kulmoq	Biz birga kulamiz.
learn	o'rganmoq	Men ingliz tilini o'rganaman.
leave	tark etmoq; ketmoq	Eshikni ochiq qoldir.
left	chap	Bu yerda chapga buril.
leg	oyoq	Oyog'im og'riyapti.
lesson	dars	Dars hozir boshlanadi.
let	ruxsat bermoq	Senga yordam berishimga ruxsat ber.
letter	xat; harf	Men xat yozaman.
library	kutubxona	Kutubxona soat to'qqizda ochiladi.
lie1	yotmoq	Iltimos, karavotga yot.
life	hayot	Shahar hayoti band.
like (similar)	kabi	Bu o'yin kabi.
like (find sb/sth pleasant)	yoqtirmoq	Menga bu qo'shiq yoqadi.
line	navbat; chiziq	Navbatda tur.
lion	sher	Sher uxlaydi.
list	ro'yxat	Xarid ro'yxatini tuz.
listen	tinglamoq	O'qituvchini tingla.
little	kichik; oz	Menda oz pul bor.
live1	yashamoq	Men maktab yaqinida yashayman.
local	mahalliy	Bu mahalliy do'kon.
long1	uzun	Yo'l uzun.
look	qaramoq	Rasmga qara.
lose	yo'qotmoq	Chiptangni yo'qotma.
lot	ko'p	Menda ko'p uy vazifasi bor.
love	sevgi; sevmoq	Men oilamni sevaman.
lunch	tushlik	Tushlik tayyor.
