simplified	DA	example_DA
可爱	sød; nuttet	Denne kat er meget sød.
渴	tørstig	Jeg er tørstig og vil gerne drikke vand.
刻	et kvarter; et øjeblik	Klokken er kvart over otte.
客人	en gæst; en kunde	Der kom en gæst hjem til os i dag.
空调	et klimaanlæg	Tænd klimaanlægget, tak.
口	en mund; en slurk; et måleord for mennesker eller dyr	Han tog en slurk vand.
哭	at græde	Hvorfor græder barnet?
裤子	bukser	Disse bukser er nye.
筷子	spisepinde	Jeg kan spise med spisepinde.
蓝	blå	Himlen er blå.
老	gammel; ældre	Min lærer er ikke gammel.
离开	at forlade; at tage væk	Han forlader Beijing i morgen.
礼物	en gave	Dette er en gave til dig.
历史	historie	Jeg kan lide kinesisk historie.
脸	et ansigt	Hendes ansigt er meget rødt.
练习	at øve; en øvelse	Øv dig mere i at tale kinesisk, tak.
辆	et måleord for køretøjer	Der holder en taxa ved døren.
聊天	at snakke; at chatte	Jeg snakker med en ven.
了解	at forstå; at lære at kende	Jeg vil gerne forstå kinesisk kultur.
邻居	en nabo	Min nabo er meget hjertelig.
留学	at studere i udlandet	Hun studerer i Kina.
楼	en bygning; en etage	Kontoret ligger på tredje sal.
绿	grøn	Om foråret bliver træerne grønne.
马	en hest	Den hest løber meget hurtigt.
马上	straks; med det samme	Jeg kommer straks tilbage.
满意	tilfreds	Jeg er meget tilfreds med dette værelse.
帽子	en hat; en hue	Denne hue er meget flot.
米	en meter; ris	Dette bord er to meter langt.
面包	brød	Jeg spiser brød til morgenmad.
明白	at forstå; klar	Jeg forstår, hvad du mener.
拿	at tage; at holde	Tag en bog til mig, tak.
奶奶	en farmor; en bedstemor	Bedstemor kan lide at lytte til musik.
南	syd	Skolen ligger i den sydlige del af byen.
难	svær; vanskelig	Dette spørgsmål er ikke svært.
难过	ked af det	Hun er lidt ked af det i dag.
年级	en klasse; et klassetrin	Min lillesøster går i tredje klasse.
年轻	ung	Denne leder er meget ung.
鸟	en fugl	Der sidder en fugl i træet.
努力	en indsats; at anstrenge sig	Han studerer meget flittigt.
爬山	at bestige et bjerg; at vandre i bjergene	Vi tager på bjergtur i weekenden.
盘子	en tallerken; en bakke	Der står tre tallerkener på bordet.
胖	tyk; buttet	Denne hund er lidt tyk.
啤酒	øl	Far drikker ikke øl.
皮鞋	lædersko	Dette par lædersko er dyrt.
瓶子	en flaske	Der er vand i flasken.
其实	faktisk; egentlig	Faktisk kan jeg ikke lide øl.
其他	anden; andre	Alle de andre klassekammerater er kommet.
奇怪	mærkelig	Den lyd er meget mærkelig.
骑	at ride; at cykle	Han cykler på arbejde hver dag.
起飞	at lette	Flyet letter snart.
起来	at rejse sig; op; begynde	Rejs jer op, tak.
清楚	klar; tydelig	Du talte meget tydeligt.
请假	at bede om fri	Han er forkølet og må bede om fri.
秋	efterår	Om efteråret er vejret behageligt.
裙子	en nederdel	Denne nederdel er meget flot.
然后	så; derefter	Først spiser jeg, og så laver jeg lektier.
热情	varm; entusiastisk	Kinesiske venner er meget hjertelige.
认为	at mene; at synes	Jeg synes, denne metode er god.
认真	alvorlig; omhyggelig	Lyt omhyggeligt til læreren, tak.
容易	let; nem	Dette kinesiske tegn er let at skrive.
如果	hvis	Hvis det regner, tager vi metroen.
伞	en paraply	Det regner; tag en paraply med, tak.
上网	at gå på nettet	Om aftenen går jeg på nettet for at tjekke kortet.
声音	en stemme; en lyd	Din stemme lyder smuk.
生气	vred; at blive vred	Bliv ikke vred; det var ikke med vilje.
世界	en verden	Verden er meget stor.
试	at prøve	Jeg vil gerne prøve dette par lædersko.
瘦	tynd; slank	Han er tyndere end før.
叔叔	en onkel	Onkel kører mig i skole.
舒服	behagelig; at have det godt	Denne stol er behagelig.
数学	matematik	Matematiktimen er interessant.
树	et træ	Der står et træ foran huset.
刷牙	at børste tænder	Jeg børster tænder hver morgen.
双	et par; dobbelt	Jeg købte et par lædersko.
水平	et niveau; en færdighed	Hans kinesiskniveau er højt.
司机	en chauffør	Chaufføren venter på os ved døren.
太阳	solen	Solen er stærk i dag.
特别	særlig; især	Denne udsendelse er særlig interessant.
疼	at gøre ondt; smertefuld	Mit ben gør ondt.
提高	at forbedre; at hæve	Mere øvelse kan forbedre kinesiskniveauet.
体育	idræt; sport	Jeg kan lide idrætstimen.
甜	sød	Denne drik er for sød.
条	et måleord for lange ting; et stykke	Jeg købte en nederdel.
同事	en kollega	Min kollega har meget travlt.
同意	at være enig; at godkende	Jeg er enig i din beslutning.
头发	hår	Hendes hår er langt.
突然	pludselig	Han gik pludselig.
图书馆	et bibliotek	Biblioteket er ikke åbent i dag.
腿	et ben	Efter bjergturen gjorde mine ben ondt.
完成	at færdiggøre; at afslutte	Jeg er allerede færdig med lektierne.
碗	en skål	Der står to skåle på bordet.
万	ti tusind; utallige	Der bor ti tusind mennesker i denne by.
忘记	at glemme	Glem ikke at tage passet med.
为	for; på grund af	Jeg er glad på dine vegne.
为了	for at; af hensyn til	Han repeterer hver dag på grund af eksamen.
位	et høfligt måleord for mennesker	Denne lærer er meget berømt.
文化	en kultur	Jeg vil gerne forstå kinesisk kultur.
西	vest	Banken ligger vest for skolen.
习惯	en vane; at være vant til	Jeg er vant til at træne om morgenen.
洗手间	et toilet	Toilettet er til højre.
洗澡	at gå i bad	Jeg går i bad om aftenen.
夏	sommer	Sommeren er meget varm.
先	først; før	Du spiser først.
相信	at tro	Jeg tror, han kommer.
香蕉	en banan	Jeg købte tre bananer.
像	at ligne; at være som	Denne sky ligner en fugl.
向	mod; i retning af	Gå til venstre, tak.
小心	at passe på; forsigtig	Det regner; pas på på vejen.
校长	en skoleleder	Skolelederen er på kontoret.
新闻	nyheder	Far ser nyheder hver dag.
新鲜	frisk	Disse frugter er meget friske.
信用卡	et kreditkort	Kan jeg betale med kreditkort?
行李箱	en kuffert	Min kuffert er tung.
熊猫	en panda	Børn kan lide at se pandaer.
需要	at have brug for; at behøve	Jeg har brug for din hjælp.
选择	at vælge; et valg	Hvilken skjorte vælger du?
要求	at kræve; at bede om	Læreren beder os om at lave lektierne omhyggeligt.
爷爷	en farfar; en bedstefar	Bedstefar går i parken hver dag.
一直	hele tiden; konstant	Han har ventet på dig længe.
一定	bestemt; helt sikkert	Jeg kommer helt sikkert.
一共	i alt	Hvor meget koster disse bøger i alt?
一会儿	et øjeblik; en kort stund	Vent på mig et øjeblik, tak.
一样	ens; samme	Disse to kopper er lige store.
以前	før; tidligere	Før boede jeg i Beijing.
一般	almindelig; gennemsnitlig	Maden på denne restaurant er gennemsnitlig.
一边	en side; samtidig	Han lytter til musik, mens han laver lektier.
音乐	musik	Jeg kan lide kinesisk musik.
银行	en bank	Banken ligger ved siden af supermarkedet.
饮料	en drik	Denne drik smager godt.
应该	burde; skulle	Du burde hvile dig mere.
影响	en påvirkning; at påvirke	Vejret påvirker kampen.
用	at bruge	Jeg bruger en pc til at lave lektier.
游戏	et spil	Børnene leger.
有名	berømt	Denne restaurant er meget berømt.
又	igen; også	Han kom for sent igen i dag.
遇到	at møde; at støde på	Jeg mødte læreren på gaden.
元	yuan; en valutaenhed	Denne ordbog koster halvtreds yuan.
愿意	at ville; at være villig	Er du villig til at deltage?
月亮	månen	Månen er klar i aften.
越	jo mere... desto mere...	Jo mere jeg lærer kinesisk, desto mere interessant bliver det.
站	en station; at stå	Han står ved døren.
张	et måleord for flade ting; et ark	Ræk mig et kort, tak.
长	at vokse	Børn vokser hurtigt.
着急	at være bekymret; at være urolig	Bare rolig, elevatoren kommer snart.
照顾	at passe; at tage sig af	Hun passer sin syge bedstemor.
照片	et foto; et fotografi	Dette foto er flot.
照相机	et kamera	Jeg bruger et kamera til at tage billeder.
283:只	kun; bare	Jeg drikker kun én kop te.
284:只	et måleord for dyr	Der er en kat under bordet.
只有…才…	kun hvis... så...	Kun hvis du repeterer grundigt, kan du klare dig godt til eksamen.
中间	midten; imellem	Bordet står midt i værelset.
中文	kinesisk; kinesisk skrift	Jeg lærer kinesisk hver dag.
终于	endelig	Til sidst nåede vi frem.
种	en slags; en type	Hvilken slags drik kan du lide?
重要	vigtig	Et pas er meget vigtigt.
周末	en weekend	Jeg vil i parken i weekenden.
主要	hoved-; vigtigst	Hans vigtigste hobby er musik.
注意	at være opmærksom; at passe på	Vær opmærksom på læreren, tak.
自己	selv	Jeg vil selv lave lektierne.
自行车	en cykel	Min cykel står nedenunder.
总是	altid	Han kommer altid tidligt til kontoret.
嘴	en mund	Åbn munden, tak.
最后	sidst; til sidst	Til sidst var vi alle enige.
最近	for nylig; på det seneste	Jeg har haft travlt på det seneste.
作业	lektier; en opgave	Jeg er ikke færdig med lektierne endnu.
