hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
320:出去	出去	出去	izaći napolje	Želim da izađem u šetnju.	iti ven	Želim iti ven na sprehod.	išeiti į lauką	Noriu išeiti pasivaikščioti.	iet ārā	Es gribu iziet pastaigāties.	välja minema	Ma tahan välja jalutama minna.	fara út	Mig langar að fara út að ganga.
321:床	床	床	krevet	Krevet je u sobi.	postelja	Postelja je v sobi.	lova	Lova yra kambaryje.	gulta	Gulta ir istabā.	voodi	Voodi on toas.	rúm	Rúmið er í herberginu.
322:词	词	词	reč	Ne razumem ovu reč.	beseda	Te besede ne razumem.	žodis	Nesuprantu šio žodžio.	vārds	Es nesaprotu šo vārdu.	sõna	Ma ei saa sellest sõnast aru.	orð	Ég skil ekki þetta orð.
325:从小	从小	从小	od detinjstva	Od detinjstva volim da crtam.	od otroštva	Od otroštva rad rišem.	nuo vaikystės	Nuo vaikystės mėgstu piešti.	no bērnības	Man kopš bērnības patīk zīmēt.	lapsepõlvest peale	Mulle on lapsepõlvest peale meeldinud joonistada.	frá barnæsku	Mér hefur líkað að teikna frá barnæsku.
327:打1	打1	打	telefonirati; pozvati	Zovem tatu.	telefonirati; poklicati	Pokličem očeta.	skambinti	Skambinu tėčiui.	zvanīt	Es zvanu tētim.	helistama	Ma helistan isale.	hringja	Ég hringi í pabba.
328:打车	打车	打车	uzeti taksi	Idemo taksijem na aerodrom.	vzeti taksi	Na letališče gremo s taksijem.	važiuoti taksi	Į oro uostą važiuojame taksi.	ņemt taksometru	Mēs braucam uz lidostu ar taksometru.	taksot võtma	Me võtame lennujaama takso.	taka leigubíl	Við tökum leigubíl á flugvöllinn.
329:打开	打开	打开	otvoriti	Molim te, otvori knjigu.	odpreti	Prosim, odpri knjigo.	atidaryti	Prašau atidaryk knygą.	atvērt	Lūdzu, atver grāmatu.	avama	Palun ava raamat.	opna	Vinsamlegast opnaðu bókina.
330:但	但	但	ali	Zauzet sam, ali sam srećan.	ampak	Sem zaposlen, ampak vesel.	bet	Esu užsiėmęs, bet laimingas.	bet	Es esmu aizņemts, bet priecīgs.	aga	Ma olen hõivatud, aga rõõmus.	en	Ég er upptekinn, en ánægður.
338:动	动	动	pomerati se	Ne pomeraj se.	premikati se	Ne premikaj se.	judėti	Nejudėk.	kustēties	Nekusties.	liikuma	Ära liiguta.	hreyfa sig	Ekki hreyfa þig.
340:飞	飞	飞	leteti	Ptica leti nebom.	leteti	Ptica leti po nebu.	skristi	Paukštis skrenda danguje.	lidot	Putns lido debesīs.	lendama	Lind lendab taevas.	fljúga	Fuglinn flýgur á himninum.
342:高中	高中	高中	srednja škola	Stariji brat uči u srednjoj školi.	srednja šola	Starejši brat se uči v srednji šoli.	vyresnioji vidurinė mokykla	Vyresnysis brolis mokosi vyresniojoje vidurinėje mokykloje.	vidusskola	Vecākais brālis mācās vidusskolā.	gümnaasium	Mu vanem vend õpib gümnaasiumis.	framhaldsskóli	Eldri bróðir minn lærir í framhaldsskóla.
346:公交车	公交车	公交车	autobus	Idem u školu autobusom.	avtobus	V šolo grem z avtobusom.	autobusas	Į mokyklą važiuoju autobusu.	autobuss	Es braucu uz skolu ar autobusu.	buss	Ma sõidan kooli bussiga.	strætó	Ég fer í skólann með strætó.
348:过来	过来	过来	doći ovamo	Molim te, dođi ovamo na trenutak.	priti sem	Prosim, pridi sem za trenutek.	ateiti čia	Prašau ateik čia trumpam.	atnākt šurp	Lūdzu, atnāc šurp uz brīdi.	siia tulema	Palun tule hetkeks siia.	koma hingað	Vinsamlegast komdu hingað í smástund.
349:过年	过年	过年	slavić Novu godinu	Vraćamo se kući da slavimo Novu godinu.	praznovati novo leto	Domov gremo praznovat novo leto.	švęsti Naujuosius metus	Grįžtame namo švęsti Naujųjų metų.	svinēt Jauno gadu	Mēs braucam mājās svinēt Jauno gadu.	uut aastat tähistama	Me läheme koju uut aastat tähistama.	fagna nýju ári	Við förum heim til að fagna nýju ári.
353:黑色	黑色	黑色	crna boja	Crni školski ranac je na krevetu.	črna barva	Črna šolska torba je na postelji.	juoda spalva	Juoda kuprinė yra ant lovos.	melna krāsa	Melnā skolas soma ir uz gultas.	must värv	Must koolikott on voodi peal.	svartur litur	Svarta skólataskan er á rúminu.
354:红茶	红茶	红茶	crni čaj	Mama voli da pije crni čaj.	črni čaj	Mama rada pije črni čaj.	juodoji arbata	Mamai patinka gerti juodąją arbatą.	melnā tēja	Mammai patīk dzert melno tēju.	must tee	Emale meeldib musta teed juua.	svart te	Mömmu finnst gott að drekka svart te.
355:红色	红色	红色	crvena boja	Imam jedan crveni komad odeće.	rdeča barva	Imam en rdeč kos oblačila.	raudona spalva	Turiu raudoną drabužį.	sarkana krāsa	Man ir viens sarkans apģērba gabals.	punane värv	Mul on üks punane riideese.	rauður litur	Ég á eina rauða flík.
361:回来	回来	回来	vratiti se	On se vraća uveče.	vrniti se	Ponoči se vrne.	grįžti	Jis grįžta vakare.	atgriezties	Viņš atgriežas vakarā.	tagasi tulema	Ta tuleb õhtul tagasi.	koma aftur	Hann kemur aftur um kvöldið.
362:回去	回去	回去	vratiti se nazad	Vraćam se posle časa.	iti nazaj	Po pouku grem nazaj.	grįžti atgal	Po pamokos grįžtu atgal.	iet atpakaļ	Pēc stundas es iešu atpakaļ.	tagasi minema	Ma lähen pärast tundi tagasi.	fara til baka	Ég fer til baka eftir tímann.
364:机票	机票	机票	avionska karta	Kupio sam avionsku kartu.	letalska vozovnica	Kupil sem letalsko vozovnico.	lėktuvo bilietas	Nusipirkau lėktuvo bilietą.	lidmašīnas biļete	Es nopirku lidmašīnas biļeti.	lennupilet	Ma ostsin lennupileti.	flugmiði	Ég keypti flugmiða.
366:间	间	间	brojna reč za prostorije	Ovo je jedna učionica.	števnik za prostore	To je ena učilnica.	kambarių skaitiklis	Tai viena klasė.	telpām lietojams skaitītājvārds	Šī ir viena klase.	ruumide loendussõna	See on üks klassiruum.	töluorð fyrir herbergi	Þetta er ein kennslustofa.
372:进来	进来	进来	ući; ući unutra	Molim vas, uđite.	priti noter	Prosim, vstopite.	įeiti	Prašau užeikite.	ienākt	Lūdzu, ienāciet.	sisse tulema	Palun tulge sisse.	koma inn	Vinsamlegast komdu inn.
373:进去	进去	进去	ući unutra	Hajde da uđemo.	iti noter	Pojdimo noter.	eiti vidun	Eikime vidun.	iet iekšā	Iesim iekšā.	sisse minema	Lähme sisse.	fara inn	Förum inn.
375:酒店	酒店	酒店	hotel; smeštaj	Hotel je veoma blizu aerodroma.	hotel; nastanitev	Hotel je zelo blizu letališča.	viešbutis	Viešbutis yra labai arti oro uosto.	viesnīca	Viesnīca ir ļoti tuvu lidostai.	hotell; majutuskoht	Hotell on lennujaamale väga lähedal.	hótel	Hótelið er mjög nálægt flugvellinum.
379:开学	开学	开学	početak škole	Sutra počinje škola.	začetek šole	Jutri se začne šola.	mokslo metų pradžia	Rytoj prasideda mokykla.	skolas sākums	Rīt sākas skola.	kooli algus	Kool algab homme.	skóli byrjar	Skólinn byrjar á morgun.
380:考	考	考	polagati ispit; testirati	Sutra imam ispit iz kineskog.	opravljati izpit; testirati	Jutri imam izpit iz kitajščine.	laikyti egzaminą; tikrinti	Rytoj laikysiu kinų kalbos egzaminą.	kārtot eksāmenu; pārbaudīt	Rīt man ir ķīniešu valodas eksāmens.	eksamit tegema; testima	Mul on homme hiina keele eksam.	taka próf; prófa	Ég er í kínverskuprófi á morgun.
386:快要	快要	快要	uskoro; skoro	Voz uskoro stiže.	kmalu; skoraj	Vlak bo kmalu prispel.	netrukus; beveik	Traukinys netrukus atvyks.	drīz; gandrīz	Vilciens drīz pienāks.	varsti; peaaegu	Rong jõuab varsti kohale.	bráðum; næstum því	Lestin kemur bráðum.
387:篮球	篮球	篮球	košarka	Volim da igram košarku.	košarka	Rad igram košarko.	krepšinis	Mėgstu žaisti krepšinį.	basketbols	Man patīk spēlēt basketbolu.	korvpall	Mulle meeldib korvpalli mängida.	körfubolti	Mér finnst gaman að spila körfubolta.
390:里面	里面	里面	unutra	Knjiga je u školskom rancu.	znotraj	Knjiga je v šolski torbi.	viduje	Knyga yra kuprinės viduje.	iekšā	Grāmata ir skolas somā.	sees	Raamat on koolikotis.	inni	Bókin er inni í skólatöskunni.
393:路上	路上	路上	na putu	Na putu sam.	na poti	Sem na poti.	kelyje; pakeliui	Esu pakeliui.	ceļā	Es esmu ceļā.	teel	Ma olen teel.	á leiðinni	Ég er á leiðinni.
395:绿茶	绿茶	绿茶	zeleni čaj	Tata voli da pije zeleni čaj.	zeleni čaj	Oče rad pije zeleni čaj.	žalioji arbata	Tėčiui patinka gerti žaliąją arbatą.	zaļā tēja	Tētim patīk dzert zaļo tēju.	roheline tee	Isale meeldib rohelist teed juua.	grænt te	Pabba finnst gott að drekka grænt te.
396:绿色	绿色	绿色	zelena boja	Ova šolja je zelena.	zelena barva	Ta skodelica je zelena.	žalia spalva	Šis puodelis yra žalias.	zaļa krāsa	Šī krūze ir zaļa.	roheline värv	See tass on roheline.	grænn litur	Þessi bolli er grænn.
398:没意思	没意思	没意思	dosadan; nezanimljiv	Ovaj film je dosadan.	dolgočasen; nezanimiv	Ta film je dolgočasen.	nuobodus; neįdomus	Šis filmas nuobodus.	garlaicīgs; neinteresants	Šī filma ir garlaicīga.	igav; ebahuvitav	See film on igav.	leiðinlegur; ekki áhugaverður	Þessi mynd er leiðinleg.
401:门口	门口	门口	ulaz; pred vratima	Čekam te na ulazu u školu.	vhod; pri vratih	Čakam te pri vhodu v šolo.	įėjimas; prie durų	Laukiu tavęs prie mokyklos įėjimo.	ieeja; pie durvīm	Es gaidu tevi pie skolas ieejas.	sissepääs; ukse juures	Ma ootan sind kooli sissepääsu juures.	inngangur; við dyrnar	Ég bíð eftir þér við inngang skólans.
402:门票	门票	门票	ulaznica	Ulaznica nije skupa.	vstopnica	Vstopnica ni draga.	įėjimo bilietas	Įėjimo bilietas nėra brangus.	ieejas biļete	Ieejas biļete nav dārga.	sissepääsupilet	Pilet ei ole kallis.	aðgöngumiði	Aðgöngumiðinn er ekki dýr.
403:面1	面1	面	strana; površina; nastavak za mesto	Napolju pada kiša.	stran; površina; mestna pripona	Zunaj dežuje.	pusė; paviršius; vietos priesaga	Lauke lyja.	puse; virsma; vietas piedēklis	Ārā līst.	külg; pind; kohaliide	Väljas sajab vihma.	hlið; yfirborð; staðarviðskeyti	Það rignir úti.
404:名	名	名	brojna reč za ljude	Ovo je jedan učitelj.	števnik za osebe	To je en učitelj.	žmonių skaitiklis	Tai vienas mokytojas.	cilvēku skaitītājvārds	Šis ir viens skolotājs.	inimeste loendussõna	See on üks õpetaja.	töluorð fyrir fólk	Þetta er einn kennari.
406:那么	那么	那么	toliko; tako	On nije toliko zauzet.	tako; toliko	On ni tako zaposlen.	taip; tiek daug	Jis nėra toks užsiėmęs.	tik; tā	Viņš nav tik aizņemts.	nii; sel moel	Ta ei ole nii hõivatud.	svo; svona	Hann er ekki svo upptekinn.
407:那样	那样	那样	tako; na taj način	Ne govori tako.	tako; na tak način	Ne govori tako.	taip; tuo būdu	Nesakyk taip.	tā; tādā veidā	Nesaki tā.	niimoodi; sel viisil	Ära ütle nii.	svona; á þann hátt	Ekki segja það svona.
408:奶茶	奶茶	奶茶	čaj s mlekom	Želim da pijem čaj s mlekom.	čaj z mlekom	Želim piti čaj z mlekom.	pieniška arbata	Noriu gerti pienišką arbatą.	tēja ar pienu	Es gribu dzert tēju ar pienu.	piimatee	Ma tahan piimateed juua.	mjólkurte	Mig langar að drekka mjólkurte.
410:男孩儿	男孩儿	男孩儿	dečak	Taj dečak trči.	fant	Tisti fant teče.	berniukas	Tas berniukas bėga.	zēns	Tas zēns skrien.	poiss	See poiss jookseb.	strákur	Þessi strákur hleypur.
412:女孩儿	女孩儿	女孩儿	devojčica	Ta devojčica voli da pleše.	dekle	Tisto dekle rada pleše.	mergaitė	Tai mergaitei patinka šokti.	meitene	Tai meitenei patīk dejot.	tüdruk	Sellele tüdrukule meeldib tantsida.	stelpa	Þessari stelpu finnst gaman að dansa.
414:跑	跑	跑	trčati	On trči veoma brzo.	teči	On teče zelo hitro.	bėgti	Jis bėga labai greitai.	skriet	Viņš skrien ļoti ātri.	jooksma	Ta jookseb väga kiiresti.	hlaupa	Hann hleypur mjög hratt.
421:球	球	球	lopta	Ova lopta je crvena.	žoga	Ta žoga je rdeča.	kamuolys	Šis kamuolys raudonas.	bumba	Šī bumba ir sarkana.	pall	See pall on punane.	bolti	Þessi bolti er rauður.
423:肉	肉	肉	meso	Ne jedem meso.	meso	Ne jem mesa.	mėsa	Nevalgau mėsos.	gaļa	Es neēdu gaļu.	liha	Ma ei söö liha.	kjöt	Ég borða ekki kjöt.
424:商场	商场	商场	tržni centar	U tržnom centru ima mnogo ljudi.	nakupovalno središče	V nakupovalnem središču je veliko ljudi.	prekybos centras	Prekybos centre yra daug žmonių.	tirdzniecības centrs	Tirdzniecības centrā ir daudz cilvēku.	kaubanduskeskus	Kaubanduskeskuses on palju inimesi.	verslunarmiðstöð	Það eru margir í verslunarmiðstöðinni.
425:上来	上来	上来	popeti se ovamo	Molim te, popni se.	priti gor	Prosim, pridi gor.	ateiti aukštyn	Prašau ateik aukštyn.	uznākt augšā	Lūdzu, uznāc augšā.	üles tulema	Palun tule üles.	koma upp	Vinsamlegast komdu upp.
426:上面	上面	上面	gore; na vrhu	Knjiga je na stolu.	zgoraj; na vrhu	Knjiga je na mizi.	viršuje; ant	Knyga yra ant stalo.	augšā; virsū	Grāmata ir uz galda.	üleval; peal	Raamat on laua peal.	ofan á; uppi	Bókin er á borðinu.
427:上去	上去	上去	popeti se	Idemo gore da pogledamo.	iti gor	Pojdimo gor pogledat.	eiti aukštyn	Eikime aukštyn pažiūrėti.	iet augšā	Iesim augšā paskatīties.	üles minema	Lähme üles vaatama.	fara upp	Förum upp og skoðum.
431:时	时	时	vreme; tada	Tada sam bio u školi.	čas; takrat	Takrat sem bil v šoli.	laikas; tada	Tuo metu buvau mokykloje.	laiks; toreiz	Toreiz es biju skolā.	aeg; siis	Sel ajal olin koolis.	tími; þá	Á þeim tíma var ég í skólanum.
433:手	手	手	ruka	Ruke su mi hladne.	roka	Moje roke so hladne.	ranka	Mano rankos šaltos.	roka	Manas rokas ir aukstas.	käsi	Mu käed on külmad.	hönd	Hendurnar mínar eru kaldar.
435:书包	书包	书包	školski ranac	Moj školski ranac je velik.	šolska torba	Moja šolska torba je velika.	mokyklinė kuprinė	Mano mokyklinė kuprinė didelė.	skolas soma	Mana skolas soma ir liela.	koolikott	Mu koolikott on suur.	skólataska	Skólataskan mín er stór.
438:虽然	虽然	虽然	iako	Iako pada kiša, ipak moram da izađem.	čeprav	Čeprav dežuje, moram še vedno ven.	nors	Nors lyja, vis tiek turiu išeiti.	lai gan	Lai gan līst, man joprojām jāiet ārā.	kuigi	Kuigi sajab, pean ikka välja minema.	þótt	Þótt það rigni þarf ég samt að fara út.
441:踢	踢	踢	udariti nogom; šutnuti	Voli da igra fudbal.	brcniti	Rad igra nogomet.	spardyti; spirti	Jam patinka žaisti futbolą.	spert	Viņam patīk spēlēt futbolu.	lööma jalaga	Talle meeldib jalgpalli mängida.	sparka	Honum finnst gaman að spila fótbolta.
445:头	头	头	glava	Boli me glava.	glava	Boli me glava.	galva	Man skauda galvą.	galva	Man sāp galva.	pea	Mul pea valutab.	höfuð	Ég er með höfuðverk.
446:外国	外国	外国	strana zemlja; inostranstvo	Radi u inostranstvu.	tuja država; tujina	Dela v tujini.	užsienio šalis; užsienis	Jis dirba užsienyje.	ārzeme; ārvalsts	Viņš strādā ārzemēs.	välismaa	Ta töötab välismaal.	erlent land; útlönd	Hann vinnur erlendis.
447:外面	外面	外面	napolju	Napolju je hladno.	zunaj	Zunaj je hladno.	lauke	Lauke šalta.	ārā	Ārā ir auksti.	väljas	Väljas on külm.	úti	Það er kalt úti.
450:往	往	往	prema	Molim vas, idite napred.	proti	Prosim, pojdite naprej.	link	Prašau eikite į priekį.	virzienā uz	Lūdzu, ejiet uz priekšu.	suunas	Palun minge edasi.	í átt að	Vinsamlegast gangið áfram.
451:网上	网上	网上	na internetu; onlajn	Kupujem knjige na internetu.	na spletu	Knjige kupujem na spletu.	internete; internetu	Perku knygas internetu.	internetā	Es pērku grāmatas internetā.	internetis; veebis	Ma ostan raamatuid internetist.	á netinu	Ég kaupi bækur á netinu.
452:忘	忘	忘	zaboraviti	Zaboravio sam njegovo ime.	pozabiti	Pozabil sem njegovo ime.	pamiršti	Pamiršau jo vardą.	aizmirst	Es aizmirsu viņa vārdu.	unustama	Ma unustasin tema nime.	gleyma	Ég gleymdi nafninu hans.
458:下来	下来	下来	sići ovamo	Molim te, siđi.	priti dol	Prosim, pridi dol.	nusileisti čia	Prašau nusileisk čia.	nonākt lejā	Lūdzu, nonāc lejā.	alla tulema	Palun tule alla.	koma niður	Vinsamlegast komdu niður.
459:下面	下面	下面	ispod; dole	Mačka je ispod stola.	spodaj; pod	Mačka je pod mizo.	apačioje; po	Katė yra po stalu.	lejā; zem	Kaķis ir zem galda.	all; allpool	Kass on laua all.	undir; niðri	Kötturinn er undir borðinu.
460:下去	下去	下去	sići; ići dole	Hajde da siđemo.	iti dol	Pojdimo dol.	eiti žemyn	Eikime žemyn.	iet lejā	Iesim lejā.	alla minema	Lähme alla.	fara niður	Förum niður.
461:小孩儿	小孩儿	小孩儿	dete	Dete se igra loptom.	otrok	Otrok se igra z žogo.	vaikas	Vaikas žaidžia su kamuoliu.	bērns	Bērns spēlējas ar bumbu.	laps	Laps mängib palliga.	barn	Barnið leikur sér með bolta.
462:小时候	小时候	小时候	u detinjstvu; kad sam bio mali	U detinjstvu sam živeo u Pekingu.	v otroštvu; ko sem bil majhen	V otroštvu sem živel v Pekingu.	vaikystėje; kai buvau mažas	Vaikystėje gyvenau Pekine.	bērnībā; kad biju mazs	Bērnībā es dzīvoju Pekinā.	lapsepõlves; kui olin väike	Lapsepõlves elasin Pekingis.	í æsku; þegar ég var lítill	Ég bjó í Peking þegar ég var barn.
465:姓名	姓名	姓名	ime i prezime	Molim vas, napišite svoje ime i prezime.	ime in priimek	Prosim, napišite svoje ime in priimek.	vardas ir pavardė	Prašau parašykite savo vardą ir pavardę.	vārds un uzvārds	Lūdzu, uzrakstiet savu vārdu un uzvārdu.	täisnimi	Palun kirjutage oma täisnimi.	fullt nafn	Vinsamlegast skrifaðu fullt nafn þitt.
469:药店	药店	药店	apoteka	Apoteka je pored bolnice.	lekarna	Lekarna je poleg bolnišnice.	vaistinė	Vaistinė yra šalia ligoninės.	aptieka	Aptieka ir blakus slimnīcai.	apteek	Apteek on haigla kõrval.	apótek	Apótekið er við hliðina á sjúkrahúsinu.
477:游	游	游	plivati	Riba pliva u vodi.	plavati	Riba plava v vodi.	plaukti	Žuvis plaukia vandenyje.	peldēt	Zivs peld ūdenī.	ujuma	Kala ujub vees.	synda	Fiskurinn syndir í vatninu.
479:有意思	有意思	有意思	zanimljiv	Ova knjiga je veoma zanimljiva.	zanimiv	Ta knjiga je zelo zanimiva.	įdomus	Ši knyga labai įdomi.	interesants	Šī grāmata ir ļoti interesanta.	huvitav	See raamat on väga huvitav.	áhugaverður	Þessi bók er mjög áhugaverð.
480:有时	有时	有时	ponekad	Ponekad idem u školu autobusom.	včasih	Včasih grem v šolo z avtobusom.	kartais	Kartais važiuoju į mokyklą autobusu.	dažreiz	Dažreiz es braucu uz skolu ar autobusu.	mõnikord	Mõnikord sõidan kooli bussiga.	stundum	Stundum fer ég í skólann með strætó.
481:右	右	右	desno; desna strana	Molim vas, pogledajte desno.	desno; desna stran	Prosim, poglejte desno.	dešinė; dešinė pusė	Prašau pažiūrėkite į dešinę.	labā puse	Lūdzu, skatieties pa labi.	parem; parem pool	Palun vaadake paremale.	hægri; hægri hlið	Vinsamlegast horfðu til hægri.
488:这么	这么	这么	ovako; toliko	Ova knjiga je toliko skupa.	tako; toliko	Ta knjiga je tako draga.	taip; tiek	Ši knyga tokia brangi.	tik; tik daudz	Šī grāmata ir tik dārga.	nii; nii palju	See raamat on nii kallis.	svona; svona mikið	Þessi bók er svona dýr.
489:这样	这样	这样	ovako; na ovaj način	Ovako raditi je prilično dobro.	tako; na ta način	Delati tako je precej dobro.	taip; šitaip	Daryti taip yra gana gerai.	šādi; tādā veidā	Šādi darīt ir diezgan labi.	niimoodi; sel viisil	Nii teha on päris hea.	svona; á þennan hátt	Að gera þetta svona er nokkuð gott.
492:周	周	周	nedelja	Sledeće nedelje idem u Peking.	teden	Naslednji teden grem v Peking.	savaitė	Kitą savaitę vykstu į Pekiną.	nedēļa	Nākamnedēļ es braucu uz Pekinu.	nädal	Järgmisel nädalal lähen Pekingisse.	vika	Í næstu viku fer ég til Peking.
496:走路	走路	走路	hodati peške	Svakog dana idem u školu peške.	hoditi peš	Vsak dan grem v šolo peš.	eiti pėsčiomis	Kasdien einu į mokyklą pėsčiomis.	iet kājām	Katru dienu eju uz skolu kājām.	jalgsi käima	Ma käin iga päev jalgsi koolis.	ganga	Ég geng í skólann á hverjum degi.
497:足球	足球	足球	fudbal; fudbalska lopta	On igra fudbal.	nogomet; nogometna žoga	Igra nogomet.	futbolas; futbolo kamuolys	Jis žaidžia futbolą.	futbols; futbola bumba	Viņš spēlē futbolu.	jalgpall; jalgpallipall	Ta mängib jalgpalli.	fótbolti; fótboltakúla	Hann spilar fótbolta.
499:左	左	左	levo; leva strana	Molim vas, skrenite levo.	levo; leva stran	Prosim, zavijte levo.	kairė; kairė pusė	Prašau pasukite į kairę.	kreisā puse	Lūdzu, pagriezieties pa kreisi.	vasak; vasak pool	Palun pöörake vasakule.	vinstri; vinstri hlið	Vinsamlegast beygðu til vinstri.
