simplified	TL	example_TL
采访	interbyuhin; kapanayamin	Kinakapanayam ng reporter ang doktor.
采取	gamitin; ipatupad	Gumamit kami ng bagong paraan.
参考	sanggunian; sumangguni	Pakisangguni ang aklat na ito.
参与	lumahok	Aktibo siyang lumalahok sa mga gawain.
惭愧	nahihiya; napapahiya	Nahihiya ako sa sarili kong pagkakamali.
操场	palaruan; palakasan	Tumatakbo ang mga estudyante sa palaruan.
操心	mag-alala	Huwag kang mag-alala para sa akin.
册	tomo; piraso ng aklat	Bumili ako ng isang tomo ng aklat.
测验	pagsusulit; maikling pagsusulit	May maikling pagsusulit bukas.
曾经	minsan; dati	Minsan akong tumira sa Beijing.
叉子	tinidor	Gumagamit ako ng tinidor sa pagkain ng salad.
差距	agwat; pagkakaiba	May agwat sa pagitan ng lungsod at kanayunan.
插	isaksak; ilagay	Pakiilagay ang mga bulaklak sa plorera.
拆	baklasin; gibain	Ginigiiba ng mga manggagawa ang lumang bahay.
产品	produkto	Maganda ang kalidad ng produktong ito.
产生	lumikha; magdulot	Nagdulot ng bagong epekto ang problemang ito.
常识	karaniwang kaalaman	Karaniwang batayang kaalaman ito.
长途	malayuang; mahabang biyahe	Nakapapagod ang malayuang paglalakbay.
抄	kopyahin; mangopya	Huwag mong kopyahin ang takdang-aralin ng iba.
超级	super; napaka	Ito ay isang supermarket.
朝	dinastiya; korte	Sikat ang Dinastiyang Tang.
潮湿	mahalumigmig; mamasa-masa	Mahalumigmig ang tag-init sa timog.
吵	maingay; mag-ingay	Maingay sa labas.
吵架	mag-away; makipagtalo	Nag-away na naman sila.
炒	igisa; iprito	Ginigisa ni Nanay ang gulay.
车库	garahe	Nasa garahe ang kotse.
车厢	karwahe; bagon ng tren	Tahimik ang bagon na ito.
彻底	ganap; lubusan	Lubusan niyang naunawaan ito.
沉默	tahimik; katahimikan	Nanatili siyang tahimik sa buong oras.
趁	habang; samantalahin	Umalis tayo habang hindi pa madilim.
称	timbangin; tawagin	Pakitimbang ang paketeng ito.
称呼	tawag; tawagin	Hindi ko alam kung paano siya tatawagin.
称赞	purihin	Pinuri ng guro ang kaniyang pag-unlad.
成分	sangkap; bahagi	Payak ang mga sangkap ng gamot na ito.
成果	resulta; bunga	Nagkaroon ng resulta ang proyektong ito.
成就	tagumpay; nagawa	Marami siyang tagumpay sa kaniyang karera.
成立	itaguyod; maitatag	Itinatag ang kumpanya noong nakaraang taon.
成人	nasa hustong gulang	Mas mahal ang tiket ng nasa hustong gulang kaysa tiket ng bata.
成熟	hinog; maygulang	Hinog na ang mga mansanas.
成语	idyoma; kasabihan	Karaniwang ginagamit ang idyomang ito.
成长	lumaki; paglago	Dahan-dahang lumalaki ang bata.
承担	akuin; pasanin	Handa siyang akuin ang responsibilidad.
承认	aminin	Inamin niyang mali siya.
承受	tiisin; kayanin	Hindi ko kaya ang ganito kalaking presyon.
程度	antas; lebel	Mataas ang antas ng kaniyang wikang Tsino.
程序	proseso; pamamaraan	Pakiusap, asikasuhin ito ayon sa proseso.
诚恳	taos-puso; tapat	Taos-puso ang kaniyang saloobin.
吃亏	malugi; mapahamak	Tumingin nang mabuti bago bumili para hindi ka malugi.
持续	magpatuloy; tumagal	Tumagal nang tatlong araw ang ulan.
池塘	maliit na lawa; palaisdaan	Maraming isda sa maliit na lawa.
迟早	maaga o huli	Maiintindihan mo rin iyon maaga o huli.
尺子	panukat; ruler	Pakisukat ito gamit ang panukat.
翅膀	pakpak	Nasugatan ang pakpak ng ibon.
充电器	pang-charge	Sira ang pang-charge ko.
充分	sapat; lubos	Gumawa kami ng sapat na paghahanda.
充满	puno ng	Puno ng tawanan ang silid.
冲	banlawan; padaluyin	Pakibanlawan ng tubig ang tasa.
重复	ulitin; pag-ulit	Huwag ulitin ang parehong pagkakamali.
宠物	alagang hayop	Nag-aalaga siya ng isang alagang aso.
抽屉	dibuhista	Nasa dibuhista ang susi.
抽象	abstrakto	Masyadong abstrakto ang konseptong ito.
丑	pangit	Medyo pangit ang larawang ito.
臭	mabaho	Mabaho ang basura.
出版	ilathala; mapalimbag	Nailathala ang aklat na ito noong nakaraang taon.
出口	labasan; i-export	Nasa unahan ang labasan.
出色	napakahusay; namumukod-tangi	Napakahusay ng kaniyang pagganap.
出示	ipakita	Pakiusap, ipakita ang iyong pasaporte.
出席	dumalo	Dadalo siya sa pulong.
初级	pambaguhan; panimulang antas	Nag-aaral ako ng wikang Tsino sa pambaguhang klase.
除非	maliban kung	Maliban kung uulan, aakyat kami sa bundok bukas.
除夕	bisperas ng Bagong Taon	Sa bisperas ng Bagong Taon, sabay-sabay kumakain ang buong pamilya namin.
处理	asikasuhin; harapin	Aasikasuhin ko ang problemang ito.
传播	kumalat; ipalaganap	Napakabilis kumalat ng balitang ito.
传染	makahawa; nakahahawa	Madaling makahawa ang sipon.
传说	alamat	Isang sinaunang alamat ito.
传统	tradisyon; tradisyonal	Ang Spring Festival ay tradisyonal na pista ng Tsina.
窗帘	kurtina	Pakibukas ang kurtina.
闯	sumugod; lumabag	Hindi sinasadyang lumabag siya sa pulang ilaw.
创造	lumikha	Lumikha ang mga tao ng bagong kasangkapan.
吹	umihip; hipan	Malakas ang ihip ng hangin.
词汇	bokabularyo	Karaniwang ginagamit ang salitang ito.
辞职	magbitiw sa trabaho	Nagpasya siyang magbitiw sa trabaho.
此外	bukod dito	Bukod dito, may isa pa akong tanong.
刺激	nakakakilig; nakakapukaw	Nakakakilig ang larong ito.
次要	pangalawa; hindi pangunahin	Pangalawa lang ang problemang ito.
匆忙	nagmamadali	Nagmamadali siyang umalis ng bahay.
从此	mula noon	Mula noon, araw-araw siyang nag-eehersisyo.
从而	kaya; sa gayon	Nag-aral siya nang mabuti kaya nakapasa siya sa pagsusulit.
从前	dati; noong araw	Dati, walang subway dito.
从事	magtrabaho sa; maging abala sa	Nagtatrabaho siya sa larangan ng edukasyon.
粗糙	magaspang	Magaspang ang papel na ito.
促进	itaguyod; pasiglahin	Nakatutulong ang ehersisyo sa kalusugan.
促使	udyukan; magtulak	Ang pangyayaring ito ang nagtulak sa kaniya na baguhin ang plano.
醋	suka	Nilagyan ng suka ang ulam.
催	madaliin; hikayating magmadali	Minamadali ako ni Nanay na lumabas.
存在	umiral; mayroon	Umiiral pa rin ang problemang ito.
措施	hakbang; hakbangin	Gumawa ang paaralan ng mga hakbang para sa kaligtasan.
答应	pumayag; mangako	Pumayag siyang tulungan ako.
达到	maabot; makamit	Naabot ng kaniyang marka ang pamantayan.
打工	magtrabaho nang hindi buong oras	Sa bakasyon sa tag-init, magtatrabaho siya nang hindi buong oras sa restawran.
打交道	makipag-ugnayan; makitungo	Madalas akong makipag-ugnayan sa mga kliyente.
打喷嚏	bumahing	May sipon siya at palaging bumabahing.
打听	magtanong; mag-usisa	Gusto kong magtanong tungkol sa tiket sa tren.
大方	mapagbigay	Mapagbigay siya pagdating sa paggastos.
大厦	mataas na gusali; malaking gusali	Napakataas ng gusaling iyon.
大象	elepante	Tinitingnan ng mga bata ang mga elepante sa zoo.
大型	malaking sukat; malakihan	Magtatayo rito ng isang malaking mall.
呆	manatili; tulala	Nanatili siya sa bahay at nagbasa.
代表	kumatawan; simbolo	Ang bulaklak na ito ay kumakatawan sa pagkakaibigan.
代替	palitan; humalili	Ako ang hahalili sa kaniya sa pulong ngayon.
待遇	benepisyo; pagtrato	Maganda ang benepisyo sa kumpanyang ito.
贷款	utang; pautang	Nag-apply sila ng pautang sa bahay.
单纯	payak; inosente	Payak ang kaniyang ideya.
单调	monotono; paulit-ulit	Medyo monotono ang trabahong ito.
单独	nag-iisa; mag-isa	Gusto kong makipag-usap sa iyo nang mag-isa.
单位	yunit; institusyon	Nagtatrabaho siya sa isang pampublikong institusyon.
单元	yunit	Ngayon ay pag-aaralan namin ang ikatlong yunit.
担任	gumanap bilang; maging responsable	Siya ang responsable sa gawaing ito.
耽误	maantala; magsayang ng oras	Huwag sayangin ang oras ng lahat.
胆小鬼	duwag	Huwag mo siyang tawaging duwag.
淡	matabang; mahina	Medyo matabang ang sabaw na ito.
当地	lokal; sa lugar na ito	Gusto ng mga lokal ang palengke na ito.
当心	mag-ingat	Madulas ang daan, kaya mag-ingat ka.
挡	harangan	Nakaharang ang kotseng ito sa pasukan.
倒霉	malas	Napakamalas ngayon, nawala ang telepono ko.
导演	direktor; magdirehe	Sikat ang direktor na ito.
导致	magdulot	Nagdulot ng trapiko ang malakas na ulan.
岛屿	isla	Maraming isla ang bansang ito.
到达	dumating	Dumating sa Shanghai ang tren sa tamang oras.
道德	moralidad; asal	Dapat may moralidad ang tao.
道理	katwiran; punto	May katwiran ang sinabi niya.
登记	magrehistro	Pakiusap, magrehistro muna sa tanggapan.
等待	maghintay	Naghihintay kami ng resulta.
等于	katumbas ng	Ang lima dagdag lima ay katumbas ng sampu.
滴	patak	May isang patak ng tubig na nahulog sa mesa.
敌人	kaaway	Hindi sila magkaaway.
的确	talaga; tunay	Talaga namang mahalaga ang bagay na ito.
地道	tunay; autentiko	Nagsasalita siya ng tunay na diyalektong Beijing.
地理	heograpiya	Interesado ako sa heograpiya ng Tsina.
地区	rehiyon; lugar	Napakalamig ng taglamig sa rehiyong ito.
地毯	karpet	May karpet na nakalatag sa sala.
地位	katayuan; posisyon	Mahalaga ang katayuan ng edukasyon sa lipunan.
地震	lindol	Nagkaroon ng lindol dito kagabi.
递	iabot; ipasa	Pakiabot ang liham na ito sa guro.
点心	meryenda; dimsum	Kumain kami ng meryenda sa hapon.
电池	baterya	Kailangan ng laruang ito ng dalawang baterya.
电台	himpilan ng radyo	Siya ang nagtatanghal ng programa sa himpilan ng radyo.
钓	mangisda	Mahilig mangisda si Lolo sa tabi ng ilog.
顶	tuktok; piraso ng sumbrero	Nakasuot siya ng isang itim na sumbrero.
冻	magyelo; ginawin	Sobrang lamig sa labas kaya nagyelo ang tubig.
动画片	kartun; animasyon	Nanonood ng kartun ang mga bata.
洞	butas; kuweba	May maliit na butas sa pader.
豆腐	tokwa	Masarap ang ulam na tokwa na ito.
逗	patawanin; asarin	Napatawa niya ang lahat sa sinabi niya.
独立	malaya; magsarili	Gusto niyang mamuhay nang mag-isa.
独特	natatangi; kakaiba	May natatanging kultura ang lungsod na ito.
度过	gugulin; lampasan	Ginugol namin ang bakasyon sa tabing-dagat.
断	maputol	Naputol ang lubid na ito.
堆	nakasalansan; bunton	Maraming dokumento ang nakasalansan sa mesa.
兑换	palitan ng pera	Gusto kong magpalit ng ilang renminbi.
对比	ihambing; paghahambing	Pakiihambing ang dalawang planong ito.
对待	pakitunguhan	Dapat nating pakitunguhan nang patas ang bawat tao.
对方	kabilang panig; kausap	Pakinggan muna ang opinyon ng kabilang panig.
对手	kalaban	Malakas ang kaniyang kalaban.
对象	paksa; target; partner	Ang paksa ng pag-aaral ay mga estudyante sa unibersidad.
吨	tonelada	Kayang magkarga ng trak na ito ng tatlong tonelada ng kargamento.
蹲	umiskuwat; yumukyok	Naka-squat siya sa lupa habang hinahanap ang susi.
顿	beses; tigil	Sabay kaming kumain ng hapunan.
多亏	salamat sa; mabuti na lang	Salamat sa tulong mo, natapos ko ang gawain.
多余	kalabisan; hindi kailangan	Kalabisan ang pangungusap na ito.
朵	piraso ng bulaklak; bulaklak	May isang bulaklak sa mesa.
躲藏	magtago	Nagtatago ang kuting sa ilalim ng kama.
恶劣	masama; napakasama	Napakasama ng panahon ngayon.
耳环	hikaw	Nakasuot siya ng isang pares ng hikaw.
发表	ipahayag; ilathala	Ipinahayag niya ang kaniyang opinyon sa pulong.
发愁	mag-alala	Huwag mag-alala dahil sa maliit na bagay na ito.
发达	maunlad	Maunlad ang transportasyon sa lungsod na ito.
发抖	manginig	Nanginginig siya sa lamig.
发挥	gamitin; ipamalas	Pakiusap, gamitin ninyo ang inyong imahinasyon.
发明	imbensiyon; imbentuhin	Ang ilaw na de-kuryente ay isang mahalagang imbensiyon.
发票	resibo; invoice	Pakiisyu ako ng resibo.
发言	magsalita; pahayag	Nagsalita siya sa pulong.
罚款	multa; multahan	May multa ang ilegal na pagparada.
法院	hukuman	Ipinasa sa hukuman ang kasong ito.
翻	baligtarin; ilipat ang pahina	Pakibuklat ang aklat sa pahina sampu.
繁荣	maunlad; umuunlad	Unti-unting umuunlad ang ekonomiya.
反而	sa halip; kabaligtaran	Hindi siya nagalit; sa halip, tumawa siya.
反复	paulit-ulit	Kailangang sanayin nang paulit-ulit ang pangungusap na ito.
反应	reaksiyon; tumugon	Mabilis ang kaniyang reaksiyon.
反映	ipakita; sumalamin	Ipinapakita ng ulat na ito ang tunay na kalagayan.
反正	ano pa man; basta	May oras naman ako bukas.
范围	saklaw; hangganan	Huwag lumampas sa saklaw na ito.
方	parisukat; panig	Gumuhit ka ng isang parisukat sa papel.
方案	plano; panukala	Medyo makatwiran ang planong ito.
方式	paraan; istilo	Epektibo ang ganitong paraan ng pag-aaral.
妨碍	hadlangan	Huwag hadlangan ang trabaho ng iba.
仿佛	parang; tila	Parang alam niya ang lahat.
非	hindi; kailangan	Ikaw lang ang makagagawa ng bagay na ito.
肥皂	sabon	Gumamit ng sabon kapag naghuhugas ng kamay.
废话	kalokohan; walang saysay na salita	Huwag nang magsabi ng kalokohan, magsimula na tayo.
分别	maghiwalay; pagkakaiba	Naghiwalay sila sa istasyon.
分布	nakakalat; ipamahagi	Nakakalat ang mga tindahang ito sa buong lungsod.
分配	italaga; ipamahagi	Nagtalaga ang guro ng bagong gawain.
分手	maghiwalay; makipaghiwalay	Naghiwalay sila noong nakaraang taon.
分析	suriin; pagsusuri	Kailangan nating suriin ang dahilan.
纷纷	sunud-sunod; isa-isa	Sunud-sunod na nagpahayag ng pagsang-ayon ang lahat.
奋斗	magsikap; makipaglaban	Dapat magsikap ang mga kabataan para sa kanilang pangarap.
疯狂	baliw; labis-labis	Labis-labis na naghiyawan ang mga tagahanga.
风格	estilo	Natatangi ang estilo ng restawrang ito.
风景	tanawin	Maganda ang tanawin sa bundok.
风俗	kaugalian	May sariling kaugalian ang bawat lugar.
风险	panganib; risk	May tiyak na panganib ang pamumuhunan.
讽刺	tuyain; satirahin	Tinuligsa ng artikulong ito ang mga suliraning panlipunan.
否定	itanggi; negatibo	Itinanggi niya ang pahayag na ito.
否认	itanggi	Itinanggi niyang nagkamali siya.
幅	piraso ng larawan; lapad	May isang larawan na nakasabit sa pader.
扶	alalayan	Pakialalayan ang matanda sa pagtawid ng kalsada.
服装	damit	Nagbebenta ang tindahang ito ng pambatang damit.
辅导	turuan; gabayan	Tinuturuan ng guro ang mga estudyante pagkatapos ng klase.
复制	kopyahin	Pakikopya ang dokumentong ito.
妇女	kababaihan	Nagbibigay ng serbisyo para sa kababaihan ang ospital na ito.
改革	reporma; baguhin	Isinasagawa ng paaralan ang reporma sa pagtuturo.
改进	pagbutihin	Kailangan nating pagbutihin ang kalidad ng serbisyo.
改善	pagbutihin	Nakatutulong ang ehersisyo sa pagtulog.
改正	itama	Pakiitama agad ang mga pagkakamali.
概括	ibuod	Pakiubuod ang nilalaman ng artikulo.
概念	konsepto	Hindi masyadong madaling unawain ang konseptong ito.
盖	takpan; takip	Pakitakpan nang maayos ang tasa.
干脆	tuwiran; mas mabuti pa	Mas mabuti pang huwag ka nang pumunta ngayon.
干燥	tuyo	Tuyo ang taglamig sa hilaga.
感激	magpasalamat; lubos na nagpapasalamat	Lubos akong nagpapasalamat sa tulong mo.
感受	pakiramdam; maramdaman	Nauunawaan ko ang nararamdaman mo.
感想	saloobin; impresyon	Pakiusap, sabihin mo ang iyong saloobin.
赶紧	magmamadali; bilisan	Gabi na, bilisan na nating umalis.
赶快	agad; bilisan	Isara mo agad ang pinto.
干活儿	magtrabaho; gumawa ng pisikal na gawain	Nagtatrabaho siya sa bakuran.
钢铁	bakal	Ang tulay na ito ay gawa sa bakal.
高档	mataas ang uri; de-kalidad	Ito ay isang de-kalidad na hotel.
高级	mataas na antas; masulong	Sumali siya sa masulong na klase sa wikang Tsino.
搞	gumawa; mag-organisa	Anong uri ng gawain ang inoorganisa mo?
告别	magpaalam	Nagpaalam kami sa kaibigan sa paliparan.
格外	lalo na; pambihira	Lalong bughaw ang langit ngayon.
隔壁	katabi; kabilang pinto	May gurong nakatira sa katabi.
个别	iilan; indibiduwal	Iilang estudyante ang hindi pa nagsusumite ng takdang-aralin.
个人	personal; indibiduwal	Ito ang personal kong pananaw.
个性	personalidad	May malakas siyang personalidad.
各自	kani-kaniya	Tinatapos ng lahat ang kani-kaniyang gawain.
根	ugat; piraso ng mahaba at manipis na bagay	May isang kawad sa ilalim ng mesa.
根本	sa lahat; pundamental	Hindi mahirap ang problemang ito sa lahat.
公布	ipahayag; ilathala	Ipinahayag ng paaralan ang resulta ng pagsusulit.
公开	publiko; isapubliko	Pampubliko ang pulong na ito.
公平	patas	Dapat patas ang kompetisyon.
公寓	apartment	Nagrenta siya ng maliit na apartment.
公元	taon sa karaniwang panahon	Ang taong ito ay 2026 sa karaniwang panahon.
公主	prinsesa	Mahilig sa kuwento ng prinsesa ang maliit na batang babae.
功能	gamit; tungkulin	Maraming gamit ang programang ito.
工厂	pabrika	Gumagawa ng kotse ang pabrikang ito.
工程师	inhinyero	Isang inhinyero ang kuya ko.
工具	kasangkapan	Kailangan ng kasangkapan para ayusin ang bisikleta.
工人	manggagawa	Inaayos ng mga manggagawa ang kalsada.
工业	industriya	Pangunahing nakabatay sa industriya ang lungsod na ito.
恭喜	maligayang bati	Maligayang bati sa pagpasa mo sa pagsusulit.
贡献	ambag; mag-ambag	Nagbigay siya ng ambag sa kumpanya.
沟通	komunikasyon; makipag-usap	Napakahalaga ng maayos na komunikasyon.
构成	bumuo; makabuo	Binubuo ng mga bahaging ito ang isang kabuuan.
姑姑	tiya sa panig ng ama	Pupuntahan ko ang tiya ko sa katapusan ng linggo.
姑娘	dalaga; batang babae	Matulungin ang dalagang iyon.
古代	sinaunang panahon	Walang teleponong selular noong sinaunang panahon.
古典	klasiko	Gusto ko ang musikang klasiko.
股票	stock; sapi	Bumili siya ng ilang stock.
骨头	buto	Matigas ang butong ito.
鼓舞	nagpapasigla; magbigay-sigla	Nakapagpapasigla ang balitang ito.
鼓掌	pumalakpak	Pumalakpak ang mga manonood para sa mga artista.
固定	nakatakda; regular	May nakatakda akong oras ng trabaho.
挂号	magparehistro sa ospital	Kailangang magparehistro muna bago magpatingin sa doktor.
乖	mabait; masunurin	Mabait ang batang ito.
拐弯	lumiko	Lumiko sa kanan sa susunod na kanto.
怪不得	kaya pala	Kaya pala pagod na pagod ka.
关闭	isara; patayin	Pakipatay ang kompyuter bago umalis.
官	opisyal	Isang batang opisyal siya.
观察	obserbahan	Inoobserbahan ng doktor ang kalagayan ng pasyente.
观点	pananaw	Sumasang-ayon ako sa pananaw mo.
观念	kaisipan; konsepto	Nagbabago ang kaisipan ng mga kabataan.
管子	tubo	Tumutulo ang tubong ito.
冠军	kampeon	Nakuha niya ang kampeonato sa paligsahan.
光滑	makinis	Napakamakinis ng ibabaw ng mesang ito.
光临	bumisita; dumalaw	Malugod namin kayong tinatanggap sa muli ninyong pagdalaw.
光明	maliwanag; maganda	Maliwanag ang kinabukasan.
光盘	disc; CD	Pakilagay ang mga materyales sa disc.
广场	plasa; liwasan	Maraming tao sa plasa.
广大	malawak; marami	Malugod na tinanggap ng maraming estudyante ang balitang ito.
广泛	malawak	Malawak ang impluwensiya ng aklat na ito.
归纳	ibuod; lagumin	Tinulungan kami ng guro na ibuod ang mahahalagang punto.
规矩	tuntunin; asal	Dapat marunong sumunod sa tuntunin ang mga bata.
规律	kaayusan; regular na takbo	Dapat may regular na takbo ang buhay.
规模	sukat; lawak	Malaki ang sukat ng kumpanyang ito.
规则	patakaran; tuntunin	Malinaw ang mga patakaran ng paligsahan.
柜台	mesang-bayaran; mesa ng serbisyo	Mangyaring magbayad sa mesang-bayaran.
滚	kumulo	Kumukulo na ang tubig.
锅	kaldero; kawali	May mainit na sabaw sa kaldero.
国庆节	Araw ng Pambansang Pagdiriwang	Wala kaming pasok sa Araw ng Pambansang Pagdiriwang.
国王	hari	Nakatira ang hari sa palasyo.
果然	gaya ng inaasahan	Gaya ng inaasahan, dumating siya sa oras.
果实	bunga	Punong-puno ng bunga ang puno.
过分	sobra; labis	Medyo sobra ang hinihingi niya.
过敏	may alerhiya	May alerhiya ako sa pollen.
过期	paso na; lampas na sa petsa	Paso na ang boteng ito ng gatas.
哈	ha	Ha, sa wakas naintindihan ko na.
海关	adwana	Pumila kami sa adwana para sa inspeksyon.
海鲜	pagkaing-dagat	Sariwa ang pagkaing-dagat sa restawrang ito.
喊	sumigaw; tumawag	Huwag sumigaw nang malakas sa silid-aralan.
行业	industriya	Mabilis ang pag-unlad ng industriya ng turismo.
豪华	marangya; luksoso	Nakatira sila sa isang marangyang hotel.
好客	mapagpatuloy	Napakamapagpatuloy ng mga lokal.
好奇	usisero; mausisa	Mausisa ang mga bata tungkol sa mundo.
何必	bakit pa	Bakit pa magalit dahil sa maliit na bagay?
何况	lalo na; bukod pa roon	Malamig ngayon, lalo na at umuulan pa.
合法	legal; naaayon sa batas	Legal ang kontratang ito.
合理	makatwiran	Makatwiran ang presyong ito.
合同	kontrata	Pumirma sila ng isang kontrata.
合影	grupong litrato	Nagpa-grupong litrato kami noong pagtatapos.
合作	magtulungan	Natapos namin ang proyekto sa pagtutulungan.
和平	kapayapaan	Nais ng lahat ang kapayapaan.
核心	puso; sentro	Tiwala ang puso ng pagtutulungan.
恨	magsisi; kamuhian	Nagsisisi siyang hindi siya nagsikap nang mas maaga.
猴子	unggoy	May ilang unggoy sa zoo.
后背	likod	Medyo masakit ang likod niya.
后果	bunga; kahihinatnan	Kailangan mong isipin ang kahihinatnan.
呼吸	huminga	Huminga ka nang malalim.
忽然	bigla	Biglang dumilim ang langit.
忽视	balewalain; pabayaan	Huwag balewalain ang problemang ito.
壶	tsarera; pitsel	May isang tsarera ng tsaa sa mesa.
糊涂	nalilito; malabo ang isip	Medyo nalilito ako ngayon.
胡说	magsalita ng kalokohan	Huwag kang magsalita ng kalokohan; hindi ito totoo.
胡同	eskinita; lumang daanan	Maraming lumang eskinita sa Beijing.
蝴蝶	paruparo	May isang paruparo sa hardin.
花生	mani	Mahilig siyang kumain ng mani.
华裔	may lahing Tsino	Isang manunulat na may lahing Tsino siya.
滑	madulas	Madulas ang sahig, kaya mag-ingat ka.
划	magsagwan	Siya ang responsable sa pagsagwan habang nasa bangka.
化学	kimika	Kimika ang pinag-aralan niya sa unibersidad.
话题	paksa	Interesante ang paksang ito.
怀念	mangulila; alalahanin	Nangungulila ako nang husto sa buhay sa unibersidad.
怀孕	buntis	Tatlong buwan na siyang buntis.
缓解	maibsan; mapagaan	Maaaring maibsan ng pahinga ang stress.
