source_headword	PT-BR	example_PT-BR
discrimination	a discriminação	A lei proíbe a discriminação nas contratações.
dismissal	a demissão	Sua demissão causou revolta pública.
displace	deslocar	A guerra pode deslocar milhares de pessoas.
disposal	o descarte	O descarte de lixo continua sendo um problema local.
dispose	descartar	A empresa deve descartar produtos químicos com segurança.
dispute	a disputa	A disputa durou meses.
disrupt	perturbar	O barulho pode perturbar a concentração.
disruption	a interrupção	A greve causou uma grande interrupção.
dissolve	dissolver	O açúcar se dissolverá no chá quente.
distinction	a distinção	A distinção entre eles é importante.
distinctive	característico	Ela tem uma voz característica.
distort	distorcer	O espelho pode distorcer seu reflexo.
distress	a angústia	A ligação causou grave angústia.
disturbing	perturbador	O documentário mostrou cenas perturbadoras.
divert	desviar	A polícia teve que desviar o trânsito.
divine	divino	A capela tem uma atmosfera divina.
doctrine	a doutrina	O partido rejeitou a velha doutrina.
documentation	a documentação	Conclua a documentação antes do lançamento.
domain	o domínio	O site usa um domínio seguro.
dominance	o domínio	O domínio da equipe durou uma década.
donor	o doador	O doador doou sangue hoje.
dose	a dose	Tome uma dose após o café da manhã.
drain	escoar	A água escoará para o rio.
drift	pairar	A fumaça começou a pairar sobre a estrada.
driving	determinante	A chuva foi o fator principal dos atrasos.
drown	afogar	Nunca nade onde as correntezas possam te afogar.
dual	duplo	O dispositivo tem uma função dupla.
dub	apelidar	Os críticos chamam a cidade de capital cultural.
dumb	idiota	Esse foi um erro idiota.
duo	a dupla	A dupla de comédia fez uma turnê pela Europa.
eager	ansioso	Os alunos estavam ansiosos para começar.
earnings	os lucros	Os lucros da empresa subiram acentuadamente.
ease	a facilidade	A nova estrada aliviará o tráfego.
echo	ecoar	A voz dela ecoou no corredor.
ecological	ecológico	O impacto ecológico permanece incerto.
educator	o educador	O educador projetou um novo curso.
effectiveness	a eficácia	O estudo mediu a eficácia da vacina.
efficiency	a eficiência	Um software melhor aumentou a eficiência.
ego	o ego	O ego dele causou problemas no trabalho.
elaborate	elaborado	A fantasia elaborada levou semanas.
electoral	eleitoral	O sistema eleitoral mudou no ano passado.
elevate	elevar	O prêmio elevará o perfil dela.
eligible	elegível	Apenas residentes são elegíveis para descontos.
elite	a elite	A elite treinou em uma academia privada.
embark	embarcar	Eles vão embarcar em uma longa jornada.
embarrassment	a vergonha	Ele riu para esconder a vergonha.
embassy	a embaixada	A embaixada emitiu novos avisos de viagem.
embed	incorporar	O jornalista vai se incorporar à unidade.
embody	personificar	A estátua parece personificar a coragem.
emergence	o surgimento	O surgimento dos telefones mudou a vida diária.
empirical	empírico	O artigo se baseia em evidências empíricas.
empower	empoderar	A educação pode empoderar as comunidades locais.
enact	promulgar	O parlamento votou para promulgar a reforma.
encompass	abranger	O curso abrangerá a história moderna.
encouragement	o incentivo	O incentivo dela o ajudou a continuar.
encouraging	animador	Os primeiros resultados parecem animadores.
endeavour	a empreitada	O resgate foi uma empreitada difícil.
endless	interminável	O deserto parecia interminável.
endorse	apoiar	O sindicato se recusou a apoiar o candidato.
endorsement	o apoio	O apoio dele impulsionou a campanha dela.
endure	suportar	As plantas podem suportar invernos rigorosos.
enforce	fazer cumprir	A polícia faz cumprir o limite de velocidade.
enforcement	a fiscalização	Uma fiscalização mais rigorosa reduziu o descarte ilegal.
engagement	o engajamento	O engajamento dos alunos melhorou neste semestre.
engaging	cativante	O palestrante deu uma palestra cativante.
enquire	perguntar	Por favor, pergunte na recepção.
enrich	enriquecer	Viajar pode enriquecer sua compreensão.
enrol	matricular-se	Os alunos devem se matricular antes de setembro.
ensue	seguir-se	O caos pode se seguir após o anúncio.
enterprise	a empresa	O empreendimento emprega artistas locais.
enthusiast	o entusiasta	Todo entusiasta do ciclismo conhece esta rota.
entitle	dar direito a	O ingresso dará direito à entrada.
entity	a entidade	A empresa é uma entidade legal separada.
epidemic	a epidemia	A epidemia se espalhou por várias regiões.
equality	a igualdade	O movimento lutou pela igualdade.
equation	a equação	A equação contém duas incógnitas.
erect	erguer	Os trabalhadores vão erguer uma nova cerca.
escalate	escalar	O conflito pode escalar rapidamente.
essence	a essência	O poema captura a essência da infância.
establishment	o sistema	O sistema se opôs à reforma.
eternal	eterno	Eles prometeram amizade eterna.
evacuate	evacuar	Os bombeiros ajudaram os moradores a evacuar com segurança.
evoke	evocar	A música pode evocar lembranças fortes.
evolutionary	evolutivo	O fóssil mostra uma mudança evolutiva.
exaggerate	exagerar	Não exagere sua experiência.
excellence	a excelência	A escola premia a excelência acadêmica.
exceptional	excepcional	Ela demonstrou uma habilidade excepcional.
excess	o excesso	O excesso de água inundou o porão.
exclusion	a exclusão	A exclusão social prejudica os jovens.
exclusive	exclusivo	O clube oferece acesso exclusivo.
exclusively	exclusivamente	Esta sala é usada exclusivamente pelos funcionários.
execute	executar	A equipe executará o plano com cuidado.
execution	a execução	A execução da estratégia levou meses.
exert	exercer	Você deve exercer mais pressão.
exile	o exílio	O escritor viveu no exílio.
expenditure	a despesa	A despesa pública aumentou no ano passado.
experimental	experimental	O tratamento ainda é experimental.
expire	expirar	Meu passaporte vai expirar em breve.
explicit	explícito	As instruções foram explícitas.
explicitly	explicitamente	As regras proíbem explicitamente fumar.
exploitation	a exploração	O relatório expôs a exploração dos trabalhadores.
explosive	explosivo	O dispositivo explosivo foi removido com segurança.
extremist	o extremista	O grupo extremista perdeu apoio.
facilitate	facilitar	O aplicativo facilitará o aprendizado remoto.
faction	a facção	Uma facção se opôs ao líder.
faculty	o corpo docente	O corpo docente aprovou a proposta.
fade	desbotar	A tinta vai desbotar à luz do sol.
fairness	a imparcialidade	A imparcialidade é importante em todas as competições.
fatal	fatal	O acidente causou ferimentos fatais.
fate	o destino	Ninguém sabia seu destino.
favourable	favorável	A crítica foi favorável.
feat	a façanha	Escalar aquele pico foi uma façanha.
feminist	feminista	O movimento feminista mudou o debate público.
fibre	a fibra	Este pão contém fibra extra.
fierce	intenso	A tempestade intensa danificou os telhados.
film-maker	o cineasta	O cineasta respondeu a perguntas depois.
filter	o filtro	O filtro remove a poeira do ar.
fine	a multa	A empresa pagou uma multa.
firearm	a arma de fogo	O policial recuperou uma arma de fogo roubada.
fit	o caimento	Os sapatos novos têm um caimento perfeito.
fixture	a instalação	A lâmpada é uma instalação permanente.
flaw	a falha	O design tem uma falha grave.
flawed	falho	O estudo falho deu resultados falsos.
flee	fugir	As famílias tiveram que fugir dos combates.
fleet	a frota	A companhia aérea renovou sua frota.
flesh	a carne	O espinho perfurou a carne dele.
flexibility	a flexibilidade	O trabalho remoto oferece mais flexibilidade.
flourish	prosperar	As pequenas empresas podem prosperar aqui.
fluid	o líquido	Beba bastante líquido após o exercício.
footage	as imagens	As imagens mostraram a batida.
foreigner	o estrangeiro	O formulário pergunta se você é um estrangeiro.
forge	forjar	Eles tentaram forjar uma nova aliança.
formula	a fórmula	A fórmula resolveu o problema.
formulate	formular	Os cientistas formulam uma nova teoria.
forth	adiante	O rio carregou o barco adiante.
forthcoming	próximo	O próximo relatório explicará tudo.
foster	promover	O programa ajuda a promover a independência.
fragile	frágil	O vaso frágil precisa de manuseio cuidadoso.
franchise	a franquia	O restaurante se tornou uma franquia global.
frankly	francamente	Francamente, precisamos de mais tempo.
frustrated	frustrado	Os trabalhadores se sentiram frustrados com o atraso.
frustrating	frustrante	A conexão lenta era frustrante.
frustration	a frustração	A frustração cresceu durante a reunião.
functional	funcional	A cozinha antiga ainda é funcional.
fundraising	a arrecadação de fundos	A arrecadação de fundos começa na próxima semana.
funeral	o funeral	O funeral aconteceu na sexta-feira.
gallon	o galão	O tanque comporta um galão.
gambling	os jogos de azar	Os jogos de azar são restritos por lei.
gathering	a reunião	A reunião terminou pacificamente.
gaze	o olhar	Ela segurou o olhar dele brevemente.
gear	o equipamento	Arrume o equipamento de segurança antes de escalar.
generic	genérico	A versão genérica custa menos.
genocide	o genocídio	O genocídio deixou um profundo trauma nacional.
glance	a olhada	Ele deu uma olhada rápida.
glimpse	o vislumbre	Tive um vislumbre do mar.
glorious	glorioso	O time desfrutou de uma vitória gloriosa.
glory	a glória	Ela sonhava com a glória olímpica.
governance	a governança	A boa governança requer transparência.
grace	a elegância	Ela aceitou a derrota com elegância.
grasp	compreender	Ele não conseguiu compreender o conceito.
grave (for dead person)	o túmulo	O túmulo estava coberto de flores.
grave (serious)	grave	A situação continua grave.
gravity	a gravidade	A gravidade atrai os objetos em direção à Terra.
grid	a grade	O mapa usa uma grade simples.
grief	o luto	O luto mudou toda a sua família.
grin	sorrir	O menino deu um grande sorriso.
grind	moer	Os trabalhadores moem os grãos todas as manhãs.
grip	a pegada	Mantenha uma pegada firme na corda.
gross	bruto	A renda bruta subiu acentuadamente.
guerrilla	a guerrilha	Os combatentes da guerrilha se esconderam nas colinas.
guidance	a orientação	O guia fornece orientação prática.
guilt	a culpa	Ela sentiu culpa depois de mentir.
gut	o instinto	Confie no seu instinto em escolhas difíceis.
hail	aclamar	Os moradores aclamam o médico como um herói.
halfway	na metade do caminho	Nós paramos na metade do caminho da colina.
halt	parar	O trem parou de repente.
handful	o punhado	Um punhado de voluntários ficou até tarde.
handling	o manuseio	O manuseio adequado evita danos.
handy	útil	Esta ferramenta é útil para reparos.
harassment	o assédio	A empresa investigou as queixas de assédio.
hardware	o hardware	A loja vende hardware de computador.
harmony	a harmonia	O coro cantou em perfeita harmonia.
harsh	severo	O juiz deu uma sentença severa.
harvest	a colheita	A colheita começa em setembro.
haunt	assombrar	A memória continuou a assombrá-lo.
hazard	o perigo	O gelo é um grave perigo na estrada.
heighten	aumentar	O discurso pode aumentar as tensões.
heritage	o patrimônio	O castelo faz parte do patrimônio local.
hierarchy	a hierarquia	A hierarquia do escritório é claramente definida.
high-profile	de grande repercussão	O julgamento de grande repercussão atraiu repórteres.
hint	a dica	Ela me deu uma dica útil.
homeland	a terra natal	Ele retornou à sua terra natal.
hopeful	esperançoso	Os médicos estão esperançosos sobre a recuperação.
horizon	o horizonte	O sol desapareceu no horizonte.
horn	a buzina	A buzina do carro acordou todo mundo.
hostage	o refém	O refém retornou para casa.
hostile	hostil	A multidão se tornou hostil.
hostility	a hostilidade	A hostilidade aberta encerrou as negociações.
humanitarian	humanitário	A missão humanitária entregou comida.
humanity	a humanidade	A humanidade enfrenta desafios compartilhados.
humble	humilde	Ela permaneceu humilde após o sucesso.
hydrogen	o hidrogênio	O hidrogênio queima muito facilmente.
identification	a identificação	A identificação é necessária na entrada.
ideological	ideológico	A disputa tinha raízes ideológicas.
ideology	a ideologia	Sua ideologia moldou cada discurso.
idiot	o idiota	Não chame ninguém de idiota.
ignorance	a ignorância	A ignorância pode espalhar medo.
imagery	as imagens	O poema usa imagens vívidas.
immense	imenso	O projeto exigiu um esforço imenso.
imminent	iminente	Uma tempestade parecia iminente.
implementation	a implementação	A implementação da lei foi lenta.
imprison	prender	O regime tentou prender os críticos.
imprisonment	a prisão	Sua prisão durou cinco anos.
inability	a incapacidade	Sua incapacidade de concentração preocupou os professores.
inadequate	inadequado	O abrigo tinha aquecimento inadequado.
inappropriate	inapropriado	Sua piada foi inapropriada.
incidence	a incidência	A incidência de gripe aumentou.
inclined	inclinado	Ela está inclinada a concordar.
inclusion	a inclusão	A escola promove a inclusão.
