source_headword	KO	example_KO
offence	모욕	그 발언은 심각한 불쾌감을 유발했다.
offend	불쾌하게 하다	누구도 불쾌하게 할 의도는 없었습니다.
offensive	모욕적인	그 포스터에는 모욕적인 언어가 포함되어 있었습니다.
opening	공석	그 일자리 공석은 많은 지원자를 끌어모았습니다.
operate	작동하다	그 기계는 자동으로 작동할 수 있습니다.
opponent	상대	그녀의 상대는 그 정책을 비판했다.
oppose	반대하다	많은 주민들이 그 계획에 반대합니다.
opposed	대립하는	그 단체들은 대립하는 견해를 가졌습니다.
opposition	반대	그 제안은 강한 반대에 부딪혔습니다.
organ	기관	심장은 필수적인 기관입니다.
origin	기원	화재의 원인은 알려지지 않았습니다.
otherwise	그렇지 않으면	지금 떠나세요. 그렇지 않으면 늦을 것입니다.
outcome	결과	그 결과는 모두를 놀라게 했습니다.
outer	바깥쪽의	외벽은 수리가 필요합니다.
outline	개요를 말하다	당신의 주요 주장의 개요를 설명해 주세요.
overall	전반적인	전반적인 결과는 긍정적이었습니다.
owe	빚지다	저는 당신에게 사과해야 합니다.
pace	속도	일정한 속도로 걸으세요.
panel	위원회	위원회는 기후 정책에 대해 논의했습니다.
parliament	의회	의회는 새로운 법을 승인했습니다.
participant	참가자	각 참가자는 양식에 서명했습니다.
partly	부분적으로	지연은 부분적으로 우리의 잘못이었습니다.
passage	단락	답하기 전에 그 지문을 읽으세요.
pension1	연금	그의 연금은 은퇴 후 그를 부양합니다.
permanent	영구적인	그들은 영구적인 해결책이 필요합니다.
permit	허용하다	규칙은 짧은 방문을 허용합니다.
perspective	관점	그녀의 관점에서 보려고 노력하세요.
phase	단계	프로젝트가 마지막 단계에 접어들었습니다.
phenomenon	현상	그 현상은 많은 문화권에서 발생합니다.
philosophy	가치관	그녀의 가치관은 실천적인 행동을 중시합니다.
pile	더미	서류 더미가 책상을 덮고 있었습니다.
pitch	경기장	팀은 경기장을 주의 깊게 준비했습니다.
plain	알기 쉬운	지시 사항은 알기 쉽고 직접적이었습니다.
pointed	날카로운	그는 날카로운 지적을 했습니다.
popularity	인기	그 가수는 온라인에서 인기를 얻었습니다.
pose	제기하다	그 질문은 문제를 일으킬 수 있습니다.
possess	지니다	그 기술을 가진 학생은 거의 없습니다.
potential	잠재력	그 아이디어는 진정한 잠재력을 가지고 있습니다.
praise	칭찬	선생님은 진심 어린 칭찬을 해주었습니다.
pregnant	임신한	그녀는 임신 6개월입니다.
preparation	준비	철저한 준비는 스트레스를 줄여줍니다.
presence	존재	그의 존재가 분위기를 바꾸었습니다.
preserve	보존하다	우리는 이 역사적인 건물을 보존해야 합니다.
prime	주요한	주된 원인은 빈약한 계획이었습니다.
principle	원칙	그 결정은 명확한 원칙을 따랐습니다.
priority	우선순위	안전이 우리의 최우선순위입니다.
privacy	사생활	고객들은 온라인에서의 프라이버시를 기대합니다.
procedure	절차	그 절차는 30분 걸립니다.
proof	증거	행동하기 전에 증거가 필요합니다.
proposal	제안	그 제안은 더 많은 세부 사항이 필요합니다.
propose	제안하다	저는 다른 해결책을 제안합니다.
prospect	전망	실패할지도 모른다는 전망이 그들을 걱정하게 했습니다.
protection	보호	헬멧은 기본적인 보호를 제공합니다.
psychologist	심리학자	심리학자가 테스트 결과를 설명했습니다.
psychology	심리학	그녀는 대학교에서 심리학을 공부합니다.
publication	출판물	그 출판물은 대중의 관심을 끌었습니다.
pupil	학생	각 학생은 새 교과서를 받았습니다.
purchase	구매하다	그들은 매달 비품을 구매합니다.
pure	맑은	물은 맑고 차가웠습니다.
pursue	추구하다	그는 의학 관련 경력을 쌓을 것입니다.
rank	지위	그녀는 고위직을 맡고 있습니다.
rapid	빠른	그 국가는 빠른 성장을 보였습니다.
rapidly	급속히	올해 물가가 급속히 올랐습니다.
raw	날것의	요리사가 생채소를 준비했습니다.
realistic	현실적인	현실적인 마감일을 설정하세요.
reasonable	합리적인	그것은 합리적인 요구처럼 보입니다.
recall	기억해 내다	나는 그의 정확한 말을 기억합니다.
recover	회복하다	그녀는 치료 후 회복될 것입니다.
reduction	축소	그 삭감으로 돈을 절약했습니다.
regard	여기다	많은 사람들이 그녀를 정직하다고 여깁니다.
regional	지역의	오늘 지역 사무소가 문을 닫았습니다.
register	등록하다	회의 전에 등록해 주세요.
regret	후회하다	나는 이전의 결정을 후회합니다.
regulation	규정	새로운 규정은 모든 운전자에게 영향을 미칩니다.
relatively	비교적	시험은 비교적 쉬웠습니다.
relevant	관련된	관련된 세부 사항만 선택하세요.
relief	안도	그 소식은 큰 안도감을 가져다주었습니다.
rely	의지하다	아이들은 어른의 지원에 의지합니다.
remark	발언	그의 발언으로 토론이 끝났다.
representative	대표	대표가 지역 노동자들을 만났다.
reputation	평판	그 호텔은 평판이 좋다.
requirement	요구 사항	경험은 기본적인 요구 사항이다.
rescue	구조하다	그들은 홍수에서 사람들을 구조한다.
reserve	예약하다	우리는 손님을 위해 자리를 예약한다.
resident	주민	각 주민은 통지서를 받았다.
resist	저항하다	압박감을 견뎌내도록 노력해라.
resolve	해결하다	그들은 분쟁을 평화롭게 해결했다.
resort	휴양지	섬의 휴양지는 5월에 문을 열었다.
retain	유지하다	회사는 직원을 유지하고 싶어 한다.
reveal	밝히다	보고서가 진실을 밝힐 것이다.
revolution	혁명	혁명이 나라를 바꿨다.
reward	보상	힘든 일에는 보상이 따른다.
rhythm	리듬	그 노래는 일정한 리듬을 가지고 있다.
rid	없애다	그 오래된 파일들을 치워버려라.
root	근원	문제의 근원은 돈이다.
rub	문지르다	천으로 표면을 문지르세요.
rubber	고무	고무 씰이 누출을 방지한다.
rural	시골의	많은 시골 학교가 지원을 필요로 한다.
rush	서두르다	이 결정을 서두르지 마세요.
satellite	위성	위성이 새로운 이미지를 보냈다.
satisfied	만족하는	고객은 만족스러워 보였다.
satisfy	만족시키다	그 대답은 그를 만족시키지 못했다.
saving	절약	에너지 절약은 월 비용을 줄여준다.
scale	규모	피해 규모가 엄청났다.
scheme	계획	그 제도는 젊은 노동자들을 돕는다.
scream	비명	그들은 밖에서 비명 소리를 들었다.
sector	부문	기술 분야가 성장하고 있다.
secure	안전하게 하다	문을 잠가서 안전하게 하세요.
seek	구하다	그들은 전문가의 조언을 구한다.
select	선택하다	가장 좋은 옵션을 선택하세요.
selection	선택	그 가게는 다양한 선택지를 제공한다.
self	자아	그녀는 진정한 자신을 보여주었다.
senior	선임의	선임 의사가 환자를 진찰했다.
sensitive	민감한	이 주제는 매우 민감하다.
sequence	순서	단계의 순서를 따르세요.
session	시간	교육 과정은 정오에 시작된다.
settle	해결하다	그들은 논쟁을 빨리 해결했다.
severe	심각한	폭풍으로 인해 심각한 홍수가 발생했다.
shade	그늘	그늘에 앉으세요.
shadow	그림자	창문으로 그림자가 스쳐 지나갔다.
shallow	얕은	이 호수는 여기가 얕다.
shame	부끄러움	그는 거짓말을 한 후 부끄러움을 느꼈다.
shelter	대피소	학교는 긴급 대피소를 제공했다.
shock	충격	그 결정은 충격이었다.
shocked	충격을 받은	그녀는 그 소식에 충격을 받은 것 같았다.
shooting	총격	역 근처에서 총격 사건이 발생했다.
shot	슛	우승을 결정지은 슛은 모두를 놀라게 했다.
significant	중요한	그 발견은 중요했다.
significantly	상당히	작년에 비용이 크게 증가했습니다.
silence	침묵	방은 침묵에 빠졌습니다.
silk	실크	그 드레스는 실크로 만들어졌습니다.
sincere	진심 어린	저의 진심 어린 감사를 받아주세요.
slave	노예	그 법은 모든 노예를 해방시켰습니다.
slide	미끄러지다	아이가 미끄럼틀을 타고 내려갔습니다.
slight	약간의	약간의 지연이 있었습니다.
slip	미끄러지다	젖은 바닥에서 미끄러지지 마세요.
slope	비탈	길은 가파른 비탈을 따라 나 있습니다.
solar	태양의	그 집은 태양 에너지를 사용합니다.
somewhat	다소	설명서가 다소 혼란스러웠습니다.
soul	영혼	음악이 그녀의 영혼을 고양시켰습니다.
specialist	전문가	전문의가 환자를 진찰했습니다.
species	종	이 종은 강 근처에 삽니다.
spiritual	영적인	그녀는 영적인 경험을 묘사했습니다.
split	나누다	그들은 청구서를 똑같이 나누었습니다.
sponsor	후원하다	그 회사가 행사를 후원할 것입니다.
stable	안정적인	환자의 상태가 안정적입니다.
stare	빤히 쳐다보다	낯선 사람을 빤히 쳐다보지 마세요.
status	지위	그의 지위가 하루아침에 바뀌었습니다.
steady	꾸준한	일정한 속도를 유지하세요.
steel	강철	그 다리는 강철로 만들어졌습니다.
steep	가파른	언덕이 가파릅니다.
sticky	끈적끈적한	바닥이 끈적끈적합니다.
stiff	뻣뻣한	그의 어깨가 뻣뻣하게 느껴졌습니다.
stock	재고	그 상점에는 재고가 남아 있지 않습니다.
stream	개울	작은 개울이 들판을 가로지릅니다.
stretch	뻗다	비행 후에 다리를 쭉 펴세요.
strict	엄격한	그 학교는 엄격한 규칙이 있습니다.
strike	파업하다	노동자들은 내일 파업할지도 모릅니다.
struggle	고군분투하다	많은 가족들이 집세로 어려움을 겪고 있습니다.
submit	제출하다	금요일까지 양식을 제출하세요.
sum	액수	그 액수는 예상보다 높았습니다.
surgery	수술	수술은 2시간 동안 진행되었습니다.
surround	둘러싸다	키 큰 나무들이 집을 둘러싸고 있습니다.
surrounding	주변의	주변 지역은 조용합니다.
suspect	의심하다	경찰은 한 지역 남성을 의심하고 있습니다.
swear	욕하다	수업 시간에 욕하지 마세요.
sweep	쓸다	손님이 오기 전에 바닥을 쓰세요.
sympathy	동정	그녀는 희생자들에게 동정을 표했습니다.
tale	이야기	할머니는 이상한 이야기를 들려주셨습니다.
tank	탱크	그 탱크에는 깨끗한 물이 들어 있습니다.
tear1	찢다	문서를 찢지 마세요.
tear2	눈물	눈물이 그녀의 뺨을 타고 흘러내렸습니다.
temporary	임시의	사무실은 임시 피난처입니다.
therapy	치료	물리 치료가 그의 회복을 도왔습니다.
threat	위협	그 메시지에는 위협이 포함되어 있었습니다.
threaten	위협하다	폭풍이 농작물을 위협할 수 있습니다.
thus	따라서	도로가 폐쇄되어 우리는 기다렸습니다.
tone	어조	그의 어조는 차분하게 들렸습니다.
tough	힘든	면접은 힘들었다.
transfer	전송하다	그들은 매일 밤 데이터를 전송한다.
transform	바꾸다	새 정책은 서비스를 바꿀 것이다.
transition	전환	전환하는 데 몇 달이 걸렸다.
trial	재판	재판은 다음 주에 시작된다.
tropical	열대의	이곳은 열대 폭풍이 흔하다.
truly	진심으로	당신의 도움에 진심으로 감사합니다.
trust	신뢰	신뢰를 쌓는 데는 시간이 걸린다.
tune	곡	밴드는 경쾌한 곡을 연주했다.
tunnel	터널	터널은 강 아래로 지난다.
ultimately	결국	결국 그 계획은 성공했다.
unconscious	의식이 없는	환자는 의식이 없는 상태로 있었다.
unexpected	예상치 못한	지연은 예상치 못한 일이었다.
unique	독특한	각 디자인은 독특하다.
universe	우주	우주는 팽창하고 있다.
unknown	알려지지 않은	이름은 알려지지 않은 상태로 남아있다.
upper	위쪽의	위쪽 선반이 비어 있다.
upwards	위로	연기가 위로 올라갔다.
urban	도시의	도시 지역은 더 나은 교통이 필요하다.
urge	촉구하다	의사들은 사람들에게 운동할 것을 촉구한다.
vary	다르다	가격은 지역마다 다르다.
vast	광대한	사막은 광대한 지역을 덮고 있다.
venue	장소	그 장소는 500명을 수용할 수 있다.
via	~을 통해	이메일을 통해 문서를 보내주세요.
victory	승리	팀은 승리를 축하했다.
violence	폭력	그 도시는 정치적 폭력을 겪었다.
virtual	가상의	회의는 가상으로 진행된다.
vision	비전	그녀의 비전이 회사를 형성했다.
visual	시각적인	보고서에는 시각적인 예시가 포함되어 있다.
vital	필수적인	물은 생명에 필수적이다.
vitamin	비타민	오렌지에는 비타민 C가 들어있다.
volume	볼륨	볼륨을 줄이세요.
wage	임금	노동자들은 더 높은 임금을 요구했다.
weakness	약점	그 계획에는 한 가지 약점이 있다.
wealth	부	그의 부는 무역에서 나왔다.
wealthy	부유한	부유한 가족이 박물관에 자금을 지원했다.
whereas	반면에	그녀는 차를 좋아하지만 반면에 나는 커피를 더 좋아한다.
wherever	어디든	편안한 곳 어디든 앉으세요.
whisper	속삭이다	의식 중에는 속삭여 주세요.
whom	누구를	누구를 초대했어?
widely	널리	그 책은 널리 읽힌다.
wildlife	야생 동물	그 공원은 지역 야생 동물을 보호한다.
willing	기꺼이 하는	그녀는 기꺼이 도와줄 것이다.
wind2	감다	릴 주위에 케이블을 감으세요.
wire	전선	전선이 두 장치를 연결한다.
wise	현명한	그것은 현명한 선택이었다.
witness	목격자	목격자가 사고를 묘사했다.
wound	상처	상처를 조심스럽게 닦으세요.
wrap	포장하다	선물을 종이로 포장하세요.
zone	구역	이 구역은 차량 통행이 금지되어 있다.
