source_headword	BG	example_BG
challenge	предизвикателство	Този проект е истинско предизвикателство.
champion	шампион	Шампионката благодари на треньора.
channel	канал	Смени канала, моля.
chapter	глава	Прочети следващата глава тази вечер.
charge	такса	Няма такса за деца.
cheat	мамя	Не мами на теста.
cheerful	весел	Тя изглеждаше весела тази сутрин.
chemical	химичен	Химичната миризма беше силна.
chest	гърди	Боляха го гърдите след бягането.
childhood	детство	Помня къщата от детството си.
claim	твърдя	Те твърдят, че продуктът е безопасен.
clause	клауза	Тази клауза променя смисъла.
click	щраквам	Щракни върху синия бутон.
client	клиент	Клиентът поиска повече подробности.
cloth	кърпа	Избърши масата с тази кърпа.
clue	улика	Уликата ни помогна да решим проблема.
coal	въглища	Старият влак използваше въглища.
coin	монета	Тя намери монета на пода.
collection	колекция	Нейната колекция от марки е голяма.
coloured	цветен	Тя носеше цветен шал.
combine	съчетавам	Съчетавай брашното с водата.
commercial	рекламен	Рекламната пауза продължи пет минути.
commit	ангажирам се	Трябва да се ангажираме с плана.
communication	общуване	Доброто общуване предотвратява грешки.
comparison	сравнение	Това сравнение е полезно.
competitive	конкурентен	Пазарът е много конкурентен.
competitor	конкурент	Основният ни конкурент намали цените.
complaint	оплакване	Той подаде оплакване за шума.
complex	сложен	Инструкциите са твърде сложни.
concentrate	съсредоточавам се	Не мога да се съсредоточа при музика.
conclude	приключвам	Сега ще приключим срещата.
conclusion	заключение	Неговото заключение изглеждаше разумно.
confident	уверен	Тя се чувстваше уверена преди интервюто.
confirm	потвърждавам	Потвърди имейл адреса си, моля.
confuse	обърквам	Тези две имена ме объркват.
confused	объркан	Чувствах се объркан от картата.
connection	връзка	Интернет връзката е бавна.
consequence	последствие	Липсата на сън има последствия.
consist	състои се	Ястието се състои от три части.
consume	консумирам	Големите коли консумират повече гориво.
consumer	потребител	Потребителят иска ясна информация.
contact	свързвам се	Свържи се с мен след обяд.
container	контейнер	Сложи супата в контейнер.
content1	съдържание	Съдържанието на курса е полезно.
continuous	непрекъснат	Машината издаваше непрекъснат шум.
contrast	контраст	Контрастът между тях е ясен.
convenient	удобен	Станцията е много удобна.
convince	убеждавам	Той я убеди да опита отново.
costume	костюм	Той носеше пиратски костюм.
cottage	вила	Те наеха малка вила.
cotton	памук	Тази риза е от памук.
countryside	провинция	Разхождахме се из провинцията.
court	съд	Делото стигна до съда.
covered	покрит	Масата беше покрита с документи.
cruel	жесток	Беше жестоко да се смееш.
cultural	културен	Музеят предлага културни събития.
currency	валута	Местната валута е еврото.
current	настоящ	Настоящата ситуация е трудна.
currently	в момента	В момента тя учи в чужбина.
curtain	завеса	Дръпни завесата вечер.
custom	обичай	Този обичай е много стар.
damage	щета	Бурята причини сериозни щети.
decade	десетилетие	Те живяха там едно десетилетие.
decorate	украсявам	Украсяваме стаята заедно.
define	определям	Можеш ли да определиш този термин?
definite	ясен	Нуждаем се от ясен отговор.
definition	определение	Напиши определението в тетрадката.
deliver	доставям	Те доставят храна до дома ни.
departure	заминаване	Часът на заминаване се промени.
despite	въпреки	Въпреки дъжда, вървяхме пеша.
destination	дестинация	Париж беше крайната им дестинация.
determine	определям	Тестовете ще определят нивото ти.
determined	решителен	Тя беше решена да успее.
development	развитие	Развитието на града беше бързо.
diagram	диаграма	Начертай проста диаграма.
diamond	диамант	Пръстенът имаше малък диамант.
difficulty	трудност	Той имаше трудност с вратата.
directly	директно	Моля, говори директно с мен.
dirt	мръсотия	Обувките му бяха покрити с мръсотия.
disadvantage	недостатък	Дългият път е недостатък.
disappointed	разочарован	Тя беше разочарована от резултата.
disappointing	разочароващ	Краят беше разочароващ.
discount	отстъпка	Студентите получават отстъпка тук.
dislike	не харесвам	Не харесвам много силна музика.
divide	разделям	Раздели тортата на парчета.
documentary	документален филм	Гледахме документален филм за космоса.
donate	дарявам	Много хора даряват стари дрехи.
doubt	съмнение	Нямам никакво съмнение за това.
dressed	облечен	Той беше облечен в черно.
drum	барабан	Барабанът се чуваше из цялата стая.
drunk	пиян	Шофьорът беше пиян.
due	с краен срок	Докладът е с краен срок утре.
dust	прах	Старите книги бяха покрити с прах.
duty	дълг	Мой дълг е да помогна.
earthquake	земетресение	Земетресението повреди моста.
eastern	източен	Източното крайбрежие е ветровито.
economic	икономически	Страната има икономически проблеми.
economy	икономика	Икономиката нарасна тази година.
edge	ръб	Стой далеч от ръба.
editor	редактор	Редакторът провери статията.
educate	образовам	Училищата образоват младите хора.
educated	образован	Тя е много образована.
educational	образователен	Играта е образователна.
effective	ефективен	Това лекарство е ефективно.
effectively	ефективно	Той обясни правилото ефективно.
effort	усилие	Твоето усилие имаше значение.
election	избори	Резултатът от изборите беше близък.
element	елемент	Доверието е важен елемент.
embarrassed	засрамен	Той се почувства засрамен след падането.
embarrassing	неудобен	Това беше неудобна грешка.
emergency	спешен случай	При спешен случай звънни на този номер.
emotion	емоция	Страхът е силна емоция.
employment	заетост	Заетостта се увеличи този месец.
encourage	насърчавам	Учителите насърчават студентите да четат.
enemy	враг	Двете страни бяха врагове.
engaged	сгоден	Те се сгодиха миналата пролет.
engineering	инженерство	Тя учи инженерство в университета.
entertain	забавлявам	Певецът ще забавлява гостите.
entertainment	развлечение	Градът предлага развлечения вечер.
entrance	вход	Ще се срещнем при входа.
entry	вход	Входът е безплатен за деца.
environmental	екологичен	Обсъдихме екологични проблеми.
episode	епизод	Последният епизод беше вълнуващ.
equal	равен	Те получават равни заплати.
equally	поравно	Работата е разделена поравно.
escape	избягам	Затворниците се опитаха да избягат.
essential	съществен	Водата е съществена за живота.
eventually	накрая	Накрая намерихме хотела.
examine	преглеждам	Лекарят прегледа ръката ми.
exchange	обмен	Направихме обмен в магазина.
excitement	вълнение	Играта беше пълна с вълнение.
exhibition	изложба	Художествената изложба се открива утре.
expand	разширявам се	Компанията планира да се разшири.
expected	очакван	Очакваните разходи са високи.
expedition	експедиция	Експедицията прекоси пустинята.
experienced	опитен	Тя е опитна медицинска сестра.
explode	експлодирам	Бутилката може да експлодира от топлина.
explore	изследвам	Изследвахме стария град.
explosion	експлозия	Експлозията счупи няколко прозореца.
export	износ	Кафето е важна износна стока.
fairly	доста	Тестът беше доста лесен.
familiar	познат	Лицето й изглеждаше познато.
fancy	имам желание	Имаш ли желание за кафе?
fascinating	очарователен	Историята беше очарователна.
fashionable	модерен	Тези обувки са модерни.
fasten	закопчавам	Закопчай предпазния си колан.
favour	услуга	Можеш ли да ми направиш услуга?
fence	ограда	Оградата обгражда градината.
fighting	бой	Боят приключи на разсъмване.
file	файл	Запази файла, преди да затвориш.
financial	финансов	Той има нужда от финансов съвет.
fitness	физическа форма	Бягането подобрява физическата ти форма.
fixed	фиксиран	Цената е фиксирана.
flag	знаме	Знамето се вееше над училището.
flood	наводнение	Наводнението повреди много къщи.
flour	брашно	Добави брашното в купата.
flow	тече	Реката тече през града.
fold	сгъвам	Сгъни хартията на две.
folk	народен	Народната музика изпълни залата.
force	сила	Вятърът имаше голяма сила.
forever	завинаги	Ще помня това завинаги.
frame	рамка	Снимката има нужда от рамка.
freeze	замръзвам	Водата замръзва през нощта.
frequently	често	Тя често посещава родителите си.
friendship	приятелство	Приятелството им продължи години.
frighten	плаша	Силните шумове плашат детето.
frightened	уплашен	Детето изглеждаше уплашено.
frightening	плашещ	Бурята беше плашеща.
frozen	замръзнал	Езерото беше замръзнало.
fry	пържа	Пържи лука пет минути.
fuel	гориво	Колата има нужда от повече гориво.
function	функция	Този бутон има една функция.
fur	козина	Котката има мека козина.
garage	гараж	Колата е в гаража.
gather	събирам се	Събрахме се около масата.
generally	обикновено	Обикновено тя пристига рано.
generation	поколение	Всяко поколение среща нови проблеми.
generous	щедър	Той е щедър с времето си.
gentle	нежен	Използвай нежен глас.
gentleman	господин	Господинът отвори вратата.
ghost	дух	Историята споменава дух.
giant	гигантски	Гигантският екран изпълни сцената.
glad	радостен	Радвам се, че дойде.
global	глобален	Климатичните промени са глобален проблем.
glove	ръкавица	Загубих една ръкавица.
goods	стоки	Стоките пристигнаха късно.
grade	оценка	Тя получи висока оценка.
graduate	випускник	Той е скорошен випускник.
grain	зърно	Едно зърно ориз падна.
grateful	благодарен	Благодарен съм за подкрепата ти.
growth	растеж	Растението показа постоянен растеж.
guard	пазач	Пазачът провери билетите ни.
guilty	виновен	Той се почувства виновен за лъжата.
hang	закачам	Закачи палтото си тук.
happiness	щастие	Парите не могат да купят щастие.
hardly	едва	Едва те чух.
headline	заглавие	Заглавието привлече вниманието ми.
heating	отопление	Отоплението спря да работи.
heavily	силно	Валя силно цяла нощ.
helicopter	хеликоптер	Хеликоптер кацна наблизо.
highlight	подчертавам	Подчертай основната идея.
highly	високо	Тя е високо уважавана.
hire	наемам	Трябва да наемем кола.
historic	исторически	Посетихме историческа сграда.
historical	исторически	Тя харесва исторически романи.
honest	честен	Моля, дай честен отговор.
horrible	ужасен	Миризмата беше ужасна.
horror	ужас	Той харесва филми на ужасите.
host	домакин	Домакинът поздрави всеки гост.
