hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
542:不久	不久	不久	wkrótce; niedługo	Niedługo potem przeprowadził się do Szanghaju.	binnenkort; niet lang daarna	Niet lang daarna verhuisde hij naar Shanghai.	snart; inte långt därefter	Kort därefter flyttade han till Shanghai.	snart; ikke lenge etter	Ikke lenge etter flyttet han til Shanghai.	snart; ikke længe efter	Ikke længe efter flyttede han til Shanghai.	pian; ei kauan	Pian sen jälkeen hän muutti Shanghaihin.
543:不行	不行	不行	nie da się; nie pasuje	Dzisiaj się nie da. Mam zajęcia.	kan niet; niet goed	Vandaag kan het niet. Ik heb les.	går inte; inte möjligt	I dag går det inte. Jag har lektion.	går ikke; ikke mulig	I dag går det ikke. Jeg har time.	går ikke; ikke muligt	I dag går det ikke. Jeg har undervisning.	ei käy; ei ole mahdollista	Tänään ei käy. Minulla on tunti.
544:才1	才1	才	dopiero; nie wcześniej niż	On wrócił do domu dopiero o dziesiątej.	pas; niet eerder dan	Hij kwam pas om tien uur thuis.	först; inte förrän	Han kom hem först klockan tio.	først; ikke før	Han kom ikke hjem før klokken ti.	først; ikke før	Han kom først hjem klokken ti.	vasta; ei ennen kuin	Hän tuli kotiin vasta kello kymmenen.
548:草地	草地	草地	trawa; trawnik	Dzieci bawią się na trawie.	grasveld; gazon	De kinderen spelen op het gras.	gräs; gräsmatta	Barnen leker på gräset.	gress; plen	Barna leker på gresset.	græs; plæne	Børnene leger på græsset.	nurmi; ruohikko	Lapset leikkivät nurmikolla.
550:查	查	查	sprawdzać; wyszukiwać	Chcę sprawdzić cenę biletu.	controleren; opzoeken	Ik wil de ticketprijs controleren.	kontrollera; slå upp	Jag vill kontrollera biljettpriset.	sjekke; slå opp	Jeg vil sjekke billettprisen.	tjekke; slå op	Jeg vil tjekke billetprisen.	tarkistaa; etsiä	Haluan tarkistaa lipun hinnan.
554:常	常	常	często	On często chodzi do tej księgarni.	vaak	Hij gaat vaak naar die boekwinkel.	ofta	Han går ofta till den bokhandeln.	ofte	Han går ofte til den bokhandelen.	ofte	Han går ofte i den boghandel.	usein	Hän käy usein siinä kirjakaupassa.
555:常见	常见	常见	częsty; powszechny	To jest częste pytanie.	veelvoorkomend; gewoon	Dit is een veelvoorkomende vraag.	vanlig; ofta förekommande	Det här är en vanlig fråga.	vanlig; ofte sett	Dette er et vanlig spørsmål.	almindelig; ofte set	Det er et almindeligt spørgsmål.	yleinen; usein nähty	Tämä on yleinen kysymys.
556:常用	常用	常用	często używany	Telefon jest często używanym narzędziem.	veelgebruikt	Een telefoon is een veelgebruikt hulpmiddel.	vanligt använd	En mobiltelefon är ett vanligt använt verktyg.	vanlig brukt	En telefon er et vanlig brukt verktøy.	almindeligt brugt	En telefon er et almindeligt brugt redskab.	yleisesti käytetty	Puhelin on yleisesti käytetty väline.
557:常常	常常	常常	często; regularnie	Często czytam wieczorem.	vaak; regelmatig	Ik lees vaak 's avonds.	ofta; regelbundet	Jag läser ofta på kvällen.	ofte; regelmessig	Jeg leser ofte om kvelden.	ofte; regelmæssigt	Jeg læser ofte om aftenen.	usein; toistuvasti	Luen usein iltaisin.
564:出院	出院	出院	wyjść ze szpitala	On może dziś wyjść ze szpitala.	uit het ziekenhuis komen	Hij mag vandaag uit het ziekenhuis komen.	skrivas ut från sjukhuset	Han kan skrivas ut från sjukhuset i dag.	skrives ut fra sykehuset	Han kan skrives ut fra sykehuset i dag.	blive udskrevet fra hospitalet	Han kan blive udskrevet fra hospitalet i dag.	päästä sairaalasta	Hän voi päästä tänään sairaalasta.
565:初中	初中	初中	gimnazjum; niższa szkoła średnia	Moja młodsza siostra uczy się w niższej szkole średniej.	middelbare onderbouw; junior high	Mijn jongere zus zit op de onderbouw van de middelbare school.	högstadium; lägre sekundärskola	Min lillasyster går i högstadiet.	ungdomsskole	Min yngre søster går på ungdomsskolen.	udskoling; mellemskole	Min lillesøster går i udskolingen.	yläkoulu	Nuorempi siskoni opiskelee yläkoulussa.
568:春天	春天	春天	wiosna	Nadeszła wiosna i kwiaty zakwitły.	lente	De lente is gekomen en de bloemen zijn opengegaan.	vår	Våren har kommit och blommorna har slagit ut.	vår	Våren har kommet, og blomstene har åpnet seg.	forår	Foråret er kommet, og blomsterne er sprunget ud.	kevät	Kevät on tullut ja kukat ovat puhjenneet kukkaan.
574:大人	大人	大人	dorosły	Dorośli rozmawiają w salonie.	volwassene	De volwassenen praten in de woonkamer.	vuxen	De vuxna pratar i vardagsrummet.	voksen	De voksne prater i stuen.	voksen	De voksne taler i stuen.	aikuinen	Aikuiset juttelevat olohuoneessa.
575:大小	大小	大小	rozmiar	Te dwa ubrania są tego samego rozmiaru.	grootte; maat	Deze twee kledingstukken hebben dezelfde maat.	storlek	Dessa två plagg har samma storlek.	størrelse	Disse to klesplaggene har samme størrelse.	størrelse	De to stykker tøj har samme størrelse.	koko	Nämä kaksi vaatetta ovat samankokoisia.
576:大熊猫	大熊猫	大熊猫	panda wielka	Panda wielka je bambus.	reuzenpanda	De reuzenpanda eet bamboe.	jättepanda	Jättepandan äter bambu.	kjempepanda	Kjempepandaen spiser bambus.	kæmpepanda	Kæmpepandaen spiser bambus.	isopanda	Isopanda syö bambua.
577:大衣	大衣	大衣	płaszcz	Jest zimno, więc zakładam płaszcz.	overjas; mantel	Het is koud, dus ik trek een mantel aan.	överrock; kappa	Det är kallt, så jag tar på mig en överrock.	frakk; kåpe	Det er kaldt, så jeg tar på meg en frakk.	frakke	Det er koldt, så jeg tager en frakke på.	päällystakki; takki	On kylmä, joten puen päällystakin.
583:得	得	得	zdobywać; uzyskać	On pilnie się uczył i w końcu zdobył wysoki wynik.	krijgen; behalen	Hij studeerde hard en behaalde uiteindelijk een hoge score.	få; uppnå	Han studerade hårt och fick till slut höga poäng.	få; oppnå	Han studerte hardt og fikk til slutt høy poengsum.	få; opnå	Han studerede flittigt og fik til sidst en høj score.	saada; saavuttaa	Hän opiskeli ahkerasti ja sai lopulta korkeat pisteet.
584:得到	得到	得到	otrzymać; uzyskać	Otrzymałem pomoc od nauczyciela.	krijgen; ontvangen	Ik kreeg hulp van mijn leraar.	få; ta emot	Jag fick hjälp av min lärare.	få; motta	Jeg fikk hjelp av læreren min.	få; modtage	Jeg fik hjælp fra min lærer.	saada; vastaanottaa	Sain apua opettajaltani.
585:得分	得分	得分	zdobywać punkty; wynik	On zdobył najwięcej punktów w tym meczu.	scoren; score	Hij scoorde de meeste punten in deze wedstrijd.	göra poäng; poäng	Han gjorde flest poäng i den här matchen.	score; poengsum	Han scoret flest poeng i denne kampen.	score; pointtal	Han scorede flest point i denne kamp.	tehdä pisteitä; pistemäärä	Hän teki tässä pelissä eniten pisteitä.
586:的话	的话	的话	jeśli; w takim razie	Jeśli masz czas, chodźmy razem.	als; in dat geval	Als je tijd hebt, gaan we samen.	om; i så fall	Om du har tid går vi tillsammans.	hvis; i så fall	Hvis du har tid, går vi sammen.	hvis; i så fald	Hvis du har tid, går vi sammen.	jos; siinä tapauksessa	Jos sinulla on aikaa, mennään yhdessä.
589:地	地	地	ziemia; grunt	Na tej działce można uprawiać warzywa.	grond; land	Op dit stuk land kun je groenten verbouwen.	mark; jord	Man kan odla grönsaker på den här marken.	jord; grunn	På dette jordstykket kan man dyrke grønnsaker.	jord; grund	På dette stykke jord kan man dyrke grøntsager.	maa; maaperä	Tällä maa-alueella voi kasvattaa vihanneksia.
593:电	电	电	prąd; elektryczność	W pokoju nie ma prądu.	stroom; elektriciteit	Er is geen stroom meer in de kamer.	el; elektricitet	Det finns ingen el i rummet.	strøm; elektrisitet	Det er ikke strøm på rommet.	strøm; elektricitet	Der er ikke mere strøm i rummet.	sähkö	Huoneessa ei ole enää sähköä.
595:电子书	电子书	电子书	e-book; książka elektroniczna	Czytam e-booki na telefonie.	e-book; digitaal boek	Ik lees e-books op mijn telefoon.	e-bok; digital bok	Jag läser e-böcker på mobilen.	e-bok; digital bok	Jeg leser e-bøker på telefonen.	e-bog; digital bog	Jeg læser e-bøger på telefonen.	e-kirja; sähköinen kirja	Luen e-kirjoja puhelimella.
598:东北	东北	东北	północny wschód	Mój dom jest na północnym wschodzie miasta.	noordoost	Mijn huis ligt in het noordoosten van de stad.	nordost	Mitt hem ligger i stadens nordost.	nordøst	Hjemmet mitt ligger nordøst i byen.	nordøst	Mit hjem ligger i byens nordøst.	koillinen	Kotini on kaupungin koillisosassa.
599:东方	东方	东方	wschód; Orient	Słońce wschodzi na wschodzie.	oost; het Oosten	De zon komt op in het oosten.	öst; Orienten	Solen går upp i öster.	øst; Orienten	Solen står opp i øst.	øst; Orienten	Solen står op i øst.	itä; itämaat	Aurinko nousee idästä.
600:东南	东南	东南	południowy wschód	Szkoła jest na południowym wschodzie miasta.	zuidoost	De school ligt in het zuidoosten van de stad.	sydost	Skolan ligger i stadens sydost.	sørøst	Skolen ligger sørøst i byen.	sydøst	Skolen ligger i byens sydøst.	kaakko	Koulu on kaupungin kaakkoisosassa.
601:冬天	冬天	冬天	zima	Zimą jest tu bardzo zimno.	winter; wintertijd	Het is hier in de winter erg koud.	vinter	Det är mycket kallt här på vintern.	vinter	Det er veldig kaldt her om vinteren.	vinter	Her er meget koldt om vinteren.	talvi	Täällä on talvella hyvin kylmä.
602:懂得	懂得	懂得	wiedzieć; rozumieć	On wie, jak troszczyć się o innych.	weten; begrijpen	Hij weet hoe hij voor anderen moet zorgen.	veta; förstå	Han vet hur man tar hand om andra.	vite; forstå	Han vet hvordan man tar vare på andre.	vide; forstå	Han ved, hvordan man tager sig af andre.	tietää; ymmärtää	Hän osaa huolehtia muista.
604:动物园	动物园	动物园	zoo; ogród zoologiczny	W weekend idziemy do zoo.	dierentuin	Wij gaan dit weekend naar de dierentuin.	djurpark	Vi går till djurparken i helgen.	dyrehage	Vi skal i dyrehagen denne helgen.	zoologisk have	Vi tager i zoologisk have i weekenden.	eläintarha	Menemme viikonloppuna eläintarhaan.
606:短裤	短裤	短裤	krótkie spodenki	Latem często noszę krótkie spodenki.	korte broek	Ik draag in de zomer vaak een korte broek.	shorts; kortbyxor	Jag har ofta shorts på sommaren.	shorts; kortbukse	Jeg bruker ofte shorts om sommeren.	shorts; korte bukser	Jeg går ofte i shorts om sommeren.	shortsit; lyhyet housut	Käytän kesällä usein shortseja.
611:而且	而且	而且	i ponadto; a także	Ten sklep jest tani, a obsługa jest dobra.	en bovendien	Deze winkel is goedkoop en de service is goed.	och dessutom	Den här butiken är billig och servicen är bra.	og dessuten	Denne butikken er billig, og servicen er god.	og desuden	Denne butik er billig, og servicen er god.	ja lisäksi	Tämä kauppa on halpa ja palvelu on hyvä.
613:耳机	耳机	耳机	słuchawki	Moje słuchawki leżą na stole.	oortjes; koptelefoon	Mijn oortjes liggen op tafel.	hörlurar	Mina hörlurar ligger på bordet.	øretelefoner; hodetelefoner	Øretelefonene mine ligger på bordet.	øretelefoner; hovedtelefoner	Mine hovedtelefoner ligger på bordet.	kuulokkeet	Kuulokkeeni ovat pöydällä.
620:方便面	方便面	方便面	makaron instant; zupka błyskawiczna	Czasami jem makaron instant.	instantnoedels	Ik eet af en toe instantnoedels.	snabbnudlar	Jag äter snabbnudlar ibland.	instantnudler	Jeg spiser instantnudler av og til.	instantnudler	Jeg spiser sommetider instantnudler.	pikanuudelit	Syön joskus pikanuudeleita.
623:房子	房子	房子	dom; mieszkanie	To mieszkanie jest bardzo czyste.	huis; appartement	Dit appartement is erg schoon.	hus; lägenhet	Den här lägenheten är mycket ren.	hus; leilighet	Denne leiligheten er veldig ren.	hus; lejlighed	Denne lejlighed er meget ren.	talo; asunto	Tämä asunto on hyvin siisti.
625:放假	放假	放假	mieć wolne; mieć wakacje	W przyszłym tygodniu mamy trzy dni wolne.	vrij hebben; vakantie hebben	Volgende week hebben we drie dagen vrij.	ha ledigt; ha lov	Nästa vecka är vi lediga i tre dagar.	ha fri; ha ferie	Neste uke har vi tre dager fri.	have fri; holde ferie	I næste uge har vi tre fridage.	olla vapaalla; olla lomalla	Ensi viikolla meillä on kolme vapaapäivää.
627:放学	放学	放学	kończyć lekcje; po szkole	Po lekcjach idę do biblioteki.	school is uit; na school	Na school ga ik naar de bibliotheek.	sluta skolan; efter skolan	Efter skolan går jag till biblioteket.	slutte på skolen; etter skolen	Etter skolen går jeg til biblioteket.	få fri fra skole; efter skole	Efter skole går jeg på biblioteket.	koulu päättyä; koulun jälkeen	Koulun jälkeen menen kirjastoon.
628:分开	分开	分开	oddzielać; rozdzielać	Proszę, oddziel te książki.	scheiden; apart leggen	Leg deze boeken apart, alsjeblieft.	separera; dela upp	Var snäll och dela upp de här böckerna.	skille; dele opp	Vær så snill å skille disse bøkene.	skille ad; dele op	Del venligst disse bøger op.	erottaa; jakaa erilleen	Erottele nämä kirjat, ole hyvä.
629:风	风	风	wiatr	Dziś jest bardzo wietrznie.	wind; luchtstroom	Het waait vandaag hard.	vind	Det blåser mycket i dag.	vind	Det blåser mye i dag.	vind	Det blæser meget i dag.	tuuli	Tänään on hyvin tuulista.
630:封	封	封	klasyfikator do listów	Otrzymałem jeden list.	telwoord voor brieven	Ik heb een brief ontvangen.	måttsord för brev	Jag fick ett brev.	telleord for brev	Jeg fikk et brev.	måleord for breve	Jeg modtog et brev.	kirjeiden lukusana	Sain yhden kirjeen.
631:夫妻	夫妻	夫妻	małżeństwo; para	Ta para jest bardzo życzliwa.	echtpaar; stel	Dit stel is erg vriendelijk.	äkta par; par	Det här paret är mycket vänligt.	ektepar; par	Dette paret er veldig vennlig.	ægtepar; par	Dette par er meget venligt.	aviopari; pariskunta	Tämä pariskunta on hyvin ystävällinen.
632:服务	服务	服务	obsługiwać; obsługa	W tej restauracji obsługa jest bardzo dobra.	bedienen; serviceverlening	Dit restaurant heeft zeer goede service.	betjäna; service	Den här restaurangen har mycket bra service.	betjene; service	Denne restauranten har veldig god service.	betjene; service	Denne restaurant har meget god service.	palvella; palvelu	Tässä ravintolassa on erittäin hyvä palvelu.
635:该1	该1	该	powinien; pora	Powinniśmy już iść.	moeten; aan de beurt zijn	We moeten nu gaan.	böra; vara dags	Vi bör gå nu.	burde; være på tide	Vi bør gå nå.	burde; være tid til	Vi bør gå nu.	pitäisi; olla aika	Meidän pitäisi lähteä nyt.
638:感到	感到	感到	czuć; poczuć	Czuję się trochę zmęczony.	zich voelen; voelen	Ik voel me een beetje moe.	känna; känna sig	Jag känner mig lite trött.	føle; kjenne	Jeg føler meg litt sliten.	føle; mærke	Jeg føler mig lidt træt.	tuntea; tuntua	Tunnen itseni vähän väsyneeksi.
643:刚刚	刚刚	刚刚	właśnie; przed chwilą	On właśnie wyszedł z klasy.	zojuist; net	Hij is net uit het klaslokaal vertrokken.	nyss; precis	Han lämnade precis klassrummet.	nettopp; akkurat	Han gikk nettopp ut av klasserommet.	lige; netop	Han har lige forladt klasseværelset.	juuri; äsken	Hän lähti juuri luokkahuoneesta.
644:高铁	高铁	高铁	szybka kolej	Jutro jadę szybkim pociągiem do Pekinu.	hogesnelheidstrein	Morgen neem ik de hogesnelheidstrein naar Beijing.	höghastighetståg	I morgon tar jag höghastighetståget till Peking.	høyhastighetstog	I morgen tar jeg høyhastighetstoget til Beijing.	højhastighedstog	I morgen tager jeg højhastighedstoget til Beijing.	suurnopeusjuna	Huomenna menen Pekingiin suurnopeusjunalla.
649:工作日	工作日	工作日	dzień roboczy	W dni robocze wstaję o siódmej rano.	werkdag	Op werkdagen sta ik om zeven uur 's ochtends op.	arbetsdag	På arbetsdagar går jag upp klockan sju på morgonen.	arbeidsdag	På arbeidsdager står jeg opp klokken sju om morgenen.	hverdag; arbejdsdag	På hverdage står jeg op klokken syv om morgenen.	työpäivä	Työpäivinä nousen seitsemältä aamulla.
651:刮	刮	刮	wiać; skrobać	Na zewnątrz wieje silny wiatr.	waaien; schrapen	Buiten waait een sterke wind.	blåsa; skrapa	Det blåser en stark vind ute.	blåse; skrape	Det blåser kraftig ute.	blæse; skrabe	Udenfor blæser der en kraftig vind.	puhaltaa; raapia	Ulkona puhaltaa kova tuuli.
653:关机	关机	关机	wyłączać urządzenie	Podczas lekcji proszę wyłączyć telefon.	uitzetten; afsluiten	Zet je telefoon uit tijdens de les.	stänga av	Stäng av mobilen under lektionen.	slå av; skru av	Slå av telefonen i timen.	slukke; lukke ned	Sluk telefonen i timen.	sammuttaa; sulkea	Sammuta puhelin oppitunnin aikana.
657:关注	关注	关注	zwracać uwagę na; śledzić	Uważnie śledzę naukę mojego dziecka.	aandacht besteden aan; volgen	Ik volg de studie van mijn kind nauwlettend.	uppmärksamma; följa	Jag följer mitt barns studier noga.	følge med på; være opptatt av	Jeg følger nøye med på barnets skolearbeid.	være opmærksom på; følge	Jeg følger nøje mit barns skolearbejde.	seurata; kiinnittää huomiota	Seuraan lapseni opiskelua tarkasti.
659:过节	过节	过节	obchodzić święto	Podczas święta w domu jest bardzo gwarno.	feest vieren	Als we feest vieren, is het thuis erg levendig.	fira en högtid	När vi firar en högtid är det livligt hemma.	feire en høytid	Når vi feirer en høytid, er det livlig hjemme.	fejre en højtid	Når vi fejrer en højtid, er der livligt derhjemme.	viettää juhlaa	Juhlan aikaan kotona on hyvin vilkasta.
661:海	海	海	morze	Chcę pojechać nad morze.	zee	Ik wil naar de kust reizen.	hav	Jag vill resa till havet.	hav	Jeg vil reise til sjøen.	hav	Jeg vil rejse til havet.	meri	Haluan matkustaa meren rannalle.
663:好多	好多	好多	wiele; dużo	W sklepie jest dużo nowych książek.	veel; heel wat	In de winkel zijn veel nieuwe boeken.	många; en hel del	Det finns många nya böcker i butiken.	mange; en god del	Det er mange nye bøker i butikken.	mange; en hel del	Der er mange nye bøger i butikken.	paljon; monta	Kaupassa on paljon uusia kirjoja.
664:好久	好久	好久	długi czas; długo	Długo się nie widzieliśmy.	lange tijd; lang	We hebben elkaar lange tijd niet gezien.	länge; lång tid	Vi har inte setts på länge.	lenge; lang tid	Vi har ikke sett hverandre på lenge.	længe; lang tid	Vi har ikke set hinanden længe.	pitkä aika; kauan	Emme ole nähneet toisiamme pitkään aikaan.
667:河	河	河	rzeka	Ta rzeka jest szeroka.	rivier	Deze rivier is breed.	flod; å	Den här floden är bred.	elv	Denne elven er bred.	flod; å	Denne flod er bred.	joki	Tämä joki on leveä.
670:红绿灯	红绿灯	红绿灯	sygnalizacja świetlna; światła	Patrz na światła, gdy przechodzisz przez ulicę.	verkeerslicht	Kijk naar het verkeerslicht als je de weg oversteekt.	trafikljus	Titta på trafikljuset när du går över vägen.	trafikklys	Se på trafikklyset når du krysser veien.	trafiklys	Kig på trafiklyset, når du går over vejen.	liikennevalo	Katso liikennevaloa, kun ylität tien.
672:后年	后年	后年	za dwa lata	Za dwa lata chcę pojechać do Chin na studia.	over twee jaar; het jaar na volgend jaar	Over twee jaar wil ik in China gaan studeren.	året efter nästa; om två år	Om två år vill jag åka till Kina för att studera.	året etter neste; om to år	Om to år vil jeg dra til Kina for å studere.	året efter næste år; om to år	Om to år vil jeg rejse til Kina for at studere.	kahden vuoden päästä; sitä seuraava vuosi	Kahden vuoden päästä haluan lähteä Kiinaan opiskelemaan.
673:后天	后天	后天	pojutrze	Pojutrze mamy egzamin.	overmorgen	Overmorgen hebben we een examen.	i övermorgon	I övermorgon har vi prov.	i overmorgen	I overmorgen har vi eksamen.	i overmorgen	I overmorgen har vi eksamen.	ylihuomenna	Meillä on koe ylihuomenna.
675:花园	花园	花园	ogród	W ogrodzie jest dużo kwiatów.	tuin	Er zijn veel bloemen in de tuin.	trädgård	Det finns många blommor i trädgården.	hage	Det er mange blomster i hagen.	have	Der er mange blomster i haven.	puutarha	Puutarhassa on paljon kukkia.
676:画家	画家	画家	malarz; artysta	Ten malarz jest bardzo znany.	schilder; kunstenaar	Deze schilder is erg beroemd.	målare; konstnär	Den här målaren är mycket berömd.	maler; kunstner	Denne maleren er veldig kjent.	maler; kunstner	Denne maler er meget kendt.	taidemaalari; taiteilija	Tämä taidemaalari on hyvin kuuluisa.
681:黄色	黄色	黄色	kolor żółty; żółty	Kupiłem żółtą bluzkę.	geel; gele kleur	Ik heb een geel bovenstuk gekocht.	gul färg; gul	Jag köpte en gul överdel.	gul farge; gul	Jeg kjøpte en gul overdel.	gul farve; gul	Jeg købte en gul overdel.	keltainen väri; keltainen	Ostin keltaisen yläosan.
685:或	或	或	albo; lub	Możesz pojechać samochodem albo pójść pieszo.	of; dan wel	Je kunt met de auto gaan of lopen.	eller	Du kan åka bil eller gå.	eller	Du kan kjøre bil eller gå.	eller	Du kan tage bilen eller gå.	tai	Voit mennä autolla tai kävellen.
687:鸡	鸡	鸡	kurczak; kura	U babci hodują kilka kur.	kip; hen	Mijn oma houdt thuis een paar kippen.	kyckling; höna	Hos farmor har de några höns.	kylling; høne	Bestemor har noen høner hjemme.	kylling; høne	Min bedstemor holder nogle høns derhjemme.	kana; broileri	Isoäidin luona pidetään muutamaa kanaa.
691:急	急	急	pilny; niespokojny	Nie spiesz się, samochód jeszcze nie przyjechał.	dringend; bezorgd	Geen haast, de auto is nog niet aangekomen.	brådskande; orolig	Ha inte bråttom, bilen har inte kommit än.	hastende; urolig	Ikke stress, bilen har ikke kommet ennå.	hastende; urolig	Tag det roligt, bilen er ikke kommet endnu.	kiireinen; huolissaan	Älä hätäile, auto ei ole vielä tullut.
692:记	记	记	pamiętać; zapisać	Proszę, zapisz mój numer telefonu.	onthouden; opschrijven	Schrijf mijn telefoonnummer op, alsjeblieft.	komma ihåg; anteckna	Skriv ner mitt telefonnummer, är du snäll.	huske; skrive ned	Vennligst skriv ned telefonnummeret mitt.	huske; skrive ned	Skriv venligst mit telefonnummer ned.	muistaa; merkitä muistiin	Kirjoita puhelinnumeroni muistiin.
