source_headword	TA	example_TA
automatic	தானியங்கி	கதவில் தானியங்கி பூட்டு உள்ளது.
automatically	தானாகவே	விளக்குகள் தானாகவே எரியும்.
awareness	விழிப்புணர்வு	இந்த பிரச்சாரம் மக்கள் மத்தியில் விழிப்புணர்வை ஏற்படுத்தியது.
awkward	சங்கடமான	அந்த அமைதி தர்மசங்கடமாக இருந்தது.
badge	சின்னம்	பார்வையாளர்கள் அடையாள வில்லை அணிய வேண்டும்.
balanced	சமநிலையான	சமநிலையான உணவில் காய்கறிகள் அடங்கும்.
ballet	பாலே	அவள் பள்ளிக்குப் பிறகு பாலே நடனம் கற்கிறாள்.
balloon	பலூன்	பலூன் மேசையின் மேல் மிதந்தது.
barely	அரிதாக	அவருக்கு அறிவிப்பு அரிதாகவே கேட்டது.
bargain	பேரம்	அந்த ஜாக்கெட் மிகவும் மலிவான விலையில் கிடைத்தது.
basement	நிலவறை	பெட்டிகள் அடித்தளத்தில் உள்ளன.
basket	கூடை	அவள் ஆப்பிள்களை கூடையில் போட்டாள்.
bat	மட்டை	வௌவால் குகையிலிருந்து வெளியே பறந்தது.
beneficial	பயனுள்ள	வழக்கமான உடற்பயிற்சி ஆரோக்கியத்திற்கு நன்மையானது.
beside	அருகில்	விளக்கு சோபாவுக்கு அருகில் உள்ளது.
besides	தவிர	அவர் கணிதத்தைத் தவிர வேதியியலும் படிக்கிறார்.
bias	சார்பு	அந்த கட்டுரை தெளிவான சார்பைக் காட்டியது.
bid	ஏலம்	நிறுவனம் அதிக விலைப்புள்ளியை முன்வைத்தது.
biological	உயிரியல்	உயிரியல் பரிசோதனை முடிவை உறுதிப்படுத்தியது.
blanket	போர்வை	குழந்தை போர்வைக்குள் தூங்கியது.
blow	அடி	பலமான அடியால் ஜன்னல் உடைந்தது.
bold	தைரியமான	தலைப்பு தடித்த எழுத்துக்களைப் பயன்படுத்தியது.
bombing	குண்டுவெடிப்பு	குண்டுவீச்சில் பல கட்டிடங்கள் சேதமடைந்தன.
booking	முன்பதிவு	நான் ஹோட்டல் முன்பதிவை உறுதிசெய்தேன்.
boost	ஊக்கம்	வெற்றி அணியின் தன்னம்பிக்கையை உயர்த்தியது.
bound	கட்டப்பட்ட	பார்சல் கயிற்றால் கட்டப்பட்டிருந்தது.
brick	செங்கல்	சுவர் செங்கலால் கட்டப்பட்டுள்ளது.
briefly	சுருக்கமாக	அவள் மதிய உணவிற்குப் பிறகு சுருக்கமாகப் பேசினாள்.
broadcaster	ஒளிபரப்பாளர்	ஒளிபரப்பாளர் மேயரை பேட்டி கண்டார்.
broadly	பரவலாக	இரண்டு திட்டங்களும் பரவலாக ஒரே மாதிரியானவை.
bug	பிழை	ஒரு பிழையால் செயலி செயலிழந்தது.
cabin	சிற்றறை	நாங்கள் ஒரு சிறிய குடிலில் தங்கினோம்.
canal	கால்வாய்	படகுகள் கால்வாய் வழியே மெதுவாக நகர்ந்தன.
candle	மெழுகுவர்த்தி	மெழுகுவர்த்தி மேசையின் மேல் எரிந்தது.
carbon	கார்பன்	மரங்கள் காற்றிலிருந்து கார்பனை உறிஞ்சுகின்றன.
casual	சாதாரண	அவர் வேலைக்கு சாதாரண உடைகளை அணிந்து சென்றார்.
cave	குகை	மலையேறுபவர்கள் குகைக்குள் நுழைந்தனர்.
certainty	நிச்சயம்	நம்மால் நிச்சயமாக அறிய முடியாது.
certificate	சான்றிதழ்	அவள் ஒரு பயிற்சிச் சான்றிதழைப் பெற்றாள்.
challenging	சவாலான	அந்தப் படிப்பு சவாலானதாக இருந்தாலும் பயனுள்ளதாக இருந்தது.
championship	சாம்பியன்ஷிப்	எங்கள் அணி சாம்பியன்ஷிப் இறுதிப் போட்டியை எட்டியது.
charming	கவர்ச்சியான	அந்த பழைய தெரு வசீகரமானதாக காணப்பட்டது.
chase	துரத்தல்	நாய் பந்தை துரத்தியது.
cheek	கன்னம்	அவள் கன்னத்தில் ஒரு கண்ணீர் வடிந்தது.
cheer	உற்சாகம்	கூட்டம் சத்தமாக ஆரவாரம் செய்யத் தொடங்கியது.
choir	பாடகர் குழு	பாடகர் குழு அழகாக பாடியது.
chop	வெட்டு	வெங்காயத்தை சிறிய துண்டுகளாக நறுக்கவும்.
circuit	சுற்று	ஓட்டப்பந்தய வீரர் சுற்றை முடித்தார்.
civilization	நாகரிகம்	பழங்கால நாகரிகம் இந்த பகுதியை வடிவமைத்தது.
clarify	தெளிவுபடுத்து	தயவுசெய்து கடைசி கருத்தை தெளிவுபடுத்துங்கள்.
classify	வகைப்படுத்து	விஞ்ஞானிகள் விலங்குகளை இனங்களாக வகைப்படுத்துகிறார்கள்.
clerk	எழுத்தர்	எழுத்தர் ரசீதை அச்சிட்டார்.
cliff	செங்குத்துப்பகுதி	பாதை ஒரு செங்குத்துப் பாறையின் அருகே முடிகிறது.
clinic	மருத்துவமனை	மருத்துவகம் எட்டு மணிக்கு திறக்கப்படும்.
clip	கிளிப்	அவள் காகிதத்தில் கிளிப்பை இணைத்தாள்.
coincidence	தற்செயல்	அவரை அங்கு சந்தித்தது ஒரு தற்செயல் நிகழ்வு.
collector	சேகரிப்பாளர்	சேகரிப்பவர் அரிய நாணயங்களை வாங்கினார்.
colony	காலனி	எறும்புகள் ஒரு பெரிய காலனியை உருவாக்கின.
colourful	வண்ணமயமான	சந்தை பிரகாசமாகவும் வண்ணமயமாகவும் இருந்தது.
comic	நகைச்சுவை	நகைச்சுவைக் காட்சி எங்களை சிரிக்க வைத்தது.
commander	தளபதி	தளபதி தெளிவான உத்தரவுகளை வழங்கினார்.
comparative	ஒப்பீட்டு	கட்டுரை ஒப்பீட்டு தரவைப் பயன்படுத்துகிறது.
completion	நிறைவு	பாலம் முடிவடையும் நிலையில் உள்ளது.
compose	இயற்று	அவர் படத்திற்கு இசையமைப்பார்.
composer	இசையமைப்பாளர்	இசையமைப்பாளர் ஒரு புதிய பாடலை எழுதினார்.
compound	கலவை	கலவையில் இரண்டு இரசாயனங்கள் உள்ளன.
comprehensive	விரிவான	வழிகாட்டி விரிவான வழிமுறைகளை வழங்குகிறது.
comprise	உள்ளடங்கியுள்ளது	குழுவில் ஐந்து உறுப்பினர்கள் உள்ளனர்.
compulsory	கட்டாய	இந்த வகுப்பிற்கு வருகை கட்டாயமாகும்.
concrete	கான்கிரீட்	தரை கான்கிரீட்டால் ஆனது.
confess	ஒப்புக்கொள்	அவன் தன் தவற்றை ஆசிரியரிடம் ஒப்புக்கொண்டான்.
confusion	குழப்பம்	தாமதம் குழப்பத்தை ஏற்படுத்தியது.
consequently	விளைவாக	மழை பெய்தது; இதன் விளைவாக, போட்டி நிறுத்தப்பட்டது.
conservation	பாதுகாப்பு	பாதுகாப்பு அரிய விலங்குகளைப் பாதுகாக்கிறது.
considerable	கணிசமான	பழுதுபார்க்க கணிசமான நேரம் எடுத்தது.
considerably	கணிசமாக	இந்த ஆண்டு விலைகள் கணிசமாக உயர்ந்தன.
consistently	தொடர்ந்து	அவள் தொடர்ந்து சிறப்பாக செயல்படுகிறாள்.
conspiracy	சதி	சதி குறித்து போலீசார் விசாரணை நடத்தினர்.
consult	ஆலோசனை செய்	மருந்து எடுப்பதற்கு முன் உங்கள் மருத்துவரை அணுகவும்.
consultant	ஆலோசகர்	ஆலோசகர் ஒரு புதிய உத்தியை பரிந்துரைத்தார்.
consumption	நுகர்வு	கடந்த மாதம் ஆற்றல் நுகர்வு குறைந்துள்ளது.
controversial	சர்ச்சைக்குரிய	கொள்கை சர்ச்சைக்குரியதாகவே உள்ளது.
controversy	சர்ச்சை	இந்த முடிவு சர்ச்சையை ஏற்படுத்தியது.
convenience	வசதி	கடை சிறந்த வசதியை வழங்குகிறது.
convention	மரபு	வருடாந்திர மாநாடு திங்களன்று தொடங்குகிறது.
conventional	வழக்கமான	அவர் ஒரு வழக்கமான வடிவமைப்பைத் தேர்ந்தெடுத்தார்.
convey	தெரிவி	செய்தி அனுதாபத்தை தெரிவித்தது.
convincing	நம்பகமான	அவளது விளக்கம் நம்பத்தகுந்ததாக இருந்தது.
cope	சமாளி	அவள் மன அழுத்தத்தை சமாளிக்க கற்றுக்கொண்டாள்.
corporation	நிறுவனம்	நிறுவனம் ஒரு புதிய அலுவலகத்தை திறந்தது.
corridor	தாழ்வாரம்	தாழ்வாரம் குறுகலாகவும் அமைதியாகவும் இருந்தது.
counter (long flat surface)	கவுண்டர்	சாவிகள் சமையலறை கவுண்டரில் உள்ளன.
coverage	கவரேஜ்	செய்தி கவரேஜ் மாலை முழுவதும் நீடித்தது.
crack	விரிசல்	சுவரில் ஒரு விரிசல் தோன்றியது.
craft	கைவினை	அவர் கையால் செய்யப்பட்ட கைவினைகளை இணையத்தில் விற்கிறார்.
creativity	படைப்பாற்றல்	படைப்பாற்றல் சிக்கல்களைத் தீர்க்க உதவுகிறது.
critically	விமர்சன ரீதியாக	கட்டுரை விமர்சன ரீதியாக முக்கியமானது.
cruise	உல்லாசப் பயணம்	அவர்கள் கிரீஸுக்கு ஒரு உல்லாசப் பயணத்தை முன்பதிவு செய்தனர்.
cue	குறிப்பு	நடிகர் தனது குறிப்பை தவறவிட்டார்.
curious	ஆர்வமுள்ள	குழந்தை விண்வெளி பற்றி ஆர்வமாக இருந்தது.
curriculum	பாடத்திட்டம்	பள்ளி அதன் பாடத்திட்டத்தை புதுப்பித்தது.
cute	அழகான	நாய்க்குட்டி அழகாக இருந்தது.
dairy	பால் பண்ணை	பண்ணை பால் பொருட்களை உற்பத்தி செய்கிறது.
dare	தைரியம்	அதை முயற்சி செய்ய நான் உங்களுக்கு சவால் விடுகிறேன்.
darkness	இருள்	அறை இருளால் நிறைந்தது.
database	தரவுத்தளம்	தரவுத்தளம் வாடிக்கையாளர் பதிவுகளைச் சேமிக்கிறது.
deadline	காலக்கெடு	காலக்கெடு வெள்ளிக்கிழமை ஆகும்.
deadly	கொடிய	பாம்பு கொடிய விஷத்தைக் கொண்டுள்ளது.
dealer	வியாபாரி	கார் வியாபாரி தள்ளுபடி வழங்கினார்.
deck	தளம்	நாற்காலிகள் தளத்தின் மீது உள்ளன.
defender	பாதுகாவலர்	பாதுகாவலர் பந்தை தடுத்தார்.
delete	நீக்கு	பழைய செய்தியை நீக்கு.
democracy	ஜனநாயகம்	ஜனநாயகம் சுதந்திரமான தேர்தல்களைப் பொறுத்தது.
democratic	ஜனநாயக	வாக்கெடுப்பு ஜனநாயக விதிகளைப் பின்பற்றியது.
demonstration	ஆர்ப்பாட்டம்	மாணவர்கள் ஆர்ப்பாட்டத்தில் கலந்து கொண்டனர்.
depart	புறப்படு	ரயில் நண்பகலில் புறப்படும்.
dependent	சார்ந்திருக்கும்	குழந்தை பெரியவர்களைச் சார்ந்துள்ளது.
deposit	வைப்புத் தொகை	அவர் அடுக்குமாடி குடியிருப்புக்கு முன்பணம் செலுத்தினார்.
depression	மனச்சோர்வு	மனச்சோர்வுக்கு தொழில்முறை ஆதரவு தேவை.
derive	பெறு	பல சொற்கள் லத்தீன் மொழியிலிருந்து பெறப்பட்டவை.
desperately	தீவிரமாக	அவருக்குத் தீவிரமாக தண்ணீர் தேவைப்பட்டது.
destruction	அழிவு	புயல் பரவலான அழிவை ஏற்படுத்தியது.
determination	தீர்மானம்	அவளது உறுதிப்பாடு பயிற்சியாளரைக் கவர்ந்தது.
devote	அர்ப்பணி	அவர் வார இறுதி நாட்களைப் படிக்க அர்ப்பணிக்கிறார்.
differ	வேறுபடு	அவர்களது கருத்துக்கள் கடுமையாக வேறுபடுகின்றன.
disability	இயலாமை	கட்டடத்தில் ஊனமுற்றோருக்கான வசதி உள்ளது.
disabled	முடக்கப்பட்ட	மாற்றுத்திறனாளி தடகள வீரர் பதக்கம் வென்றார்.
disagreement	கருத்து வேறுபாடு	கூட்டம் கருத்து வேறுபாட்டுடன் முடிந்தது.
disappoint	ஏமாற்று	முடிவு ரசிகர்களை ஏமாற்றலாம்.
disappointment	ஏமாற்றம்	அவர் ஆழ்ந்த ஏமாற்றத்தை உணர்ந்தார்.
discourage	ஊக்கத்தை கெடு	இளம் கற்பவர்களை ஊக்கமிழக்கச் செய்யாதீர்கள்.
disorder	கோளாறு	மருத்துவர் தூக்கக் கோளாறைக் கண்டறிந்தார்.
distant	தொலைவான	மலைகள் தொலைவாகத் தெரிந்தன.
distinct	தனித்துவமான	இரண்டு சத்தங்களும் வேறுபட்டவை.
distinguish	வேறுபடுத்து	இந்த வண்ணங்களை உங்களால் வேறுபடுத்த முடியுமா?
distract	கவனத்தை சிதறடி	சத்தம் மாணவர்களின் கவனத்தை சிதறடிக்கும்.
disturb	தொந்தரவு செய்	தயவுசெய்து நோயாளியைத் தொந்தரவு செய்யாதீர்கள்.
dive	மூழ்குதல்	அவர்கள் பவளப்பாறைக்கு அருகே மூழ்குவார்கள்.
diverse	பலவகையான	நகரம் பல்வேறு கலாச்சாரங்களைக் கொண்டுள்ளது.
diversity	பன்முகத்தன்மை	நாங்கள் கலாச்சாரப் பன்முகத்தன்மையைக் கொண்டாடுகிறோம்.
divorce	விவாகரத்து	விவாகரத்து அனைவருக்கும் கடினமாக இருந்தது.
dominant	ஆதிக்கமான	ஆதிக்கம் செலுத்தும் அணி ஆட்டத்தைக் கட்டுப்படுத்தியது.
donation	நன்கொடை	தொண்டு நிறுவனம் ஒரு நன்கொடையைப் பெற்றது.
dot	புள்ளி	எண்ணுக்குப் பிறகு ஒரு புள்ளி வைக்கவும்.
downtown	நகர மையம்	வேலைக்குப் பிறகு நாங்கள் நகர மையத்தில் சந்தித்தோம்.
dramatically	வியத்தகு முறையில்	விலை வியத்தகு முறையில் குறைந்தது.
drought	வறட்சி	வறட்சி பயிர்களை நாசமாக்கியது.
dull	மந்தமான	விரிவுரை சலிப்பாக இருந்தது.
dump	கொட்டு	இங்கே குப்பைகளைக் கொட்டாதீர்கள்.
duration	கால அளவு	விமானப் பயண கால அளவு மூன்று மணிநேரம்.
dynamic	ஆற்றல்மிக்க	வகுப்பறை ஆற்றல்மிக்கதாக உணர்ந்தது.
economics	பொருளாதாரம்	அவர் பல்கலைக்கழகத்தில் பொருளாதாரம் படிக்கிறார்.
economist	பொருளாதார நிபுணர்	பொருளாதார நிபுணர் மெதுவான வளர்ச்சியை கணித்துள்ளார்.
editorial	தலையங்கம்	தலையங்கம் சட்டத்தை விமர்சித்தது.
efficiently	திறமையாக	அணி திறமையாக வேலை செய்தது.
elbow	முழங்கை	அவனுக்கு அவனது முழங்கையில் அடிபட்டது.
electronics	மின்னணுவியல்	கடையில் மின்னணு பொருட்கள் விற்கப்படுகின்றன.
elegant	நேர்த்தியான	ஆடை நேர்த்தியாக இருந்தது.
elementary	அடிப்படை	புத்தகம் அடிப்படை இலக்கணத்தை விளக்குகிறது.
eliminate	அகற்று	குழு பல தவறுகளை அகற்றியது.
embrace	தழுவு	அவள் புதிய யோசனையை ஏற்றுக்கொண்டாள்.
emission	உமிழ்வு	கார் உமிழ்வு அளவுகள் குறைந்தன.
emotionally	உணர்ச்சிபூர்வமாக	அவர் தனது குடும்பத்தைப் பற்றி உணர்ச்சிபூர்வமாகப் பேசினார்.
empire	சாம்ராஜ்யம்	பேரரசு பல நூற்றாண்டுகளாக நீடித்தது.
enjoyable	சுவாரஸ்யமான	பயணம் மகிழ்ச்சியாக இருந்தது.
entertaining	பொழுதுபோக்கு அம்சமான	நிகழ்ச்சி பொழுதுபோக்காக இருந்தது.
entrepreneur	தொழில்முனைவோர்	தொழிலதிபர் ஒரு கபேயைத் திறந்தார்.
envelope	உறை	கடிதத்தை ஒரு உறையில் வைக்கவும்.
equip	சித்தப்படுத்து	பள்ளி ஆய்வகத்திற்கு கருவிகளை வழங்கும்.
equivalent	சமமான	இங்கு ஒரு டாலர் சமமானதல்ல.
era	சகாப்தம்	அந்த கண்டுபிடிப்பு ஒரு புதிய சகாப்தத்தைத் தொடங்கியது.
erupt	வெடி	எரிமலை விரைவில் வெடிக்கலாம்.
essentially	அடிப்படையில்	இரண்டு முறைகளும் அடிப்படையில் ஒத்தவை.
ethic	நெறிமுறை	அவனது வேலை நெறிமுறை வலிமையானது.
ethnic	இன	திருவிழா இனஞ்சார்ந்த மரபுகளைக் கொண்டாடுகிறது.
evaluation	மதிப்பீடு	பாடத்திட்டத்தில் இறுதி மதிப்பீடு அடங்கும்.
evident	வெளிப்படையான	அவனது பதற்றம் வெளிப்படையாக இருந்தது.
evolution	பரிணாமம்	பரிணாமம் பல உயிரியல் மாற்றங்களை விளக்குகிறது.
evolve	பரிணமி	மொழிகள் காலப்போக்கில் பரிணமிக்கின்றன.
exceed	மீறு	தேவை விநியோகத்தை விட அதிகமாக இருக்கலாம்.
exception	விதிவிலக்கு	ஒரு விதிவிலக்கு உள்ளது.
excessive	அதிகப்படியான	அதிகப்படியான சத்தம் அண்டை வீட்டாருக்கு தொந்தரவு தருகிறது.
exclude	விலக்கு	பட்டியல் தற்காலிக தொழிலாளர்களைத் தவிர்க்கிறது.
exhibit	கண்காட்சி	அருங்காட்சியகம் அரிய புகைப்படங்களைக் காட்சிப்படுத்தும்.
exit	வெளியேறும் வழி	வெளியேறும் வழி மேடைக்கு பின்னால் உள்ளது.
exotic	கவர்ச்சியான	கடை அயல்நாட்டு பழங்களை விற்கிறது.
expansion	விரிவாக்கம்	நிறுவனம் ஒரு விரிவாக்கத்திற்குத் திட்டமிட்டது.
expertise	நிபுணத்துவம்	அவளது நிபுணத்துவம் திட்டத்தை மேம்படுத்தியது.
exploit	சுரண்டு	குற்றவாளிகள் பலவீனமான கடவுச்சொற்களைச் சுரண்டுகின்றனர்.
exposure	வெளிப்பாடு	சூரிய ஒளி வெளிப்பாடு சருமத்தை சேதப்படுத்தும்.
extension	நீட்டிப்பு	காலக்கெடு நீட்டிப்பு அனைவருக்கும் உதவியது.
extensive	விரிவான	நூலகத்தில் விரிவான வளங்கள் உள்ளன.
extensively	விரிவாக	இந்தத் தலைப்பு பரவலாகப் படிக்கப்பட்டது.
extract	சாறு	வெண்ணிலா சாறு சுவையை அளிக்கிறது.
fabric	துணி	துணி மென்மையாக இருக்கிறது.
fabulous	அற்புதமான	உணவு அற்புதமாக இருந்தது.
failed	தோல்வியடைந்த	தோல்வியுற்ற முயற்சி எங்களுக்கு ஒன்றைச் சொல்லிக்கொடுத்தது.
fake	போலி	இணையதளம் போலி டிக்கெட்டுகளை விற்றது.
fame	புகழ்	புகழ் அவனது தனிப்பட்ட வாழ்க்கையை மாற்றியது.
fantasy	கற்பனை	இந்த நாவல் ஒரு கற்பனைக்கதை.
fare	கட்டணம்	பேருந்து கட்டணம் அதிகரித்தது.
federal	கூட்டாட்சி	கூட்டாட்சி அரசாங்கம் நிதியுதவியை அறிவித்தது.
fever	காய்ச்சல்	குழந்தைக்கு காய்ச்சல் உள்ளது.
firefighter	தீயணைப்பு வீரர்	தீயணைப்பு வீரர் நாயைக் காப்பாற்றினார்.
firework	பட்டாசு	பூங்காவிற்கு மேலே ஒரு பட்டாசு வெடித்தது.
firm	உறுதியான	மெத்தை உறுதியாக உள்ளது.
firmly	உறுதியாக	அவள் கதவை உறுதியாக மூடினாள்.
flavour	சுவை	சூப் நல்ல சுவையைக் கொண்டுள்ளது.
fond	பிரியமான	அவர் ஜாஸ் இசையை விரும்புகிறார்.
fool	முட்டாள்	முட்டாள் போல நடந்து கொள்ளாதே.
forbid	தடை செய்	இங்கு புகைப்பிடிப்பதை சட்டம் தடை செய்கிறது.
forecast	முன்னறிவிப்பு	முன்னறிவிப்பு மழையை கணிக்கிறது.
format	வடிவம்	சரியான கோப்பு வடிவமைப்பைப் பயன்படுத்தவும்.
formation	உருவாக்கம்	மேக உருவாக்கம் விரைவாக மாறுகிறது.
formerly	முன்னர்	இந்த கட்டிடம் முன்பு ஒரு பள்ளியாக இருந்தது.
fortunate	அதிர்ஷ்டமான	சீக்கிரம் வந்ததற்கு நாங்கள் அதிர்ஷ்டசாலிகள்.
forum	மன்றம்	மன்றம் காலநிலை கொள்கை பற்றி விவாதித்தது.
fossil	புதைபடிவம்	புதைபடிவம் கல்லில் கண்டுபிடிக்கப்பட்டது.
foundation	அடித்தளம்	வீட்டின் அடித்தளம் வலுவாக உள்ளது.
founder	நிறுவனர்	நிறுவனர் விருந்தினர்களை வரவேற்றார்.
fraction	பின்னம்	ஒரு சிறிய பகுதி மாணவர்கள் மட்டுமே வந்தனர்.
fragment	துண்டு	ஒரு கண்ணாடி துண்டு தரையில் கிடந்தது.
framework	கட்டமைப்பு	சட்டம் ஒரு தெளிவான கட்டமைப்பை உருவாக்குகிறது.
fraud	மோசடி	வங்கி மோசடியை கண்டுபிடித்தது.
freely	சுதந்திரமாக	குழந்தைகள் வெளியே சுதந்திரமாக விளையாடினர்.
frequent	அடிக்கடி	அடிக்கடி ஓய்வு எடுப்பது கவனத்தை மேம்படுத்துகிறது.
fulfil	நிறைவேற்று	எனது வாக்குறுதியை நிறைவேற்றுவேன் என்று நம்புகிறேன்.
full-time	முழு நேர	அவளுக்கு முழுநேர வேலை உள்ளது.
fundamentally	அடிப்படையில்	திட்டம் அடிப்படையில் வேறுபட்டது.
furious	கோபமான	தாமதம் குறித்து அவர் கோபமடைந்தார்.
gaming	கேமிங்	கேமிங் எதிர்வினை வேகத்தை மேம்படுத்தலாம்.
gay	ஓரினச்சேர்க்கையாளர்	அவர் தன்பாலின ஈர்ப்பாளர் உரிமைகளை ஆதரிக்கிறார்.
gender	பாலினம்	கணக்கெடுப்பு பாலினம் பற்றி கேட்டது.
gene	மரபணு	மரபணு கண் நிறத்தை பாதிக்கிறது.
genetic	மரபணு சார்ந்த	இந்த நோய் மரபணு காரணங்களைக் கொண்டுள்ளது.
genius	மேதை	இளம் பியானோ கலைஞர் ஒரு மேதை.
genuine	உண்மையான	அவளது புன்னகை உண்மையானதாகத் தோன்றியது.
genuinely	உண்மையிலேயே	அவர் உண்மையாகவே உதவ விரும்பினார்.
gesture	சைகை	அவள் ஒரு நட்புரீதியான சைகை செய்தாள்.
gig	இசை நிகழ்ச்சி	இசைக்குழு நகரின் மையப்பகுதியில் ஒரு இசை நிகழ்ச்சியை நடத்தியது.
globalization	உலகமயமாக்கல்	உலகமயமாக்கல் உள்ளூர் வணிகங்களை பாதிக்கிறது.
globe	பூமி	பூமி உருண்டை ஒவ்வொரு கண்டத்தையும் காட்டுகிறது.
golden	பொன்னான	சூரிய அஸ்தமனம் பொன்னிறமாக மாறியது.
goodness	நன்மை	அவள் மனித நன்மையை நம்புகிறாள்.
gorgeous	அழகான	தோட்டம் மிகவும் அழகாக இருந்தது.
governor	ஆளுநர்	ஆளுநர் மசோதாவில் கையெழுத்திட்டார்.
graphic	வரைபட	வரைகலை படம் பார்வையாளர்களை அதிர்ச்சியடையச் செய்தது.
graphics	வரைகலை	விளையாட்டு எளிமையான வரைகலையைக் கொண்டுள்ளது.
greatly	பெரிதும்	உங்கள் ஆலோசனை பெரிதும் உதவியது.
greenhouse	பசுமை இல்லம்	தக்காளி பசுமைக்குடிலுக்குள் வளர்கிறது.
grocery	மளிகை	வேலை முடிந்ததும் மளிகை பொருட்களை வாங்கினாள்.
