source_headword	SK	example_SK
metaphor	metafora	Báseň používa silnú metaforu.
miner	baník	Baník pracoval v podzemí.
miserable	mizerný	Dážď urobil piknik mizerným.
mode	režim	Prepnite fotoaparát do nočného režimu.
modest	skromný	Bývajú v skromnom dome.
monster	príšera	V príbehu je strašidelná príšera.
monthly	mesačne	Nájom platíme mesačne.
monument	pamätník	Pamätník stojí blízko rieky.
moreover	okrem toho	Okrem toho tento plán šetrí peniaze.
mortgage	hypotéka	Požiadali o hypotéku.
mosque	mešita	Mešita je blízko trhu.
motion	pohyb	Senzor detekuje pohyb.
motivate	motivovať	Pochvala môže študentov motivovať.
motivation	motivácia	Jej motivácia zostala silná.
moving	dojemný	Prejav bol dojemný.
myth	mýtus	Mýtus vysvetľuje meno hory.
naked	nahý	Dieťa bolo po kúpeli nahé.
nasty	škaredý	Rezná rana vyzerala škaredo.
navigation	navigácia	Aplikácia zlepšuje navigáciu.
nearby	neďaleký	Neďaleká kaviareň otvára skoro.
necessity	nutnosť	Čistá voda je nutnosť.
negotiate	vyjednávať	Zmluvu vyjednajú zajtra.
negotiation	vyjednávanie	Vyjednávanie trvalo celé dopoludnie.
neutral	neutrálny	Sudca zostal neutrálny.
newly	čerstvo	Čerstvo natreté dvere vyzerali jasne.
norm	norma	Práca na diaľku sa stala normou.
notebook	zošit	Píšte si poznámky do zošita.
novelist	románopisec	Románopisec podpísal svoju knihu.
nowadays	v dnešnej dobe	V dnešnej dobe veľa ľudí pracuje online.
nursing	ošetrovateľstvo	Študuje ošetrovateľstvo.
nutrition	výživa	Dobrá výživa podporuje zdravie.
obesity	obezita	Obezita zvyšuje zdravotné riziká.
observer	pozorovateľ	Pozorovateľ zaznamenal výsledky.
obstacle	prekážka	Spadnutý strom bol prekážkou.
occupation	povolanie	Sem napíšte svoje povolanie.
occupy	obsadiť	Byt obsadí rodina.
offender	páchateľ	Páchateľ sa na súde ospravedlnil.
ongoing	prebiehajúci	Vyšetrovanie prebieha.
openly	otvorene	Hovorila otvorene o svojich obavách.
opera	opera	Videli sme operu v Miláne.
operator	operátor	Operátor prepojil hovor.
optimistic	optimistický	Cíti sa optimisticky ohľadom budúcnosti.
orchestra	orchester	Orchester hral potichu.
organic	organický	Kúpili organickú zeleninu.
outfit	outfit	Jej outfit sa hodil k príležitosti.
output	výkon	Výkon stroja sa zvýšil.
outstanding	vynikajúci	Jeho výkon bol vynikajúci.
overcome	prekonať	Problémy prekonávajú spoločne.
overnight	cez noc	Balík dorazil cez noc.
overseas	v zámorí	Našiel si prácu v zámorí.
ownership	vlastníctvo	Vlastníctvo pozemku sa zmenilo.
oxygen	kyslík	Rastliny produkujú kyslík.
packet	balíček	Balíček otvorte opatrne.
palm	dlaň	Mincu drž v dlani.
panic	panika	Davom sa šírila panika.
parade	sprievod	Sprievod sa začal na poludnie.
parallel	paralelný	Cesty vedú paralelne.
participation	účasť	Účasť na hodine sa zlepšila.
partnership	partnerstvo	Partnerstvo pomohlo obom spoločnostiam.
part-time	na čiastočný úväzok	Našla si prácu na čiastočný úväzok.
passionate	vášnivý	Je vášnivý pre hudbu.
password	heslo	Vyber si silné heslo.
patience	trpezlivosť	Učenie malých detí si vyžaduje trpezlivosť.
pause	pozastaviť	Teraz video pozastavte.
peer	rovesník	Tlak rovesníkov ovplyvnil jeho výber.
penalty	penalta	Hráč dostal penaltu.
perceive	vnímať	Ľudia vnímajú riziko rôzne.
perception	vnímanie	Jeho vnímanie nebezpečenstva sa zmenilo.
permanently	natrvalo	Obchod natrvalo zatvorili.
pill	tabletka	Vezmite si jednu tabletku po raňajkách.
pity	škoda	To je škoda.
placement	umiestnenie	Umiestnenie pohovky je dôležité.
portion	porcia	Naservírujte si malú porciu ryže.
potentially	potenciálne	Táto zmena je potenciálne užitočná.
precede	predchádzať	Tmavé oblaky často predchádzajú dažďu.
precious	vzácny	Ten prsteň je vzácny.
precise	presný	Inštrukcie boli presné.
precisely	presne	Presne zmerajte vzdialenosť.
predictable	predvídateľný	Koniec bol predvídateľný.
preference	preferencia	Vyjadrila preferenciu pre čaj.
pride	hrdosť	Po dokončení cítil hrdosť.
primarily	primárne	Kurz je primárne online.
principal	riaditeľ	Riaditeľ privítal nových študentov.
prior	predchádzajúci	Potrebujeme predchádzajúci súhlas.
probability	pravdepodobnosť	Pravdepodobnosť dažďa je vysoká.
probable	pravdepodobný	Dnes v noci je pravdepodobný dážď.
proceed	pokračovať	Prosím, pokračujte do ďalšej miestnosti.
programming	programovanie	Programovanie si vyžaduje prax.
progressive	progresívny	Politika bola na svoju dobu progresívna.
prohibit	zakázať	Pravidlá fajčenie zakazujú.
promising	sľubný	Výsledky vyzerajú sľubne.
promotion	povýšenie	V práci dostala povýšenie.
prompt	rýchly	Rýchla odpoveď ušetrila čas.
proportion	podiel	Veľký podiel hlasoval za.
protein	bielkovina	Fazuľa obsahuje bielkoviny.
protester	demonštrant	Demonštrant držal transparent.
psychological	psychologický	Nehoda spôsobila psychologický stres.
publicity	publicita	Podujatie získalo publicitu.
publishing	vydavateľstvo	Pracuje vo vydavateľstve.
punk	punk	Punková hudba sa tam stala populárnou.
purely	čisto	Voľba bola čisto praktická.
pursuit	snaha	Pokračoval vo svojej snahe o spravodlivosť.
puzzle	puzzle	Skladanie puzzle trvalo hodinu.
questionnaire	dotazník	Prosím, vyplňte dotazník.
racial	rasový	Správa rozoberala rasovú nerovnosť.
racism	rasizmus	Rasizmus poškodzuje komunity.
racist	rasistický	Ten komentár bol rasistický.
radiation	žiarenie	Žiarenie môže poškodiť bunky.
rail	zábradlie	Na schodoch sa držte zábradlia.
random	náhodný	Počítač vybral náhodné číslo.
rat	potkan	Za smetiakmi prebehol potkan.
rating	hodnotenie	Hotel má vysoké hodnotenie.
reasonably	rozumne	Izba bola rozumne čistá.
rebuild	prestavať	Prestavajú ten most.
receiver	prijímač	Prijímač zachytil loptu.
recession	recesia	Recesia znížila výdavky.
reckon	myslieť si	Myslím si, že vlak mešká.
recognition	uznanie	Dostala uznanie za svoju prácu.
recovery	zotavenie	Zotavenie trvalo niekoľko týždňov.
recruit	naverbovať	Spoločnosť naverbuje inžinierov.
recruitment	nábor	Nábor začína budúci pondelok.
referee	rozhodca	Rozhodca zastavil zápas.
refugee	utečenec	Utečenec našiel bezpečný domov.
registration	registrácia	Registrácia sa končí v piatok.
regulate	regulovať	Zákon bude regulovať emisie.
reinforce	posilniť	Strechu posilňujú ďalšie trámy.
relieve	zmierniť	Lieky môžu zmierniť bolesť.
relieved	uľavený	Po telefonáte sa cítila uľavene.
remarkable	pozoruhodný	Zotavenie bolo pozoruhodné.
remarkably	pozoruhodne	Zotavil sa pozoruhodne rýchlo.
reporting	spravodajstvo	Záleží na presnom spravodajstve.
resign	odstúpiť	Manažér zajtra odstúpi.
resolution	rozlíšenie	Obrazovka má vysoké rozlíšenie.
restore	obnoviť	Pracovníci obnovia starý obraz.
restrict	obmedziť	Pravidlá obmedzujú parkovanie.
restriction	obmedzenie	Obmedzenie sa končí zajtra.
retail	maloobchod	Maloobchodný predaj sa zvýšil.
retirement	dôchodok	Starostlivo si naplánovala svoj dôchodok.
revenue	príjem	Príjem zo vstupeniek zaplatil opravy.
revision	opakovanie	Opakovanie pomohlo pred skúškou.
ridiculous	smiešny	Cena bola smiešna.
risky	riskantný	Plán sa zdal byť riskantný.
rival	rival	Náš rival otvoril nový obchod.
rob	vykradnúť	Muži sa pokúsili vykradnúť banku.
robbery	lúpež	Lúpež sa stala v noci.
rocket	raketa	Raketa úspešne odštartovala.
romance	romanca	Román obsahuje romancu.
rose	ruža	Pri plote rástla červená ruža.
roughly	zhruba	Zúčastnilo sa zhruba dvadsať ľudí.
ruin	zničiť	Dážď môže zničiť piknik.
satisfaction	spokojnosť	Spokojnosť zákazníkov sa zlepšila.
scandal	škandál	Škandál poškodil jeho kariéru.
scare	vyľakanie	Ten hlasný zvuk ma vyľakal.
scenario	scenár	Najhorší scenár je nepravdepodobný.
scholar	učenec	Učenec študoval starodávne texty.
scholarship	štipendium	Získala štipendium.
scratch	škrabanec	Mačka zanechala škrabanec.
screening	skríning	Nemocnica ponúka skríning rakoviny.
seeker	hľadač	Hľadač práce poslal žiadosti.
seminar	seminár	Seminár začína o deviatej.
settler	osadník	Osadník postavil malú farmu.
severely	vážne	Búrka vážne poškodila cesty.
sexy	sexi	Tieto šaty sa považovali za sexi.
shocking	šokujúci	Správy boli šokujúce.
shore	pobrežie	Kráčali sme popri pobreží.
shortage	nedostatok	Mesto čelilo nedostatku vody.
shortly	zakrátko	Autobus prišiel zakrátko po poludní.
short-term	krátkodobý	Plán má krátkodobé výhody.
sibling	súrodenec	Každý súrodenec dostal darček.
signature	podpis	Prosím, pridajte svoj podpis.
significance	význam	Tento objav má veľký význam.
skilled	zručný	Zruční pracovníci opravili strechu.
slogan	slogan	Kampaň použila jednoduchý slogan.
so-called	takzvaný	Takzvaný odborník robil chyby.
somehow	akosi	Kľúče akosi zmizli.
sometime	niekedy	Navštívte nás niekedy budúci týždeň.
sophisticated	sofistikovaný	Softvér je sofistikovaný.
spare	náhradný	Nechávame si náhradný kľúč.
specialize	špecializovať sa	Lekári sa špecializujú na rôzne odbory.
specify	spresniť	Prosím, spresnite čas svojho príchodu.
spectacular	veľkolepý	Ohňostroj bol veľkolepý.
spectator	divák	Každý divák dostal program.
speculate	špekulovať	Odborníci špekulujú o príčine.
speculation	špekulácia	Článok podnietil špekulácie.
spice	korenie	Pridajte jedno korenie naraz.
spill	rozliať	Nerozlej ten džús.
spite	napriek	Uspel napriek problémom.
spoil	pokaziť	Príliš veľa soli môže pokaziť polievku.
spokesman	hovorca	Hovorca odpovedal na otázky.
spokesperson	hovorca	Hovorca prečítal vyhlásenie.
spokeswoman	hovorkyňa	Hovorkyňa sa prihovorila novinárom.
sponsorship	sponzorstvo	Tím potrebuje sponzorstvo.
sporting	športový	Mesto hostí športové podujatia.
stall	stánok	V stánku na trhu sa predáva ovocie.
stance	postoj	Minister zmenil svoj postoj.
starve	hladovať	Bez jedla by zvieratá mohli hladovať.
steadily	plynule	Spoločnosť plynule rástla.
steam	para	Z polievky stúpala para.
stimulate	stimulovať	Svetlé farby môžu stimulovať záujem.
