simplified	SV	example_SV
鸟	en fågel	Det sitter en fågel i trädet.
努力	anstränga sig; en ansträngning	Han studerar mycket flitigt.
爬山	bestiga ett berg; vandra i bergen	Vi ska vandra i bergen i helgen.
盘子	en tallrik; ett fat	Det står tre tallrikar på bordet.
胖	tjock; knubbig	Den här hunden är lite tjock.
啤酒	öl	Pappa dricker inte öl.
皮鞋	läderskor	Det här paret läderskor är dyrt.
瓶子	en flaska	Det finns vatten i flaskan.
其实	egentligen; faktiskt	Egentligen tycker jag inte om öl.
其他	annan; övriga	De andra klasskamraterna har alla kommit.
奇怪	konstig; märklig	Det här ljudet är mycket konstigt.
骑	cykla; rida	Han cyklar till jobbet varje dag.
起飞	lyfta	Planet lyfter snart.
起来	stiga upp; uppåt	Ställ dig upp, är du snäll.
清楚	tydlig; tydligt	Du talade mycket tydligt.
请假	be om ledighet	Han är förkyld och behöver be om ledighet.
秋	höst	Vädret på hösten är behagligt.
裙子	en kjol	Den här kjolen är mycket fin.
然后	sedan; därefter	Först äter jag, sedan gör jag läxorna.
热情	varm; hjärtlig; entusiastisk	Kinesiska vänner är mycket hjärtliga.
认为	tycka; anse	Jag tycker att den här metoden är bra.
认真	allvarlig; noggrann	Lyssna noggrant på läraren, är du snäll.
容易	lätt	Det här kinesiska tecknet är lätt att skriva.
如果	om	Om det regnar tar vi tunnelbanan.
伞	ett paraply	Det regnar, ta med ett paraply.
上网	gå ut på nätet; vara online	På kvällen går jag ut på nätet för att titta på kartan.
声音	en röst; ett ljud	Din röst låter fin.
生气	arg; bli arg	Bli inte arg, jag gjorde det inte med flit.
世界	en värld	Världen är mycket stor.
试	prova; testa	Jag vill prova det här paret läderskor.
瘦	smala; mager	Han är smalare än tidigare.
叔叔	en farbror; en morbror	Farbror kör mig till skolan.
舒服	bekväm; skön	Den här stolen är bekväm.
数学	matematik	Matematiklektionen är intressant.
树	ett träd	Det står ett träd framför huset.
刷牙	borsta tänderna	Jag borstar tänderna varje morgon.
双	ett par; dubbel	Jag köpte ett par läderskor.
水平	en nivå	Hans nivå i kinesiska är hög.
司机	en förare; en chaufför	Föraren väntar på oss vid dörren.
太阳	solen	Solen är stark i dag.
特别	särskild; särskilt	Det här programmet är särskilt intressant.
疼	göra ont; smärtsam	Mitt ben gör ont.
提高	höja; förbättra	Mer övning kan förbättra nivån i kinesiska.
体育	idrott; gymnastik	Jag tycker om idrottslektionen.
甜	söt	Den här drycken är för söt.
条	måttord för långa föremål	Jag köpte en kjol.
同事	en kollega	Min kollega är mycket upptagen.
同意	hålla med; samtycka	Jag håller med om ditt beslut.
头发	hår	Hennes hår är långt.
突然	plötslig; plötsligt	Han gick plötsligt.
图书馆	ett bibliotek	Biblioteket är inte öppet i dag.
腿	ett ben	Efter bergsvandringen gör mina ben ont.
完成	slutföra; göra klart	Jag har redan gjort klart läxorna.
碗	en skål	Det står två skålar på bordet.
万	tiotusen	Den här staden har tiotusen invånare.
忘记	glömma	Glöm inte att ta med ditt pass.
为	för; på grund av	Jag är glad för din skull.
为了	för; för att	För provet repeterar han varje dag.
位	artigt måttord för personer	Den här läraren är mycket berömd.
文化	kultur	Jag vill förstå kinesisk kultur.
西	väster	Banken ligger väster om skolan.
习惯	en vana; vara van vid	Jag är van vid att träna på morgonen.
洗手间	en toalett	Toaletten ligger till höger.
洗澡	duscha; bada	Jag duschar på kvällen.
夏	sommar	Sommaren är mycket varm.
先	först; före	Ät du först.
相信	tro	Jag tror att han kommer.
香蕉	en banan	Jag köpte tre bananer.
像	likna; vara som	Det här molnet liknar en fågel.
向	mot; i riktning mot	Gå åt vänster, är du snäll.
小心	vara försiktig	Det regnar, var försiktig på vägen.
校长	en rektor	Rektorn är på kontoret.
新闻	nyheter	Pappa tittar på nyheterna varje dag.
新鲜	färsk; fräsch	Den här frukten är mycket färsk.
信用卡	ett kreditkort	Kan jag betala med kreditkort?
行李箱	en resväska	Min resväska är tung.
熊猫	en panda	Barn tycker om att titta på pandor.
需要	behöva	Jag behöver din hjälp.
选择	välja; ett val	Vilken skjorta väljer du?
要求	be om; kräva	Läraren ber oss att göra läxorna noggrant.
爷爷	farfar; morfar	Farfar går till parken varje dag.
一直	alltid; hela tiden	Han har väntat på dig hela tiden.
一定	säkert; absolut	Jag kommer absolut.
一共	sammanlagt	Hur mycket kostar de här böckerna sammanlagt?
一会儿	en stund	Vänta på mig en stund, är du snäll.
一样	samma; likadan	De här två kopparna är lika stora.
以前	förr; tidigare	Förr bodde jag i Peking.
一般	vanlig; genomsnittlig	Maten på den här restaurangen är genomsnittlig.
一边	en sida; medan	Han lyssnar på musik medan han gör läxor.
音乐	musik	Jag tycker om kinesisk musik.
银行	en bank	Banken ligger bredvid snabbköpet.
饮料	en dryck	Den här drycken smakar gott.
应该	böra; borde	Du borde vila mer.
影响	en påverkan; påverka	Vädret kommer att påverka matchen.
用	använda	Jag använder datorn för att göra läxor.
游戏	ett spel	Barnen spelar spel.
有名	berömd; känd	Den här restaurangen är mycket berömd.
又	igen; återigen	Han kom för sent igen i dag.
遇到	träffa; stöta på	Jag träffade läraren på gatan.
元	en yuan; valutaenhet	Den här ordboken kostar femtio yuan.
愿意	vara villig; vilja	Är du villig att delta?
月亮	månen	Månen är ljus i kväll.
越	ju mer... desto mer...	Ju mer jag studerar kinesiska, desto intressantare blir det.
站	en station; stå	Han står vid dörren.
张	måttord för platta föremål	Ge mig en karta, är du snäll.
长	växa	Barn växer snabbt.
着急	oroa sig; vara ängslig	Oroa dig inte, hissen kommer snart.
照顾	ta hand om	Hon tar hand om sin sjuka farmor.
照片	ett foto	Det här fotot ser bra ut.
照相机	en kamera	Jag använder en kamera för att ta foton.
283:只	bara; endast	Jag dricker bara en kopp te.
284:只	måttord för djur	Det finns en katt under bordet.
只有…才…	bara om... då...	Bara genom att repetera noggrant kan du klara provet bra.
中间	mitten; mellan	Bordet står mitt i rummet.
中文	kinesiska; kinesiskt skriftspråk	Jag studerar kinesiska varje dag.
终于	äntligen	Vi kom äntligen fram.
种	en sort; en typ	Vilken sorts dryck tycker du om?
重要	viktig	Ett pass är mycket viktigt.
周末	en helg	Jag vill gå till parken i helgen.
主要	huvudsaklig; viktigast	Hans främsta hobby är musik.
注意	vara uppmärksam; lägga märke till	Var uppmärksam på läraren, är du snäll.
自己	själv; sig själv	Jag vill göra läxorna själv.
自行车	en cykel	Min cykel står där nere.
总是	alltid	Han kommer alltid tidigt till kontoret.
嘴	en mun	Öppna munnen, är du snäll.
最后	sist; till slut	Till slut var vi alla överens.
最近	nyligen; på sistone	Jag har varit upptagen på sistone.
作业	läxor	Jag har inte gjort klart läxorna än.
