source_headword	UZ	example_UZ
tie	bog'lamoq	Oyoq kiyimingni hozir bog'la.
tip	choychaqa	Xizmat uchun choychaqa qoldir.
tool	asbob	To'g'ri asbobdan foydalan.
top	yuqori qism	Yuqori javon to'la.
touch	tegmoq	Stakanga tegma.
tour	sayohat	Biz shahar sayohatini qildik.
tourism	turizm	Turizm bu shaharga yordam beradi.
towards	tomon	Vokzal tomon yur.
towel	sochiq	Toza sochiq olib kel.
tower	minora	Minora juda eski.
toy	o'yinchoq	O'yinchoq mashina qizil.
track	yo'l	Yo'l shimolga boradi.
tradition	an'ana	Bu an'ana eski.
traditional	an'anaviy	U an'anaviy kiyim kiygan edi.
trainer	murabbiy	Murabbiyim yordamchi.
training	mashg'ulot	Mashg'ulot ertaga boshlanadi.
transport	transport	Jamoat transporti kechikdi.
traveller	sayohatchi	Sayohatchi yordam so'radi.
trouble	muammo	Kecha bizda muammo bo'ldi.
truck	yuk mashinasi	Yuk mashinasi tashqarida.
twin	egizak	Mening egizak singlim baland bo'yli.
typical	odatiy	Bu odatiy kun.
underground	yerosti	Poyezd yerosti yo'lidan yuradi.
understanding	tushunish	Sening tushunishing to'g'ri.
unfortunately	afsuski	Afsuski, do'kon yopiq.
unhappy	baxtsiz	U baxtsiz ko'rinadi.
uniform	forma	U maktab formasini kiyadi.
unit	birlik	Bu birlik kichik.
united	birlashgan	Jamoa birlashgan holda qoldi.
unusual	g'ayrioddiy	Bu tovush g'ayrioddiy.
used to modal	ilgari odat bo'lgan	Biz ilgari shu yerda yashardik.
user	foydalanuvchi	Har bir foydalanuvchida raqam bor.
usual	odatdagi	Men odatdagi o'rindig'imni oldim.
valley	vodiy	Vodiy yashil.
van	furgon	Furgon to'la.
variety	xilma-xillik	Bizga ko'proq xilma-xillik kerak.
vehicle	transport vositasi	Bu transport vositasi sekin.
view	manzara	Manzara chiroyli.
virus	virus	Virus uni kasal qildi.
voice	ovoz	Uning ovozi yumshoq.
war	urush	Urush yillar oldin tugagan.
washing	yuvilgan kiyimlar	Yuvilgan kiyimlar tashqarida.
wave	to'lqin	To'lqin qayiqni urdi.
weak	zaif	Oyoqlarim zaif tuyuladi.
web	veb	Veb sahifa ochiq.
wedding	to'y	To'y tez orada boshlanadi.
weight	vazn	Avval vaznni tekshir.
wet	ho'l	Oyoq kiyimlarim ho'l.
wheel	g'ildirak	G'ildirak singan.
while	biroz vaqt	Bu yerda biroz vaqt kut.
whole	butun	Men butun olmani yedim.
whose	kimniki	Bu telefon kimniki?
wide	keng	Yo'l keng.
wild	yovvoyi	Yovvoyi hayvonlar bu yerda yashaydi.
wind1	shamol	Shamol kuchli.
winner	g'olib	G'olib tabassum qildi.
wish	tilak	Tilak qil.
wood	yog'och	Stul yog'ochdan yasalgan.
wooden	yog'ochdan	Yog'ochdan quti og'ir.
working	ish	Ish kuni tugadi.
worried	xavotirli	Men bugun xavotirliman.
worry	xavotir olmoq	Hozir xavotir olma.
worse	yomonroq	Bu og'riq yomonroq bo'ldi.
worst	eng yomon	Bu eng yomon kun edi.
wow	voy	Voy, bu ajoyib!
yet	hali	Biz hali yetib keldikmi?
yours	seniki	Bu kitob seniki.
zero	nol	Nolgacha sana.
