source_headword	LT	example_LT
heighten	padidinti	Kalba gali padidinti įtampą.
heritage	paveldas	Pilis yra vietinio paveldo dalis.
hierarchy	hierarchija	Biuro hierarchija yra aiškiai apibrėžta.
high-profile	didelio atgarsio	Didelio atgarsio sulaukęs teismas pritraukė žurnalistus.
hint	užumina	Ji man davė naudingą užuominą.
homeland	tėvynė	Jis grįžo į savo tėvynę.
hopeful	kupinas vilties	Gydytojai yra kupini vilties dėl pasveikimo.
horizon	horizontas	Saulė dingo už horizonto.
horn	signalas	Automobilio signalas visus pažadino.
hostage	įkaitas	Įkaitas grįžo namo.
hostile	priešiškas	Minia tapo priešiška.
hostility	priešiškumas	Atviras priešiškumas nutraukė derybas.
humanitarian	humanitarinis	Humanitarinė misija pristatė maistą.
humanity	žmonija	Žmonija susiduria su bendrais iššūkiais.
humble	kuklus	Ji išliko kukli po sėkmės.
hydrogen	vandenilis	Vandenilis labai lengvai dega.
identification	identifikacija	Prie įėjimo reikalinga identifikacija.
ideological	ideologinis	Ginčas turėjo ideologines šaknis.
ideology	ideologija	Jo ideologija formavo kiekvieną kalbą.
idiot	idiotas	Niekam nesakykite idiotas.
ignorance	neišmanymas	Neišmanymas gali skleisti baimę.
imagery	vaizdiniai	Eilėraštyje naudojami ryškūs vaizdiniai.
immense	didžiulis	Projektas pareikalavo didžiulių pastangų.
imminent	gresiantis	Audra atrodė neišvengiama.
implementation	įgyvendinimas	Įstatymo įgyvendinimas buvo lėtas.
imprison	įkalinti	Režimas bandė įkalinti kritikus.
imprisonment	įkalinimas	Jo įkalinimas truko penkerius metus.
inability	nesugebėjimas	Jos nesugebėjimas susikaupti neramino mokytojus.
inadequate	nepakankamas	Prieglaudoje buvo nepakankamas šildymas.
inappropriate	netinkamas	Jo pokštas buvo netinkamas.
incidence	paplitimas	Gripo paplitimas padidėjo.
inclined	linkęs	Ji linkusi sutikti.
inclusion	įtraukimas	Mokykla skatina įtraukimą.
