source_headword	MS	example_MS
intensify	bertambah kuat	Ribut mungkin bertambah kuat semalaman.
intensity	intensiti	Intensiti latihan telah meningkat.
intensive	intensif	Mereka menyelesaikan latihan bahasa yang intensif.
intent	niat	Niatnya sukar untuk dibuktikan.
interactive	interaktif	Muzium itu mempunyai pameran interaktif.
interface	antara muka	Antara muka ini mudah untuk dilayari.
interfere	campur tangan	Jangan campur tangan dalam penyiasatan itu.
interference	gangguan	Gangguan isyarat mengganggu panggilan itu.
interim	interim	Laporan interim akan tiba esok.
interior	dalaman	Dinding dalaman perlu dicat.
intermediate	pertengahan	Dia menyertai kelas pertengahan.
intervene	campur tangan	Polis terpaksa campur tangan dengan cepat.
intervention	intervensi	Intervensi awal membantu pesakit itu.
intimate	intim	Mereka mengadakan majlis keluarga yang intim.
intriguing	menarik	Data itu mendedahkan corak yang menarik.
investigator	penyiasat	Penyiasat itu menemu bual setiap saksi.
invisible	tidak kelihatan	Gas itu tidak kelihatan dan berbahaya.
invoke	menggunakan	Peguam itu cuba menggunakan duluan.
involvement	penglibatan	Penglibatannya masih tidak jelas.
ironic	ironis	Komen ironis itu membuatkan semua orang ketawa.
ironically	ironisnya	Ironisnya, laluan itu mengambil masa yang lebih lama.
irony	ironi	Ironi itu jelas kepada semua orang.
irrelevant	tidak relevan	Perincian itu tidak relevan di sini.
isolation	pengasingan	Pengasingan boleh membahayakan kesihatan mental.
judicial	kehakiman	Semakan kehakiman bermula pada hari Isnin.
junction	persimpangan	Belok kiri di persimpangan itu.
jurisdiction	bidang kuasa	Mahkamah itu mempunyai bidang kuasa terhad.
just	adil	Hakim itu membuat keputusan yang adil.
justification	kewajaran	Kita perlukan kewajaran yang jelas untuk perbelanjaan ini.
kidnap	menculik	Penjenayah cuba menculik diplomat itu.
kidney	buah pinggang	Fungsi buah pinggangnya bertambah baik.
kingdom	kerajaan	Kerajaan itu berkembang di bawah pemerintahannya.
lad	budak lelaki	Budak lelaki itu membawa beg-beg tersebut.
landlord	tuan rumah	Tuan rumah telah membaiki pemanas.
landmark	mercu tanda	Menara itu menjadi mercu tanda bandar.
lap	riba	Kanak-kanak itu duduk di atas ribanya.
large-scale	berskala besar	Bandar itu merancang pembaikan berskala besar.
laser	laser	Laser itu mengukur jarak tersebut.
latter	yang kemudian	Pilihan yang kemudian nampaknya lebih selamat.
lawn	halaman rumput	Kanak-kanak itu bermain di halaman rumput.
lawsuit	saman	Syarikat itu menyelesaikan saman tersebut.
layout	susun atur	Susun atur halaman nampak lebih jelas.
leak	kebocoran	Kebocoran paip membanjiri dapur itu.
leap	lonjakan	Jualan membuat lonjakan mendadak.
legacy	warisan	Warisannya membentuk universiti itu.
legendary	legenda	Penyanyi legenda itu kembali ke pentas.
legislation	perundangan	Perundangan baharu melindungi penyewa.
legislative	perundangan	Jawatankuasa perundangan bermesyuarat hari ini.
legislature	badan perundangan	Badan perundangan telah meluluskan belanjawan itu.
legitimate	wajar	Mereka membangkitkan kebimbangan yang wajar.
lengthy	panjang lebar	Perdebatan yang panjang lebar itu menangguhkan undian.
lesbian	lesbian	Aktivis lesbian itu berucap di forum tersebut.
lesser	yang lebih kecil	Pilih risiko yang lebih kecil.
lethal	maut	Bahan kimia itu boleh membawa maut.
liable	bertanggungjawab	Pemandu bertanggungjawab atas kerosakan.
liberal	liberal	Dia menyokong dasar sosial yang liberal.
liberation	pembebasan	Pembebasan mengubah masa depan negara itu.
liberty	kebebasan	Undang-undang melindungi kebebasan peribadi.
license	melesenkan	Negeri mungkin melesenkan klinik baharu.
lifelong	seumur hidup	Dia mendapat kawan seumur hidup di sana.
likelihood	kemungkinan	Kemungkinan hujan meningkat.
limb	anggota badan	Anggota badan yang cedera itu sembuh secara perlahan-lahan.
linear	linear	Carta tersebut menunjukkan trend linear.
line-up	barisan	Barisan persembahan festival itu termasuk kugiran tempatan.
linger	kekal	Bau itu mungkin kekal selama berjam-jam.
listing	senarai	Senarai pangsapuri itu kelihatan tepat.
literacy	literasi	Program literasi dewasa diperluaskan.
liver	hati	Hati menapis bahan berbahaya.
lobby	lobi	Lobi itu sesak selepas tengah hari.
log	log	Sistem ini menyimpan log harian.
logic	logik	Logik hujahnya gagal.
long-standing	sekian lama	Mereka menyelesaikan pertikaian yang berlanjutan sekian lama.
long-time	lama	Dia adalah sukarelawan yang lama.
loom	menjulang	Awan gelap menjulang di atas lembah.
loop	gelung	Denai itu membentuk satu gelung.
loyalty	kesetiaan	Kesetiaannya mengagumkan pasukan itu.
machinery	jentera	Kilang itu memasang jentera baharu.
magical	ajaib	Taman itu kelihatan ajaib pada waktu malam.
magistrate	majistret	Majistret mendengar kes itu.
magnetic	magnetik	Medan magnetik mempengaruhi kompas itu.
magnitude	magnitud	Magnitud kerosakan itu jelas.
mainland	tanah besar	Feri itu menghubungkan pulau-pulau ke tanah besar.
mainstream	arus perdana	Idea itu memasuki politik arus perdana.
maintenance	penyelenggaraan	Penyelenggaraan yang kerap mengelakkan kerosakan.
mandate	mandat	Presiden itu menuntut mandat yang kukuh.
mandatory	wajib	Kehadiran adalah wajib bagi pelatih.
manifest	nyata	Gejala mungkin nyata selepas beberapa minggu.
manipulate	memanipulasi	Jangan manipulasi hasil tinjauan itu.
manipulation	manipulasi	Manipulasi data itu telah ditemui.
manuscript	manuskrip	Penerbit itu menerima manuskripnya.
march	berarak	Penunjuk perasaan akan berarak ke pusat bandar.
marginal	marginal	Perubahan itu mempunyai faedah marginal.
marine	marin	Hidupan marin memerlukan air yang bersih.
marketplace	pasaran	Pasaran dalam talian berkembang dengan pantas.
mask	topeng	Pekerja mesti memakai topeng.
massacre	pembunuhan beramai-ramai	Pembunuhan beramai-ramai itu mengejutkan seluruh wilayah.
mathematical	matematik	Model matematik itu meramalkan permintaan.
mature	matang	Pokok-pokok matang itu memberikan teduhan.
maximize	memaksimumkan	Kemas kini ini akan memaksimumkan jangka hayat bateri.
meaningful	bermakna	Mereka mengadakan perbualan yang bermakna.
meantime	sementara itu	Sementara itu, sila tunggu di luar.
medieval	zaman pertengahan	Istana itu mempunyai dinding zaman pertengahan.
meditation	meditasi	Meditasi harian menenangkan fikirannya.
melody	melodi	Melodi itu kekal di fikiran saya.
memo	memo	Memo itu menerangkan dasar tersebut.
memoir	memoir	Memoirnya menggambarkan buangan zaman kanak-kanaknya.
memorial	tugu peringatan	Tugu peringatan itu menghormati tentera tempatan.
mentor	mentor	Mentornya menyemak cadangan tersebut.
merchant	pedagang	Pedagang itu menjual sutera dan rempah-ratus.
mercy	belas kasihan	Hakim itu menunjukkan belas kasihan.
mere	semata-mata	Pandangan semata-mata mendedahkan kesilapan itu.
merely	hanya	Dia hanya mengulangi arahan itu.
merge	bergabung	Kedua-dua syarikat itu akan bergabung.
merger	penggabungan	Penggabungan itu mewujudkan bank yang lebih besar.
merit	merit	Cadangan itu mempunyai merit yang jelas.
methodology	metodologi	Kajian ini menerangkan metodologinya.
midst	tengah-tengah	Mereka bekerja di tengah-tengah kekacauan.
migration	migrasi	Migrasi bermusim menjejaskan pekerjaan tempatan.
militant	militan	Kumpulan militan itu menolak rundingan.
militia	militia	Militia itu mengawal jalan tersebut.
mill	kilang	Kilang lama itu menjadi sebuah muzium.
minimal	minimum	Pelan ini memerlukan usaha yang minimum.
minimize	meminimumkan	Kita mesti meminimumkan risiko yang tidak perlu.
mining	perlombongan	Perlombongan itu merosakkan lembah sungai tersebut.
ministry	kementerian	Kementerian itu mengumumkan peraturan baharu.
minute2	sangat kecil	Retakan yang sangat kecil muncul pada kaca itu.
miracle	keajaiban	Pemulihannya kelihatan seperti satu keajaiban.
misery	penderitaan	Pelarian itu menanggung penderitaan selama bertahun-tahun.
misleading	mengelirukan	Carta yang mengelirukan itu membingungkan pembaca.
missile	peluru berpandu	Ujian peluru berpandu itu meningkatkan ketegangan.
mob	perusuh	Kumpulan perusuh yang marah itu menghalang lalu lintas.
mobility	mobiliti	Bas yang lebih baik meningkatkan mobiliti bandar.
mobilize	menggerakkan	Pemimpin menggerakkan sukarelawan dengan pantas.
moderate	sederhana	Calon itu memegang pandangan yang sederhana.
modification	pengubahsuaian	Reka bentuk itu memerlukan satu pengubahsuaian.
momentum	momentum	Kempen itu mendapat momentum dengan pantas.
monk	sami	Sami itu hidup dalam kesunyian.
monopoly	monopoli	Firma itu memegang monopoli.
morality	kemoralan	Kursus ini mengkaji kemoralan awam.
motive	motif	Polis mempersoalkan motifnya.
motorist	pemandu	Pemandu itu berhenti pada lampu merah.
municipal	perbandaran	Perkhidmatan perbandaran bertambah baik pada tahun ini.
mutual	bersama	Mereka mencapai persetujuan bersama.
namely	iaitu	Satu masalah masih wujud, iaitu pembiayaan.
nationwide	di toàn quốc	Mogok itu menyebabkan kelewatan di seluruh negara.
naval	tentera laut	Pangkalan tentera laut itu ditutup pada tahun lepas.
neglect	mengabaikan	Jangan abaikan keselamatan asas.
neighbouring	jiran	Bandar-bandar jiran berkongsi hospital tersebut.
nest	sarang	Burung itu membina sarang.
net	bersih	Keuntungan bersih meningkat secara mendadak.
newsletter	surat tin	Surat tin tiba pada setiap hari Jumaat.
niche	niche	Syarikat itu menemui niche yang menguntungkan.
noble	mulia	Sikap mulianya mengagumkan semua orang.
nod	mengangguk	Sila angguk jika anda faham.
nominate	mencalonkan	Mereka akan mencalonkan pengerusi baharu.
nomination	pencalonan	Pencalonannya mengejutkan jawatankuasa tersebut.
nominee	calon	Calon itu menjawab soalan yang sukar.
nonetheless	bagaimanapun	Namun begitu, rancangan itu diteruskan.
non-profit	bukan untung	Dia bekerja untuk klinik bukan untung.
nonsense	karut	Khabar angin itu sama sekali karut.
noon	tengah hari	Mesyuarat bermula pada waktu tengah hari.
notable	ketara	Laporan itu membuat kemajuan yang ketara.
notably	terutamanya	Terutamanya, kos jatuh pada bulan Mei.
notify	memberitahu	Sila beritahu kakitangan sebelum pergi.
notorious	terkenal	Jalan itu terkenal dengan kemalangan.
novel	baharu	Mereka mencadangkan penyelesaian baharu.
nursery	taska	Taska itu menjaga bayi.
objection	bantahan	Peguam itu membangkitkan bantahan.
oblige	mewajibkan	Peraturan mewajibkan pemandu untuk berhenti.
obsess	taksub	Jangan taksub dengan kesilapan kecil.
obsession	ketaksuban	Ketaksubannya merosakkan kerjanya.
occasional	sekali-sekala	Kelewatan sekali-sekala dijangka berlaku.
occurrence	kejadian	Kejadian seperti itu jarang berlaku.
odds	kemungkinan	Kemungkinan kejayaan semakin meningkat.
offering	tawaran	Universiti itu memperluaskan tawarannya.
offspring	anak	Rubah itu melindungi anaknya.
operational	beroperasi	Sistem baharu itu sedang beroperasi.
opt	memilih	Ramai pelajar memilih kelas dalam talian.
optical	optik	Kanta optik itu perlu dibersihkan.
optimism	keyakinan	Keyakinan kembali selepas pengumuman itu.
oral	lisan	Peperiksaan lisan bermula esok.
organizational	organisasi	Perubahan organisasi bermula serta-merta.
orientation	orientasi	Bengkel itu merangkumi orientasi pekerja.
originate	berasal	Banyak tradisi berasal dari kampung-kampung di luar bandar.
outbreak	wabak	Wabak itu merebak ke seluruh bandar.
outing	lawatan	Kelas itu menikmati lawatan ke muzium.
outlet	cawangan	Cawangan itu menjual pakaian diskaun.
outlook	prospek	Prospek ekonomi masih tidak menentu.
outrage	kemarahan	Keputusan itu menimbulkan kemarahan orang ramai.
outsider	orang luar	Sebagai orang luar, dia menyedari masalah.
overlook	terlepas pandang	Jangan terlepas pandang butiran kecil.
overly	terlalu	Arahan itu terlalu kompleks.
oversee	mengawasi	Dia akan mengawasi projek itu.
overturn	membatalkan	Mahkamah boleh membatalkan keputusan itu.
overwhelm	membebankan	Terlalu banyak maklumat boleh membebankan pelajar.
overwhelming	sangat kukuh	Bukti itu sangat kukuh.
pad	pad	Gunakan pad untuk melindungi lutut.
parameter	parameter	Laraskan satu parameter pada satu masa.
parental	ibu bapa	Sokongan ibu bapa meningkatkan kehadiran.
parish	paroki	Paroki itu menganjurkan makan malam amal.
parliamentary	parlimen	Perbahasan parlimen itu berlangsung selama beberapa jam.
partial	sebahagian	Laporan itu memberikan jawapan sebahagian.
partially	sebahagiannya	Tingkap itu terbuka sebahagiannya.
passing	kematian	Kematiannya secara tiba-tiba.
passive	pasif	Pelabur pasif menerima pulangan yang stabil.
pastor	pastor	Pastor itu melawat keluarga tersebut.
patch	tampalan	Jaket itu memerlukan tampalan kecil.
patent	paten	Syarikat itu memfailkan paten.
pathway	laluan	Laluan itu menuju kepada pensijilan.
patrol	rondaan	Polis membuat rondaan di kawasan itu pada waktu malam.
patron	penaung	Muzium itu berterima kasih kepada penaungnya.
peak	kemuncak	Permintaan mencapai kemuncak musim sejuk.
peasant	petani	Petani itu hanya memiliki sedikit tanah.
peculiar	pelik	Bilik itu mempunyai bau yang pelik.
persist	berterusan	Gejala mungkin berterusan selama beberapa hari.
persistent	berterusan	Batuk yang berterusan memerlukan perhatian.
personnel	kakitangan	Rekod kakitangan adalah sulit.
petition	petisyen	Petisyen itu mengumpulkan beribu-ribu tandatangan.
philosopher	ahli falsafah	Ahli falsafah itu mempersoalkan andaian biasa.
philosophical	falsafah	Perbincangan itu menjadi berbentuk falsafah.
physician	pakar perubatan	Pakar perubatan itu mengarahkan ujian darah.
pioneer	perintis	Dia menjadi perintis dalam bidang perubatan.
pipeline	saluran paip	Saluran paip itu membawa gas di bawah tanah.
pirate	lanun	Kapal lanun itu muncul di luar pesisir.
pit	lubang	Para pekerja menggali lubang yang dalam.
plea	rayuan	Rayuannya untuk mendapatkan bantuan diabaikan.
plead	mengaku	Suspek akan mengaku bersalah.
pledge	berikrar	Mereka berikrar menyokong pembaharuan.
plug	palam	Pasangkan palam kabel ke dalam soket.
plunge	menjunam	Harga mungkin menjunam selepas skandal itu.
pole	tiang	Bendera itu tergantung pada sebatang tiang.
poll	tinjauan	Tinjauan itu menunjukkan pendapat yang berubah-ubah.
pond	kolam	Itik-itik menyeberangi kolam yang beku itu.
pop	meletus	Belon meletus berhampiran objek tajam.
portfolio	portfolio	Portfolionya merangkumi beberapa syarikat pemula.
portray	menggambarkan	Filem ini akan menggambarkan kehidupan di luar bandar.
postpone	menangguhkan	Mereka memutuskan untuk menangguhkan perbicaraan itu.
post-war	pasca peperangan	Perumahan pasca peperangan sangat diperlukan.
practitioner	pengamal	Pengamal itu menjelaskan rawatannya.
preach	berkhutbah	Paderi itu akan berkhutbah pada hari Ahad.
precedent	duluan	Keputusan itu menetapkan duluan yang penting.
precision	ketepatan	Mesin itu memotong dengan ketepatan.
predator	pemangsa	Pemangsa itu menunggu berhampiran sungai.
predecessor	pendahulu	Pendahulunya meninggalkan nota terperinci.
predominantly	sebahagian besarnya	Kawasan ini sebahagian besarnya merupakan kawasan kediaman.
pregnancy	kehamilan	Kehamilan memerlukan penjagaan perubatan biasa.
prejudice	prasangka	Kempen ini mencabar prasangka perkauman.
preliminary	awal	Keputusan awal kelihatan menjanjikan.
premier	perdana menteri	Perdana menteri berucap di parlimen hari ini.
premise	premis	Hujah itu bersandar pada premis yang salah.
premium	premium	Pelanggan membayar premium untuk kelajuan.
prescribe	mempreskripsi	Doktor mempreskripsi antibiotik dengan teliti.
prescription	preskripsi	Preskripsi akan tamat tempoh bulan depan.
presently	pada masa ini	Dia tidak tersedia pada masa ini.
preservation	pemeliharaan	Pemeliharaan melindungi bangunan bersejarah.
preside	mempengerusikan	Hakim akan mempengerusikan perbicaraan.
presidency	kepresidenan	Kepresidenannya berlangsung selama lapan tahun.
presidential	presiden	Pilihan raya presiden menarik perhatian.
prestigious	berprestij	Dia memenangi biasiswa yang berprestij.
presumably	mungkin	Pejabat itu mungkin ditutup hari ini.
presume	menganggap	Kami menganggap dokumen tersebut adalah tulen.
prevail	menang	Akal budi harus menang.
prevalence	kelaziman	Kelaziman penyakit asma meningkat.
prevention	pencegahan	Pencegahan adalah lebih murah daripada membaiki.
