source_headword	MY	example_MY
unlike	မတူဘဲ	တွမ်နှင့်မတူဘဲ အန်နာက ဆောင်းရာသီကို ကြိုက်သည်။
unlikely	ဖြစ်နိုင်ခြေမရှိသော	ယခုအပတ်တွင် နှင်းကျရန် မဖြစ်နိုင်ပါ။
unnecessary	မလိုအပ်သော	အပိုအိတ်များသည် မလိုအပ်ပါ။
unpleasant	မနှစ်မြို့ဖွယ်ကောင်းသော	အခန်းထဲတွင် မနှစ်မြို့ဖွယ် အနံ့တစ်ခု ရှိနေသည်။
update	အပ်ဒိတ်လုပ်သည်	ငါ့ဖုန်းကို အပ်ဒိတ်လုပ်ရန် လိုအပ်သည်။
upon	အပေါ်တွင်	ဟိုးရှေးရှေးတုန်းက ဘုရင်တစ်ပါး ရှိခဲ့ဖူးသည်။
upset	စိတ်မကောင်းဖြစ်သော	ဖုန်းပြောပြီးနောက် သူမ စိတ်မကောင်းဖြစ်သွားသည်။
used1	သုံးသော	ဤအခန်းကို အစည်းအဝေးများအတွက် သုံးသည်။
used2	အသားကျသော	ကျွန်တော်က မနက်စောစောထရန် အသားကျနေပြီ။
valuable	တန်ဖိုးရှိသော	ဤနာရီသည် တန်ဖိုးရှိသည်။
value	တန်ဖိုး	မနှစ်က အိမ်၏တန်ဖိုး ကျဆင်းသွားသည်။
various	အမျိုးမျိုးသော	ကျွန်တော်တို့ ဒေသစာ အမျိုးမျိုးကို မြည်းစမ်းခဲ့ကြသည်။
version	ဗားရှင်း	ဤဗားရှင်းက ပိုကောင်းကောင်း အလုပ်လုပ်သည်။
victim	နစ်နာသူ	နစ်နာသူက ရဲကို ဖုန်းခေါ်ခဲ့သည်။
viewer	ကြည့်ရှုသူ	ကြည့်ရှုသူတစ်ဦးက မေးခွန်းတစ်ခု မေးခဲ့သည်။
violent	အကြမ်းဖက်သော	ဇာတ်ကားက အရမ်းကြမ်းတမ်းလွန်းသည်။
volunteer	စေတနာ့ဝန်ထမ်း	ကျွန်တော်က စာကြည့်တိုက်တွင် စေတနာ့ဝန်ထမ်း လုပ်သည်။
vote	မဲပေးသည်	မနက်ဖြန် မဲပေးပါ။
warn	သတိပေးသည်	ကျွန်တော် သူ့ကို သတိပေးရန် ကြိုးစားခဲ့သည်။
warning	သတိပေးချက်	သတိပေးချက်က မျက်နှာပြင်ပေါ်တွင် ပေါ်လာသည်။
waste	ဖြုန်းတီးသည်	သန့်ရှင်းသောရေကို မဖြုန်းတီးပါနှင့်။
weapon	လက်နက်	ဓားသည် လက်နက်တစ်ခု ဖြစ်လာခဲ့သည်။
weigh	ချိန်တွယ်သည်	ဂျုံမှုန့်ကို သေချာချိန်တွယ်ပါ။
western	အနောက်တိုင်း	သူတို့သည် အနောက်တိုင်းဇာတ်ကားတစ်ခုကို ကြည့်ခဲ့ကြသည်။
whatever	မည်သည့်အရာမဆို	သင်ကြိုက်သော မည်သည့်အရာကိုမဆို ရွေးချယ်ပါ။
whenever	မည်သည့်အချိန်မဆို	အကူအညီလိုသော မည်သည့်အချိန်မဆို ဖုန်းခေါ်ပါ။
whether	ဖြစ်စေ	သူမ သဘောတူမည် မတူမည်ကို ကျွန်တော် မသိပါ။
wing	အတောင်ပံ	ငှက်ကလေးသည် အတောင်ပံတစ်ဖက် နာသွားသည်။
within	အတွင်း၌	ကျေးဇူးပြု၍ နှစ်ရက်အတွင်း အကြောင်းပြန်ပါ။
wonder	သိချင်သည်	ဘာဖြစ်သွားသလဲဆိုတာ ကျွန်တော် သိချင်သည်။
wool	သိုးမွေး	ဤကုတ်အင်္ကျီကို သိုးမွေးဖြင့် လုပ်ထားသည်။
worldwide	ကမ္ဘာတစ်ဝှမ်း	ထိုသီချင်းသည် ကမ္ဘာတစ်ဝှမ်းတွင် နာမည်ကြီးလာသည်။
worth	တန်သော	ဤစာအုပ်သည် ဖတ်ရကျိုးနပ်သည်။
written	ရေးသားထားသော	ကျေးဇူးပြု၍ ရေးသားထားသော ညွှန်ကြားချက်များကို ပေးပို့ပါ။
yard	ခြံဝင်း	ကလေးများသည် ခြံဝင်းထဲတွင် ဆော့ကစားခဲ့ကြသည်။
youth	လူငယ်	လူငယ်ကလပ်များသည် ဒေသခံဆယ်ကျော်သက်များကို ထောက်ပံ့ပေးသည်။
