source_headword	SL	example_SL
assessment	ocena	Ocena je trajala dve uri.
associate	povezovati	Ljudje povezujejo dim z nevarnostjo.
associated	povezan	Stres je povezan z boleznijo.
association	združenje	Združenje podpira mlade umetnike.
assume	domnevati	Domnevam, da se strinjaš.
attempt	poskus	Njegov prvi poskus ni uspel.
bacteria	bakterije	Bakterije se lahko hitro širijo.
barrier	ovira	Jezik je bil ovira.
basically	v bistvu	V bistvu potrebujemo več časa.
bear (deal with)	prenesti	Ne morem prenesti tega hrupa.
beg	prositi	Prosil je za pomoč.
being	bitje	Vsako bitje potrebuje vodo.
bent	upognjen	Kovinska palica je bila upognjena.
bet	staviti	Stavim, da on ve.
beyond	onkraj	Vas leži onkraj reke.
bitter	grenk	Zdravilo je imelo grenak okus.
blame	kriviti	Ne krivi voznika.
blind	slep	Oslepel je v mladosti.
bond	vez	Zaupanje ustvari močno vez.
breast	dojka	Začutila je bolečino v dojki.
brief	kratek	Naj bo tvoj odgovor kratek.
broad	širok	Reka je tukaj široka.
broadcast	oddajati	Govor so oddajali v živo.
budget	proračun	Proračun je zelo omejen.
bullet	krogla	Krogla je zadela zid.
bunch	šop	Nosila je šop ključev.
bush	grm	Ptica se je skrila v grmu.
cable	kabel	Kabel je poškodovan.
calculate	izračunati	Izračunaj skupni strošek.
cancel	odpovedati	Odpovedali so sestanek.
cancer	rak	Zdravljenje raka je lahko težko.
capable	sposoben	Ona je sposobna več.
capacity	zmogljivost	Dvorana je dosegla zmogljivost.
capture	ujeti	Fotografija ujame razpoloženje.
cast	igralska zasedba	Igralska zasedba je pripravljena.
cell	celica	Vsaka celica vsebuje podatke.
chairman	predsednik	Predsednik je odprl sejo.
characteristic	lastnost	Potrpežljivost je njena glavna lastnost.
chief	glavni	Glavni inženir je prišel pozno.
circumstance	okoliščina	Pazljivo premisli vsako okoliščino.
cite	citirati	Prosim, citiraj svoj vir.
citizen	državljan	Vsak državljan lahko voli.
civil	uljuden	Protest je ostal uljuden.
classic	klasičen	Ta film je klasika.
closely	pozorno	Pozorno spremljaj proces.
collapse	zrušiti se	Stari most se lahko zruši.
combination	kombinacija	Kombinacija je dobro delovala.
comfort	tolažba	Njene besede so dale tolažbo.
command	ukaz	Častnik je dal ukaz.
commission	komisija	Komisija je pregledala primer.
commitment	predanost	Delo zahteva predanost.
committee	odbor	Odbor se sestaja tedensko.
commonly	običajno	To rastlino običajno gojijo.
complicated	zapleten	Navodila so zapletena.
component	komponenta	Ena komponenta je odpovedala.
concentration	zbranost	Hrup moti mojo zbranost.
concept	koncept	Koncept je preprost.
concern	skrb	Varnost je naša glavna skrb.
concerned	zaskrbljen	Starši so bili globoko zaskrbljeni.
conduct	izvajati	Izvajajo lokalno raziskavo.
confidence	samozavest	Vaja gradi samozavest.
conflict	spor	Spor je trajal leta.
confusing	zmeden	Zemljevid je bil zmeden.
conscious	pri zavesti	Ostala je pri zavesti.
conservative	konservativen	Njegovi pogledi so konservativni.
consideration	razmislek	Strošek je pomemben razmislek.
consistent	dosleden	Njeni rezultati so dosledni.
constant	stalen	Stalen hrup nas je izčrpal.
constantly	nenehno	Nenehno preverja telefon.
construct	zgraditi	Delavci so zgradili nov most.
construction	gradnja	Gradnja se začne naslednji mesec.
contemporary	sodoben	Galerija prikazuje sodobno umetnost.
contest	tekmovanje	Prijavila se je na tekmovanje.
contract	pogodba	Pazljivo preberi pogodbo.
contribute	prispevati	Vsak lahko prispeva ideje.
contribution	prispevek	Njen prispevek je bil dragocen.
convert	pretvoriti	Pretvorili so garažo.
convinced	prepričan	Prepričan sem, da je lagal.
core	jedro	Zaupanje je jedro problema.
corporate	podjetniški	Podjetniška pravila so se spet spremenila.
council	svet	Svet je odobril načrt.
county	okrožje	Okrožje je popravilo cesto.
courage	pogum	Pokazala je pravi pogum.
crash	nesreča	Nesreča je blokirala promet.
creation	ustvarjanje	Ustvarjanje je trajalo šest mesecev.
creature	bitje	Bitje se je tiho premikalo.
crew	posadka	Posadka je pripravila ladjo.
crisis	kriza	Kriza je vse spremenila.
criterion	merilo	Cena je eno merilo.
critic	kritik	Kritik je pohvalil predstavo.
critical	kritičen	Njegovo stanje je kritično.
criticism	kritika	Mirno je sprejela kritiko.
criticize	kritizirati	Ne kritiziraj vsake napake.
crop	pridelek	Pridelek je letos propadel.
crucial	ključen	Čas je tukaj ključen.
cure	zdravilo	Zdravniki so našli zdravilo.
curve	ovinek	Cesta sledi ovinku.
curved	ukrivljen	Zid je rahlo ukrivljen.
debate	razprava	Razprava je trajala več ur.
debt	dolg	Plačal je dolg.
decent	spodoben	Našli so spodoben apartma.
declare	razglasiti	Razglasili so rezultat.
decline	upadati	Prodaja je še naprej upadala.
decoration	okras	Okras je bil videti drag.
decrease	zmanjšati se	Cene se lahko kmalu zmanjšajo.
deeply	globoko	Globoko ji je bilo mar za pravičnost.
defeat	poraz	Ekipa je sprejela poraz.
defence	obramba	Obramba je bila dobro pripravljena.
defend	braniti	Branila je svojo odločitev.
delay	zamuda	Slabo vreme je povzročilo zamudo.
deliberate	nameren	To je bila namerna izbira.
deliberately	namerno	Namerno je prezrla opozorilo.
delight	razveseliti	Novica je razveselila vse.
delighted	navdušen	Bili smo navdušeni nad darilom.
delivery	dostava	Dostava je prispela zgodaj.
demand	zahtevati	Delavci zahtevajo boljše plačilo.
demonstrate	pokazati	Pokazal je novo programsko opremo.
deny	zanikati	Zanikala je obtožbo.
depressed	depresiven	Po porazu se je počutil depresivnega.
depressing	depresiven	Film je bil depresiven.
depth	globina	Bazen ima veliko globino.
deserve	zaslužiti	Zaslužiš si odmor.
desire	želja	Izrazila je željo po potovanju.
desperate	obupan	Opravili so obupan klic.
detailed	podroben	Vodnik je zelo podroben.
detect	zaznati	Psi lahko zaznajo dim.
dig	kopati	Poleti kopljejo vodnjake.
disc	disk	Disk je bil opraskan.
discipline	disciplina	Disciplina pomaga športnikom napredovati.
dishonest	nepošten	Njegov odgovor je zvenel nepošteno.
dismiss	zavrniti	Upravitelj je zavrnil pritožbo.
display	prikazati	Zaslon prikazuje rezultat.
distribute	razdeliti	Prostovoljci so razdelili čisto vodo.
distribution	distribucija	Distribucija se je začela po sončnem vzhodu.
district	okrožje	Okrožje je izvolilo župana.
division	oddelek	Oddelek obravnava pravne primere.
domestic	domač	Domači leti so cenejši.
dominate	prevladovati	Eno podjetje lahko prevladuje na trgu.
downwards	navzdol	Pot se spušča navzdol.
dozen	tucat	Kupila je ducat jajc.
draft	osnutek	Prosim, preglej osnutek.
drag	vleči	Ne vleci mize.
dramatic	dramatičen	Rezultati so bili dramatični.
edit	urediti	Uredila je članek.
edition	izdaja	Ta izdaja vključuje nove fotografije.
efficient	učinkovit	Sistem je učinkovit.
elderly	starejši	Starejši prebivalci potrebujejo podporo.
elect	izvoliti	Volivci izvolijo nov svet.
elsewhere	drugje	Pomoč smo iskali drugje.
emerge	pojaviti se	Podrobnosti so se pojavile po polnoči.
emotional	čustven	Govor je bil čustven.
emphasis	poudarek	Daj poudarek varnosti.
emphasize	poudariti	Učitelji poudarjajo vsakodnevno vajo.
enable	omogočiti	Aplikacija omogoča hitra plačila.
encounter	naleteti na	Naleteli smo na gost promet.
engage	vključiti	Tečaj vključuje odrasle učence.
enhance	izboljšati	Osvetlitev lahko izboljša sobo.
enquiry	preiskava	Preiskava je trajala tri mesece.
ensure	zagotoviti	Dvakrat preveri, da zagotoviš točnost.
enthusiasm	navdušenje	Njeno navdušenje je spodbudilo skupino.
enthusiastic	navdušen	Prostovoljci so bili navdušeni.
entire	cel	Cela vas je izgubila elektriko.
entirely	popolnoma	Zgodba je popolnoma lažna.
establish	vzpostaviti	Vzpostavili so jasna pravila.
estate	posestvo	Posestvo vključuje več kmetij.
estimate	oceniti	Ocenjujemo deset tisoč obiskovalcev.
ethical	etičen	Odločitev je sprožila etična vprašanja.
evaluate	ovrednotiti	Strokovnjaki bodo ovrednotili zasnovo.
evil	zloben	Kralj se je bal zlih duhov.
examination	pregled	Pregled je trajal eno uro.
excuse	izgovor	Ta izgovor je zvenel šibko.
executive	vodstveni delavec	Vodstveni delavec je odobril dogovor.
existence	obstoj	Njihov obstoj je bil neznan.
expectation	pričakovanje	Pred lansiranjem je bilo pričakovanje veliko.
expense	strošek	Potovanje je naš največji strošek.
exploration	raziskovanje	Raziskovanje vesolja navdihuje otroke.
expose	razkriti	Članek je razkril korupcijo.
extend	podaljšati	Podaljšali so rok.
extent	obseg	Obseg smo izvedeli pozneje.
external	zunanji	Zunanji pritisk je vplival nanje.
extraordinary	izjemen	Njeno okrevanje je bilo izjemno.
facility	objekt	Objekt se je odprl junija.
failure	neuspeh	Neuspeh ga je naučil potrpežljivosti.
faith	vera	Ohranila je vero vanj.
fault	krivda	Nesreča je bila moja krivda.
feather	pero	Pero je padlo z blazine.
fee	pristojbina	Pristojbina vključuje kosilo.
feedback	povratna informacija	Povratna informacija je pomagala izboljšati tečaj.
fellow	kolega	Sodelavci so jo podprli.
finance	finance	Banka bo financirala širitev.
finding	ugotovitev	Ugotovitev je presenetila raziskovalce.
firm	podjetje	Podjetje je zaposlilo novo osebje.
flame	plamen	Pojavil se je majhen plamen.
flash	blisk	Blisk je osvetlil nebo.
flexible	prilagodljiv	Urnik je prilagodljiv.
float	plavati	Listi plavajo na vodi.
folding	zložljiv	Nosil je zložljiv stol.
forgive	oprostiti	Ali mu lahko oprostiš?
former	nekdanji	Nekdanji župan se je vrnil.
fortune	bogastvo	Izgubili so bogastvo.
found	ustanoviti	Ustanovili so majhno dobrodelno organizacijo.
freedom	svoboda	Svoboda zahteva odgovornost.
frequency	pogostost	Pogostost se je pozimi povečala.
fully	popolnoma	Hotel je popolnoma zaseden.
fund	sklad	Sklad podpira lokalne šole.
fundamental	temeljen	Spoštovanje je tukaj temeljno.
funding	financiranje	Financiranje se je končalo lani.
furthermore	poleg tega	Poleg tega stroški naraščajo.
gain	pridobiti	Študenti hitro pridobijo samozavest.
gang	tolpa	Tolpa je nadzorovala ulico.
generate	proizvajati	Sončne celice proizvajajo energijo.
genre	žanr	Komedija je njen najljubši žanr.
govern	urejati	Zakoni urejajo javno porabo.
grab	zgrabiti	Zgrabil me je za roko.
gradually	postopoma	Bolečina je postopoma izginila.
grand	veličasten	Hotel ima veličasten vhod.
grant	dotacija	Dotacija je plačala opremo.
guarantee	jamčiti	Vstopnica jamči vstop.
handle	obravnavati	Mirno je obravnavala pritožbo.
harm	škoda	Kajenje lahko škoduje zdravju.
harmful	škodljiv	Ta kemikalija je škodljiva.
hearing	sluh	Njen sluh se je izboljšal.
heaven	nebesa	Predstavljali so si nebesa nad seboj.
heel	peta	Peta ga je močno bolela.
hell	pekel	Potovanje je bilo pekel.
hesitate	oklevati	Ne oklevaj vprašati.
hollow	votel	Drevo je bilo znotraj votlo.
holy	svet	Obiskali so sveto mesto.
honour	čast	Borili so se za čast.
household	gospodinjstvo	Vsako gospodinjstvo je prejelo vodo.
housing	stanovanja	Stroški stanovanj stalno naraščajo.
humorous	duhovit	Njegova zgodba je bila duhovita.
humour	humor	Humor je pomagal zmanjšati napetost.
hunting	lov	Lov je tukaj prepovedan.
illustrate	ilustrirati	Primeri ilustrirajo pravilo.
illustration	ilustracija	Ilustracija prikazuje proces.
imagination	domišljija	Otroci svobodno uporabljajo domišljijo.
impatient	nestrpen	Vozniki so postali nestrpni.
imply	namigovati	Njegova tišina lahko namiguje na strinjanje.
impose	naložiti	Sodišče je naložilo globo.
impress	navdušiti	Njen pogum je navdušil vse.
impressed	navdušen	Bil sem navdušen nad njenim delom.
inch	palec	Premakni ga en palec levo.
incident	incident	Incident je povzročil skrb.
income	dohodek	Njihov dohodek se je počasi povečal.
increasingly	vse bolj	Stanovanja so vse dražja.
industrial	industrijski	Mesto ima industrijske korenine.
infection	okužba	Okužba se je hitro širila.
inform	obvestiti	Prosim, obvesti vodjo.
initial	začeten	Začetni strošek je bil visok.
initially	sprva	Sprva mu nihče ni verjel.
initiative	pobuda	Sprožila je novo pobudo.
inner	notranji	Notranja vrata so bila zaklenjena.
insight	vpogled	Poročilo ponuja koristen vpogled.
insist	vztrajati	Vztrajajo pri varnostnih pregledih.
inspire	navdihniti	Njena zgodba lahko navdihne druge.
install	namestiti	Namestili so nov grelec.
instance	primer	To je en jasen primer.
