source_headword	DA	example_DA
smoking	rygning	Rygning er ikke tilladt.
soap	sæbe	Brug sæbe og vand.
soccer	fodbold	Fodbold er populært her.
social	social	Dette er et socialt arrangement.
society	et samfund	Samfundet ændrer sig over tid.
sock	en sok	En sok mangler.
soft	blød	Dette tæppe er blødt.
soldier	en soldat	Soldaten kom hjem.
solution	en løsning	Vi fandt en løsning.
solve	løse	Løs dette puslespil.
somewhere	et sted	Læg det et sikkert sted.
sort	en slags; en type	Hvilken slags vil du have?
source	en kilde	Tjek kilden først.
speaker	en taler; en højttaler	Taleren var højlydt.
specific	specifik	Jeg har brug for et specifikt svar.
speech	en tale	Hendes tale var kort.
speed	en hastighed	Sænk hastigheden her.
spider	en edderkop	Der er en edderkop på væggen.
spoon	en ske	Brug en ske til suppen.
square	firkantet	Tegn en firkantet kasse.
stage	en scene	Bandet er på scenen.
stair	et trin	Trinnet er ødelagt.
stamp	et frimærke	Sæt et frimærke på brevet.
state	angive	Angiv dit navn tydeligt.
steal	stjæle	Stjæl ikke penge.
step	et skridt	Tag ét skridt frem.
stomach	en mave	Min mave gør ondt.
stone	en sten	Stenen er tung.
store	en butik	Butikken lukker tidligt.
storm	en storm	En storm er på vej.
straight	lige	Gå lige hjem.
strange	mærkelig	Den lyd er mærkelig.
strategy	en strategi	Vi har brug for en strategi.
stress	stress	Arbejde kan give stress.
structure	en struktur	Denne struktur er stærk.
stupid	dum	Det var en dum fejl.
succeed	lykkes	Du kan lykkes her.
successful	succesfuld	Hun blev succesfuld.
such	sådan	Sådan hjælp er nyttig.
suddenly	pludselig	Pludselig løb hunden væk.
suggest	foreslå	Jeg foreslår en kort pause.
suggestion	et forslag	Dit forslag er nyttigt.
suit	et jakkesæt	Dette jakkesæt er dyrt.
support	støtte	Vi støtter vores hold.
suppose	antage	Jeg antager, at du har ret.
surprise	en overraskelse	Overraskelsen gjorde hende glad.
surprised	overrasket	Hun var overrasket i dag.
surprising	overraskende	Resultatet var overraskende.
survey	en undersøgelse	Udfyld undersøgelsen.
sweet	sød	Denne te er sød.
symbol	et symbol	Dette symbol betyder fare.
system	et system	Systemet fungerer godt.
tablet	en tablet	Min tablet ligger på skrivebordet.
target	et mål	Ram målet forsigtigt.
task	en opgave	Denne opgave er let.
taste	en smag; smage	Smag på suppen først.
teaching	undervisning	Undervisning er svært arbejde.
technology	teknologi	Teknologi ændrer sig hurtigt.
teenage	teenage-	Min teenagebror studerer flittigt.
temperature	en temperatur	Temperaturen er lav.
term	et semester	Dette semester slutter snart.
themselves	sig selv	De lavede selv aftensmad.
thick	tyk	Denne bog er tyk.
thief	en tyv	Tyven løb væk.
thin	tynd	Papiret er tyndt.
thinking	tænkning	Tænkning tager tid.
thought	en tanke	Jeg havde en mærkelig tanke.
throw	kaste	Kast bolden forsigtigt.
tidy	ryddelig	Hold dit værelse ryddeligt.
tie	binde	Bind dine sko nu.
tip	et tip; drikkepenge	Efterlad drikkepenge for servicen.
tool	et værktøj	Brug det rigtige værktøj.
top	en top; øverst	Den øverste hylde er fuld.
touch	røre ved	Rør ikke glasset.
tour	en rundtur	Vi tog en rundtur i byen.
tourism	turisme	Turisme hjælper denne by.
towards	mod	Gå mod stationen.
towel	et håndklæde	Tag et rent håndklæde med.
tower	et tårn	Tårnet er meget gammelt.
toy	et legetøj	Legetøjsbilen er rød.
track	et spor	Sporet går mod nord.
tradition	en tradition	Denne tradition er gammel.
traditional	traditionel	Hun bar traditionelt tøj.
trainer	en træner	Min træner er hjælpsom.
training	træning	Træningen starter i morgen.
transport	transport	Den offentlige transport er forsinket.
traveller	en rejsende	Den rejsende bad om hjælp.
trouble	problemer	Vi havde problemer i går.
truck	en lastbil	Lastbilen står udenfor.
twin	en tvilling	Min tvillingsøster er højere.
typical	typisk	Dette er en typisk dag.
underground	underjordisk	Toget kører under jorden.
understanding	en forståelse	Din forståelse er korrekt.
unfortunately	desværre	Desværre er butikken lukket.
unhappy	ulykkelig	Han ser ulykkelig ud.
uniform	en uniform	Hun bærer skoleuniform.
unit	en enhed	Denne enhed er lille.
united	forenet	Holdet forblev forenet.
unusual	usædvanlig	Den lyd er usædvanlig.
used to modal	plejede at	Vi plejede at bo her.
user	en bruger	Hver bruger har et nummer.
usual	sædvanlig	Jeg tog min sædvanlige plads.
valley	en dal	Dalen er grøn.
van	en varevogn	Varevognen er fuld.
variety	en variation	Vi har brug for mere variation.
vehicle	et køretøj	Dette køretøj er langsomt.
view	en udsigt	Udsigten er smuk.
virus	en virus	En virus gjorde ham syg.
voice	en stemme	Hendes stemme er stille.
war	en krig	Krigen sluttede for mange år siden.
washing	vasketøj	Vasketøjet hænger udenfor.
wave	en bølge	En bølge ramte båden.
weak	svag	Mine ben føles svage.
web	nettet; web	Websiden er åben.
wedding	et bryllup	Brylluppet starter snart.
weight	en vægt	Tjek vægten først.
wet	våd	Mine sko er våde.
wheel	et hjul	Hjulet er ødelagt.
while	et stykke tid	Vent her et stykke tid.
whole	hel	Jeg spiste hele æblet.
whose	hvis	Hvis telefon er det?
wide	bred	Vejen er bred.
wild	vild	Vilde dyr lever her.
wind1	en vind	Vinden er stærk.
winner	en vinder	Vinderen smilede.
wish	et ønske	Ønsk dig noget.
wood	træ	Stolen er lavet af træ.
wooden	træ-	Trækassen er tung.
working	arbejdende; arbejds-	Arbejdsdagen sluttede.
worried	bekymret	Jeg er bekymret i dag.
worry	bekymre sig	Du skal ikke bekymre dig nu.
worse	værre	Denne smerte er værre.
worst	værst	Det var den værste dag.
wow	wow	Wow, det er fantastisk!
yet	endnu; allerede	Er vi der endnu?
yours	din; dit	Denne bog er din.
zero	nul	Tæl ned til nul.
