source_headword	SK	example_SK
author	autor	Autor napísal túto knihu.
available	dostupný	Jedlo je teraz dostupné.
average	priemerný; priemer	Priemerný výsledok bol dobrý.
avoid	vyhnúť sa	Vyhni sa rušnej ceste.
award	cena; ocenenie	Vyhrala cenu.
awful	hrozný	Počasie bolo hrozné.
background	pozadie	Obrázok má tmavé pozadie.
badly	zle	Dnes hral zle.
bar	bar; tyč	Stretli sme sa v hotelovom bare.
baseball	bejzbal	Bejzbal je tu populárny.
based	založený	Film je založený na knihe.
basketball	basketbal	Po škole hráme basketbal.
bean	fazuľa	Táto fazuľa je zelená.
bear (animal)	medveď	Medveď žije v lese.
beat	poraziť; biť	Náš tím ich môže poraziť.
beef	hovädzie mäso	Na večeru som jedol hovädzie.
behave	správať sa	Správaj sa v triede slušne.
behaviour	správanie	Jeho správanie bolo zdvorilé.
belong	patriť	Tieto topánky patria mne.
belt	opasok	Jeho opasok je čierny.
benefit	výhoda; prínos	Cvičenie má skutočný prínos.
billion	miliarda	Miliarda je obrovské číslo.
bin	odpadkový kôš	Daj papier do koša.
biology	biológia	Biológia je môj najlepší predmet.
birth	narodenie	Narodila sa v máji.
biscuit	sušienka	Jedáva sušienku.
bit	kúsok; trochu	Potrebujem trochu viac času.
blank	prázdny; medzera	Napíš svoje meno do medzery.
blood	krv	Krv je červená.
blow	fúkať; úder	Vietor môže fúkať silno.
board	tabula; doska	Napíš to na tabuľu.
boil	variť; vrieť	Najprv uvar vodu.
bone	kosť	Pes má kosť.
borrow	požičať si	Môžem si požičať tvoje pero?
boss	šéf	Môj šéf je priateľský.
bottom	dno; spodná časť	Podpíš sa dole.
bowl	misa	Misa je plná.
brain	mozog	Tvoj mozog potrebuje odpočinok.
bridge	most	Most je starý.
bright	jasný; svetlý	Izba je svetlá.
brilliant	výborný; skvelý	Ten nápad je skvelý.
broken	rozbitý	Stolička je rozbitá.
brush	kefa; čistiť	Umy si teraz zuby.
burn	horieť; spáliť	Nespáľ chlieb.
businessman	obchodník; podnikateľ	Podnikateľ prišiel skoro.
button	tlačidlo; gombík	Stlač červené tlačidlo.
camp	tábor; táboriť	Táboríme blízko jazera.
camping	kempovanie	Kempovanie je v lete zábavné.
can2	plechovka	Opatrne otvor plechovku.
care	starostlivosť; starať sa	Staraj sa o svoje zdravie.
careful	opatrný	Buď opatrný na schodoch.
carefully	opatrne; starostlivo	Prečítaj otázku starostlivo.
carpet	koberec	Koberec je mäkký.
cartoon	kreslený film; komiks	Ten kreslený film je vtipný.
case	puzdro; prípad	Daj to do puzdra.
cash	hotovosť	Zaplatil som hotovosťou.
castle	hrad	Hrad je veľmi starý.
catch	chytiť	Chyť loptu teraz.
cause	spôsobiť; príčina	Dážď môže spôsobiť problémy.
celebrate	osláviť; sláviť	Oslavujeme moje narodeniny.
celebrity	celebrita	Celebrita bola veľmi milá.
certain	istý; určitý	Som si tým istý.
certainly	iste; určite	Určite pomôžem.
chance	šanca; príležitosť	Máš šancu.
character	postava; povaha	Táto postava je odvážna.
charity	charita	Charita pomáha deťom.
chat	rozprávať sa; chat	Po hodine sa rozprávame.
chef	kuchár	Kuchár uvaril polievku.
chemistry	chémia	Chémia je pre mňa ťažká.
chip	čips; žetón	Tento čips je slaný.
choice	voľba	Táto voľba je dôležitá.
church	kostol	Kostol je blízko.
cigarette	cigareta	Cigareta škodí zdraviu.
circle	kruh; zakrúžkovať	Nakresli tu kruh.
classical	klasický	Mám rád klasickú hudbu.
clear	jasný; vyčistiť	Odpoveď je jasná.
clearly	jasne	Hovor jasne, prosím.
clever	múdry; šikovný	Je to šikovné dieťa.
climate	podnebie; klíma	Klíma sa mení.
close2	blízko	Moja škola je blízko domova.
closed	zatvorený	Obchod je zatvorený.
clothing	oblečenie	Teplé oblečenie je užitočné.
cloud	oblak	Oblak zakrýva slnko.
coach	tréner; autobus	Tréner pomohol tímu.
coast	pobrežie	Išli sme pozdĺž pobrežia.
code	kód	Zadaj sem kód.
colleague	kolega	Kolega mi zavolal.
collect	zbierať	Zbieram staré karty.
column	stĺpec	Prečítaj prvý stĺpec.
comedy	komédia	Táto komédia je vtipná.
comfortable	pohodlný	Táto stolička je pohodlná.
comment	komentár; komentovať	Nechaj komentár dole.
communicate	komunikovať	Komunikujeme e-mailom.
community	komunita	Naša komunita je priateľská.
compete	súťažiť	Súťažia každý rok.
competition	súťaž	Súťaž sa začína zajtra.
complain	sťažovať sa	Nesťažuj sa znova.
completely	úplne	Úplne s tebou súhlasím.
condition	stav; podmienka	Auto je v dobrom stave.
conference	konferencia	Konferencia sa začína o deviatej.
connect	pripojiť; spojiť	Pripoj telefón k počítaču.
connected	spojený	Tie dve myšlienky sú spojené.
consider	zvážiť	Zváž prosím môj nápad.
contain	obsahovať	Táto krabica obsahuje knihy.
context	súvislosť; kontext	Súvislosť pomáha porozumieť.
continent	kontinent	Kontinent je veľmi veľký.
continue	pokračovať	Pokračuj v čítaní, prosím.
control	ovládať; kontrola	Opatrne ovládaj rýchlosť.
cooker	sporák	Sporák je čistý.
copy	kópia; kopírovať	Urob pre mňa kópiu.
corner	roh; kút	Sadni si do rohu.
correctly	správne	Napíš odpoveď správne.
count	počítať	Spočítaj knihy.
couple	pár	Pár prišiel skoro.
cover	prikryť; kryt	Prikry misu.
crazy	šialený	Ten nápad znie šialene.
creative	tvorivý	Má tvorivý nápad.
credit	úver; kredit	Zaplatil som kreditnou kartou.
crime	zločin	Zločin je vážny problém.
criminal	zločinec; trestný	Zločinec rýchlo odišiel.
cross	prejsť; kríž	Prejdi ulicu opatrne.
crowd	dav	Dav čakal vonku.
crowded	preplnený	Vlak bol preplnený.
cry	plakať	Teraz neplač.
cupboard	skrinka	Šálky sú v skrinke.
curly	kučeravý	Má kučeravé vlasy.
cycle	jazdiť na bicykli; cyklus	Jazdím do školy na bicykli.
daily	denný; denne	Denne čítam správy.
danger	nebezpečenstvo	Značka ukazuje nebezpečenstvo.
data	dáta; údaje	Dáta sú užitočné.
dead	mŕtvy	Rastlina je mŕtva.
deal	dohoda; obchod	To je dobrý obchod.
death	smrť; úmrtie	Smrť je ťažká téma.
decision	rozhodnutie	Urob rozhodnutie dnes.
deep	hlboký	Voda je hlboká.
definitely	rozhodne	Rozhodne chcem čaj.
degree	titul; stupeň	Môj titul je z histórie.
dentist	zubár	Zubár mi skontroloval zuby.
department	oddelenie	Oddelenie obuvi je hore.
depend	závisieť	Záleží na počasí.
desert	púšť	Púšť je veľmi suchá.
designer	dizajnér; návrhár	Návrhár vytvoril tieto šaty.
destroy	zničiť	Neznič ten súbor.
detective	detektív	Detektív našiel kľúč.
develop	vyvíjať	Vyvíjajú novú aplikáciu.
device	zariadenie	Toto zariadenie je užitočné.
diary	denník	Píše si do denníka.
differently	inak	Robíme to inak.
digital	digitálny	To je digitálny fotoaparát.
direct	priamy; riadiť	Choď priamym vlakom.
direction	smer	Choď týmto smerom.
director	režisér; riaditeľ	Režisérovi sa film páčil.
disagree	nesúhlasiť	Nesúhlasím s tým nápadom.
disappear	zmiznúť	Slnko čoskoro zmizne.
disaster	katastrofa	Búrka bola katastrofa.
discover	objaviť	Objavia nový ostrov.
discovery	objav	Objav zmenil vedu.
discussion	diskusia	Diskusia sa skončila skoro.
disease	choroba	Táto choroba je vážna.
distance	vzdialenosť	Vzdialenosť je krátka.
divorced	rozvedený	Jej rodičia sú rozvedení.
document	dokument; listina	Ulož tento dokument hneď.
double	dvojitý; dvojlôžkový	Potrebujem dvojlôžkovú izbu.
download	stiahnuť; stiahnutie	Stiahni aplikáciu dnes.
drama	dráma	Dráma sa začína dnes večer.
drawing	kresba	Jej kresba je krásna.
dream	sen; snívať	Mal som zvláštny sen.
driving	šoférovanie; jazda	Šoférovanie v noci je ťažké.
drop	pustiť; kvapka	Nepusť pohár.
drug	liek; droga	Liek mu pomohol.
dry	suchý; sušiť	Uterák je suchý.
earn	zarábať	Zarábam peniaze v práci.
earth	Zem; pôda	Zem je guľatá.
easily	ľahko	Učí sa ľahko.
education	vzdelanie	Vzdelanie je dôležité.
effect	účinok; vplyv	Účinok bol jasný.
either	ktorýkoľvek; buď	Ktorákoľvek odpoveď je v poriadku.
electric	elektrický	Toto auto je elektrické.
electrical	elektrický	Elektrický systém je bezpečný.
electricity	elektrina	Elektrina je tu drahá.
electronic	elektronický	Tento elektronický lístok funguje.
employ	zamestnať	Zamestnávajú päť ľudí.
employee	zamestnanec	Zamestnanec tvrdo pracuje.
employer	zamestnávateľ	Môj zamestnávateľ je férový.
empty	prázdny	Izba je prázdna.
ending	koniec	Koniec bol prekvapivý.
energy	energia	Dnes nemám energiu.
engine	motor	Motor je hlučný.
engineer	inžinier	Inžinier opravil most.
enormous	obrovský	Budova je obrovská.
enter	vstúpiť; zadať	Vstúp do izby potichu.
environment	životné prostredie	Chráň životné prostredie.
equipment	vybavenie	Toto vybavenie je drahé.
error	chyba	Našiel som chybu.
especially	najmä; obzvlášť	Obzvlášť sa mi páči táto pieseň.
essay	esej	Napíš dnes večer esej.
everyday	každodenný	To je každodenná angličtina.
everywhere	všade	Kvety rastú všade.
evidence	dôkaz; dôkazy	Dôkazy sú jasné.
exact	presný	Daj presné číslo.
exactly	presne	To je presne správne.
excellent	výborný	Tvoja práca je výborná.
except	okrem	Všetci prišli okrem mňa.
exist	existovať	Existuje táto adresa?
expect	očakávať	Zajtra očakávam dážď.
experience	skúsenosť	Mám skúsenosti s deťmi.
experiment	pokus	Pokus fungoval dobre.
expert	odborník	Spýtaj sa odborníka na pomoc.
explanation	vysvetlenie	Jej vysvetlenie bolo jasné.
express	vyjadriť	Vyjadri prosím svoj názor.
expression	výraz	Tento výraz je bežný.
extreme	extrémny	Horúčava bola extrémna.
extremely	extrémne; veľmi	Je extrémne chladno.
factor	faktor; činiteľ	Cena je jeden faktor.
factory	továreň	Továreň zatvára o piatej.
fail	zlyhať; neuspieť	Nezlyhal som.
fair	spravodlivý; férový	Cena je férová.
fan	ventilátor; fanúšik	Zapni ventilátor.
farming	poľnohospodárstvo	Poľnohospodárstvo je ťažká práca.
fashion	móda	Móda sa mení každý rok.
fear	strach; báť sa	Strach môže ľudí zastaviť.
feature	vlastnosť; funkcia	Tento telefón má užitočnú funkciu.
feed	kŕmiť; krmivo	Nakŕm teraz mačku.
female	ženský; žena	Zvíťazila športovkyňa.
fiction	beletria	Večer číta beletriu.
field	pole; ihrisko	Pole je zelené.
fight	bojovať; hádať sa	Príliš sa hádajú.
figure	postava; číslo	Pozri sa na obrázok.
finally	konečne	Konečne sme dorazili domov.
finger	prst	Bolí ma prst.
firstly	po prvé	Po prvé si prečítaj otázku.
fishing	rybolov	Rybolov je tu populárny.
fit	sedieť; pasovať	Tieto topánky dobre sedia.
fix	opraviť	Oprav rozbitú stoličku.
flu	chrípka	Mám chrípku.
flying	lietanie	Lietanie je rýchle.
focus	sústrediť sa; pozornosť	Sústreď sa na túto úlohu.
following	nasledujúci	Prečítaj nasledujúcu vetu.
foreign	cudzí; zahraničný	Hovorí cudzím jazykom.
forest	les	Les je tichý.
fork	vidlička	Použi vidličku.
formal	formálny	Tento list je formálny.
fortunately	našťastie	Našťastie sa nikto nezranil.
forward	dopredu	Choď pomaly dopredu.
fresh	čerstvý	Chlieb je čerstvý.
