source_headword	SW	example_SW
restoration	urejesho	Urejesho wa jengo ulichukua miaka.
restraint	kujizuia	Polisi walionyesha kujizuia.
resume	kuanza tena	Madarasa yataanza tena wiki ijayo.
retreat	kurudi nyuma	Jeshi lilianza kurudi nyuma.
retrieve	kurejesha	Alirejesha faili.
revelation	ufunuo	Ufunuo uliharibu sifa yake.
revenge	kisasi	Alitaka kulipiza kisasi kwa tusi.
reverse	kubatilisha	Mahakama ilibatilisha uamuzi.
revival	uamsho	Mji ulishuhudia uamsho wa kiuchumi.
revive	kuhuisha	Tamasha lilisaidia kuhuisha mila za mitaa.
revolutionary	-a kimapinduzi	Uvumbuzi ulikuwa wa kimapinduzi.
rhetoric	usemi	Usemi wake ulisikika kama wa fujo.
rifle	bunduki	Bunduki ilihifadhiwa kwa usalama.
riot	ghasia	Ghasia zilidumu kwa saa kadhaa.
rip	kurarua	Rarua karatasi kwa uangalifu.
ritual	tambiko	Tambiko huadhimisha mavuno.
robust	imara	Mfumo ni imara.
rock	kutikisa	Mlipuko ulitikisa kijiji.
rod	ufito	Pazia linaning'inia kwenye ufito.
rotate	kuzungusha	Zungusha kishikio polepole.
rotation	mabadilishano	Mabadilishano ya mazao hulinda udongo.
ruling	uamuzi	Mahakama ilitoa uamuzi.
rumour	uvumi	Uvumi ulienea haraka.
sack	kufukuza kazi	Bodi inaweza kumfukuza kazi kocha.
sacred	takatifu	Hekalu ni takatifu.
sacrifice	kujitolea	Wazazi mara nyingi hujitolea.
saint	mtakatifu	Kanisa linamheshimu mtakatifu wa mtaa.
sake	kwa ajili ya	Alibaki kwa ajili yake.
sanction	vikwazo	Vikwazo viliathiri biashara ya kimataifa.
say	kauli	Wafanyakazi walikuwa na kauli katika upangaji.
scattered	-liotawanyika	Karatasi zilizotawanyika zilifunika dawati.
sceptical	-enye shaka	Alibaki na shaka na madai hayo.
scope	upeo	Upeo wa mradi ulipanuka.
screw	skrubu	Kaza skrubu kwa uangalifu.
scrutiny	uchunguzi	Makubaliano yalikabiliwa na uchunguzi wa umma.
seal	kufunga	Funga bahasha kabla ya kutuma.
secular	-a kidunia	Shule inafuata mtaala wa kidunia.
seemingly	kwa kuonekana	Kazi hiyo ilionekana rahisi.
segment	sehemu	Sehemu ya mwisho ilikuwa fupi.
seize	kukamata	Polisi walikamata nyaraka.
seldom	mara chache	Yeye hukosa darasa mara chache.
selective	-teuzi	Programu ni teuzi sana.
senator	seneta	Seneta aliunga mkono mswada.
sensation	msisimko	Ugunduzi ulisababisha msisimko.
sensitivity	unyeti	Suala linahitaji unyeti.
sentiment	hisia	Hisia za umma zilibadilika haraka.
separation	utengano	Utengano ulikuwa mgumu.
serial	-a mfululizo	Namba ya mfululizo inakosekana.
settlement	makubaliano	Makubaliano yalimaliza mzozo.
set-up	mpangilio	Mpangilio ulichukua asubuhi yote.
sexuality	ujinsia	Kozi inajadili utambulisho na ujinsia.
shareholder	mwanahisa	Mwanahisa aliihoji bodi.
shatter	vunja vipandevipande	Habari hizo zilivunja ujasiri wake.
shed	-punguza / -mwaga	Kampuni itapunguza ajira.
sheer	halisi / tupu	Ukubwa wake halisi ulishangaza kila mtu.
shipping	usafirishaji	Gharama za usafirishaji ziliongezeka.
shoot	upigaji picha	Upigaji picha uliisha mapema.
shrink	-sinyaa	Shati linaweza kusinyaa.
shrug	-kunja mabega	Alikunja mabega kidogo.
sigh	-shusha pumzi	Alishusha pumzi kwa utulivu.
simulate	-iga	Programu inaweza kuiga msongamano wa magari.
simulation	uigaji	Uigaji ulitabiri mafuriko.
simultaneously	kwa wakati mmoja	Kengele mbili zililia kwa wakati mmoja.
sin	dhambi	Kiburi kinachukuliwa kuwa dhambi.
situated	-liopo	Hoteli ipo katikati ya jiji.
sketch	mchoro	Alichora mchoro wa haraka.
skip	-ruka	Usiruke kifungua kinywa.
slam	-funga kwa nguvu	Anaweza kufunga mlango kwa nguvu.
slap	-piga kofi	Usipige meza kofi.
slavery	utumwa	Utumwa uliunda historia ya kanda hiyo.
slot	nafasi / muda	Weka nafasi ya muda mtandaoni.
smash	-vunja vipandevipande	Kioo kilivunjika sakafuni.
snap	-vunjika kwa sauti	Tawi lilivunjika kwenye upepo.
soak	-loweka	Loweka maharagwe usiku kucha.
soar	-paa	Bei za mafuta zinaweza kupaa.
socialist	-a kijamaa	Chama kinaunga mkono sera za kijamaa.
sole	-a pekee	Yeye ndiye aliyekuwa manusura wa pekee.
solely	pekee	Uamuzi ulikuwa wake pekee.
solicitor	mwanasheria / wakili	Mwanasheria aliandaa mkataba.
solidarity	mshikamano	Wafanyakazi walionyesha mshikamano.
solo	pekee	Alitoa albamu ya pekee.
sound	imara / thabiti	Mpango huo ni thabiti na wa vitendo.
sovereignty	mamlaka	Mkataba huo ulilinda mamlaka ya kitaifa.
spam	barua taka	Barua taka zilijaza kikasha.
span	-vuka	Daraja linavuka mto.
spark	-anzisha	Kauli ndogo ilianzisha mjadala.
specialized	-maalum	Kliniki inatoa huduma maalum.
specification	vipimo	Muundo huo unakidhi kila vipimo.
specimen	sampuli	Sampuli ilihifadhiwa salama.
spectacle	tamasha	Gwaride lilikuwa tamasha wazi.
spectrum	wigo	Maoni yanashughulikia wigo mpana.
spell	kipindi	Kipindi cha ukame kilidumu kwa wiki.
sphere	nyanja	Siasa ziliingia kwenye nyanja ya utamaduni.
spin	-zunguka	Magurudumu yalianza kuzunguka.
spine	uti wa mgongo	Jeraha liliathiri uti wake wa mgongo.
spotlight	mwangaza	Kashfa hiyo ilimweka kwenye mwangaza.
spouse	mwenzi	Mwenzi wake alihudhuria sherehe.
spy	jasusi	Jasusi alituma ujumbe wa siri.
squad	kikosi	Kikosi cha uokoaji kilifika haraka.
squeeze	-kamua / -finya	Finya kishikio kwa upole.
stab	-choma kisu	Ripoti hiyo ilielezea jeraha la kisu.
stability	uthabiti	Sera ilileta uthabiti.
stabilize	-imarisha	Dawa ilisaidia kumuimarisha.
stake	hisa	Wawekezaji wana hisa hapa.
standing	hadhi	Hadhi yake katika chama ilipanda.
stark	wazi	Matokeo yalionyesha tofauti iliyo wazi.
statistical	-a takwimu	Utafiti ulitumia mbinu za takwimu.
steer	-elekeza	Alijaribu kuelekeza mjadala.
stem	shina	Shina lilivunjika katika dhoruba.
stereotype	dhana potofu	Filamu hiyo ilipinga dhana potofu.
stimulus	kichocheo	Kifurushi kilitoa kichocheo cha kiuchumi.
stir	-koroga	Koroga mchuzi polepole.
storage	hifadhi	Kituo hicho kinatoa hifadhi salama.
straightforward	wazi	Maagizo yalikuwa wazi.
strain	mkazo	Ucheleweshaji mrefu ulisababisha mkazo.
strand	unyuzi	Unyuzi wa nywele ulianguka.
strategic	-a kimkakati	Kampuni ilifanya uwekezaji wa kimkakati.
strip (long narrow piece)	ukanda / kipande chembamba	Kata kipande chembamba cha karatasi.
strip (remove clothes/a layer)	-chubua	Chubua rangi ya zamani kwa uangalifu.
strive	-jitahidi	Wanajitahidi kwa ubora.
structural	-a kimuundo	Daraja lina uharibifu wa kimuundo.
stumble	-jikwaa	Alijikwaa kwenye ngazi.
stun	-pigwa na butwaa	Habari zinaweza kuwapiga watu na butwaa.
submission	uwasilishaji	Tarehe ya mwisho ya uwasilishaji ilipita.
subscriber	mteja	Kila mteja hupokea sasisho.
subscription	usajili	Usajili unajirudia wenyewe.
subsidy	ruzuku	Ruzuku ilipunguza gharama za mafuta.
substantial	kikubwa	Mradi unahitaji ufadhili mkubwa.
substantially	kwa kiasi kikubwa	Bei iliongezeka kwa kiasi kikubwa.
substitute	mbadala	Tumia maziwa kama mbadala.
substitution	ubadilishaji	Ubadilishaji ulibadilisha mapishi.
subtle	fiche	Mchoro una maelezo fiche.
suburban	-a vitongoji	Walihamia eneo la vitongoji.
succession	mfululizo	Mgogoro ulifuata mfululizo wa kufeli.
successive	-mfululizo	Serikali zilizofuatana zilipuuza suala hilo.
successor	mrithi	Mrithi ataanza Jumatatu.
suck	-fyonza	Mashine inaweza kufyonza vumbi.
sue	-shitaki	Aliamua kuishtaki kampuni.
suicide	kujiua	Kuzuia kujiua kunahitaji ufadhili endelevu.
suite	suti ya hoteli	Suti ya hoteli ilitazama mto.
summit	kilele / mkutano	Viongozi walikutana kwenye mkutano.
superb	-zuri sana	Onyesho lilikuwa zuri sana.
superior	bora zaidi	Muundo mpya ni bora zaidi.
supervise	-simamia	Atasimamia wafunzwa.
supervision	usimamizi	Watoto wanahitaji usimamizi wa watu wazima.
supervisor	msimamizi	Muulize msimamizi wako kwanza.
supplement	nyongeza	Ripoti inajumuisha nyongeza.
supportive	-a kuunga mkono	Familia yake ilimuunga mkono.
supposedly	inasemekana	Faili linaaminika kufutwa.
suppress	-kandamiza	Utawala ulijaribu kukandamiza maandamano.
supreme	-kuu	Mahakama kuu ilisikiliza kesi hiyo.
surge	ongezeko la ghafla	Ongezeko la ghafla liliharibu vifaa.
surgical	-a upasuaji	Mgonjwa anahitaji matibabu ya upasuaji.
surplus	ziada	Ghala lina ziada.
surrender	-jisalimisha	Wanajeshi walikubali kujisalimisha.
surveillance	ufuatiliaji	Kamera za ufuatiliaji zilirekodi mlango.
suspension	kusimamishwa	Kusimamishwa kulidumu wiki mbili.
suspicion	shaka	Tabia yake ilileta shaka.
suspicious	-a kutiliwa shaka	Kifurushi kilionekana cha kutiliwa shaka.
sustain	-dumisha	Mradi unaweza kudumisha kazi za ndani.
swing	-yumba	Mlango ulianza kuyumba.
sword	upanga	Upanga ulining'inizwa ukutani.
symbolic	-a mfano	Ishara hiyo ilikuwa ya mfano.
syndrome	ugonjwa	Ugonjwa huo unaathiri kumbukumbu.
synthesis	usanisi	Sura hiyo inatoa usanisi.
systematic	-a kimfumo	Ukaguzi ulikuwa wa kimfumo.
tactic	mbinu	Mbinu hiyo ilishindwa haraka.
tactical	-a kimbinu	Timu ilifanya mabadiliko ya kimbinu.
taxpayer	mlipakodi	Pesa za mlipakodi zilifadhili daraja hilo.
tempt	-shawishi	Ofa inaweza kuwashawishi wawekezaji.
tenant	mpangaji	Mpangaji alilipa kodi mapema.
tender	-ororo / -a huruma	Alitoa tabasamu la huruma.
tenure	kipindi cha kazi	Kipindi chake cha kazi kilidumu miaka sita.
terminal	-a kufisha	Mgonjwa alikuwa na ugonjwa wa kufisha.
terminate	-maliza	Kampuni inaweza kusitisha mkataba.
terrain	ardhi	Ardhi ilikuwa ngumu.
terrific	-zuri ajabu	Muonekano ulikuwa mzuri ajabu.
testify	-toa ushahidi	Alikubali kutoa ushahidi.
testimony	ushahidi	Ushahidi wake ulikuwa na maelezo mengi.
texture	muundo / unamu	Kitambaa kina unamu mbaya.
thankfully	kwa bahati nzuri	Kwa bahati nzuri, hakuna aliyejeruhiwa.
theatrical	-a kigizo	Hotuba hiyo ilisikika kama ya kigizo.
theology	theolojia	Alisomea theolojia chuo kikuu.
theoretical	-a kinadharia	Mtindo huo ni wa kinadharia tupu.
thereafter	baada ya hapo	Baada ya hapo, sheria zilibadilika.
thereby	kwa njia hiyo	Mabadiliko hayo yalipunguza gharama, na hivyo kuokoa kazi.
thoughtful	-enye kujali	Jibu lake lilikuwa la kujali.
thought-provoking	-enye kufikirisha	Makala hiyo ilikuwa yenye kufikirisha.
thread	uzi	Uzi ulikatika kwa urahisi.
threshold	kizingiti / kiwango	Kura hiyo ilivuka kiwango.
thrilled	-enye furaha tele	Alifurahishwa sana na habari hiyo.
thrive	-stawi	Biashara ndogo ndogo zinaweza kustawi hapa.
tide	wimbi	Wimbi lilipanda haraka.
tighten	-kaza	Kaza kifuniko kwa nguvu.
timber	mbao	Nyumba inatumia mbao za ndani.
timely	-a wakati muafaka	Onyo lilikuwa la wakati muafaka.
tobacco	tumbaku	Mauzo ya tumbaku yalipungua.
tolerance	uvumilivu	Sera inahimiza uvumilivu.
tolerate	-vumilia	Hatuwezi kuvumilia unyanyasaji.
toll	madhara / hasara	Dhoruba ilisababisha hasara kubwa.
top	-pita / -zidi	Mauzo yanaweza kuzidi rekodi ya mwaka jana.
torture	mateso	Mkataba huo unapiga marufuku mateso kabisa.
