source_headword	LV	example_LV
exclude	izslēgt	Saraksts izslēdz pagaidu darbiniekus.
exhibit	eksponāts	Muzejs izstādīs retas fotogrāfijas.
exit	izeja	Izeja ir aiz skatuves.
exotic	eksotisks	Veikals pārdod eksotiskus augļus.
expansion	paplašināšanās	Uzņēmums plānoja paplašināšanos.
expertise	kompetence	Viņas zināšanas uzlaboja projektu.
exploit	izmantot	Noziedznieki izmanto vājas paroles.
exposure	iedarbība	Saules iedarbība var sabojāt ādu.
extension	pagarinājums	Termiņa pagarinājums palīdzēja visiem.
extensive	plašs	Bibliotēkā ir plaši resursi.
extensively	plaši	Tēma tika plaši pētīta.
extract	fragments	Vaniļas ekstrakts dod garšu.
fabric	audums	Audums šķiet mīksts.
fabulous	pasakains	Maltīte bija pasakaina.
failed	neveiksmīgs	Neveiksmīgais mēģinājums mums kaut ko iemācīja.
fake	viltots	Mājaslapa pārdeva viltotas biļetes.
fame	slava	Slava mainīja viņa privāto dzīvi.
fantasy	fantāzija	Romāns ir fantāzija.
fare	braukšanas maksa	Autobusa braukšanas maksa pieauga.
federal	federālais	Federālā valdība paziņoja par finansējumu.
fever	drudzis	Bērnam ir drudzis.
firefighter	ugunsdzēsējs	Ugunsdzēsējs izglāba suni.
firework	salūts	Virs parka eksplodēja uguņošanas raķete.
firm	stingrs	Matracis ir stingrs.
firmly	stingri	Viņa stingri aizvēra durvis.
flavour	garša	Zupai ir bagātīga garša.
fond	mīļš	Viņš ir aizrāvies ar džezu.
fool	muļķis	Neuzvedies kā muļķis.
forbid	aizliegt	Likums aizliedz šeit smēķēt.
forecast	prognoze	Prognoze paredz lietu.
format	formāts	Izmanto pareizo faila formātu.
formation	veidošanās	Mākoņu veidošanās mainās ātri.
formerly	agrāk	Ēka kādreiz bija skola.
fortunate	veiksmīgs	Mēs bijām veiksmīgi, ierodoties agri.
forum	forums	Forumā tika apspriesta klimata politika.
fossil	fosilija	Fosilija tika atrasta akmenī.
foundation	pamats	Mājai ir stiprs pamats.
founder	dibinātājs	Dibinātājs sagaidīja viesus.
fraction	daļa	Ieradās tikai daļa studentu.
fragment	fragments	Stikla lauska gulēja uz grīdas.
framework	ietvars	Likums rada skaidru ietvaru.
fraud	krāpšana	Banka atklāja krāpniecību.
freely	brīvi	Bērni brīvi spēlējās ārā.
frequent	biežs	Bieži pārtraukumi uzlabo koncentrēšanos.
fulfil	izpildīt	Es ceru izpildīt savu solījumu.
full-time	pilna laika	Viņai ir pilna laika darbs.
fundamentally	pamatā	Plāns ir būtiski atšķirīgs.
furious	satracināts	Viņš bija nikns par kavēšanos.
gaming	spēļu spēlēšana	Datorspēļu spēlēšana var uzlabot reakcijas ātrumu.
gay	homoseksuāls	Viņš atbalsta geju tiesības.
gender	dzimums	Aptaujā tika jautāts par dzimumu.
gene	gēns	Gēns ietekmē acu krāsu.
genetic	ģenētisks	Slimībai ir ģenētiski cēloņi.
genius	ģēnijs	Jaunais pianists ir ģēnijs.
genuine	īsts	Viņas smaids šķita patiess.
genuinely	patiesi	Viņš patiesi vēlējās palīdzēt.
gesture	žests	Viņa veica draudzīgu žestu.
gig	koncerts	Grupa nospēlēja koncertu pilsētas centrā.
globalization	globalizācija	Globalizācija ietekmē vietējos uzņēmumus.
globe	globuss	Globuss parāda katru kontinentu.
golden	zelta	Saulriets kļuva zeltains.
goodness	labestība	Viņa tic cilvēku labestībai.
gorgeous	brīnišķīgs	Dārzs izskatījās krāšņs.
governor	gubernators	Gubernators parakstīja likumprojektu.
graphic	grafisks	Grafiskais attēls šokēja skatītājus.
graphics	grafika	Spēlei ir vienkārša grafika.
greatly	ievērojami	Tavs padoms ļoti palīdzēja.
greenhouse	siltumnīca	Tomāti aug siltumnīcā.
grocery	pārtikas prece	Viņa nopirka pārtikas preces pēc darba.
guideline	vadlīnija	Vadlīnija izskaidro drošu praksi.
habitat	dzīvotne	Mežs ir putnu dzīvotne.
harbour	osta	Laiva iebrauca ostā.
headquarters	galvenā mītne	Uzņēmuma galvenā mītne pārcēlās uz pilsētas centru.
