source_headword	IS	example_IS
cash	reiðufé	Ég borgaði með reiðufé.
castle	kastali	Kastalinn er mjög gamall.
catch	grípa	Gríptu boltann núna.
cause	orsök; valda	Rigning getur valdið vandamálum.
celebrate	fagna	Við fögnum afmælinu mínu.
celebrity	fræg manneskja	Fræga manneskjan var mjög góð.
certain	viss	Ég er viss um þetta.
certainly	vissulega	Ég mun vissulega hjálpa.
chance	tækifæri	Þú hefur tækifæri.
character	persóna; skapgerð	Þessi persóna er hugrökk.
charity	góðgerð	Góðgerðin hjálpar börnum.
chat	spjalla	Við spjöllum eftir tíma.
chef	kokkur	Kokkurinn bjó til súpu.
chemistry	efnafræði	Efnafræði er erfið fyrir mig.
chip	flaga	Þessi flaga er sölt.
choice	val	Þetta val er mikilvægt.
church	kirkja	Kirkjan er hér nálægt.
cigarette	sígaretta	Sígaretta er slæm fyrir heilsuna.
circle	hringur	Teiknaðu hring hér.
classical	klassískur	Ég nýt klassískrar tónlistar.
clear	skýr	Svarið er skýrt.
clearly	skýrt	Talaðu skýrt, takk.
clever	snjall	Hún er snjallt barn.
climate	loftslag	Loftslagið er að breytast.
close2	nálægt	Skólinn minn er nálægt heimili mínu.
closed	lokaður	Búðin er lokuð.
clothing	fatnaður	Hlýr fatnaður er gagnlegur.
cloud	ský	Ský hylur sólina.
coach	þjálfari	Þjálfarinn hjálpaði liðinu.
coast	strönd	Við keyrðum meðfram ströndinni.
code	kóði	Sláðu kóðann inn hér.
colleague	samstarfsmaður	Samstarfsmaður minn hringdi í mig.
collect	safna	Ég safna gömlum kortum.
column	dálkur	Lestu fyrsta dálkinn.
comedy	gamanmynd	Þessi gamanmynd er fyndin.
comfortable	þægilegur	Þessi stóll er þægilegur.
comment	athugasemd	Skildu eftir athugasemd hér fyrir neðan.
communicate	samskipti	Við höfum samskipti með tölvupósti.
community	samfélag	Samfélagið okkar er vingjarnlegt.
compete	keppa	Þau keppa á hverju ári.
competition	keppni	Keppnin byrjar á morgun.
complain	kvarta	Ekki kvarta aftur.
completely	alveg	Ég er alveg sammála þér.
condition	ástand	Bíllinn er í góðu ástandi.
conference	ráðstefna	Ráðstefnan byrjar klukkan níu.
connect	tengja	Tengdu símann við tölvuna.
connected	tengdur	Hugmyndirnar tvær eru tengdar.
consider	íhuga	Vinsamlegast íhugaðu hugmynd mína.
contain	innihélda	Þessi kassi inniheldur bækur.
context	samhengi	Samhengi hjálpar þér að skilja.
continent	heimsálfa	Heimsálfa er mjög stór.
continue	halda áfram	Haltu áfram að lesa, takk.
control	stjórn; stjórna	Stjórnaðu hraðanum varlega.
cooker	eldavél	Eldavélin er hrein.
copy	afrit	Gerðu afrit fyrir mig.
corner	horn	Sestu í hornið.
correctly	rétt	Skrifaðu svarið rétt.
count	telja	Teldu bækurnar.
couple	par	Parið kom snemma.
cover	hylja; loka	Hyljið skálina.
crazy	brjálaður	Þessi hugmynd hljómar brjáluð.
creative	skapandi	Hún hefur skapandi hugmynd.
credit	kredit; kreditkort	Ég borgaði með kreditkorti.
crime	glæpur	Glæpur er alvarlegt vandamál.
criminal	glæpamaður	Glæpamaðurinn fór fljótt.
cross	fara yfir	Farðu varlega yfir götuna.
crowd	fjöldi	Fjöldi beið úti.
crowded	fjölmennur	Lestin var fjölmenn.
cry	gráta	Ekki gráta núna.
cupboard	skápur	Bollarnir eru í skápnum.
curly	krullaður	Hún er með krullað hár.
cycle	hjóla	Ég hjóla í skólann.
daily	daglegur; daglega	Ég les fréttir daglega.
danger	hætta	Skiltið sýnir hættu.
data	gögn	Gögnin eru gagnleg.
dead	dauður	Plantan er dauð.
deal	samningur; kaup	Þetta eru góð kaup.
death	dauði	Dauði er erfitt umræðuefni.
decision	ákvörðun	Taktu ákvörðun í dag.
deep	djúpur	Vatnið er djúpt.
definitely	örugglega	Ég vil örugglega te.
degree	gráða; háskólagráða	Gráðan mín er í sögu.
dentist	tannlæknir	Tannlæknirinn skoðaði tennurnar mínar.
department	deild	Skódeildin er uppi.
depend	fara eftir	Það fer eftir veðrinu.
desert	eyðimörk	Eyðimörkin er mjög þurr.
designer	hönnuður	Hönnuðurinn gerði þennan kjól.
destroy	eyðileggja	Ekki eyðileggja skrána.
detective	leynilögreglumaður	Leynilögreglumaðurinn fann lykilinn.
develop	þróa	Þau þróa nýtt app.
device	tæki	Þetta tæki er gagnlegt.
diary	dagbók	Hún skrifar í dagbókina sína.
differently	öðruvísi	Við gerum það öðruvísi.
digital	stafrænn	Þetta er stafræn myndavél.
direct	beinn	Taktu beina lest.
direction	átt	Gakktu í þessa átt.
director	leikstjóri; forstjóri	Leikstjóranum líkaði myndin.
disagree	vera ósammála	Ég er ósammála þessari hugmynd.
disappear	hverfa	Sólin mun hverfa fljótlega.
disaster	hamfarir	Stormurinn var hamfarir.
discover	uppgötva	Þau uppgötva nýja eyju.
discovery	uppgötvun	Uppgötvunin breytti vísindum.
discussion	umræða	Umræðunni lauk snemma.
disease	sjúkdómur	Þessi sjúkdómur er alvarlegur.
distance	fjarlægð	Fjarlægðin er stutt.
divorced	fráskilinn	Foreldrar hennar eru fráskilin.
document	skjal	Vistaðu þetta skjal núna.
double	tvöfaldur	Ég þarf tveggja manna herbergi.
download	hlaða niður	Hladdu appinu niður í dag.
drama	drama	Dramaverkið byrjar í kvöld.
drawing	teikning	Teikning hennar er falleg.
dream	draumur	Mig dreymdi undarlegan draum.
driving	akstur	Akstur á nóttunni er erfiður.
drop	missa	Ekki missa glasið.
drug	lyf	Lyfið hjálpaði honum.
dry	þurr	Handklæðið er þurrt.
earn	vinna sér inn	Ég vinn mér inn peninga í vinnunni.
earth	jörð	Jörðin er kringlótt.
easily	auðveldlega	Hún lærir auðveldlega.
education	menntun	Menntun er mikilvæg.
effect	áhrif	Áhrifin voru skýr.
either	annar hvor	Hvort svarið sem er hentar.
electric	rafmagns	Þessi bíll er rafmagns.
electrical	raf-	Rafkerfið er öruggt.
electricity	rafmagn	Rafmagn er dýrt hér.
electronic	rafrænn	Þessi rafræni miði virkar.
employ	ráða	Þau ráða fimm manns.
employee	starfsmaður	Starfsmaðurinn vinnur mikið.
employer	vinnuveitandi	Vinnuveitandi minn er sanngjarn.
empty	tómur	Herbergið er tómt.
ending	endir	Endirinn kom á óvart.
energy	orka	Ég hef enga orku í dag.
engine	vél	Vélin er hávær.
engineer	verkfræðingur	Verkfræðingurinn lagaði brúna.
enormous	risastór	Byggingin er risastór.
enter	fara inn	Farðu hljóðlega inn í herbergið.
environment	umhverfi	Verndaðu umhverfið.
equipment	búnaður	Þessi búnaður er dýr.
error	villa	Ég fann villu.
especially	sérstaklega	Mér líkar sérstaklega þetta lag.
essay	ritgerð	Skrifaðu ritgerð í kvöld.
everyday	hversdagslegur	Þetta er hversdagsleg enska.
everywhere	alls staðar	Blóm vaxa alls staðar.
evidence	sönnun	Sönnunin er skýr.
exact	nákvæmur	Gefðu nákvæma tölu.
exactly	nákvæmlega	Það er nákvæmlega rétt.
excellent	frábær	Vinnan þín er frábær.
except	nema	Allir komu nema ég.
exist	vera til	Er þetta heimilisfang til?
expect	búast við	Ég býst við rigningu á morgun.
experience	reynsla	Ég hef reynslu af börnum.
experiment	tilraun	Tilraunin virkaði vel.
expert	sérfræðingur	Biddu sérfræðing um hjálp.
explanation	skýring	Skýring hennar var skýr.
express	tjá	Vinsamlegast tjáðu skoðun þína.
expression	tjáning; orðasamband	Þetta orðasamband er algengt.
extreme	öfgafullur	Hitinn var öfgafullur.
extremely	afar	Það er afar kalt.
factor	þáttur	Kostnaður er einn þáttur.
factory	verksmiðja	Verksmiðjan lokar klukkan fimm.
fail	mistakast	Ég féll ekki.
fair	sanngjarn	Verðið er sanngjarnt.
fan	vifta; aðdáandi	Kveiktu á viftunni.
farming	landbúnaður	Landbúnaður er erfið vinna.
fashion	tíska	Tíska breytist á hverju ári.
fear	ótti	Ótti getur stöðvað fólk.
feature	eiginleiki	Þessi sími hefur gagnlegan eiginleika.
feed	fæða; gefa að borða	Gefðu kettinum að borða núna.
female	kvenkyns	Kvenkyns íþróttamaður vann.
fiction	skáldskapur	Hún les skáldskap á kvöldin.
field	akur; svið	Akurinn er grænn.
fight	berjast; slagsmál	Þau slást of mikið.
figure	mynd; tala	Horfðu á myndina.
finally	loksins	Við komum loksins heim.
finger	fingur	Fingurinn minn er aumur.
firstly	í fyrsta lagi	Í fyrsta lagi, lestu spurninguna.
fishing	veiði	Veiði er vinsæl hér.
fit	passa	Þessir skór passa vel.
fix	laga	Lagaðu brotna stólinn.
flu	flensa	Ég er með flensu.
flying	flug	Flug er hratt.
focus	einbeita sér	Einbeittu þér að þessu verkefni.
following	eftirfarandi	Lestu eftirfarandi setningu.
foreign	erlendur; útlendur	Hún talar erlent tungumál.
forest	skógur	Skógurinn er hljóður.
fork	gaffall	Notaðu gaffal.
formal	formlegur	Þetta bréf er formlegt.
fortunately	sem betur fer	Sem betur fer meiddist enginn.
forward	áfram	Farðu hægt áfram.
fresh	ferskur	Brauðið er ferskt.
