hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
2059:便利店	便利店	便利店	market; günlük ihtiyaç mağazası	Alt kattaki market yirmi dört saat açık.	duka la karibu; duka la mahitaji	Duka la karibu lililo chini linafunguliwa saa ishirini na nne.	rahat mağaza; kiçik market	Aşağıdakı rahat mağaza iyirmi dörd saat açıqdır.	qulay do‘kon; kichik market	Pastdagi qulay do‘kon yigirma to‘rt soat ochiq.
2067:饼	饼	饼	yassı ekmek; krep	Annem sabah bana yumurtalı krep yaptı.	chapati; keki bapa	Mama alinitengenezea chapati ya mayai asubuhi.	yastı çörək; blin	Anam səhər mənə yumurtalı blin hazırladı.	yassi non; quymoq	Onam ertalab menga tuxumli quymoq qildi.
2068:病房	病房	病房	hasta odası; hastane koğuşu	Hemşire hastayı hasta odasına götürdü.	wodi ya hospitali	Muuguzi alimpeleka mgonjwa kwenye wodi ya hospitali.	xəstəxana palatası	Tibb bacısı xəstəni xəstəxana palatasına apardı.	shifoxona palatasi	Hamshira bemorni shifoxona palatasiga olib bordi.
2069:病情	病情	病情	hastalığın durumu; sağlık durumu	Doktor onun durumunun çoktan iyileştiğini söyledi.	hali ya ugonjwa; hali ya afya	Daktari alisema hali yake ya ugonjwa tayari imeimarika.	xəstəliyin vəziyyəti; sağlamlıq durumu	Həkim onun vəziyyətinin artıq yaxşılaşdığını dedi.	kasallik holati; sog‘liq ahvoli	Shifokor uning kasallik holati allaqachon yaxshilanganini aytdi.
2070:拨打	拨打	拨打	aramak; numara çevirmek	Yangınla karşılaşırsanız lütfen acil durum numarasını arayın.	kupiga simu; kupiga nambari	Ukikumbana na moto, tafadhali piga nambari ya dharura.	zəng etmək; nömrə yığmaq	Yanğınla qarşılaşsanız, təcili yardım nömrəsinə zəng edin.	qo‘ng‘iroq qilmoq; raqam termoq	Yong‘inga duch kelsangiz, favqulodda raqamga qo‘ng‘iroq qiling.
2073:不利	不利	不利	olumsuz; elverişsiz	Kuvvetli rüzgar yarış için elverişsizdir.	isiyofaa; yenye hasara	Upepo mkali haufai kwa mashindano.	əlverişsiz; zərərli	Güclü külək yarış üçün əlverişsizdir.	noqulay; zararli	Kuchli shamol musobaqa uchun noqulay.
2074:不幸	不幸	不幸	talihsiz; talihsizlik	Çocukluğunda talihsiz bir deneyim yaşamıştı.	bahati mbaya; msiba	Alipitia tukio la bahati mbaya utotoni.	bədbəxt; bədbəxtlik	O, uşaqlığında bədbəxt bir hadisə yaşamışdı.	baxtsiz; baxtsizlik	U bolaligida baxtsiz bir voqeani boshdan kechirgan.
2078:不符	不符	不符	uymamak; uyuşmamak	Biletteki ad kimlikle uyuşmuyor.	kutolingana; kutokubaliana	Jina kwenye tiketi halilingani na kitambulisho.	uyğun gəlməmək; üst-üstə düşməmək	Biletdəki ad sənədlə uyğun gəlmir.	mos kelmaslik; to‘g‘ri kelmaslik	Chiptadagi ism hujjatga mos kelmaydi.
2079:不良	不良	不良	kötü; zararlı	Uzun süre geç yatmak kötü bir alışkanlıktır.	mbaya; yenye madhara	Kukesha kwa muda mrefu ni tabia mbaya.	pis; zərərli	Uzun müddət gec yatmaq pis vərdişdir.	yomon; zararli	Uzoq vaqt kech yotish yomon odatdir.
2081:步行	步行	步行	yürümek; yaya gitmek	Buradan okula yürüyerek gidebilirsiniz.	kutembea; kwenda kwa miguu	Unaweza kutembea kutoka hapa hadi shuleni.	piyada getmək; gəzmək	Buradan məktəbə piyada getmək olar.	piyoda yurmoq; piyoda bormoq	Bu yerdan maktabgacha piyoda borish mumkin.
2083:才2	才2	才	yetenek; kabiliyet	O, küçük yaştan itibaren müzik yeteneği gösterdi.	kipaji; uwezo	Alionyesha kipaji cha muziki tangu akiwa mdogo.	istedad; bacarıq	O, kiçik yaşlarından musiqi istedadı göstərdi.	iste'dod; qobiliyat	U bolaligidan musiqiy iste'dod ko‘rsatgan.
2087:彩色	彩色	彩色	renkli	Çocuklar renkli bir harita çizdi.	ya rangi; yenye rangi	Watoto walichora ramani ya rangi.	rəngli	Uşaqlar rəngli xəritə çəkdilər.	rangli	Bolalar rangli xarita chizishdi.
2088:采用	采用	采用	benimsemek; kullanmak	Şirket yeni bir yönetim yöntemini benimsemeye karar verdi.	kutumia; kukubali	Kampuni iliamua kutumia njia mpya ya usimamizi.	qəbul etmək; istifadə etmək	Şirkət yeni idarəetmə üsulunu qəbul etməyə qərar verdi.	qo‘llamoq; qabul qilmoq	Kompaniya yangi boshqaruv usulini qo‘llashga qaror qildi.
2090:餐饮	餐饮	餐饮	yiyecek içecek hizmetleri	Bu alışveriş merkezinin yiyecek içecek alanı beşinci kattadır.	huduma za chakula na vinywaji	Eneo la chakula na vinywaji la duka hili kubwa liko ghorofa ya tano.	qida və içki xidmətləri	Bu ticarət mərkəzinin qida və içki sahəsi beşinci mərtəbədədir.	ovqatlanish xizmatlari	Bu savdo markazining ovqatlanish zonasi beshinchi qavatda.
2092:藏	藏	藏	saklamak; gizlemek	Hediyeyi dolabın içine sakladı.	kuficha; kuhifadhi	Alificha zawadi ndani ya kabati.	gizlətmək; saxlamaq	O, hədiyyəni şkafda gizlətdi.	yashirmoq; saqlamoq	U sovg‘ani shkaf ichiga yashirdi.
2095:测	测	测	ölçmek; test etmek	Öğretmen suyun sıcaklığını ölçmemizi istedi.	kupima; kujaribu	Mwalimu alituomba tupime joto la maji.	ölçmək; yoxlamaq	Müəllim bizdən suyun temperaturunu ölçməyi istədi.	o‘lchamoq; sinamoq	O‘qituvchi bizdan suv haroratini o‘lchashni so‘radi.
2096:测试	测试	测试	test etmek; test	Yeni yazılım yarın test edilmeye başlanacak.	kujaribu; jaribio	Programu mpya itaanza kujaribiwa kesho.	test etmək; sınaq	Yeni proqram sabah test edilməyə başlayacaq.	sinovdan o‘tkazmoq; test	Yangi dastur ertaga sinovdan o‘tkazila boshlaydi.
2097:曾	曾	曾	bir zamanlar; daha önce	O, bir zamanlar Pekin'de üç yıl çalışmıştı.	awali; zamani	Aliwahi kufanya kazi Beijing kwa miaka mitatu.	bir vaxtlar; əvvəllər	O, bir vaxtlar Pekində üç il işləmişdi.	ilgari; bir paytlar	U ilgari Pekinda uch yil ishlagan.
2104:产	产	产	üretmek; doğurmak	Bu meyve bahçesi çoğunlukla elma üretir.	kuzalisha; kujifungua	Bustani hii ya matunda huzalisha hasa tufaha.	istehsal etmək; doğmaq	Bu meyvə bağı əsasən alma istehsal edir.	ishlab chiqarmoq; tug‘moq	Bu bog‘ asosan olma yetishtiradi.
2105:产量	产量	产量	üretim miktarı; verim	Bu yılki tahıl üretimi arttı.	uzalishaji; mavuno	Uzalishaji wa nafaka wa mwaka huu umeongezeka.	istehsal həcmi; məhsuldarlıq	Bu ilin taxıl istehsalı artıb.	ishlab chiqarish miqdori; hosildorlik	Bu yilgi don hosildorligi oshdi.
2108:长处	长处	长处	güçlü yön; avantaj	Sabır onun güçlü yönüdür.	sifa nzuri; nguvu	Uvumilivu ni sifa yake nzuri.	güclü tərəf; üstünlük	Səbir onun güclü tərəfidir.	kuchli tomon; afzallik	Sabr uning kuchli tomonidir.
2109:长度	长度	长度	uzunluk	Bu ipin uzunluğu tam uygun.	urefu	Urefu wa kamba hii unafaa kabisa.	uzunluq	Bu ipin uzunluğu tam uyğundur.	uzunlik	Bu arqonning uzunligi aynan mos.
2110:长久	长久	长久	uzun süreli; kalıcı	Gerçek dostluk uzun süre devam edebilir.	kudumu kwa muda mrefu; ya kudumu	Urafiki wa kweli unaweza kudumu kwa muda mrefu.	uzunmüddətli; davamlı	Əsl dostluq uzun müddət davam edə bilər.	uzoq davom etadigan; barqaror	Haqiqiy do‘stlik uzoq davom etishi mumkin.
2111:长期	长期	长期	uzun vadeli; uzun süreli	Uzun süreli egzersiz vücut için faydalıdır.	ya muda mrefu	Mazoezi ya muda mrefu yana faida kwa mwili.	uzunmüddətli	Uzunmüddətli idman bədən üçün faydalıdır.	uzoq muddatli	Uzoq muddatli jismoniy mashq tana uchun foydali.
2115:长远	长远	长远	uzun vadeli; uzun erimli	Karar verirken uzun vadeli etkileri düşünmek gerekir.	ya muda mrefu; ya mbali	Ukifanya uamuzi, fikiria athari za muda mrefu.	uzunmüddətli; uzaqgörən	Qərar verərkən uzunmüddətli təsiri nəzərə almaq lazımdır.	uzoq muddatli; uzoqni ko‘zlagan	Qaror qabul qilganda uzoq muddatli ta'sirni hisobga olish kerak.
2117:超	超	超	aşmak; geçmek	Bu ayki harcamalar bütçeyi aştı.	kuzidi; kupita	Matumizi ya mwezi huu yamezidi bajeti.	aşmaq; keçmək	Bu ayın xərcləri büdcəni aşdı.	oshmoq; ortib ketmoq	Bu oydagi xarajatlar byudjetdan oshib ketdi.
2118:超出	超出	超出	aşmak; dışına çıkmak	Gerçek maliyet planımızı aştı.	kuzidi; kupita	Gharama halisi ilizidi mpango wetu.	aşmaq; kənara çıxmaq	Faktiki xərc planımızı aşdı.	oshmoq; tashqariga chiqmoq	Haqiqiy xarajat rejamizdan oshib ketdi.
2120:超速	超速	超速	hız sınırını aşmak; aşırı hız yapmak	Bu araba hız sınırını aştığı için ceza aldı.	kuzidisha mwendo; kupita kasi	Gari hili lilitozwa faini kwa kuzidisha mwendo.	sürət həddini aşmaq	Bu maşın sürət həddini aşdığı üçün cərimələndi.	tezlikni oshirmoq; tez haydamoq	Bu mashina tezlikni oshirgani uchun jarimaga tortildi.
2124:车祸	车祸	车祸	trafik kazası	O trafik kazası ağır yaralanmaya yol açmadı.	ajali ya barabarani	Ajali ile ya barabarani haikusababisha majeraha makubwa.	yol qəzası	O yol qəzası ağır xəsarətə səbəb olmadı.	yo‘l-transport hodisasi	O‘sha yo‘l-transport hodisasi og‘ir jarohatlarga sabab bo‘lmadi.
2126:车辆	车辆	车辆	araç	Site kapısından dışarıdan gelen araçların girmesi yasaktır.	gari; chombo cha usafiri	Magari ya nje hayaruhusiwi kuingia kwenye lango la makazi.	nəqliyyat vasitəsi	Yaşayış kompleksinin girişindən kənar nəqliyyat vasitələrinin girməsi qadağandır.	transport vositasi	Mahalla kirish joyidan begona transport vositalarining kirishi taqiqlangan.
2128:车主	车主	车主	araç sahibi	Araç sahibi sigorta şirketiyle çoktan iletişime geçti.	mmiliki wa gari	Mmiliki wa gari tayari amewasiliana na kampuni ya bima.	avtomobil sahibi	Avtomobil sahibi artıq sığorta şirkəti ilə əlaqə saxlayıb.	avtomobil egasi	Avtomobil egasi allaqachon sug‘urta kompaniyasi bilan bog‘langan.
2130:沉	沉	沉	batmak; ağır	Taş suya düştü ve hızla battı.	kuzama; nzito	Jiwe lilianguka majini na likazama haraka.	batmaq; ağır	Daş suya düşdü və tez batdı.	cho‘kmoq; og‘ir	Tosh suvga tushdi va tezda cho‘kdi.
2134:称为	称为	称为	adlandırılmak; denmek	Bu çaya yerelde bahar çayı denir.	kuitwa	Aina hii ya chai huitwa chai ya masika eneo hili.	adlandırılmaq; deyilmək	Bu çay yerli olaraq yaz çayı adlandırılır.	deb atalmoq	Bu turdagi choy mahalliy joyda bahor choyi deb ataladi.
2143:成年1	成年1	成年	reşit olmak; yetişkin olmak	O bu yıl yeni reşit oldu ve işlemleri tek başına yapabilir.	kufikia utu uzima	Mwaka huu ametimiza umri wa utu uzima na anaweza kushughulikia taratibu mwenyewe.	yetkinlik yaşına çatmaq	O, bu il yeni yetkinlik yaşına çatıb və sənədləri özü həll edə bilər.	voyaga yetmoq	U bu yil endigina voyaga yetdi va hujjat ishlarini o‘zi bajarishi mumkin.
2144:城区	城区	城区	kentsel bölge; şehir içi bölge	Eski şehir bölgesinin sokakları nispeten dardır.	eneo la mjini	Mitaa ya eneo la zamani la mjini ni myembamba kiasi.	şəhər rayonu; şəhər ərazisi	Köhnə şəhər rayonunun küçələri nisbətən dardır.	shahar hududi; shahar tumani	Eski shahar hududidagi ko‘chalar nisbatan tor.
2149:乘务员	乘务员	乘务员	görevli; mürettebat üyesi	Görevli herkese emniyet kemerlerini takmasını hatırlattı.	mhudumu; mfanyakazi wa usafiri	Mhudumu aliwakumbusha wote wafunge mikanda ya usalama.	xidmətçi; ekipaj üzvü	Xidmətçi hamıya təhlükəsizlik kəmərlərini bağlamağı xatırlatdı.	xizmatchi; ekipaj a'zosi	Xizmatchi hammaga xavfsizlik kamarlarini taqishni eslatdi.
2153:橙子	橙子	橙子	portakal	Bu portakal tatlı ve çok sulu.	chungwa	Chungwa hili ni tamu na lina maji mengi.	portağal	Bu portağal şirindir və çox şirəlidir.	apelsin	Bu apelsin shirin va juda shirali.
2154:池	池	池	gölet; havuz	Avluda küçük bir gölet var.	bwawa; kidimbwi	Uani kuna kidimbwi kidogo.	gölməçə; hovuz	Həyətdə kiçik bir gölməçə var.	hovuz; ko‘lmak	Hovlida kichik hovuz bor.
2159:充电	充电	充电	şarj etmek	Telefonun şarjı bitmek üzere, şarj edilmesi gerekiyor.	kuchaji	Simu inakaribia kuisha chaji na inahitaji kuchajiwa.	şarj etmək	Telefonun enerjisi az qalır, onu şarj etmək lazımdır.	zaryad qilmoq	Telefonning quvvati tugayapti, uni zaryad qilish kerak.
2162:充值	充值	充值	bakiye yüklemek; yeniden doldurmak	Otobüs kartıma yüz yuan bakiye yükledim.	kuongeza salio; kujaza tena	Nimeongeza yuan mia moja kwenye kadi yangu ya basi.	balansı artırmaq; doldurmaq	Avtobus kartıma yüz yuan balans yüklədim.	balans to‘ldirmoq; qayta to‘ldirmoq	Avtobus kartamga yuz yuan balans to‘ldirdim.
2165:虫子	虫子	虫子	böcek	Saksıda birkaç küçük böcek var.	mdudu; wadudu	Kwenye chungu cha maua kuna wadudu wadogo wachache.	həşərat; böcək	Gül dibçəyində bir neçə kiçik həşərat var.	hasharot; qurt	Gul tuvagida bir nechta mayda hasharot bor.
2167:抽	抽	抽	çekip çıkarmak; sigara içmek	O, kutudan bir sayfa kağıt çekip çıkardı.	kutoa; kuvuta sigara	Alitoa karatasi moja kutoka kwenye kisanduku.	çəkib çıxarmaq; siqaret çəkmək	O, qutudan bir vərəq kağız çıxardı.	sug‘urib olmoq; chekmoq	U qutidan bir varaq qog‘oz sug‘urib oldi.
2170:初	初	初	başlangıç; başı	Toplantı gelecek ayın başında yapılacak.	mwanzo; mapema	Mkutano umepangwa kufanyika mwanzoni mwa mwezi ujao.	başlanğıc; əvvəl	İclas gələn ayın əvvəlində keçiriləcək.	boshlanish; boshida	Yig‘ilish keyingi oyning boshida o‘tkaziladi.
2173:初期	初期	初期	ilk aşama; başlangıç dönemi	Projenin ilk aşamasında daha fazla para gerekiyor.	hatua ya mwanzo	Mradi unahitaji fedha zaidi katika hatua ya mwanzo.	ilkin mərhələ	Layihənin ilkin mərhələsində daha çox vəsait lazımdır.	dastlabki bosqich	Loyihaning dastlabki bosqichida ko‘proq mablag‘ kerak.
2175:出售	出售	出售	satmak; satışa çıkarmak	Bu daire şu anda satışta.	kuuza; kuweka sokoni	Ghorofa hili linauzwa kwa sasa.	satmaq; satışa çıxarmaq	Bu mənzil hazırda satışdadır.	sotmoq; sotuvga qo‘ymoq	Bu kvartira hozir sotuvda.
2177:出自	出自	出自	-den gelmek; kaynaklanmak	Bu cümle eski bir kitaptan gelir.	kutoka; asili yake kuwa	Sentensi hii imetoka kwenye kitabu cha kale.	-dən gəlmək; mənşə almaq	Bu cümlə qədim bir kitabdan götürülüb.	-dan kelib chiqmoq; manbasi bo‘lmoq	Bu gap qadimiy kitobdan olingan.
2179:处	处	处	ele almak; halletmek	O, bu karmaşık sorunla ilgileniyor.	kushughulikia; kutatua	Anashughulikia tatizo hili tata.	həll etmək; məşğul olmaq	O, bu mürəkkəb problemi həll edir.	hal qilmoq; shug‘ullanmoq	U bu murakkab masalani hal qilyapti.
2181:处于	处于	处于	içinde olmak; durumda bulunmak	Şirket şu anda hızlı gelişme aşamasında.	kuwa katika; kupatikana katika	Kampuni kwa sasa iko katika hatua ya ukuaji wa haraka.	vəziyyətində olmaq; mərhələdə olmaq	Şirkət hazırda sürətli inkişaf mərhələsindədir.	holatda bo‘lmoq; bosqichda bo‘lmoq	Kompaniya hozir tez rivojlanish bosqichida.
2182:处	处	处	yer; nokta	Bu eski ev çoktan onarıldı.	mahali; sehemu	Nyumba hii ya zamani tayari imekarabatiwa.	yer; məkan	Bu köhnə ev artıq təmir olunub.	joy; o‘rin	Bu eski uy allaqachon ta'mirlangan.
2183:传	传	传	iletmek; yaymak	Lütfen bu materyali herkese iletin.	kupitisha; kusambaza	Tafadhali wapitishe wote nyenzo hii.	ötürmək; yaymaq	Zəhmət olmasa bu materialı hamıya ötürün.	uzatmoq; tarqatmoq	Iltimos, bu materialni hammaga tarqating.
2185:传递	传递	传递	iletmek; aktarmak	Bir gülümseme dostça bir mesaj iletebilir.	kufikisha; kupitisha	Tabasamu linaweza kufikisha ujumbe wa urafiki.	ötürmək; çatdırmaq	Təbəssüm mehriban mesaj çatdıra bilər.	yetkazmoq; uzatmoq	Tabassum do‘stona xabarni yetkazishi mumkin.
2188:窗台	窗台	窗台	pencere pervazı	Pencere pervazında iki saksı çiçek var.	ukingo wa dirisha	Kwenye ukingo wa dirisha kuna vyungu viwili vya maua.	pəncərə altlığı	Pəncərə altlığında iki dibçək gül var.	deraza tokchasi	Deraza tokchasida ikkita gul tuvagi turibdi.
2196:此后	此后	此后	bundan sonra; o zamandan beri	Bundan sonra bir daha geç kalmadı.	baada ya hapo; tangu hapo	Baada ya hapo, hakuwahi kuchelewa tena.	bundan sonra; o vaxtdan	Bundan sonra o, bir daha gecikmədi.	shundan keyin; o‘shandan beri	Shundan keyin u boshqa kechikmadi.
2197:此前	此前	此前	bundan önce; daha önce	Bundan önce bu sorunu zaten tartışmıştık.	kabla ya hapo; awali	Kabla ya hapo, tayari tulikuwa tumejadili suala hili.	bundan əvvəl; əvvəllər	Bundan əvvəl biz artıq bu məsələni müzakirə etmişdik.	bundan oldin; ilgari	Bundan oldin biz bu masalani allaqachon muhokama qilgan edik.
2198:此时	此时	此时	bu anda	Bu anda dışarıdaki yağmur daha da şiddetlendi.	wakati huu; sasa hivi	Wakati huu, mvua ya nje ilizidi kuwa kubwa.	bu anda	Bu anda çöldə yağış daha da gücləndi.	ayni paytda; shu vaqtda	Ayni paytda tashqaridagi yomg‘ir yanada kuchaydi.
2200:从不	从不	从不	asla; hiç	O, çalışırken asla telefonuyla oynamaz.	kamwe; hata mara moja	Hachezi na simu wakati wa kazi kamwe.	heç vaxt	O, iş vaxtı heç vaxt telefonla oynamır.	hech qachon	U ish paytida hech qachon telefon o‘ynamaydi.
2206:促销	促销	促销	indirim kampanyası; satış promosyonu	Süpermarkette hafta sonu indirim kampanyası var.	oferta ya mauzo; promosheni ya mauzo	Duka kubwa lina promosheni mwishoni mwa wiki.	endirim aksiyası; satış təşviqi	Supermarketdə həftəsonu endirim aksiyası var.	aksiya; savdo rag‘bati	Supermarketda dam olish kunlari aksiya bo‘ladi.
2208:存放	存放	存放	saklamak; depolamak	Lütfen valizinizi resepsiyonda bırakın.	kuhifadhi; kuweka	Tafadhali hifadhi mizigo yako mapokezi.	saxlamaq; yerləşdirmək	Zəhmət olmasa baqajınızı qeydiyyat masasında saxlayın.	saqlamoq; joylashtirmoq	Iltimos, yukingizni resepsiyada saqlang.
2209:存款	存款	存款	mevduat; birikim	O, her ay bir miktar para biriktirir.	akiba; amana	Kila mwezi huweka kiasi fulani cha pesa akiba.	əmanət; yığım	O, hər ay müəyyən məbləğdə pul yığır.	omonat; jamg‘arma	U har oy bir miqdor pul jamg‘aradi.
2215:打断	打断	打断	sözünü kesmek; kesintiye uğratmak	Lütfen başkaları konuşurken sözlerini kesmeyin.	katiza; kukatisha	Tafadhali usiwakatize wengine wanapozungumza.	sözünü kəsmək; dayandırmaq	Xahiş edirəm başqaları danışanda sözlərini kəsməyin.	gapini bo‘lmoq; to‘xtatmoq	Iltimos, boshqalar gapirayotganda gapini bo‘lmang.
2216:打破	打破	打破	kırmak; parçalamak	O, yanlışlıkla bir bardak kırdı.	kuvunja	Alivunja kikombe kwa bahati mbaya.	sındırmaq; pozmaq	O, ehtiyatsızlıqdan bir stəkanı sındırdı.	sindirmoq; buzmoq	U ehtiyotsizlik bilan bir stakanni sindirib qo‘ydi.
2218:大胆	大胆	大胆	cesur; atılgan	O, cesur bir fikir ortaya attı.	jasiri; hodari	Alitoa wazo jasiri.	cəsarətli; qorxmaz	O, cəsarətli bir fikir irəli sürdü.	jasur; dadil	U dadil bir fikr bildirdi.
2219:大多	大多	大多	çoğunlukla; çoğu	Buradaki öğrencilerin çoğu yereldir.	zaidi; wengi	Wanafunzi wengi hapa wanatoka eneo hili.	əsasən; çoxu	Buradakı tələbələrin çoxu yerlidir.	asosan; ko‘pchiligi	Bu yerdagi o‘quvchilarning ko‘pchiligi mahalliy.
2220:大会	大会	大会	konferans; genel toplantı	Şirket konferansı cuma sabahı yapılacak.	mkutano mkuu; kongamano	Mkutano mkuu wa kampuni utafanyika Ijumaa asubuhi.	konfrans; ümumi yığıncaq	Şirkətin ümumi yığıncağı cümə səhəri keçiriləcək.	anjuman; umumiy yig‘ilish	Kompaniya umumiy yig‘ilishi juma kuni ertalab bo‘lib o‘tadi.
2221:大力	大力	大力	güçlü biçimde; kuvvetle	Okul, öğrencilerin yarışmaya katılmasını güçlü biçimde destekliyor.	kwa nguvu; kwa bidii	Shule inaunga mkono kwa nguvu wanafunzi kushiriki mashindano.	güclü şəkildə; qətiyyətlə	Məktəb şagirdlərin yarışda iştirakını güclü şəkildə dəstəkləyir.	kuchli ravishda; jiddiy	Maktab o‘quvchilarning musobaqada qatnashishini kuchli qo‘llab-quvvatlaydi.
2222:大妈	大妈	大妈	teyze; yaşlı kadın	Alt kattaki teyze her sabah dans etmeye gider.	shangazi; mwanamke mkubwa	Shangazi wa ghorofa ya chini huenda kucheza ngoma kila asubuhi.	xala; yaşlı qadın	Aşağıdakı xala hər səhər rəqs etməyə gedir.	xola; katta yoshli ayol	Pastdagi xola har kuni ertalab raqsga boradi.
2223:大米	大米	大米	pirinç	Evdeki pirinç neredeyse bitmek üzere.	mchele	Mchele wa nyumbani unakaribia kuisha.	düyü	Evdəki düyü demək olar ki, bitib.	guruch	Uydagi guruch deyarli tugab qoldi.
