source_headword	TH	example_TH
bear (animal)	หมี	หมีอาศัยอยู่ในป่า.
beat	เอาชนะ;ตี	ทีมของเราเอาชนะพวกเขาได้.
beef	เนื้อวัว	ฉันกินเนื้อวัวเป็นมื้อเย็น.
behave	ประพฤติ;ทำตัว	โปรดประพฤติดีในชั้นเรียน.
behaviour	พฤติกรรม;การประพฤติ	พฤติกรรมของเขาสุภาพ.
belong	เป็นของ;สังกัด	รองเท้านี้เป็นของฉัน.
belt	เข็มขัด	เข็มขัดของเขาสีดำ.
benefit	ประโยชน์;ผลดี	การออกกำลังกายมีประโยชน์จริง.
billion	พันล้าน	พันล้านเป็นจำนวนที่ใหญ่มาก.
bin	ถังขยะ	ใส่กระดาษลงถังขยะ.
biology	ชีววิทยา	ชีววิทยาเป็นวิชาที่ฉันเก่งที่สุด.
birth	การเกิด;กำเนิด	เธอเกิดในเดือนพฤษภาคม.
biscuit	บิสกิต;คุกกี้	เธอกินบิสกิตหนึ่งชิ้น.
bit	เล็กน้อย;นิดหน่อย	ฉันต้องการเวลาอีกเล็กน้อย.
blank	ช่องว่าง;ว่างเปล่า	เขียนชื่อของคุณในช่องว่าง.
blood	เลือด	เลือดมีสีแดง.
blow	พัด;เป่า	ลมพัดแรงได้.
board	กระดาน;คณะกรรมการ	เขียนมันบนกระดาน.
boil	ต้ม;เดือด	ต้มน้ำก่อน.
bone	กระดูก	สุนัขมีกระดูกหนึ่งชิ้น.
borrow	ยืม	ฉันยืมปากกาของคุณได้ไหม?
boss	หัวหน้า;เจ้านาย	หัวหน้าของฉันเป็นมิตร.
bottom	ด้านล่าง;ก้น	เซ็นชื่อที่ด้านล่าง.
bowl	ชาม	ชามเต็มแล้ว.
brain	สมอง	สมองของคุณต้องการพัก.
bridge	สะพาน	สะพานนี้เก่า.
bright	สว่าง;สดใส	ห้องนี้สว่าง.
brilliant	ยอดเยี่ยม;ฉลาดมาก	ความคิดนั้นยอดเยี่ยม.
broken	พัง;แตก	เก้าอี้พัง.
brush	แปรง;แปรงฟัน	แปรงฟันตอนนี้.
burn	ไหม้;เผา	อย่าทำให้ขนมปังไหม้.
businessman	นักธุรกิจชาย	นักธุรกิจคนนั้นมาถึงเร็ว.
button	ปุ่ม;กระดุม	กดปุ่มสีแดง.
camp	ค่าย;ตั้งแคมป์	เราตั้งแคมป์ใกล้ทะเลสาบ.
camping	การตั้งแคมป์	การตั้งแคมป์สนุกในฤดูร้อน.
can2	กระป๋อง	เปิดกระป๋องอย่างระวัง.
care	การดูแล;ใส่ใจ	ดูแลสุขภาพของคุณ.
careful	ระมัดระวัง	ระวังบนบันได.
carefully	อย่างระมัดระวัง	อ่านคำถามอย่างระมัดระวัง.
carpet	พรม	พรมนุ่ม.
cartoon	การ์ตูน	การ์ตูนนี้ตลก.
case	กล่อง;กรณี	ใส่มันในกล่อง.
cash	เงินสด	ฉันจ่ายด้วยเงินสด.
castle	ปราสาท	ปราสาทนี้เก่ามาก.
catch	จับ;รับ	จับลูกบอลตอนนี้.
cause	สาเหตุ;ก่อให้เกิด	ฝนอาจก่อให้เกิดปัญหา.
celebrate	ฉลอง;เฉลิมฉลอง	เราฉลองวันเกิดของฉัน.
celebrity	คนดัง	คนดังนั้นใจดีมาก.
certain	แน่นอน;บางอย่าง	ฉันมั่นใจเรื่องนี้.
certainly	แน่นอน	ฉันจะช่วยอย่างแน่นอน.
chance	โอกาส	คุณมีโอกาส.
character	ตัวละคร;ลักษณะนิสัย	ตัวละครนี้กล้าหาญ.
charity	องค์กรการกุศล;การกุศล	องค์กรการกุศลช่วยเด็กๆ.
chat	คุย;การสนทนา	เราคุยกันหลังเรียน.
chef	พ่อครัว;เชฟ	เชฟทำซุป.
chemistry	เคมี	เคมียากสำหรับฉัน.
chip	มันฝรั่งทอด;ชิป	มันฝรั่งทอดชิ้นนี้เค็ม.
choice	ทางเลือก;การเลือก	ทางเลือกนี้สำคัญ.
church	โบสถ์	โบสถ์อยู่ใกล้ที่นี่.
cigarette	บุหรี่	บุหรี่ไม่ดีต่อสุขภาพ.
circle	วงกลม;วาดวงกลม	วาดวงกลมที่นี่.
classical	คลาสสิก;แบบดั้งเดิม	ฉันชอบดนตรีคลาสสิก.
clear	ชัดเจน;ใส	คำตอบชัดเจน.
clearly	อย่างชัดเจน	โปรดพูดให้ชัดเจน.
clever	ฉลาด	เธอเป็นเด็กฉลาด.
climate	ภูมิอากาศ	ภูมิอากาศกำลังเปลี่ยน.
close2	ใกล้;ใกล้ชิด	โรงเรียนของฉันอยู่ใกล้บ้าน.
closed	ปิด;ถูกปิด	ร้านปิดแล้ว.
clothing	เสื้อผ้า	เสื้อผ้าอุ่นมีประโยชน์.
cloud	เมฆ	เมฆบังดวงอาทิตย์.
coach	โค้ช;ฝึกสอน	โค้ชช่วยทีม.
coast	ชายฝั่ง	เราขับรถไปตามชายฝั่ง.
code	รหัส	ใส่รหัสที่นี่.
colleague	เพื่อนร่วมงาน	เพื่อนร่วมงานโทรหาฉัน.
collect	เก็บสะสม;รวบรวม	ฉันเก็บสะสมการ์ดเก่า.
column	คอลัมน์;เสา	อ่านคอลัมน์แรก.
comedy	ตลก;ละครตลก	ตลกเรื่องนี้สนุก.
comfortable	สบาย	เก้าอี้นี้สบาย.
comment	ความคิดเห็น;แสดงความคิดเห็น	ฝากความคิดเห็นไว้ข้างล่าง.
communicate	สื่อสาร	เราสื่อสารทางอีเมล.
community	ชุมชน	ชุมชนของเราเป็นมิตร.
compete	แข่งขัน	พวกเขาแข่งขันทุกปี.
competition	การแข่งขัน	การแข่งขันเริ่มพรุ่งนี้.
complain	บ่น	อย่าบ่นอีก.
completely	อย่างสมบูรณ์;โดยสิ้นเชิง	ฉันเห็นด้วยกับคุณอย่างสมบูรณ์.
condition	สภาพ;เงื่อนไข	รถอยู่ในสภาพดี.
conference	การประชุม;งานสัมมนา	การประชุมเริ่มตอนเก้าโมง.
connect	เชื่อมต่อ	เชื่อมต่อโทรศัพท์กับคอมพิวเตอร์.
connected	เชื่อมต่อกัน;เกี่ยวข้อง	ความคิดสองอย่างนี้เกี่ยวข้องกัน.
consider	พิจารณา	โปรดพิจารณาความคิดของฉัน.
contain	มี;บรรจุ	กล่องนี้มีหนังสือ.
context	บริบท	บริบทช่วยให้คุณเข้าใจ.
continent	ทวีป	ทวีปใหญ่มาก.
continue	ดำเนินต่อ;ทำต่อ	โปรดอ่านต่อ.
control	ควบคุม;การควบคุม	ควบคุมความเร็วอย่างระมัดระวัง.
cooker	เตา;หม้อหุง	เตาสะอาด.
copy	สำเนา;คัดลอก	ทำสำเนาให้ฉัน.
corner	มุม	นั่งที่มุม.
correctly	อย่างถูกต้อง	เขียนคำตอบให้ถูกต้อง.
count	นับ;จำนวน	นับหนังสือ.
couple	คู่รัก;สองคน	คู่รักมาถึงเร็ว.
cover	ปิด;คลุม	ปิดชาม.
crazy	บ้า;แปลกมาก	ความคิดนี้ฟังดูบ้า.
creative	สร้างสรรค์	เธอมีความคิดสร้างสรรค์.
credit	เครดิต;สินเชื่อ	ฉันจ่ายด้วยบัตรเครดิต.
crime	อาชญากรรม	อาชญากรรมเป็นปัญหาร้ายแรง.
criminal	อาชญากร;เกี่ยวกับอาชญากรรม	อาชญากรรีบจากไป.
cross	ข้าม;กากบาท	ข้ามถนนอย่างระมัดระวัง.
crowd	ฝูงชน	ฝูงชนรออยู่ข้างนอก.
crowded	แออัด	รถไฟแออัด.
cry	ร้องไห้;เสียงร้อง	อย่าร้องไห้ตอนนี้.
cupboard	ตู้;ตู้เก็บของ	ถ้วยอยู่ในตู้.
curly	หยิก	เธอมีผมหยิก.
cycle	ปั่นจักรยาน;วงจร	ฉันปั่นจักรยานไปโรงเรียน.
daily	รายวัน;ทุกวัน	ฉันอ่านข่าวทุกวัน.
danger	อันตราย	ป้ายแสดงอันตราย.
data	ข้อมูล	ข้อมูลนี้มีประโยชน์.
dead	ตาย	ต้นไม้ตายแล้ว.
deal	ข้อตกลง;จัดการ	นี่เป็นข้อตกลงที่ดี.
death	ความตาย	ความตายเป็นหัวข้อยาก.
decision	การตัดสินใจ	ตัดสินใจวันนี้.
deep	ลึก	น้ำลึก.
definitely	อย่างแน่นอน	ฉันอยากดื่มชาอย่างแน่นอน.
degree	ปริญญา;องศา	ปริญญาของฉันเป็นด้านประวัติศาสตร์.
dentist	ทันตแพทย์	ทันตแพทย์ตรวจฟันของฉัน.
department	แผนก	แผนกรองเท้าอยู่ชั้นบน.
depend	ขึ้นอยู่กับ;พึ่งพา	มันขึ้นอยู่กับอากาศ.
desert	ทะเลทราย;ละทิ้ง	ทะเลทรายแห้งมาก.
designer	นักออกแบบ	นักออกแบบทำชุดนี้.
destroy	ทำลาย	อย่าทำลายไฟล์.
detective	นักสืบ	นักสืบพบกุญแจ.
develop	พัฒนา	พวกเขาพัฒนาแอปใหม่.
device	อุปกรณ์	อุปกรณ์นี้มีประโยชน์.
diary	ไดอารี;สมุดบันทึก	เธอเขียนในไดอารีของเธอ.
differently	แตกต่างกัน;ต่างออกไป	เราทำมันต่างออกไป.
digital	ดิจิทัล	นี่คือกล้องดิจิทัล.
direct	ตรง;โดยตรง	ขึ้นรถไฟตรง.
direction	ทิศทาง	เดินไปทางนี้.
director	ผู้กำกับ;ผู้อำนวยการ	ผู้กำกับชอบภาพยนตร์.
disagree	ไม่เห็นด้วย	ฉันไม่เห็นด้วยกับความคิดนั้น.
disappear	หายไป;หายลับ	ดวงอาทิตย์จะหายไปเร็วๆนี้.
disaster	ภัยพิบัติ;ความล้มเหลวใหญ่	พายุนั้นเป็นภัยพิบัติ.
discover	ค้นพบ	พวกเขาค้นพบเกาะใหม่.
discovery	การค้นพบ	การค้นพบนั้นเปลี่ยนวิทยาศาสตร์.
discussion	การอภิปราย;การสนทนา	การอภิปรายจบเร็ว.
disease	โรค	โรคนี้ร้ายแรง.
distance	ระยะทาง	ระยะทางสั้น.
divorced	หย่าร้าง	พ่อแม่ของเธอหย่าร้างกัน.
document	เอกสาร;บันทึก	บันทึกเอกสารนี้ตอนนี้.
double	คู่;สองเท่า	ฉันต้องการห้องเตียงคู่.
download	ดาวน์โหลด	ดาวน์โหลดแอปวันนี้.
drama	ละคร;ดราม่า	ละครเริ่มคืนนี้.
drawing	ภาพวาด	ภาพวาดของเธอสวย.
dream	ความฝัน;ฝัน	ฉันฝันแปลกๆ.
driving	การขับรถ	การขับรถตอนกลางคืนยาก.
drop	ทำตก;หยด	อย่าทำแก้วตก.
drug	ยา;ยาเสพติด	ยานั้นช่วยเขา.
dry	แห้ง;ทำให้แห้ง	ผ้าเช็ดตัวแห้ง.
earn	หาเงิน;ได้รับ	ฉันหาเงินจากงาน.
earth	โลก;ดิน	โลกกลม.
easily	อย่างง่ายดาย	เธอเรียนรู้ได้ง่าย.
education	การศึกษา	การศึกษาสำคัญ.
effect	ผล;ผลกระทบ	ผลนั้นชัดเจน.
either	อย่างใดอย่างหนึ่ง;เช่นกัน	คำตอบไหนก็ได้.
electric	ไฟฟ้า	รถคันนี้เป็นรถไฟฟ้า.
electrical	เกี่ยวกับไฟฟ้า	ระบบไฟฟ้าปลอดภัย.
electricity	ไฟฟ้า	ไฟฟ้าที่นี่แพง.
electronic	อิเล็กทรอนิกส์	ตั๋วอิเล็กทรอนิกส์นี้ใช้ได้.
employ	จ้างงาน	พวกเขาจ้างห้าคน.
employee	พนักงาน	พนักงานทำงานหนัก.
employer	นายจ้าง	นายจ้างของฉันยุติธรรม.
empty	ว่างเปล่า;ทำให้ว่าง	ห้องว่างเปล่า.
ending	ตอนจบ;การสิ้นสุด	ตอนจบน่าประหลาดใจ.
energy	พลังงาน;แรง	วันนี้ฉันไม่มีแรง.
engine	เครื่องยนต์	เครื่องยนต์ดัง.
engineer	วิศวกร	วิศวกรซ่อมสะพาน.
enormous	มหึมา;ใหญ่มาก	อาคารนั้นใหญ่มาก.
enter	เข้า;ป้อน	เข้าห้องอย่างเงียบๆ.
environment	สิ่งแวดล้อม	ปกป้องสิ่งแวดล้อม.
equipment	อุปกรณ์;เครื่องมือ	อุปกรณ์นี้แพง.
error	ข้อผิดพลาด	ฉันพบข้อผิดพลาด.
especially	โดยเฉพาะอย่างยิ่ง	ฉันชอบเพลงนี้เป็นพิเศษ.
essay	เรียงความ	เขียนเรียงความคืนนี้.
everyday	ประจำวัน;ธรรมดา	นี่คือภาษาอังกฤษในชีวิตประจำวัน.
everywhere	ทุกที่	ดอกไม้ขึ้นทุกที่.
evidence	หลักฐาน	หลักฐานชัดเจน.
exact	แน่นอน;ตรง	ให้ตัวเลขที่แน่นอน.
exactly	อย่างแน่นอน;ตรงเป๊ะ	นั่นถูกต้องพอดี.
excellent	ยอดเยี่ยม	งานของคุณยอดเยี่ยม.
except	ยกเว้น	ทุกคนมายกเว้นฉัน.
exist	มีอยู่;ดำรงอยู่	ที่อยู่นี้มีอยู่ไหม?
expect	คาดหวัง;คาดว่า	ฉันคาดว่าพรุ่งนี้ฝนตก.
experience	ประสบการณ์;ประสบ	ฉันมีประสบการณ์กับเด็ก.
experiment	การทดลอง	การทดลองได้ผลดี.
expert	ผู้เชี่ยวชาญ	ขอความช่วยเหลือจากผู้เชี่ยวชาญ.
explanation	คำอธิบาย	คำอธิบายของเธอชัดเจน.
express	แสดงออก;แสดง	โปรดแสดงความคิดเห็นของคุณ.
expression	สำนวน;การแสดงออก	สำนวนนี้พบได้ทั่วไป.
extreme	สุดขีด;รุนแรง	ความร้อนรุนแรง.
extremely	อย่างมาก;สุดๆ	อากาศหนาวมาก.
factor	ปัจจัย	ค่าใช้จ่ายเป็นปัจจัยหนึ่ง.
factory	โรงงาน	โรงงานปิดตอนห้าโมง.
fail	ล้มเหลว;สอบตก	ฉันไม่ได้ล้มเหลว.
fair	ยุติธรรม;สมเหตุสมผล	ราคายุติธรรม.
fan	พัดลม;แฟน	เปิดพัดลม.
farming	การทำฟาร์ม;เกษตรกรรม	การทำฟาร์มเป็นงานหนัก.
fashion	แฟชั่น	แฟชั่นเปลี่ยนทุกปี.
fear	ความกลัว;กลัว	ความกลัวหยุดคนได้.
feature	คุณสมบัติ;ลักษณะ	โทรศัพท์นี้มีคุณสมบัติที่มีประโยชน์.
feed	ให้อาหาร;อาหารสัตว์	ให้อาหารแมวตอนนี้.
female	เพศหญิง;ผู้หญิง	นักกีฬาหญิงชนะ.
fiction	นิยาย;เรื่องแต่ง	เธออ่านนิยายตอนกลางคืน.
field	ทุ่ง;สาขา	ทุ่งนั้นเขียว.
fight	ต่อสู้;ทะเลาะ	พวกเขาทะเลาะกันมากเกินไป.
figure	รูปภาพ;ตัวเลข;บุคคล	ดูรูปภาพนั้น.
finally	ในที่สุด	ในที่สุดเราก็ถึงบ้าน.
finger	นิ้ว	นิ้วของฉันเจ็บ.
firstly	ประการแรก	ประการแรกอ่านคำถาม.
fishing	การตกปลา	การตกปลาเป็นที่นิยมที่นี่.
fit	พอดี;เหมาะสม	รองเท้านี้พอดี.
fix	ซ่อม;แก้ไข	ซ่อมเก้าอี้ที่พัง.
flu	ไข้หวัดใหญ่	ฉันเป็นไข้หวัดใหญ่.
flying	การบิน;บิน	การบินรวดเร็ว.
focus	จดจ่อ;จุดสนใจ	จดจ่อกับงานนี้.
following	ต่อไปนี้;ถัดไป	อ่านประโยคต่อไปนี้.
foreign	ต่างประเทศ;ต่างชาติ	เธอพูดภาษาต่างประเทศ.
forest	ป่า	ป่าเงียบ.
fork	ส้อม	ใช้ส้อม.
formal	เป็นทางการ	จดหมายนี้เป็นทางการ.
fortunately	โชคดีที่	โชคดีที่ไม่มีใครบาดเจ็บ.
forward	ไปข้างหน้า;ข้างหน้า	ค่อยๆเดินไปข้างหน้า.
fresh	สด;ใหม่	ขนมปังสด.
