source_headword	ML	example_ML
immediately	ഉടൻ	അവൻ ഉടൻ മറുപടി നൽകി.
impossible	അസാധ്യമായ	ഇത് ഒറ്റയ്ക്ക് ചെയ്യുന്നത് അസാധ്യമാണ്.
included	ഉൾപ്പെടുത്തിയ	നികുതി വിലയിൽ ഉൾപ്പെടുത്തിയിരിക്കുന്നു.
including	ഉൾപ്പെടെ	എല്ലാവരും, അധ്യാപകൻ ഉൾപ്പെടെ, വന്നു.
increase	വർധിക്കുക	ഈ മാസം വില വർധിച്ചു.
incredible	അവിശ്വസനീയമായ	കാഴ്ച അവിശ്വസനീയമായിരുന്നു.
independent	സ്വതന്ത്രമായ	അവൾ സ്വതന്ത്രമായ തീരുമാനമെടുത്തു.
individual	വ്യക്തിഗത	ഓരോ വിദ്യാർത്ഥിക്കും വ്യക്തിഗത സഹായം വേണം.
industry	വ്യവസായം	ഈ നഗരത്തിൽ വലിയ വ്യവസായം ഉണ്ട്.
informal	അനൗപചാരികമായ	ഇത് ഒരു അനൗപചാരിക സംഭാഷണമാണ്.
injury	പരിക്ക്	കളിക്കാരന് ചെറിയ പരിക്ക് പറ്റി.
insect	കീടം	ഇലയിൽ ചെറിയ കീടം കണ്ടു.
inside	അകത്ത്	കുട്ടികൾ വീട്ടിനകത്ത് കളിക്കുന്നു.
instead	പകരം	ചായയ്ക്ക് പകരം അവൾ വെള്ളം കുടിച്ചു.
instruction	നിർദ്ദേശം	ദയവായി നിർദ്ദേശം ശ്രദ്ധിച്ചു വായിക്കൂ.
instructor	പരിശീലകൻ	പരിശീലകൻ നിയമങ്ങൾ വിശദീകരിച്ചു.
instrument	വാദ്യോപകരണം	അവൻ പുതിയ വാദ്യോപകരണം വാങ്ങി.
intelligent	ബുദ്ധിയുള്ള	ആ കുട്ടി വളരെ ബുദ്ധിയുള്ളവനാണ്.
international	അന്താരാഷ്ട്ര	അത് ഒരു അന്താരാഷ്ട്ര സമ്മേളനമാണ്.
introduction	പരിചയപ്പെടുത്തൽ	അധ്യാപകൻ ചെറിയ പരിചയപ്പെടുത്തൽ നടത്തി.
invent	ആവിഷ്കരിക്കുക	ശാസ്ത്രജ്ഞൻ പുതിയ ഉപകരണം ആവിഷ്കരിച്ചു.
invention	ആവിഷ്കാരം	ഈ ആവിഷ്കാരം ജീവിതം എളുപ്പമാക്കി.
invitation	ക്ഷണം	ഞങ്ങൾക്ക് വിവാഹ ക്ഷണം ലഭിച്ചു.
invite	ക്ഷണിക്കുക	അവൾ സുഹൃത്തിനെ വീട്ടിലേക്ക് ക്ഷണിച്ചു.
involve	ഉൾപ്പെടുത്തുക	പദ്ധതി പല ആളുകളെയും ഉൾപ്പെടുത്തുന്നു.
item	വസ്തു	പട്ടികയിലെ ഓരോ വസ്തുവും പരിശോധിക്കൂ.
itself	അത് തന്നെ	യന്ത്രം അത് തന്നെ നിർത്തി.
jam	ജാം	അവൾ റൊട്ടിയിൽ ജാം പുരട്ടി.
jazz	ജാസ് സംഗീതം	അവൻ ജാസ് സംഗീതം ഇഷ്ടപ്പെടുന്നു.
jewellery	ആഭരണം	ആഭരണം പെട്ടിയിൽ സൂക്ഷിച്ചു.
joke	തമാശ	അവന്റെ തമാശ എല്ലാവരെയും ചിരിപ്പിച്ചു.
journalist	പത്രപ്രവർത്തകൻ	പത്രപ്രവർത്തകൻ മന്ത്രിയോട് ചോദിച്ചു.
jump	ചാടുക	കുട്ടി വെള്ളത്തിലേക്ക് ചാടി.
kid	കുട്ടി	ആ കുട്ടി പാർക്കിൽ കളിക്കുന്നു.
kill	കൊല്ലുക	വിഷം ചെടിയെ കൊല്ലാം.
king	രാജാവ്	രാജാവ് കൊട്ടാരത്തിൽ താമസിച്ചു.
knee	മുട്ട്	അവളുടെ മുട്ടിന് വേദനയുണ്ട്.
knife	കത്തി	കത്തി മേശപ്പുറത്ത് വെച്ചു.
knock	മുട്ടുക	വാതിലിൽ ആരോ മുട്ടി.
knowledge	അറിവ്	അവന് ഈ വിഷയത്തിൽ അറിവുണ്ട്.
lab	പരീക്ഷണശാല	വിദ്യാർത്ഥികൾ പരീക്ഷണശാലയിൽ ജോലി ചെയ്തു.
lady	സ്ത്രീ	ആ സ്ത്രീ ബസിൽ കയറി.
lake	തടാകം	തടാകം ഗ്രാമത്തിന് സമീപമാണ്.
lamp	വിളക്ക്	മേശയിലെ വിളക്ക് തെളിയുന്നു.
laptop	ലാപ്ടോപ്പ്	അവൻ ലാപ്ടോപ്പിൽ ജോലി ചെയ്യുന്നു.
last1 (taking time)	നീണ്ടുനിൽക്കുക	യോഗം രണ്ട് മണിക്കൂർ നീണ്ടുനിന്നു.
laughter	ചിരി	മുറിയിൽ ചിരി നിറഞ്ഞു.
law	നിയമം	ഈ നിയമം എല്ലാവർക്കും ബാധകമാണ്.
lawyer	അഭിഭാഷകൻ	അഭിഭാഷകൻ കോടതിയിൽ സംസാരിച്ചു.
lazy	മടിയൻ	അവൻ ഇന്ന് വളരെ മടിയനാണ്.
lead1	നയിക്കുക	അവൾ ടീമിനെ നന്നായി നയിച്ചു.
leader	നേതാവ്	നേതാവ് പദ്ധതി വിശദീകരിച്ചു.
learning	പഠനം	പഠനം ദിവസവും വേണം.
least	ഏറ്റവും കുറവ്	ഇതാണ് ഏറ്റവും കുറവ് വില.
lecture	പ്രഭാഷണം	പ്രഭാഷണം രാവിലെ തുടങ്ങി.
lemon	നാരങ്ങ	അവൾ വെള്ളത്തിൽ നാരങ്ങ ചേർത്തു.
lend	കടം കൊടുക്കുക	ദയവായി എനിക്ക് പേന കടം കൊടുക്കൂ.
less	കുറവ്	ഇന്ന് തിരക്ക് കുറവാണ്.
level	നില	അവന്റെ ഇംഗ്ലീഷ് നില മെച്ചപ്പെട്ടു.
lifestyle	ജീവിതശൈലി	ആരോഗ്യകരമായ ജീവിതശൈലി പ്രധാനമാണ്.
lift	ലിഫ്റ്റ്	ലിഫ്റ്റ് മൂന്നാം നിലയിൽ നിർത്തി.
light	വിളക്ക് കൊളുത്തുക	അവൻ മെഴുകുതിരി കൊളുത്തി.
light (not heavy)	ഭാരം കുറഞ്ഞ	ഈ ബാഗ് ഭാരം കുറഞ്ഞതാണ്.
likely	സാധ്യതയുള്ള	ഇന്ന് മഴയ്ക്ക് സാധ്യതയുണ്ട്.
link	ബന്ധം	ഈ രണ്ട് ആശയങ്ങൾക്ക് ബന്ധമുണ്ട്.
listener	ശ്രോതാവ്	ശ്രോതാവ് ശ്രദ്ധയോടെ കേട്ടു.
lock	പൂട്ടുക	പുറത്തുപോകുമ്പോൾ വാതിൽ പൂട്ടൂ.
lorry	ലോറി	ലോറി സാധനങ്ങൾ കൊണ്ടുവന്നു.
lost	കാണാതായ	കാണാതായ ഫോൺ പിന്നീട് കിട്ടി.
loud	ഉച്ചത്തിലുള്ള	സംഗീതം വളരെ ഉച്ചത്തിലായിരുന്നു.
loudly	ഉച്ചത്തിൽ	അവൾ ഉച്ചത്തിൽ സംസാരിച്ചു.
lovely	മനോഹരമായ	ഇത് മനോഹരമായ ദിവസം ആണ്.
low	താഴ്ന്ന	ഇന്ന് താപനില താഴ്ന്നതാണ്.
luck	ഭാഗ്യം	അവന് നല്ല ഭാഗ്യം ഉണ്ടായിരുന്നു.
lucky	ഭാഗ്യവാൻ	അവൾ വളരെ ഭാഗ്യവതിയാണ്.
mail	തപാൽ	ഇന്ന് തപാൽ വൈകി വന്നു.
major	പ്രധാനമായ	ഇത് പ്രധാനമായ പ്രശ്നമാണ്.
male	പുരുഷ	ആൺ പക്ഷി നിറമുള്ളതാണ്.
manage	കൈകാര്യം ചെയ്യുക	അവൾ സമയം നന്നായി കൈകാര്യം ചെയ്തു.
manager	മാനേജർ	മാനേജർ യോഗം വിളിച്ചു.
manner	രീതി	അവന്റെ സംസാര രീതി മൃദുവാണ്.
mark	അടയാളം	പുസ്തകത്തിൽ ചുവന്ന അടയാളം ഉണ്ട്.
marry	വിവാഹം കഴിക്കുക	അവർ അടുത്ത മാസം വിവാഹം കഴിക്കും.
material	വസ്തു	ഈ വസ്തു മൃദുവാണ്.
mathematics	ഗണിതശാസ്ത്രം	അവൾ ഗണിതശാസ്ത്രം പഠിക്കുന്നു.
maths	ഗണിതം	ഗണിതം അവന് ഇഷ്ടമാണ്.
matter	കാര്യം	ഇത് ചെറിയ കാര്യമല്ല.
may modal	സാധ്യതയുണ്ട്	അവൻ വൈകി വരാൻ സാധ്യതയുണ്ട്.
media	മാധ്യമങ്ങൾ	മാധ്യമങ്ങൾ വാർത്ത പ്രസിദ്ധീകരിച്ചു.
medical	വൈദ്യപരമായ	അവൾക്ക് വൈദ്യപരമായ സഹായം വേണം.
medicine	മരുന്ന്	ദയവായി മരുന്ന് സമയത്ത് കഴിക്കൂ.
memory	ഓർമ്മ	ആ ദിവസം നല്ല ഓർമ്മയാണ്.
mention	പരാമർശിക്കുക	അവൻ എന്റെ പേരും പരാമർശിച്ചു.
metal	ലോഹം	വാതിൽ ലോഹത്തിൽ നിർമ്മിച്ചതാണ്.
method	രീതി	ഈ രീതി എളുപ്പമാണ്.
middle	മധ്യം	മേശ മുറിയുടെ മധ്യത്തിൽ ആണ്.
might modal	ആകാം	ഇന്ന് മഴ പെയ്യാം.
mind	മനം	അവളുടെ മനസിൽ സംശയം ഉണ്ടായിരുന്നു.
mine (belongs to me)	എന്റേത്	ഈ പുസ്തകം എന്റേതാണ്.
mirror	കണ്ണാടി	കണ്ണാടി മതിലിൽ തൂങ്ങുന്നു.
missing	കാണാതായ	കാണാതായ താക്കോൽ കണ്ടെത്തി.
mobile	മൊബൈൽ ഫോൺ	മൊബൈൽ ഫോൺ മേശപ്പുറത്ത് ഉണ്ട്.
monkey	കുരങ്ങ്	കുരങ്ങ് മരത്തിൽ കയറി.
moon	ചന്ദ്രൻ	രാത്രിയിൽ ചന്ദ്രൻ തെളിഞ്ഞു.
mostly	മിക്കവാറും	മുറി മിക്കവാറും ശൂന്യമായിരുന്നു.
motorcycle	മോട്ടോർസൈക്കിൾ	മോട്ടോർസൈക്കിൾ വേഗത്തിൽ പോയി.
movement	ചലനം	അവളുടെ കൈയുടെ ചലനം വേഗമായിരുന്നു.
musical	സംഗീതപരമായ	അത് സംഗീതപരമായ പരിപാടിയാണ്.
musician	സംഗീതജ്ഞൻ	സംഗീതജ്ഞൻ വേദിയിൽ പാടി.
myself	ഞാൻ തന്നെ	ഞാൻ തന്നെ ഭക്ഷണം പാകം ചെയ്തു.
narrow	ഇടുങ്ങിയ	വഴി വളരെ ഇടുങ്ങിയതാണ്.
national	ദേശീയ	ഇത് ദേശീയ ഉത്സവമാണ്.
nature	പ്രകൃതി	പ്രകൃതി ശാന്തമാണ്.
nearly	ഏകദേശം	അവൻ ഏകദേശം തയ്യാറാണ്.
necessary	ആവശ്യമായ	ഇത് ആവശ്യമായ രേഖയാണ്.
neck	കഴുത്ത്	അവന്റെ കഴുത്തിന് വേദനയുണ്ട്.
neither	ഒന്നുമല്ല	ഇരുവർക്കും ഇതിൽ ഒന്നുമല്ല ഇഷ്ടം.
nervous	ഭയപ്പെട്ട	പരീക്ഷയ്ക്ക് മുമ്പ് അവൾ ഭയപ്പെട്ടു.
network	ശൃംഖല	ഇവിടെ ഫോണിന്റെ ശൃംഖല ബലഹീനമാണ്.
noise	ശബ്ദം	പുറത്ത് വലിയ ശബ്ദം കേട്ടു.
noisy	ശബ്ദമുള്ള	വീഥി വളരെ ശബ്ദമുള്ളതാണ്.
none	ഒന്നുമില്ല	പെട്ടിയിൽ ഒന്നുമില്ല.
normal	സാധാരണ	ഇത് സാധാരണ അവസ്ഥയാണ്.
normally	സാധാരണയായി	അവൻ സാധാരണയായി നേരത്തെ വരുന്നു.
notice	ശ്രദ്ധിക്കുക	ദയവായി മാറ്റം ശ്രദ്ധിക്കുക.
novel	നോവൽ	അവൾ പുതിയ നോവൽ വായിക്കുന്നു.
nowhere	എവിടെയും ഇല്ല	താക്കോൽ എവിടെയും ഇല്ല.
nut	കുരു	അവൻ ഒരു കുരു തിന്നു.
ocean	സമുദ്രം	സമുദ്രം വളരെ വിശാലമാണ്.
offer	വാഗ്ദാനം	അവർ സഹായത്തിനുള്ള വാഗ്ദാനം നൽകി.
officer	ഉദ്യോഗസ്ഥൻ	ഉദ്യോഗസ്ഥൻ രേഖ പരിശോധിച്ചു.
oil	എണ്ണ	അവൾ പാത്രത്തിൽ എണ്ണ ഒഴിച്ചു.
onto	മേൽ	പൂച്ച കസേരയുടെ മേൽ ചാടി.
opportunity	അവസരം	ഇത് നല്ല അവസരമാണ്.
option	തിരഞ്ഞെടുപ്പ്	നമുക്ക് മറ്റൊരു തിരഞ്ഞെടുപ്പ് ഉണ്ട്.
ordinary	സാധാരണ	ഇത് സാധാരണ ദിവസമാണ്.
organization	സംഘടന	സംഘടന കുട്ടികളെ സഹായിക്കുന്നു.
organize	സംഘടിപ്പിക്കുക	അവർ പരിപാടി സംഘടിപ്പിച്ചു.
original	മൂലമായ	ഇത് മൂലമായ ചിത്രം ആണ്.
ourselves	നാം തന്നെ	നാം തന്നെ മുറി വൃത്തിയാക്കി.
oven	അടുപ്പ്	അപ്പം അടുപ്പിൽ ചൂടാകുന്നു.
owner	ഉടമ	കടയുടെ ഉടമ അവിടെ ഉണ്ടായിരുന്നു.
pack	പായ്ക്ക് ചെയ്യുക	അവൾ ബാഗ് പായ്ക്ക് ചെയ്തു.
pain	വേദന	അവന്റെ കാലിൽ വേദനയുണ്ട്.
painter	ചിത്രകാരൻ	ചിത്രകാരൻ മതിൽ വരച്ചു.
palace	കൊട്ടാരം	പഴയ കൊട്ടാരം തുറന്നിരിക്കുന്നു.
pants	പാന്റ്സ്	അവൻ പുതിയ പാന്റ്സ് വാങ്ങി.
parking	പാർക്കിംഗ്	ഇവിടെ പാർക്കിംഗ് സൗജന്യമാണ്.
particular	പ്രത്യേകമായ	അവൾക്ക് പ്രത്യേകമായ കാരണം ഉണ്ടായിരുന്നു.
pass	കടന്നുപോകുക	കാർ പാലം കടന്നുപോയി.
passenger	യാത്രക്കാരൻ	യാത്രക്കാരൻ ടിക്കറ്റ് കാണിച്ചു.
patient	ക്ഷമയുള്ള	അധ്യാപകൻ വളരെ ക്ഷമയുള്ളവനാണ്.
pattern	മാതൃക	തുണിയിൽ മനോഹരമായ മാതൃക ഉണ്ട്.
peace	സമാധാനം	എല്ലാവരും സമാധാനം ആഗ്രഹിക്കുന്നു.
penny	ചെറിയ നാണയം	അവൾ ചെറിയ നാണയം എടുത്തു.
per	ഓരോ	ഓരോ ആളിന് ഒരു ടിക്കറ്റ് ലഭിച്ചു.
per cent	ശതമാനം	വില അഞ്ച് ശതമാനം കുറഞ്ഞു.
perform	അവതരിപ്പിക്കുക	കുട്ടികൾ വേദിയിൽ നൃത്തം അവതരിപ്പിച്ചു.
perhaps	ഒരുപക്ഷേ	ഒരുപക്ഷേ അവൻ വീട്ടിൽ ഉണ്ടാകും.
permission	അനുമതി	അവൾക്ക് പോകാൻ അനുമതി കിട്ടി.
personality	സ്വഭാവം	അവളുടെ സ്വഭാവം സൗഹൃദപരമാണ്.
pet	വളർത്തുമൃഗം	അവന്റെ വളർത്തുമൃഗം നായയാണ്.
petrol	പെട്രോൾ	കാറിൽ പെട്രോൾ കുറവാണ്.
physical	ശാരീരിക	ശാരീരിക വ്യായാമം ആരോഗ്യത്തിന് നല്ലതാണ്.
physics	ഭൗതികശാസ്ത്രം	അവൻ ഭൗതികശാസ്ത്രം പഠിക്കുന്നു.
pick	എടുക്കുക	അവൾ നിലത്തിൽ നിന്ന് പേന എടുത്തു.
pilot	വിമാനി	വിമാനി യാത്രക്കാരെ സ്വാഗതം ചെയ്തു.
planet	ഗ്രഹം	ഭൂമി ഒരു ഗ്രഹമാണ്.
plastic	പ്ലാസ്റ്റിക്	കുപ്പി പ്ലാസ്റ്റിക്കിൽ ആണ്.
plate	തളിക	തളിക മേശപ്പുറത്ത് വെച്ചു.
platform	പ്ലാറ്റ്ഫോം	ട്രെയിൻ മൂന്നാം പ്ലാറ്റ്ഫോമിൽ എത്തി.
pleased	സന്തോഷമുള്ള	അവൾ ഫലത്തിൽ സന്തോഷമുള്ളവളാണ്.
pocket	കൈപ്പൈ	അവൻ താക്കോൽ കൈപ്പായിൽ വെച്ചു.
polite	വിനയമുള്ള	ആ കുട്ടി വളരെ വിനയമുള്ളവനാണ്.
pollution	മലിനീകരണം	നഗരത്തിൽ മലിനീകരണം കൂടുന്നു.
pop	പോപ്പ് സംഗീതം	അവൾ പോപ്പ് സംഗീതം കേൾക്കുന്നു.
population	ജനസംഖ്യ	നഗരത്തിന്റെ ജനസംഖ്യ വലുതാണ്.
position	സ്ഥാനം	അവന്റെ സ്ഥാനം പട്ടികയിൽ മുകളിൽ ആണ്.
possession	കൈവശം	പുസ്തകം ഇപ്പോൾ അവളുടെ കൈവശത്തിലാണ്.
possibility	സാധ്യത	വിജയത്തിന് ഇപ്പോഴും സാധ്യത ഉണ്ട്.
poster	പോസ്റ്റർ	പോസ്റ്റർ മതിലിൽ ഒട്ടിച്ചു.
power	ശക്തി	യന്ത്രത്തിന് കൂടുതൽ ശക്തി വേണം.
predict	പ്രവചിക്കുക	അവർ നാളത്തെ കാലാവസ്ഥ പ്രവചിച്ചു.
president	പ്രസിഡന്റ്	പ്രസിഡന്റ് പ്രസംഗം നടത്തി.
prevent	തടയുക	മഴ കളി തടഞ്ഞു.
print	അച്ചടിക്കുക	ദയവായി ഈ പേജ് അച്ചടിക്കൂ.
printer	പ്രിന്റർ	പ്രിന്റർ ഇന്ന് പ്രവർത്തിക്കുന്നില്ല.
prison	ജയിൽ	കള്ളൻ ജയിലിൽ പോയി.
prize	സമ്മാനം	അവൾ മത്സരത്തിൽ സമ്മാനം നേടി.
process	പ്രക്രിയ	ഈ പ്രക്രിയ സമയം എടുക്കും.
produce	നിർമ്മിക്കുക	ഫാക്ടറി കളിപ്പാട്ടങ്ങൾ നിർമ്മിക്കുന്നു.
professional	പ്രൊഫഷണൽ	അവൻ പ്രൊഫഷണൽ കളിക്കാരനാണ്.
professor	പ്രൊഫസർ	പ്രൊഫസർ ചോദ്യം വിശദീകരിച്ചു.
profile	പ്രൊഫൈൽ	അവൾ തന്റെ പ്രൊഫൈൽ പുതുക്കി.
program	പരിപാടി	പരിപാടി വൈകിട്ട് തുടങ്ങും.
progress	പുരോഗതി	അവന്റെ പഠനത്തിൽ പുരോഗതി ഉണ്ട്.
promise	വാഗ്ദാനം ചെയ്യുക	അവൻ സമയം പാലിക്കാമെന്ന് വാഗ്ദാനം ചെയ്തു.
pronounce	ഉച്ചരിക്കുക	ഈ വാക്ക് വ്യക്തമായി ഉച്ചരിക്കൂ.
protect	സംരക്ഷിക്കുക	മരങ്ങൾ പ്രകൃതിയെ സംരക്ഷിക്കുന്നു.
provide	നൽകുക	സ്കൂൾ സൗജന്യ ഭക്ഷണം നൽകുന്നു.
pub	മദ്യം വിളമ്പുന്ന സ്ഥലം	അവർ വൈകുന്നേരം ആ സ്ഥലത്ത് കണ്ടുമുട്ടി.
public	പൊതു	ഇത് പൊതു ഉദ്യാനമാണ്.
publish	പ്രസിദ്ധീകരിക്കുക	അവർ പുസ്തകം അടുത്ത വർഷം പ്രസിദ്ധീകരിക്കും.
pull	വലിക്കുക	വാതിൽ തുറക്കാൻ കൈപ്പിടി വലിക്കൂ.
purpose	ഉദ്ദേശ്യം	ഈ യോഗത്തിന്റെ ഉദ്ദേശ്യം വ്യക്തമാണ്.
push	തള്ളുക	വാതിൽ തുറക്കാൻ തള്ളൂ.
quality	ഗുണമേന്മ	ഈ ഷർട്ടിന്റെ ഗുണമേന്മ നല്ലതാണ്.
quantity	അളവ്	അളവ് ശ്രദ്ധിച്ച് അളക്കൂ.
queen	രാജ്ഞി	രാജ്ഞി കൊട്ടാരത്തിൽ താമസിച്ചു.
quietly	ശാന്തമായി	അവൾ ശാന്തമായി മുറിയിൽ കയറി.
race (competition)	ഓട്ടമത്സരം	ഓട്ടമത്സരം രാവിലെ തുടങ്ങി.
railway	റെയിൽവേ	റെയിൽവേ സ്റ്റേഷൻ അടുത്താണ്.
raise	ഉയർത്തുക	അവൾ കൈ ഉയർത്തി.
rate	നിരക്ക്	മുറിയുടെ നിരക്ക് കൂടിയതാണ്.
rather	കുറച്ച്	ഇത് കുറച്ച് ബുദ്ധിമുട്ടാണ്.
reach	എത്തുക	നാം വൈകുന്നേരം വീട്ടിലെത്തി.
react	പ്രതികരിക്കുക	അവൻ വാർത്തയ്ക്ക് ശാന്തമായി പ്രതികരിച്ചു.
realize	മനസ്സിലാക്കുക	അവൾ തെറ്റ് മനസ്സിലാക്കി.
receive	സ്വീകരിക്കുക	അവൻ കത്ത് സ്വീകരിച്ചു.
recent	സമീപകാല	സമീപകാല വാർത്തകൾ പ്രധാനമാണ്.
recently	സമീപകാലത്ത്	അവൾ സമീപകാലത്ത് ഇവിടെ വന്നു.
reception	സ്വീകരണകൗണ്ടർ	സ്വീകരണകൗണ്ടറിൽ താക്കോൽ ചോദിക്കൂ.
recipe	പാചകക്കുറിപ്പ്	ഈ പാചകക്കുറിപ്പ് എളുപ്പമാണ്.
recognize	തിരിച്ചറിയുക	അവൻ പഴയ സുഹൃത്തിനെ തിരിച്ചറിഞ്ഞു.
recommend	ശുപാർശ ചെയ്യുക	ഞാൻ ഈ പുസ്തകം ശുപാർശ ചെയ്യുന്നു.
record	രേഖപ്പെടുത്തുക	അവൾ വിവരം രേഖപ്പെടുത്തി.
recording	രേഖപ്പെടുത്തൽ	രേഖപ്പെടുത്തൽ ഇപ്പോൾ തുടങ്ങുന്നു.
recycle	പുനരുപയോഗിക്കുക	നാം കാഗിതം പുനരുപയോഗിക്കുന്നു.
reduce	കുറയ്ക്കുക	ദയവായി ശബ്ദം കുറയ്ക്കൂ.
refer	പരാമർശിക്കുക	അധ്യാപകൻ പഴയ പാഠം പരാമർശിച്ചു.
refuse1	നിരസിക്കുക	അവൻ സഹായം നിരസിച്ചു.
region	പ്രദേശം	ഈ പ്രദേശം വളരെ ചൂടാണ്.
regular	നിയമിതമായ	അവൾ നിയമിതമായ വ്യായാമം ചെയ്യുന്നു.
relationship	ബന്ധം	അവരുടെ ബന്ധം ശക്തമാണ്.
remove	നീക്കം ചെയ്യുക	മേശയിൽ നിന്ന് പുസ്തകം നീക്കം ചെയ്യൂ.
repair	പരിചരിക്കുക	അവൻ സൈക്കിൾ പരിചരിച്ചു.
replace	മാറ്റിസ്ഥാപിക്കുക	പഴയ ബൾബ് മാറ്റിസ്ഥാപിക്കൂ.
reply	മറുപടി	അവളുടെ മറുപടി ചെറുതായിരുന്നു.
reporter	റിപ്പോർട്ടർ	റിപ്പോർട്ടർ ചോദ്യം ചോദിച്ചു.
request	അപേക്ഷ	അവൻ സഹായത്തിനായി അപേക്ഷ നൽകി.
research	ഗവേഷണം	അവൾ പുതിയ ഗവേഷണം നടത്തി.
researcher	ഗവേഷകൻ	ഗവേഷകൻ ഫലങ്ങൾ വിശദീകരിച്ചു.
respond	മറുപടി നൽകുക	അവൻ ചോദ്യത്തിന് മറുപടി നൽകി.
response	പ്രതികരണം	പ്രതികരണം വളരെ വേഗമായിരുന്നു.
rest (remaining part)	ശേഷിക്കുന്ന ഭാഗം	ശേഷിക്കുന്ന ഭാഗം നാളെ തീർക്കാം.
